pXC50,ATSC1e,ATSC2s,CATS2D_04_DA,SsssCH,CATS2D_07_PL,AECC,ATS1m,ATS2m,ATS3s,ATS4s,ATS5s,ATS6s,ATSC1s,ATSC3e,ATSC3p,ATSC3s,ATSC4p,ATSC4s,ATSC5e,ATSC5m,ATSC5p,ATSC5s,ATSC6e,ATSC6m,ATSC6p,ATSC6s,ATSC7s,ATSC8e,BAC,C.001,C.008,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_03_DD,CATS2D_03_DL,CATS2D_04_DP,CATS2D_05_DA,CATS2D_05_DP,CATS2D_06_AP,CATS2D_06_DA,CATS2D_06_DD,CATS2D_07_DD,CATS2D_08_AA,CATS2D_08_DA,CATS2D_08_DD,CATS2D_08_DL,CATS2D_08_DP,CATS2D_08_PL,CATS2D_09_AP,CATS2D_09_DD,CATS2D_09_DL,DBI,DECC,DELS,DLS_cons,Eig05_AEA.dm.,Eig06_AEA.dm.,Eig06_EA.dm.,Eig07_AEA.dm.,Eig07_EA.dm.,Eig08_AEA.dm.,Eig08_EA.dm.,Eig09_AEA.dm.,Eig09_AEA.ed.,Eig09_EA.dm.
4.254,0.115,54.806,0,0.668,0,12.839,3.935,4.309,6.065,6.252,6.107,5.968,17.023,0.29,14.732,50.223,15.598,118.431,0.51,43.406,13.619,82.763,0.605,36.203,11.437,100.242,92.315,0.348,37.0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3.937,2.133,39.182,0.88,2.452,2.216,0.0,1.967,0.0,1.942,0.0,1.903,4.327,0.0
4.254,0.132,63.072,0,0.023,0,8.773,3.579,3.836,5.788,5.844,5.803,5.656,17.555,0.286,8.257,39.189,8.55,76.365,0.528,23.049,6.901,68.718,0.661,20.809,6.617,92.667,43.635,0.744,38.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3.674,1.178,33.746,0.9,2.439,2.139,0.0,1.748,0.0,1.57,0.0,1.0,3.247,0.0
4.359,0.103,31.575,0,0.0,0,10.64,3.529,3.915,5.756,5.858,5.834,5.567,8.482,0.544,7.568,43.539,7.156,66.829,0.797,23.921,6.948,73.197,0.435,22.907,7.443,39.613,54.241,0.345,13.0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3.0,1.654,31.08,0.9,2.346,2.055,0.0,1.808,0.0,1.734,0.0,1.41,3.828,0.0
4.377,0.033,13.749,0,0.0,0,9.167,3.467,3.856,5.562,5.593,5.498,5.432,6.901,0.175,8.307,17.383,8.924,23.133,0.176,22.984,8.329,22.355,0.231,21.492,6.998,24.759,17.1,0.135,2.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.121,1.361,11.543,0.9,2.055,1.916,0.0,1.765,0.0,1.468,0.0,1.395,3.829,0.0
4.377,0.018,17.061,0,0.271,0,11.0,3.623,4.013,5.714,5.695,5.736,5.668,6.314,0.388,9.968,34.492,10.477,29.075,0.372,33.809,11.487,47.391,0.344,31.693,11.118,43.589,38.519,0.321,10.0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.162,1.769,21.192,0.9,2.828,2.448,0.0,2.087,0.0,1.72,0.0,1.532,3.608,0.0
4.377,0.072,49.251,0,0.0,0,8.5,3.494,3.732,5.512,5.797,5.859,5.481,14.334,0.08,8.473,25.254,10.401,49.759,0.479,27.449,8.455,90.32,0.266,28.62,8.91,56.09,64.693,0.01,26.0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,1.25,23.819,0.9,2.147,1.639,0.0,1.125,0.0,1.0,0.0,0.585,2.984,0.0
4.377,0.268,84.627,3,0.0,0,11.222,3.581,3.975,5.978,6.142,6.3,6.169,22.675,0.816,6.77,97.288,7.655,108.989,1.295,24.175,7.633,188.151,1.352,29.805,7.793,216.234,118.996,0.603,86.0,3,0,0,0,0,0,3,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,3,4.301,1.621,52.076,0.8,2.942,2.843,0.0,2.471,0.0,2.089,0.0,1.72,3.877,0.0
4.377,0.022,15.902,1,0.296,0,7.95,3.309,3.668,5.413,5.297,5.173,5.101,5.923,0.335,6.766,25.312,5.466,21.271,0.22,16.412,4.986,21.283,0.188,14.453,4.387,19.305,18.621,0.098,0.0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.236,1.26,13.662,0.9,1.663,1.522,0.0,1.327,0.0,1.243,0.0,0.963,3.181,0.0
4.377,0.089,51.491,0,0.0,0,9.8,3.509,3.712,5.544,5.62,5.466,5.495,15.249,0.32,7.737,41.427,7.028,58.071,0.332,21.084,6.861,46.081,0.489,19.246,6.245,58.838,46.23,0.221,12.0,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.391,1.7,25.851,0.87,1.623,1.433,0.0,1.0,0.0,1.0,0.0,0.868,3.106,0.0
4.767,0.135,28.139,0,0.0,0,11.077,3.587,3.97,6.002,6.0,6.068,5.853,10.696,0.801,7.729,80.158,8.205,88.735,0.884,28.316,8.092,123.114,0.757,25.849,7.314,90.944,85.602,0.564,51.0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,4.0,1.769,39.259,0.93,2.957,2.363,0.063,2.083,0.0,1.883,0.0,1.801,3.606,0.0
4.377,0.137,66.936,0,0.0,0,12.083,3.653,3.874,5.806,5.812,5.751,5.757,19.233,0.718,8.499,70.246,7.858,75.882,0.601,25.294,7.781,71.947,0.744,22.28,6.816,79.195,60.981,0.353,22.0,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.062,2.174,37.004,0.88,1.903,1.815,0.0,1.609,0.0,1.393,0.0,1.0,3.247,0.0
4.254,0.111,54.969,0,0.666,0,13.5,3.957,4.336,6.1,6.287,6.158,6.028,16.79,0.258,15.306,49.676,16.593,116.88,0.478,47.602,14.994,80.215,0.628,40.46,12.465,102.893,93.488,0.367,50.0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,4.0,2.188,39.924,0.88,2.539,2.256,0.0,2.215,0.0,1.959,0.0,1.919,4.618,0.0
4.254,0.029,26.751,1,0.391,0,11.731,3.627,4.012,5.821,5.929,5.864,5.776,7.378,0.258,10.087,40.852,9.542,68.158,0.378,30.52,8.783,56.741,0.396,28.386,9.417,65.96,40.78,0.358,47.0,3,0,0,0,0,0,7,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,3,4.062,1.926,28.021,1.0,2.546,2.24,0.0,1.887,0.0,1.693,0.0,1.257,3.414,0.0
5.033,0.205,78.318,0,0.0,0,6.353,3.254,3.651,5.264,5.369,5.45,5.926,29.061,0.339,3.429,63.398,2.23,78.111,0.396,1.107,2.099,59.27,0.543,5.706,2.594,112.764,61.684,0.26,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.828,0.962,32.7,0.75,1.614,1.335,0.0,1.0,0.0,1.0,0.0,1.0,2.386,0.0
4.377,0.054,16.873,2,-0.038,0,8.905,3.459,3.823,5.443,5.312,5.081,5.047,5.419,0.447,6.716,26.549,5.763,26.747,0.25,14.732,5.993,19.331,0.233,16.672,5.996,20.012,18.183,0.252,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.236,1.356,16.035,0.87,2.131,1.548,0.0,1.492,0.0,1.171,0.0,1.0,3.361,0.0
4.377,0.05,23.509,1,0.0,0,11.308,3.513,3.902,5.884,6.002,5.761,5.728,7.327,0.295,9.71,38.052,10.187,73.317,0.334,28.105,8.832,49.986,0.215,24.717,8.615,43.188,64.904,0.255,38.0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,3.808,1.846,24.734,1.0,2.582,2.516,0.0,1.694,0.0,1.411,0.0,1.263,3.785,0.0
4.299,0.041,14.659,1,0.0,0,10.0,3.566,3.88,5.641,5.793,5.698,5.802,9.73,0.136,7.427,31.352,6.612,63.381,0.134,17.295,6.959,35.042,0.358,17.17,7.124,51.59,27.499,0.153,19.0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,3.674,1.308,21.698,0.8,2.276,1.996,0.0,1.912,0.0,1.684,0.0,1.311,3.247,0.0
4.377,0.028,11.742,0,0.0,0,7.053,3.253,3.616,5.342,5.32,5.186,5.111,5.297,0.205,7.043,16.08,6.181,19.038,0.155,16.555,5.338,17.035,0.175,16.434,5.12,17.582,12.31,0.061,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.732,1.014,9.256,0.9,1.591,1.383,0.0,1.314,0.0,1.077,0.0,1.048,3.247,0.0
4.377,0.094,20.485,1,1.911,0,11.148,3.679,4.072,5.723,5.699,5.768,5.713,9.414,0.313,10.219,36.02,9.593,35.019,0.45,27.112,8.148,45.725,0.468,27.216,8.128,57.986,32.236,0.215,2.0,0,1,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,1,3.162,1.561,21.018,0.9,2.674,2.165,0.0,2.12,0.0,1.687,0.0,1.618,3.857,0.0
4.377,0.042,15.691,0,0.422,0,8.68,3.557,3.98,5.853,6.041,6.175,5.978,5.75,0.317,13.828,35.529,15.164,49.754,0.575,53.311,16.255,88.17,0.452,58.357,16.987,63.944,39.802,0.225,17.0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.464,1.184,23.181,1.0,2.551,1.755,0.0,1.651,0.0,1.531,0.0,1.502,3.593,0.0
4.377,0.046,14.437,1,0.0,0,9.545,3.369,3.706,5.485,5.436,5.297,5.2,6.686,0.22,8.697,21.111,7.857,21.935,0.19,21.299,6.941,20.497,0.185,18.971,5.911,19.918,15.317,0.103,0.0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2.449,1.405,10.815,0.9,1.768,1.624,0.0,1.405,0.0,1.318,0.0,1.254,3.37,0.0
4.854,0.106,17.533,1,0.0,0,14.69,3.672,4.043,5.853,5.841,5.729,5.681,7.836,0.537,8.469,53.615,8.245,49.472,0.395,21.272,8.181,52.316,0.394,19.183,7.052,46.914,43.686,0.41,17.0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,2,4.062,2.528,30.616,0.77,2.686,2.36,0.0,2.284,0.0,2.167,0.0,1.042,3.414,0.0
4.377,0.145,49.102,1,0.0,0,10.304,3.393,3.76,5.779,5.913,5.83,5.828,10.286,0.734,5.978,55.583,6.966,70.646,0.858,21.295,6.603,94.337,1.052,24.874,6.83,123.122,47.879,0.591,55.0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3.873,1.535,37.394,0.9,2.764,2.089,0.0,1.918,0.0,1.461,0.0,1.394,3.273,0.0
4.986,0.326,116.65,3,0.0,0,7.095,3.301,3.642,5.714,5.992,6.307,6.166,37.892,0.814,3.917,114.966,4.223,144.013,1.232,13.104,4.312,232.545,1.1,12.407,3.928,168.243,207.403,0.937,86.0,2,0,0,0,0,0,1,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4.123,1.061,50.826,0.72,2.663,2.06,0.0,1.814,0.0,1.503,0.0,1.0,2.714,0.0
4.854,0.037,13.901,1,0.0,0,9.348,3.425,3.815,5.788,5.874,5.8,5.468,5.473,0.288,6.906,33.711,8.353,55.367,0.387,21.458,7.803,73.895,0.285,20.747,6.218,43.985,34.395,0.192,27.0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.828,1.35,26.792,0.8,2.468,2.208,0.0,1.58,0.0,1.35,0.0,1.274,3.464,0.0
4.377,0.08,40.465,1,-0.54,0,14.094,3.845,4.295,6.174,6.347,6.215,6.061,15.796,0.636,13.186,77.007,14.479,124.871,0.73,41.409,14.641,119.246,0.775,42.008,12.892,105.834,83.704,0.782,40.0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,3.536,2.355,47.718,0.81,2.89,2.847,0.319,2.568,0.0,1.99,0.0,1.877,4.311,0.0
4.805,0.15,50.613,0,-0.608,0,6.667,3.4,3.812,5.578,5.66,5.788,6.126,9.807,0.477,7.437,83.42,7.365,54.154,0.454,20.021,8.135,61.102,0.794,24.065,8.036,122.902,102.885,0.655,51.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4.0,1.048,33.489,0.9,2.923,2.0,0.0,1.776,0.0,1.492,0.0,1.181,3.248,0.0
4.377,0.052,20.001,0,0.0,0,8.316,3.236,3.587,5.446,5.377,5.308,5.147,5.746,0.349,5.953,33.008,4.999,31.663,0.353,13.581,4.278,31.826,0.252,12.578,3.959,25.236,38.179,0.13,9.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.646,1.313,21.16,0.9,1.787,1.451,0.0,1.31,0.0,0.975,0.0,0.69,2.825,0.0
4.377,0.024,12.734,0,0.0,0,11.714,3.667,4.039,5.7,5.69,5.678,5.517,5.275,0.169,8.97,27.987,8.463,25.529,0.224,20.152,7.941,35.286,0.194,17.463,6.951,30.203,27.242,0.107,2.0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3.0,1.949,17.73,0.8,2.529,2.201,0.0,1.771,0.0,1.458,0.0,1.385,4.0,0.0
4.377,0.013,14.494,0,0.0,0,7.0,3.125,3.459,5.206,5.155,4.923,4.907,4.929,0.203,5.096,17.664,4.19,21.192,0.091,10.409,3.579,13.003,0.163,11.886,3.654,18.207,13.318,0.07,5.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.345,1.059,11.128,0.9,1.539,1.324,0.0,1.203,0.0,0.698,0.0,0.343,2.514,0.0
4.361,0.097,11.043,1,0.0,1,10.917,3.541,3.921,5.6,5.517,5.322,5.236,10.048,0.286,5.64,30.966,5.688,34.295,0.295,16.113,5.473,28.532,0.269,14.684,4.876,27.235,20.623,0.182,5.0,0,0,1,1,1,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2.449,1.688,22.48,0.74,2.185,1.925,0.0,1.472,0.0,1.244,0.0,1.052,3.58,0.0
4.377,0.036,20.882,2,0.0,0,9.818,3.372,3.7,5.456,5.505,5.44,5.27,7.981,0.185,6.068,20.651,6.802,25.94,0.295,25.073,7.247,30.608,0.247,20.991,6.404,26.771,19.919,0.106,11.0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.739,1.579,13.245,0.9,2.265,1.511,0.0,1.19,0.0,1.092,0.0,1.065,3.414,0.0
4.254,0.122,16.102,1,0.0,0,9.769,3.707,4.086,5.715,5.735,5.719,5.632,6.396,0.506,6.147,38.056,6.884,40.042,0.568,21.499,7.287,47.496,0.486,16.13,6.353,47.989,40.504,0.347,17.0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.915,1.592,29.178,0.77,2.486,2.429,0.0,1.817,0.0,1.759,0.0,1.213,3.821,0.0
4.708,0.013,15.616,0,0.0,0,12.423,3.461,3.766,5.747,5.773,5.681,5.618,5.997,0.096,7.957,28.961,8.354,49.634,0.17,18.401,7.284,44.779,0.328,16.755,6.355,58.109,24.159,0.195,10.0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,3.391,2.237,23.601,0.8,2.5,1.891,0.0,1.792,0.0,1.522,0.0,1.176,3.465,0.0
4.254,0.115,53.344,0,0.356,0,13.387,3.935,4.307,6.058,6.242,6.078,5.858,16.527,0.294,14.45,49.189,15.271,111.253,0.534,42.888,13.331,83.669,0.481,32.73,10.508,75.652,92.649,0.367,37.0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3.937,2.156,39.044,0.88,2.539,2.255,0.0,2.182,0.0,1.95,0.0,1.918,4.321,0.0
4.377,0.093,42.558,0,0.0,0,7.824,3.642,4.192,5.272,5.315,5.233,4.986,14.455,0.291,7.058,34.166,6.451,51.214,0.377,20.416,6.009,35.392,0.25,15.993,4.482,33.854,35.804,0.072,10.0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.082,1.149,22.322,0.77,1.547,1.0,0.0,0.942,0.0,0.685,0.0,0.154,2.596,0.0
4.854,0.181,53.987,0,0.0,0,13.097,3.945,4.318,6.193,6.305,6.193,5.915,23.52,0.901,11.99,92.204,12.978,172.219,1.165,34.233,11.55,154.166,0.769,30.458,9.838,85.34,147.712,0.776,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3.808,2.1,53.813,0.88,2.866,2.631,0.0,2.355,0.0,2.11,0.0,1.884,4.309,0.0
4.377,0.057,42.195,0,-0.075,0,9.217,3.713,4.052,5.679,5.775,5.688,5.532,13.263,0.233,9.696,42.202,11.398,56.662,0.348,26.263,9.664,53.734,0.217,22.385,8.369,35.149,51.987,0.183,10.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,1.289,26.231,0.9,2.623,2.457,0.0,2.19,0.0,1.483,0.0,1.354,3.562,0.0
4.377,0.105,69.098,1,0.0,0,10.542,3.733,4.031,5.683,5.761,5.573,5.234,19.7,0.231,9.294,37.502,9.564,44.394,0.432,26.411,8.322,58.352,0.224,22.235,7.708,28.973,47.033,0.343,27.0,2,0,1,1,1,0,4,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,3.536,1.58,26.565,0.9,2.073,1.755,0.0,1.641,0.0,1.33,0.0,1.094,3.426,0.0
4.377,0.128,46.646,0,0.0,0,12.286,3.908,4.295,5.862,6.01,6.04,5.871,16.598,0.386,10.291,41.168,10.89,77.849,0.628,29.373,10.69,74.281,0.538,27.653,10.423,80.419,95.481,0.46,26.0,1,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,1,4.183,1.949,38.029,0.78,2.734,2.485,0.0,2.301,0.0,1.864,0.0,1.488,3.509,0.0
4.377,0.07,38.192,1,0.0,0,12.214,3.575,3.961,5.985,6.24,6.076,5.932,11.613,0.447,9.243,60.844,9.758,113.419,0.838,29.386,9.128,127.548,0.792,29.628,9.387,135.209,87.766,0.269,51.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.937,1.699,45.254,0.9,2.846,2.435,0.0,2.099,0.0,2.029,0.0,1.835,3.778,0.0
4.377,0.111,45.849,0,0.0,0,12.194,3.952,4.334,6.008,6.22,6.062,6.268,15.53,0.347,11.374,37.061,11.616,96.636,0.536,31.852,11.394,80.63,0.92,29.143,10.986,137.067,56.519,0.381,37.0,1,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,2,4.123,1.89,43.644,0.75,2.829,2.441,0.0,2.011,0.0,1.918,0.0,1.552,4.408,0.0
4.377,0.268,81.826,0,0.0,0,7.4,3.287,3.635,5.581,5.815,6.177,5.437,16.237,0.501,3.343,53.547,2.807,77.202,0.953,12.34,3.092,161.027,0.514,10.363,3.646,57.268,60.741,0.521,53.0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,3.317,1.2,36.698,0.72,2.037,1.946,0.0,1.496,0.0,1.0,0.0,1.0,2.831,0.0
4.867,0.084,8.138,0,0.0,0,8.647,3.271,3.612,5.125,5.062,4.789,4.961,4.28,0.218,4.397,19.565,4.109,26.948,0.181,5.885,3.027,21.496,0.256,9.645,3.429,28.593,10.946,0.162,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2.739,1.433,16.329,0.77,1.969,1.6,0.0,1.0,0.0,0.618,0.0,0.598,2.435,0.0
4.377,0.076,46.48,0,0.0,0,8.444,3.421,3.626,5.436,5.554,5.321,5.234,13.854,0.142,7.211,30.627,7.113,58.98,0.277,18.711,5.921,44.514,0.183,16.007,5.01,36.087,62.415,0.043,10.0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.082,1.333,21.832,0.8,1.562,1.0,0.0,1.0,0.0,0.89,0.0,0.372,2.7,0.0
7.184,0.536,309.213,3,-23.644,2,51.481,5.254,5.592,7.845,7.98,8.245,8.157,102.784,4.248,58.431,589.673,59.637,699.192,6.337,246.845,62.22,1192.73,5.953,267.667,70.116,893.594,930.329,7.751,1925.0,9,15,8,8,8,17,29,1,22,1,2,22,18,11,18,30,10,29,10,2,7,18,33,13.323,7.89,329.901,0.34,3.838,3.781,1.985,3.765,1.976,3.745,1.968,3.714,6.076,1.955
5.34,0.062,22.479,4,0.0,0,9.5,3.587,3.925,5.747,5.772,5.7,5.718,9.317,0.229,9.865,26.562,10.13,36.24,0.293,28.154,8.178,31.132,0.236,26.448,8.214,29.947,32.236,0.269,5.0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.449,1.393,13.179,0.78,2.323,2.09,0.0,1.799,0.0,1.528,0.0,1.432,3.588,0.0
5.963,0.041,24.8,4,0.0,0,10.821,3.601,3.918,5.73,5.723,5.661,5.652,8.924,0.255,9.023,28.328,9.05,35.388,0.315,25.842,7.601,31.943,0.223,24.4,7.458,27.525,31.435,0.238,3.0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.55,1.561,14.748,0.86,2.314,1.964,0.0,1.775,0.0,1.446,0.0,1.193,3.491,0.0
