pXC50,D.Dtr07,D.Dtr11,Eig03_AEA.ed.,Eig03_EA.ed.,SM12_AEA.dm.,GATS7m,SssssC,SpMin2_Bh.v.,nR07,nR11,P_VSA_i_1,P_VSA_s_1,SpMax1_Bh.m.,SpMax1_Bh.p.,SddssS,P_VSA_m_4,SsssCH,Eig04_EA.bo.,SM14_AEA.ri.,MAXDN,SpMax1_Bh.e.,MATS7m,MAXDP,Eta_sh_y,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,NaaCH,SM07_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,SM11_EA.bo.,SaaCH,SM12_EA.bo.,D.Dtr10,N.071,Eig01_AEA.dm.,NddssS,nS,S.110,SpDiam_AEA.dm.,SpMax_AEA.dm.,MATS5v,SpMin1_Bh.e.,nR10,MATS8s,nArNR2,SM06_EA.bo.,SM08_EA.bo.,nHM,SpMAD_EA.ri.,MATS1s,SM05_EA.bo.,SpMAD_AEA.bo.,SpMin2_Bh.p.,GATS7p,MATS7p,MATS7v,MATS8m,PW2,SpMin2_Bh.i.,MATS7e,C.024
5.638,0.0,0.0,6.533,9.957,9.957,0.877,0.278,2.02,0,0,0.0,0.0,4.034,4.053,0.0,0.0,0.523,3.111,3.111,2.869,4.13,0.076,5.974,0.341,18.419,19.781,21.094,4,10.5,13.118,14.511,15.759,6.403,17.13,376.95,0,3.781,0,0,0,5.781,3.781,-0.024,2.052,2,-0.082,0,9.472,11.943,0,1.5,-0.045,7.893,1.536,2.023,0.95,0.008,0.043,-0.008,0.598,1.887,0.035,4
5.116,0.0,0.0,6.533,9.885,9.885,0.871,0.284,2.02,0,0,0.0,0.0,4.034,4.053,0.0,0.0,0.565,3.119,3.119,2.857,4.13,0.086,5.959,0.341,18.202,19.543,20.82,4,10.438,13.009,14.387,15.597,6.275,16.951,380.92,0,3.781,0,0,0,5.781,3.781,-0.033,2.052,2,-0.054,0,9.44,11.87,0,1.5,-0.045,7.867,1.534,2.022,0.957,0.002,0.035,0.012,0.599,1.886,0.103,4
5.395,0.0,0.0,6.533,9.885,9.885,0.846,0.289,2.02,0,0,0.0,0.0,4.034,4.053,0.0,0.0,0.598,3.151,3.151,2.848,4.13,0.106,5.947,0.341,18.163,19.499,20.767,4,10.431,12.993,14.367,15.57,6.182,16.919,385.151,0,3.781,0,0,0,5.781,3.781,-0.03,2.052,2,0.017,0,9.438,11.861,0,1.5,-0.045,7.867,1.537,2.021,0.94,0.017,0.062,0.021,0.6,1.885,0.051,4
5.939,0.0,0.0,6.533,9.973,9.973,0.905,0.277,2.021,0,0,0.0,0.0,4.034,4.053,0.0,0.0,0.52,3.111,3.111,2.867,4.13,0.05,6.003,0.334,18.42,19.782,21.095,4,10.501,13.119,14.512,15.76,6.461,17.132,388.8,0,3.782,0,0,0,5.782,3.782,-0.023,2.052,2,-0.066,0,9.475,11.945,0,1.497,-0.048,7.893,1.534,2.024,0.964,-0.004,0.023,0.008,0.595,1.887,0.025,4
5.287,0.0,0.0,6.533,9.885,9.885,0.854,0.288,2.021,0,0,0.0,0.0,4.034,4.053,0.0,0.0,0.596,3.153,3.153,2.847,4.13,0.095,5.969,0.334,18.164,19.5,20.769,4,10.432,12.994,14.369,15.571,6.25,16.921,398.956,0,3.781,0,0,0,5.781,3.781,-0.029,2.052,2,0.023,0,9.441,11.863,0,1.497,-0.048,7.867,1.534,2.022,0.953,0.007,0.05,0.036,0.596,1.886,0.051,4
5.185,0.0,0.0,6.533,10.157,10.157,0.941,-0.385,2.022,0,0,0.0,0.0,4.035,4.054,0.0,0.0,0.53,3.204,3.204,2.856,4.131,0.019,6.04,0.314,18.091,19.416,20.668,4,10.457,12.982,14.342,15.527,6.558,16.864,432.97,0,3.781,0,0,0,5.781,3.781,-0.027,2.052,2,0.026,0,9.476,11.867,0,1.498,-0.06,7.935,1.536,2.026,1.023,-0.03,-0.009,0.033,0.604,1.869,0.014,4
5.279,0.0,0.0,6.533,10.157,10.157,0.894,-0.351,2.022,0,0,0.0,0.0,4.035,4.054,0.0,0.0,0.565,3.21,3.21,2.848,4.131,0.053,6.019,0.314,18.058,19.38,20.627,4,10.45,12.967,14.324,15.503,6.484,16.838,441.129,0,3.781,0,0,0,5.781,3.781,-0.025,2.052,2,-0.054,0,9.473,11.858,0,1.501,-0.06,7.935,1.543,2.025,1.029,-0.032,-0.004,-0.003,0.605,1.869,0.094,4
5.578,0.0,0.0,6.533,9.885,9.885,0.883,0.317,2.02,0,0,0.0,0.0,4.032,4.052,0.0,0.0,0.739,3.11,3.11,2.823,4.129,0.076,5.901,0.338,18.151,19.493,20.769,4,10.372,12.949,14.332,15.543,6.865,16.9,342.638,0,3.781,0,0,0,5.781,3.781,-0.018,2.052,2,-0.051,0,9.371,11.808,0,1.508,-0.066,7.796,1.542,2.019,0.949,0.011,0.042,0.023,0.602,1.864,0.046,4
4.788,0.0,0.0,6.533,9.885,9.885,0.908,0.318,2.02,0,0,0.0,0.0,4.032,4.052,0.0,0.0,0.754,3.111,3.111,2.819,4.129,0.057,5.896,0.338,17.989,19.322,20.574,4,10.311,12.855,14.231,15.415,6.771,16.763,343.654,0,3.781,0,0,0,5.781,3.781,-0.027,2.052,2,-0.056,0,9.34,11.743,0,1.509,-0.066,7.767,1.536,2.018,0.955,0.006,0.03,0.006,0.602,1.863,0.031,4
4.799,0.0,0.0,6.533,9.885,9.885,0.864,0.32,2.02,0,0,0.0,0.0,4.032,4.052,0.0,0.0,0.765,3.111,3.111,2.816,4.129,0.095,5.893,0.338,17.957,19.287,20.534,4,10.304,12.839,14.212,15.39,6.704,16.736,344.739,0,3.781,0,0,0,5.781,3.781,-0.017,2.052,2,-0.07,0,9.337,11.734,0,1.508,-0.066,7.767,1.542,2.018,0.953,0.01,0.047,-0.015,0.602,1.863,0.076,4
5.5,0.0,0.0,6.533,9.885,9.885,0.832,0.251,2.015,0,0,0.0,0.0,4.033,4.052,0.0,0.0,0.353,3.111,3.111,2.922,4.129,0.102,5.864,0.359,18.321,19.673,20.97,3,10.47,13.066,14.451,15.684,2.745,17.047,355.818,0,3.781,0,0,0,5.781,3.781,-0.014,2.052,2,-0.047,0,9.448,11.904,0,1.502,-0.037,7.882,1.545,2.012,0.937,0.011,0.052,0.019,0.605,1.849,0.077,3
5.093,0.0,0.0,6.533,9.885,9.885,0.886,0.328,2.046,0,0,0.0,0.0,4.034,4.054,0.0,0.0,0.816,3.11,3.11,2.798,4.13,0.074,5.962,0.352,18.511,19.883,21.21,3,10.529,13.166,14.563,15.828,5.754,17.207,353.717,0,3.781,0,0,0,5.781,3.781,-0.037,2.052,2,-0.053,0,9.479,11.973,0,1.517,-0.057,7.907,1.544,2.039,0.944,0.011,0.04,0.037,0.604,1.913,0.051,3
5.367,0.0,0.0,6.533,9.885,9.885,0.923,0.329,2.046,0,0,0.0,0.0,4.034,4.054,0.0,0.0,0.818,3.111,3.111,2.798,4.13,0.048,5.955,0.352,18.496,19.865,21.19,3,10.527,13.16,14.556,15.817,5.664,17.195,354.733,0,3.781,0,0,0,5.781,3.781,-0.009,2.052,2,-0.052,0,9.478,11.969,0,1.516,-0.057,7.907,1.541,2.039,0.953,0.003,0.023,0.024,0.605,1.914,0.03,3
5.285,0.0,0.0,6.533,9.885,9.885,0.881,0.301,2.016,0,0,0.0,0.0,4.034,4.053,0.0,0.0,0.661,3.112,3.112,2.834,4.13,0.073,5.986,0.341,18.253,19.6,20.887,3,10.448,13.029,14.411,15.632,4.973,16.991,380.437,0,3.781,0,0,0,5.781,3.781,-0.02,2.052,2,-0.095,0,9.446,11.883,0,1.482,-0.049,7.873,1.524,2.017,0.963,-0.001,0.036,-0.032,0.597,1.862,0.034,3
5.65,0.0,0.0,6.533,9.885,9.885,0.861,0.248,2.02,0,0,0.0,0.0,4.037,4.056,0.0,0.0,0.495,3.445,3.445,2.785,4.133,0.118,6.429,0.316,18.289,19.65,20.894,9,10.537,13.109,14.539,15.693,15.059,17.08,461.888,0,3.824,0,0,0,5.824,3.824,-0.004,2.052,2,-0.098,0,9.63,12.044,0,1.492,-0.031,7.956,1.523,2.021,0.946,0.018,0.057,-0.03,0.593,1.884,0.13,9
4.394,0.0,0.0,6.533,9.885,9.885,0.891,0.266,2.02,0,0,0.0,0.0,4.034,4.053,0.0,0.0,0.449,3.111,3.111,2.891,4.129,0.065,5.927,0.349,18.402,19.763,21.073,4,10.49,13.106,14.498,15.744,5.977,17.115,365.341,0,3.781,0,0,0,5.781,3.781,-0.018,2.052,2,-0.065,0,9.463,11.933,0,1.515,-0.056,7.885,1.546,2.021,0.947,0.011,0.039,0.013,0.602,1.885,0.026,4
4.445,0.0,0.0,6.533,9.885,9.885,0.849,0.273,2.019,0,0,0.0,0.0,4.033,4.053,0.0,0.0,0.502,3.116,3.116,2.876,4.129,0.106,5.919,0.349,18.185,19.525,20.8,4,10.427,12.996,14.374,15.582,5.794,16.936,368.342,0,3.781,0,0,0,5.781,3.781,-0.02,2.052,2,-0.067,0,9.43,11.859,0,1.516,-0.056,7.859,1.543,2.02,0.952,0.008,0.048,-0.011,0.602,1.884,0.112,4
4.387,0.0,0.0,6.533,9.885,9.885,0.908,0.286,2.028,0,0,0.0,0.0,4.034,4.053,0.0,0.0,0.594,3.113,3.113,2.846,4.13,0.055,5.926,0.341,18.133,19.468,20.733,4,10.417,12.972,14.346,15.544,6.131,16.893,385.945,0,3.781,0,0,0,5.781,3.781,-0.002,2.052,2,-0.075,0,9.428,11.845,0,1.513,-0.055,7.859,1.543,2.024,0.945,0.009,0.028,-0.004,0.602,1.903,0.047,4
7.081,147.729,239.475,7.172,12.409,12.409,1.214,-0.977,2.091,1,1,5.807,5.807,4.748,4.138,-3.917,5.807,-1.604,3.463,3.463,4.833,4.169,-0.071,7.37,0.216,20.549,22.106,23.658,7,11.412,14.414,15.966,17.463,13.089,19.015,0.0,1,4.768,1,1,1,6.768,4.768,0.047,2.013,0,-0.086,1,10.134,12.988,1,1.421,-0.107,8.45,1.467,2.079,1.213,-0.116,-0.056,-0.104,0.578,1.902,-0.046,7
8.222,89.611,147.97,6.675,10.715,10.715,1.309,-0.947,2.054,1,1,5.807,5.807,4.742,4.128,-3.833,5.807,-1.456,3.411,3.411,4.75,4.155,-0.154,6.645,0.251,20.385,21.933,23.473,7,11.266,14.275,15.828,17.316,12.808,18.863,0.0,1,4.723,1,1,1,6.723,4.723,0.035,2.011,0,-0.164,1,9.99,12.855,1,1.452,-0.17,8.277,1.492,2.027,1.23,-0.143,-0.098,-0.249,0.583,1.89,-0.11,7
7.357,96.613,158.98,6.678,10.729,10.729,1.244,-1.086,2.058,1,1,5.807,5.807,4.742,4.129,-3.952,5.807,-1.866,3.487,3.487,4.869,4.16,-0.115,6.67,0.265,20.446,21.986,23.52,7,11.38,14.372,15.913,17.395,11.247,18.931,0.0,1,4.723,1,1,1,6.723,4.723,0.042,2.016,0,-0.173,1,10.1,12.956,1,1.46,-0.079,8.404,1.5,2.032,1.233,-0.142,-0.077,-0.137,0.585,1.901,-0.017,7
6.237,93.508,154.524,6.801,11.023,11.023,1.274,-0.926,2.062,1,1,5.807,5.807,4.748,4.135,-3.845,5.807,-1.493,3.446,3.446,4.761,4.163,-0.159,6.985,0.269,20.534,22.095,23.649,7,11.339,14.372,15.934,17.439,12.148,18.997,0.0,1,4.768,1,1,1,6.768,4.768,0.025,2.01,0,-0.198,1,10.042,12.933,1,1.458,-0.145,8.332,1.512,2.038,1.246,-0.17,-0.12,-0.121,0.588,1.897,-0.041,7
6.161,120.199,196.467,6.804,11.045,11.045,0.642,-0.97,2.065,1,1,5.807,5.807,6.88,4.137,-3.903,5.807,-1.595,3.463,3.463,4.819,4.166,-0.057,7.248,0.238,20.542,22.101,23.654,7,11.364,14.388,15.947,17.45,12.943,19.006,0.0,1,4.768,1,1,1,6.768,4.768,0.012,2.013,0,-0.081,1,10.078,12.954,2,1.422,-0.106,8.37,1.479,2.039,1.108,-0.125,-0.093,-0.019,0.574,1.902,-0.077,7
5.921,96.02,158.619,6.804,11.044,11.044,1.239,-0.907,2.063,1,1,5.807,5.807,4.748,4.136,-3.834,5.807,-1.436,3.456,3.456,4.751,4.164,-0.119,7.069,0.261,20.539,22.099,23.653,7,11.347,14.379,15.941,17.445,13.112,19.002,0.0,1,4.768,1,1,1,6.768,4.768,0.022,2.01,0,-0.154,1,10.05,12.941,1,1.444,-0.136,8.337,1.5,2.038,1.229,-0.155,-0.096,-0.143,0.582,1.898,-0.052,7
6.013,107.418,176.485,6.804,11.045,11.045,1.065,-0.984,2.064,1,1,5.807,5.807,4.748,4.136,-3.907,44.956,-1.64,3.463,3.463,4.824,4.165,-0.107,7.15,0.265,20.542,22.101,23.654,7,11.364,14.387,15.947,17.45,12.601,19.005,0.0,1,4.768,1,1,1,6.768,4.768,0.014,2.013,0,-0.092,1,10.075,12.953,2,1.438,-0.114,8.37,1.492,2.039,1.189,-0.138,-0.097,-0.084,0.582,1.901,-0.077,7
6.244,97.918,161.339,6.801,11.024,11.024,1.287,-0.896,2.063,1,1,5.807,5.807,4.748,4.136,-3.825,5.807,-1.397,3.455,3.455,4.741,4.164,-0.161,7.051,0.261,20.536,22.096,23.65,7,11.345,14.375,15.937,17.442,13.111,18.999,0.0,1,4.768,1,1,1,6.768,4.768,0.016,2.01,0,-0.205,1,10.049,12.938,1,1.444,-0.136,8.337,1.501,2.038,1.253,-0.168,-0.119,-0.111,0.583,1.898,-0.042,7
7.585,95.01,156.195,6.672,10.695,10.695,1.322,-0.938,2.053,1,1,5.807,5.807,4.742,4.128,-3.829,5.807,-1.415,3.419,3.419,4.746,4.155,-0.165,6.683,0.244,20.384,21.932,23.471,7,11.269,14.275,15.828,17.315,12.992,18.861,0.0,1,4.723,1,1,1,6.723,4.723,0.038,2.01,0,-0.239,1,9.996,12.857,1,1.434,-0.144,8.283,1.482,2.026,1.249,-0.151,-0.098,-0.163,0.58,1.889,-0.057,7
4.125,0.0,0.0,6.533,9.885,9.885,0.881,0.523,2.007,0,0,0.0,0.0,4.027,4.048,0.0,0.0,2.631,2.672,2.672,2.351,4.123,0.061,5.247,0.338,17.551,18.846,20.141,0,9.863,12.407,13.7,14.971,0.0,16.263,161.438,0,3.746,0,0,0,5.746,3.746,-0.039,2.052,2,-0.148,0,8.744,11.177,0,1.544,-0.075,7.327,1.566,1.982,0.945,-0.021,0.021,-0.077,0.613,1.811,0.009,0
4.62,0.0,0.0,6.723,10.729,10.729,0.99,0.0,2.031,0,0,0.0,0.0,3.958,3.867,0.0,0.0,-16.119,3.345,3.345,2.943,4.046,0.031,8.13,0.439,17.869,19.087,20.302,0,10.636,13.038,14.267,15.447,0.0,16.666,0.0,0,4.039,0,0,0,5.847,4.039,0.011,1.857,0,0.09,0,9.627,11.908,0,1.468,-0.048,8.214,1.533,2.039,0.977,0.021,0.044,-0.063,0.592,1.791,-0.096,0
5.553,0.0,0.0,6.73,10.757,10.757,0.934,0.0,1.983,0,0,0.0,0.0,4.15,4.111,0.0,0.0,-10.187,3.461,3.461,3.366,4.166,0.009,7.623,0.457,20.72,22.282,23.835,4,11.558,14.573,16.14,17.63,6.294,19.189,243.35,0,3.874,0,0,0,5.874,3.874,0.089,2.101,1,0.034,0,10.33,13.169,0,1.408,-0.118,8.576,1.48,1.983,1.13,-0.06,-0.039,-0.07,0.578,1.824,0.039,4
5.971,0.0,0.0,6.6,10.441,10.441,1.026,0.0,2.087,0,0,0.0,0.0,4.046,3.978,0.0,0.0,0.0,3.53,3.53,2.489,4.087,-0.03,6.939,0.302,19.252,20.676,22.038,9,10.962,13.716,15.207,16.478,13.327,17.924,265.995,0,3.846,0,0,0,5.846,3.846,0.147,1.99,1,0.287,1,9.98,12.547,0,1.404,0.003,8.195,1.491,2.102,0.974,0.023,0.023,0.102,0.578,1.879,-0.131,9
6.051,163.558,263.213,7.227,12.486,12.486,1.26,-0.721,2.098,1,1,6.046,6.046,4.749,4.173,-3.631,6.046,-1.31,3.61,3.61,4.548,4.178,-0.11,7.119,0.227,20.422,21.964,23.495,11,11.414,14.372,15.919,17.377,22.502,18.916,0.0,1,5.271,1,1,1,7.271,5.271,0.11,2.016,0,-0.234,1,10.218,13.004,1,1.439,-0.105,8.489,1.504,2.078,1.154,-0.082,-0.043,-0.129,0.588,1.948,-0.021,11
6.114,0.0,0.0,6.6,10.441,10.441,1.032,0.0,2.087,0,0,0.0,0.0,4.046,3.978,0.0,0.0,0.0,3.53,3.53,2.489,4.086,-0.038,6.933,0.309,19.252,20.676,22.038,9,10.962,13.716,15.207,16.478,13.321,17.924,257.355,0,3.846,0,0,0,5.846,3.846,0.15,1.99,1,0.284,1,9.979,12.547,0,1.408,0.0,8.195,1.496,2.102,0.974,0.022,0.02,0.099,0.58,1.879,-0.138,9
4.201,95.01,156.195,6.672,10.695,10.695,1.301,-0.688,2.072,1,1,6.046,6.046,4.749,4.17,-3.579,6.046,-1.241,3.419,3.419,4.496,4.169,-0.147,6.794,0.243,20.384,21.932,23.471,7,11.269,14.275,15.828,17.315,13.23,18.861,0.0,1,5.271,1,1,1,7.271,5.271,0.038,2.015,0,-0.231,1,9.996,12.857,1,1.423,-0.125,8.283,1.482,2.036,1.205,-0.126,-0.076,-0.162,0.58,1.928,-0.046,7
5.796,0.0,0.0,6.546,9.989,9.989,0.882,0.436,2.006,0,0,0.0,0.0,4.061,4.064,0.0,0.0,2.708,2.888,2.888,2.673,4.144,0.061,5.496,0.343,18.292,19.635,20.964,1,10.352,12.986,14.346,15.632,2.018,16.978,185.936,0,3.764,0,0,0,5.764,3.764,-0.024,2.052,2,-0.083,0,9.264,11.761,0,1.536,-0.031,7.713,1.572,1.984,0.977,-0.019,0.019,-0.011,0.607,1.814,0.036,0
5.824,0.0,0.0,6.548,10.031,10.031,0.926,0.303,2.017,0,0,0.0,0.0,4.078,4.071,0.0,0.0,2.326,3.479,3.479,2.683,4.155,0.023,5.748,0.347,18.726,20.107,21.442,5,10.662,13.336,14.76,16.024,9.594,17.418,247.488,0,3.765,0,0,0,5.765,3.765,-0.019,2.051,2,-0.05,0,9.636,12.153,0,1.517,-0.05,7.987,1.556,2.015,1.024,-0.032,-0.008,0.015,0.604,1.881,0.022,4
4.495,0.0,0.0,6.386,9.912,9.912,0.919,0.572,2.079,0,0,0.0,0.0,4.075,4.072,0.0,0.0,3.897,3.479,3.479,2.668,4.156,0.043,6.064,0.34,19.13,20.524,21.888,3,10.943,13.656,15.08,16.385,6.183,17.787,601.912,0,3.781,0,0,0,5.781,3.781,-0.037,2.054,3,0.021,0,9.866,12.426,0,1.483,0.003,8.23,1.536,2.082,0.972,-0.008,0.016,0.082,0.597,1.945,0.042,2
5.593,0.0,0.0,6.393,9.7,9.7,1.044,0.0,1.982,0,0,0.0,0.0,4.143,4.107,0.0,0.0,0.072,3.435,3.435,2.457,4.158,-0.05,6.818,0.417,20.702,22.264,23.818,4,11.498,14.538,16.113,17.606,6.658,19.168,183.293,0,3.818,0,0,0,5.818,3.818,0.049,2.1,1,0.014,0,10.255,13.125,0,1.39,-0.052,8.47,1.453,1.959,1.134,-0.124,-0.114,-0.086,0.567,1.823,0.049,4
