pXC50,nO,nC,O.,nCsp2,Mp,nBO,nF,nSK,Sp,nBM,Sv,MW,Me,nAB,nX,Se,Si,nBT,C.,nAT,nH,SCBO,H.,RBF,nDB,Mv,X.,RBN,nN,nCL
7.553,5,25,7.5,16,0.654,39,0,36,43.847,20,41.716,513.68,1.011,17,0,67.709,75.856,70,37.3,67,31,50.5,46.3,0.129,3,0.623,0.0,9,5,0
8.745,4,22,7.1,16,0.647,32,0,30,36.216,18,34.74,410.52,1.008,17,0,56.436,63.398,58,39.3,56,26,41.5,46.4,0.172,1,0.62,0.0,10,4,0
5.0,1,19,2.5,15,0.736,30,1,26,29.455,17,28.505,390.26,1.024,16,3,40.978,44.838,44,47.5,40,14,39.0,35.0,0.0,1,0.713,7.5,0,3,2
8.879,2,20,5.1,20,0.731,27,2,25,28.523,21,27.598,356.41,1.021,18,2,39.825,43.34,41,51.3,39,14,39.0,35.9,0.098,3,0.708,5.1,4,0,0
8.658,3,20,6.1,16,0.658,29,0,27,32.239,18,30.971,366.46,1.007,17,0,49.342,55.358,51,40.8,49,22,38.5,44.9,0.137,1,0.632,0.0,7,4,0
7.745,3,23,5.4,16,0.655,34,1,31,36.699,18,35.408,424.52,1.011,17,1,56.621,63.528,59,41.1,56,25,43.5,44.6,0.119,1,0.632,1.8,7,4,0
8.845,2,20,4.9,18,0.714,27,2,25,29.284,20,28.125,358.43,1.017,18,2,41.709,45.755,43,48.8,41,16,38.0,39.0,0.116,2,0.686,4.9,5,0,0
9.187,3,21,7.0,21,0.721,30,2,28,30.983,22,30.334,399.44,1.029,18,2,44.254,48.048,45,48.8,43,15,43.0,34.9,0.111,4,0.705,4.7,5,1,0
7.921,2,24,3.4,16,0.651,38,5,35,37.756,18,37.753,494.51,1.038,17,5,60.229,67.093,61,41.4,58,23,47.5,39.7,0.115,1,0.651,8.6,7,4,0
8.292,4,25,6.2,17,0.646,38,0,35,41.989,19,40.309,478.61,1.008,17,0,65.523,73.81,68,38.5,65,30,48.5,46.2,0.118,2,0.62,0.0,8,6,0
8.066,3,23,5.4,16,0.654,35,2,32,36.637,18,35.791,442.51,1.02,17,2,57.134,63.868,59,41.1,56,24,44.5,42.9,0.119,1,0.639,3.6,7,4,0
8.292,3,23,5.4,16,0.655,34,1,31,36.699,18,35.408,424.52,1.011,17,1,56.621,63.528,59,41.1,56,25,43.5,44.6,0.119,1,0.632,1.8,7,4,0
5.6,0,15,0.0,6,0.625,20,0,18,25.631,6,23.332,245.41,0.979,6,0,40.141,46.647,43,36.6,41,23,23.0,56.1,0.07,0,0.569,0.0,3,3,0
8.297,4,24,6.7,16,0.65,35,0,32,38.978,18,37.266,436.56,1.005,17,0,60.32,67.813,63,40.0,60,28,44.5,46.7,0.127,1,0.621,0.0,8,4,0
6.542,3,24,5.1,17,0.654,38,3,35,38.58,19,38.196,487.53,1.03,17,3,60.749,67.706,62,40.7,59,24,48.5,40.7,0.113,2,0.647,5.1,7,5,0
10.155,3,22,6.5,20,0.708,29,1,27,32.563,21,30.983,382.48,1.009,18,1,46.407,51.04,48,47.8,46,19,41.0,41.3,0.104,3,0.674,2.2,5,0,0
8.276,3,24,5.1,17,0.668,39,3,36,39.438,19,39.024,521.97,1.035,17,4,61.072,67.65,62,40.7,59,23,49.5,39.0,0.113,2,0.661,6.8,7,5,1
8.721,2,24,3.4,16,0.653,36,3,33,37.881,18,36.987,458.53,1.021,17,3,59.203,66.414,61,41.4,58,25,45.5,43.1,0.115,1,0.638,5.2,7,4,0
9.658,3,22,6.5,20,0.708,29,1,27,32.563,21,30.983,382.48,1.009,18,1,46.407,51.04,48,47.8,46,19,41.0,41.3,0.104,3,0.674,2.2,5,0,0
7.638,2,24,3.4,16,0.653,36,3,33,37.881,18,36.987,458.53,1.021,17,3,59.203,66.414,61,41.4,58,25,45.5,43.1,0.115,1,0.638,5.2,7,4,0
8.387,3,23,5.4,16,0.654,35,2,32,36.637,18,35.791,442.51,1.02,17,2,57.134,63.868,59,41.1,56,24,44.5,42.9,0.119,1,0.639,3.6,7,4,0
7.824,3,25,4.8,17,0.653,37,1,34,40.466,19,38.956,465.58,1.01,17,1,62.607,70.442,65,40.3,62,28,47.5,45.2,0.108,2,0.628,1.6,7,5,0
8.658,3,25,4.8,17,0.667,38,1,35,41.324,19,39.784,500.02,1.015,17,2,62.931,70.386,65,40.3,62,27,48.5,43.5,0.108,2,0.642,3.2,7,5,1
5.8,1,15,2.5,7,0.655,22,0,20,26.182,7,24.348,293.83,0.998,6,1,39.909,45.385,42,37.5,40,20,26.0,50.0,0.071,1,0.609,2.5,3,3,1
8.347,4,26,6.1,17,0.648,38,0,35,42.745,19,40.815,477.62,1.005,17,0,66.305,74.727,69,39.4,66,31,48.5,47.0,0.116,2,0.618,0.0,8,5,0
9.222,3,23,5.4,16,0.671,35,1,32,37.557,18,36.236,458.96,1.017,17,2,56.945,63.472,59,41.1,56,24,44.5,42.9,0.119,1,0.647,3.6,7,4,1
8.62,3,24,5.1,16,0.65,37,3,34,38.336,18,37.701,474.53,1.026,17,3,60.53,67.623,62,40.7,59,25,46.5,42.4,0.113,1,0.639,5.1,7,4,0
9.155,3,24,5.1,16,0.65,37,3,34,38.336,18,37.701,474.53,1.026,17,3,60.53,67.623,62,40.7,59,25,46.5,42.4,0.113,1,0.639,5.1,7,4,0
9.699,3,21,7.0,21,0.721,30,2,28,30.983,22,30.334,399.44,1.029,18,2,44.254,48.048,45,48.8,43,15,43.0,34.9,0.111,4,0.705,4.7,5,1,0
8.367,3,26,4.6,17,0.648,40,3,37,42.103,19,41.25,515.59,1.023,17,3,66.516,74.536,68,40.0,65,28,50.5,43.1,0.103,2,0.635,4.6,7,5,0
7.125,1,29,1.4,17,0.645,37,0,34,46.421,18,42.756,458.71,0.983,17,0,70.756,81.261,75,40.3,72,38,46.5,52.8,0.107,1,0.594,0.0,8,4,0
6.523,1,25,1.7,17,0.685,35,0,32,41.091,18,38.304,471.47,0.998,17,2,59.869,67.488,63,41.7,60,28,44.5,46.7,0.111,1,0.638,3.3,7,4,2
7.335,1,26,1.6,17,0.68,36,0,33,42.853,18,39.831,485.5,0.996,17,2,62.752,70.903,66,41.3,63,30,45.5,47.6,0.106,1,0.632,3.2,7,4,2
6.425,1,27,1.5,17,0.676,37,0,34,44.614,18,41.357,499.53,0.994,17,2,65.636,74.319,69,40.9,66,32,46.5,48.5,0.116,1,0.627,3.0,8,4,2
6.489,1,28,1.4,17,0.672,38,0,35,46.375,18,42.884,513.56,0.993,17,2,68.52,77.734,72,40.6,69,34,47.5,49.3,0.125,1,0.622,2.9,9,4,2
8.161,1,33,1.3,23,0.663,43,1,39,50.359,24,47.139,524.74,0.99,23,1,75.268,85.601,80,43.4,76,37,55.5,48.7,0.1,1,0.62,1.3,8,4,0
6.65,1,34,1.3,23,0.661,43,0,39,52.182,24,48.283,520.78,0.983,23,0,77.639,88.676,83,43.0,79,40,55.5,50.6,0.108,1,0.611,0.0,9,4,0
5.909,1,34,1.2,17,0.641,43,0,39,54.467,18,49.863,526.84,0.98,17,0,83.29,95.922,89,40.0,85,46,52.5,54.1,0.101,1,0.587,0.0,9,4,0
6.889,1,30,1.3,17,0.642,38,0,35,48.182,18,44.283,472.74,0.982,17,0,73.639,84.676,78,40.0,75,40,47.5,53.3,0.115,1,0.59,0.0,9,4,0
6.047,1,31,1.3,17,0.64,39,0,36,49.944,18,45.81,486.77,0.981,17,0,76.523,88.091,81,39.7,78,42,48.5,53.8,0.111,1,0.587,0.0,9,4,0
6.876,1,32,1.2,17,0.641,42,0,38,51.95,18,47.831,513.8,0.983,17,0,79.625,91.59,85,39.5,81,43,51.5,53.1,0.094,1,0.591,0.0,8,5,0
6.391,1,29,1.4,17,0.669,39,0,36,48.137,18,44.411,527.59,0.992,17,2,71.403,81.149,75,40.3,72,36,48.5,50.0,0.12,1,0.617,2.8,9,4,2
7.173,1,30,1.3,17,0.669,42,0,38,50.143,18,46.432,554.62,0.993,17,2,74.505,84.647,79,40.0,75,37,51.5,49.3,0.101,1,0.619,2.7,8,5,2
8.387,1,31,1.4,23,0.694,43,1,39,48.552,24,45.741,565.56,1.002,23,3,70.149,78.658,74,44.3,70,31,55.5,44.3,0.108,1,0.653,4.3,8,4,2
5.0,3,28,4.2,15,0.651,42,3,39,46.239,15,44.636,565.09,1.02,12,4,72.389,81.228,74,39.4,71,32,51.0,45.1,0.108,3,0.629,5.6,8,4,1
5.0,3,27,4.3,15,0.636,43,5,40,44.5,15,44.07,567.62,1.033,12,5,72.308,81.046,73,38.6,70,30,52.0,42.9,0.11,3,0.63,7.1,8,5,0
5.0,3,28,4.2,15,0.638,42,4,39,45.319,15,44.192,548.64,1.022,12,4,72.578,81.623,74,39.4,71,32,51.0,45.1,0.108,3,0.622,5.6,8,4,0
6.357,3,21,5.2,7,0.616,29,1,27,35.733,7,33.473,378.54,0.999,6,1,57.952,66.193,60,36.2,58,31,33.0,53.4,0.1,1,0.577,1.7,6,2,0
6.886,2,20,3.7,7,0.62,28,2,26,33.455,7,31.614,366.5,1.005,6,2,54.254,61.908,56,37.0,54,28,32.0,51.9,0.089,1,0.585,3.7,5,2,0
5.0,3,27,4.3,15,0.65,42,3,39,45.483,15,44.131,566.08,1.023,12,4,71.607,80.311,73,38.6,70,31,51.0,44.3,0.11,3,0.63,5.7,8,5,1
5.0,3,28,4.2,15,0.637,43,5,40,45.256,15,44.575,566.63,1.029,12,5,73.09,81.963,74,39.4,71,31,52.0,43.7,0.108,3,0.628,7.0,8,4,0
5.0,3,28,4.2,15,0.639,41,3,38,45.381,15,43.809,530.65,1.015,12,3,72.065,81.284,74,39.4,71,33,50.0,46.5,0.108,3,0.617,4.2,8,4,0
5.0,3,27,4.3,15,0.638,41,3,38,44.625,15,43.303,531.64,1.018,12,3,71.283,80.367,73,38.6,70,32,50.0,45.7,0.11,3,0.619,4.3,8,5,0
6.815,2,19,3.9,7,0.621,27,2,25,31.694,7,30.087,352.47,1.007,6,2,51.37,58.492,53,37.3,51,26,31.0,51.0,0.094,1,0.59,3.9,5,2,0
6.301,3,20,5.5,7,0.618,28,1,26,33.972,7,31.946,364.51,1.001,6,1,55.069,62.777,57,36.4,55,29,32.0,52.7,0.123,1,0.581,1.8,7,2,0
5.0,3,27,4.3,15,0.637,42,4,39,44.563,15,43.687,549.63,1.026,12,4,71.796,80.707,73,38.6,70,31,51.0,44.3,0.11,3,0.624,5.7,8,5,0
5.0,0,15,0.0,12,0.67,17,0,16,22.097,12,20.236,211.33,0.975,12,0,32.171,36.82,34,45.5,33,17,23.0,51.5,0.118,0,0.613,0.0,4,1,0
6.0,0,15,0.0,9,0.671,19,0,18,25.512,11,22.971,260.44,0.98,11,0,37.232,42.653,39,39.5,38,20,24.5,52.6,0.128,0,0.605,0.0,5,2,0
6.796,0,19,0.0,12,0.653,23,0,21,29.387,12,26.838,280.45,0.976,12,0,43.923,50.564,47,42.2,45,24,29.0,53.3,0.085,0,0.596,0.0,4,2,0
6.807,2,29,3.0,19,0.662,38,0,34,44.347,19,41.396,455.65,0.988,18,0,66.214,75.142,71,43.3,67,33,48.0,49.3,0.113,1,0.618,0.0,8,3,0
8.588,2,22,4.0,16,0.67,31,1,28,33.478,15,32.145,379.47,1.006,12,1,50.309,56.405,53,44.0,50,22,40.0,44.0,0.113,3,0.643,2.0,6,3,0
7.739,2,23,3.5,13,0.676,33,0,30,38.54,13,35.997,448.43,1.002,12,2,57.094,64.199,60,40.4,57,27,40.0,47.4,0.117,1,0.632,3.5,7,3,2
8.781,1,17,2.6,13,0.702,25,0,22,26.659,13,25.294,313.81,1.004,12,1,38.142,42.555,41,44.7,38,16,32.0,42.1,0.024,1,0.666,2.6,1,3,1
6.62,2,19,3.5,1,0.594,23,0,22,33.859,1,30.407,309.55,0.979,0,0,55.778,64.976,58,33.3,57,35,24.0,61.4,0.138,1,0.533,0.0,8,1,0
6.636,2,31,2.7,19,0.647,41,2,38,48.506,19,45.743,521.71,0.999,18,2,74.89,85.067,78,41.3,75,37,51.0,49.3,0.141,1,0.61,2.7,11,3,0
5.5,2,23,3.3,10,0.65,31,0,28,38.989,13,35.561,400.64,0.986,11,0,59.189,67.563,63,38.3,60,32,38.5,53.3,0.079,2,0.593,0.0,5,2,0
6.009,3,24,4.9,13,0.636,31,0,29,38.796,13,36.089,396.58,0.991,12,0,60.44,68.853,63,39.3,61,32,38.0,52.5,0.159,1,0.592,0.0,10,2,0
9.066,2,19,5.3,19,0.731,27,2,25,27.767,21,27.092,357.4,1.027,18,2,39.043,42.423,40,50.0,38,13,39.0,34.2,0.1,3,0.713,5.3,4,1,0
5.3,2,18,3.9,6,0.663,26,0,24,33.819,8,30.533,415.44,0.993,6,1,50.651,57.575,53,35.3,51,27,31.0,52.9,0.094,2,0.599,2.0,5,2,0
6.166,2,31,2.8,19,0.662,41,2,38,46.983,20,44.689,517.67,1.002,18,2,71.123,80.236,74,43.7,71,33,53.0,46.5,0.149,1,0.629,2.8,11,3,0
5.987,1,29,1.5,19,0.658,38,3,35,43.461,19,41.336,480.62,1.003,18,3,66.207,74.868,69,43.9,66,31,48.0,47.0,0.13,1,0.626,4.5,9,2,0
7.481,0,19,0.0,13,0.701,25,0,22,28.722,13,26.612,310.85,0.987,12,1,40.48,45.677,44,46.3,41,19,32.0,46.3,0.0,1,0.649,2.4,0,2,1
6.762,1,15,2.8,12,0.666,23,1,21,23.983,13,23.345,286.34,1.015,10,1,36.549,41.034,38,41.7,36,15,31.0,41.7,0.053,3,0.648,2.8,2,4,0
6.184,1,15,2.8,12,0.668,22,0,20,24.046,13,22.961,268.35,1.001,10,0,36.036,40.694,38,41.7,36,16,30.0,44.4,0.053,3,0.638,0.0,2,4,0
6.629,1,14,3.0,12,0.673,22,1,20,22.222,13,21.818,272.31,1.02,10,1,33.665,37.618,35,42.4,33,13,30.0,39.4,0.029,3,0.661,3.0,1,4,0
6.022,1,30,1.4,19,0.656,38,2,35,45.285,19,42.48,476.66,0.994,18,2,68.578,77.944,72,43.5,69,34,48.0,49.3,0.139,1,0.616,2.9,10,2,0
8.656,2,19,4.3,11,0.65,27,0,24,30.54,12,28.762,325.45,0.996,10,0,46.796,53.066,50,40.4,47,23,34.0,48.9,0.06,2,0.612,0.0,3,3,0
6.431,1,17,2.5,12,0.652,20,0,19,26.074,12,24.004,255.39,0.982,12,0,39.265,44.86,41,42.5,40,21,26.0,52.5,0.146,0,0.6,0.0,6,1,0
7.62,1,21,2.1,12,0.658,26,0,23,31.597,12,29.058,307.47,0.98,12,0,47.032,53.69,51,43.8,48,25,32.0,52.1,0.078,0,0.605,0.0,4,1,0
6.49,0,19,0.0,8,0.635,27,0,24,32.404,11,29.902,325.51,0.985,11,0,50.229,58.059,54,37.3,51,27,32.5,52.9,0.074,0,0.586,0.0,4,5,0
5.705,0,16,0.0,11,0.677,20,0,19,25.722,12,23.612,274.82,0.986,12,1,37.48,42.677,39,42.1,38,19,26.0,50.0,0.128,0,0.621,2.6,5,2,1
8.593,2,20,4.0,11,0.646,28,0,25,32.302,12,30.289,339.48,0.994,10,0,49.68,56.481,53,40.0,50,25,35.0,50.0,0.075,2,0.606,0.0,4,3,0
9.041,1,17,2.8,12,0.706,23,0,20,25.409,12,23.778,285.79,0.995,12,1,35.822,39.973,39,47.2,36,16,29.0,44.4,0.0,0,0.661,2.8,0,1,1
6.0,4,22,6.2,8,0.633,35,0,32,41.154,10,38.528,463.67,1.004,6,0,65.265,74.062,68,33.8,65,33,42.0,50.8,0.132,4,0.593,0.0,9,5,0
6.0,2,23,3.6,15,0.655,32,1,29,36.0,17,34.199,395.52,1.001,17,1,55.076,62.236,58,41.8,55,26,40.5,47.3,0.103,0,0.622,1.8,6,3,0
6.0,2,21,4.1,15,0.663,30,1,27,32.478,17,31.145,367.46,1.006,17,1,49.309,55.405,52,42.9,49,22,38.5,44.9,0.115,0,0.636,2.0,6,3,0
5.0,2,19,5.0,18,0.722,26,0,24,28.898,19,27.347,336.44,1.003,17,0,40.12,44.242,42,47.5,40,16,36.5,40.0,0.119,2,0.684,0.0,5,2,0
6.68,1,25,1.6,16,0.679,36,0,33,42.097,18,39.325,486.49,1.0,17,2,61.971,69.987,65,40.3,62,29,45.5,46.8,0.108,1,0.634,3.2,7,5,2
6.971,1,23,1.6,11,0.655,32,0,30,40.614,12,37.357,451.49,0.994,11,2,61.636,70.319,64,37.1,62,32,38.5,51.6,0.109,1,0.603,3.2,7,4,2
