pXC50,GGI10,Eig04_EA.bo.,SM14_AEA.ri.,ATSC1p,Psi_e_1,SsssCH,Eig04_AEA.bo.,ATSC2p,SM06_AEA.bo.,GGI9,X2v,SpMin3_Bh.i.,ATS1m,Eig04_EA,SM12_AEA.bo.,SM07_AEA.bo.,Eig04_AEA.ri.,SM05_AEA.bo.,ZM1MulPer,SpMax5_Bh.v.,ATS4s,X1v,Eig03_EA,SM11_AEA.bo.,Eig03_AEA.ri.,SM08_AEA.bo.,X3v,SpMax5_Bh.p.,SM05_EA.bo.,Eig04_EA.ri.,X2sol,ZM1V,SM04_EA.bo.,ZM2Mad,ATSC6s,ATSC5e,Eig02_AEA.bo.,SpMax2_Bh.e.,SpMax2_Bh.i.,ATSC5s,GGI1,ZM1Kup,ZM1Per,Eig03_AEA.bo.,SM07_EA.bo.,ZM2MulPer,DELS,Eig03_EA.ri.,SM06_EA.bo.,SpMax8_Bh.s.,ATS2s,SpMin3_Bh.e.,SM03_EA,Psi_i_s,SMTIV,SM03_EA.ri.,ZM2V,ZM1Mad,nCs,SpMax4_Bh.s.,SM08_EA,SpMax4_Bh.p.,SM08_EA.bo.,SM02_EA.dm.,SM07_EA
7.824,0.341,3.114,3.114,6.824,6.175,-2.113,3.956,11.014,10.457,0.461,10.172,1.71,3.918,2.699,2.699,11.858,3.678,9.075,659.603,3.418,6.553,12.453,2.966,2.966,3.931,13.274,6.402,3.402,7.908,2.631,17.059,612.0,7.226,261.798,209.831,1.341,4.349,3.867,3.888,143.67,9.5,682.894,852.72,4.156,10.641,573.581,65.258,2.854,9.623,4.554,6.065,1.75,4.575,98.528,32095.0,4.467,533.0,234.248,4,6.456,10.589,3.547,12.192,3.439,9.348
8.602,0.314,2.999,2.999,6.058,5.304,-0.413,3.754,10.538,10.254,0.429,9.66,1.738,3.8,2.555,2.555,11.615,3.551,8.912,529.566,3.408,6.121,12.087,2.754,2.754,3.683,12.992,6.592,3.416,7.835,2.469,15.721,488.0,7.271,225.38,114.921,0.578,4.226,3.95,3.976,115.562,8.5,478.36,683.16,3.929,10.682,464.597,35.512,2.598,9.713,4.305,5.854,1.78,4.205,80.556,28328.0,4.085,436.0,209.735,4,5.042,9.844,3.611,12.344,2.748,8.613
6.886,0.223,3.444,3.444,7.101,6.406,-2.064,3.896,12.427,10.401,0.245,10.698,1.792,3.924,2.52,2.52,11.871,3.52,8.955,462.179,3.298,6.602,12.492,2.791,2.791,3.765,13.357,8.251,3.484,8.199,2.52,15.67,414.0,7.252,256.628,87.454,0.66,4.267,3.989,3.96,136.988,8.0,444.129,594.95,4.245,11.123,434.059,44.936,2.686,9.892,4.59,6.169,1.803,4.369,75.722,18621.0,4.274,403.0,223.323,6,6.434,10.534,3.528,12.685,2.896,9.269
6.538,0.202,3.423,3.423,6.089,5.955,-2.063,3.87,10.58,10.382,0.219,9.764,1.772,3.852,2.482,2.482,11.854,3.482,8.931,450.058,3.219,6.546,10.932,2.791,2.791,3.765,13.343,7.529,3.339,8.193,2.482,14.767,402.0,7.234,243.628,95.628,0.754,4.263,3.985,3.957,150.701,8.0,432.129,576.71,4.245,11.116,420.47,43.306,2.686,9.881,4.6,6.11,1.784,4.369,71.222,13920.0,4.274,389.0,211.323,3,6.434,10.517,3.528,12.678,2.896,9.257
8.523,0.202,3.636,3.636,7.134,7.241,-2.112,4.038,12.24,10.519,0.242,11.22,1.848,4.027,2.657,2.657,11.972,3.645,9.09,555.217,3.31,6.642,13.214,2.791,2.791,3.765,13.445,8.527,3.528,8.258,2.621,17.645,502.0,7.417,288.947,97.444,0.827,4.263,3.984,3.971,147.517,8.5,543.864,723.74,4.245,11.171,530.498,50.322,2.686,10.008,4.748,6.244,1.835,4.443,85.889,26420.0,4.323,494.0,251.53,4,6.434,10.594,3.744,12.762,3.021,9.32
5.721,0.223,3.576,3.576,6.827,6.487,-2.096,3.98,11.802,10.39,0.245,10.344,1.831,3.933,2.586,2.586,11.854,3.58,8.949,496.319,3.304,6.588,12.151,2.774,2.774,3.733,13.336,7.787,3.388,8.174,2.57,15.776,446.0,7.241,259.615,100.298,0.81,4.245,3.96,3.95,142.732,8.5,487.864,639.53,4.135,11.085,463.912,48.807,2.667,9.863,4.659,6.186,1.82,4.369,77.722,18649.0,4.24,431.0,227.53,5,6.434,10.505,3.528,12.646,2.975,9.239
5.77,0.153,2.977,2.977,5.605,4.705,-1.08,3.799,9.346,10.22,0.257,9.087,1.705,3.698,2.505,2.505,11.614,3.473,8.844,512.087,3.142,6.24,10.38,2.819,2.819,3.778,13.022,5.058,3.107,7.663,2.409,14.306,472.0,7.028,204.271,129.527,0.717,4.221,3.859,3.889,104.129,8.0,475.408,653.55,4.065,10.377,434.254,42.373,2.689,9.415,4.337,5.749,1.753,4.369,74.472,17405.0,4.228,403.0,193.307,3,4.942,10.287,3.502,11.956,3.044,9.066
5.187,0.124,2.972,2.972,5.252,4.626,-1.104,3.792,8.848,10.207,0.227,8.905,1.705,3.661,2.497,2.497,11.601,3.462,8.831,502.108,3.101,6.201,9.991,2.818,2.818,3.777,13.009,4.84,3.092,7.653,2.399,14.187,460.0,7.015,197.943,140.711,0.722,4.221,3.858,3.889,116.223,8.0,459.822,636.83,4.065,10.368,421.817,44.175,2.688,9.406,4.337,5.768,1.753,4.369,74.972,16107.0,4.228,393.0,188.533,3,6.351,10.276,3.494,11.949,2.971,9.054
9.071,0.326,3.158,3.158,7.644,6.284,-1.296,4.019,12.834,10.422,0.428,11.918,1.8,3.954,2.815,2.815,11.809,3.776,9.054,624.997,3.489,6.562,14.132,2.885,2.885,3.86,13.209,7.308,3.483,7.811,2.692,18.211,578.0,7.182,266.926,140.182,1.051,4.222,3.903,3.946,154.685,9.5,596.789,806.33,4.065,10.492,541.058,58.099,2.81,9.532,4.388,6.017,1.84,4.575,93.972,37693.0,4.448,507.0,246.601,5,6.45,10.497,3.641,12.042,3.321,9.271
6.886,0.31,3.138,3.138,6.957,6.055,-1.546,4.002,11.798,10.407,0.428,11.505,1.797,3.902,2.813,2.813,11.794,3.773,9.038,611.359,3.485,6.529,13.156,2.871,2.871,3.845,13.195,7.037,3.48,7.803,2.689,17.689,562.0,7.167,256.265,149.984,1.052,4.222,3.898,3.943,159.029,9.5,577.203,782.11,4.065,10.482,523.001,58.842,2.796,9.521,4.391,6.001,1.839,4.575,92.972,33005.0,4.448,489.0,237.162,5,6.45,10.479,3.641,12.033,3.266,9.258
7.013,0.343,3.218,3.218,7.531,6.281,-1.17,4.065,12.536,10.452,0.428,12.399,1.805,3.952,2.821,2.821,11.84,3.783,9.081,611.739,3.498,6.59,14.051,2.944,2.944,3.928,13.243,7.478,3.491,7.843,2.704,18.548,564.0,7.199,269.433,141.854,0.895,4.222,3.91,3.957,139.543,10.0,574.698,788.81,4.086,10.518,536.393,55.531,2.896,9.551,4.337,5.985,1.842,4.635,92.972,36739.0,4.506,499.0,246.696,5,6.45,10.54,3.642,12.062,3.192,9.321
8.886,0.326,3.155,3.155,7.209,6.13,-1.184,4.016,12.216,10.418,0.428,11.781,1.802,3.926,2.815,2.815,11.805,3.776,9.048,600.334,3.491,6.541,13.683,2.883,2.883,3.864,13.207,7.305,3.486,7.811,2.696,17.831,554.0,7.177,261.268,141.341,0.921,4.222,3.905,3.952,142.368,9.5,563.386,774.09,4.065,10.491,522.852,54.83,2.834,9.53,4.337,5.967,1.842,4.575,91.472,34495.0,4.457,489.0,240.336,5,6.45,10.493,3.642,12.041,3.165,9.27
6.553,0.31,3.138,3.138,6.882,6.015,-1.313,4.002,11.893,10.407,0.428,11.569,1.8,3.9,2.813,2.813,11.794,3.773,9.038,593.466,3.487,6.514,13.221,2.871,2.871,3.849,13.195,7.09,3.483,7.803,2.692,17.689,546.0,7.167,255.436,143.774,0.95,4.222,3.901,3.949,150.388,9.5,554.366,762.39,4.065,10.482,514.36,55.906,2.813,9.521,4.39,5.965,1.841,4.575,90.972,32259.0,4.457,481.0,235.975,5,6.45,10.479,3.642,12.033,3.151,9.258
8.62,0.326,3.158,3.158,7.554,6.282,-1.179,4.019,12.787,10.422,0.428,12.061,1.803,3.949,2.815,2.815,11.809,3.776,9.054,604.301,3.496,6.562,14.243,2.885,2.885,3.867,13.209,7.41,3.489,7.811,2.696,18.211,558.0,7.182,265.435,137.171,0.952,4.222,3.907,3.954,151.041,9.5,567.386,780.73,4.065,10.492,528.13,55.908,2.837,9.532,4.337,5.994,1.842,4.575,92.972,36937.0,4.457,495.0,244.669,5,6.45,10.497,3.642,12.042,3.165,9.271
8.432,0.326,3.166,3.166,7.898,6.449,-1.113,4.027,13.358,10.447,0.448,12.83,1.806,3.971,2.817,2.817,11.83,3.778,9.082,611.431,3.513,6.596,14.626,2.894,2.894,3.877,13.228,7.49,3.506,7.827,2.699,19.052,564.0,7.197,271.601,135.084,0.999,4.222,3.911,3.957,160.755,10.5,573.386,790.31,4.065,10.499,537.709,56.749,2.847,9.54,4.337,6.022,1.842,4.635,94.806,39387.0,4.517,503.0,251.002,6,6.45,10.516,3.642,12.047,3.165,9.295
8.796,0.343,3.158,3.158,8.243,6.579,-1.178,4.019,13.965,10.43,0.464,12.811,1.805,3.993,2.815,2.815,11.814,3.777,9.066,612.707,3.529,6.598,15.243,2.886,2.886,3.867,13.214,7.888,3.536,7.811,2.697,18.918,566.0,7.191,273.601,139.471,0.987,4.222,3.91,3.957,149.547,9.5,575.386,792.29,4.065,10.492,536.634,57.31,2.837,9.535,4.337,6.038,1.842,4.575,95.972,42457.0,4.457,503.0,252.669,7,6.45,10.501,3.642,12.043,3.165,9.271
6.387,0.384,3.185,3.185,7.644,6.299,-1.448,4.052,12.834,10.422,0.417,11.942,1.799,3.954,2.816,2.816,11.809,3.776,9.054,625.128,3.483,6.566,14.132,2.922,2.922,3.895,13.21,7.234,3.479,7.811,2.688,18.223,578.0,7.182,267.092,191.2,0.849,4.222,3.903,3.947,139.195,9.5,596.789,806.39,4.065,10.492,541.414,58.752,2.836,9.532,4.388,6.016,1.839,4.575,93.972,36613.0,4.448,507.0,246.601,5,6.45,10.501,3.641,12.043,3.321,9.274
7.699,0.368,3.166,3.166,6.957,6.073,-1.7,4.034,11.798,10.407,0.397,11.529,1.796,3.902,2.815,2.815,11.795,3.774,9.038,611.49,3.479,6.536,13.156,2.906,2.906,3.88,13.196,6.964,3.476,7.803,2.686,17.701,562.0,7.167,256.431,216.832,0.863,4.222,3.899,3.944,140.737,9.5,577.203,782.17,4.065,10.483,523.358,59.561,2.824,9.521,4.391,6.001,1.838,4.575,92.972,32245.0,4.448,489.0,237.162,5,6.45,10.483,3.641,12.034,3.266,9.261
6.658,0.293,2.978,2.978,7.446,5.763,-0.528,3.803,12.952,10.299,0.341,11.819,1.818,3.871,2.567,2.567,11.68,3.558,8.937,524.011,3.517,6.398,13.595,2.819,2.819,3.778,13.078,7.166,3.511,7.691,2.539,16.98,484.0,7.091,239.611,131.801,0.722,4.221,3.894,3.948,113.251,8.5,478.006,677.81,4.065,10.393,460.455,44.797,2.691,9.446,4.311,5.893,1.846,4.443,81.806,28031.0,4.322,431.0,224.04,8,4.942,10.358,3.645,11.97,2.833,9.121
8.638,0.326,3.158,3.158,7.24,6.24,-1.111,4.019,11.867,10.422,0.428,11.578,1.73,3.961,2.815,2.815,11.809,3.77,9.054,641.991,3.461,6.557,13.883,2.885,2.885,3.832,13.209,6.999,3.451,7.811,2.665,18.211,594.0,7.182,269.646,138.593,1.167,4.222,3.881,3.932,154.695,9.5,616.434,829.85,4.065,10.492,559.343,57.7,2.737,9.532,4.388,6.034,1.786,4.575,94.639,38329.0,4.422,523.0,249.237,3,6.45,10.497,3.626,12.042,3.289,9.271
8.959,0.367,3.226,3.226,7.92,7.085,-1.12,4.027,13.111,10.542,0.511,12.919,1.819,4.072,2.816,2.816,11.92,3.771,9.183,705.582,3.619,6.627,15.44,2.888,2.888,3.834,13.313,7.936,3.625,7.905,2.666,20.504,654.0,7.366,302.31,149.453,1.117,4.222,3.92,3.954,151.842,10.0,676.434,919.42,4.065,10.586,630.416,60.454,2.738,9.703,4.4,6.122,1.848,4.635,104.306,56807.0,4.492,589.0,277.237,3,6.45,10.551,3.672,12.191,3.332,9.315
5.678,0.268,3.102,3.102,6.358,5.451,-1.069,3.953,10.653,10.3,0.357,10.642,1.718,3.83,2.773,2.773,11.691,3.729,8.93,531.902,3.431,6.366,12.33,2.829,2.829,3.793,13.096,6.31,3.429,7.709,2.638,16.168,492.0,7.088,235.33,124.777,0.738,4.222,3.869,3.917,117.423,8.0,489.651,688.77,4.065,10.417,466.868,45.263,2.718,9.459,4.337,5.841,1.774,4.443,79.472,24055.0,4.3,437.0,218.121,3,4.942,10.39,3.616,11.989,2.888,9.157
6.585,0.343,3.224,3.224,7.357,6.431,-1.125,4.065,12.389,10.63,0.468,13.537,1.817,4.079,2.827,2.827,12.068,3.789,9.213,666.885,3.558,6.553,15.028,3.087,3.087,4.069,13.522,8.204,3.569,8.306,2.712,20.135,610.0,7.407,308.163,155.812,1.177,4.498,3.996,4.0,168.261,11.0,615.294,856.99,4.222,11.174,590.547,63.284,3.025,9.97,4.391,6.121,1.841,4.745,95.889,36419.0,4.576,549.0,280.662,3,6.999,10.759,3.651,12.715,2.888,9.531
8.102,0.326,3.112,3.112,7.58,6.375,-1.106,3.972,12.291,10.417,0.428,11.973,1.738,3.983,2.803,2.803,11.797,3.754,9.055,645.859,3.477,6.531,14.33,2.846,2.846,3.806,13.193,7.223,3.466,7.795,2.653,18.681,598.0,7.18,272.092,154.596,1.105,4.222,3.885,3.94,159.316,10.0,620.434,832.65,4.065,10.47,556.97,57.551,2.727,9.519,4.389,6.048,1.798,4.575,96.139,41485.0,4.429,521.0,252.682,3,6.45,10.469,3.63,12.026,3.374,9.242
5.222,0.314,3.162,3.162,7.991,6.414,-1.247,4.017,13.424,10.426,0.402,12.272,1.802,3.976,2.817,2.817,11.811,3.776,9.06,629.159,3.529,6.577,14.632,2.882,2.882,3.857,13.212,7.536,3.534,7.811,2.686,18.565,582.0,7.187,270.926,165.25,0.91,4.221,3.905,3.949,136.577,9.5,600.789,812.09,4.065,10.492,545.218,57.974,2.807,9.533,4.389,6.039,1.842,4.575,95.472,41361.0,4.448,511.0,250.601,6,6.45,10.498,3.644,12.043,3.321,9.271
6.222,0.355,3.142,3.142,7.297,6.16,-1.361,4.032,12.241,10.418,0.442,11.595,1.796,3.931,2.809,2.809,11.806,3.775,9.048,621.01,3.436,6.584,13.632,2.902,2.902,3.878,13.209,7.058,3.412,7.811,2.71,17.869,574.0,7.177,262.926,163.031,0.859,4.227,3.9,3.942,129.134,9.5,592.789,800.65,4.065,10.495,537.381,58.357,2.825,9.532,4.387,5.994,1.836,4.575,92.472,34239.0,4.448,503.0,242.601,4,6.45,10.498,3.639,12.046,3.354,9.274
4.678,0.244,3.094,3.094,6.252,5.632,-1.269,3.874,10.456,10.263,0.264,9.331,1.798,3.86,2.646,2.646,11.642,3.627,8.904,600.365,3.297,6.44,12.41,2.852,2.852,3.807,13.038,6.819,3.288,7.691,2.576,15.642,556.0,7.098,243.26,118.482,1.175,4.171,3.902,3.946,161.271,7.0,574.789,772.85,4.019,10.405,511.78,54.669,2.712,9.457,4.351,5.913,1.828,4.29,87.222,31700.0,4.119,482.0,224.268,5,6.45,10.184,3.506,11.981,3.321,8.947
6.222,0.277,3.109,3.109,6.949,5.936,-1.268,3.878,11.636,10.279,0.299,9.923,1.799,3.908,2.646,2.646,11.658,3.627,8.921,608.206,3.396,6.482,13.486,2.866,2.866,3.826,13.054,7.123,3.404,7.695,2.577,16.235,564.0,7.111,252.593,123.712,1.145,4.18,3.902,3.946,163.545,7.0,582.789,785.81,4.019,10.412,521.619,56.547,2.731,9.466,4.349,5.962,1.832,4.29,90.222,34585.0,4.119,493.0,232.601,6,6.45,10.216,3.53,11.989,3.321,8.971
6.187,0.293,3.158,3.158,7.574,5.995,-0.163,4.019,12.792,10.372,0.388,11.833,1.8,3.927,2.765,2.765,11.75,3.717,9.011,591.893,3.489,6.436,14.004,2.883,2.883,3.858,13.141,7.229,3.483,7.755,2.631,17.78,548.0,7.151,255.6,93.123,0.846,4.168,3.902,3.947,124.296,9.5,558.639,765.61,4.064,10.414,517.083,47.982,2.807,9.484,4.339,5.962,1.84,4.511,88.139,35244.0,4.39,484.0,238.497,5,4.962,10.384,3.641,11.969,3.232,9.161
5.222,0.186,3.037,3.037,6.558,5.035,-0.162,3.868,10.632,10.153,0.272,9.815,1.71,3.736,2.65,2.65,11.531,3.634,8.791,492.911,3.287,6.359,11.572,2.881,2.881,3.856,12.922,5.692,3.283,7.498,2.595,14.56,456.0,6.833,205.219,129.74,0.965,4.093,3.894,3.938,138.408,8.5,496.585,631.99,4.019,10.104,419.209,48.206,2.806,9.13,4.241,5.854,1.762,4.369,78.694,22427.0,4.28,391.0,190.417,4,6.457,10.239,3.484,11.589,3.242,9.026
6.114,0.31,3.158,3.158,7.687,6.089,-1.148,3.954,12.677,10.361,0.428,11.4,1.8,3.897,2.719,2.719,11.739,3.701,9.001,563.033,3.489,6.507,13.649,2.884,2.884,3.859,13.133,6.879,3.483,7.688,2.663,17.313,522.0,7.118,247.216,130.6,0.973,4.147,3.902,3.946,147.665,9.0,562.585,734.38,4.02,10.332,503.668,53.331,2.809,9.432,4.385,5.994,1.842,4.511,90.194,34076.0,4.42,472.0,225.081,5,6.45,10.429,3.641,11.9,3.321,9.2
9.347,0.326,3.158,3.158,7.72,6.394,-1.556,4.019,12.725,10.422,0.428,11.511,1.799,3.927,2.815,2.815,11.809,3.786,9.054,624.997,3.489,6.629,13.754,2.885,2.885,3.861,13.209,6.964,3.483,7.811,2.724,17.313,578.0,7.182,258.708,157.323,1.118,4.222,3.903,3.947,168.55,9.5,656.697,806.33,4.065,10.492,541.058,65.908,2.81,9.532,4.476,6.051,1.839,4.575,97.861,37693.0,4.469,507.0,234.912,5,7.423,10.497,3.641,12.042,3.321,9.271
8.143,0.326,3.158,3.158,7.677,6.583,-1.566,4.019,12.883,10.48,0.508,12.011,1.799,3.982,2.874,2.874,11.873,3.835,9.105,687.117,3.489,6.6,14.238,2.898,2.898,3.865,13.28,7.439,3.483,7.921,2.725,18.211,634.0,7.242,281.506,166.883,1.34,4.306,3.904,3.947,198.267,10.0,690.9,878.38,4.095,10.63,578.845,69.702,2.81,9.623,4.476,6.071,1.836,4.635,101.639,41722.0,4.496,542.0,256.432,5,7.423,10.557,3.641,12.172,3.321,9.335
8.699,0.392,3.158,3.158,7.677,6.553,-1.489,4.019,12.883,10.47,0.484,12.063,1.799,3.982,2.841,2.841,11.858,3.799,9.1,687.154,3.489,6.626,14.232,2.887,2.887,3.861,13.26,7.348,3.483,7.896,2.707,18.211,634.0,7.235,276.836,188.492,1.169,4.255,3.904,3.947,168.488,10.5,690.9,877.7,4.083,10.58,577.708,68.844,2.81,9.598,4.476,6.078,1.836,4.635,101.639,42103.0,4.496,541.0,256.432,5,7.423,10.527,3.641,12.119,3.321,9.306
6.222,0.326,3.158,3.158,7.677,6.567,-1.566,4.019,12.883,10.47,0.508,12.063,1.799,3.982,2.842,2.842,11.858,3.802,9.1,687.154,3.489,6.595,14.232,2.887,2.887,3.861,13.26,7.361,3.483,7.896,2.713,18.211,634.0,7.235,276.836,166.883,1.41,4.257,3.904,3.947,206.42,10.5,690.9,877.7,4.081,10.58,577.706,69.607,2.81,9.598,4.476,6.078,1.836,4.635,101.639,41753.0,4.496,541.0,256.432,5,7.423,10.527,3.641,12.12,3.321,9.306
8.959,0.326,3.158,3.158,8.066,6.388,-1.284,4.019,13.121,10.433,0.488,11.732,1.8,3.953,2.834,2.834,11.82,3.805,9.064,609.181,3.489,6.584,14.178,2.886,2.886,3.862,13.222,7.197,3.483,7.82,2.745,18.031,566.0,7.193,263.206,146.57,1.046,4.237,3.903,3.946,155.397,9.5,618.321,795.31,4.072,10.506,545.009,58.113,2.811,9.544,4.392,6.052,1.84,4.575,95.361,38929.0,4.476,509.0,237.96,5,6.45,10.512,3.641,12.058,3.373,9.284
6.678,0.359,3.158,3.158,8.066,6.379,-1.242,4.018,13.121,10.422,0.544,11.766,1.8,3.953,2.761,2.761,11.803,3.737,9.059,609.399,3.489,6.553,14.172,2.884,2.884,3.86,13.198,7.173,3.483,7.793,2.69,18.116,566.0,7.186,261.873,137.195,1.142,4.172,3.903,3.946,158.399,10.0,618.321,794.75,4.041,10.447,544.342,57.63,2.809,9.515,4.394,6.054,1.84,4.575,95.361,39404.0,4.476,508.0,237.96,5,6.45,10.473,3.641,11.999,3.373,9.249
6.387,0.376,3.158,3.158,8.406,6.539,-1.283,4.019,13.677,10.437,0.524,11.961,1.8,3.975,2.836,2.836,11.823,3.807,9.07,612.789,3.489,6.592,14.765,2.886,2.886,3.862,13.225,7.277,3.483,7.82,2.746,18.412,570.0,7.197,267.538,142.953,1.018,4.239,3.903,3.947,152.324,9.5,622.321,802.79,4.073,10.507,550.505,59.158,2.811,9.546,4.387,6.08,1.841,4.575,96.861,41027.0,4.476,517.0,242.624,5,6.45,10.516,3.641,12.059,3.373,9.286
