pXC50,MATS3p,MATS3i,NdssC,MATS3v,SaaCH,nR06,D.Dtr07,nR07,GATS3v,C.019,C.017,nR.Ct,nCconj,ARR,D.Dtr11,SpMin1_Bh.v.,C.038,SpMin8_Bh.e.,GATS3i,ATSC7i,D.Dtr12,nR12,C.016,NdsCH,nR.Cs,ATS7s,SpMin8_Bh.i.,SpMin8_Bh.v.,SpMax2_Bh.i.,ATS4m,ATS5m,ATS7e,nR11,ATSC6i,CATS2D_05_AL,SpMin1_Bh.p.,ATS3m,ATS8e,CATS2D_06_AL,SpMin8_Bh.p.,ATS7i,ATS7p,GGI4,SpMax3_Bh.m.,SpMax8_Bh.m.,SpMin1_Bh.m.,Eig02_AEA.dm.,nRCO,SdssC,SpMin8_Bh.m.,nDB,ATS6m,ATS7v,SpMax8_Bh.v.,NaaCH,Eig05_EA,SM13_AEA.bo.,Eig04_AEA.dm.,ATS6e,ATS7m,ATS8i,SM11_EA.bo.,ATSC7v,SM12_EA.bo.
5.678,-0.085,-0.031,1,-0.088,8.914,3,0.0,0,1.075,0,0,0,1,0.4,0.0,2.04,0,0.88,1.099,1.072,0.0,0,0,0,0,5.855,0.858,1.151,3.905,3.846,3.761,4.671,0,1.116,2,2.046,3.967,4.627,1,1.201,4.873,3.804,1.378,3.688,2.866,2.022,3.111,0,-0.352,1.115,1,3.71,3.753,2.785,6,2.091,2.091,2.785,4.706,3.741,4.824,15.78,10.817,17.232
5.824,-0.199,-0.166,1,-0.197,15.155,2,0.0,0,1.114,0,0,0,1,0.727,0.0,2.028,0,0.787,1.179,0.581,0.0,0,0,0,0,5.088,0.73,1.022,3.936,3.446,3.292,3.96,0,0.628,3,2.024,3.614,3.788,2,1.028,4.163,3.222,1.121,3.456,2.645,2.047,3.013,0,0.0,1.034,1,3.186,3.119,2.586,8,1.764,1.764,2.568,4.031,2.992,4.009,16.619,5.706,18.133
5.0,-0.093,-0.08,1,-0.071,12.652,2,0.0,0,0.987,0,0,0,1,0.64,0.0,2.014,0,0.889,1.143,0.856,0.0,0,0,0,0,5.428,0.821,1.113,3.922,3.817,3.69,4.383,0,0.963,4,2.022,3.855,4.145,3,1.12,4.621,3.492,1.632,3.454,2.737,2.005,3.157,0,-0.157,1.093,1,3.52,3.404,2.711,7,1.782,1.782,2.603,4.508,3.337,4.362,16.808,8.545,18.314
6.276,-0.132,-0.108,1,-0.122,16.792,2,0.0,0,1.036,0,0,0,1,0.762,0.0,2.015,0,0.685,1.108,0.518,0.0,0,0,0,0,4.893,0.62,0.912,3.911,3.393,3.246,3.823,0,0.595,3,2.019,3.544,3.634,1,0.871,4.038,3.11,0.929,3.44,2.391,2.023,3.012,0,-0.004,0.979,1,3.082,2.994,2.348,9,1.531,1.531,2.188,3.977,2.853,3.865,16.581,5.189,18.1
6.18,-0.153,-0.125,1,-0.166,13.661,2,0.0,0,1.072,0,0,0,1,0.727,0.0,2.014,0,0.685,1.134,0.545,0.0,0,0,0,0,5.095,0.622,0.914,3.911,3.482,3.363,3.898,0,0.624,3,2.019,3.624,3.744,1,0.875,4.086,3.146,1.121,3.446,2.405,2.006,3.014,0,-0.156,0.978,1,3.207,3.071,2.352,8,1.711,1.711,2.587,4.048,3.007,3.971,16.628,4.797,18.142
5.0,-0.138,-0.048,1,-0.164,12.469,2,0.0,0,1.109,0,0,0,1,0.615,0.0,2.013,0,0.74,0.699,0.951,0.0,0,0,0,0,5.924,0.687,0.982,3.912,3.846,3.791,4.138,0,1.085,4,2.018,3.849,3.94,1,0.962,4.299,3.377,1.401,3.654,2.741,2.005,3.732,0,-0.366,0.975,1,3.682,3.328,2.636,8,2.179,2.179,3.011,4.245,3.6,4.13,16.656,5.302,18.163
6.276,-0.119,-0.096,1,-0.129,14.61,2,0.0,0,1.04,0,0,0,1,0.696,0.0,2.014,0,0.787,1.124,0.635,0.0,0,0,0,0,5.211,0.72,1.009,3.917,3.556,3.445,4.072,0,0.719,3,2.02,3.678,3.884,2,0.975,4.268,3.271,1.161,3.452,2.565,2.006,3.016,0,-0.066,1.056,1,3.312,3.196,2.595,8,1.754,1.754,2.603,4.186,3.128,4.101,16.635,5.835,18.147
5.284,-0.195,-0.163,1,-0.197,13.535,2,0.0,0,1.127,0,0,0,1,0.696,0.0,2.045,0,0.901,1.193,0.811,0.0,0,0,0,0,5.181,0.809,1.13,3.957,3.589,3.472,4.265,0,0.812,4,2.037,3.7,4.004,1,1.121,4.531,3.456,1.472,3.453,2.566,2.065,3.023,0,0.02,1.125,1,3.311,3.307,2.615,7,1.987,1.987,2.588,4.277,3.105,4.243,16.735,8.823,18.242
5.0,-0.154,-0.145,1,-0.144,12.872,2,0.0,0,1.07,0,0,0,1,0.696,0.0,2.034,0,0.795,1.19,0.717,0.0,0,0,0,0,5.165,0.716,1.067,3.952,3.605,3.454,4.123,0,0.784,3,2.034,3.728,3.941,1,1.08,4.359,3.358,1.392,3.451,2.658,2.037,3.033,0,-0.06,1.057,1,3.3,3.243,2.572,7,1.716,1.716,2.597,4.234,3.111,4.172,16.784,6.929,18.29
5.319,-0.14,-0.114,1,-0.136,15.188,2,0.0,0,1.055,0,0,0,1,0.727,0.0,2.029,0,0.722,1.128,0.641,0.0,0,0,0,0,5.02,0.655,0.961,3.937,3.518,3.354,4.04,0,0.713,3,2.026,3.636,3.778,1,0.924,4.281,3.289,1.201,3.443,2.489,2.047,3.02,0,0.012,1.018,1,3.193,3.154,2.473,8,1.534,1.534,2.563,4.133,2.982,3.989,16.685,6.981,18.196
6.004,-0.079,-0.062,1,-0.084,10.652,2,0.0,0,1.008,0,0,0,1,0.593,0.0,2.014,0,0.934,1.16,0.994,0.0,0,0,0,0,5.687,0.87,1.144,3.927,3.931,3.822,4.597,0,1.068,2,2.023,3.963,4.351,3,1.121,4.832,3.634,1.863,3.472,2.782,2.005,3.325,0,-0.172,1.159,1,3.687,3.556,2.762,6,2.061,2.061,2.607,4.632,3.533,4.57,16.853,10.448,18.355
5.495,-0.244,-0.301,1,-0.189,18.341,3,0.0,0,1.152,0,0,0,1,0.621,0.0,2.045,0,0.88,1.317,0.989,0.0,0,0,0,0,5.761,0.821,1.107,3.935,3.789,3.72,4.515,0,1.022,3,2.049,3.911,4.506,2,1.086,4.698,3.77,1.458,3.812,2.769,2.046,3.111,0,-0.389,1.112,1,3.668,3.721,2.732,11,2.089,2.089,2.704,4.551,3.697,4.697,15.862,9.329,17.334
5.367,-0.156,-0.121,1,-0.174,14.862,2,0.0,0,1.06,0,0,0,1,0.727,0.0,2.013,0,0.68,1.111,0.506,0.0,0,0,0,0,4.938,0.624,0.891,3.908,3.622,3.474,3.834,0,0.586,2,2.018,3.889,3.657,2,0.851,4.032,3.203,1.121,3.763,2.687,2.005,3.015,0,-0.021,0.921,1,3.614,3.08,2.406,8,1.764,1.764,2.606,3.987,3.452,3.85,16.619,5.062,18.133
5.301,-0.164,-0.114,1,-0.17,14.329,2,0.0,0,1.059,0,0,0,1,0.727,0.0,2.013,0,0.678,1.111,0.503,0.0,0,0,0,0,4.981,0.621,0.894,3.91,3.499,3.352,3.838,0,0.584,2,2.018,3.709,3.667,2,0.855,4.036,3.17,1.121,3.531,2.687,2.005,3.015,0,-0.058,0.933,1,3.349,3.064,2.39,8,1.764,1.764,2.606,3.991,3.159,3.86,16.619,5.032,18.133
5.0,-0.082,-0.12,1,-0.088,11.199,2,0.0,0,0.967,0,0,0,1,0.696,0.0,2.013,0,0.677,1.112,0.577,0.0,0,0,0,0,5.136,0.617,0.897,3.919,3.898,3.57,3.859,0,0.709,3,2.018,3.873,3.716,1,0.861,4.048,3.178,1.472,3.462,2.646,2.005,3.1,0,-0.478,0.939,1,3.442,3.109,2.384,7,1.879,1.879,2.607,4.036,3.261,3.891,16.803,4.722,18.311
4.745,-0.113,-0.058,0,-0.112,10.773,2,0.0,0,1.018,0,0,0,0,0.727,0.0,2.095,0,0.352,1.079,0.446,0.0,0,0,0,0,4.785,0.296,0.719,3.928,3.51,3.374,3.747,0,0.529,1,2.109,3.584,3.449,1,0.73,3.939,2.885,1.374,3.497,2.323,2.062,3.056,0,0.0,0.666,0,3.188,2.794,2.27,6,1.773,1.773,2.184,3.894,2.693,3.69,16.814,3.884,18.337
5.678,-0.139,-0.063,1,-0.159,13.433,2,0.0,0,1.083,0,0,0,1,0.64,0.0,2.013,0,0.76,0.768,0.866,0.0,0,0,0,0,5.726,0.7,0.992,3.911,3.78,3.715,4.111,0,0.967,4,2.018,3.817,3.919,1,0.962,4.283,3.381,1.241,3.622,2.739,2.005,3.601,0,-0.239,1.021,1,3.6,3.301,2.625,8,1.985,1.985,3.011,4.223,3.495,4.117,16.637,5.669,18.149
5.0,-0.151,-0.145,1,-0.124,11.668,2,0.0,0,1.047,0,0,0,1,0.64,0.0,2.07,0,0.844,1.19,0.718,0.0,0,0,0,0,5.387,0.79,1.081,4.009,3.795,3.623,4.15,0,0.785,5,2.102,3.842,3.998,2,1.103,4.359,3.366,1.472,3.549,2.733,2.044,3.6,0,-0.277,1.052,3,3.501,3.303,2.688,7,1.934,1.934,2.719,4.27,3.327,4.172,16.947,6.488,18.447
5.0,-0.073,-0.062,1,-0.049,10.709,2,0.0,0,0.974,0,0,0,1,0.593,0.0,2.014,0,0.94,1.161,1.03,0.0,0,0,0,0,5.636,0.884,1.145,3.927,3.983,3.853,4.602,0,1.124,3,2.024,3.984,4.398,3,1.122,4.851,3.667,2.023,3.466,2.812,2.005,3.301,0,-0.201,1.163,1,3.692,3.572,2.785,6,2.019,2.019,2.627,4.697,3.526,4.623,16.915,11.09,18.419
6.066,-0.151,-0.124,1,-0.145,11.176,2,0.0,0,1.079,0,0,0,1,0.615,0.0,2.037,0,0.891,1.207,0.941,0.0,0,0,0,0,5.596,0.838,1.103,3.929,3.874,3.758,4.534,0,1.048,2,2.032,3.915,4.327,4,1.083,4.771,3.599,1.823,3.473,2.769,2.051,3.324,0,-0.136,1.133,1,3.621,3.516,2.736,6,2.061,2.061,2.555,4.599,3.468,4.543,16.847,10.173,18.349
4.398,-0.028,-0.077,0,0.017,12.993,3,0.0,0,0.882,0,0,0,0,0.85,0.0,2.118,0,0.272,1.059,0.473,0.0,0,0,0,0,4.875,0.202,0.688,3.866,3.514,3.168,3.551,0,0.508,3,2.131,3.589,3.309,1,0.672,3.755,2.787,1.049,3.353,2.24,2.088,2.824,0,0.0,0.655,0,2.912,2.723,2.101,8,1.674,1.674,2.151,3.729,2.738,3.549,16.82,3.451,18.367
4.398,-0.02,-0.013,0,-0.028,12.682,3,0.0,0,0.925,0,0,0,0,0.85,0.0,2.119,0,0.273,0.997,0.533,0.0,0,0,0,0,4.977,0.203,0.687,3.866,3.404,3.214,3.578,0,0.579,3,2.13,3.551,3.309,1,0.673,3.774,2.784,1.089,3.387,2.234,2.092,2.844,0,0.0,0.655,0,3.086,2.736,2.099,8,1.767,1.767,2.051,3.758,2.754,3.549,16.655,3.107,18.191
5.824,-0.2,-0.144,1,-0.173,11.205,2,0.0,0,1.108,0,0,0,1,0.64,0.0,2.019,0,0.692,0.911,0.883,0.0,0,0,0,0,5.486,0.629,0.921,3.948,3.736,3.632,4.015,0,0.944,3,2.026,3.831,4.006,1,0.888,4.196,3.246,1.338,3.492,2.516,2.014,3.591,0,-0.494,0.981,1,3.562,3.228,2.41,8,1.976,1.976,2.611,4.216,3.388,4.216,16.718,4.958,18.221
5.569,-0.067,-0.113,0,-0.055,16.94,3,0.0,0,0.957,0,0,0,0,0.81,0.0,2.125,0,0.562,1.129,0.551,0.0,0,0,0,0,4.962,0.505,0.815,3.882,3.462,3.35,3.913,0,0.611,2,2.133,3.59,3.646,0,0.823,4.133,3.103,1.289,3.401,2.439,2.109,2.808,0,0.0,0.817,0,3.105,2.971,2.414,9,1.786,1.786,2.137,4.035,2.741,3.928,16.665,5.421,18.201
5.174,-0.152,-0.15,1,-0.136,14.493,2,0.0,0,1.051,0,0,0,1,0.727,0.0,2.018,0,0.702,1.173,0.608,0.0,0,0,0,0,5.038,0.635,0.947,3.929,3.528,3.357,3.98,0,0.697,3,2.023,3.645,3.749,1,0.912,4.213,3.219,1.201,3.442,2.469,2.014,3.018,0,-0.113,1.002,1,3.2,3.104,2.408,8,1.534,1.534,2.538,4.095,2.989,3.968,16.685,6.217,18.196
6.092,-0.1,-0.08,1,-0.107,12.554,2,0.0,0,1.023,0,0,0,1,0.64,0.0,2.014,0,0.871,1.142,0.759,0.0,0,0,0,0,5.412,0.808,1.089,3.922,3.729,3.581,4.285,0,0.874,2,2.022,3.83,4.075,2,1.095,4.504,3.413,1.472,3.465,2.726,2.005,3.165,0,-0.11,1.112,1,3.471,3.345,2.697,7,1.798,1.798,2.607,4.4,3.339,4.259,16.732,7.678,18.236
6.0,-0.134,-0.128,1,-0.112,13.103,2,0.0,0,1.015,0,0,0,1,0.727,0.0,2.014,0,0.68,1.122,0.59,0.0,0,0,0,0,5.072,0.617,0.906,3.92,3.555,3.369,3.845,0,0.732,3,2.02,3.669,3.685,1,0.872,4.05,3.104,1.201,3.442,2.442,2.005,3.037,0,-0.363,0.957,1,3.221,3.032,2.358,8,1.534,1.534,2.594,4.014,3.013,3.896,16.685,4.885,18.196
5.347,-0.193,-0.219,1,-0.156,15.508,3,0.0,0,1.128,0,0,0,1,0.581,0.0,2.043,0,0.88,1.251,1.09,0.0,0,0,0,0,5.888,0.821,1.107,3.941,3.856,3.766,4.647,0,1.124,2,2.048,3.99,4.586,2,1.086,4.843,3.825,1.569,3.833,2.77,2.043,3.111,0,-0.412,1.115,1,3.721,3.773,2.732,10,2.121,2.121,2.781,4.651,3.75,4.784,15.938,10.544,17.401
5.0,-0.051,-0.049,1,-0.029,15.471,2,0.0,0,0.994,0,0,0,1,0.667,0.0,2.044,0,0.886,1.065,0.701,0.0,0,0,0,0,5.203,0.821,1.107,3.954,3.583,3.434,4.153,0,0.839,3,2.034,3.704,3.986,2,1.062,4.377,3.393,1.161,3.484,2.687,2.069,3.013,0,0.012,1.158,1,3.296,3.281,2.715,8,1.81,1.81,2.603,4.326,3.158,4.186,16.626,7.507,18.138
5.0,-0.076,-0.065,1,-0.059,15.351,2,0.0,0,1.007,0,0,0,1,0.696,0.0,2.038,0,0.869,1.081,0.615,0.0,0,0,0,0,5.156,0.806,1.098,3.948,3.522,3.35,4.015,0,0.717,3,2.03,3.669,3.93,2,1.062,4.211,3.3,1.161,3.469,2.687,2.061,3.013,0,0.007,1.107,1,3.235,3.206,2.698,8,1.797,1.797,2.601,4.167,3.105,4.137,16.625,6.181,18.138
6.092,-0.101,-0.08,1,-0.13,12.542,2,0.0,0,1.045,0,0,0,1,0.64,0.0,2.014,0,0.88,1.142,0.808,0.0,0,0,0,0,5.503,0.814,1.099,3.922,3.734,3.676,4.346,0,0.854,3,2.022,3.796,4.21,3,1.11,4.536,3.483,1.472,3.459,2.727,2.005,3.033,0,-0.127,1.089,1,3.547,3.417,2.701,7,2.061,2.061,2.604,4.399,3.361,4.457,16.7,7.336,18.207
6.004,-0.177,-0.129,1,-0.18,14.42,2,0.0,0,1.093,0,0,0,1,0.727,0.0,2.017,0,0.69,1.153,0.601,0.0,0,0,0,0,5.056,0.624,0.921,3.929,3.477,3.355,3.925,0,0.672,3,2.022,3.619,3.82,1,0.881,4.137,3.192,1.121,3.449,2.413,2.014,3.013,0,-0.076,0.985,1,3.201,3.097,2.359,8,1.711,1.711,2.52,4.094,2.998,4.069,16.628,5.126,18.142
5.889,-0.112,-0.097,1,-0.09,14.667,2,0.0,0,1.002,0,0,0,1,0.696,0.0,2.014,0,0.8,1.125,0.672,0.0,0,0,0,0,5.128,0.734,1.024,3.917,3.63,3.49,4.08,0,0.784,4,2.02,3.706,3.958,2,0.99,4.302,3.318,1.321,3.443,2.586,2.006,3.029,0,-0.095,1.06,1,3.319,3.219,2.612,8,1.547,1.547,2.593,4.286,3.117,4.185,16.696,6.514,18.206
5.252,-0.094,-0.08,1,-0.093,12.557,2,0.0,0,1.009,0,0,0,1,0.64,0.0,2.014,0,0.869,1.143,0.785,0.0,0,0,0,0,5.359,0.807,1.084,3.922,3.77,3.644,4.26,0,0.885,3,2.022,3.821,4.256,2,1.1,4.465,3.485,1.632,3.457,2.728,2.005,3.048,0,-0.139,1.104,1,3.511,3.397,2.695,7,2.016,2.016,2.621,4.453,3.345,4.49,16.75,7.786,18.256
5.0,-0.199,-0.166,1,-0.197,15.162,2,0.0,0,1.114,0,0,0,1,0.727,0.0,2.037,0,0.763,1.179,0.565,0.0,0,0,0,0,5.059,0.689,1.001,3.919,3.472,3.349,3.964,0,0.702,3,2.031,3.614,3.844,3,0.971,4.16,3.22,1.121,3.453,2.515,2.051,2.962,0,-0.03,1.034,1,3.214,3.138,2.518,8,1.739,1.739,2.368,4.135,3.029,4.057,16.628,5.593,18.14
5.276,-0.162,-0.176,1,-0.133,17.261,4,0.0,0,1.105,0,0,0,1,0.545,0.0,2.106,0,0.88,1.212,1.24,0.0,0,0,0,0,5.924,0.858,1.151,3.978,3.974,3.874,4.748,0,1.277,3,2.094,4.084,4.722,2,1.201,4.945,3.963,1.902,3.835,2.913,2.13,3.133,0,-0.319,1.116,1,3.822,3.9,2.786,10,2.21,2.21,2.792,4.759,3.851,4.932,16.063,12.213,17.519
5.0,-0.148,-0.15,1,-0.106,12.934,2,0.0,0,1.031,0,0,0,1,0.667,0.0,2.055,0,0.72,1.173,0.61,0.0,0,0,0,0,5.348,0.66,0.961,3.991,3.732,3.623,4.034,0,0.698,6,2.093,3.768,3.785,4,0.935,4.213,3.235,1.441,3.495,2.563,2.02,3.551,0,-0.414,0.996,3,3.406,3.201,2.52,8,1.796,1.796,2.613,4.134,3.23,3.968,16.863,4.942,18.367
5.26,-0.073,-0.117,0,-0.073,10.513,3,0.0,0,0.958,0,0,0,0,0.63,0.0,2.111,0,0.799,1.178,0.806,0.0,0,0,0,0,5.544,0.747,1.009,3.9,3.862,3.8,4.381,0,0.915,3,2.124,3.91,4.269,4,0.977,4.539,3.52,1.857,3.519,2.626,2.082,3.201,0,0.0,1.063,0,3.718,3.49,2.621,6,2.017,2.017,2.683,4.456,3.494,4.452,16.942,6.691,18.464
4.398,-0.055,-0.1,0,-0.064,14.65,3,0.0,0,0.966,0,0,0,0,0.739,0.0,2.125,0,0.713,1.144,0.608,0.0,0,0,0,0,5.109,0.665,0.905,3.888,3.584,3.449,4.028,0,0.709,1,2.133,3.719,3.885,1,0.896,4.224,3.227,1.52,3.419,2.55,2.105,2.896,0,0.0,0.923,0,3.27,3.139,2.571,8,1.967,1.967,2.536,4.198,3.022,4.133,16.706,5.669,18.235
6.076,-0.119,-0.135,0,-0.12,15.244,3,0.0,0,1.059,0,0,0,0,0.708,0.0,2.127,0,0.804,1.205,0.841,0.0,0,0,0,0,5.317,0.74,1.02,3.92,3.678,3.589,4.307,0,0.899,3,2.135,3.775,4.135,0,0.98,4.548,3.472,1.64,3.435,2.548,2.108,3.01,0,0.0,1.083,0,3.405,3.353,2.574,8,1.967,1.967,2.544,4.382,3.195,4.393,16.73,8.108,18.257
