pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB
5.2,7.581,46.9,42.9,0.998,1.115,0.689,0.658,371.47,6.1,18,49,0,20,31,0,52,23,0,0,20,3,2
5.2,7.581,46.9,42.9,0.998,1.115,0.689,0.658,371.47,6.1,18,49,0,20,31,0,52,23,0,0,20,3,2
5.2,7.77,47.8,41.3,1.001,1.114,0.696,0.668,357.44,6.5,18,46,0,20,30,0,49,22,0,0,20,2,2
5.7,7.963,34.9,41.9,1.021,1.151,0.646,0.633,342.41,18.6,15,43,0,16,28,0,46,15,0,0,9,6,1
5.3,7.219,38.7,46.8,1.001,1.137,0.65,0.619,447.6,11.3,12,62,0,15,37,0,66,24,0,0,13,11,3
5.0,7.556,42.4,45.5,0.994,1.123,0.686,0.642,498.71,9.1,23,66,0,24,40,0,70,28,0,0,21,7,1
6.114,7.189,43.3,46.3,0.995,1.124,0.669,0.633,481.65,7.5,22,67,0,24,40,0,71,29,0,0,22,7,2
5.0,7.741,41.5,43.9,1.017,1.134,0.653,0.635,634.74,4.9,17,82,0,21,51,0,87,34,0,0,21,13,4
5.0,8.237,40.9,42.4,1.019,1.14,0.671,0.647,543.67,7.6,21,66,0,22,42,0,70,27,0,0,18,9,1
5.208,6.979,39.4,48.5,0.996,1.133,0.649,0.612,460.64,9.1,11,66,0,15,37,0,69,26,0,1,13,12,3
5.0,8.286,41.4,41.4,1.016,1.123,0.682,0.657,480.59,6.9,22,58,0,23,37,0,61,24,0,0,19,5,1
5.886,7.388,44.4,44.4,0.996,1.123,0.679,0.645,332.44,8.9,16,45,0,18,28,0,48,20,0,0,16,4,2
6.161,10.113,38.5,30.8,1.057,1.151,0.691,0.701,394.4,15.4,17,39,0,20,29,0,41,15,0,0,15,0,3
5.0,8.901,40.5,38.1,1.027,1.132,0.686,0.672,373.83,11.9,12,42,0,14,28,0,44,17,1,1,11,5,1
5.3,7.115,39.5,47.4,0.998,1.134,0.653,0.618,270.37,10.5,6,38,0,9,22,0,40,15,0,0,9,6,3
5.4,8.534,45.5,38.6,1.005,1.116,0.72,0.686,375.49,11.4,22,44,0,23,30,0,47,20,0,0,19,1,1
6.0,7.685,42.5,42.5,1.003,1.13,0.676,0.65,307.39,12.5,17,40,0,18,25,0,42,17,0,0,15,2,1
5.9,7.584,46.8,42.6,0.996,1.118,0.693,0.66,356.46,8.5,22,47,0,23,30,0,50,22,0,0,20,2,1
6.7,7.337,37.9,46.6,1.009,1.136,0.642,0.617,425.54,8.6,12,58,0,15,33,0,60,22,0,0,14,8,3
5.2,10.283,45.0,27.5,1.072,1.176,0.681,0.714,411.34,12.5,21,40,0,21,32,0,43,18,0,0,15,3,0
5.2,9.114,44.7,34.2,1.041,1.15,0.68,0.687,346.34,10.5,17,38,0,18,27,0,40,17,0,0,15,2,1
5.2,9.597,37.9,34.5,1.038,1.131,0.701,0.69,278.32,13.8,11,29,0,14,20,0,30,11,0,0,10,1,3
5.6,8.148,45.1,41.2,1.0,1.117,0.71,0.671,415.56,9.8,22,51,0,23,34,0,55,23,0,0,19,4,1
5.2,8.884,43.8,35.4,1.035,1.148,0.68,0.681,426.44,12.5,22,48,0,23,34,0,51,21,0,0,19,2,1
5.2,9.942,48.3,31.0,1.034,1.115,0.743,0.729,288.32,6.9,16,29,0,17,22,0,31,14,0,0,14,0,1
5.2,8.377,41.5,41.5,1.013,1.121,0.692,0.661,343.44,7.3,17,41,0,19,26,0,43,17,0,0,14,3,2
5.5,7.397,42.9,44.9,1.0,1.125,0.669,0.638,362.47,8.2,16,49,0,18,30,0,52,21,0,0,16,5,2
5.3,6.841,40.3,49.4,0.992,1.131,0.651,0.61,526.75,7.8,22,77,0,24,42,0,80,31,0,0,21,10,2
5.2,10.536,47.2,33.3,1.025,1.103,0.774,0.735,379.28,5.6,16,36,0,18,26,0,38,17,2,0,16,1,2
5.2,8.276,44.9,40.8,1.003,1.124,0.708,0.671,405.54,10.2,25,49,0,25,33,0,53,22,0,0,18,4,0
5.8,8.367,50.0,35.7,1.002,1.116,0.725,0.702,234.28,14.3,16,28,0,17,20,0,30,14,0,1,12,1,0
6.4,8.719,43.8,37.5,1.013,1.121,0.712,0.686,418.52,12.5,22,48,0,24,33,0,51,21,0,0,20,1,2
5.5,9.072,49.0,34.7,1.017,1.114,0.732,0.71,444.52,8.2,27,49,0,28,36,0,53,24,0,0,24,0,1
5.2,8.509,43.8,37.5,1.024,1.141,0.681,0.673,408.45,12.5,22,48,0,22,34,0,52,21,0,0,16,5,0
5.2,7.663,40.8,42.9,1.005,1.135,0.67,0.644,375.48,14.3,21,49,0,22,31,0,52,20,0,0,16,4,1
6.3,10.241,44.1,32.4,1.03,1.125,0.742,0.723,348.21,14.7,17,34,0,18,25,0,36,15,2,0,15,0,1
6.2,8.349,43.4,39.6,1.027,1.143,0.667,0.659,442.48,7.5,22,53,0,22,35,0,56,23,0,0,18,5,0
6.0,7.24,42.3,46.2,0.998,1.126,0.664,0.63,376.5,7.7,16,52,0,18,31,0,55,22,0,0,16,6,2
5.7,6.877,42.6,48.5,0.988,1.125,0.664,0.621,467.67,7.4,22,68,0,22,40,0,73,29,0,0,18,11,0
6.0,8.222,46.2,40.4,1.0,1.114,0.716,0.677,427.57,9.6,22,52,0,24,34,0,55,24,0,2,20,2,1
5.2,7.928,45.9,40.5,1.007,1.119,0.689,0.666,293.35,8.1,12,37,0,15,24,0,39,17,0,0,15,2,3
5.3,8.788,44.4,33.3,1.016,1.134,0.71,0.701,316.36,22.2,25,36,0,25,28,0,40,16,0,0,15,1,0
5.2,7.226,43.2,45.9,0.995,1.125,0.67,0.634,267.36,8.1,12,37,0,13,22,0,39,16,0,0,12,4,1
5.2,8.379,42.1,40.4,1.015,1.123,0.69,0.665,477.59,8.8,18,57,0,23,37,0,60,24,0,0,21,3,5
6.1,7.324,40.0,45.7,1.001,1.134,0.658,0.627,256.34,11.4,15,35,0,15,21,0,37,14,0,0,10,4,0
5.2,7.501,44.1,44.1,1.002,1.122,0.674,0.644,442.56,6.8,22,59,0,23,37,0,63,26,0,0,20,6,1
5.6,9.072,49.0,34.7,1.017,1.114,0.732,0.71,444.52,8.2,27,49,0,28,36,0,53,24,0,0,24,0,1
6.4,8.174,46.9,40.8,0.998,1.111,0.719,0.678,400.54,8.2,26,49,0,26,33,0,53,23,0,0,20,3,0
7.3,7.173,39.5,46.5,0.995,1.137,0.66,0.624,308.43,14.0,16,43,0,16,26,0,46,17,0,0,11,6,0
5.2,7.396,43.2,45.5,1.002,1.131,0.665,0.634,325.42,6.8,11,44,0,13,27,0,47,19,0,0,12,7,2
5.3,8.955,45.7,39.1,1.009,1.111,0.729,0.69,411.94,6.5,18,46,0,20,30,0,48,21,1,0,20,1,2
5.2,8.984,44.4,36.1,1.012,1.119,0.727,0.698,323.41,13.9,16,36,0,17,27,0,40,16,0,0,12,4,1
6.0,10.009,45.7,28.6,1.063,1.161,0.687,0.713,350.3,11.4,17,35,0,18,27,0,37,16,0,0,15,1,1
5.8,9.433,48.7,35.9,1.009,1.104,0.758,0.717,367.88,7.7,21,39,0,22,28,0,42,19,1,0,18,1,1
6.3,8.265,45.5,40.0,1.002,1.117,0.713,0.677,454.6,10.9,27,55,0,28,37,0,59,25,0,0,23,2,1
5.6,7.663,46.2,42.3,1.0,1.118,0.688,0.659,398.5,7.7,22,52,0,23,34,0,56,24,0,0,20,4,1
5.9,8.816,46.3,36.6,1.008,1.115,0.73,0.699,361.46,12.2,22,41,0,23,29,0,44,19,0,0,19,0,1
5.2,7.9,44.4,42.9,0.999,1.117,0.698,0.659,497.67,7.9,28,63,0,30,40,0,67,28,0,0,24,4,2
5.2,6.878,35.5,50.0,1.001,1.143,0.629,0.595,522.73,10.5,12,76,0,14,42,0,80,27,0,0,12,15,2
5.2,7.707,42.4,42.4,1.005,1.13,0.675,0.65,254.32,12.1,15,33,0,16,21,0,35,14,0,0,11,3,1
6.3,8.543,43.5,38.7,1.015,1.127,0.7,0.676,529.65,11.3,27,62,0,29,42,0,66,27,0,0,24,3,2
7.9,7.168,38.1,47.6,1.002,1.143,0.644,0.612,451.61,11.1,12,63,0,14,37,0,67,24,0,0,13,11,2
5.2,7.454,41.7,44.4,1.001,1.13,0.668,0.638,268.35,11.1,16,36,0,16,22,0,38,15,0,0,12,3,0
5.2,10.346,42.9,28.6,1.045,1.132,0.726,0.729,289.7,17.9,12,28,0,14,22,0,30,12,1,0,12,0,2
5.2,7.428,40.0,45.5,1.005,1.14,0.655,0.627,408.53,10.9,21,55,0,21,33,0,58,22,0,0,15,7,0
5.2,10.358,46.2,26.9,1.031,1.117,0.765,0.751,269.31,19.2,16,26,0,17,22,0,29,12,0,0,12,0,1
5.2,8.099,46.0,42.0,1.0,1.118,0.704,0.667,404.93,8.0,22,50,0,23,32,0,53,23,1,0,20,3,1
5.2,6.776,36.4,50.6,0.998,1.14,0.631,0.594,521.74,9.1,12,77,0,14,42,0,81,28,0,0,12,16,2
5.7,8.148,45.1,41.2,1.0,1.117,0.71,0.671,415.56,9.8,22,51,0,23,34,0,55,23,0,0,19,4,1
5.2,9.06,45.2,38.1,1.004,1.108,0.746,0.698,380.53,9.5,20,42,0,22,29,0,45,19,0,0,17,2,2
5.3,7.338,42.5,45.2,0.998,1.127,0.669,0.636,535.71,9.6,27,73,0,28,45,0,78,31,0,0,22,9,1
5.8,6.877,42.6,48.5,0.988,1.125,0.664,0.621,467.67,7.4,22,68,0,22,40,0,73,29,0,0,18,11,0
5.2,10.278,45.8,29.2,1.034,1.124,0.744,0.737,246.67,16.7,12,24,0,13,19,0,26,11,1,0,11,0,1
5.2,8.657,45.2,38.7,1.001,1.115,0.733,0.69,268.37,12.9,17,31,0,17,21,0,33,14,0,0,13,1,0
5.3,8.168,47.7,38.6,1.011,1.114,0.698,0.679,359.41,6.8,23,44,0,23,30,0,47,21,0,0,21,0,0
5.2,7.218,45.8,45.8,0.994,1.116,0.678,0.64,346.46,4.2,18,48,0,19,28,0,50,22,0,0,18,4,1
5.9,8.472,46.2,38.5,1.004,1.116,0.721,0.687,440.57,11.5,27,52,0,28,36,0,56,24,0,0,23,1,1
5.2,8.823,46.5,34.9,1.027,1.137,0.696,0.692,379.4,11.6,25,43,0,25,32,0,47,20,0,0,17,3,0
5.7,8.922,45.7,34.8,1.035,1.135,0.687,0.689,410.41,8.7,22,46,0,23,33,0,49,21,0,0,20,1,1
5.2,7.581,45.2,42.9,0.998,1.122,0.686,0.654,318.41,9.5,20,42,0,21,27,0,45,19,0,0,15,4,1
5.6,7.04,41.5,47.7,0.995,1.128,0.659,0.621,457.63,7.7,16,65,0,19,37,0,68,27,0,1,15,11,2
5.2,8.282,43.2,38.6,1.017,1.137,0.682,0.668,364.42,13.6,22,44,0,22,30,0,47,19,0,0,16,3,0
5.4,8.2,47.6,38.1,1.009,1.117,0.702,0.683,344.4,9.5,16,42,0,19,30,0,46,20,0,0,17,3,3
5.3,8.579,39.7,39.7,1.026,1.128,0.677,0.661,497.58,8.6,16,58,0,22,38,0,61,23,0,0,18,5,6
6.6,7.161,39.6,47.2,1.0,1.133,0.652,0.619,379.51,9.4,12,53,0,15,30,0,55,21,0,0,14,7,3
5.2,11.445,39.3,28.6,1.026,1.113,0.812,0.758,320.46,21.4,18,28,0,18,24,0,32,11,0,0,8,3,0
5.4,7.49,42.0,44.0,1.0,1.13,0.672,0.641,374.49,12.0,21,50,0,22,31,0,53,21,0,0,16,5,1
6.8,8.585,48.7,38.5,1.001,1.114,0.729,0.694,334.83,10.3,22,39,0,22,27,0,42,19,1,0,18,1,0
5.2,7.777,44.2,41.9,1.006,1.124,0.681,0.656,334.41,9.3,16,43,0,17,28,0,46,19,0,1,13,5,0
5.2,8.538,42.0,40.0,1.017,1.136,0.688,0.665,426.92,12.0,22,50,0,22,33,0,53,21,1,0,16,5,0
5.2,7.787,46.7,42.2,1.007,1.122,0.682,0.658,350.42,4.4,18,45,0,19,28,0,47,21,0,0,18,3,1
5.2,7.457,39.5,44.7,1.004,1.137,0.659,0.631,283.37,13.2,15,38,0,15,24,0,41,15,0,0,9,6,0
5.2,7.056,34.9,48.8,1.005,1.145,0.629,0.599,303.41,11.6,10,43,0,11,24,0,45,15,0,0,7,8,1
5.6,8.733,46.8,36.2,1.029,1.139,0.689,0.684,410.43,8.5,22,47,0,23,33,0,50,22,0,0,20,2,1
6.6,9.695,48.1,31.5,1.038,1.135,0.722,0.718,523.55,9.3,28,54,0,29,41,0,58,26,0,0,25,1,1
6.0,7.26,45.0,45.0,0.99,1.122,0.684,0.644,290.4,10.0,20,40,0,20,25,0,43,18,0,0,14,4,0
5.2,8.088,43.1,41.5,1.004,1.123,0.696,0.662,525.69,10.8,27,65,0,29,42,0,69,28,0,0,24,4,2
5.5,9.25,45.2,35.5,1.019,1.123,0.722,0.701,286.74,12.9,11,31,0,13,22,0,33,14,1,1,11,2,1
5.6,8.481,43.1,39.2,1.01,1.122,0.704,0.675,432.55,11.8,22,51,0,24,34,0,54,22,0,0,20,2,2
5.2,7.218,45.8,45.8,0.994,1.116,0.678,0.64,346.46,4.2,18,48,0,19,28,0,50,22,0,0,18,4,1
5.2,7.979,48.5,39.4,1.002,1.115,0.705,0.679,263.32,9.1,17,33,0,18,22,0,35,16,0,0,16,0,1
5.3,8.818,46.2,36.5,1.014,1.122,0.719,0.694,458.56,11.5,27,52,0,28,37,0,56,24,0,0,23,1,1
5.2,8.38,48.1,37.0,1.015,1.114,0.702,0.688,226.25,7.4,16,27,0,16,19,0,29,13,0,0,13,0,0
5.2,8.081,40.5,40.5,1.019,1.134,0.666,0.653,339.39,11.9,15,42,0,17,28,0,45,17,0,0,12,5,2
5.2,8.822,45.9,37.8,1.015,1.109,0.719,0.69,326.4,5.4,12,37,0,15,25,0,39,17,0,0,16,1,3
5.2,10.154,44.1,38.2,1.011,1.121,0.725,0.69,345.22,11.8,16,34,0,17,23,1,36,15,0,0,14,1,1
5.2,7.558,35.5,45.2,1.015,1.145,0.637,0.618,234.29,12.9,6,31,0,8,17,0,31,11,0,1,6,4,1
5.2,8.984,44.4,36.1,1.012,1.119,0.727,0.698,323.41,13.9,16,36,0,17,27,0,40,16,0,0,12,4,1
5.2,7.316,40.0,45.9,1.002,1.133,0.657,0.626,621.82,10.6,26,85,0,28,52,0,91,34,0,0,21,13,2
6.4,7.5,45.3,43.4,0.996,1.121,0.686,0.652,397.52,9.4,26,53,0,26,34,0,57,24,0,0,20,4,0
5.2,7.57,41.5,43.9,1.006,1.13,0.665,0.639,310.39,9.8,15,41,0,17,25,0,43,17,0,0,12,5,2
5.5,9.726,50.0,32.1,1.023,1.112,0.753,0.73,272.32,7.1,16,28,0,17,21,0,30,14,0,0,14,0,1
5.2,8.451,46.2,38.5,1.026,1.136,0.68,0.671,439.47,5.8,18,52,0,20,35,0,55,24,0,0,20,4,2
7.5,9.086,36.9,43.1,1.016,1.133,0.681,0.646,590.56,10.8,18,65,0,21,40,1,68,24,0,0,17,7,3
5.2,7.676,46.7,42.2,1.001,1.116,0.689,0.66,345.43,6.7,18,45,0,20,28,0,47,21,0,0,20,1,2
5.2,8.432,42.3,38.5,1.026,1.142,0.671,0.664,438.48,11.5,22,52,0,23,35,0,55,22,0,0,17,5,1
5.2,8.052,42.6,40.4,1.014,1.137,0.676,0.658,378.45,12.8,21,47,0,21,32,0,51,20,0,0,15,5,0
5.3,7.653,41.1,42.9,1.004,1.134,0.671,0.645,428.55,14.3,22,56,0,23,36,0,60,23,0,0,18,5,1
5.2,7.213,44.1,45.8,0.992,1.123,0.676,0.638,425.58,8.5,18,59,0,21,35,0,62,26,0,0,21,5,3
5.2,8.244,46.8,38.3,1.011,1.127,0.697,0.679,387.45,10.6,23,47,0,24,32,0,50,22,0,0,21,1,1
5.2,8.305,35.3,44.1,1.018,1.146,0.666,0.633,282.38,11.8,11,34,0,12,20,0,35,12,0,0,8,4,1
5.2,8.843,45.8,33.3,1.021,1.126,0.708,0.702,212.23,16.7,12,24,0,13,18,0,26,11,0,0,11,0,1
5.6,9.825,43.9,31.7,1.042,1.144,0.708,0.709,402.82,14.6,22,41,0,22,31,0,44,18,1,0,17,1,0
5.2,8.493,50.0,37.5,1.0,1.106,0.736,0.7,475.61,8.9,28,56,0,30,39,0,60,28,0,2,25,1,1
5.2,8.696,41.7,37.5,1.037,1.151,0.663,0.665,417.43,10.4,17,48,0,18,33,0,51,20,0,0,15,5,1
5.2,7.583,47.5,42.6,0.996,1.114,0.694,0.661,462.59,6.6,28,61,0,29,39,0,65,29,0,0,26,3,1
5.2,7.795,50.0,40.5,0.996,1.11,0.71,0.678,327.41,7.1,22,42,0,23,28,0,45,21,0,0,20,1,1
6.4,7.967,47.8,39.1,0.998,1.119,0.709,0.68,366.46,13.0,27,46,0,27,32,0,50,22,0,0,21,1,0
5.2,6.445,41.3,52.2,0.984,1.126,0.649,0.599,296.45,4.3,12,46,0,12,24,0,48,19,0,0,11,8,0
5.2,7.888,38.8,44.9,1.009,1.128,0.671,0.636,386.52,8.2,16,49,0,19,29,0,51,19,0,0,14,5,3
5.3,8.676,52.8,33.3,1.007,1.107,0.737,0.72,312.35,11.1,17,36,0,19,27,0,39,19,0,3,14,2,0
5.2,7.093,41.7,47.2,0.995,1.128,0.661,0.624,255.35,8.3,12,36,0,13,20,0,37,15,0,0,12,3,1
5.2,6.915,37.7,49.1,0.996,1.139,0.643,0.606,366.52,11.3,16,53,0,17,29,0,55,20,0,0,13,7,1
6.6,8.142,46.7,40.0,1.02,1.111,0.68,0.667,244.26,0.0,12,30,0,13,19,0,31,14,0,0,14,0,1
5.2,9.777,44.1,35.3,1.022,1.104,0.749,0.712,332.43,5.9,16,34,0,19,24,0,36,15,0,0,14,1,3
5.2,9.37,48.3,34.5,1.017,1.114,0.737,0.714,271.72,10.3,16,29,0,17,21,0,31,14,1,0,14,0,1
5.2,7.581,46.4,42.9,0.998,1.117,0.688,0.657,212.27,7.1,12,28,0,13,17,0,29,13,0,0,12,1,1
6.0,8.719,43.8,37.5,1.013,1.121,0.712,0.686,418.52,12.5,22,48,0,24,33,0,51,21,0,0,20,1,2
5.7,7.306,40.7,45.7,0.999,1.132,0.662,0.63,591.79,11.1,26,81,0,28,50,0,87,33,0,0,21,12,2
5.2,7.316,46.9,44.9,0.994,1.114,0.684,0.648,358.47,4.1,17,49,0,19,30,0,52,23,0,0,18,5,2
5.2,9.442,50.0,30.0,1.042,1.107,0.711,0.723,283.25,3.3,12,30,0,15,23,0,32,15,0,0,15,0,3
5.8,8.174,46.9,40.8,0.998,1.111,0.719,0.678,400.54,8.2,26,49,0,26,33,0,53,23,0,0,20,3,0
5.2,8.922,43.5,34.8,1.035,1.143,0.682,0.684,410.42,13.0,25,46,0,25,34,0,50,20,0,0,16,4,0
5.2,8.622,47.2,38.9,1.007,1.106,0.726,0.689,310.4,5.6,12,36,0,15,24,0,38,17,0,0,16,1,3
5.2,10.283,42.3,34.6,1.03,1.101,0.758,0.717,267.35,3.8,6,26,0,9,18,0,27,11,0,0,10,1,3
5.2,11.661,42.3,30.8,1.043,1.111,0.782,0.747,303.18,7.7,10,26,0,12,19,0,27,11,2,0,10,1,2
5.2,8.489,43.5,39.1,1.007,1.122,0.711,0.678,390.51,13.0,22,46,0,23,31,0,49,20,0,0,19,1,1
6.0,7.769,45.2,43.5,0.994,1.116,0.702,0.658,481.67,8.1,22,62,0,24,39,0,66,28,0,2,20,6,1
5.2,8.148,47.5,41.0,1.002,1.113,0.708,0.674,497.03,6.6,28,61,0,29,40,0,65,29,1,0,26,3,1
6.9,7.36,42.5,45.0,0.998,1.128,0.67,0.637,294.39,10.0,16,40,0,16,25,0,43,17,0,0,12,5,0
