pXC50,C.037,D.Dtr11,nR11,D.Dtr07,nR07,nArC.N,Eta_beta_A,SpDiam_EA.ri.,Eig01_EA.ri.,SpMax_EA.ri.,Eta_betaP_A,Eig01_AEA.dm.,SpMax_AEA.dm.,SIC4,SaasC,RCI,RFD,SdO,NdssC,SpMax1_Bh.m.,Eig02_AEA.dm.,SpMAD_AEA.ed.,P_VSA_MR_7,SM10_EA.ri.,SM08_EA.ri.,SM11_EA.ri.,CIC4,O.058,GGI5,nPyridines,NdO,SpMax2_Bh.s.,GGI3,SpDiam_AEA.dm.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SIC5,SM09_EA.ri.,Eig05_EA.ri.,SM15_EA.ri.,SM07_EA.ri.,SpMAD_EA.ed.,Eta_sh_p,Rbrid,Eta_B_A,GNar,X4A,CIC5,ARR,GATS2e,Mi,X5A,SpMAD_EA,Eig01_AEA.ri.,SpMax_AEA.ri.,HNar,X0A,BIC4,P_VSA_m_3,nCbH,JGI3,Hy,JGI1,nCIR,BIC5
5.699,0,0.0,0,0.0,0,0,1.24,4.889,2.889,2.889,0.558,4.461,4.461,0.887,0.157,1.0,0.0,12.201,1,4.014,3.788,1.541,55.934,11.291,9.32,12.241,0.604,1,0.847,1,1,7.999,2.0,6.461,13.306,14.298,15.346,0.887,10.185,1.873,16.361,8.119,4.403,0.16,0,0.032,2.005,0.122,0.604,0.429,0.489,1.151,0.079,1.504,4.18,4.18,1.846,0.721,0.842,81.025,4,0.05,-0.646,0.232,3,0.842
5.796,0,0.0,0,0.0,0,0,1.212,5.312,3.312,3.312,0.558,3.789,3.789,0.783,3.166,1.0,0.0,12.403,1,4.014,3.537,1.543,55.934,12.213,9.962,13.343,1.226,1,0.903,1,1,5.01,1.875,5.789,14.521,15.682,16.863,0.783,11.026,1.881,18.039,8.731,4.394,0.202,0,0.032,2.005,0.124,1.226,0.429,0.674,1.128,0.078,1.5,4.313,4.313,1.846,0.721,0.751,36.145,4,0.047,-0.76,0.232,3,0.751
5.745,0,0.0,0,0.0,0,0,1.212,5.317,3.317,3.317,0.558,3.79,3.79,0.811,3.109,1.0,0.0,12.482,1,4.014,3.541,1.541,55.934,12.222,9.968,13.354,1.066,1,0.847,1,1,5.01,2.0,5.79,14.534,15.697,16.879,0.811,11.033,1.881,18.057,8.734,4.403,0.202,0,0.032,2.005,0.122,1.066,0.429,0.674,1.128,0.079,1.504,4.319,4.319,1.846,0.721,0.778,36.145,4,0.05,-0.76,0.232,3,0.778
5.509,0,0.0,0,0.0,0,0,1.24,4.872,2.872,2.872,0.558,4.46,4.46,0.851,0.467,1.0,0.0,12.181,1,4.014,3.788,1.543,55.934,11.273,9.31,12.216,0.799,1,0.903,1,1,7.999,1.875,6.46,13.277,14.263,15.306,0.851,10.17,1.873,16.314,8.112,4.394,0.16,0,0.032,2.005,0.124,0.799,0.429,0.489,1.151,0.078,1.5,4.17,4.17,1.846,0.721,0.808,81.025,4,0.047,-0.646,0.232,3,0.808
6.0,0,0.0,0,0.0,0,0,1.315,4.729,2.729,2.729,0.63,3.789,3.789,0.9,2.335,1.0,0.0,12.189,1,4.021,3.317,1.526,95.083,10.699,8.846,11.546,0.526,1,0.604,1,1,5.012,1.625,5.789,12.597,13.505,14.522,0.9,9.581,1.626,15.464,7.595,4.096,0.156,0,0.024,2.067,0.126,0.526,0.48,0.718,1.124,0.08,1.471,3.922,3.922,1.944,0.706,0.85,36.145,4,0.048,-0.686,0.18,3,0.85
6.0,0,0.0,0,0.0,0,0,1.323,5.026,3.026,3.026,0.661,4.472,4.472,0.877,1.454,1.0,0.0,12.574,1,3.964,3.789,1.52,16.786,11.773,9.72,12.772,0.696,1,1.153,1,1,7.999,2.313,6.472,13.876,14.919,16.009,0.887,10.63,2.196,17.074,8.483,4.359,0.084,0,0.027,2.077,0.118,0.642,0.529,0.462,1.139,0.077,1.506,4.28,4.28,1.948,0.705,0.829,81.025,9,0.047,-0.735,0.191,4,0.838
6.0,0,0.0,0,0.0,0,0,1.388,5.177,3.177,3.177,0.672,3.977,3.977,0.952,1.481,1.1,0.1,36.851,3,4.232,3.621,1.616,33.571,11.987,9.853,13.054,0.262,3,1.053,0,3,7.445,2.722,5.977,14.182,15.285,16.414,0.952,10.846,2.208,17.536,8.659,4.6,0.169,1,0.031,2.049,0.111,0.262,0.5,0.619,1.135,0.069,1.528,4.299,4.299,1.871,0.714,0.887,90.395,4,0.057,-0.2,0.203,5,0.887
6.081,0,0.0,0,0.0,0,0,1.197,5.287,3.287,3.287,0.579,3.841,3.841,0.883,0.002,1.222,0.222,22.997,3,4.014,3.467,1.629,9.476,11.998,9.727,13.139,0.591,2,1.081,0,2,7.476,2.424,5.841,14.327,15.496,16.682,0.883,10.798,1.84,17.863,8.479,4.554,0.263,1,0.035,1.906,0.102,0.591,0.3,0.487,1.133,0.07,1.518,4.349,4.349,1.701,0.745,0.837,107.933,3,0.081,-0.249,0.225,3,0.837
5.357,0,0.0,0,0.0,0,0,1.143,5.259,3.259,3.259,0.524,3.818,3.818,0.887,1.585,1.133,0.133,23.526,3,4.003,3.464,1.551,9.476,11.955,9.722,13.068,0.6,2,0.976,0,2,7.427,2.049,5.818,14.252,15.403,16.581,0.887,10.747,1.832,17.748,8.44,4.31,0.101,1,0.024,2.074,0.108,0.6,0.261,0.417,1.122,0.073,1.502,4.309,4.309,1.938,0.706,0.845,92.973,4,0.064,-0.338,0.152,4,0.845
6.0,0,0.0,0,0.0,0,0,1.388,5.177,3.177,3.177,0.672,3.977,3.977,0.952,1.007,1.1,0.1,36.849,3,4.233,3.621,1.622,33.571,12.041,9.894,13.113,0.262,3,1.157,0,3,7.445,2.972,5.977,14.242,15.348,16.477,0.952,10.898,2.208,17.598,8.698,4.606,0.169,1,0.031,2.049,0.11,0.262,0.5,0.619,1.135,0.069,1.524,4.299,4.299,1.871,0.714,0.887,90.395,4,0.061,-0.2,0.188,5,0.887
6.0,0,0.0,0,0.0,0,0,1.411,5.177,3.177,3.177,0.696,3.977,3.977,0.919,2.64,1.1,0.1,36.863,3,4.231,3.621,1.597,33.571,11.959,9.821,13.027,0.443,3,1.022,0,3,7.428,2.535,5.977,14.157,15.261,16.392,0.919,10.815,2.208,17.515,8.621,4.543,0.151,1,0.029,2.072,0.111,0.443,0.516,0.608,1.128,0.07,1.523,4.299,4.299,1.909,0.708,0.856,75.435,5,0.055,-0.217,0.177,5,0.856
4.0,0,0.0,0,0.0,0,0,1.167,4.811,2.868,2.868,0.6,3.763,3.763,0.894,2.224,1.0,0.0,0.0,2,3.888,2.956,1.522,26.262,10.869,8.863,11.843,0.525,0,0.34,1,0,4.902,1.0,5.763,12.907,13.915,14.964,0.894,9.767,1.199,15.988,7.672,3.735,0.257,0,0.021,1.852,0.146,0.525,0.4,0.584,1.133,0.087,1.398,3.883,3.883,1.698,0.751,0.857,42.806,0,0.05,-0.265,0.2,1,0.857
5.425,0,0.0,0,0.0,0,0,1.12,5.291,3.291,3.291,0.478,3.844,3.844,0.836,0.431,1.143,0.143,24.756,3,4.022,3.569,1.579,9.476,12.112,9.878,13.234,0.898,2,1.198,0,2,7.434,2.396,5.844,14.411,15.567,16.745,0.836,10.924,1.988,17.918,8.636,4.505,0.182,1,0.03,2.016,0.104,0.898,0.24,0.609,1.134,0.066,1.516,4.353,4.353,1.84,0.72,0.8,65.25,3,0.067,-0.772,0.18,4,0.8
5.889,0,0.0,0,0.0,0,0,1.067,5.291,3.291,3.291,0.423,3.845,3.845,0.829,0.372,1.133,0.133,25.561,3,4.022,3.605,1.576,9.476,12.124,9.892,13.245,0.971,2,1.4,0,2,7.434,2.736,5.845,14.421,15.577,16.754,0.829,10.935,1.97,17.926,8.645,4.318,0.162,1,0.023,2.014,0.109,0.971,0.214,0.808,1.136,0.07,1.479,4.353,4.353,1.857,0.719,0.799,76.25,3,0.064,-0.76,0.161,4,0.799
4.0,0,0.0,0,0.0,0,0,1.097,4.804,2.849,2.849,0.5,4.46,4.46,0.894,-0.404,1.0,0.0,0.0,2,3.91,3.762,1.548,26.262,11.074,9.08,12.046,0.525,0,0.583,1,0,7.999,1.375,6.46,13.098,14.099,15.139,0.894,9.99,1.239,16.155,7.92,4.231,0.274,0,0.034,1.805,0.141,0.525,0.333,0.384,1.166,0.079,1.453,4.16,4.16,1.624,0.764,0.857,87.686,0,0.055,-0.171,0.306,1,0.857
4.0,0,0.0,0,0.0,0,0,1.306,5.039,3.039,3.039,0.722,3.763,3.763,0.922,1.042,1.2,0.2,0.0,2,4.042,3.054,1.518,26.262,11.416,9.314,12.445,0.397,0,0.431,1,0,4.987,1.188,5.763,13.562,14.628,15.732,0.933,10.263,1.38,16.816,8.068,3.957,0.154,1,0.018,1.994,0.128,0.339,0.579,0.588,1.121,0.077,1.432,4.048,4.048,1.862,0.72,0.867,42.806,4,0.044,-0.334,0.158,3,0.878
6.602,0,0.0,0,0.0,0,0,1.393,5.323,3.323,3.323,0.75,3.957,3.957,0.935,4.582,1.1,0.1,36.891,3,10.695,3.626,1.583,16.786,12.282,10.041,13.406,0.351,3,1.07,0,3,7.428,3.021,5.957,14.589,15.748,16.931,0.935,11.086,2.087,18.108,8.787,4.506,0.214,1,0.029,2.072,0.111,0.351,0.548,0.496,1.101,0.072,1.512,4.342,4.342,1.909,0.708,0.866,75.435,7,0.067,-0.288,0.194,5,0.866
6.301,0,0.0,0,0.0,0,0,1.331,5.323,3.323,3.323,0.677,4.46,4.46,0.945,0.865,1.1,0.1,36.874,3,4.233,3.957,1.592,16.786,12.446,10.219,13.562,0.3,3,1.4,0,3,7.999,3.521,6.46,14.731,15.881,17.052,0.953,11.265,2.223,18.219,8.988,4.73,0.164,1,0.036,2.02,0.11,0.256,0.5,0.397,1.133,0.071,1.537,4.342,4.342,1.833,0.721,0.881,120.315,7,0.069,-0.265,0.235,5,0.888
4.65,0,0.0,0,0.0,0,0,0.813,5.046,3.066,3.066,0.271,3.729,3.729,0.933,0.0,1.0,0.0,22.387,2,3.89,3.596,1.444,56.857,11.339,9.238,12.373,0.384,2,0.524,0,2,7.427,1.292,5.557,13.511,14.593,15.718,0.933,10.164,1.77,16.821,7.964,3.476,0.162,0,0.019,1.884,0.137,0.384,0.0,0.506,1.131,0.094,1.39,4.04,4.04,1.756,0.741,0.913,135.657,0,0.048,0.214,0.167,1,0.913
6.602,0,0.0,0,0.0,0,0,1.379,5.323,3.323,3.323,0.724,3.957,3.957,0.97,3.839,1.1,0.1,36.922,3,4.246,3.626,1.6,95.083,12.301,10.065,13.422,0.161,3,1.101,0,3,7.428,3.208,5.957,14.603,15.76,16.942,0.97,11.108,2.119,18.117,8.818,4.577,0.203,1,0.031,2.049,0.11,0.161,0.531,0.536,1.105,0.071,1.517,4.342,4.342,1.871,0.714,0.899,75.435,6,0.067,-0.268,0.203,5,0.899
6.602,0,0.0,0,0.0,0,0,1.371,5.323,3.323,3.323,0.724,3.957,3.957,0.953,4.905,1.1,0.1,36.964,3,4.237,3.626,1.6,55.934,12.339,10.109,13.458,0.256,3,1.101,0,3,7.428,3.208,5.957,14.635,15.79,16.968,0.953,11.151,2.193,18.141,8.868,4.577,0.191,1,0.031,2.049,0.11,0.256,0.531,0.5,1.109,0.071,1.517,4.342,4.342,1.871,0.714,0.888,75.435,6,0.067,-0.302,0.203,5,0.888
9.949,1,106.475,2,30.236,1,1,1.528,5.03,3.03,3.03,0.889,3.586,3.586,0.985,2.868,1.267,0.267,11.387,1,3.987,3.227,1.537,9.047,11.452,9.367,12.47,0.071,1,0.569,0,1,5.015,1.063,5.586,13.583,14.639,15.739,0.985,10.303,1.47,16.815,8.126,4.277,0.087,2,0.023,2.12,0.114,0.071,0.6,0.754,1.11,0.074,1.485,4.1,4.1,2.0,0.696,0.902,36.145,7,0.033,0.374,0.15,6,0.902
9.932,1,115.762,2,32.798,1,1,1.487,5.025,3.025,3.025,0.842,3.701,3.701,0.968,2.944,1.267,0.267,11.756,1,3.987,3.262,1.541,9.047,11.441,9.36,12.456,0.158,1,0.597,0,1,5.005,1.063,5.701,13.568,14.622,15.72,0.968,10.292,1.471,16.794,8.118,4.192,0.094,2,0.02,2.113,0.113,0.158,0.571,0.956,1.107,0.073,1.458,4.106,4.106,2.0,0.697,0.892,47.145,7,0.031,-0.776,0.143,6,0.892
6.292,0,0.0,0,0.0,0,0,1.155,5.288,3.288,3.288,0.524,3.841,3.841,0.886,0.12,1.143,0.143,23.371,3,4.019,3.467,1.568,9.476,12.052,9.802,13.18,0.595,2,1.032,0,2,7.476,2.396,5.841,14.364,15.525,16.708,0.886,10.853,1.904,17.884,8.546,4.479,0.133,1,0.028,2.045,0.105,0.595,0.261,0.458,1.129,0.068,1.512,4.351,4.351,1.881,0.713,0.84,107.933,3,0.075,-0.291,0.174,4,0.84
4.631,0,0.0,0,0.0,0,0,1.188,4.725,2.778,2.778,0.594,3.762,3.762,0.898,1.536,1.0,0.0,0.0,2,3.878,2.896,1.502,26.262,10.542,8.627,11.455,0.508,0,0.347,1,0,4.984,0.875,5.762,12.5,13.459,14.484,0.898,9.451,0.957,15.468,7.435,3.657,0.246,0,0.018,1.861,0.147,0.508,0.375,0.88,1.135,0.085,1.384,3.805,3.805,1.714,0.748,0.862,53.806,0,0.042,-0.229,0.219,1,0.862
4.77,0,0.0,0,0.0,0,0,1.214,4.714,2.772,2.772,0.643,3.762,3.762,0.914,1.014,1.0,0.0,0.0,2,3.86,2.847,1.485,26.262,10.437,8.511,11.351,0.411,0,0.229,1,0,4.913,0.813,5.762,12.403,13.365,14.394,0.914,9.332,0.953,15.381,7.292,3.512,0.201,0,0.016,1.88,0.154,0.411,0.429,0.606,1.132,0.091,1.377,3.796,3.796,1.75,0.742,0.872,42.806,0,0.048,-0.235,0.179,1,0.872
5.065,0,0.0,0,0.0,0,0,1.214,4.711,2.774,2.774,0.643,3.762,3.762,0.855,1.062,1.0,0.0,0.0,2,3.861,2.847,1.485,26.262,10.448,8.52,11.363,0.697,0,0.229,1,0,4.914,0.813,5.762,12.416,13.379,14.409,0.855,9.343,0.983,15.395,7.301,3.512,0.201,0,0.016,1.88,0.154,0.697,0.429,0.606,1.132,0.091,1.377,3.797,3.797,1.75,0.742,0.815,42.806,0,0.048,-0.235,0.179,1,0.815
4.0,0,0.0,0,0.0,0,0,1.167,4.727,2.78,2.78,0.6,3.762,3.762,0.894,2.018,1.0,0.0,0.0,2,3.88,2.858,1.51,26.262,10.563,8.646,11.479,0.525,0,0.285,1,0,4.895,0.875,5.762,12.522,13.482,14.507,0.894,9.475,0.956,15.491,7.46,3.706,0.257,0,0.022,1.852,0.147,0.525,0.4,0.558,1.133,0.088,1.398,3.804,3.804,1.698,0.751,0.857,42.806,0,0.046,-0.265,0.233,1,0.857
4.0,0,0.0,0,0.0,0,0,1.306,4.902,2.902,2.902,0.722,3.762,3.762,0.933,1.015,1.2,0.2,0.0,2,4.031,2.948,1.513,26.262,11.141,9.133,12.105,0.339,0,0.313,1,0,5.0,1.063,5.762,13.189,14.196,15.259,0.933,10.01,1.441,16.288,7.897,3.929,0.154,1,0.019,1.994,0.131,0.339,0.579,0.562,1.121,0.078,1.431,3.929,3.929,1.862,0.72,0.878,42.806,4,0.041,-0.334,0.184,3,0.878
6.18,0,0.0,0,0.0,0,0,1.155,5.289,3.289,3.289,0.524,3.84,3.84,0.88,0.297,1.143,0.143,23.649,3,4.019,3.385,1.568,9.476,12.058,9.81,13.186,0.632,2,1.032,0,2,7.441,2.396,5.84,14.369,15.531,16.713,0.88,10.861,1.925,17.889,8.557,4.479,0.139,1,0.028,2.045,0.105,0.632,0.261,0.496,1.134,0.068,1.512,4.351,4.351,1.881,0.713,0.836,65.25,3,0.075,0.331,0.174,4,0.836
6.215,0,0.0,0,0.0,0,0,1.197,5.273,3.273,3.273,0.579,3.842,3.842,0.883,1.649,1.222,0.222,23.166,3,4.089,3.467,1.629,48.625,11.948,9.682,13.085,0.591,2,1.081,0,2,7.427,2.424,5.842,14.271,15.436,16.62,0.883,10.749,1.808,17.797,8.433,4.554,0.298,1,0.035,1.906,0.102,0.591,0.3,0.459,1.121,0.07,1.518,4.345,4.345,1.701,0.745,0.837,92.973,3,0.081,-0.249,0.225,3,0.837
5.936,0,0.0,0,0.0,0,0,1.188,5.288,3.288,3.288,0.55,3.841,3.841,0.919,0.109,1.154,0.154,23.204,3,4.02,3.467,1.575,9.476,12.065,9.819,13.188,0.412,2,0.983,0,2,7.476,2.486,5.841,14.374,15.532,16.715,0.919,10.861,1.903,17.89,8.551,4.487,0.14,1,0.03,2.048,0.102,0.412,0.273,0.478,1.129,0.067,1.488,4.351,4.351,1.875,0.714,0.867,107.933,3,0.08,-0.271,0.182,4,0.867
5.18,0,0.0,0,0.0,0,0,0.921,4.901,2.944,2.944,0.395,3.484,3.484,0.857,0.0,0.0,0.0,11.351,1,3.737,3.304,1.345,75.81,10.942,8.893,11.952,0.779,1,0.222,0,1,6.449,0.5,5.324,13.042,14.087,15.168,0.882,9.825,1.316,16.23,7.703,3.238,0.239,0,0.024,1.766,0.164,0.642,0.0,0.684,1.134,0.121,1.346,4.055,4.055,1.64,0.766,0.838,67.828,0,0.029,0.29,0.222,0,0.863
6.699,0,0.0,0,0.0,0,0,0.771,5.806,3.806,3.806,0.188,3.987,3.987,0.876,0.0,1.25,0.167,21.684,1,4.004,3.544,1.619,32.325,13.635,11.078,14.925,0.719,2,0.83,0,2,7.447,3.16,5.987,16.232,17.539,18.853,0.876,12.332,1.704,20.168,9.761,4.894,0.188,1,0.033,1.986,0.106,0.719,0.0,0.71,1.13,0.063,1.495,4.841,4.841,1.811,0.726,0.858,61.29,0,0.073,-0.864,0.288,4,0.858
7.35,1,115.762,2,32.798,1,1,1.487,5.038,3.038,3.038,0.842,3.699,3.699,0.968,2.966,1.267,0.267,11.763,1,3.988,3.266,1.541,9.047,11.448,9.363,12.466,0.158,1,0.597,0,1,5.007,1.063,5.699,13.581,14.64,15.743,0.968,10.297,1.468,16.822,8.119,4.192,0.094,2,0.02,2.113,0.113,0.158,0.571,0.956,1.107,0.073,1.458,4.109,4.109,2.0,0.697,0.892,47.145,7,0.031,-0.776,0.143,6,0.892
8.07,1,147.884,2,41.962,1,1,1.307,5.127,3.127,3.127,0.705,3.7,3.7,0.942,4.728,1.267,0.267,12.349,1,4.008,3.216,1.502,9.047,11.711,9.57,12.762,0.311,1,0.653,0,1,4.911,1.188,5.7,13.904,14.995,16.125,0.942,10.534,1.608,17.237,8.299,4.001,0.079,2,0.017,2.097,0.116,0.311,0.5,0.762,1.114,0.074,1.444,4.139,4.139,2.0,0.698,0.89,36.145,7,0.032,-0.851,0.125,6,0.89
9.231,1,115.762,2,32.798,1,1,1.434,5.115,3.115,3.115,0.816,3.694,3.694,0.958,4.611,1.267,0.267,11.836,1,4.006,3.211,1.541,9.047,11.699,9.558,12.751,0.211,1,0.597,0,1,4.908,1.063,5.694,13.888,14.977,16.103,0.958,10.528,1.487,17.21,8.296,4.192,0.092,2,0.02,2.113,0.113,0.211,0.571,0.828,1.107,0.073,1.458,4.134,4.134,2.0,0.697,0.888,36.145,7,0.031,-0.828,0.143,6,0.888
10.109,1,106.475,2,30.236,1,1,1.528,5.043,3.043,3.043,0.889,3.582,3.582,0.985,2.891,1.267,0.267,11.395,1,3.988,3.235,1.537,9.047,11.459,9.369,12.48,0.071,1,0.569,0,1,5.015,1.063,5.582,13.596,14.658,15.761,0.985,10.307,1.465,16.843,8.127,4.277,0.087,2,0.023,2.12,0.114,0.071,0.6,0.754,1.11,0.074,1.485,4.104,4.104,2.0,0.696,0.902,36.145,7,0.033,0.374,0.15,6,0.902
4.62,0,0.0,0,0.0,0,0,0.813,5.046,3.066,3.066,0.271,3.729,3.729,0.933,0.0,1.0,0.0,22.387,2,3.89,3.596,1.444,56.857,11.339,9.238,12.373,0.384,2,0.524,0,2,7.427,1.292,5.557,13.511,14.593,15.718,0.933,10.164,1.77,16.821,7.964,3.476,0.162,0,0.019,1.884,0.137,0.384,0.0,0.506,1.131,0.094,1.39,4.04,4.04,1.756,0.741,0.913,135.657,0,0.048,0.214,0.167,1,0.913
4.821,0,0.0,0,0.0,0,0,0.771,5.046,3.066,3.066,0.229,3.725,3.725,0.924,0.0,1.0,0.0,22.445,2,3.888,3.596,1.444,37.905,11.339,9.238,12.373,0.442,2,0.524,0,2,7.427,1.292,5.651,13.511,14.593,15.718,0.924,10.164,1.77,16.821,7.964,3.476,0.162,0,0.019,1.884,0.137,0.442,0.0,0.497,1.134,0.094,1.39,4.04,4.04,1.756,0.741,0.908,135.657,0,0.048,0.214,0.167,1,0.908
5.854,0,0.0,0,0.0,0,0,1.207,4.836,2.836,2.836,0.609,4.659,4.659,0.863,3.014,1.0,0.0,12.336,1,4.305,3.743,1.536,156.595,10.808,8.902,11.701,0.709,1,0.993,0,1,5.147,1.375,6.659,12.772,13.727,14.775,0.863,9.687,1.655,15.765,7.677,4.315,0.297,0,0.036,1.912,0.122,0.709,0.5,0.455,1.103,0.083,1.492,4.038,4.038,1.736,0.741,0.817,25.145,8,0.043,-0.241,0.292,2,0.817
5.334,0,0.0,0,0.0,0,0,1.197,5.265,3.265,3.265,0.579,3.819,3.819,0.883,0.412,1.222,0.222,23.0,3,4.01,3.464,1.621,9.476,11.932,9.677,13.063,0.591,2,1.161,0,2,7.476,2.174,5.819,14.246,15.407,16.588,0.883,10.736,1.809,17.762,8.433,4.536,0.263,1,0.036,1.906,0.103,0.591,0.3,0.487,1.133,0.07,1.519,4.316,4.316,1.701,0.745,0.837,107.933,3,0.075,-0.249,0.25,3,0.837
