pXC50,nCsp3,nH,Se,Si,nBT,nO,nAT,Mv,Sv,Sp,Mp,AMW,MW,C.,H.,Mi,nC,nSK,nBO,SCBO,Me,N.,nAB,nB,nBM,nBR,nCL,nCsp,nCsp2,nDB
7.066,10,30,70.854,79.406,75,2,70,0.648,45.36,47.364,0.677,8.067,564.72,41.4,42.9,1.134,29,40,45,58.5,1.012,8.6,23,0,25,0,0,0,19,2
6.416,10,28,64.567,72.861,69,1,64,0.64,40.931,42.5,0.664,7.666,490.61,42.2,43.8,1.138,27,36,41,52.0,1.009,9.4,22,0,22,0,0,0,17,0
6.921,10,30,70.785,79.114,75,3,70,0.648,45.372,46.921,0.67,7.781,544.65,44.3,42.9,1.13,31,40,45,57.5,1.011,5.7,23,0,24,0,0,0,21,1
6.194,8,29,66.429,73.94,70,5,66,0.644,42.487,44.188,0.67,7.57,499.61,43.9,43.9,1.12,29,37,41,53.5,1.006,4.5,23,0,24,0,0,0,21,1
5.147,9,31,66.985,75.145,71,4,67,0.631,42.299,44.495,0.664,7.248,485.63,43.3,46.3,1.122,29,36,40,51.5,1.0,4.5,23,0,23,0,0,0,20,0
6.469,8,29,68.832,76.069,72,6,68,0.653,44.388,46.29,0.681,8.054,547.68,42.6,42.6,1.119,29,39,43,57.5,1.012,4.4,23,0,26,0,0,0,21,3
6.194,4,23,56.854,62.614,59,5,56,0.662,37.093,38.551,0.688,8.314,465.57,42.9,41.1,1.118,24,33,36,49.5,1.015,5.4,23,0,25,0,0,0,20,2
5.7,0,9,29.698,31.838,31,2,29,0.751,21.792,22.966,0.792,12.042,349.22,48.3,31.0,1.098,14,20,22,31.0,1.024,6.9,16,0,17,1,0,0,14,1
5.0,7,25,60.047,66.971,62,3,59,0.648,38.257,39.563,0.671,8.237,485.99,40.7,42.4,1.135,24,34,37,47.5,1.018,8.5,17,0,19,0,1,0,17,2
5.7,1,13,32.051,35.78,34,1,32,0.669,21.413,22.279,0.696,7.853,251.31,46.9,40.6,1.118,15,19,21,29.5,1.002,9.4,17,0,17,0,0,0,14,0
5.7,2,18,47.894,53.109,50,3,47,0.669,31.434,31.966,0.68,8.307,390.44,42.6,38.3,1.13,20,29,32,44.0,1.019,12.8,22,0,23,0,0,0,18,1
5.35,0,9,38.8,41.268,40,1,37,0.784,29.022,29.517,0.798,11.791,436.28,51.4,24.3,1.115,19,28,31,42.0,1.049,8.1,12,0,17,0,2,0,19,5
5.0,3,14,42.898,46.573,43,3,41,0.699,28.677,29.091,0.71,10.094,413.86,41.5,34.1,1.136,17,27,29,40.0,1.046,7.3,16,0,19,0,1,0,14,3
5.7,6,18,47.483,52.622,49,3,46,0.657,30.211,30.353,0.66,8.444,388.41,41.3,39.1,1.144,19,28,31,39.0,1.032,8.7,12,0,14,0,0,0,13,2
5.363,5,16,51.214,56.045,53,3,49,0.696,34.089,33.534,0.684,9.294,455.43,44.9,32.7,1.144,22,33,37,49.0,1.045,10.2,16,0,20,0,0,0,17,4
5.0,1,13,39.44,43.654,43,0,39,0.716,27.917,28.972,0.743,9.217,359.45,46.2,33.3,1.119,18,26,30,43.0,1.011,17.9,26,0,26,0,0,0,17,0
5.7,7,24,57.207,63.402,58,6,56,0.636,35.642,36.364,0.649,7.866,440.5,39.3,42.9,1.132,22,32,34,46.0,1.022,7.1,16,0,20,0,0,0,15,4
5.0,9,30,74.531,82.438,82,5,74,0.669,49.508,51.193,0.692,7.928,586.69,47.3,40.5,1.114,35,44,52,69.0,1.007,5.4,30,0,32,0,0,0,26,2
6.8,3,20,53.76,59.153,54,6,52,0.656,34.105,34.091,0.656,8.47,440.46,38.5,38.5,1.138,20,32,34,46.0,1.034,11.5,18,0,21,0,0,0,17,3
5.469,3,16,39.356,44.275,42,1,39,0.653,25.477,26.296,0.674,7.907,308.38,41.0,41.0,1.135,16,23,26,36.0,1.009,15.4,20,0,20,0,0,0,13,0
5.7,3,19,48.098,53.527,52,1,48,0.681,32.697,34.461,0.718,8.365,401.53,45.8,39.6,1.115,22,29,33,45.0,1.002,10.4,22,0,23,0,0,0,19,1
5.35,16,42,82.825,94.301,87,4,83,0.596,49.47,52.557,0.633,6.781,562.79,37.3,50.6,1.136,31,41,45,54.5,0.998,7.2,17,0,18,0,0,0,15,1
5.7,5,20,59.981,65.876,61,3,58,0.692,40.142,40.057,0.691,8.957,519.52,46.6,34.5,1.136,27,38,41,56.5,1.034,8.6,17,0,22,0,0,2,20,3
5.764,2,15,44.818,49.29,45,3,43,0.679,29.179,28.835,0.671,9.009,387.38,41.9,34.9,1.146,18,28,30,40.5,1.042,11.6,17,0,19,0,0,0,16,2
6.586,11,36,72.923,82.766,76,3,73,0.608,44.362,47.466,0.65,7.188,524.76,37.0,49.3,1.134,27,37,40,51.0,0.999,8.2,18,0,20,0,0,0,16,2
7.155,0,12,41.229,44.878,41,3,39,0.701,27.334,26.966,0.691,10.113,394.4,38.5,30.8,1.151,15,27,29,40.5,1.057,15.4,17,0,20,0,0,0,15,3
6.161,0,11,39.051,42.46,39,3,37,0.706,26.125,25.313,0.684,9.711,359.32,43.2,29.7,1.148,16,26,28,38.5,1.055,13.5,17,0,19,0,0,0,16,2
6.119,1,13,41.934,45.875,42,3,40,0.691,27.652,27.074,0.677,9.334,373.35,42.5,32.5,1.147,17,27,29,39.5,1.048,12.5,17,0,19,0,0,0,16,2
7.377,0,11,39.051,42.46,39,3,37,0.706,26.125,25.313,0.684,9.711,359.32,43.2,29.7,1.148,16,26,28,38.5,1.055,13.5,17,0,19,0,0,0,16,2
5.0,2,15,44.818,49.29,45,3,43,0.679,29.179,28.835,0.671,9.009,387.38,41.9,34.9,1.146,18,28,30,40.5,1.042,11.6,17,0,19,0,0,0,16,2
6.444,0,11,35.396,39.041,36,1,34,0.697,23.696,23.404,0.688,9.274,315.31,44.1,32.4,1.148,15,23,25,34.5,1.041,14.7,17,0,18,0,0,0,15,1
7.155,2,16,43.265,48.37,44,1,42,0.661,27.771,27.932,0.665,8.533,358.39,40.5,38.1,1.152,17,26,28,37.5,1.03,14.3,17,0,18,0,0,0,15,1
7.155,2,16,43.265,48.37,44,1,42,0.661,27.771,27.932,0.665,8.533,358.39,40.5,38.1,1.152,17,26,28,37.5,1.03,14.3,17,0,18,0,0,0,15,1
6.523,0,10,34.614,38.124,35,1,33,0.703,23.19,22.648,0.686,9.585,316.3,42.4,30.3,1.155,14,23,25,34.5,1.049,18.2,17,0,18,0,0,0,14,1
5.0,2,17,43.793,48.611,45,3,43,0.661,28.412,28.96,0.673,8.172,351.4,41.9,39.5,1.13,18,26,28,38.5,1.018,11.6,17,0,19,0,0,0,16,2
5.219,2,16,44.305,48.951,45,3,43,0.67,28.796,28.898,0.672,8.59,369.39,41.9,37.2,1.138,18,27,29,39.5,1.03,11.6,17,0,19,0,0,0,16,2
5.0,3,16,48.214,53.045,48,3,46,0.676,31.089,30.534,0.664,9.117,419.4,41.3,34.8,1.153,19,30,32,42.5,1.048,10.9,17,0,19,0,0,0,16,2
5.0,4,22,51.662,57.94,53,3,51,0.637,32.487,33.489,0.657,7.735,394.48,39.2,43.1,1.136,20,29,31,41.5,1.013,11.8,17,0,19,0,0,0,16,2
5.0,2,15,41.236,45.405,42,4,40,0.665,26.6,26.654,0.666,8.534,341.36,40.0,37.5,1.135,16,25,27,37.0,1.031,12.5,16,0,18,0,0,0,14,2
5.0,2,13,31.698,35.571,32,2,31,0.634,19.644,19.983,0.645,7.977,247.29,35.5,41.9,1.147,11,18,19,25.5,1.023,16.1,11,0,12,0,0,0,9,1
5.222,1,18,45.996,51.029,49,1,46,0.689,31.675,33.455,0.727,8.402,386.51,47.8,39.1,1.109,22,28,31,44.0,1.0,8.7,22,0,24,0,0,0,21,2
5.301,1,17,49.407,54.449,51,3,48,0.684,32.817,32.904,0.685,8.759,420.44,43.8,35.4,1.134,21,31,34,47.0,1.029,12.5,22,0,24,0,0,0,20,2
5.35,2,16,50.32,54.906,50,3,48,0.696,33.422,33.148,0.691,9.685,464.86,43.8,33.3,1.144,21,32,34,45.0,1.048,8.3,18,0,20,0,1,0,19,2
5.7,2,17,40.811,45.983,44,0,41,0.665,27.268,28.597,0.697,7.693,315.41,46.3,41.5,1.122,19,24,27,38.0,0.995,12.2,22,0,22,0,0,0,17,0
5.7,2,13,35.553,39.143,37,1,35,0.699,24.449,25.79,0.737,9.51,332.84,42.9,37.1,1.118,15,22,24,32.5,1.016,11.4,17,0,17,0,1,0,13,0
5.7,1,14,38.251,42.512,41,0,38,0.699,26.569,27.693,0.729,8.837,335.82,47.4,36.8,1.119,18,24,27,38.0,1.007,13.2,22,0,22,0,1,0,17,0
5.7,8,26,59.603,66.923,62,2,59,0.642,37.862,40.068,0.679,8.272,488.07,37.3,44.1,1.134,22,33,36,45.5,1.01,11.9,17,0,18,0,1,0,14,1
5.8,18,45,71.701,83.923,75,0,74,0.546,40.369,45.381,0.613,5.375,397.74,36.5,60.8,1.134,27,29,30,35.5,0.969,2.7,11,0,11,0,0,0,9,0
5.0,8,26,51.774,59.351,54,1,52,0.598,31.111,33.103,0.637,6.817,354.51,36.5,50.0,1.141,19,26,28,36.0,0.996,11.5,16,0,16,0,0,0,11,0
5.7,1,13,34.051,37.78,37,1,34,0.689,23.413,24.279,0.714,8.098,275.33,50.0,38.2,1.111,17,21,24,34.0,1.001,8.8,16,0,18,0,0,0,16,2
5.0,3,15,43.64,47.653,44,3,42,0.694,29.154,29.864,0.711,10.898,457.71,40.5,35.7,1.135,17,27,29,38.0,1.039,9.5,16,0,17,1,1,0,14,1
5.7,6,19,49.069,54.516,51,2,48,0.666,31.962,32.824,0.684,8.664,415.89,41.7,39.6,1.136,20,29,32,41.5,1.022,10.4,17,0,18,0,1,0,14,1
5.509,9,26,61.109,68.189,68,3,61,0.656,40.025,41.762,0.685,7.649,466.58,45.9,42.6,1.118,28,35,42,55.0,1.002,6.6,24,0,25,0,0,0,19,1
5.7,5,15,47.112,51.547,49,3,45,0.69,31.068,30.529,0.678,9.253,416.39,44.4,33.3,1.145,20,30,34,43.0,1.047,8.9,12,0,15,0,0,0,15,3
5.094,8,25,64.858,71.832,67,4,63,0.657,41.416,41.79,0.663,8.358,526.56,42.9,39.7,1.14,27,38,42,54.0,1.029,6.3,16,0,20,0,0,0,19,4
5.0,1,10,39.211,42.265,40,2,37,0.734,27.166,26.239,0.709,10.116,374.31,51.4,27.0,1.142,19,27,30,41.0,1.06,5.4,16,0,19,0,0,0,18,3
5.0,5,19,52.552,58.168,55,2,51,0.675,34.406,34.597,0.678,8.636,440.46,45.1,37.3,1.141,23,32,36,47.0,1.03,7.8,16,0,19,0,0,0,18,3
5.0,3,16,46.567,51.254,48,2,45,0.686,30.858,30.83,0.685,8.876,399.4,46.7,35.6,1.139,21,29,32,43.0,1.035,6.7,16,0,19,0,0,0,18,3
5.298,5,19,54.88,60.377,57,3,53,0.682,36.121,36.051,0.68,8.839,468.47,45.3,35.8,1.139,24,34,38,50.0,1.035,7.5,16,0,20,0,0,0,19,4
5.0,5,18,51.778,56.879,54,3,50,0.682,34.1,34.046,0.681,8.829,441.44,46.0,36.0,1.138,23,32,36,47.0,1.036,6.0,16,0,19,0,0,0,18,3
5.357,9,24,49.567,55.239,50,6,49,0.604,29.61,30.864,0.63,7.111,348.43,38.8,49.0,1.127,19,25,26,32.0,1.012,0.0,6,0,9,0,0,0,10,3
5.0,9,24,49.567,55.239,50,6,49,0.604,29.61,30.864,0.63,7.111,348.43,38.8,49.0,1.127,19,25,26,32.0,1.012,0.0,6,0,9,0,0,0,10,3
5.0,9,24,48.24,54.029,49,5,48,0.602,28.896,30.409,0.634,6.926,332.43,39.6,50.0,1.126,19,24,25,31.0,1.005,0.0,6,0,9,0,0,0,10,3
5.7,1,13,34.043,38.152,37,0,34,0.683,23.214,24.074,0.708,8.098,275.34,47.1,38.2,1.122,16,21,24,34.5,1.001,14.7,21,0,21,0,0,0,15,0
5.7,1,13,34.043,38.152,37,0,34,0.683,23.214,24.074,0.708,8.098,275.34,47.1,38.2,1.122,16,21,24,34.5,1.001,14.7,21,0,21,0,0,0,15,0
5.7,1,14,36.145,40.651,39,0,36,0.673,24.236,25.08,0.697,8.066,290.36,44.4,38.9,1.129,16,22,25,35.5,1.004,16.7,21,0,21,0,0,0,15,0
5.7,1,13,34.051,37.78,37,1,34,0.689,23.413,24.279,0.714,8.098,275.33,50.0,38.2,1.111,17,21,24,34.5,1.001,8.8,21,0,21,0,0,0,16,0
5.7,3,13,30.051,33.78,32,1,30,0.647,19.413,20.279,0.676,7.576,227.29,43.3,43.3,1.126,13,17,19,26.5,1.002,10.0,15,0,15,0,0,0,10,0
5.7,0,9,27.276,30.322,30,0,27,0.71,19.161,19.551,0.724,8.714,235.27,48.1,33.3,1.123,13,18,21,31.0,1.01,18.5,20,0,20,0,0,0,13,0
5.7,0,12,33.018,36.574,36,0,33,0.708,23.38,24.716,0.749,8.86,292.39,48.5,36.4,1.108,16,21,24,34.5,1.001,12.1,21,0,21,0,0,0,16,0
5.7,1,14,35.902,39.989,39,0,36,0.692,24.907,26.478,0.735,8.512,306.42,47.2,38.9,1.111,17,22,25,35.5,0.997,11.1,21,0,21,0,0,0,16,0
5.7,6,20,44.796,50.896,49,0,45,0.64,28.816,30.364,0.675,7.388,332.45,42.2,44.4,1.131,19,25,29,39.0,0.995,13.3,20,0,20,0,0,0,13,0
5.7,3,16,38.029,43.066,41,0,38,0.652,24.762,25.841,0.68,7.694,292.38,42.1,42.1,1.133,16,22,25,35.0,1.001,15.8,20,0,20,0,0,0,13,0
5.7,6,22,51.301,57.777,55,1,51,0.646,32.946,34.273,0.672,7.676,391.49,43.1,43.1,1.133,22,29,33,43.5,1.006,9.8,21,0,21,0,0,0,16,0
5.292,9,27,59.832,67.153,62,4,59,0.621,36.65,37.915,0.643,7.501,442.54,39.0,45.8,1.138,23,32,35,43.5,1.014,6.8,11,0,14,0,0,0,14,3
5.0,0,10,26.065,28.867,28,1,26,0.687,17.865,18.512,0.712,8.087,210.25,50.0,38.5,1.11,13,16,18,25.0,1.003,7.7,12,0,13,0,0,0,13,1
5.7,1,16,42.08,46.661,45,0,42,0.698,29.322,30.932,0.736,8.606,361.47,50.0,38.1,1.111,21,26,29,40.5,1.002,7.1,23,0,23,0,0,0,20,0
5.0,10,27,67.054,75.201,69,3,65,0.635,41.26,41.597,0.64,8.194,532.59,36.9,41.5,1.157,24,38,42,51.5,1.032,12.3,17,0,18,0,0,0,14,1
9.26,7,18,40.912,46.481,44,0,41,0.641,26.289,27.603,0.673,7.473,306.41,41.5,43.9,1.134,17,23,26,35.5,0.998,14.6,15,0,16,0,0,1,9,0
6.936,7,18,40.912,46.481,44,0,41,0.641,26.289,27.603,0.673,7.473,306.41,41.5,43.9,1.134,17,23,26,35.5,0.998,14.6,15,0,16,0,0,1,9,0
5.0,6,29,69.52,77.544,72,3,69,0.658,45.422,47.392,0.687,8.074,557.1,43.5,42.0,1.124,30,40,43,58.5,1.008,8.7,23,0,26,0,1,1,23,2
5.7,7,22,52.832,59.081,55,1,52,0.656,34.128,35.75,0.688,8.661,450.38,40.4,42.3,1.136,21,30,33,41.5,1.016,9.6,17,0,17,0,2,0,14,0
5.241,9,31,69.829,78.402,72,3,69,0.635,43.798,46.017,0.667,8.124,560.54,37.7,44.9,1.136,26,38,41,51.0,1.012,10.1,18,0,19,0,2,0,17,1
5.7,3,21,48.912,54.651,52,2,49,0.658,32.235,33.779,0.689,7.581,371.47,46.9,42.9,1.115,23,28,31,42.0,0.998,6.1,18,0,20,0,0,0,20,2
5.7,3,21,48.912,54.651,52,2,49,0.658,32.235,33.779,0.689,7.581,371.47,46.9,42.9,1.115,23,28,31,42.0,0.998,6.1,18,0,20,0,0,0,20,2
5.7,2,19,46.029,51.235,49,2,46,0.668,30.708,32.017,0.696,7.77,357.44,47.8,41.3,1.114,22,27,30,41.0,1.001,6.5,18,0,20,0,0,0,20,2
5.0,7,30,65.618,74.102,70,1,66,0.642,42.352,45.273,0.686,7.556,498.71,42.4,45.5,1.123,28,36,40,52.5,0.994,9.1,23,0,24,0,0,0,21,1
6.301,7,31,66.65,75.308,71,2,67,0.633,42.385,44.836,0.669,7.189,481.65,43.3,46.3,1.124,29,36,40,53.0,0.995,7.5,22,0,24,0,0,0,22,2
5.151,13,36,83.418,92.987,87,6,82,0.635,52.097,53.569,0.653,7.741,634.74,41.5,43.9,1.134,34,46,51,63.5,1.017,4.9,17,0,21,0,0,0,21,4
5.0,9,28,67.265,75.247,70,2,66,0.647,42.722,44.296,0.671,8.237,543.67,40.9,42.4,1.14,27,38,42,53.5,1.019,7.6,21,0,22,0,0,0,18,1
6.328,12,32,65.752,74.806,69,2,66,0.612,40.406,42.841,0.649,6.979,460.64,39.4,48.5,1.133,26,34,37,47.5,0.996,9.1,11,0,15,0,0,1,13,3
5.0,5,24,58.956,65.112,61,5,58,0.657,38.115,39.557,0.682,8.286,480.59,41.4,41.4,1.123,24,34,37,49.0,1.016,6.9,22,0,23,0,0,0,19,1
6.54,4,20,44.803,50.524,48,1,45,0.645,29.015,30.569,0.679,7.388,332.44,44.4,44.4,1.123,20,25,28,38.0,0.996,8.9,16,0,18,0,0,0,16,2
7.495,0,12,41.229,44.878,41,3,39,0.701,27.334,26.966,0.691,10.113,394.4,38.5,30.8,1.151,15,27,29,40.5,1.057,15.4,17,0,20,0,0,0,15,3
4.602,4,18,43.323,48.238,46,2,43,0.66,28.39,29.909,0.696,8.243,354.47,41.9,41.9,1.122,18,25,28,37.0,1.008,9.3,16,0,17,0,0,0,14,1
4.602,5,20,46.207,51.654,49,2,46,0.65,29.917,31.671,0.688,8.011,368.5,41.3,43.5,1.123,19,26,29,38.0,1.005,8.7,16,0,17,0,0,0,14,1
5.971,6,22,49.091,55.069,52,2,49,0.642,31.444,33.432,0.682,7.807,382.53,40.8,44.9,1.124,20,27,30,39.0,1.002,8.2,16,0,17,0,0,0,14,1
5.701,4,22,53.091,59.069,57,2,53,0.669,35.443,37.432,0.706,8.124,430.57,45.3,41.5,1.115,24,31,35,47.0,1.002,7.5,22,0,23,0,0,0,20,1
5.585,5,24,55.974,62.484,60,2,56,0.66,36.97,39.193,0.7,7.939,444.6,44.6,42.9,1.116,25,32,36,48.0,1.0,7.1,22,0,23,0,0,0,20,1
5.156,8,26,54.858,61.899,58,2,55,0.627,34.497,36.955,0.672,7.465,410.59,40.0,47.3,1.125,22,29,32,41.0,0.997,7.3,16,0,17,0,0,0,14,1
5.288,6,22,49.091,55.069,52,2,49,0.642,31.444,33.432,0.682,7.807,382.53,40.8,44.9,1.124,20,27,30,39.0,1.002,8.2,16,0,17,0,0,0,14,1
4.602,1,13,33.127,36.7,35,1,33,0.685,22.6,23.926,0.725,8.587,283.38,45.5,39.4,1.112,15,20,22,31.0,1.004,9.1,16,0,17,0,0,0,14,1
4.602,2,15,36.011,40.116,38,1,36,0.67,24.127,25.688,0.714,8.261,297.41,44.4,41.7,1.114,16,21,23,32.0,1.0,8.3,16,0,17,0,0,0,14,1
4.602,5,21,44.662,50.361,47,1,45,0.638,28.707,30.972,0.688,7.544,339.5,42.2,46.7,1.119,19,24,26,35.0,0.992,6.7,16,0,17,0,0,0,14,1
4.602,2,12,38.876,42.344,39,2,37,0.702,25.992,25.955,0.701,9.929,367.38,43.2,32.4,1.144,16,25,27,36.0,1.051,8.1,16,0,17,0,0,0,14,1
4.602,4,18,42.996,48.029,45,1,43,0.667,28.675,30.455,0.708,8.151,350.48,44.2,41.9,1.117,19,25,27,38.0,1.0,9.3,16,0,18,0,0,1,14,1
4.602,5,22,50.494,56.198,52,3,50,0.647,32.345,34.534,0.691,8.372,418.59,38.0,44.0,1.124,19,28,30,41.0,1.01,8.0,16,0,19,0,0,0,14,3
4.602,6,24,54.705,60.823,56,4,54,0.64,34.587,36.75,0.681,8.308,448.62,37.0,44.4,1.126,20,30,32,43.0,1.013,7.4,16,0,19,0,0,0,14,3
4.602,7,26,57.589,64.238,59,4,57,0.634,36.114,38.512,0.676,8.117,462.65,36.8,45.6,1.127,21,31,33,44.0,1.01,7.0,16,0,19,0,0,0,14,3
4.602,8,29,61.247,68.942,63,3,61,0.622,37.947,40.824,0.669,7.798,475.7,36.1,47.5,1.13,22,32,34,45.0,1.004,8.2,16,0,19,0,0,0,14,3
4.602,11,33,68.014,76.773,71,3,68,0.618,42.001,45.347,0.667,7.585,515.77,36.8,48.5,1.129,25,35,38,49.0,1.0,7.4,16,0,19,0,0,0,14,3
4.602,10,31,66.458,74.567,69,4,66,0.624,41.189,44.04,0.667,7.845,517.74,36.4,47.0,1.13,24,35,38,49.0,1.007,7.6,16,0,19,0,0,0,14,3
4.602,11,33,69.341,77.982,72,4,69,0.619,42.716,45.801,0.664,7.707,531.77,36.2,47.8,1.13,25,36,39,50.0,1.005,7.2,16,0,19,0,0,0,14,3
