pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM
6.292,8.859,45.9,37.8,1.016,1.118,0.712,0.689,327.79,8.1,12,37,0,15,25,0,39,17,1,0,16,1,3,0,14,6,1
5.1,8.163,45.8,40.3,1.002,1.117,0.708,0.674,587.76,9.7,33,72,0,34,49,0,78,33,0,0,28,5,1,0,29,10,1
5.1,8.163,45.8,40.3,1.002,1.117,0.708,0.674,587.76,9.7,33,72,0,34,49,0,78,33,0,0,28,5,1,0,29,10,1
6.0,12.042,48.3,31.0,1.024,1.098,0.792,0.751,349.22,6.9,16,29,0,17,22,1,31,14,0,0,14,0,1,0,9,6,2
5.4,8.246,41.0,42.6,1.018,1.146,0.67,0.646,503.02,9.8,18,61,0,18,39,0,65,25,1,0,16,9,0,3,26,10,1
5.1,8.121,41.4,43.1,1.012,1.141,0.675,0.647,471.0,10.3,18,58,0,18,37,0,62,24,1,0,16,8,0,2,25,9,1
5.0,8.237,40.7,42.4,1.018,1.135,0.671,0.648,485.99,8.5,17,59,0,19,37,0,62,24,1,0,17,7,2,1,25,10,1
5.1,7.853,46.9,40.6,1.002,1.118,0.696,0.669,251.31,9.4,17,32,0,17,21,0,34,15,0,0,14,1,0,0,13,4,0
7.0,8.307,42.6,38.3,1.019,1.13,0.68,0.669,390.44,12.8,22,47,0,23,32,0,50,20,0,0,18,2,1,0,18,9,0
5.0,11.791,51.4,24.3,1.049,1.115,0.798,0.784,436.28,8.1,12,37,0,17,31,0,40,19,2,0,19,0,5,2,9,9,3
5.0,10.094,41.5,34.1,1.046,1.136,0.71,0.699,413.86,7.3,16,41,0,19,29,0,43,17,1,0,14,3,3,2,14,10,2
5.1,8.444,41.3,39.1,1.032,1.144,0.66,0.657,388.41,8.7,12,46,0,14,31,0,49,19,0,0,13,6,2,2,18,9,0
5.3,7.953,45.7,40.0,1.004,1.122,0.694,0.67,278.34,11.4,20,35,0,20,24,0,38,16,0,0,14,2,0,0,14,5,0
5.0,9.217,46.2,33.3,1.011,1.119,0.743,0.716,359.45,17.9,26,39,0,26,30,0,43,18,0,0,17,1,0,0,13,8,1
5.1,7.866,39.3,42.9,1.022,1.132,0.649,0.636,440.5,7.1,16,56,0,20,34,0,58,22,0,0,15,7,4,0,24,10,0
5.319,7.928,47.3,40.5,1.007,1.114,0.692,0.669,586.69,5.4,30,74,0,32,52,0,82,35,0,0,26,9,2,0,30,9,0
6.2,8.47,38.5,38.5,1.034,1.138,0.656,0.656,440.46,11.5,18,52,0,21,34,0,54,20,0,0,17,3,3,0,20,12,0
5.0,7.907,41.0,41.0,1.009,1.135,0.674,0.653,308.38,15.4,20,39,0,20,26,0,42,16,0,0,13,3,0,0,16,7,0
5.1,8.365,45.8,39.6,1.002,1.115,0.718,0.681,401.53,10.4,22,48,0,23,33,0,52,22,0,0,19,3,1,0,19,7,1
5.0,6.781,37.3,50.6,0.998,1.136,0.633,0.596,562.79,7.2,17,83,0,18,45,0,87,31,0,0,15,16,1,0,42,10,0
5.1,8.957,46.6,34.5,1.034,1.136,0.691,0.692,519.52,8.6,17,58,0,22,41,0,61,27,0,2,20,5,3,3,20,11,0
5.0,7.188,37.0,49.3,0.999,1.134,0.65,0.608,524.76,8.2,18,73,0,20,40,0,76,27,0,0,16,11,2,0,36,10,1
5.569,8.402,47.8,39.1,1.0,1.109,0.727,0.689,386.51,8.7,22,46,0,24,31,0,49,22,0,0,21,1,2,0,18,6,1
5.05,9.685,43.8,33.3,1.048,1.144,0.691,0.696,464.86,8.3,18,48,0,20,34,0,50,21,1,0,19,2,2,3,16,11,1
5.1,7.693,46.3,41.5,0.995,1.122,0.697,0.665,315.41,12.2,22,41,0,22,27,0,44,19,0,0,17,2,0,0,17,5,0
5.8,9.51,42.9,37.1,1.016,1.118,0.737,0.699,332.84,11.4,17,35,0,17,24,0,37,15,1,0,13,2,0,0,13,7,2
5.1,9.156,41.5,31.7,1.033,1.14,0.695,0.699,375.39,22.0,22,41,0,24,31,0,44,17,0,0,17,0,2,0,13,11,0
5.15,8.272,37.3,44.1,1.01,1.134,0.679,0.642,488.07,11.9,17,59,0,18,36,0,62,22,1,0,14,8,1,0,26,11,2
5.1,8.802,48.3,34.5,1.023,1.128,0.705,0.699,255.27,10.3,16,29,0,17,21,0,31,14,0,0,14,0,1,1,10,5,0
5.0,6.817,36.5,50.0,0.996,1.141,0.637,0.598,354.51,11.5,16,52,0,16,28,0,54,19,0,0,11,8,0,0,26,7,0
5.6,8.098,50.0,38.2,1.001,1.111,0.714,0.689,275.33,8.8,16,34,0,18,24,0,37,17,0,0,16,1,2,0,13,4,0
5.0,10.898,40.5,35.7,1.039,1.135,0.711,0.694,457.71,9.5,16,42,0,17,29,1,44,17,1,0,14,3,1,1,15,10,2
5.1,8.664,41.7,39.6,1.022,1.136,0.684,0.666,415.89,10.4,17,48,0,18,32,0,51,20,1,0,14,6,1,1,19,9,1
8.602,7.649,45.9,42.6,1.002,1.118,0.685,0.656,466.58,6.6,24,61,0,25,42,0,68,28,0,0,19,9,1,0,26,7,0
5.1,9.253,44.4,33.3,1.047,1.145,0.678,0.69,416.39,8.9,12,45,0,15,34,0,49,20,0,0,15,5,3,3,15,10,0
5.0,7.111,38.8,49.0,1.012,1.127,0.63,0.604,348.43,0.0,6,49,0,9,26,0,50,19,0,0,10,9,3,0,24,6,0
5.2,8.714,48.1,33.3,1.01,1.123,0.724,0.71,235.27,18.5,20,27,0,20,21,0,30,13,0,0,13,0,0,0,9,5,0
5.5,8.86,48.5,36.4,1.001,1.108,0.749,0.708,292.39,12.1,21,33,0,21,24,0,36,16,0,0,16,0,0,0,12,5,1
6.2,8.512,47.2,38.9,0.997,1.111,0.735,0.692,306.42,11.1,21,36,0,21,25,0,39,17,0,0,16,1,0,0,14,5,1
5.7,7.388,42.2,44.4,0.995,1.131,0.675,0.64,332.45,13.3,20,45,0,20,29,0,49,19,0,0,13,6,0,0,20,6,0
6.2,7.694,42.1,42.1,1.001,1.133,0.68,0.652,292.38,15.8,20,38,0,20,25,0,41,16,0,0,13,3,0,0,16,6,0
5.1,7.676,43.1,43.1,1.006,1.133,0.672,0.646,391.49,9.8,21,51,0,21,33,0,55,22,0,0,16,6,0,1,22,7,0
5.42,7.501,39.0,45.8,1.014,1.138,0.643,0.621,442.54,6.8,11,59,0,14,35,0,62,23,0,0,14,9,3,1,27,9,0
5.1,8.087,50.0,38.5,1.003,1.11,0.712,0.687,210.25,7.7,12,26,0,13,18,0,28,13,0,0,13,0,1,0,10,3,0
5.1,8.606,50.0,38.1,1.002,1.111,0.736,0.698,361.47,7.1,23,42,0,23,29,0,45,21,0,0,20,1,0,1,16,5,1
6.0,7.176,39.4,47.0,1.0,1.135,0.653,0.62,473.64,10.6,12,66,0,16,39,0,70,26,0,0,16,10,4,0,31,9,0
5.8,8.14,44.3,39.3,1.014,1.124,0.684,0.668,496.57,9.8,20,61,0,24,43,0,67,27,0,0,20,7,4,0,24,10,0
5.0,7.473,41.5,43.9,0.998,1.134,0.673,0.641,306.41,14.6,15,41,0,16,26,0,44,17,0,1,9,7,0,0,18,6,0
5.0,8.074,43.5,42.0,1.008,1.124,0.687,0.658,557.1,8.7,23,69,0,26,43,0,72,30,1,1,23,6,2,0,29,10,1
5.65,8.661,40.4,42.3,1.016,1.136,0.688,0.656,450.38,9.6,17,52,0,17,33,0,55,21,2,0,14,7,0,1,22,9,2
5.0,8.124,37.7,44.9,1.012,1.136,0.667,0.635,560.54,10.1,18,69,0,19,41,0,72,26,2,0,17,9,1,0,31,12,2
5.1,7.581,46.9,42.9,0.998,1.115,0.689,0.658,371.47,6.1,18,49,0,20,31,0,52,23,0,0,20,3,2,0,21,5,0
5.1,7.581,46.9,42.9,0.998,1.115,0.689,0.658,371.47,6.1,18,49,0,20,31,0,52,23,0,0,20,3,2,0,21,5,0
5.1,7.77,47.8,41.3,1.001,1.114,0.696,0.668,357.44,6.5,18,46,0,20,30,0,49,22,0,0,20,2,2,0,19,5,0
5.3,7.959,50.8,39.0,0.996,1.109,0.718,0.688,469.58,8.5,28,59,0,30,41,0,64,30,0,1,25,4,1,0,23,6,0
5.0,7.556,42.4,45.5,0.994,1.123,0.686,0.642,498.71,9.1,23,66,0,24,40,0,70,28,0,0,21,7,1,0,30,8,1
5.854,7.189,43.3,46.3,0.995,1.124,0.669,0.633,481.65,7.5,22,67,0,24,40,0,71,29,0,0,22,7,2,0,31,7,0
5.0,7.741,41.5,43.9,1.017,1.134,0.653,0.635,634.74,4.9,17,82,0,21,51,0,87,34,0,0,21,13,4,2,36,12,0
6.208,8.237,40.9,42.4,1.019,1.14,0.671,0.647,543.67,7.6,21,66,0,22,42,0,70,27,0,0,18,9,1,3,28,11,1
5.328,6.979,39.4,48.5,0.996,1.133,0.649,0.612,460.64,9.1,11,66,0,15,37,0,69,26,0,1,13,12,3,0,32,8,0
5.0,8.286,41.4,41.4,1.016,1.123,0.682,0.657,480.59,6.9,22,58,0,23,37,0,61,24,0,0,19,5,1,0,24,10,1
6.056,7.388,44.4,44.4,0.996,1.123,0.679,0.645,332.44,8.9,16,45,0,18,28,0,48,20,0,0,16,4,2,0,20,5,0
5.721,10.113,38.5,30.8,1.057,1.151,0.691,0.701,394.4,15.4,17,39,0,20,29,0,41,15,0,0,15,0,3,2,12,12,1
5.0,11.342,54.1,27.0,1.036,1.105,0.799,0.778,419.67,5.4,23,37,0,24,30,0,40,20,3,0,20,0,1,1,10,7,3
6.523,9.082,42.5,40.0,1.014,1.125,0.713,0.679,363.27,10.0,10,40,0,12,27,0,43,17,2,1,9,7,1,0,16,7,2
5.1,7.115,39.5,47.4,0.998,1.134,0.653,0.618,270.37,10.5,6,38,0,9,22,0,40,15,0,0,9,6,3,0,18,5,0
5.1,8.534,45.5,38.6,1.005,1.116,0.72,0.686,375.49,11.4,22,44,0,23,30,0,47,20,0,0,19,1,1,0,17,7,1
7.6,7.685,42.5,42.5,1.003,1.13,0.676,0.65,307.39,12.5,17,40,0,18,25,0,42,17,0,0,15,2,1,0,17,6,0
5.1,10.283,45.0,27.5,1.072,1.176,0.681,0.714,411.34,12.5,21,40,0,21,32,0,43,18,0,0,15,3,0,6,11,11,0
5.1,9.114,44.7,34.2,1.041,1.15,0.68,0.687,346.34,10.5,17,38,0,18,27,0,40,17,0,0,15,2,1,3,13,8,0
5.1,9.597,37.9,34.5,1.038,1.131,0.701,0.69,278.32,13.8,11,29,0,14,20,0,30,11,0,0,10,1,3,0,10,8,1
5.1,8.148,45.1,41.2,1.0,1.117,0.71,0.671,415.56,9.8,22,51,0,23,34,0,55,23,0,0,19,4,1,0,21,7,1
5.1,8.884,43.8,35.4,1.035,1.148,0.68,0.681,426.44,12.5,22,48,0,23,34,0,51,21,0,0,19,2,1,3,17,10,0
5.6,9.942,48.3,31.0,1.034,1.115,0.743,0.729,288.32,6.9,16,29,0,17,22,0,31,14,0,0,14,0,1,1,9,6,1
6.3,8.377,41.5,41.5,1.013,1.121,0.692,0.661,343.44,7.3,17,41,0,19,26,0,43,17,0,0,14,3,2,0,17,7,1
6.6,7.397,42.9,44.9,1.0,1.125,0.669,0.638,362.47,8.2,16,49,0,18,30,0,52,21,0,0,16,5,2,0,22,6,0
5.3,6.841,40.3,49.4,0.992,1.131,0.651,0.61,526.75,7.8,22,77,0,24,42,0,80,31,0,0,21,10,2,0,38,8,0
6.1,10.536,47.2,33.3,1.025,1.103,0.774,0.735,379.28,5.6,16,36,0,18,26,0,38,17,2,0,16,1,2,0,12,7,3
5.1,8.276,44.9,40.8,1.003,1.124,0.708,0.671,405.54,10.2,25,49,0,25,33,0,53,22,0,0,18,4,0,1,20,7,1
5.4,8.719,43.8,37.5,1.013,1.121,0.712,0.686,418.52,12.5,22,48,0,24,33,0,51,21,0,0,20,1,2,0,18,9,1
5.1,9.072,49.0,34.7,1.017,1.114,0.732,0.71,444.52,8.2,27,49,0,28,36,0,53,24,0,0,24,0,1,1,17,8,1
5.1,8.509,43.8,37.5,1.024,1.141,0.681,0.673,408.45,12.5,22,48,0,22,34,0,52,21,0,0,16,5,0,2,18,9,0
5.1,7.663,40.8,42.9,1.005,1.135,0.67,0.644,375.48,14.3,21,49,0,22,31,0,52,20,0,0,16,4,1,0,21,8,0
7.7,10.241,44.1,32.4,1.03,1.125,0.742,0.723,348.21,14.7,17,34,0,18,25,0,36,15,2,0,15,0,1,0,11,8,2
7.0,7.57,38.8,46.9,0.998,1.136,0.668,0.626,370.93,12.2,16,49,0,16,29,0,52,19,1,0,11,8,0,0,23,7,1
7.2,8.349,43.4,39.6,1.027,1.143,0.667,0.659,442.48,7.5,22,53,0,22,35,0,56,23,0,0,18,5,0,3,21,9,0
7.6,7.24,42.3,46.2,0.998,1.126,0.664,0.63,376.5,7.7,16,52,0,18,31,0,55,22,0,0,16,6,2,0,24,6,0
5.3,8.222,46.2,40.4,1.0,1.114,0.716,0.677,427.57,9.6,22,52,0,24,34,0,55,24,0,2,20,2,1,0,21,7,1
5.1,7.928,45.9,40.5,1.007,1.119,0.689,0.666,293.35,8.1,12,37,0,15,24,0,39,17,0,0,15,2,3,0,15,5,0
6.2,7.226,43.2,45.9,0.995,1.125,0.67,0.634,267.36,8.1,12,37,0,13,22,0,39,16,0,0,12,4,1,0,17,4,0
6.5,7.676,40.5,42.9,1.006,1.135,0.668,0.643,322.41,14.3,14,42,0,16,27,0,45,17,0,1,9,7,1,0,18,7,0
6.1,8.593,47.9,35.4,1.016,1.126,0.708,0.696,412.46,12.5,27,48,0,28,35,0,52,23,0,0,22,1,1,1,17,8,0
5.1,8.379,42.1,40.4,1.015,1.123,0.69,0.665,477.59,8.8,18,57,0,23,37,0,60,24,0,0,21,3,5,0,23,10,1
5.9,7.324,40.0,45.7,1.001,1.134,0.658,0.627,256.34,11.4,15,35,0,15,21,0,37,14,0,0,10,4,0,0,16,5,0
5.1,7.501,44.1,44.1,1.002,1.122,0.674,0.644,442.56,6.8,22,59,0,23,37,0,63,26,0,0,20,6,1,0,26,7,0
5.1,9.072,49.0,34.7,1.017,1.114,0.732,0.71,444.52,8.2,27,49,0,28,36,0,53,24,0,0,24,0,1,1,17,8,1
5.1,7.396,43.2,45.5,1.002,1.131,0.665,0.634,325.42,6.8,11,44,0,13,27,0,47,19,0,0,12,7,2,1,20,5,0
5.1,8.955,45.7,39.1,1.009,1.111,0.729,0.69,411.94,6.5,18,46,0,20,30,0,48,21,1,0,20,1,2,0,18,7,2
5.1,8.984,44.4,36.1,1.012,1.119,0.727,0.698,323.41,13.9,16,36,0,17,27,0,40,16,0,0,12,4,1,0,13,7,1
5.1,10.009,45.7,28.6,1.063,1.161,0.687,0.713,350.3,11.4,17,35,0,18,27,0,37,16,0,0,15,1,1,4,10,9,0
5.3,7.97,44.6,41.9,1.001,1.119,0.699,0.663,589.78,9.5,33,74,0,34,48,0,79,33,0,0,28,5,1,0,31,10,1
5.9,9.433,48.7,35.9,1.009,1.104,0.758,0.717,367.88,7.7,21,39,0,22,28,0,42,19,1,0,18,1,1,0,14,6,2
5.1,8.265,45.5,40.0,1.002,1.117,0.713,0.677,454.6,10.9,27,55,0,28,37,0,59,25,0,0,23,2,1,0,22,8,1
6.6,7.663,46.2,42.3,1.0,1.118,0.688,0.659,398.5,7.7,22,52,0,23,34,0,56,24,0,0,20,4,1,0,22,6,0
5.1,8.816,46.3,36.6,1.008,1.115,0.73,0.699,361.46,12.2,22,41,0,23,29,0,44,19,0,0,19,0,1,0,15,7,1
6.5,7.9,44.4,42.9,0.999,1.117,0.698,0.659,497.67,7.9,28,63,0,30,40,0,67,28,0,0,24,4,2,0,27,8,1
5.1,6.878,35.5,50.0,1.001,1.143,0.629,0.595,522.73,10.5,12,76,0,14,42,0,80,27,0,0,12,15,2,0,38,11,0
5.1,7.707,42.4,42.4,1.005,1.13,0.675,0.65,254.32,12.1,15,33,0,16,21,0,35,14,0,0,11,3,1,0,14,5,0
5.1,8.543,43.5,38.7,1.015,1.127,0.7,0.676,529.65,11.3,27,62,0,29,42,0,66,27,0,0,24,3,2,1,24,11,1
7.3,7.168,38.1,47.6,1.002,1.143,0.644,0.612,451.61,11.1,12,63,0,14,37,0,67,24,0,0,13,11,2,1,30,9,0
6.2,7.454,41.7,44.4,1.001,1.13,0.668,0.638,268.35,11.1,16,36,0,16,22,0,38,15,0,0,12,3,0,0,16,5,0
5.1,7.428,40.0,45.5,1.005,1.14,0.655,0.627,408.53,10.9,21,55,0,21,33,0,58,22,0,0,15,7,0,1,25,8,0
5.2,10.358,46.2,26.9,1.031,1.117,0.765,0.751,269.31,19.2,16,26,0,17,22,0,29,12,0,0,12,0,1,0,7,7,1
5.1,6.776,36.4,50.6,0.998,1.14,0.631,0.594,521.74,9.1,12,77,0,14,42,0,81,28,0,0,12,16,2,0,39,10,0
5.1,8.148,45.1,41.2,1.0,1.117,0.71,0.671,415.56,9.8,22,51,0,23,34,0,55,23,0,0,19,4,1,0,21,7,1
5.1,9.06,45.2,38.1,1.004,1.108,0.746,0.698,380.53,9.5,20,42,0,22,29,0,45,19,0,0,17,2,2,0,16,7,2
5.1,7.338,42.5,45.2,0.998,1.127,0.669,0.636,535.71,9.6,27,73,0,28,45,0,78,31,0,0,22,9,1,0,33,9,0
5.1,6.877,42.6,48.5,0.988,1.125,0.664,0.621,467.67,7.4,22,68,0,22,40,0,73,29,0,0,18,11,0,0,33,6,0
5.1,8.657,45.2,38.7,1.001,1.115,0.733,0.69,268.37,12.9,17,31,0,17,21,0,33,14,0,0,13,1,0,0,12,5,1
8.6,7.878,38.1,45.2,1.003,1.139,0.672,0.634,330.86,14.3,16,42,0,16,25,0,44,16,1,0,11,5,0,0,19,7,1
5.8,8.168,47.7,38.6,1.011,1.114,0.698,0.679,359.41,6.8,23,44,0,23,30,0,47,21,0,0,21,0,0,0,17,6,0
6.9,7.218,45.8,45.8,0.994,1.116,0.678,0.64,346.46,4.2,18,48,0,19,28,0,50,22,0,0,18,4,1,0,22,4,0
5.1,8.823,46.5,34.9,1.027,1.137,0.696,0.692,379.4,11.6,25,43,0,25,32,0,47,20,0,0,17,3,0,2,15,8,0
8.0,7.57,38.8,46.9,0.998,1.136,0.668,0.626,370.93,12.2,16,49,0,16,29,0,52,19,1,0,11,8,0,0,23,7,1
5.1,8.922,45.7,34.8,1.035,1.135,0.687,0.689,410.41,8.7,22,46,0,23,33,0,49,21,0,0,20,1,1,2,16,9,0
6.1,7.04,41.5,47.7,0.995,1.128,0.659,0.621,457.63,7.7,16,65,0,19,37,0,68,27,0,1,15,11,2,0,31,7,0
5.1,8.282,43.2,38.6,1.017,1.137,0.682,0.668,364.42,13.6,22,44,0,22,30,0,47,19,0,0,16,3,0,1,17,8,0
5.3,7.885,43.8,42.5,1.0,1.122,0.694,0.658,630.84,10.0,33,80,0,34,52,0,86,35,0,0,28,7,1,0,34,11,1
7.4,8.2,47.6,38.1,1.009,1.117,0.702,0.683,344.4,9.5,16,42,0,19,30,0,46,20,0,0,17,3,3,0,16,6,0
5.5,8.579,39.7,39.7,1.026,1.128,0.677,0.661,497.58,8.6,16,58,0,22,38,0,61,23,0,0,18,5,6,0,23,12,1
6.0,7.161,39.6,47.2,1.0,1.133,0.652,0.619,379.51,9.4,12,53,0,15,30,0,55,21,0,0,14,7,3,0,25,7,0
5.1,11.445,39.3,28.6,1.026,1.113,0.812,0.758,320.46,21.4,18,28,0,18,24,0,32,11,0,0,8,3,0,0,8,9,3
6.6,7.49,42.0,44.0,1.0,1.13,0.672,0.641,374.49,12.0,21,50,0,22,31,0,53,21,0,0,16,5,1,0,22,7,0
8.6,8.585,48.7,38.5,1.001,1.114,0.729,0.694,334.83,10.3,22,39,0,22,27,0,42,19,1,0,18,1,0,0,15,5,1
5.2,7.777,44.2,41.9,1.006,1.124,0.681,0.656,334.41,9.3,16,43,0,17,28,0,46,19,0,1,13,5,0,0,18,6,0
5.1,8.538,42.0,40.0,1.017,1.136,0.688,0.665,426.92,12.0,22,50,0,22,33,0,53,21,1,0,16,5,0,1,20,9,1
5.1,7.787,46.7,42.2,1.007,1.122,0.682,0.658,350.42,4.4,18,45,0,19,28,0,47,21,0,0,18,3,1,1,19,5,0
5.2,7.457,39.5,44.7,1.004,1.137,0.659,0.631,283.37,13.2,15,38,0,15,24,0,41,15,0,0,9,6,0,0,17,6,0
5.4,7.056,34.9,48.8,1.005,1.145,0.629,0.599,303.41,11.6,10,43,0,11,24,0,45,15,0,0,7,8,1,0,21,7,0
5.1,8.733,46.8,36.2,1.029,1.139,0.689,0.684,410.43,8.5,22,47,0,23,33,0,50,22,0,0,20,2,1,3,17,8,0
6.3,7.26,45.0,45.0,0.99,1.122,0.684,0.644,290.4,10.0,20,40,0,20,25,0,43,18,0,0,14,4,0,0,18,4,0
5.1,8.088,43.1,41.5,1.004,1.123,0.696,0.662,525.69,10.8,27,65,0,29,42,0,69,28,0,0,24,4,2,0,27,10,1
5.1,9.25,45.2,35.5,1.019,1.123,0.722,0.701,286.74,12.9,11,31,0,13,22,0,33,14,1,1,11,2,1,0,11,6,1
5.1,8.481,43.1,39.2,1.01,1.122,0.704,0.675,432.55,11.8,22,51,0,24,34,0,54,22,0,0,20,2,2,0,20,9,1
7.1,7.218,45.8,45.8,0.994,1.116,0.678,0.64,346.46,4.2,18,48,0,19,28,0,50,22,0,0,18,4,1,0,22,4,0
5.1,7.979,48.5,39.4,1.002,1.115,0.705,0.679,263.32,9.1,17,33,0,18,22,0,35,16,0,0,16,0,1,0,13,4,0
5.1,8.38,48.1,37.0,1.015,1.114,0.702,0.688,226.25,7.4,16,27,0,16,19,0,29,13,0,0,13,0,0,0,10,4,0
5.1,8.081,40.5,40.5,1.019,1.134,0.666,0.653,339.39,11.9,15,42,0,17,28,0,45,17,0,0,12,5,2,0,17,8,0
5.1,8.822,45.9,37.8,1.015,1.109,0.719,0.69,326.4,5.4,12,37,0,15,25,0,39,17,0,0,16,1,3,0,14,6,1
5.1,10.154,44.1,38.2,1.011,1.121,0.725,0.69,345.22,11.8,16,34,0,17,23,1,36,15,0,0,14,1,1,0,13,6,1
5.1,7.558,35.5,45.2,1.015,1.145,0.637,0.618,234.29,12.9,6,31,0,8,17,0,31,11,0,1,6,4,1,0,14,6,0
5.1,8.984,44.4,36.1,1.012,1.119,0.727,0.698,323.41,13.9,16,36,0,17,27,0,40,16,0,0,12,4,1,0,13,7,1
8.3,7.5,45.3,43.4,0.996,1.121,0.686,0.652,397.52,9.4,26,53,0,26,34,0,57,24,0,0,20,4,0,0,23,6,0
5.1,7.57,41.5,43.9,1.006,1.13,0.665,0.639,310.39,9.8,15,41,0,17,25,0,43,17,0,0,12,5,2,0,18,6,0
5.1,8.451,46.2,38.5,1.026,1.136,0.68,0.671,439.47,5.8,18,52,0,20,35,0,55,24,0,0,20,4,2,3,20,8,0
6.8,9.086,36.9,43.1,1.016,1.133,0.681,0.646,590.56,10.8,18,65,0,21,40,1,68,24,0,0,17,7,3,0,28,13,2
5.1,7.676,46.7,42.2,1.001,1.116,0.689,0.66,345.43,6.7,18,45,0,20,28,0,47,21,0,0,20,1,2,0,19,5,0
5.1,8.432,42.3,38.5,1.026,1.142,0.671,0.664,438.48,11.5,22,52,0,23,35,0,55,22,0,0,17,5,1,2,20,10,0
6.7,8.326,36.7,44.9,1.011,1.133,0.68,0.639,407.97,10.2,16,49,0,18,29,0,51,18,1,0,12,6,2,0,22,9,2
5.1,8.052,42.6,40.4,1.014,1.137,0.676,0.658,378.45,12.8,21,47,0,21,32,0,51,20,0,0,15,5,0,1,19,8,0
6.4,7.037,41.1,47.9,0.997,1.128,0.655,0.619,513.7,6.8,22,73,0,24,41,0,76,30,0,0,21,9,2,0,35,8,0
5.1,7.653,41.1,42.9,1.004,1.134,0.671,0.645,428.55,14.3,22,56,0,23,36,0,60,23,0,0,18,5,1,0,24,9,0
5.1,7.213,44.1,45.8,0.992,1.123,0.676,0.638,425.58,8.5,18,59,0,21,35,0,62,26,0,0,21,5,3,0,27,6,0
5.3,7.885,43.8,42.5,1.0,1.122,0.694,0.658,630.84,10.0,33,80,0,34,52,0,86,35,0,0,28,7,1,0,34,11,1
5.1,8.244,46.8,38.3,1.011,1.127,0.697,0.679,387.45,10.6,23,47,0,24,32,0,50,22,0,0,21,1,1,1,18,7,0
5.1,8.305,35.3,44.1,1.018,1.146,0.666,0.633,282.38,11.8,11,34,0,12,20,0,35,12,0,0,8,4,1,1,15,7,1
6.4,9.825,43.9,31.7,1.042,1.144,0.708,0.709,402.82,14.6,22,41,0,22,31,0,44,18,1,0,17,1,0,2,13,10,1
5.1,8.696,41.7,37.5,1.037,1.151,0.663,0.665,417.43,10.4,17,48,0,18,33,0,51,20,0,0,15,5,1,3,18,10,0
5.1,7.583,47.5,42.6,0.996,1.114,0.694,0.661,462.59,6.6,28,61,0,29,39,0,65,29,0,0,26,3,1,0,26,6,0
5.8,7.795,50.0,40.5,0.996,1.11,0.71,0.678,327.41,7.1,22,42,0,23,28,0,45,21,0,0,20,1,1,0,17,4,0
5.1,9.604,44.4,33.3,1.025,1.114,0.735,0.713,259.31,11.1,15,27,0,15,21,0,30,12,0,0,10,2,0,0,9,6,1
6.5,7.967,47.8,39.1,0.998,1.119,0.709,0.68,366.46,13.0,27,46,0,27,32,0,50,22,0,0,21,1,0,0,18,6,0
5.1,6.445,41.3,52.2,0.984,1.126,0.649,0.599,296.45,4.3,12,46,0,12,24,0,48,19,0,0,11,8,0,0,24,3,0
