pXC50,IC2,X0Av,BIC3,piPC08,GATS2p,Eta_sh_p,GATS3s,MATS6s,ATSC6e,IC1,IC3,MATS2v,SsCH3,ATSC3s,ATSC4s,P_VSA_p_2,P_VSA_v_2,SAacc,TPSA.NO.,TPSA.Tot.,MATS6e,MATS6m,BIC1,GMTIV,nCb.,RBF,GATS2m,GATS2v,GATS6s,BIC2,C.001,MATS5v,NaasC,nCp,NsCH3,P_VSA_LogP_1,SpMin1_Bh.p.,MATS2p,nHet,SIC2,SIC3,PCD,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4v,ATSC5e
5.097,3.883,0.639,0.819,5.668,0.818,0.218,0.84,0.017,0.403,3.176,4.28,0.029,1.92,24.993,52.697,44.606,44.606,44.313,39.07,47.45,0.21,0.064,0.607,7125.0,2,0.1,0.66,0.854,1.056,0.743,1,-0.041,3,1,1,8.825,2.036,0.098,5,0.799,0.881,1.991,1.822,6.941,3.758,14.121,68.405,9.302,0.611,3.468,3.543,3.44,3.146,4.528,3.07,3.997,4.122,3.752,3.517,5.392,3.425,4.199,4.358,3.819,3.619,5.455,3.492,4.234,4.37,3.644,3.517,5.647,3.434,4.174,4.357,3.407,3.37,5.452,3.253,3.953,4.151,3.218,3.172,5.279,3.051,3.665,3.925,2.632,2.928,4.476,2.704,3.425,3.732,2.502,2.548,4.215,2.271,0.073,0.406,6.379,3.017,12.868,3.184,0.276,0.648,9.894,4.928,37.334,5.603,0.23,0.779,20.381,7.17,7.329,0.362,0.773,22.479,7.126,6.308,0.422
5.42,3.044,0.645,0.64,5.873,0.878,0.238,1.301,-0.01,0.104,2.613,3.475,0.171,8.537,17.079,19.258,18.011,18.011,18.011,12.03,12.03,-0.117,0.087,0.482,4108.0,6,0.054,0.789,0.841,1.067,0.561,4,-0.192,6,4,4,35.301,2.069,0.14,1,0.589,0.672,2.265,1.15,7.706,5.325,28.355,74.709,6.26,0.667,3.621,3.758,3.042,3.232,4.619,3.155,4.123,4.332,3.365,3.587,5.009,3.488,4.294,4.481,3.404,3.714,5.225,3.589,4.492,4.771,3.212,3.694,5.247,3.516,4.363,4.623,3.068,3.614,5.127,3.415,4.37,4.689,2.909,3.485,5.066,3.273,4.105,4.403,2.628,3.272,4.779,3.042,3.802,4.1,2.316,2.968,4.46,2.736,0.042,0.468,8.335,3.568,7.752,5.105,0.068,0.744,13.784,5.867,11.382,8.431,0.094,0.905,16.553,6.68,9.723,0.138,1.041,20.102,7.7,11.376,0.078
6.046,3.381,0.675,0.694,5.901,0.72,0.314,1.186,0.126,0.134,3.006,3.695,0.19,6.281,15.864,26.795,18.011,18.011,18.011,12.03,12.03,0.128,0.269,0.565,7459.0,7,0.059,0.532,0.732,0.572,0.635,3,-0.336,7,3,3,26.476,2.06,0.167,3,0.67,0.733,2.287,1.432,7.222,6.168,38.038,79.277,8.491,0.632,3.559,3.672,3.239,3.231,4.629,3.161,4.051,4.223,3.646,3.604,5.081,3.513,4.247,4.401,3.689,3.732,5.291,3.609,4.386,4.628,3.792,3.692,5.35,3.542,4.279,4.492,3.29,3.631,5.174,3.439,4.344,4.647,3.351,3.541,5.105,3.338,4.054,4.3,3.546,3.415,5.035,3.223,3.794,3.965,2.745,3.074,4.871,2.776,0.018,0.405,5.714,2.866,4.428,3.974,0.041,0.644,12.125,5.195,9.901,7.124,0.097,0.774,17.548,6.165,8.187,0.297,0.897,24.991,7.246,9.785,0.105
6.398,3.442,0.675,0.728,5.908,0.72,0.314,0.982,0.261,0.137,3.006,3.877,0.19,6.262,18.212,22.972,18.011,18.011,18.011,12.03,12.03,0.135,0.309,0.565,7283.0,7,0.059,0.532,0.732,0.55,0.647,3,-0.205,7,3,3,26.476,2.059,0.167,3,0.682,0.769,2.315,1.432,7.167,6.168,38.038,79.277,8.491,0.632,3.559,3.672,3.239,3.231,4.63,3.161,4.051,4.223,3.646,3.604,5.07,3.513,4.248,4.401,3.764,3.737,5.328,3.62,4.391,4.627,3.587,3.698,5.31,3.541,4.28,4.492,3.629,3.664,5.23,3.48,4.352,4.646,3.534,3.589,5.187,3.395,4.079,4.295,3.333,3.416,5.084,3.193,3.738,3.975,2.612,2.946,4.666,2.661,0.018,0.405,5.714,2.866,4.539,3.974,0.041,0.644,12.125,5.195,8.965,7.124,0.122,0.769,17.282,6.122,8.179,0.238,0.887,24.112,7.367,9.813,0.142
6.301,3.826,0.662,0.732,5.981,0.787,0.284,0.892,-0.003,0.24,3.026,4.056,0.213,7.629,15.835,47.443,44.606,44.606,44.313,39.07,47.45,-0.018,0.061,0.546,6115.0,4,0.077,0.688,0.779,0.811,0.691,4,-0.301,5,4,4,35.301,2.079,0.223,4,0.729,0.773,2.053,1.529,6.947,4.552,20.721,78.724,7.301,0.55,3.699,3.804,3.46,3.32,4.675,3.231,4.257,4.437,3.766,3.699,5.476,3.597,4.419,4.58,3.943,3.881,5.528,3.748,4.632,4.801,3.924,3.929,5.895,3.816,4.719,4.913,3.496,3.816,5.954,3.681,4.555,4.845,3.221,3.661,5.435,3.47,4.279,4.52,2.706,3.428,5.177,3.205,4.136,4.49,2.058,3.065,4.673,2.733,0.077,0.537,11.442,4.164,12.711,5.17,0.283,0.861,17.621,6.903,41.098,8.775,0.093,1.035,22.582,8.848,10.35,0.198,1.215,34.132,11.177,12.229,0.544
5.398,3.968,0.632,0.81,5.668,0.862,0.198,0.819,-0.156,0.157,3.089,4.328,0.082,3.875,22.333,52.692,44.606,44.606,44.313,39.07,47.45,-0.205,-0.303,0.578,5301.0,2,0.091,0.746,0.872,1.285,0.743,2,-0.001,3,2,2,17.65,2.054,0.126,4,0.794,0.866,1.991,1.603,6.941,3.58,12.814,68.642,7.792,0.611,3.545,3.638,3.384,3.184,4.554,3.102,4.084,4.24,3.663,3.549,5.39,3.452,4.266,4.439,3.734,3.662,5.452,3.532,4.372,4.549,3.598,3.595,5.683,3.492,4.288,4.503,3.229,3.424,5.49,3.295,3.991,4.193,2.9,3.234,5.107,3.085,3.898,4.156,2.395,2.994,4.853,2.802,3.564,3.879,1.902,2.658,4.174,2.396,0.062,0.458,9.337,3.476,12.427,4.078,0.246,0.731,13.91,5.681,39.702,6.932,0.088,0.874,20.187,7.517,8.411,0.23,0.902,24.112,7.848,8.391,0.316
5.097,4.044,0.619,0.817,5.736,0.823,0.191,0.857,0.006,0.465,3.191,4.393,0.113,3.472,24.427,52.139,55.606,55.606,55.313,48.3,56.68,0.279,0.018,0.594,7190.0,2,0.118,0.782,0.827,1.039,0.752,1,-0.074,3,1,2,19.708,2.047,0.172,5,0.802,0.871,1.993,1.667,7.667,3.077,9.468,70.064,8.041,0.579,3.591,3.675,3.439,3.18,4.649,3.122,4.127,4.271,3.707,3.528,5.455,3.458,4.272,4.431,3.791,3.645,5.494,3.547,4.366,4.51,3.664,3.621,5.721,3.542,4.368,4.58,3.316,3.487,5.553,3.366,4.12,4.344,3.079,3.27,5.295,3.122,3.83,4.057,2.72,3.022,4.791,2.851,3.778,4.051,2.321,2.631,4.78,2.501,0.074,0.472,9.177,3.556,13.092,3.972,0.342,0.734,14.309,5.675,44.174,6.508,0.203,0.858,20.024,7.324,7.823,0.335,0.888,23.01,7.57,7.747,0.422
5.276,4.031,0.632,0.846,5.711,0.862,0.198,0.839,-0.23,0.198,3.089,4.515,0.082,3.751,20.441,47.139,44.606,44.606,44.313,39.07,47.45,-0.233,-0.183,0.578,5141.0,2,0.091,0.746,0.872,1.252,0.755,2,-0.046,3,2,2,17.65,2.058,0.126,4,0.806,0.903,2.03,1.603,6.235,3.58,12.814,68.642,7.792,0.611,3.545,3.638,3.384,3.184,4.555,3.102,4.084,4.24,3.663,3.549,5.389,3.452,4.266,4.44,3.789,3.682,5.423,3.552,4.38,4.53,3.706,3.659,5.732,3.561,4.428,4.637,3.246,3.493,5.698,3.384,4.084,4.31,2.853,3.309,5.113,3.157,3.909,4.171,2.32,3.109,4.636,2.855,3.763,4.133,1.37,2.601,4.256,2.219,0.062,0.458,9.337,3.476,12.446,4.078,0.246,0.731,13.91,5.681,39.764,6.932,0.087,0.877,19.876,7.526,8.41,0.185,0.94,26.178,8.456,8.59,0.46
5.328,3.933,0.648,0.773,5.758,0.821,0.243,0.839,-0.427,0.502,3.096,4.207,0.155,5.758,23.031,48.678,44.606,44.606,44.313,39.07,47.45,-0.503,-0.164,0.569,5702.0,3,0.083,0.714,0.82,2.302,0.723,3,-0.365,4,3,3,26.476,2.065,0.179,4,0.767,0.82,2.01,1.564,6.389,4.066,16.531,73.683,7.525,0.579,3.625,3.724,3.423,3.254,4.615,3.169,4.174,4.343,3.716,3.627,5.436,3.527,4.345,4.511,3.791,3.759,5.515,3.628,4.504,4.701,3.778,3.753,5.71,3.635,4.414,4.577,3.467,3.647,5.693,3.513,4.454,4.715,2.98,3.424,5.567,3.287,3.916,4.151,2.697,3.247,4.697,3.056,3.956,4.249,1.998,3.032,4.59,2.72,0.069,0.498,10.41,3.82,12.531,4.628,0.265,0.796,15.835,6.3,40.706,7.869,0.089,0.95,21.536,8.139,9.356,0.243,1.024,26.524,8.941,10.099,0.225
5.886,4.047,0.648,0.815,5.837,0.821,0.243,0.853,-0.075,0.188,3.096,4.436,0.155,5.731,19.852,50.298,44.606,44.606,44.313,39.07,47.45,-0.108,-0.117,0.569,5702.0,3,0.083,0.714,0.82,1.039,0.744,3,-0.115,4,3,3,26.476,2.067,0.179,4,0.789,0.865,2.028,1.564,6.944,4.066,16.531,73.683,7.525,0.579,3.625,3.724,3.423,3.254,4.617,3.169,4.174,4.343,3.716,3.627,5.434,3.527,4.346,4.512,3.844,3.778,5.492,3.646,4.51,4.683,3.764,3.772,5.796,3.66,4.525,4.735,3.363,3.62,5.739,3.489,4.258,4.501,3.072,3.45,5.261,3.284,4.106,4.355,2.563,3.234,5.028,3.024,3.891,4.23,1.983,2.882,4.454,2.579,0.069,0.498,10.41,3.82,12.585,4.628,0.265,0.796,15.835,6.3,40.678,7.869,0.088,0.953,21.282,8.158,9.359,0.206,1.057,29.145,9.515,10.316,0.439
6.523,3.212,0.674,0.673,5.994,0.715,0.337,0.955,0.007,0.248,2.801,3.728,0.302,9.371,14.032,47.763,44.606,44.606,44.313,39.07,47.45,-0.007,0.083,0.506,6093.0,4,0.051,0.636,0.691,0.785,0.58,5,-0.337,6,5,5,44.126,2.078,0.296,4,0.612,0.71,2.033,1.529,6.947,4.371,19.108,79.139,7.301,0.55,3.699,3.804,3.46,3.32,4.683,3.231,4.256,4.441,3.783,3.703,5.48,3.607,4.39,4.52,3.95,3.897,5.546,3.766,4.681,4.874,3.905,3.929,5.907,3.804,4.669,4.85,3.49,3.786,5.934,3.66,4.583,4.879,3.222,3.672,5.453,3.476,4.279,4.52,2.706,3.428,5.186,3.205,4.136,4.49,2.058,3.065,4.676,2.733,0.077,0.537,11.442,4.164,12.68,5.17,0.288,0.859,17.707,6.893,40.676,8.765,0.073,1.026,21.415,8.661,10.036,0.217,1.253,35.899,11.649,12.948,0.532
4.967,3.972,0.599,0.759,7.378,0.754,0.245,0.776,0.038,0.486,3.523,4.369,0.213,5.483,24.735,67.317,112.435,112.435,112.141,76.37,84.75,0.103,0.186,0.612,17127.0,7,0.07,0.641,0.728,0.734,0.69,3,-0.237,5,3,3,26.476,2.097,0.231,6,0.741,0.815,3.25,1.637,9.125,4.544,20.646,92.342,8.376,0.615,3.817,3.894,3.647,3.453,4.965,3.406,4.339,4.468,3.997,3.854,5.766,3.798,4.533,4.645,4.163,4.048,5.809,3.961,4.763,4.912,4.142,4.063,6.121,3.987,4.77,4.939,3.833,3.923,6.113,3.842,4.635,4.884,3.663,3.801,5.736,3.677,4.39,4.591,3.444,3.625,5.468,3.498,4.232,4.455,3.214,3.381,5.78,3.245,0.103,0.56,9.701,4.274,18.511,4.556,0.401,0.909,15.263,7.021,67.047,8.174,0.166,1.119,19.231,9.284,9.79,0.404,1.362,34.569,12.218,12.279,0.711
5.42,3.834,0.618,0.742,7.064,0.753,0.21,0.914,0.122,0.205,3.282,4.168,0.204,5.624,17.876,45.638,61.392,61.392,61.098,51.96,60.34,0.097,0.175,0.585,9851.0,4,0.051,0.673,0.725,0.573,0.683,3,-0.289,4,3,3,26.476,2.093,0.215,5,0.736,0.8,3.141,1.642,7.619,4.217,17.786,83.055,8.119,0.696,3.711,3.803,3.553,3.359,4.77,3.297,4.247,4.398,3.88,3.748,5.546,3.68,4.411,4.543,4.044,3.925,5.605,3.821,4.609,4.767,4.012,3.936,5.916,3.846,4.645,4.822,3.657,3.794,5.98,3.694,4.487,4.76,3.411,3.671,5.446,3.522,4.262,4.485,3.042,3.449,5.31,3.302,4.003,4.302,2.565,3.118,4.79,2.919,0.064,0.542,9.519,3.794,12.934,4.344,0.271,0.879,14.951,6.227,41.583,7.553,0.098,1.057,18.85,8.099,8.896,0.202,1.22,31.639,10.683,11.073,0.616
5.051,3.877,0.618,0.742,7.064,0.722,0.21,0.906,0.128,0.335,3.326,4.168,0.225,5.632,16.333,45.291,61.392,61.392,61.098,51.96,60.34,0.177,0.174,0.592,9963.0,4,0.051,0.68,0.704,0.721,0.691,3,-0.272,4,3,3,26.476,2.093,0.246,5,0.744,0.8,3.141,1.642,7.619,3.789,14.355,83.427,8.119,0.696,3.711,3.803,3.553,3.359,4.772,3.297,4.246,4.399,3.877,3.753,5.54,3.684,4.408,4.533,4.041,3.937,5.596,3.831,4.629,4.793,4.012,3.946,5.931,3.85,4.642,4.817,3.655,3.797,5.939,3.697,4.507,4.777,3.423,3.671,5.552,3.526,4.235,4.459,3.019,3.473,5.223,3.316,4.024,4.309,2.607,3.152,4.815,2.936,0.064,0.542,9.519,3.794,13.037,4.344,0.28,0.877,14.996,6.222,42.066,7.54,0.061,1.043,18.512,8.182,8.995,0.219,1.245,31.985,11.009,11.385,0.535
4.9,3.877,0.618,0.742,7.064,0.722,0.21,0.906,0.117,0.197,3.326,4.168,0.225,5.624,16.333,45.374,61.392,61.392,61.098,51.96,60.34,0.089,0.156,0.592,9873.0,4,0.051,0.68,0.704,0.586,0.691,3,-0.226,4,3,3,26.476,2.092,0.246,5,0.744,0.8,3.141,1.642,7.619,3.789,14.355,83.427,8.119,0.696,3.711,3.803,3.553,3.359,4.772,3.297,4.246,4.399,3.877,3.753,5.54,3.684,4.408,4.534,4.042,3.94,5.596,3.832,4.628,4.788,4.019,3.937,5.93,3.845,4.647,4.832,3.654,3.777,5.98,3.681,4.466,4.735,3.411,3.663,5.437,3.518,4.262,4.485,3.042,3.449,5.31,3.302,4.003,4.302,2.565,3.118,4.79,2.919,0.064,0.542,9.519,3.794,13.037,4.344,0.28,0.877,14.996,6.222,42.066,7.54,0.085,1.046,18.539,8.233,9.053,0.188,1.242,32.092,10.889,11.39,0.642
5.62,3.834,0.618,0.742,7.064,0.734,0.21,0.914,0.078,0.245,3.282,4.168,0.211,5.612,17.959,56.041,61.392,61.392,61.098,51.96,60.34,0.045,0.158,0.585,9761.0,4,0.051,0.672,0.718,0.777,0.683,3,-0.318,4,3,3,26.476,2.091,0.234,5,0.736,0.8,3.141,1.642,7.619,3.848,14.809,83.38,8.119,0.696,3.711,3.803,3.553,3.359,4.77,3.297,4.247,4.399,3.88,3.751,5.546,3.681,4.409,4.538,4.051,3.915,5.604,3.817,4.615,4.782,4.011,3.919,5.958,3.831,4.61,4.782,3.648,3.788,5.906,3.686,4.508,4.78,3.427,3.651,5.517,3.511,4.245,4.479,3.015,3.424,5.296,3.291,3.897,4.143,2.571,3.167,4.71,2.958,0.064,0.542,9.519,3.794,12.934,4.344,0.294,0.882,14.979,6.277,41.583,7.611,0.067,1.054,18.958,7.979,8.9,0.309,1.229,30.947,10.374,10.847,0.478
