pXC50,Sp,Sv,nBT,Se,nAT,Si,nSK,nBO,nC,MW,nH,SCBO,RBN,nCsp2,RBF,nAB,nBM
6.366,30.71,29.896,48,44.473,44,49.03,27,31,21,359.41,17,42.0,4,18,0.083,22,22
6.453,31.665,29.895,48,45.105,45,50.155,26,29,20,365.49,19,39.5,5,16,0.104,21,21
6.636,33.665,31.895,51,47.105,47,52.155,28,32,22,389.51,19,43.0,5,18,0.098,22,22
5.644,30.506,29.697,48,44.465,44,49.402,27,31,20,359.42,17,42.0,5,17,0.104,22,22
5.37,31.358,30.083,47,44.549,44,48.95,27,30,20,379.47,17,41.5,7,17,0.149,21,22
7.081,30.779,29.235,49,45.912,46,51.651,25,28,20,335.44,21,36.5,4,14,0.082,17,17
6.339,30.472,29.423,49,45.356,45,50.445,26,30,20,349.42,19,38.5,4,14,0.082,17,17
7.137,31.904,30.369,48,44.222,44,48.74,27,31,21,375.48,17,42.0,4,18,0.083,22,22
5.0,31.904,30.369,48,44.222,44,48.74,27,31,21,375.48,17,42.0,4,18,0.083,22,22
5.355,28.71,27.896,45,42.473,42,47.03,25,28,19,335.39,17,38.5,5,16,0.111,21,21
6.517,29.449,27.654,44,40.894,41,45.531,24,27,19,335.46,17,37.5,4,16,0.091,21,21
5.0,29.864,29.154,44,43.64,42,47.653,27,29,17,457.71,15,38.0,6,14,0.136,16,17
7.553,41.762,40.025,68,61.109,61,68.189,35,42,28,466.58,26,55.0,2,19,0.029,24,25
7.319,32.909,31.39,50,46.323,46,51.238,28,32,21,390.5,18,43.0,4,17,0.08,22,22
6.351,29.387,28.336,44,40.556,40,44.408,26,30,19,362.44,14,41.0,4,17,0.091,22,22
5.585,37.915,36.65,62,59.832,59,67.153,32,35,23,442.54,27,43.5,6,14,0.097,11,14
5.307,28.404,28.084,44,41.916,41,45.824,26,29,19,349.37,15,40.5,5,17,0.114,21,22
6.272,28.949,28.369,45,41.589,41,45.614,26,30,20,345.38,15,41.0,4,18,0.089,22,22
4.2,18.512,17.865,28,26.065,26,28.867,16,18,13,210.25,10,25.0,0,13,0.0,12,13
6.068,32.233,30.95,52,48.24,48,53.86,27,31,21,363.45,21,39.5,4,14,0.077,17,17
6.478,32.853,30.595,53,50.454,51,57.77,25,27,20,338.5,26,35.0,7,12,0.132,16,16
5.0,27.603,26.289,44,40.912,41,46.481,23,26,17,306.41,18,35.5,4,9,0.091,15,16
5.0,47.392,45.422,72,69.52,69,77.544,40,43,30,557.1,29,58.5,11,23,0.153,23,26
6.854,25.188,24.843,39,36.705,36,40.199,23,26,17,307.33,13,35.0,3,16,0.077,12,15
5.6,35.75,34.128,55,52.832,52,59.081,30,33,21,450.38,22,41.5,5,14,0.091,17,17
7.5,27.762,27.235,46,43.887,43,49.481,25,28,15,342.41,18,36.5,3,9,0.065,15,16
5.6,42.336,40.563,64,58.789,59,65.438,36,41,30,469.58,23,58.0,3,25,0.047,28,30
7.0,40.324,38.374,66,62.087,62,70.474,33,37,24,447.6,29,46.0,5,13,0.076,12,15
5.0,45.273,42.352,70,65.618,66,74.102,36,40,28,498.71,30,52.5,7,21,0.1,23,24
5.796,44.836,42.385,71,66.65,67,75.308,36,40,29,481.65,31,53.0,6,22,0.085,22,24
5.0,53.569,52.097,87,83.418,82,92.987,46,51,34,634.74,36,63.5,12,21,0.138,17,21
5.0,44.296,42.722,70,67.265,66,75.247,38,42,27,543.67,28,53.5,7,18,0.1,21,22
5.0,42.841,40.406,69,65.752,66,74.806,34,37,26,460.64,32,47.5,6,13,0.087,11,15
5.0,39.557,38.115,61,58.956,58,65.112,34,37,24,480.59,24,49.0,8,19,0.131,22,23
6.027,30.569,29.015,48,44.803,45,50.524,25,28,20,332.44,20,38.0,3,16,0.063,16,18
5.35,26.966,27.334,41,41.229,39,44.878,27,29,15,394.4,12,40.5,4,15,0.098,17,20
5.5,12.847,12.639,18,17.622,17,18.98,12,13,8,180.6,5,18.0,0,8,0.0,6,8
5.6,30.023,25.328,34,33.32,33,35.865,21,22,15,637.87,12,28.0,2,12,0.059,12,12
5.6,38.983,36.75,58,54.865,55,61.358,32,35,25,441.6,23,49.0,4,20,0.069,22,24
5.6,25.858,26.111,40,39.574,38,43.713,25,27,17,346.34,13,36.5,2,15,0.05,17,18
4.6,13.756,13.359,22,21.284,21,23.95,12,13,8,163.2,9,17.0,0,6,0.0,0,4
5.6,40.665,39.433,63,60.662,60,67.109,35,38,27,471.55,25,52.0,8,22,0.127,22,25
5.6,50.126,46.987,80,76.403,77,87.052,39,42,31,526.75,38,55.0,9,21,0.113,22,24
5.6,29.012,29.736,45,45.298,43,49.677,29,31,19,406.37,14,41.0,3,17,0.067,12,16
5.6,20.415,19.197,29,27.069,27,29.997,17,19,13,288.16,10,27.0,1,12,0.034,16,16
5.6,44.114,42.443,68,64.832,64,71.899,38,42,27,530.66,26,56.5,8,23,0.118,27,28
5.6,42.415,40.653,65,61.425,61,68.505,36,40,27,501.03,25,54.5,8,24,0.123,27,28
9.2,25.244,24.584,36,35.018,34,38.25,23,25,15,348.21,11,34.5,3,15,0.083,17,18
4.4,17.818,16.677,28,25.622,26,29.073,14,16,12,184.26,12,21.5,1,9,0.036,11,11
5.6,28.057,27.004,45,42.24,42,47.69,24,27,17,322.41,18,37.0,2,9,0.044,14,16
4.2,11.642,11.44,17,16.615,16,18.352,11,12,6,168.6,5,17.0,0,6,0.0,10,10
4.8,16.483,16.523,25,23.687,23,26.163,16,18,11,214.22,7,26.0,1,11,0.04,16,16
7.9,19.063,18.171,29,26.84,27,30.156,16,18,13,209.27,11,26.0,1,12,0.034,16,16
5.8,21.642,22.169,33,32.513,31,35.626,22,24,14,301.28,9,33.5,2,14,0.061,17,18
5.8,24.955,25.412,37,37.014,35,40.242,25,27,16,366.75,10,36.5,2,15,0.054,17,18
4.9,16.648,16.041,25,23.578,23,25.953,15,17,9,220.28,8,23.5,0,7,0.0,9,11
4.7,13.398,13.234,18,18.251,17,18.821,13,14,7,217.64,4,20.0,0,7,0.0,6,9
6.1,40.569,38.569,67,63.156,63,72.02,33,37,24,451.61,30,45.0,6,13,0.09,12,14
6.5,26.586,25.225,39,36.607,37,40.986,22,24,19,285.37,15,35.0,4,17,0.103,18,19
6.8,38.756,36.74,61,57.091,57,64.667,32,36,23,449.01,25,47.0,6,17,0.098,22,22
5.5,10.886,10.935,16,15.833,15,17.436,11,12,5,169.59,4,17.0,0,5,0.0,10,10
4.7,21.029,19.897,32,29.731,30,33.199,17,19,15,223.29,13,26.0,1,13,0.031,12,13
4.5,16.21,16.074,26,24.611,24,27.159,15,17,10,203.22,9,22.0,0,8,0.0,6,8
5.9,48.847,46.428,78,72.854,73,82.305,40,45,31,535.71,33,59.5,10,22,0.128,27,28
5.6,25.341,26.079,38,37.909,36,41.381,26,28,17,357.32,10,39.5,2,15,0.053,17,19
7.6,32.745,30.697,52,48.887,49,55.671,26,29,19,370.93,23,37.0,4,11,0.077,16,16
4.1,18.307,17.666,28,26.058,26,29.239,16,18,12,210.26,10,26.0,1,12,0.036,16,16
6.0,29.262,28.203,46,43.247,43,48.318,25,28,19,334.41,18,38.0,3,13,0.065,16,17
5.6,28.983,28.345,44,41.549,41,46.034,26,29,20,346.39,15,41.0,3,20,0.068,22,23
6.2,50.126,46.987,80,76.403,77,87.052,39,42,31,526.75,38,55.0,10,21,0.125,22,24
5.6,37.404,36.101,56,52.712,52,58.365,33,37,24,458.56,19,51.5,4,23,0.071,27,28
5.5,18.966,18.58,29,27.393,27,30.076,17,19,13,226.25,10,27.0,1,13,0.034,16,16
5.6,33.881,31.224,48,45.105,45,49.584,27,30,22,471.31,18,41.5,4,19,0.083,21,22
5.6,34.352,34.2,52,52.189,50,56.636,32,34,22,465.48,18,46.0,6,19,0.115,18,21
7.8,20.83,20.008,31,30.68,30,33.621,18,19,12,264.33,12,25.0,3,10,0.097,6,9
5.2,19.0,18.555,29,27.353,27,30.495,17,19,13,227.26,10,27.0,1,13,0.034,16,16
5.9,13.636,12.998,19,18.375,18,19.956,12,13,8,178.23,6,19.0,1,8,0.053,10,11
5.6,34.233,32.651,53,51.091,51,57.322,28,30,23,378.48,23,40.0,7,18,0.132,18,19
5.9,29.029,29.071,44,42.705,41,46.899,28,31,18,402.82,13,42.0,4,17,0.091,22,22
5.6,41.773,40.968,64,61.647,60,67.954,38,42,26,536.61,22,56.5,7,23,0.109,27,28
7.0,20.386,20.02,31,30.611,30,33.329,18,19,14,244.26,12,26.0,2,14,0.065,12,13
6.4,26.398,26.063,41,38.814,38,42.325,24,27,18,322.34,14,37.0,2,16,0.049,16,18
6.2,14.756,14.359,23,22.284,22,24.95,13,14,9,175.21,9,20.0,0,8,0.0,10,11
4.8,19.762,19.381,30,28.385,28,31.448,18,20,13,238.27,10,29.0,2,13,0.067,16,17
5.5,11.426,10.778,16,15.265,15,16.83,10,11,6,151.21,5,16.0,0,6,0.0,10,10
5.9,22.836,20.953,33,32.233,32,36.329,18,19,11,328.27,14,24.5,4,7,0.121,11,11
5.6,53.029,50.395,84,79.956,80,89.972,43,47,34,579.76,37,61.0,7,24,0.083,18,23
7.1,19.364,19.998,30,29.484,28,31.661,20,22,12,272.24,8,32.5,3,12,0.1,15,18
5.6,34.245,32.993,55,52.443,52,58.857,29,32,21,393.49,23,42.0,4,15,0.073,16,18
4.8,14.852,14.24,22,21.585,21,23.581,13,14,8,196.25,8,18.5,1,6,0.045,5,7
5.6,39.142,37.407,62,57.985,58,65.806,33,37,24,439.58,25,50.0,6,17,0.097,22,23
7.8,29.222,27.644,46,43.12,43,48.84,24,27,17,342.87,19,35.0,3,11,0.065,16,16
5.6,29.943,28.56,42,39.793,39,42.878,26,29,19,429.31,13,41.0,3,19,0.071,18,21
4.0,19.267,18.37,29,26.847,27,29.784,16,18,14,209.26,11,25.0,1,13,0.034,12,13
7.3,19.512,18.865,29,27.065,27,29.867,17,19,14,222.26,10,27.5,1,14,0.034,17,17
5.6,41.949,40.625,67,63.792,63,71.572,36,40,27,491.59,27,52.0,6,20,0.09,22,23
6.1,31.341,29.584,51,48.891,49,55.936,25,27,18,340.48,24,34.0,5,11,0.098,12,13
6.1,22.784,22.362,34,33.153,32,36.124,21,23,13,351.18,11,30.5,4,10,0.118,11,13
7.0,17.21,17.074,27,25.611,25,28.159,16,18,11,215.23,9,25.5,2,10,0.074,15,15
5.0,15.307,14.955,23,22.913,22,24.79,14,15,8,212.25,8,19.5,1,6,0.043,5,7
5.6,30.773,29.214,47,44.811,45,50.152,25,27,21,332.43,20,37.0,5,18,0.106,18,19
4.7,18.949,17.832,27,25.033,25,27.661,16,18,12,227.31,9,26.0,1,12,0.037,16,16
4.2,18.762,18.381,29,27.385,27,30.448,17,19,12,226.26,10,26.0,1,12,0.034,6,10
6.1,29.358,28.083,44,42.549,42,46.95,25,27,18,355.45,17,38.0,5,16,0.114,18,20
4.1,17.756,17.359,27,25.284,25,27.95,16,18,12,211.24,9,25.5,1,12,0.037,11,13
5.0,11.585,11.331,16,15.745,15,16.961,11,12,6,214.03,4,16.0,0,6,0.0,6,7
5.9,27.682,26.643,44,43.465,43,48.571,23,24,17,316.39,20,31.0,5,13,0.114,12,13
5.6,34.693,33.686,55,52.669,52,58.568,30,33,22,406.48,22,44.0,7,18,0.127,22,22
5.6,45.091,42.922,73,69.072,69,78.388,37,41,27,500.67,32,52.0,7,18,0.096,18,20
5.6,29.671,29.046,44,42.338,41,46.001,27,30,18,405.26,14,41.0,2,15,0.045,16,19
5.6,35.239,33.971,56,52.342,52,58.358,30,34,23,402.49,22,45.0,5,18,0.089,22,22
5.6,26.563,24.993,42,39.702,40,45.026,21,23,17,281.39,19,31.0,3,12,0.071,16,16
4.2,14.756,14.359,23,22.284,22,24.95,13,14,9,175.21,9,20.0,1,8,0.043,10,11
5.6,40.301,40.637,63,60.2,58,65.959,39,44,27,532.52,19,59.0,4,25,0.063,28,29
7.6,29.779,29.146,45,42.542,42,47.406,27,30,20,358.41,15,43.0,4,17,0.089,22,23
5.6,41.216,39.74,64,61.436,61,68.398,35,38,27,470.57,26,52.0,8,22,0.125,22,25
6.1,25.245,24.139,38,35.942,36,39.824,21,23,18,277.34,15,32.0,3,17,0.079,12,15
4.7,20.517,19.886,31,29.167,29,32.365,18,20,14,237.28,11,29.0,2,13,0.065,16,17
6.2,49.552,45.911,76,72.167,73,81.849,38,41,31,525.78,35,55.0,10,20,0.132,22,24
5.6,23.421,22.218,34,31.171,31,34.496,20,23,15,327.2,11,33.0,1,14,0.029,20,20
6.4,22.512,21.077,30,28.371,28,30.628,19,21,14,333.22,9,30.0,2,14,0.067,16,17
5.6,46.506,44.341,74,71.189,71,80.142,38,41,29,515.67,33,54.0,10,21,0.135,22,24
6.0,35.625,34.02,51,48.033,48,52.598,30,33,26,411.9,18,47.0,4,22,0.078,18,22
5.6,27.358,26.083,43,40.549,40,44.95,23,26,16,331.43,17,34.5,4,11,0.093,11,14
5.6,24.665,23.713,35,32.389,32,35.579,22,25,16,352.21,10,37.0,1,14,0.029,20,21
5.6,30.665,28.895,46,44.105,44,49.155,25,27,19,353.48,19,36.5,5,15,0.109,17,18
7.0,36.995,35.213,58,54.207,54,61.252,31,35,22,434.98,23,46.0,5,17,0.086,22,22
5.6,44.841,42.406,71,67.752,68,76.806,36,39,28,484.66,32,52.0,7,21,0.099,22,24
5.6,39.591,38.389,60,58.065,57,64.069,35,38,24,490.59,22,54.0,7,22,0.117,24,28
6.0,25.29,24.456,39,37.254,37,41.777,22,24,16,293.36,15,33.0,4,15,0.103,18,18
5.6,39.62,38.343,60,56.923,56,62.99,35,39,25,488.59,21,53.5,6,23,0.1,27,28
6.4,26.489,25.633,40,37.16,37,40.907,23,26,19,302.35,14,36.5,2,19,0.05,17,19
5.0,20.273,19.392,31,28.949,29,32.282,17,19,14,224.28,12,27.0,1,13,0.032,16,16
7.5,27.841,27.172,42,39.873,39,43.978,25,28,18,356.81,14,37.5,2,16,0.048,17,18
9.0,39.546,37.783,61,56.898,57,63.564,33,37,27,436.55,24,50.5,7,24,0.115,23,25
4.2,18.006,17.875,28,26.604,26,29.531,17,19,11,227.25,9,26.0,0,11,0.0,12,13
5.6,33.955,31.917,54,50.996,51,57.797,27,30,20,385.94,24,38.0,5,12,0.093,16,16
8.3,41.762,40.025,68,61.109,61,68.189,35,42,28,466.58,26,55.0,2,19,0.029,24,25
5.6,42.534,40.594,69,65.196,65,73.6,35,39,26,474.62,30,49.5,6,17,0.087,17,19
8.699,36.33,34.542,56,51.687,52,57.939,30,34,25,394.51,22,47.5,6,22,0.107,27,27
5.6,26.188,27.593,41,41.927,39,45.602,28,30,17,398.32,11,39.5,3,15,0.073,17,18
4.7,15.21,15.074,24,23.611,23,26.159,14,15,9,191.21,9,21.0,2,8,0.083,10,11
5.6,24.955,25.412,37,37.014,35,40.242,25,27,16,366.75,10,36.5,2,15,0.054,17,18
5.6,23.972,25.351,37,37.716,35,40.977,26,28,16,368.29,9,37.5,2,15,0.054,17,18
6.3,27.938,25.853,44,41.691,42,47.302,21,23,17,304.85,21,28.5,3,9,0.068,11,11
5.6,26.313,26.826,41,40.902,39,44.922,26,28,17,362.34,13,37.5,3,15,0.073,17,18
5.6,35.489,33.277,58,56.883,57,64.647,27,28,21,374.53,30,34.0,9,10,0.155,6,9
8.4,21.375,20.714,31,29.491,29,32.309,19,21,14,271.72,10,30.0,2,14,0.065,16,17
5.6,31.194,29.391,49,47.112,47,53.382,25,27,18,359.9,22,34.0,5,12,0.102,12,13
6.4,38.131,37.503,63,60.523,59,67.995,34,38,23,474.54,25,46.0,6,12,0.095,12,14
5.6,49.239,47.227,80,75.545,75,85.316,41,46,31,560.71,34,58.0,7,20,0.088,22,23
6.3,34.58,33.058,54,51.007,51,57.521,29,32,22,386.5,22,45.0,7,15,0.13,20,22
5.6,28.983,28.345,44,41.549,41,46.034,26,29,20,346.39,15,41.0,3,20,0.068,22,23
4.0,21.068,20.193,32,29.942,30,33.654,18,20,14,236.3,12,29.0,2,14,0.063,16,17
7.7,24.438,23.178,33,32.836,32,35.673,21,22,14,413.08,11,30.0,3,14,0.091,12,14
4.3,18.512,17.865,28,26.065,26,28.867,16,18,13,210.25,10,25.0,1,12,0.036,12,13
5.6,42.705,41.429,67,63.723,63,71.027,37,41,28,499.59,26,55.0,4,20,0.06,22,24
7.0,38.756,36.32,61,57.952,58,65.77,31,34,22,437.63,27,43.5,6,14,0.098,17,18
4.7,14.79,14.634,23,21.393,21,23.907,14,16,9,185.21,7,23.5,0,9,0.0,15,15
6.6,34.893,32.891,56,52.665,53,60.225,28,31,21,375.53,25,40.5,5,15,0.089,17,18
6.6,34.574,33.036,53,49.905,50,56.023,29,32,23,383.49,21,45.0,6,21,0.113,22,24
6.1,43.989,42.06,65,60.822,60,66.408,38,43,28,542.68,22,58.5,6,24,0.092,27,29
5.6,45.529,43.862,70,66.949,66,73.654,39,43,29,545.66,27,58.0,7,25,0.1,24,27
5.6,26.591,24.459,38,36.014,36,40.246,21,23,15,363.31,15,31.0,4,13,0.105,16,16
6.0,31.012,29.687,47,43.927,44,48.737,26,29,22,342.42,18,41.0,3,20,0.064,22,23
4.1,20.733,20.128,32,31.378,31,34.99,18,19,13,243.29,13,26.0,2,11,0.063,6,10
4.5,13.097,12.342,18,17.309,17,18.795,11,12,8,212.05,6,16.0,0,7,0.0,6,7
5.6,20.659,19.691,29,27.287,27,30.08,18,20,13,301.16,9,28.5,2,13,0.069,17,17
5.6,31.148,30.713,50,49.327,48,55.457,28,30,19,391.44,20,39.0,7,13,0.14,16,17
5.6,41.017,39.263,66,63.381,63,71.731,34,37,25,464.6,29,48.0,9,16,0.136,22,22
4.9,19.972,19.601,31,29.494,29,32.575,18,20,13,241.27,11,27.5,1,12,0.032,11,13
5.6,26.682,25.106,39,35.909,36,39.617,22,25,18,306.41,14,35.0,2,13,0.051,16,17
5.6,25.591,24.246,39,36.709,37,41.484,21,23,17,276.37,16,32.0,3,15,0.077,18,18
6.9,26.495,25.655,41,38.262,38,42.405,23,26,18,305.36,15,35.0,1,12,0.024,12,14
5.6,30.773,29.214,47,44.811,45,50.152,25,27,21,332.43,20,37.0,6,18,0.128,18,19
5.6,32.449,30.679,46,43.833,43,48.059,28,31,18,430.98,15,42.5,6,16,0.13,21,22
5.6,29.654,29.411,46,45.782,44,50.242,27,29,19,399.82,17,36.0,6,13,0.13,12,13
4.1,15.091,14.713,21,20.702,20,22.166,14,15,9,206.24,6,21.0,1,9,0.048,6,9
5.6,23.273,22.392,35,31.949,32,35.282,20,23,17,260.31,12,33.0,1,17,0.029,16,18
5.6,27.62,27.638,43,42.458,41,47.128,26,28,18,360.37,15,37.5,3,15,0.07,17,18
5.6,27.04,25.641,41,38.785,39,43.658,22,24,19,292.38,17,33.0,4,17,0.098,18,18
8.6,28.671,27.337,45,42.345,42,47.551,24,27,17,343.85,18,35.0,3,11,0.067,16,16
4.3,13.398,13.234,18,18.251,17,18.821,13,14,7,217.64,4,20.0,0,7,0.0,6,9
5.6,29.381,29.165,46,45.341,44,50.543,27,29,19,374.4,17,38.5,4,15,0.087,17,18
7.4,31.216,29.202,48,44.88,45,50.444,25,28,19,352.5,20,37.5,4,14,0.083,15,17
4.7,18.648,18.041,27,25.578,25,27.953,17,19,11,244.3,8,27.5,2,11,0.074,15,16
5.6,28.08,26.735,43,41.36,41,45.807,23,25,18,331.82,18,32.0,6,13,0.14,12,13
7.2,24.472,23.423,40,39.356,39,44.445,20,21,14,277.36,19,26.0,3,8,0.075,6,8
5.9,33.455,31.675,49,45.996,46,51.029,28,31,22,386.51,18,44.0,5,21,0.102,22,24
7.8,20.495,19.655,33,32.262,32,36.405,17,18,12,233.3,15,23.0,2,8,0.061,0,5
5.6,24.046,22.961,38,36.036,36,40.694,20,22,15,268.35,16,30.0,3,12,0.079,10,13
6.4,18.438,17.821,26,24.469,24,26.827,17,19,11,241.3,7,28.5,1,10,0.038,15,16
5.9,25.392,24.358,39,37.658,37,41.906,22,24,14,317.41,15,34.0,4,13,0.103,16,18
5.6,36.699,34.405,54,51.513,51,57.246,30,33,21,462.44,21,42.5,5,16,0.093,17,18
5.8,49.944,47.308,77,73.156,73,81.936,41,45,31,568.76,32,61.0,9,25,0.117,26,29
4.3,14.296,13.623,22,19.854,20,22.242,12,14,10,156.2,8,19.5,0,9,0.0,11,11
4.1,10.335,10.628,15,15.058,14,16.147,11,12,5,170.57,3,16.0,0,5,0.0,6,7
6.2,23.796,22.445,37,34.716,35,39.112,19,21,16,252.34,16,29.0,1,12,0.027,16,16
4.2,15.756,15.359,24,23.284,23,25.95,14,15,10,187.22,9,21.5,2,10,0.083,11,12
5.6,43.205,41.013,66,62.178,62,69.481,36,40,27,498.66,26,54.5,6,23,0.091,27,28
5.6,30.699,29.089,46,44.567,44,49.167,25,27,19,380.29,19,34.0,6,13,0.13,12,13
5.8,29.563,27.993,45,42.702,43,48.026,24,26,20,317.42,19,36.0,5,18,0.111,18,19
5.6,42.858,40.617,66,61.556,62,69.268,35,39,29,461.61,27,53.5,7,25,0.106,23,26
5.7,36.006,34.22,58,56.178,56,63.734,29,31,22,398.53,27,39.5,7,14,0.121,11,14
4.3,19.063,18.171,29,26.84,27,30.156,16,18,13,209.27,11,26.0,1,13,0.034,16,16
7.8,38.489,37.487,60,56.662,56,62.94,34,38,25,454.53,22,52.5,7,22,0.117,27,28
7.3,28.017,28.029,41,39.502,38,42.902,27,30,19,384.79,11,42.0,3,19,0.073,22,23
6.5,28.671,27.337,45,42.345,42,47.551,24,27,17,343.85,18,35.0,3,11,0.067,16,16
5.6,35.216,34.351,56,53.916,53,60.615,31,34,22,424.5,22,45.0,6,16,0.107,22,22
6.8,29.108,27.279,45,41.374,42,46.817,23,26,20,301.42,19,35.0,1,18,0.022,18,18
4.3,18.154,17.031,26,24.04,24,26.289,15,17,12,215.29,9,23.5,1,11,0.038,11,12
5.6,31.324,29.52,49,45.585,46,51.441,25,28,21,331.45,21,37.0,2,18,0.041,18,18
4.8,10.528,10.1,14,13.807,13,14.857,10,11,4,174.63,3,15.5,0,4,0.0,9,9
5.6,39.779,37.936,61,55.763,56,62.113,33,38,29,434.54,23,51.5,3,25,0.049,23,25
5.6,32.438,30.465,53,49.192,49,55.567,26,30,18,373.53,23,39.0,5,8,0.094,14,16
5.7,36.006,34.519,58,55.327,55,62.272,30,33,22,407.52,25,42.0,6,15,0.103,18,18
6.2,22.977,22.622,35,33.596,33,37.073,21,23,15,280.31,12,32.5,2,15,0.057,17,18
5.9,30.08,28.926,44,42.702,42,47.127,26,28,20,370.45,16,38.0,5,18,0.114,18,19
4.4,14.006,13.875,23,22.604,22,25.531,13,14,7,179.21,9,18.0,0,5,0.0,6,7
4.7,15.097,15.155,22,20.942,20,22.562,15,17,9,220.63,5,23.5,0,9,0.0,11,12
4.2,18.057,17.15,27,24.738,25,27.657,15,17,13,194.25,10,25.0,1,13,0.037,16,16
6.8,21.222,21.117,33,31.814,31,35.156,20,22,13,269.29,11,32.0,3,12,0.091,16,18
5.9,23.358,22.601,34,31.683,31,34.835,21,24,15,345.19,10,34.0,1,14,0.029,20,20
5.8,24.103,22.282,36,35.211,35,39.847,19,20,12,297.85,16,25.5,5,7,0.139,11,11
6.5,28.142,27.262,41,38.476,38,42.223,25,28,19,348.81,13,40.0,3,19,0.073,22,23
6.5,36.659,35.437,56,55.498,54,61.139,32,34,20,479.99,22,45.0,9,16,0.161,18,20
7.0,20.83,19.72,33,30.825,31,35.069,17,19,13,226.31,14,26.0,1,6,0.03,10,11
