pXC50,nBO,nSK,SCBO,nCsp3,N.,nC,nCsp2,nH,Sv,Se,Sp,Si,nBT,nAT,nN,nHet,MW,RBN,nBM,nAB,Mi,nCsp,nCL,nX,nO,nF,RBF,C.
4.398,29,27,37.0,8,9.6,19,11,25,31.519,52.327,33.006,59.272,54,52,5,8,371.49,8,16,16,1.14,0,0,0,3,0,0.148,36.5
6.495,35,33,48.5,7,8.5,26,16,26,38.642,58.785,41.211,66.11,61,59,5,7,504.47,6,20,17,1.121,3,0,1,1,0,0.098,44.1
4.927,35,33,47.5,5,8.9,24,18,23,37.015,56.836,38.347,63.346,58,56,5,9,467.97,7,20,17,1.131,1,1,2,2,1,0.121,42.9
4.667,32,30,44.5,3,8.3,22,18,18,32.94,48.967,33.818,54.017,50,48,4,8,424.89,6,20,17,1.125,1,1,2,2,1,0.12,45.8
4.627,37,34,49.5,6,8.6,25,18,24,38.545,58.556,40.358,65.113,61,58,5,9,522.44,7,20,17,1.123,1,0,1,3,0,0.115,43.1
4.503,38,35,50.5,6,8.6,25,18,23,38.73,59.163,39.801,65.555,61,58,5,10,495.98,7,20,17,1.13,1,1,2,3,1,0.115,43.1
4.469,39,36,51.5,7,8.2,26,18,25,40.257,62.047,41.563,68.971,64,61,5,10,510.01,7,20,17,1.131,1,1,2,3,1,0.109,42.6
5.358,36,33,48.5,5,9.3,24,18,21,36.489,54.952,37.585,60.931,57,54,5,9,465.95,6,20,17,1.128,1,1,2,2,1,0.105,44.4
5.348,34,32,46.5,4,9.4,23,18,21,35.489,53.952,36.585,59.931,55,53,5,9,453.94,7,20,17,1.131,1,1,2,2,1,0.127,43.4
6.523,30,28,43.5,2,9.3,21,16,15,30.701,43.593,31.853,47.745,45,43,4,7,435.3,4,20,17,1.11,3,0,1,2,0,0.089,48.8
5.527,34,32,46.5,5,8.9,24,18,24,36.83,56.229,38.904,62.904,58,56,5,8,494.43,8,20,17,1.123,1,0,1,2,0,0.138,42.9
6.432,35,33,48.5,7,8.5,26,16,26,38.642,58.785,41.211,66.11,61,59,5,7,504.47,8,20,17,1.121,3,0,1,1,0,0.131,44.1
6.347,33,31,46.5,4,8.0,23,16,19,34.47,50.687,35.83,55.785,52,50,4,8,479.36,7,20,17,1.116,3,0,1,3,0,0.135,46.0
4.82,30,28,42.0,2,7.1,19,16,14,30.571,43.065,32.102,46.398,44,42,3,9,431.95,6,19,16,1.105,1,1,1,3,0,0.136,45.2
5.48,29,28,40.0,3,6.4,20,16,19,31.325,47.76,32.574,52.574,48,47,3,8,397.49,7,16,12,1.119,1,0,0,4,0,0.146,42.6
4.469,38,35,50.5,7,8.2,26,18,26,40.071,61.44,42.12,68.529,64,61,5,9,536.47,8,20,17,1.123,1,0,1,3,0,0.125,42.6
5.8,22,20,31.0,0,6.9,14,14,9,21.792,29.698,22.966,31.838,31,29,2,6,349.22,3,17,16,1.098,0,0,1,2,0,0.097,48.3
4.8,23,23,31.0,4,5.1,15,10,16,25.492,40.102,26.261,43.87,39,39,2,8,336.4,8,10,6,1.125,1,0,0,5,0,0.205,38.5
4.04,22,22,30.0,3,5.6,14,10,14,23.965,37.218,24.5,40.455,36,36,2,8,322.37,7,10,6,1.124,1,0,0,5,0,0.194,38.9
5.34,20,20,29.0,2,6.7,13,9,10,21.196,31.124,21.523,33.415,30,30,2,7,290.32,5,10,6,1.114,2,0,0,4,0,0.167,43.3
5.879,42,38,53.5,12,5.6,29,17,34,45.034,72.047,47.909,80.979,76,72,4,9,534.74,11,22,21,1.125,0,0,0,4,0,0.145,40.3
4.23,15,15,23.0,1,8.7,11,8,8,16.053,23.509,16.205,25.661,23,23,2,4,200.21,1,9,6,1.116,2,0,0,2,0,0.043,47.8
5.674,30,28,43.5,2,9.3,21,16,15,30.701,43.593,31.853,47.745,45,43,4,7,435.3,4,20,17,1.11,3,0,1,2,0,0.089,48.8
5.64,39,36,50.5,10,5.9,27,17,32,42.507,68.163,45.148,76.564,71,68,4,9,508.7,13,22,21,1.126,0,0,0,4,0,0.183,39.7
6.89,25,24,35.0,2,5.0,18,15,16,27.062,40.447,28.352,44.451,41,40,2,6,340.43,6,15,12,1.111,1,0,0,3,0,0.146,45.0
6.745,33,31,46.5,4,9.8,23,16,20,34.776,51.462,36.381,57.074,53,51,5,8,478.38,5,20,17,1.119,3,0,1,2,0,0.094,45.1
5.031,33,31,45.5,4,9.4,23,18,22,35.303,53.345,37.142,59.489,55,53,5,8,480.4,7,20,17,1.122,1,0,1,2,0,0.127,43.4
5.298,28,26,40.0,3,7.0,19,16,17,28.611,43.8,29.165,48.239,45,43,3,7,351.39,7,20,16,1.122,0,0,0,4,0,0.156,44.2
5.034,28,26,40.0,3,7.0,19,16,17,28.611,43.8,29.165,48.239,45,43,3,7,351.39,7,20,16,1.122,0,0,0,4,0,0.156,44.2
4.301,25,24,34.5,4,7.3,16,12,17,26.326,42.127,26.619,46.448,42,41,3,8,331.36,8,15,11,1.133,0,0,0,5,0,0.19,39.0
5.234,24,23,33.5,3,8.1,15,12,14,24.468,38.429,24.341,42.163,38,37,3,8,319.32,7,15,11,1.14,0,0,1,4,1,0.184,40.5
5.321,24,23,33.5,3,8.1,15,12,14,24.912,38.24,25.261,41.768,38,37,3,8,335.77,7,15,11,1.129,0,1,1,4,0,0.184,40.5
4.384,24,23,33.5,3,8.1,15,12,14,24.468,38.429,24.341,42.163,38,37,3,8,319.32,7,15,11,1.14,0,0,1,4,1,0.184,40.5
4.438,24,23,33.5,3,8.1,15,12,14,24.912,38.24,25.261,41.768,38,37,3,8,335.77,7,15,11,1.129,0,1,1,4,0,0.184,40.5
4.348,24,23,33.5,3,8.1,15,12,14,25.109,38.145,25.756,41.665,38,37,3,8,380.22,7,15,11,1.126,0,0,1,4,0,0.184,40.5
4.714,26,25,37.5,3,10.3,15,12,14,26.008,40.789,25.557,44.326,40,39,4,10,346.33,8,17,11,1.137,0,0,0,6,0,0.2,38.5
4.776,24,23,33.5,3,8.1,15,12,14,24.468,38.429,24.341,42.163,38,37,3,8,319.32,7,15,11,1.14,0,0,1,4,1,0.184,40.5
5.0,29,26,39.0,4,16.3,15,11,17,28.115,44.189,28.858,49.112,46,43,7,11,375.46,4,18,16,1.142,0,0,0,3,0,0.087,34.9
4.725,25,24,34.5,4,7.3,16,12,17,26.326,42.127,26.619,46.448,42,41,3,8,331.36,8,15,11,1.133,0,0,0,5,0,0.19,39.0
5.917,35,33,47.5,5,8.9,24,18,23,37.015,56.836,38.347,63.346,58,56,5,9,467.97,8,20,17,1.131,1,1,2,2,1,0.138,42.9
5.333,24,23,33.5,3,8.1,15,12,14,25.109,38.145,25.756,41.665,38,37,3,8,380.22,7,15,11,1.126,0,0,1,4,0,0.184,40.5
4.967,23,22,32.5,3,8.1,15,12,15,24.084,37.916,24.404,41.824,38,37,3,7,301.33,7,15,11,1.13,0,0,0,4,0,0.184,40.5
5.015,24,23,33.5,4,7.5,16,12,17,25.611,40.8,26.165,45.239,41,40,3,7,315.36,7,15,11,1.131,0,0,0,4,0,0.171,40.0
8.5,37,34,47.5,7,8.5,24,17,25,38.257,60.047,39.563,66.971,62,59,5,10,485.99,8,19,17,1.135,0,1,2,3,1,0.129,40.7
5.182,25,23,33.0,2,8.3,16,14,13,25.782,36.658,27.404,40.004,38,36,3,7,366.29,2,14,12,1.111,0,2,2,1,0,0.053,44.4
4.844,25,24,34.5,4,7.3,16,12,17,26.326,42.127,26.619,46.448,42,41,3,8,331.36,8,15,11,1.133,0,0,0,5,0,0.19,39.0
5.001,26,25,35.5,6,6.5,18,12,21,28.665,46.567,29.688,52.069,47,46,3,7,343.42,8,15,11,1.132,0,0,0,4,0,0.17,39.1
5.668,30,28,42.5,3,6.4,21,18,19,31.138,47.683,31.926,52.654,49,47,3,7,377.43,8,21,17,1.12,0,0,0,4,0,0.163,44.7
5.461,32,30,44.5,4,5.9,22,18,21,33.379,51.894,34.142,57.279,53,51,3,8,407.46,10,21,17,1.123,0,0,0,5,0,0.189,43.1
4.398,26,25,37.5,3,10.3,15,12,14,26.008,40.789,25.557,44.326,40,39,4,10,346.33,8,17,11,1.137,0,0,0,6,0,0.2,38.5
5.558,26,24,34.0,5,6.7,19,14,21,28.707,44.662,30.972,50.361,47,45,3,5,339.5,3,14,12,1.119,0,0,0,1,0,0.064,42.2
5.8,21,19,29.5,1,9.4,15,14,13,21.413,32.051,22.279,35.78,34,32,3,4,251.31,3,17,17,1.118,0,0,0,1,0,0.088,46.9
5.058,36,33,48.5,5,9.3,24,18,21,36.489,54.952,37.585,60.931,57,54,5,9,465.95,6,20,17,1.128,1,1,2,2,1,0.105,44.4
6.46,29,27,41.0,2,7.1,19,16,15,29.744,42.742,31.244,46.454,44,42,3,8,397.51,6,19,16,1.106,1,0,0,3,0,0.136,45.2
5.82,29,27,41.0,2,7.1,19,16,15,29.271,42.993,30.051,46.744,44,42,3,8,381.44,6,19,16,1.113,1,0,0,4,0,0.136,45.2
5.0,27,26,39.0,2,5.0,19,15,14,28.25,40.891,29.046,44.245,41,40,2,7,366.42,6,16,12,1.106,2,0,0,4,0,0.146,47.5
5.8,32,29,44.0,2,12.8,20,18,18,31.434,47.894,31.966,53.109,50,47,6,9,390.44,6,23,22,1.13,0,0,0,3,0,0.12,42.6
6.15,25,24,35.0,2,7.7,17,14,15,26.557,39.665,27.597,43.534,40,39,3,7,341.42,6,15,12,1.116,1,0,0,3,0,0.15,43.6
5.4,31,28,42.0,0,8.1,19,19,9,29.022,38.8,29.517,41.268,40,37,3,9,436.28,3,17,12,1.115,0,2,4,1,2,0.075,51.4
6.35,28,27,39.0,2,4.7,19,16,16,29.492,44.102,30.261,47.87,44,43,2,8,384.44,7,16,12,1.113,1,0,0,5,0,0.159,44.2
5.0,27,24,35.5,3,7.5,18,15,16,26.565,40.658,27.193,45.16,43,40,3,6,325.37,4,17,17,1.129,0,0,1,2,1,0.093,45.0
6.636,27,25,35.5,5,6.7,19,14,20,28.618,45.425,29.716,50.99,47,45,3,6,341.42,7,17,17,1.133,0,0,1,2,1,0.149,42.2
7.553,34,31,40.0,13,6.6,22,9,30,36.508,61.531,38.193,69.438,64,61,4,9,430.56,5,9,6,1.138,0,0,0,5,0,0.078,36.1
6.845,24,22,32.5,2,8.3,16,14,14,24.68,36.491,25.847,40.247,38,36,3,6,360.23,4,17,17,1.118,0,0,1,2,0,0.105,44.4
6.668,26,24,34.5,4,7.1,18,14,18,27.733,42.258,29.37,47.077,44,42,3,6,388.29,6,17,17,1.121,0,0,1,2,0,0.136,42.9
7.161,26,24,34.5,4,7.1,18,14,18,28.025,42.098,30.676,46.956,44,42,3,6,435.29,6,17,17,1.118,0,0,1,2,0,0.136,42.9
5.608,32,30,44.0,2,4.5,22,19,14,33.975,44.713,38.046,48.066,46,44,2,8,663.08,4,20,18,1.092,1,2,4,2,0,0.087,50.0
5.6,24,23,35.0,2,5.4,18,14,14,25.82,37.236,27.137,40.827,38,37,2,5,322.41,5,15,12,1.103,2,0,0,2,0,0.132,48.6
5.0,29,27,40.0,3,7.3,17,14,14,28.677,42.898,29.091,46.573,43,41,3,10,413.86,6,19,16,1.136,0,1,3,3,2,0.14,41.5
5.8,31,28,39.0,6,8.7,19,13,18,30.211,47.483,30.353,52.622,49,46,4,9,388.41,4,14,12,1.144,0,0,2,3,2,0.082,41.3
5.0,30,26,43.0,1,17.9,18,17,13,27.917,39.44,28.972,43.654,43,39,7,8,359.45,3,26,26,1.119,0,0,0,0,0,0.07,46.2
5.8,34,32,46.0,7,7.1,22,15,24,35.642,57.207,36.364,63.402,58,56,4,10,440.5,9,20,16,1.132,0,0,0,6,0,0.155,39.3
4.523,48,48,57.0,18,7.2,30,12,49,57.02,98.367,60.415,110.932,97,97,7,18,716.0,22,12,6,1.144,0,0,0,9,0,0.227,30.9
5.0,52,44,69.0,9,5.4,35,26,30,49.508,74.531,51.193,82.438,82,74,4,9,586.69,3,32,30,1.114,0,0,0,5,0,0.037,47.3
5.8,34,32,46.0,3,11.5,20,17,20,34.105,53.76,34.091,59.153,54,52,6,12,440.46,9,21,18,1.138,0,0,0,6,0,0.167,38.5
5.538,26,23,36.0,3,15.4,16,13,16,25.477,39.356,26.296,44.275,42,39,6,7,308.38,2,20,20,1.135,0,0,0,1,0,0.048,41.0
5.8,33,29,45.0,3,10.4,22,19,19,32.697,48.098,34.461,53.527,52,48,5,7,401.53,2,23,22,1.115,0,0,0,1,0,0.038,45.8
5.0,34,32,48.0,1,2.1,23,22,15,34.405,48.625,35.307,51.968,49,47,1,9,516.36,8,23,18,1.106,0,0,2,5,1,0.163,48.9
5.4,45,41,54.5,16,7.2,31,15,42,49.47,82.825,52.557,94.301,87,83,6,10,562.79,10,18,17,1.136,0,0,0,4,0,0.115,37.3
5.0,35,32,47.0,2,10.6,21,19,15,32.757,49.4,32.017,54.176,50,47,5,11,445.41,4,23,22,1.153,0,0,4,2,4,0.08,44.7
4.602,19,18,25.0,4,9.7,11,7,13,20.502,31.531,22.029,34.83,32,31,3,7,283.41,5,11,10,1.124,0,0,0,2,0,0.156,35.5
5.395,48,42,61.0,13,11.5,31,18,36,48.666,78.127,51.103,88.847,84,78,9,11,569.76,5,26,26,1.139,0,0,1,1,1,0.06,39.7
4.204,48,42,61.0,12,10.5,31,19,34,48.67,76.254,51.449,86.19,82,76,8,11,633.63,5,26,26,1.134,0,0,2,1,1,0.061,40.8
5.87,47,41,60.0,11,12.5,29,18,31,46.44,72.683,48.438,81.96,78,72,9,12,576.14,5,26,26,1.138,0,1,2,1,1,0.064,40.3
5.281,47,41,60.0,12,12.0,30,18,34,47.583,75.054,50.262,85.036,81,75,9,11,572.18,5,26,26,1.134,0,1,1,1,0,0.062,40.0
8.009,48,42,61.0,13,11.5,31,18,36,49.11,77.938,52.023,88.451,84,78,9,11,586.21,6,26,26,1.134,0,1,1,1,0,0.071,39.7
7.208,48,42,61.0,13,11.5,31,18,36,49.11,77.938,52.023,88.451,84,78,9,11,586.21,6,26,26,1.134,0,1,1,1,0,0.071,39.7
7.668,50,44,63.0,14,11.0,32,18,38,51.352,82.149,54.239,93.076,88,82,9,12,616.24,9,26,26,1.135,0,1,1,2,0,0.102,39.0
6.401,50,44,63.0,14,11.0,32,18,38,51.352,82.149,54.239,93.076,88,82,9,12,616.24,9,26,26,1.135,0,1,1,2,0,0.102,39.0
7.668,51,45,65.0,13,12.2,32,19,37,51.846,82.367,54.483,93.159,88,82,10,13,629.24,7,27,26,1.136,0,1,1,2,0,0.08,39.0
7.821,48,42,61.0,13,11.5,31,18,36,49.11,77.938,52.023,88.451,84,78,9,11,586.21,6,26,26,1.134,0,1,1,1,0,0.071,39.7
7.86,50,44,63.0,14,11.0,32,18,38,51.352,82.149,54.239,93.076,88,82,9,12,616.24,9,26,26,1.135,0,1,1,2,0,0.102,39.0
6.441,47,41,60.0,11,12.5,29,18,31,46.44,72.683,48.438,81.96,78,72,9,12,576.14,5,26,26,1.138,0,1,2,1,1,0.064,40.3
7.538,47,41,60.0,11,12.5,29,18,31,46.884,72.494,49.358,81.565,78,72,9,12,592.59,5,26,26,1.133,0,2,2,1,0,0.064,40.3
7.812,47,41,60.0,11,12.5,29,18,31,46.884,72.494,49.358,81.565,78,72,9,12,592.59,5,26,26,1.133,0,2,2,1,0,0.064,40.3
6.321,47,41,60.0,12,12.0,30,18,34,47.583,75.054,50.262,85.036,81,75,9,11,572.18,5,26,26,1.134,0,1,1,1,0,0.062,40.0
6.699,46,40,59.0,11,12.5,29,18,32,46.056,72.17,48.5,81.621,78,72,9,11,558.15,5,26,26,1.134,0,1,1,1,0,0.064,40.3
6.469,46,40,59.0,11,12.5,29,18,32,46.056,72.17,48.5,81.621,78,72,9,11,558.15,5,26,26,1.134,0,1,1,1,0,0.064,40.3
6.476,45,39,58.0,10,11.8,28,18,29,44.223,68.512,46.188,76.916,74,68,8,11,545.1,5,26,26,1.131,0,1,1,2,0,0.068,41.2
7.839,46,40,59.0,11,12.5,29,18,32,46.056,72.17,48.5,81.621,78,72,9,11,558.15,5,26,26,1.134,0,1,1,1,0,0.064,40.3
5.0,40,37,51.0,11,8.2,27,16,36,44.362,72.923,47.466,82.766,76,73,6,10,524.76,11,20,18,1.134,0,0,0,3,0,0.145,37.0
5.0,31,28,44.0,1,8.7,22,21,18,31.675,45.996,33.455,51.029,49,46,4,6,386.51,5,24,22,1.109,0,0,0,1,0,0.102,47.8
4.602,24,22,31.5,4,8.3,15,11,14,24.669,36.662,26.0,40.269,38,36,3,7,335.84,4,13,11,1.119,0,1,1,2,0,0.105,41.7
5.4,34,32,45.0,2,8.3,21,19,16,33.422,50.32,33.148,54.906,50,48,4,11,464.86,5,20,18,1.144,0,1,4,3,3,0.1,43.8
8.301,38,35,49.5,7,11.5,24,17,26,39.587,61.76,41.37,69.11,64,61,7,11,540.47,9,20,17,1.133,0,0,1,3,0,0.141,39.3
5.8,24,22,32.5,2,11.4,15,13,13,24.449,35.553,25.79,39.143,37,35,4,7,332.84,4,17,17,1.118,0,1,1,1,0,0.108,42.9
7.62,39,36,50.5,7,11.5,24,17,25,39.773,62.367,40.813,69.552,64,61,7,12,514.01,9,20,17,1.14,0,1,2,3,1,0.141,39.3
6.0,23,23,30.0,8,4.3,18,9,24,28.454,46.654,30.944,52.903,47,47,2,5,332.51,5,9,6,1.126,1,0,0,2,0,0.106,38.3
6.959,34,32,45.5,5,8.9,23,18,24,36.545,56.556,38.358,63.113,58,56,5,9,498.42,10,20,17,1.127,0,0,1,3,0,0.172,41.1
6.174,22,21,28.0,6,5.1,13,7,18,24.018,39.985,25.023,44.285,40,39,2,8,314.4,4,9,6,1.136,0,0,0,5,0,0.1,33.3
5.7,27,26,37.0,3,4.7,19,15,17,29.416,43.654,30.972,47.81,44,43,2,7,388.9,7,15,12,1.112,1,1,1,3,0,0.159,44.2
4.68,25,24,35.0,3,4.8,19,15,18,27.402,42.254,28.466,46.946,43,42,2,5,322.39,3,15,12,1.118,1,0,0,3,0,0.07,45.2
6.475,36,33,45.5,8,11.9,22,14,26,37.862,59.603,40.068,66.923,62,59,7,11,488.07,7,18,17,1.134,0,1,1,2,0,0.113,37.3
5.34,30,28,42.5,2,4.3,22,19,18,31.589,46.331,33.114,50.866,48,46,2,6,390.49,6,20,17,1.106,1,0,0,3,0,0.125,47.8
4.347,21,19,26.0,5,15.6,10,5,13,20.546,33.102,21.085,36.701,34,32,5,9,283.35,2,10,10,1.147,0,0,0,3,0,0.059,31.3
5.54,24,23,34.0,1,5.4,17,15,14,25.063,37.814,25.398,41.325,38,37,2,6,310.33,4,15,12,1.117,1,0,0,4,0,0.105,45.9
6.932,40,37,52.5,6,6.5,27,21,25,40.701,63.53,41.336,70.623,65,62,4,10,510.56,11,24,23,1.139,0,0,3,3,3,0.169,43.5
5.0,28,26,36.0,8,11.5,19,11,26,31.111,51.774,33.103,59.351,54,52,6,7,354.51,8,16,16,1.141,0,0,0,1,0,0.148,36.5
5.75,40,37,53.5,8,5.8,28,20,32,43.507,69.163,46.148,77.564,72,69,4,9,520.71,13,25,23,1.124,0,0,0,4,0,0.181,40.6
6.58,29,26,40.5,1,7.0,21,20,17,29.181,43.145,30.256,47.82,46,43,3,5,343.41,5,23,23,1.112,0,0,0,2,0,0.109,48.8
6.631,39,36,52.5,7,6.1,27,20,30,41.98,66.28,44.387,74.148,69,66,4,9,506.68,13,25,23,1.123,0,0,0,4,0,0.188,40.9
5.8,24,21,34.0,1,8.8,17,16,13,23.413,34.051,24.279,37.78,37,34,3,4,275.33,1,18,16,1.111,0,0,0,1,0,0.027,50.0
6.51,30,27,41.5,2,6.5,22,20,19,30.708,46.029,32.017,51.235,49,46,3,5,357.44,6,23,23,1.114,0,0,0,2,0,0.122,47.8
7.022,40,37,53.5,8,5.8,28,20,32,43.507,69.163,46.148,77.564,72,69,4,9,520.71,14,25,23,1.124,0,0,0,4,0,0.194,40.6
