pXC50,nC,nBM,nAB,RBN,nO,Sv,Sp,nBO,Se,nH,Si,nAT,nBT,RBF,MW
8.77,24,22,22,4,0,33.354,35.637,32,51.243,24,58.145,52,56,0.071,368.52
8.638,24,17,17,4,2,33.794,36.057,32,53.461,26,60.398,54,58,0.069,374.52
8.959,26,22,22,6,0,39.471,42.177,37,63.316,31,72.471,64,68,0.088,441.64
8.678,26,22,22,5,0,38.062,40.875,36,57.658,26,64.864,58,62,0.081,465.46
8.071,23,21,21,4,0,32.519,35.279,31,49.218,23,55.567,50,54,0.074,373.56
7.26,24,22,22,5,0,36.196,39.0,35,52.967,22,58.953,53,57,0.088,469.47
8.824,20,16,16,4,0,29.354,31.637,27,47.243,24,54.145,48,51,0.078,320.48
9.602,21,20,20,4,0,32.035,34.529,31,49.538,23,56.148,50,54,0.074,377.56
8.31,21,16,16,4,0,31.541,34.285,30,49.32,24,56.065,50,54,0.074,364.56
9.301,24,21,21,4,0,33.88,36.398,32,53.127,26,60.56,54,58,0.069,370.54
8.854,21,16,16,4,0,31.046,34.04,28,49.101,25,55.982,50,53,0.075,351.56
9.301,21,17,17,4,0,29.332,31.631,27,46.141,23,52.647,47,50,0.08,317.47
7.854,19,16,16,4,0,27.827,29.875,26,44.36,22,50.73,45,48,0.083,306.45
8.229,19,16,16,4,0,27.827,29.875,26,44.36,22,50.73,45,48,0.083,306.45
7.796,22,17,16,7,3,33.003,34.756,31,53.007,25,59.69,53,56,0.125,379.5
8.268,23,17,16,7,3,34.53,36.517,32,55.891,27,63.106,56,59,0.119,393.53
8.553,21,21,21,4,0,31.343,33.125,31,48.68,22,55.311,49,53,0.075,358.49
8.268,21,16,16,4,0,30.88,33.398,28,50.127,26,57.56,51,54,0.074,334.51
9.167,21,16,16,4,0,30.88,33.398,28,50.127,26,57.56,51,54,0.074,334.51
8.229,27,22,22,5,0,40.105,41.739,39,63.534,28,71.908,63,67,0.075,479.6
7.509,25,22,22,5,0,35.046,38.04,33,53.101,25,59.982,54,58,0.086,399.6
7.237,26,22,22,7,1,39.459,41.074,39,60.952,25,68.124,60,64,0.109,498.62
7.149,25,21,21,5,0,35.739,39.444,33,53.96,26,60.819,55,59,0.085,418.67
9.108,26,25,25,4,0,37.067,40.046,36,56.203,26,63.48,57,62,0.065,426.63
7.292,20,11,11,4,0,28.891,31.91,24,48.69,28,56.394,50,52,0.077,296.5
7.699,20,16,16,4,1,28.026,30.08,26,44.367,22,50.358,45,48,0.083,306.44
8.638,27,17,17,5,0,37.966,41.438,34,61.559,33,70.723,63,67,0.075,399.63
10.097,22,11,11,4,0,32.439,35.677,28,54.676,31,63.308,56,59,0.068,337.56
9.398,26,22,22,5,1,36.928,39.466,35,56.56,26,63.631,57,61,0.082,432.0
9.229,26,22,22,5,0,37.235,40.017,35,57.334,27,64.92,58,62,0.081,431.02
9.509,26,22,22,5,1,36.101,38.608,34,56.236,27,63.687,57,61,0.082,397.56
8.699,24,18,17,4,0,33.88,36.398,31,53.127,26,60.56,54,57,0.07,370.54
8.161,20,16,16,4,0,28.498,31.273,26,44.116,22,50.069,45,48,0.083,322.51
7.77,19,12,11,4,0,28.519,31.279,26,45.218,23,51.567,46,49,0.082,325.52
8.854,24,22,22,5,0,35.562,38.29,34,54.421,25,61.564,55,59,0.085,415.61
7.444,26,22,22,5,1,36.928,39.466,35,56.56,26,63.631,57,61,0.082,432.0
8.26,24,18,17,5,1,35.122,37.614,32,56.338,28,64.185,57,60,0.083,388.56
6.0,22,17,17,4,1,32.724,33.66,32,51.89,22,58.291,51,54,0.074,401.47
8.409,23,18,17,4,0,31.332,33.631,29,48.141,23,54.647,49,52,0.077,341.49
9.18,20,17,17,4,0,28.827,30.875,27,45.36,22,51.73,46,49,0.082,318.46
8.444,20,16,16,4,0,28.498,31.273,26,44.116,22,50.069,45,48,0.083,322.51
8.553,25,22,22,5,0,36.067,39.046,34,55.203,26,62.48,56,60,0.083,414.62
8.638,25,22,22,5,0,36.067,39.046,34,55.203,26,62.48,56,60,0.083,414.62
9.292,20,17,17,4,0,28.827,30.875,27,45.36,22,51.73,46,49,0.082,318.46
7.387,16,11,11,3,0,22.784,24.864,20,37.156,20,42.733,38,40,0.075,240.38
7.187,17,11,11,3,0,24.311,26.625,21,40.04,22,46.149,41,43,0.07,254.41
7.328,19,11,11,4,0,26.838,29.387,24,43.923,24,50.564,45,48,0.083,280.45
7.959,23,21,21,5,0,34.728,37.932,33,52.396,24,58.985,53,57,0.088,420.65
8.31,23,21,21,5,1,34.256,36.739,33,52.647,24,59.275,53,57,0.088,404.58
8.585,22,17,17,4,2,31.762,33.54,31,49.796,23,56.066,50,54,0.074,361.48
9.456,25,22,22,5,0,36.668,38.279,36,57.254,25,64.738,57,61,0.082,433.55
8.347,24,21,21,5,0,35.233,38.688,33,53.178,25,59.902,54,58,0.086,419.66
8.921,21,17,16,4,0,29.993,32.517,28,45.334,21,51.152,46,49,0.082,347.52
8.167,25,22,22,5,0,35.046,38.04,33,53.101,25,59.982,54,58,0.086,399.6
9.523,27,20,17,5,1,37.101,39.608,35,57.236,27,64.687,58,62,0.081,409.57
8.26,19,16,16,4,1,28.545,30.677,27,43.814,20,49.283,44,47,0.085,386.32
8.796,19,16,16,4,0,27.993,30.517,26,43.334,21,49.152,44,47,0.085,323.5
8.638,23,17,16,7,1,34.288,37.256,31,54.312,27,61.607,55,58,0.121,393.6
8.538,24,16,16,5,1,36.836,40.023,34,59.298,30,67.52,60,64,0.078,422.65
6.98,20,12,12,3,0,30.902,33.404,28,51.229,27,59.059,52,55,0.055,337.52
7.14,17,6,6,2,0,27.902,30.404,25,48.229,27,56.059,49,52,0.038,301.49
8.64,22,8,6,4,3,34.967,36.978,32,59.17,30,67.276,59,62,0.065,403.55
7.42,14,11,11,5,0,21.407,21.915,20,34.811,15,39.337,34,35,0.143,268.31
8.09,20,7,6,4,2,31.726,33.762,29,53.96,28,61.651,54,57,0.07,361.51
7.93,20,7,6,4,2,31.726,33.762,29,53.96,28,61.651,54,57,0.07,361.51
8.3,20,7,6,4,2,32.17,34.682,29,53.771,28,61.255,54,57,0.07,377.96
8.59,20,7,6,4,2,32.17,34.682,29,53.771,28,61.255,54,57,0.07,377.96
7.569,22,8,6,4,3,34.967,36.978,32,59.17,30,67.276,59,62,0.065,403.55
7.638,12,11,11,4,0,19.541,20.04,19,30.12,11,33.427,29,30,0.133,272.32
7.9,21,8,6,4,2,32.837,35.069,30,54.665,28,62.394,55,58,0.069,368.53
8.21,21,7,6,4,2,33.252,35.523,30,56.843,30,65.066,57,60,0.067,375.54
8.51,22,8,6,4,2,34.364,36.83,31,57.549,30,65.81,58,61,0.066,382.56
8.0,12,5,5,7,1,20.026,22.08,15,36.367,22,42.358,37,37,0.189,210.36
7.721,12,11,11,5,1,18.944,20.387,17,29.062,13,32.539,29,30,0.167,281.17
7.432,13,11,11,5,1,19.445,20.796,17,31.716,16,36.112,32,33,0.152,216.31
6.967,13,12,11,5,1,19.413,20.279,18,30.051,13,33.78,30,31,0.161,227.29
8.027,12,13,11,6,3,19.843,20.188,19,31.705,13,35.199,31,32,0.188,247.28
6.796,10,11,11,4,0,17.02,17.926,16,26.265,11,29.598,26,27,0.148,222.7
8.292,16,11,11,8,2,24.74,26.534,21,41.694,22,47.567,42,43,0.186,274.4
8.284,13,12,11,6,2,20.655,21.495,19,33.262,15,37.405,33,34,0.176,245.31
7.519,16,11,11,7,2,24.74,26.534,21,41.694,22,47.567,42,43,0.163,274.4
8.324,16,12,11,8,2,25.235,26.779,22,41.912,21,47.651,42,43,0.186,287.4
7.377,12,12,11,6,2,20.149,20.739,19,32.48,14,36.488,32,33,0.182,246.3
6.481,12,15,15,4,0,19.38,20.716,19,29.018,12,32.574,29,31,0.129,244.35
5.886,11,13,11,7,2,20.831,21.631,20,32.774,13,36.491,32,33,0.212,279.36
6.77,11,13,11,6,2,19.644,19.983,19,31.698,13,35.571,31,32,0.188,247.29
8.319,10,13,11,5,2,18.283,18.864,18,27.789,10,30.578,27,28,0.179,250.31
7.036,10,11,11,4,0,16.359,17.71,15,24.916,11,28.076,25,26,0.154,205.31
7.911,18,12,11,10,2,28.289,30.302,24,47.68,25,54.481,48,49,0.204,315.46
8.577,14,12,11,7,3,21.875,22.705,20,35.371,16,39.531,35,36,0.194,260.32
8.219,14,11,11,6,2,21.687,23.012,19,35.927,18,40.737,36,37,0.162,246.34
8.091,15,13,11,7,2,25.224,26.267,23,41.349,19,46.817,41,42,0.167,301.39
7.893,13,6,5,7,2,22.762,24.54,18,40.796,23,47.066,41,41,0.171,253.39
7.601,15,12,11,7,2,23.708,25.017,21,39.029,19,44.235,39,40,0.175,273.37
7.658,16,11,11,6,1,24.026,26.08,20,40.367,22,46.358,41,42,0.143,258.4
7.114,14,13,11,7,3,24.61,26.12,22,40.433,19,45.365,40,41,0.171,309.43
7.26,12,11,11,5,1,17.918,19.034,16,28.833,14,32.697,29,30,0.167,202.28
7.921,13,12,11,5,1,19.413,20.279,18,30.051,13,33.78,30,31,0.161,227.29
7.824,14,11,11,6,1,20.972,22.557,18,34.6,18,39.528,35,36,0.167,230.34
8.305,17,12,11,9,2,26.762,28.54,23,44.796,23,51.066,45,46,0.196,301.43
6.416,15,12,11,7,3,24.423,25.472,22,40.356,19,45.445,40,41,0.171,289.37
8.812,13,12,11,6,2,21.676,22.5,20,35.363,16,39.903,35,36,0.167,260.33
7.745,12,11,11,4,1,19.068,18.847,19,30.371,11,33.716,29,30,0.133,256.25
9.593,14,12,11,6,2,22.181,23.256,20,36.145,17,40.82,36,37,0.162,259.34
7.538,14,12,11,6,2,21.16,22.25,19,34.043,16,38.322,34,35,0.171,244.32
8.252,12,13,11,6,3,19.843,20.188,19,31.705,13,35.199,31,32,0.188,247.28
8.877,15,12,11,6,2,23.708,25.017,21,39.029,19,44.235,39,40,0.15,273.37
7.505,17,12,11,6,2,26.235,27.779,24,42.912,21,48.651,43,45,0.133,299.41
7.377,14,11,11,2,0,22.923,23.165,23,37.131,15,41.919,36,38,0.053,296.33
9.398,16,6,5,5,0,24.859,27.393,21,43.025,25,50.062,44,46,0.109,259.44
7.77,11,11,11,4,0,18.87,18.642,19,30.363,11,34.088,29,30,0.133,256.26
8.379,16,12,11,7,2,24.708,26.017,23,40.029,19,45.235,40,42,0.167,285.38
6.0,17,6,6,1,1,24.531,26.836,22,41.149,23,47.275,42,45,0.022,257.41
7.678,21,13,12,4,2,31.672,33.239,30,51.192,24,57.821,51,54,0.074,369.48
7.6,21,13,12,4,2,31.672,33.239,30,51.192,24,57.821,51,54,0.074,369.48
7.824,21,13,12,4,2,31.289,33.302,29,50.68,25,57.481,51,54,0.074,351.49
7.533,20,13,12,4,2,30.589,32.398,29,48.12,22,54.01,48,51,0.078,371.9
7.824,21,13,12,4,2,32.116,34.159,30,51.003,24,57.425,51,54,0.074,385.93
7.432,21,13,12,4,1,32.144,34.432,30,50.941,24,57.531,51,54,0.074,385.55
7.638,21,13,12,4,2,31.672,33.239,30,51.192,24,57.821,51,54,0.074,369.48
7.959,22,14,12,4,2,32.783,34.546,31,51.898,24,58.564,52,55,0.073,376.5
7.638,21,13,12,4,2,32.116,34.159,30,51.003,24,57.425,51,54,0.074,385.93
8.08,21,13,12,4,2,32.944,35.017,31,51.327,23,57.369,51,54,0.074,420.37
5.301,18,16,16,6,1,25.665,27.961,23,39.458,19,44.365,40,42,0.143,297.45
6.8,6,5,5,2,0,11.171,12.063,9,19.84,11,23.156,20,20,0.1,125.2
5.06,14,12,12,3,0,19.73,21.341,17,31.389,16,35.903,32,33,0.091,212.32
6.0,13,12,11,5,1,19.94,21.04,18,31.934,15,36.196,32,33,0.152,229.31
7.155,9,6,5,5,0,17.434,19.239,14,29.785,16,34.404,30,30,0.167,212.36
7.921,26,18,17,7,1,40.713,43.393,38,66.527,33,76.095,67,71,0.099,459.66
4.699,20,17,17,5,0,30.87,32.887,29,49.563,24,56.727,50,53,0.094,348.5
7.77,25,19,17,7,2,40.593,43.489,38,65.829,32,74.726,66,70,0.1,480.7
9.398,30,17,17,8,0,47.127,50.989,43,78.836,42,91.045,80,85,0.094,514.8
8.036,26,22,22,7,0,40.987,43.427,40,65.636,31,75.052,66,71,0.099,469.66
7.77,27,22,22,8,0,42.514,45.188,41,68.519,33,78.467,69,74,0.108,483.69
6.86,26,21,21,6,1,39.165,41.625,38,62.541,30,71.182,63,68,0.088,442.62
8.046,12,12,11,4,1,17.886,18.517,17,27.167,11,30.365,27,28,0.143,213.26
7.678,11,11,11,4,1,17.219,18.131,16,26.273,11,29.226,26,27,0.148,222.69
7.638,13,12,11,5,2,19.633,20.489,18,31.16,14,34.907,31,32,0.156,230.29
6.7,16,12,11,8,1,24.52,26.324,21,40.585,21,46.441,41,42,0.19,271.4
7.62,11,11,11,4,1,17.417,18.625,16,26.178,11,29.124,26,27,0.148,267.14
7.1,15,12,11,7,1,22.993,24.563,20,37.702,19,43.026,38,39,0.179,257.37
7.046,15,16,16,4,1,20.918,22.034,20,31.833,14,35.697,32,34,0.118,238.31
7.42,12,11,11,5,2,18.633,19.489,17,30.16,14,33.907,30,31,0.161,218.28
6.504,11,13,11,5,2,18.788,19.619,18,28.571,11,31.495,28,29,0.172,249.32
8.046,11,13,11,5,2,18.788,19.619,18,28.571,11,31.495,28,29,0.172,249.32
6.2,14,12,11,6,1,21.467,22.801,19,34.818,17,39.611,35,36,0.167,243.34
6.0,21,18,17,8,1,30.047,32.086,27,47.469,23,53.856,48,50,0.16,333.47
7.268,18,18,17,6,2,25.16,26.25,24,38.043,16,42.322,38,40,0.15,292.36
7.721,14,11,11,6,1,20.972,22.557,18,34.6,18,39.528,35,36,0.167,230.34
7.833,24,11,10,5,2,36.396,39.347,33,61.214,33,70.142,62,66,0.076,395.6
7.252,12,11,11,4,1,17.918,19.034,16,28.833,14,32.697,29,30,0.133,202.28
7.3,14,11,10,10,0,26.551,28.779,23,44.858,23,51.73,45,46,0.217,321.51
6.316,12,12,11,4,1,17.886,18.517,17,27.167,11,30.365,27,28,0.143,213.26
8.292,13,12,11,6,3,20.348,20.943,19,32.487,14,36.116,32,33,0.182,246.29
7.409,12,12,11,4,1,17.886,18.517,17,27.167,11,30.365,27,28,0.143,213.26
7.921,11,13,11,5,3,18.316,18.426,18,28.822,11,31.784,28,29,0.172,233.25
7.319,26,17,17,10,2,37.374,40.341,33,61.112,32,69.643,62,65,0.154,404.6
7.432,26,17,17,9,2,37.374,40.341,33,61.112,32,69.643,62,65,0.138,404.6
8.268,21,12,12,9,1,31.627,34.37,27,53.12,29,61.102,54,56,0.161,339.53
9.143,22,12,12,10,1,33.154,36.131,28,56.003,31,64.517,57,59,0.169,353.56
8.284,22,12,12,9,1,32.133,35.126,27,53.901,30,62.019,55,57,0.158,338.54
8.538,23,12,12,10,1,33.66,36.887,28,56.785,32,65.434,58,60,0.167,352.57
8.593,17,12,11,9,2,25.74,27.534,22,42.694,22,48.567,43,44,0.205,286.41
7.046,16,12,11,6,2,24.214,25.773,21,39.811,20,45.152,40,41,0.146,272.38
7.745,12,11,11,5,2,18.633,19.489,17,30.16,14,33.907,30,31,0.161,218.28
7.398,13,13,11,6,3,22.062,23.352,20,35.447,16,39.451,35,36,0.167,280.38
7.569,18,12,11,8,2,27.267,29.296,23,45.578,24,51.983,46,47,0.17,300.44
9.116,15,12,11,7,2,22.687,24.012,20,36.927,18,41.737,37,38,0.184,258.35
8.679,13,11,11,6,2,20.16,21.25,18,33.043,16,37.322,33,34,0.176,232.31
8.076,13,11,11,6,2,20.16,21.25,18,33.043,16,37.322,33,34,0.176,232.31
8.911,15,12,11,6,2,22.687,24.012,20,36.927,18,41.737,37,38,0.158,258.35
7.379,17,12,11,8,2,26.235,27.779,24,42.912,21,48.651,43,45,0.178,299.41
8.296,13,6,5,7,2,22.235,23.779,19,38.912,21,44.651,39,40,0.175,251.37
9.076,17,12,11,7,2,25.214,26.773,23,40.811,20,46.152,41,43,0.163,284.39
7.3,15,6,5,7,1,24.574,26.847,20,43.352,25,50.272,44,45,0.156,263.43
7.911,13,12,11,6,2,19.633,20.489,18,31.16,14,34.907,31,32,0.188,230.29
9.099,14,12,11,6,2,21.16,22.25,19,34.043,16,38.322,34,35,0.171,244.32
7.26,12,11,11,5,1,17.918,19.034,16,28.833,14,32.697,29,30,0.167,202.28
6.914,19,13,11,12,4,29.697,31.205,26,49.232,24,55.401,49,50,0.24,344.45
7.288,15,12,11,7,2,22.687,24.012,20,36.927,18,41.737,37,38,0.184,258.35
7.495,15,13,11,7,2,22.16,23.25,20,35.043,16,39.322,35,36,0.194,256.33
8.601,18,12,11,10,2,27.267,29.296,23,45.578,24,51.983,46,47,0.213,300.44
8.122,18,12,11,7,2,26.74,28.534,24,43.694,22,49.567,44,46,0.152,298.42
5.86,14,11,10,1,1,22.294,23.659,21,35.142,16,39.555,35,37,0.027,277.78
7.42,15,11,11,5,1,21.972,23.557,20,35.6,18,40.528,36,38,0.132,242.35
8.319,15,12,11,6,2,22.687,24.012,20,36.927,18,41.737,37,38,0.158,258.35
7.244,15,12,11,7,2,23.07,23.949,21,37.44,17,42.077,37,38,0.184,276.34
9.17,20,6,6,7,1,30.66,33.887,25,53.785,32,62.434,55,57,0.123,316.54
8.93,14,12,11,6,2,21.543,22.188,20,34.556,15,38.662,34,35,0.171,262.31
7.699,16,13,11,7,2,23.687,25.012,21,37.927,18,42.737,38,39,0.179,270.36
5.761,11,6,5,6,2,18.687,20.012,15,32.927,18,37.737,33,33,0.182,210.31
6.522,14,0,0,7,1,23.111,26.12,16,43.8,29,51.521,45,45,0.156,227.44
7.77,15,12,11,5,2,22.16,23.25,21,35.043,16,39.322,35,37,0.135,256.33
8.711,16,12,11,8,2,24.214,25.773,21,39.811,20,45.152,40,41,0.195,272.38
8.31,16,12,11,7,2,24.214,25.773,21,39.811,20,45.152,40,41,0.171,272.38
7.276,20,12,11,8,2,30.815,33.063,27,51.563,27,58.896,52,54,0.148,341.5
7.785,15,12,11,6,2,23.837,23.824,23,38.465,15,42.756,37,38,0.158,312.32
7.444,17,12,11,5,1,26.91,30.137,22,42.145,22,48.082,43,44,0.114,298.5
8.125,15,12,11,5,1,21.445,22.796,19,33.716,16,38.112,34,35,0.143,240.33
6.91,18,12,11,5,1,26.026,28.08,22,42.367,22,48.358,43,44,0.114,282.42
6.854,17,12,11,6,1,24.499,26.319,21,39.483,20,44.943,40,41,0.146,268.39
7.639,12,6,5,7,2,21.235,22.779,17,37.912,21,43.651,38,38,0.184,239.36
8.8,15,7,6,3,2,26.084,27.642,24,43.338,21,49.093,43,45,0.067,324.85
9.4,16,7,6,3,2,27.611,29.404,25,46.222,23,52.508,46,48,0.063,338.88
7.488,6,5,5,1,0,10.645,11.301,10,17.956,9,20.741,18,19,0.053,123.18
7.379,15,6,5,8,2,25.815,28.063,20,46.563,27,53.896,47,47,0.17,281.45
8.564,6,5,5,1,0,10.645,11.301,10,17.956,9,20.741,18,19,0.053,123.18
8.432,12,6,5,4,0,18.257,20.103,14,31.272,18,36.318,32,32,0.125,190.32
9.29,16,12,11,7,2,23.687,25.012,22,37.927,18,42.737,38,40,0.175,270.36
9.411,14,12,11,8,0,23.788,25.858,21,36.993,17,41.764,37,38,0.211,308.87
8.77,28,18,16,11,5,45.493,47.421,42,75.796,36,85.521,75,78,0.141,541.69
7.102,9,6,5,2,0,13.677,14.818,11,22.622,12,26.073,23,23,0.087,148.23
9.0,6,5,5,2,0,11.171,12.063,9,19.84,11,23.156,20,20,0.1,125.2
8.456,17,12,11,6,0,23.784,25.864,20,38.156,20,43.733,39,40,0.15,252.39
7.398,19,6,5,6,1,30.154,33.131,25,53.003,31,61.517,54,56,0.107,317.53
8.538,15,6,5,4,0,22.311,24.625,18,38.04,22,44.149,39,40,0.1,230.39
9.301,15,13,11,7,3,25.943,27.068,24,40.803,17,45.369,40,41,0.171,381.26
7.658,11,6,5,9,2,20.895,22.665,17,36.105,19,41.155,36,36,0.25,257.4
8.394,14,6,5,11,2,24.289,26.302,19,43.68,25,50.481,44,44,0.25,267.42
7.745,14,6,5,10,2,24.289,26.302,19,43.68,25,50.481,44,44,0.227,267.42
8.194,12,6,5,8,2,21.235,22.779,17,37.912,21,43.651,38,38,0.211,239.36
7.638,14,6,5,10,2,24.289,26.302,19,43.68,25,50.481,44,44,0.227,267.42
8.086,12,6,5,9,2,21.235,22.779,17,37.912,21,43.651,38,38,0.237,239.36
7.512,11,6,5,7,2,19.708,21.017,16,35.029,19,40.235,35,35,0.2,225.33
7.723,14,6,5,10,2,24.289,26.302,19,43.68,25,50.481,44,44,0.227,267.42
7.921,13,6,5,9,2,22.762,24.54,18,40.796,23,47.066,41,41,0.22,253.39
