pXC50,Sv,MW,Sp,nAT,Se,nBT,Si,nBO,nSK,SCBO,nH,nC,RBN,nN,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM,nBR
5.0,38.257,485.99,39.563,59,60.047,62,66.971,37,34,47.5,25,24,8,5,8.237,40.7,42.4,1.018,1.135,0.671,0.648,8.5,17,0,19,0
5.0,21.413,251.31,22.279,32,32.051,34,35.78,21,19,29.5,13,15,3,3,7.853,46.9,40.6,1.002,1.118,0.696,0.669,9.4,17,0,17,0
5.0,31.434,390.44,31.966,47,47.894,50,53.109,32,29,44.0,18,20,6,6,8.307,42.6,38.3,1.019,1.13,0.68,0.669,12.8,22,0,23,0
5.0,29.022,436.28,29.517,37,38.8,40,41.268,31,28,42.0,9,19,3,3,11.791,51.4,24.3,1.049,1.115,0.798,0.784,8.1,12,0,17,0
5.854,28.677,413.86,29.091,41,42.898,43,46.573,29,27,40.0,14,17,6,3,10.094,41.5,34.1,1.046,1.136,0.71,0.699,7.3,16,0,19,0
5.0,30.211,388.41,30.353,46,47.483,49,52.622,31,28,39.0,18,19,4,4,8.444,41.3,39.1,1.032,1.144,0.66,0.657,8.7,12,0,14,0
5.0,27.917,359.45,28.972,39,39.44,43,43.654,30,26,43.0,13,18,3,7,9.217,46.2,33.3,1.011,1.119,0.743,0.716,17.9,26,0,26,0
5.0,35.642,440.5,36.364,56,57.207,58,63.402,34,32,46.0,24,22,9,4,7.866,39.3,42.9,1.022,1.132,0.649,0.636,7.1,16,0,20,0
5.0,49.508,586.69,51.193,74,74.531,82,82.438,52,44,69.0,30,35,3,4,7.928,47.3,40.5,1.007,1.114,0.692,0.669,5.4,30,0,32,0
6.5,34.105,440.46,34.091,52,53.76,54,59.153,34,32,46.0,20,20,9,6,8.47,38.5,38.5,1.034,1.138,0.656,0.656,11.5,18,0,21,0
5.0,25.477,308.38,26.296,39,39.356,42,44.275,26,23,36.0,16,16,2,6,7.907,41.0,41.0,1.009,1.135,0.674,0.653,15.4,20,0,20,0
5.0,32.697,401.53,34.461,48,48.098,52,53.527,33,29,45.0,19,22,2,5,8.365,45.8,39.6,1.002,1.115,0.718,0.681,10.4,22,0,23,0
5.0,49.47,562.79,52.557,83,82.825,87,94.301,45,41,54.5,42,31,10,6,6.781,37.3,50.6,0.998,1.136,0.633,0.596,7.2,17,0,18,0
5.0,40.142,519.52,40.057,58,59.981,61,65.876,41,38,56.5,20,27,7,5,8.957,46.6,34.5,1.034,1.136,0.691,0.692,8.6,17,0,22,0
5.509,44.362,524.76,47.466,73,72.923,76,82.766,40,37,51.0,36,27,11,6,7.188,37.0,49.3,0.999,1.134,0.65,0.608,8.2,18,0,20,0
5.0,31.675,386.51,33.455,46,45.996,49,51.029,31,28,44.0,18,22,5,4,8.402,47.8,39.1,1.0,1.109,0.727,0.689,8.7,22,0,24,0
5.0,33.422,464.86,33.148,48,50.32,50,54.906,34,32,45.0,16,21,5,4,9.685,43.8,33.3,1.048,1.144,0.691,0.696,8.3,18,0,20,0
5.0,27.268,315.41,28.597,41,40.811,44,45.983,27,24,38.0,17,19,4,5,7.693,46.3,41.5,0.995,1.122,0.697,0.665,12.2,22,0,22,0
5.0,24.449,332.84,25.79,35,35.553,37,39.143,24,22,32.5,13,15,4,4,9.51,42.9,37.1,1.016,1.118,0.737,0.699,11.4,17,0,17,0
5.0,26.569,335.82,27.693,38,38.251,41,42.512,27,24,38.0,14,18,4,5,8.837,47.4,36.8,1.007,1.119,0.729,0.699,13.2,22,0,22,0
5.0,28.676,375.39,28.483,41,42.338,44,46.734,31,28,44.0,13,17,5,9,9.156,41.5,31.7,1.033,1.14,0.695,0.699,22.0,22,0,24,0
5.0,37.862,488.07,40.068,59,59.603,62,66.923,36,33,45.5,26,22,7,7,8.272,37.3,44.1,1.01,1.134,0.679,0.642,11.9,17,0,18,0
5.0,20.27,255.27,20.455,29,29.68,31,32.705,21,19,30.0,10,14,2,3,8.802,48.3,34.5,1.023,1.128,0.705,0.699,10.3,16,0,17,0
5.0,31.111,354.51,33.103,52,51.774,54,59.351,28,26,36.0,26,19,8,6,6.817,36.5,50.0,0.996,1.141,0.637,0.598,11.5,16,0,16,0
5.0,23.413,275.33,24.279,34,34.051,37,37.78,24,21,34.0,13,17,1,3,8.098,50.0,38.2,1.001,1.111,0.714,0.689,8.8,16,0,18,0
5.0,29.154,457.71,29.864,42,43.64,44,47.653,29,27,38.0,15,17,6,4,10.898,40.5,35.7,1.039,1.135,0.711,0.694,9.5,16,0,17,1
5.0,31.962,415.89,32.824,48,49.069,51,54.516,32,29,41.5,19,20,4,5,8.664,41.7,39.6,1.022,1.136,0.684,0.666,10.4,17,0,18,0
8.699,40.025,466.58,41.762,61,61.109,68,68.189,42,35,55.0,26,28,2,4,7.649,45.9,42.6,1.002,1.118,0.685,0.656,6.6,24,0,25,0
5.0,31.068,416.39,30.529,45,47.112,49,51.547,34,30,43.0,15,20,3,4,9.253,44.4,33.3,1.047,1.145,0.678,0.69,8.9,12,0,15,0
5.0,23.214,275.34,24.074,34,34.043,37,38.152,24,21,34.5,13,16,3,5,8.098,47.1,38.2,1.001,1.122,0.708,0.683,14.7,21,0,21,0
5.0,23.214,275.34,24.074,34,34.043,37,38.152,24,21,34.5,13,16,3,5,8.098,47.1,38.2,1.001,1.122,0.708,0.683,14.7,21,0,21,0
5.0,24.236,290.36,25.08,36,36.145,39,40.651,25,22,35.5,14,16,3,6,8.066,44.4,38.9,1.004,1.129,0.697,0.673,16.7,21,0,21,0
5.0,23.413,275.33,24.279,34,34.051,37,37.78,24,21,34.5,13,17,3,3,8.098,50.0,38.2,1.001,1.111,0.714,0.689,8.8,21,0,21,0
5.0,19.413,227.29,20.279,30,30.051,32,33.78,19,17,26.5,13,13,3,3,7.576,43.3,43.3,1.002,1.126,0.676,0.647,10.0,15,0,15,0
5.0,24.488,282.38,25.807,39,38.92,42,44.109,24,21,31.5,18,16,3,4,7.241,41.0,46.2,0.998,1.131,0.662,0.628,10.3,15,0,15,0
5.0,19.161,235.27,19.551,27,27.276,30,30.322,21,18,31.0,9,13,1,5,8.714,48.1,33.3,1.01,1.123,0.724,0.71,18.5,20,0,20,0
5.0,23.38,292.39,24.716,33,33.018,36,36.574,24,21,34.5,12,16,3,4,8.86,48.5,36.4,1.001,1.108,0.749,0.708,12.1,21,0,21,0
5.0,24.907,306.42,26.478,36,35.902,39,39.989,25,22,35.5,14,17,4,4,8.512,47.2,38.9,0.997,1.111,0.735,0.692,11.1,21,0,21,0
5.0,28.816,332.45,30.364,45,44.796,49,50.896,29,25,39.0,20,19,3,6,7.388,42.2,44.4,0.995,1.131,0.675,0.64,13.3,20,0,20,0
5.0,24.762,292.38,25.841,38,38.029,41,43.066,25,22,35.0,16,16,3,6,7.694,42.1,42.1,1.001,1.133,0.68,0.652,15.8,20,0,20,0
5.0,32.946,391.49,34.273,51,51.301,55,57.777,33,29,43.5,22,22,5,5,7.676,43.1,43.1,1.006,1.133,0.672,0.646,9.8,21,0,21,0
5.0,36.65,442.54,37.915,59,59.832,62,67.153,35,32,43.5,27,23,6,4,7.501,39.0,45.8,1.014,1.138,0.643,0.621,6.8,11,0,14,0
5.0,17.865,210.25,18.512,26,26.065,28,28.867,18,16,25.0,10,13,0,2,8.087,50.0,38.5,1.003,1.11,0.712,0.687,7.7,12,0,13,0
5.0,29.322,361.47,30.932,42,42.08,45,46.661,29,26,40.5,16,21,4,3,8.606,50.0,38.1,1.002,1.111,0.736,0.698,7.1,23,0,23,0
5.0,40.729,496.57,41.705,61,61.872,67,68.564,43,37,57.0,24,27,2,6,8.14,44.3,39.3,1.014,1.124,0.684,0.668,9.8,20,0,24,0
5.0,26.289,306.41,27.603,41,40.912,44,46.481,26,23,35.5,18,17,4,6,7.473,41.5,43.9,0.998,1.134,0.673,0.641,14.6,15,0,16,0
6.678,45.422,557.1,47.392,69,69.52,72,77.544,43,40,58.5,29,30,11,6,8.074,43.5,42.0,1.008,1.124,0.687,0.658,8.7,23,0,26,0
5.0,34.128,450.38,35.75,52,52.832,55,59.081,33,30,41.5,22,21,5,5,8.661,40.4,42.3,1.016,1.136,0.688,0.656,9.6,17,0,17,0
5.0,32.235,371.47,33.779,49,48.912,52,54.651,31,28,42.0,21,23,3,3,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,18,0,20,0
5.0,32.235,371.47,33.779,49,48.912,52,54.651,31,28,42.0,21,23,3,3,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,18,0,20,0
5.0,30.708,357.44,32.017,46,46.029,49,51.235,30,27,41.0,19,22,3,3,7.77,47.8,41.3,1.001,1.114,0.696,0.668,6.5,18,0,20,0
5.0,28.896,378.39,28.693,42,43.447,45,47.86,31,28,43.5,14,17,5,8,9.009,40.5,33.3,1.034,1.14,0.683,0.688,19.0,21,0,23,0
5.0,42.352,498.71,45.273,66,65.618,70,74.102,40,36,52.5,30,28,7,6,7.556,42.4,45.5,0.994,1.123,0.686,0.642,9.1,23,0,24,0
5.0,42.385,481.65,44.836,67,66.65,71,75.308,40,36,53.0,31,29,6,5,7.189,43.3,46.3,0.995,1.124,0.669,0.633,7.5,22,0,24,0
5.0,52.097,634.74,53.569,82,83.418,87,92.987,51,46,63.5,36,34,12,4,7.741,41.5,43.9,1.017,1.134,0.653,0.635,4.9,17,0,21,0
5.0,42.722,543.67,44.296,66,67.265,70,75.247,42,38,53.5,28,27,7,5,8.237,40.9,42.4,1.019,1.14,0.671,0.647,7.6,21,0,22,0
5.0,40.406,460.64,42.841,66,65.752,69,74.806,37,34,47.5,32,26,6,6,6.979,39.4,48.5,0.996,1.133,0.649,0.612,9.1,11,0,15,0
5.0,38.115,480.59,39.557,58,58.956,61,65.112,37,34,49.0,24,24,8,4,8.286,41.4,41.4,1.016,1.123,0.682,0.657,6.9,22,0,23,0
5.678,29.015,332.44,30.569,45,44.803,48,50.524,28,25,38.0,20,20,3,4,7.388,44.4,44.4,0.996,1.123,0.679,0.645,8.9,16,0,18,0
5.0,27.334,394.4,26.966,39,41.229,41,44.878,29,27,40.5,12,15,4,6,10.113,38.5,30.8,1.057,1.151,0.691,0.701,15.4,17,0,20,0
5.0,25.369,309.35,25.949,38,38.589,40,42.614,25,23,34.5,15,17,5,3,8.141,44.7,39.5,1.015,1.121,0.683,0.668,7.9,17,0,18,0
5.0,23.488,270.37,24.807,38,37.92,40,43.109,22,20,28.0,18,15,3,4,7.115,39.5,47.4,0.998,1.134,0.653,0.618,10.5,6,0,9,0
5.0,30.17,375.49,31.699,44,44.214,47,49.112,30,27,42.0,17,20,3,5,8.534,45.5,38.6,1.005,1.116,0.72,0.686,11.4,22,0,23,0
5.0,25.983,307.39,27.051,40,40.138,42,45.192,25,23,34.5,17,17,3,5,7.685,42.5,42.5,1.003,1.13,0.676,0.65,12.5,17,0,18,0
5.0,31.015,356.46,32.569,47,46.803,50,52.524,30,27,42.0,20,22,4,4,7.584,46.8,42.6,0.996,1.118,0.693,0.66,8.5,22,0,23,0
5.0,35.761,425.54,37.222,58,58.538,60,65.896,33,31,42.0,27,22,7,5,7.337,37.9,46.6,1.009,1.136,0.642,0.617,8.6,12,0,15,0
5.0,28.568,411.34,27.222,40,42.887,43,47.021,32,29,42.5,11,18,3,5,10.283,45.0,27.5,1.072,1.176,0.681,0.714,12.5,21,0,21,0
5.0,26.111,346.34,25.858,38,39.574,40,43.713,27,25,36.5,13,17,2,4,9.114,44.7,34.2,1.041,1.15,0.68,0.687,10.5,17,0,18,0
5.0,19.998,278.32,20.318,29,30.116,30,32.787,20,19,28.5,10,11,4,4,9.597,37.9,34.5,1.038,1.131,0.701,0.69,13.8,11,0,14,0
5.0,34.223,415.56,36.222,51,50.982,55,56.943,34,30,46.0,21,23,2,5,8.148,45.1,41.2,1.0,1.117,0.71,0.671,9.8,22,0,23,0
5.0,32.681,426.44,32.631,48,49.661,51,55.125,34,31,46.0,17,21,3,6,8.884,43.8,35.4,1.035,1.148,0.68,0.681,12.5,22,0,23,0
5.0,21.15,288.32,21.551,29,29.982,31,32.336,22,20,31.0,9,14,3,2,9.942,48.3,31.0,1.034,1.115,0.743,0.729,6.9,16,0,17,0
5.0,27.083,343.44,28.358,41,41.549,43,45.95,26,24,36.5,17,17,6,3,8.377,41.5,41.5,1.013,1.121,0.692,0.661,7.3,17,0,19,0
5.0,31.256,362.47,32.784,49,49.014,52,55.149,30,27,40.0,22,21,4,4,7.397,42.9,44.9,1.0,1.125,0.669,0.638,8.2,16,0,18,0
5.0,26.475,379.28,27.852,36,36.884,38,39.715,26,24,36.0,12,17,3,2,10.536,47.2,33.3,1.025,1.103,0.774,0.735,5.6,16,0,18,0
5.0,35.826,418.55,37.557,57,57.101,60,64.561,34,31,44.0,26,23,8,6,7.343,40.4,45.6,1.002,1.133,0.659,0.629,10.5,18,0,19,0
5.0,32.892,405.54,34.705,49,49.167,53,55.073,33,29,45.5,20,22,4,5,8.276,44.9,40.8,1.003,1.124,0.708,0.671,10.2,25,0,25,0
5.0,19.666,234.28,20.307,28,28.058,30,31.239,20,18,30.0,10,14,1,4,8.367,50.0,35.7,1.002,1.116,0.725,0.702,14.3,16,0,17,0
5.0,32.906,418.52,34.159,48,48.643,51,53.82,33,30,46.0,18,21,4,6,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,0,24,0
5.0,34.773,444.52,35.847,49,49.836,53,54.578,36,32,50.5,17,24,4,4,9.072,49.0,34.7,1.017,1.114,0.732,0.71,8.2,27,0,28,0
5.0,32.297,408.45,32.694,48,49.149,52,54.785,34,30,45.0,18,21,5,6,8.509,43.8,37.5,1.024,1.141,0.681,0.673,12.5,22,0,22,0
5.0,31.552,375.48,32.824,49,49.225,52,55.604,31,28,42.5,21,20,6,7,7.663,40.8,42.9,1.005,1.135,0.67,0.644,14.3,21,0,22,0
5.0,24.584,348.21,25.244,34,35.018,36,38.25,25,23,34.5,11,15,3,5,10.241,44.1,32.4,1.03,1.125,0.742,0.723,14.7,17,0,18,0
5.6,34.933,442.48,35.358,53,54.436,56,60.583,35,32,46.0,21,23,7,4,8.349,43.4,39.6,1.027,1.143,0.667,0.659,7.5,22,0,22,0
5.0,32.783,376.5,34.546,52,51.898,55,58.564,31,28,41.0,24,22,4,4,7.24,42.3,46.2,0.998,1.126,0.664,0.63,7.7,16,0,18,0
5.3,42.197,467.67,45.143,68,67.207,73,76.514,40,35,51.0,33,29,6,5,6.877,42.6,48.5,0.988,1.125,0.664,0.621,7.4,22,0,22,0
5.5,35.223,427.57,37.222,52,51.982,55,57.943,34,31,48.0,21,24,3,5,8.222,46.2,40.4,1.0,1.114,0.716,0.677,9.6,22,0,24,0
5.0,24.655,293.35,25.495,37,37.262,39,41.405,24,22,33.0,15,17,3,3,7.928,45.9,40.5,1.007,1.119,0.689,0.666,8.1,12,0,15,0
5.0,25.225,316.36,25.568,36,36.582,40,40.817,28,24,40.5,12,16,3,8,8.788,44.4,33.3,1.016,1.134,0.71,0.701,22.2,25,0,25,0
5.0,23.467,267.36,24.801,37,36.818,39,41.611,22,20,29.0,17,16,4,3,7.226,43.2,45.9,0.995,1.125,0.67,0.634,8.1,12,0,13,0
5.0,37.894,477.59,39.347,57,57.847,60,63.986,37,34,51.0,23,24,8,5,8.379,42.1,40.4,1.015,1.123,0.69,0.665,8.8,18,0,23,0
5.0,21.961,256.34,23.046,35,35.036,37,39.694,21,19,28.5,16,14,3,4,7.324,40.0,45.7,1.001,1.134,0.658,0.627,11.4,15,0,15,0
5.3,38.025,442.56,39.762,59,59.109,63,66.189,37,33,49.0,26,26,8,4,7.501,44.1,44.1,1.002,1.122,0.674,0.644,6.8,22,0,23,0
5.1,34.773,444.52,35.847,49,49.836,53,54.578,36,32,50.5,17,24,4,4,9.072,49.0,34.7,1.017,1.114,0.732,0.71,8.2,27,0,28,0
6.1,33.202,400.54,35.216,49,48.88,53,54.444,33,29,46.0,20,23,6,4,8.174,46.9,40.8,0.998,1.111,0.719,0.678,8.2,26,0,26,0
5.1,26.816,308.43,28.364,43,42.796,46,48.896,26,23,34.0,20,17,3,6,7.173,39.5,46.5,0.995,1.137,0.66,0.624,14.0,16,0,16,0
5.0,27.904,325.42,29.262,44,44.098,47,49.781,27,24,34.5,20,19,1,3,7.396,43.2,45.5,1.002,1.131,0.665,0.634,6.8,11,0,13,0
5.7,31.723,411.94,33.523,46,46.429,48,51.099,30,28,41.0,18,21,5,3,8.955,45.7,39.1,1.009,1.111,0.729,0.69,6.5,18,0,20,0
5.0,25.116,323.41,26.176,36,36.447,40,40.282,27,23,36.0,13,16,1,5,8.984,44.4,36.1,1.012,1.119,0.727,0.698,13.9,16,0,17,0
5.0,24.968,350.3,24.034,35,37.203,37,40.637,27,25,36.5,10,16,2,4,10.009,45.7,28.6,1.063,1.161,0.687,0.713,11.4,17,0,18,0
5.0,27.954,367.88,29.546,39,39.334,42,43.06,28,25,39.5,14,19,4,3,9.433,48.7,35.9,1.009,1.104,0.758,0.717,7.7,21,0,22,0
5.0,37.245,454.6,39.228,55,55.083,59,61.441,37,33,51.5,22,25,4,6,8.265,45.5,40.0,1.002,1.117,0.713,0.677,10.9,27,0,28,0
5.1,34.256,398.5,35.784,52,52.014,56,58.149,34,30,46.0,22,24,6,4,7.663,46.2,42.3,1.0,1.118,0.688,0.659,7.7,22,0,23,0
5.0,28.643,361.46,29.938,41,41.331,44,45.697,29,26,41.0,15,19,3,5,8.816,46.3,36.6,1.008,1.115,0.73,0.699,12.2,22,0,23,0
5.0,41.518,497.67,43.961,63,62.96,67,70.398,40,36,56.0,27,28,7,5,7.9,44.4,42.9,0.999,1.117,0.698,0.659,7.9,28,0,30,0
5.0,45.218,522.73,47.83,76,76.05,80,86.843,42,38,50.0,38,27,7,8,6.878,35.5,50.0,1.001,1.143,0.629,0.595,10.5,12,0,14,0
5.0,21.434,254.32,22.284,33,33.153,35,37.279,21,19,29.5,14,14,3,4,7.707,42.4,42.4,1.005,1.13,0.675,0.65,12.1,15,0,16,0
5.6,41.891,529.65,43.387,62,62.909,66,69.903,42,38,57.5,24,27,6,7,8.543,43.5,38.7,1.015,1.127,0.7,0.676,11.3,27,0,29,0
5.5,38.569,451.61,40.569,63,63.156,67,72.02,37,33,45.0,30,24,6,7,7.168,38.1,47.6,1.002,1.143,0.644,0.612,11.1,12,0,14,0
5.0,22.961,268.35,24.046,36,36.036,38,40.694,22,20,30.0,16,15,4,4,7.454,41.7,44.4,1.001,1.13,0.668,0.638,11.1,16,0,16,0
5.0,20.418,289.7,20.318,28,29.255,30,31.685,22,20,30.0,8,12,1,5,10.346,42.9,28.6,1.045,1.132,0.726,0.729,17.9,12,0,14,0
5.0,34.494,408.53,36.04,55,55.287,58,62.691,33,30,43.5,25,22,7,6,7.428,40.0,45.5,1.005,1.14,0.655,0.627,10.9,21,0,21,0
5.0,19.536,269.31,19.892,26,26.796,29,29.036,22,19,31.0,7,12,1,5,10.358,46.2,26.9,1.031,1.117,0.765,0.751,19.2,16,0,17,0
5.0,33.369,404.93,35.188,50,50.011,53,55.883,32,29,44.0,21,23,7,4,8.099,46.0,42.0,1.0,1.118,0.704,0.667,8.0,22,0,23,0
5.0,45.723,521.74,48.586,77,76.832,81,87.76,42,38,50.0,39,28,7,7,6.776,36.4,50.6,0.998,1.14,0.631,0.594,9.1,12,0,14,0
5.1,34.223,415.56,36.222,51,50.982,55,56.943,34,30,46.0,21,23,3,5,8.148,45.1,41.2,1.0,1.117,0.71,0.671,9.8,22,0,23,0
5.0,29.335,380.53,31.341,42,42.189,45,46.534,29,26,41.0,16,19,3,4,9.06,45.2,38.1,1.004,1.108,0.746,0.698,9.5,20,0,22,0
5.1,46.428,535.71,48.847,73,72.854,78,82.305,45,40,59.5,33,31,10,7,7.338,42.5,45.2,0.998,1.127,0.669,0.636,9.6,27,0,28,0
5.0,42.197,467.67,45.143,68,67.207,73,76.514,40,35,51.0,33,29,7,5,6.877,42.6,48.5,0.988,1.125,0.664,0.621,7.4,22,0,22,0
5.0,17.682,246.67,17.858,24,24.825,26,26.977,19,17,26.0,7,11,0,4,10.278,45.8,29.2,1.034,1.124,0.744,0.737,16.7,12,0,13,0
5.0,21.38,268.37,22.716,31,31.018,33,34.574,21,19,29.5,12,14,4,4,8.657,45.2,38.7,1.001,1.115,0.733,0.69,12.9,17,0,17,0
5.0,29.896,359.41,30.71,44,44.473,47,49.03,30,27,41.5,17,21,4,3,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,23,0,23,0
5.0,30.74,346.46,32.534,48,47.694,50,53.567,28,26,38.0,22,22,5,2,7.218,45.8,45.8,0.994,1.116,0.678,0.64,4.2,18,0,19,0
5.0,35.718,440.57,37.466,52,52.2,56,58.026,36,32,50.5,20,24,4,6,8.472,46.2,38.5,1.004,1.116,0.721,0.687,11.5,27,0,28,0
5.0,29.749,379.4,29.926,43,44.163,47,48.872,32,28,44.5,15,20,3,5,8.823,46.5,34.9,1.027,1.137,0.696,0.692,11.6,25,0,25,0
5.0,31.684,410.41,31.591,46,47.6,49,52.207,33,30,45.0,16,21,4,4,8.922,45.7,34.8,1.035,1.135,0.687,0.689,8.7,22,0,23,0
5.0,27.488,318.41,28.807,42,41.92,45,47.109,27,24,38.0,18,19,2,4,7.581,45.2,42.9,0.998,1.122,0.686,0.654,9.5,20,0,21,0
5.0,40.385,457.63,42.836,65,64.65,68,73.308,37,34,49.0,31,27,7,5,7.04,41.5,47.7,0.995,1.128,0.659,0.621,7.7,16,0,19,0
5.0,29.387,364.42,29.995,44,44.752,47,50.03,30,27,41.0,17,19,6,6,8.282,43.2,38.6,1.017,1.137,0.682,0.668,13.6,22,0,22,0
5.0,28.676,344.4,29.5,42,42.363,46,46.903,30,26,41.0,16,20,3,4,8.2,47.6,38.1,1.009,1.117,0.702,0.683,9.5,16,0,19,0
5.0,38.324,497.58,39.256,58,59.502,61,65.405,38,35,52.0,23,23,8,5,8.579,39.7,39.7,1.026,1.128,0.677,0.661,8.6,16,0,22,0
5.0,32.805,379.51,34.552,53,53.0,55,60.062,30,28,39.0,25,21,5,5,7.161,39.6,47.2,1.0,1.133,0.652,0.619,9.4,12,0,15,0
5.0,21.217,320.46,22.739,28,28.724,32,31.165,24,20,33.0,8,11,0,6,11.445,39.3,28.6,1.026,1.113,0.812,0.758,21.4,18,0,18,0
5.0,32.058,374.49,33.58,50,50.007,53,56.521,31,28,42.5,22,21,5,6,7.49,42.0,44.0,1.0,1.13,0.672,0.641,12.0,21,0,22,0
5.0,27.074,334.83,28.449,39,39.033,42,43.428,27,24,38.0,15,19,4,4,8.585,48.7,38.5,1.001,1.114,0.729,0.694,10.3,22,0,22,0
5.0,28.203,334.41,29.262,43,43.247,46,48.318,28,25,38.0,18,19,3,4,7.777,44.2,41.9,1.006,1.124,0.681,0.656,9.3,16,0,17,0
5.0,33.268,426.92,34.375,50,50.843,53,56.805,33,30,44.0,20,21,6,6,8.538,42.0,40.0,1.017,1.136,0.688,0.665,12.0,22,0,22,0
5.0,29.597,350.42,30.711,45,45.323,47,50.492,28,26,38.0,19,21,6,2,7.787,46.7,42.2,1.007,1.122,0.682,0.658,4.4,18,0,19,0
5.0,23.983,283.37,25.051,38,38.138,41,43.192,24,21,31.5,17,15,3,5,7.457,39.5,44.7,1.004,1.137,0.659,0.631,13.2,15,0,15,0
5.0,25.751,303.41,27.029,43,43.232,45,49.232,24,22,30.0,21,15,3,5,7.056,34.9,48.8,1.005,1.145,0.629,0.599,11.6,10,0,11,0
5.0,26.906,346.46,28.159,42,42.643,44,47.82,26,24,36.0,18,15,5,6,8.249,35.7,42.9,1.015,1.139,0.67,0.641,14.3,16,0,18,0
5.0,32.165,410.43,32.381,47,48.341,50,53.543,33,30,45.0,17,22,3,4,8.733,46.8,36.2,1.029,1.139,0.689,0.684,8.5,22,0,23,0
5.0,38.756,523.55,38.972,54,56.032,58,61.301,41,37,56.0,17,26,4,5,9.695,48.1,31.5,1.038,1.135,0.722,0.718,9.3,28,0,29,0
5.0,25.773,290.4,27.353,40,39.592,43,44.9,25,22,35.0,18,18,2,4,7.26,45.0,45.0,0.99,1.122,0.684,0.644,10.0,20,0,20,0
5.0,43.034,525.69,45.211,65,65.28,69,72.979,42,38,57.5,27,28,6,7,8.088,43.1,41.5,1.004,1.123,0.696,0.662,10.8,27,0,29,0
5.0,21.735,286.74,22.381,31,31.593,33,34.807,22,20,30.5,11,14,1,4,9.25,45.2,35.5,1.019,1.123,0.722,0.701,12.9,11,0,13,0
5.0,34.433,432.55,35.921,51,51.527,54,57.235,34,31,47.0,20,22,4,6,8.481,43.1,39.2,1.01,1.122,0.704,0.675,11.8,22,0,24,0
5.0,30.74,346.46,32.534,48,47.694,50,53.567,28,26,38.0,22,22,5,2,7.218,45.8,45.8,0.994,1.116,0.678,0.64,4.2,18,0,19,0
5.0,22.413,263.32,23.279,33,33.051,35,36.78,22,20,31.5,13,16,2,3,7.979,48.5,39.4,1.002,1.115,0.705,0.679,9.1,17,0,18,0
5.4,36.101,458.56,37.404,52,52.712,56,58.365,37,33,51.5,19,24,4,6,8.818,46.2,36.5,1.014,1.122,0.719,0.694,11.5,27,0,28,0
5.0,18.58,226.25,18.966,27,27.393,29,30.076,19,17,27.0,10,13,1,2,8.38,48.1,37.0,1.015,1.114,0.702,0.688,7.4,16,0,16,0
5.0,27.412,339.39,27.96,42,42.793,45,47.611,28,25,37.5,17,17,3,5,8.081,40.5,40.5,1.019,1.134,0.666,0.653,11.9,15,0,17,0
5.0,25.535,326.4,26.591,37,37.564,39,41.036,25,23,34.0,14,17,3,2,8.822,45.9,37.8,1.015,1.109,0.719,0.69,5.4,12,0,15,0
5.0,23.46,345.22,24.637,34,34.382,36,38.12,23,21,32.0,13,15,3,4,10.154,44.1,38.2,1.011,1.121,0.725,0.69,11.8,16,0,17,1
