pXC50,PDI,P_VSA_MR_6,P_VSA_MR_5,P_VSA_MR_3,SpDiam_EA.ed.,P_VSA_e_5,MATS2i,Eta_betaP_A,TPSA.Tot.,LOC,Eig01_AEA.ri.,SpMax_AEA.ri.,Eta_beta_A,ATSC8s,SM13_EA.ed.,ATSC8e,SM14_EA.ri.,SM15_EA.ri.,O.,ATSC1s,P_VSA_m_3,JGI2,ATSC4e,Mp,ATSC2e,ATSC4s,ATS3s,ATSC3e,GGI2,P_VSA_p_2,nO,ATSC7s,P_VSA_v_2,SAacc,DLS_06,SM07_EA.ri.,SM08_EA.ri.,SM09_EA.ri.,SM10_EA.ri.,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,ATSC5s,DELS,Eig02_AEA.dm.,MCD,PCR,ATSC3s,Eig02_EA.ed.,SM11_AEA.dm.,ATSC7e,SpDiam_AEA.ri.,ARR,TPSA.NO.,Eig02_AEA.ed.,SpMax2_Bh.s.,ATSC1e,MATS7v,ATSC2s,SpMax1_Bh.s.,MATS7m,IC1,ALOGP,GNar,JGI6,X0A,AAC,IC0,Eig01_AEA.ed.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_AEA.ed.,SpMax_EA,SaaNH,MAXDP,SpMax5_Bh.s.,SpMax3_Bh.s.,DLS_07,nHet,Eig01_AEA.dm.,SpMax_AEA.dm.,MAXDN,Eta_sh_y,GGI3,D.Dtr05,MATS4v,GATS8s,AECC,ALOGP2,AMR,AMW,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1i,ATSC1m,ATSC1p,ATSC1v,ATSC2i,ATSC2m,ATSC2p,ATSC2v,ATSC3i,ATSC3m,ATSC3p,ATSC3v,ATSC4i,ATSC4m,ATSC4p,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7i,ATSC7m,ATSC7p,ATSC7v,ATSC8i,ATSC8m,ATSC8p,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.007,C.008,C.010,C.013,C.016,C.017,C.018,C.020,C.024,C.025,C.026,C.027,C.028,C.029,C.030,C.031,C.032,C.033,C.034,C.035,C.039,C.040,C.041,C.042,C.043,C.044,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_AN,CATS2D_01_DA,CATS2D_01_DN,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_AP,CATS2D_02_DA,CATS2D_02_DD,CATS2D_02_DL,CATS2D_02_DP,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AP,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DP,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AP,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DN
6.569,1.0,91.55,32.188,0.0,18.027,42.683,0.141,0.789,87.82,0.644,4.138,4.138,1.447,24.925,31.032,0.187,15.78,16.868,3.0,10.479,42.683,0.067,0.275,0.675,0.164,38.733,5.385,0.177,2.0,125.937,1,15.894,125.937,109.152,1.0,8.145,9.373,10.314,11.461,12.488,13.605,14.673,27.622,16.071,2.893,0.789,1.473,18.841,7.837,7.837,0.085,5.21,0.762,87.82,5.716,5.214,0.059,0.039,19.28,6.476,0.187,3.75,3.28,2.081,0.019,0.706,1.571,1.571,6.706,3.177,3.177,5.177,6.706,3.177,2.988,3.713,4.155,4.824,1.0,5,3.291,3.291,1.78,0.392,1.569,36.203,-0.014,1.683,7.368,10.76,74.869,7.707,3.621,3.748,3.209,3.158,4.818,3.155,4.08,4.245,3.58,3.544,5.274,3.515,4.266,4.447,3.566,3.625,3.565,4.363,4.599,3.446,3.559,5.475,3.475,4.204,4.428,3.229,3.432,5.23,3.325,4.176,4.448,3.103,3.303,5.152,3.204,3.941,4.189,3.043,3.13,4.998,3.048,3.818,4.067,2.704,2.872,4.949,2.789,0.52,6.494,2.623,3.39,0.801,11.047,4.649,6.256,0.915,13.768,5.452,7.43,0.902,17.389,5.91,8.444,0.166,0.785,14.347,5.324,7.403,0.232,0.736,15.312,4.547,31.769,6.718,0.595,11.392,3.978,5.815,0.506,10.394,2.711,3.882,10,30,0.29,0.691,0.825,0.87,0.881,0.881,3.011,0.859,-3.41,-3.39,-3.24,42.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,9,0,1,1,2,3,0,1,0,11,0,0,0,1,0,2,1,1,0,9,0,0,0,2,0,1,1,3,0
6.602,1.001,85.89,23.363,0.0,18.028,42.683,0.115,0.75,87.82,0.68,4.138,4.138,1.425,27.902,31.056,0.291,15.745,16.835,3.3,14.924,42.683,0.083,0.447,0.741,0.237,47.474,5.502,0.392,2.667,125.937,1,25.019,125.937,109.152,1.0,8.098,9.331,10.269,11.42,12.446,13.566,14.635,40.028,22.444,3.26,0.75,1.466,30.939,8.378,8.378,0.305,5.21,0.727,87.82,5.959,5.215,0.139,0.371,20.735,6.476,0.306,3.99,4.123,2.048,0.022,0.714,1.863,1.863,6.706,3.178,3.178,5.178,6.706,3.178,2.94,3.711,4.491,5.039,1.0,7,3.345,3.345,1.826,0.406,1.632,39.485,-0.086,1.896,8.05,16.997,79.438,10.306,3.56,3.662,3.378,3.156,4.827,3.16,4.005,4.126,3.812,3.562,5.318,3.539,4.219,4.364,3.981,3.664,3.604,4.237,4.427,3.644,3.528,5.489,3.458,4.094,4.287,3.402,3.387,5.229,3.296,4.021,4.231,3.375,3.286,5.174,3.205,3.863,4.083,3.492,3.133,5.094,3.063,3.574,3.72,3.33,2.861,5.008,2.808,0.46,2.952,2.134,2.061,0.703,5.487,3.776,4.317,0.792,14.79,5.092,5.536,0.763,15.484,5.394,6.058,0.359,0.667,13.933,4.965,5.63,0.369,0.621,12.645,4.108,38.067,4.273,0.474,13.774,4.145,5.117,0.327,9.05,2.607,2.322,17,32,0.35,0.75,0.842,0.884,0.897,0.897,3.058,0.895,-4.2,-4.14,-3.91,43.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,5,0,1,1,2,3,0,1,0,7,0,0,0,1,0,2,1,1,0,9,0,0,0,2,0,1,1,3,0
7.461,1.003,69.404,88.239,0.0,18.025,25.145,0.07,0.556,79.51,0.584,4.15,4.15,1.222,25.003,31.027,0.141,15.888,16.994,3.1,8.85,25.145,0.063,0.327,0.665,0.173,49.534,5.433,0.257,1.778,110.849,1,20.258,110.849,110.849,1.0,8.132,9.378,10.337,11.499,12.545,13.678,14.764,36.609,16.51,3.241,0.833,1.278,32.93,7.693,7.693,0.123,5.222,0.3,79.51,5.696,5.129,0.049,0.143,22.894,7.43,0.235,3.528,0.62,2.12,0.017,0.696,1.581,1.581,6.705,3.177,3.177,5.177,6.705,3.177,0.0,4.681,4.068,4.763,1.0,5,3.853,3.853,1.879,0.356,1.257,33.65,0.005,1.679,7.278,0.384,67.297,7.572,3.59,3.727,3.167,3.117,4.728,3.111,4.102,4.267,3.537,3.532,5.237,3.492,4.385,4.601,3.527,3.631,3.553,4.402,4.655,3.389,3.522,5.514,3.428,4.2,4.45,3.17,3.354,5.21,3.247,4.091,4.339,3.023,3.241,5.116,3.141,3.968,4.254,2.873,3.048,4.963,2.932,3.631,3.892,2.502,2.633,4.842,2.546,0.517,6.475,2.508,3.432,0.819,11.53,4.648,6.365,0.968,17.039,5.865,8.392,0.89,18.882,5.843,8.648,0.203,0.732,15.307,5.209,7.501,0.202,0.681,13.449,3.952,30.454,5.9,0.558,12.569,3.999,6.121,0.383,8.919,2.398,3.568,5,28,0.297,0.663,0.785,0.853,0.869,0.869,2.961,0.881,-2.69,-2.7,-2.63,40.6,0,1,0,0,0,0,0,2,0,0,0,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,8,0,1,0,1,2,1,2,1,9,0,0,0,0,0,2,1,2,0,7,0,0,0,2,1,2,0,3,0
7.197,0.988,69.066,36.902,0.0,18.626,42.683,0.352,0.667,141.56,0.662,4.182,4.182,1.389,16.841,31.584,0.163,15.491,16.579,3.3,16.738,42.683,0.069,0.455,0.681,0.313,45.165,5.346,0.346,2.0,163.184,1,29.515,163.184,163.184,0.67,7.91,9.096,10.057,11.179,12.217,13.32,14.392,45.978,18.925,2.872,0.778,1.3,25.452,8.106,8.106,0.29,5.28,0.55,113.32,5.902,5.199,0.136,0.203,23.044,6.475,0.307,4.07,1.908,2.086,0.017,0.705,1.849,1.849,6.838,3.256,3.256,5.256,6.838,3.256,0.0,3.701,4.505,5.024,0.5,8,3.525,3.525,1.846,0.397,1.736,75.779,-0.138,1.118,6.5,3.641,73.979,8.812,3.572,3.707,3.318,3.057,4.791,3.054,4.039,4.207,3.722,3.458,5.288,3.421,4.216,4.415,3.602,3.448,3.406,4.259,4.477,3.586,3.433,5.481,3.374,4.219,4.446,3.607,3.409,5.41,3.322,4.127,4.349,3.27,3.299,5.319,3.177,3.928,4.225,3.028,2.96,4.94,2.802,3.409,3.677,2.3,2.403,4.545,2.254,0.538,5.717,2.223,2.546,0.821,11.1,4.246,4.955,0.854,16.961,4.584,5.775,0.821,14.407,4.593,6.134,0.425,0.8,17.945,4.679,6.154,0.377,0.703,16.478,4.607,45.908,5.367,0.489,15.743,3.784,5.471,0.269,10.936,2.758,3.386,10,29,0.354,0.778,0.887,0.9,0.9,0.9,2.962,0.931,-3.5,-3.47,-3.32,33.3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,2,0,3,5,1,0,1,2,0,0,0,2,0,2,1,0,0,0,0,0,1,1,2,4,1,0,0
6.18,0.984,104.491,23.363,0.0,18.027,53.683,0.166,0.775,97.05,0.843,4.138,4.138,1.45,22.153,31.036,0.19,15.766,16.855,5.9,11.825,53.683,0.065,0.333,0.669,0.262,39.334,5.428,0.266,2.0,136.937,2,25.861,136.937,120.151,1.0,8.126,9.358,10.296,11.445,12.471,13.589,14.657,34.97,18.779,2.958,0.75,1.468,21.958,7.941,7.941,0.293,5.21,0.727,97.05,5.73,5.214,0.095,0.327,24.355,6.476,0.452,3.912,2.778,2.077,0.018,0.706,1.658,1.658,6.706,3.178,3.178,5.178,6.706,3.178,2.971,3.731,4.373,4.875,1.0,6,3.293,3.293,1.801,0.378,1.569,38.933,-0.134,1.661,8.05,7.715,76.291,7.951,3.665,3.781,3.274,3.154,4.892,3.173,4.123,4.275,3.627,3.524,5.347,3.521,4.272,4.439,3.634,3.608,3.578,4.357,4.562,3.532,3.576,5.529,3.519,4.301,4.525,3.324,3.484,5.329,3.394,4.206,4.447,3.195,3.351,5.232,3.266,4.095,4.363,3.174,3.162,5.14,3.096,3.792,3.985,2.928,2.906,5.013,2.878,0.528,6.46,2.685,3.285,0.796,11.5,4.62,5.819,0.897,13.478,5.261,6.816,0.897,16.234,5.664,7.734,0.308,0.823,16.224,5.719,7.788,0.275,0.756,14.836,4.587,32.551,6.544,0.618,14.622,4.526,6.737,0.489,9.172,2.749,3.598,11,31,0.304,0.717,0.842,0.885,0.885,0.885,3.058,0.835,-2.9,-2.91,-2.81,41.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,6,0,1,3,2,3,0,1,0,7,0,0,0,3,0,2,1,1,0,5,0,0,0,4,0,1,1,3,0
8.444,0.926,36.083,56.777,74.264,22.49,137.21,-0.044,0.477,167.19,1.945,4.618,4.618,1.17,105.147,34.684,0.771,17.491,18.71,11.1,72.321,167.13,0.114,1.305,0.638,1.001,185.928,6.415,1.626,4.0,238.475,4,115.04,268.395,251.609,0.67,9.033,10.271,11.432,12.649,13.845,15.061,16.272,138.648,51.479,3.266,0.409,1.328,278.75,10.847,10.847,0.8,5.69,0.435,157.38,6.701,7.999,0.453,0.199,165.946,8.36,0.114,4.163,-1.286,1.873,0.023,0.752,2.166,2.166,8.099,3.682,3.682,5.682,8.099,3.682,2.384,5.074,6.433,7.461,0.5,12,4.216,4.216,6.278,0.252,1.694,51.371,-0.086,1.181,9.182,1.653,69.988,9.368,3.737,3.857,3.616,3.167,5.018,3.168,4.261,4.402,4.013,3.51,6.014,3.534,4.545,4.725,3.971,3.544,3.575,4.513,4.743,3.663,3.474,5.923,3.444,4.332,4.551,3.415,3.345,5.631,3.268,4.263,4.512,3.276,3.241,5.521,3.149,4.13,4.371,3.336,3.125,5.431,3.068,3.994,4.193,3.578,3.035,5.664,3.034,0.659,8.253,3.365,2.948,1.167,15.737,5.984,5.485,0.965,21.574,6.028,6.469,0.818,23.949,5.764,6.974,0.965,0.694,17.805,5.277,6.482,0.949,0.643,19.33,5.016,135.41,5.687,0.66,16.006,4.302,4.939,0.672,14.113,3.639,3.835,56,35,0.399,0.767,0.881,0.881,0.881,0.881,3.146,1.003,-0.55,-0.67,-0.81,27.8,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2,0,0,0,2,1,4,3,2,1,0,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,3,1,3,1
7.201,0.932,13.323,66.758,85.264,22.698,130.672,0.04,0.36,140.14,1.237,4.629,4.629,1.07,133.411,34.739,1.172,17.548,18.764,11.9,64.213,160.592,0.108,1.519,0.642,1.172,211.419,6.481,1.806,4.444,184.153,5,187.448,214.073,212.174,0.83,9.142,10.379,11.521,12.732,13.917,15.127,16.332,203.097,59.632,3.627,0.6,1.209,305.7,10.799,10.799,1.488,5.708,0.185,130.33,6.69,7.999,0.421,-0.092,180.094,8.36,-0.092,4.035,-0.71,1.973,0.019,0.73,2.078,2.078,8.105,3.692,3.692,5.692,8.105,3.692,0.0,5.792,6.433,7.461,1.0,12,4.221,4.221,6.335,0.256,1.757,49.481,0.003,0.997,8.92,0.504,80.841,9.007,3.885,3.99,3.739,3.347,5.054,3.341,4.498,4.64,4.139,3.748,6.08,3.756,4.811,4.994,4.127,3.884,3.861,4.858,5.098,3.922,3.884,6.003,3.8,4.798,5.037,3.977,3.855,5.949,3.768,4.811,5.014,4.026,3.764,6.238,3.738,4.659,4.849,3.829,3.591,6.088,3.566,4.431,4.659,3.78,3.353,5.953,3.334,0.755,9.387,4.36,4.079,1.381,20.417,7.727,7.402,1.346,28.313,9.47,10.745,1.359,33.021,9.879,11.816,1.411,1.399,33.904,10.461,11.205,1.992,1.193,37.361,9.191,257.897,8.794,0.973,24.861,6.859,7.844,0.896,23.447,5.314,6.418,40,41,0.369,0.717,0.848,0.89,0.89,0.89,3.268,1.022,-2.31,-2.35,-2.31,31.0,0,2,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,2,3,0,2,3,0,4,1,0,0,3,1,0,2,3,0,1,0,2,0,0,1,0,3,6,0,1,0,2,0
7.387,0.832,3.186,56.751,128.05,19.313,170.733,-0.079,0.447,134.52,0.92,4.261,4.261,1.158,62.307,32.024,0.485,16.381,17.512,12.1,33.793,170.733,0.1,0.891,0.626,0.407,114.393,5.849,0.803,3.111,239.101,4,72.479,239.101,222.315,0.83,8.473,9.687,10.727,11.885,12.981,14.122,15.242,98.113,34.205,3.14,0.737,1.312,99.354,10.105,10.105,0.599,5.333,0.476,134.52,6.528,6.473,0.243,-0.192,54.314,6.498,-0.117,3.885,-1.958,2.05,0.023,0.714,1.791,1.791,6.923,3.297,3.297,5.297,6.923,3.297,2.528,4.01,5.035,6.452,1.0,8,3.536,3.536,2.405,0.474,2.174,79.738,-0.022,1.243,7.105,3.834,62.346,8.069,3.671,3.779,3.257,3.046,4.916,3.099,4.185,4.323,3.667,3.494,5.379,3.521,4.512,4.7,3.782,3.599,3.602,4.553,4.766,3.639,3.542,5.847,3.527,4.407,4.633,3.418,3.378,5.681,3.335,4.17,4.395,3.271,3.137,5.457,3.122,4.016,4.234,3.053,2.863,5.452,2.861,3.709,3.945,2.461,2.437,5.098,2.379,0.505,6.811,2.421,3.13,0.808,11.91,4.18,5.663,0.891,19.688,5.562,8.087,0.84,22.163,5.52,8.172,0.762,0.708,19.444,4.782,7.476,0.567,0.555,15.045,3.626,60.43,5.637,0.418,13.156,2.656,4.288,0.257,10.436,2.055,3.278,18,31,0.337,0.73,0.887,0.925,0.936,0.936,3.012,0.839,0.52,0.34,0.1,33.3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,2,4,1,0,0,0,0,0,0,0,3,1,3,0
6.859,0.966,32.897,29.447,0.0,16.976,42.683,0.256,0.818,100.71,0.762,3.996,3.996,1.591,0.0,30.042,0.0,14.718,15.76,6.3,15.355,42.683,0.078,0.265,0.655,0.209,29.218,4.892,0.263,1.333,142.723,1,2.87,142.723,125.937,1.0,7.362,8.53,9.464,10.56,11.562,12.63,13.661,25.174,13.489,2.26,0.818,1.399,25.101,5.964,5.964,0.024,5.068,0.833,100.71,5.059,5.244,0.142,1.934,16.147,6.474,2.126,3.406,-0.448,2.043,0.0,0.713,1.823,1.823,6.486,3.061,3.061,5.061,6.486,3.061,2.419,3.163,3.854,4.946,1.0,6,3.138,3.138,1.773,0.414,0.875,17.623,-0.208,0.0,4.091,0.201,35.047,9.447,3.007,3.143,2.729,2.337,4.407,2.45,3.373,3.531,3.098,2.663,4.852,2.754,3.423,3.599,2.957,2.542,2.644,3.317,3.521,2.722,2.318,4.926,2.368,2.976,3.23,1.604,1.809,4.241,1.725,2.273,2.634,0.399,1.117,2.944,0.877,1.02,1.365,0.014,0.255,1.099,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.271,2.271,0.575,0.71,0.375,3.456,1.291,1.611,0.31,4.239,0.949,1.222,0.213,4.796,1.247,1.901,0.221,0.106,3.993,0.708,0.985,0.096,0.033,3.074,0.516,10.295,1.051,0.003,0.987,0.151,0.341,0.0,0.0,0.0,0.0,5,17,0.409,0.764,0.869,0.869,0.869,0.869,2.529,0.731,-1.31,-1.39,-1.46,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,1,2,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,4,1,0,0
10.377,0.824,2.757,47.581,128.05,19.313,170.733,-0.208,0.447,147.41,0.92,4.256,4.256,1.158,61.058,32.024,0.461,16.315,17.441,12.5,37.471,170.733,0.1,1.024,0.622,0.458,124.069,5.837,0.842,3.111,255.641,4,76.937,255.641,238.978,0.67,8.444,9.655,10.689,11.842,12.932,14.068,15.183,108.025,34.836,3.14,0.737,1.312,100.743,10.105,10.105,0.614,5.328,0.476,147.41,6.528,6.476,0.284,-0.181,61.958,6.499,-0.119,3.867,-1.323,2.05,0.023,0.714,1.846,1.846,6.923,3.297,3.297,5.297,6.923,3.297,2.664,3.982,5.105,6.452,0.5,9,3.536,3.536,2.446,0.48,2.174,79.738,-0.036,1.267,7.105,1.751,62.87,8.352,3.656,3.767,3.268,2.998,4.931,3.068,4.163,4.303,3.675,3.435,5.399,3.483,4.475,4.663,3.792,3.534,3.556,4.536,4.752,3.664,3.459,5.867,3.469,4.397,4.632,3.427,3.306,5.694,3.289,4.152,4.379,3.278,3.087,5.476,3.091,3.965,4.176,3.045,2.81,5.456,2.826,3.581,3.804,2.436,2.323,5.065,2.297,0.496,6.324,2.209,2.82,0.777,11.014,3.601,5.05,0.823,18.315,4.985,7.369,0.76,21.703,4.606,7.308,0.888,0.641,19.594,3.91,6.642,0.647,0.503,14.728,3.123,66.582,5.073,0.361,12.221,2.395,3.873,0.201,8.921,1.685,2.713,18,31,0.349,0.732,0.882,0.922,0.934,0.934,3.012,0.82,0.33,0.17,-0.06,31.3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,4,3,0,0
8.365,0.936,6.604,93.005,74.264,22.49,119.672,-0.001,0.409,156.93,1.945,4.618,4.618,1.114,111.351,34.684,0.802,17.472,18.692,11.1,71.828,149.592,0.114,1.29,0.638,1.026,203.154,6.424,1.675,4.0,206.05,4,126.839,235.97,234.071,0.83,9.016,10.252,11.411,12.628,13.824,15.04,16.252,171.513,53.109,3.661,0.409,1.235,294.801,10.847,10.847,0.862,5.691,0.217,147.12,6.701,7.999,0.426,0.125,174.665,8.36,0.109,4.072,-0.253,1.873,0.023,0.752,2.166,2.166,8.099,3.682,3.682,5.682,8.099,3.682,0.0,5.099,6.433,7.461,0.5,12,4.216,4.216,6.253,0.242,1.694,51.371,-0.054,1.168,9.182,0.064,70.362,9.368,3.729,3.85,3.62,3.166,4.984,3.164,4.289,4.439,4.022,3.516,6.023,3.535,4.58,4.773,3.972,3.565,3.585,4.518,4.748,3.645,3.504,5.897,3.46,4.377,4.608,3.403,3.379,5.627,3.302,4.287,4.518,3.303,3.255,5.57,3.178,4.17,4.409,3.365,3.139,5.502,3.071,4.015,4.229,3.577,3.016,5.68,3.022,0.656,7.943,3.374,3.054,1.164,16.387,6.224,5.787,0.972,23.396,6.383,7.107,0.871,23.959,6.486,7.231,1.069,0.729,20.771,5.65,6.398,1.019,0.613,19.297,4.585,154.214,5.62,0.665,16.587,4.43,5.225,0.665,15.16,3.498,3.795,56,35,0.4,0.753,0.825,0.874,0.874,0.874,3.146,1.027,-2.17,-2.21,-2.19,27.8,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,2,2,0,2,1,1,5,2,0,1,1,1,0,2,2,0,1,0,2,0,0,1,0,2,4,2,3,0,2,0
8.259,0.922,36.083,42.158,74.264,22.49,137.21,-0.033,0.477,155.16,1.945,4.618,4.618,1.148,107.876,34.684,0.78,17.495,18.713,10.8,72.285,167.13,0.114,1.196,0.641,0.961,195.268,6.415,1.62,4.0,220.464,4,122.757,250.384,233.599,0.67,9.035,10.278,11.435,12.654,13.849,15.065,16.276,162.337,51.825,3.261,0.409,1.328,287.258,10.847,10.847,0.786,5.69,0.435,145.35,6.701,7.999,0.414,0.141,171.835,8.36,0.111,3.959,1.024,1.873,0.023,0.752,2.111,2.111,8.099,3.682,3.682,5.682,8.099,3.682,2.404,5.114,6.433,7.461,0.5,11,4.216,4.216,6.238,0.25,1.694,51.371,-0.071,1.101,9.182,1.048,72.607,9.088,3.748,3.862,3.609,3.219,5.001,3.202,4.286,4.425,4.009,3.574,6.007,3.573,4.593,4.783,3.965,3.621,3.621,4.548,4.777,3.631,3.575,5.872,3.512,4.416,4.642,3.407,3.455,5.642,3.355,4.328,4.565,3.271,3.323,5.552,3.222,4.201,4.445,3.345,3.189,5.476,3.113,4.058,4.277,3.579,3.062,5.678,3.047,0.679,8.821,3.804,3.405,1.217,16.723,6.861,6.478,1.066,23.984,7.085,7.773,0.969,24.756,7.176,8.066,0.989,0.811,21.289,6.466,7.328,0.947,0.718,20.533,5.645,152.008,6.334,0.699,17.493,4.886,5.7,0.717,16.266,3.95,4.392,56,35,0.387,0.725,0.828,0.875,0.875,0.875,3.146,1.041,-1.57,-1.64,-1.68,29.7,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2,4,0,0,2,1,4,3,0,1,3,1,0,1,3,0,2,0,2,0,2,1,0,0,3,0,1,1,5,0
8.244,0.92,36.083,44.693,74.264,22.49,137.21,-0.039,0.457,155.16,2.096,4.618,4.618,1.12,108.265,34.684,0.697,17.495,18.713,10.0,69.331,167.13,0.111,1.169,0.637,0.956,190.94,6.435,1.634,4.0,220.464,4,144.881,250.384,233.599,0.67,9.035,10.28,11.435,12.655,13.849,15.066,16.276,159.679,52.127,3.261,0.391,1.322,290.101,10.847,10.847,0.893,5.69,0.417,145.35,6.701,7.999,0.393,-0.007,171.862,8.36,-0.143,3.854,1.48,1.879,0.019,0.75,2.059,2.059,8.099,3.682,3.682,5.682,8.099,3.682,2.436,5.1,6.433,7.461,0.5,11,4.216,4.216,6.213,0.238,1.694,55.325,-0.054,0.996,10.0,2.19,77.208,8.758,3.814,3.932,3.64,3.287,5.036,3.262,4.361,4.509,4.033,3.646,6.029,3.63,4.674,4.876,3.991,3.7,3.681,4.633,4.87,3.666,3.659,5.906,3.579,4.511,4.748,3.452,3.548,5.685,3.433,4.432,4.68,3.322,3.429,5.59,3.311,4.33,4.583,3.255,3.301,5.521,3.193,4.174,4.411,3.345,3.177,5.468,3.107,0.718,9.97,4.117,3.963,1.277,18.798,7.414,7.422,1.145,27.028,7.791,9.076,1.047,27.449,7.872,9.347,0.971,0.887,24.042,7.173,8.601,0.937,0.794,23.176,6.351,152.999,7.601,0.711,22.04,5.783,6.754,0.701,16.738,4.706,5.461,57,36,0.371,0.694,0.796,0.859,0.877,0.877,3.187,1.06,-1.84,-1.9,-1.91,30.0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2,5,0,0,2,1,4,3,0,1,4,1,0,1,3,0,2,0,2,0,3,1,0,0,3,0,1,1,5,0
