pXC50,MW,Si,nAT,nSK,nBT,Sv,nC,nBO,nH,Sp,Se,SCBO,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM,nBR,nCL,nCsp,nCsp2,nCsp3,nDB,nF
5.0,587.76,80.394,72,43,78,48.561,33,49,29,50.972,72.163,66.5,8.163,45.8,40.3,1.002,1.117,0.708,0.674,9.7,33,0,34,0,0,0,28,5,1,0
6.7,349.22,31.838,29,20,31,21.792,14,22,9,22.966,29.698,31.0,12.042,48.3,31.0,1.024,1.098,0.792,0.751,6.9,16,0,17,1,0,0,14,0,1,0
5.7,503.02,69.935,61,35,65,39.427,25,39,26,40.841,62.076,48.0,8.246,41.0,42.6,1.018,1.146,0.67,0.646,9.8,18,0,18,0,1,0,16,9,0,3
7.0,471.0,66.18,58,33,62,37.517,24,37,25,39.142,58.68,46.0,8.121,41.4,43.1,1.012,1.141,0.675,0.647,10.3,18,0,18,0,1,0,16,8,0,2
5.1,392.67,40.656,37,25,40,27.621,19,28,12,28.818,37.913,37.5,10.613,51.4,32.4,1.025,1.099,0.779,0.747,2.7,17,0,18,0,3,0,16,3,1,0
5.0,485.99,66.971,59,34,62,38.257,24,37,25,39.563,60.047,47.5,8.237,40.7,42.4,1.018,1.135,0.671,0.648,8.5,17,0,19,0,1,0,17,7,2,1
6.0,251.31,35.78,32,19,34,21.413,15,21,13,22.279,32.051,29.5,7.853,46.9,40.6,1.002,1.118,0.696,0.669,9.4,17,0,17,0,0,0,14,1,0,0
4.8,188.27,23.162,21,13,23,14.81,10,15,8,15.943,20.931,20.5,8.965,47.6,38.1,0.997,1.103,0.759,0.705,9.5,11,0,11,0,0,0,9,1,0,0
8.0,390.44,53.109,47,29,50,31.434,20,32,18,31.966,47.894,44.0,8.307,42.6,38.3,1.019,1.13,0.68,0.669,12.8,22,0,23,0,0,0,18,2,1,0
5.3,436.28,41.268,37,28,40,29.022,19,31,9,29.517,38.8,42.0,11.791,51.4,24.3,1.049,1.115,0.798,0.784,8.1,12,0,17,0,2,0,19,0,5,2
5.0,413.86,46.573,41,27,43,28.677,17,29,14,29.091,42.898,40.0,10.094,41.5,34.1,1.046,1.136,0.71,0.699,7.3,16,0,19,0,1,0,14,3,3,2
5.0,388.41,52.622,46,28,49,30.211,19,31,18,30.353,47.483,39.0,8.444,41.3,39.1,1.032,1.144,0.66,0.657,8.7,12,0,14,0,0,0,13,6,2,2
5.6,278.34,39.279,35,21,38,23.434,16,24,14,24.284,35.153,34.0,7.953,45.7,40.0,1.004,1.122,0.694,0.67,11.4,20,0,20,0,0,0,14,2,0,0
5.0,359.45,43.654,39,26,43,27.917,18,30,13,28.972,39.44,43.0,9.217,46.2,33.3,1.011,1.119,0.743,0.716,17.9,26,0,26,0,0,0,17,1,0,0
6.1,440.5,63.402,56,32,58,35.642,22,34,24,36.364,57.207,46.0,7.866,39.3,42.9,1.022,1.132,0.649,0.636,7.1,16,0,20,0,0,0,15,7,4,0
5.0,586.69,82.438,74,44,82,49.508,35,52,30,51.193,74.531,69.0,7.928,47.3,40.5,1.007,1.114,0.692,0.669,5.4,30,0,32,0,0,0,26,9,2,0
7.9,440.46,59.153,52,32,54,34.105,20,34,20,34.091,53.76,46.0,8.47,38.5,38.5,1.034,1.138,0.656,0.656,11.5,18,0,21,0,0,0,17,3,3,0
6.097,308.38,44.275,39,23,42,25.477,16,26,16,26.296,39.356,36.0,7.907,41.0,41.0,1.009,1.135,0.674,0.653,15.4,20,0,20,0,0,0,13,3,0,0
6.9,401.53,53.527,48,29,52,32.697,22,33,19,34.461,48.098,45.0,8.365,45.8,39.6,1.002,1.115,0.718,0.681,10.4,22,0,23,0,0,0,19,3,1,0
5.796,562.79,94.301,83,41,87,49.47,31,45,42,52.557,82.825,54.5,6.781,37.3,50.6,0.998,1.136,0.633,0.596,7.2,17,0,18,0,0,0,15,16,1,0
5.0,519.52,65.876,58,38,61,40.142,27,41,20,40.057,59.981,56.5,8.957,46.6,34.5,1.034,1.136,0.691,0.692,8.6,17,0,22,0,0,2,20,5,3,3
5.699,524.76,82.766,73,37,76,44.362,27,40,36,47.466,72.923,51.0,7.188,37.0,49.3,0.999,1.134,0.65,0.608,8.2,18,0,20,0,0,0,16,11,2,0
5.0,386.51,51.029,46,28,49,31.675,22,31,18,33.455,45.996,44.0,8.402,47.8,39.1,1.0,1.109,0.727,0.689,8.7,22,0,24,0,0,0,21,1,2,0
6.48,347.47,46.531,42,25,45,28.654,20,28,17,30.449,41.894,39.0,8.273,47.6,40.5,0.997,1.108,0.725,0.682,7.1,22,0,22,0,0,0,18,2,0,0
7.538,389.51,52.155,47,28,51,31.895,22,32,19,33.665,47.105,43.0,8.287,46.8,40.4,1.002,1.11,0.716,0.679,6.4,22,0,22,0,0,0,18,4,0,0
5.0,407.53,55.78,50,29,53,33.137,22,32,21,34.881,50.316,43.0,8.151,44.0,42.0,1.006,1.116,0.698,0.663,6.0,22,0,22,0,0,0,18,4,0,0
5.0,361.45,45.325,41,26,45,28.842,20,30,15,30.142,41.338,41.0,8.816,48.8,36.6,1.008,1.105,0.735,0.703,7.3,22,0,22,0,0,0,18,2,0,0
6.64,377.43,52.654,47,28,50,31.138,21,31,19,31.926,47.683,42.5,8.03,44.7,40.4,1.015,1.12,0.679,0.663,6.4,21,0,22,0,0,0,17,4,1,0
5.25,464.86,54.906,48,32,50,33.422,21,34,16,33.148,50.32,45.0,9.685,43.8,33.3,1.048,1.144,0.691,0.696,8.3,18,0,20,0,1,0,19,2,2,3
7.046,347.45,52.651,47,26,51,30.235,21,30,21,31.779,46.912,38.5,7.393,44.7,44.7,0.998,1.12,0.676,0.643,6.4,17,0,17,0,0,0,14,7,0,0
7.377,359.41,49.03,44,27,48,29.896,21,31,17,30.71,44.473,42.0,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,22,0,22,0,0,0,18,3,0,0
7.444,359.41,49.03,44,27,48,29.896,21,31,17,30.71,44.473,42.0,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,22,0,22,0,0,0,18,3,0,0
5.0,315.41,45.983,41,24,44,27.268,19,27,17,28.597,40.811,38.0,7.693,46.3,41.5,0.995,1.122,0.697,0.665,12.2,22,0,22,0,0,0,17,2,0,0
8.4,332.84,39.143,35,22,37,24.449,15,24,13,25.79,35.553,32.5,9.51,42.9,37.1,1.016,1.118,0.737,0.699,11.4,17,0,17,0,1,0,13,2,0,0
5.0,220.25,27.824,25,17,27,18.139,13,19,8,18.546,25.174,29.0,8.81,52.0,32.0,1.007,1.113,0.742,0.726,16.0,16,0,17,0,0,1,12,0,0,0
5.0,370.51,49.82,45,27,49,30.96,22,31,18,33.0,44.669,44.0,8.234,48.9,40.0,0.993,1.107,0.733,0.688,8.9,26,0,26,0,0,0,20,2,0,0
5.0,405.51,53.365,48,29,52,32.61,22,33,19,34.12,48.433,44.0,8.448,45.8,39.6,1.009,1.112,0.711,0.679,6.3,22,0,22,0,0,0,18,4,0,0
7.699,376.47,47.823,43,27,47,29.863,20,31,16,31.148,43.44,42.0,8.755,46.5,37.2,1.01,1.112,0.724,0.694,9.3,22,0,22,0,0,0,17,3,0,0
7.456,375.48,48.74,44,27,48,30.369,21,31,17,31.904,44.222,42.0,8.534,47.7,38.6,1.005,1.108,0.725,0.69,6.8,22,0,22,0,0,0,18,3,0,0
6.921,359.42,49.402,44,27,48,29.697,20,31,17,30.506,44.465,42.0,8.169,45.5,38.6,1.011,1.123,0.693,0.675,11.4,22,0,22,0,0,0,17,3,0,0
5.785,371.5,48.903,44,27,48,30.455,21,31,17,32.245,43.887,44.0,8.443,47.7,38.6,0.997,1.111,0.733,0.692,11.4,26,0,26,0,0,0,19,2,0,0
5.1,351.88,41.85,38,24,41,27.24,19,27,14,29.091,38.007,38.0,9.26,50.0,36.8,1.0,1.101,0.766,0.717,7.9,22,0,22,0,1,0,18,1,0,0
7.469,345.39,45.986,41,26,45,28.171,19,30,15,28.745,41.582,41.0,8.424,46.3,36.6,1.014,1.122,0.701,0.687,12.2,22,0,22,0,0,0,17,2,0,0
6.604,307.4,38.7,35,22,38,24.6,17,25,13,25.926,35.127,35.5,8.783,48.6,37.1,1.004,1.106,0.741,0.703,8.6,21,0,21,0,0,0,16,1,0,0
5.0,375.39,46.734,41,28,44,28.676,17,31,13,28.483,42.338,44.0,9.156,41.5,31.7,1.033,1.14,0.695,0.699,22.0,22,0,24,0,0,0,17,0,2,0
5.3,488.07,66.923,59,33,62,37.862,22,36,26,40.068,59.603,45.5,8.272,37.3,44.1,1.01,1.134,0.679,0.642,11.9,17,0,18,0,1,0,14,8,1,0
6.3,274.39,30.707,28,18,30,20.239,13,20,10,21.807,28.218,28.5,9.8,46.4,35.7,1.008,1.097,0.779,0.723,7.1,15,0,16,0,0,0,12,1,1,0
5.1,331.47,45.321,41,24,44,27.939,20,27,17,29.995,40.567,38.0,8.085,48.8,41.5,0.989,1.105,0.732,0.681,7.3,22,0,22,0,0,0,18,2,0,0
7.383,376.47,47.823,43,27,47,29.863,20,31,16,31.148,43.44,42.0,8.755,46.5,37.2,1.01,1.112,0.724,0.694,9.3,22,0,22,0,0,0,17,3,0,0
6.851,349.42,50.445,45,26,49,29.423,20,30,19,30.472,45.356,38.5,7.765,44.4,42.2,1.008,1.121,0.677,0.654,6.7,17,0,17,0,0,0,14,6,0,0
7.347,375.42,50.611,45,28,49,30.412,20,32,17,30.96,45.793,43.0,8.343,44.4,37.8,1.018,1.125,0.688,0.676,11.1,22,0,22,0,0,0,16,4,0,0
6.7,255.27,32.705,29,19,31,20.27,14,21,10,20.455,29.68,30.0,8.802,48.3,34.5,1.023,1.128,0.705,0.699,10.3,16,0,17,0,0,0,14,0,1,1
7.824,359.41,49.03,44,27,48,29.896,21,31,17,30.71,44.473,42.0,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,22,0,22,0,0,0,18,3,0,0
7.959,390.5,51.238,46,28,50,31.39,21,32,18,32.909,46.323,43.0,8.489,45.7,39.1,1.007,1.114,0.715,0.682,8.7,22,0,22,0,0,0,17,4,0,0
5.174,354.51,59.351,52,26,54,31.111,19,28,26,33.103,51.774,36.0,6.817,36.5,50.0,0.996,1.141,0.637,0.598,11.5,16,0,16,0,0,0,11,8,0,0
7.328,359.41,49.03,44,27,48,29.896,21,31,17,30.71,44.473,42.0,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,22,0,22,0,0,0,18,3,0,0
7.092,365.49,50.155,45,26,48,29.895,20,29,19,31.665,45.105,39.5,8.122,44.4,42.2,1.002,1.115,0.704,0.664,6.7,21,0,21,0,0,0,16,4,0,0
5.0,351.88,41.85,38,24,41,27.24,19,27,14,29.091,38.007,38.0,9.26,50.0,36.8,1.0,1.101,0.766,0.717,7.9,22,0,22,0,1,0,18,1,0,0
5.435,377.5,51.155,46,27,49,30.895,21,30,19,32.665,46.105,41.0,8.207,45.7,41.3,1.002,1.112,0.71,0.672,6.5,22,0,22,0,0,0,18,3,0,0
7.854,389.51,52.155,47,28,51,31.895,22,32,19,33.665,47.105,43.0,8.287,46.8,40.4,1.002,1.11,0.716,0.679,6.4,22,0,22,0,0,0,18,4,0,0
6.793,359.42,49.402,44,27,48,29.697,20,31,17,30.506,44.465,42.0,8.169,45.5,38.6,1.011,1.123,0.693,0.675,11.4,22,0,22,0,0,0,17,3,0,0
6.8,275.33,37.78,34,21,37,23.413,17,24,13,24.279,34.051,34.0,8.098,50.0,38.2,1.001,1.111,0.714,0.689,8.8,16,0,18,0,0,0,16,1,2,0
7.056,379.47,48.95,44,27,47,30.083,20,30,17,31.358,44.549,41.5,8.624,45.5,38.6,1.012,1.112,0.713,0.684,6.8,21,0,22,0,0,0,17,3,1,0
7.155,335.44,51.651,46,25,49,29.235,20,28,21,30.779,45.912,36.5,7.292,43.5,45.7,0.998,1.123,0.669,0.636,6.5,17,0,17,0,0,0,14,6,0,0
7.538,349.42,50.445,45,26,49,29.423,20,30,19,30.472,45.356,38.5,7.765,44.4,42.2,1.008,1.121,0.677,0.654,6.7,17,0,17,0,0,0,14,6,0,0
6.893,379.44,45.665,41,27,45,29.225,20,31,14,30.08,41.851,42.0,9.255,48.8,34.1,1.021,1.114,0.734,0.713,7.3,22,0,22,0,0,0,18,2,0,1
7.921,375.48,48.74,44,27,48,30.369,21,31,17,31.904,44.222,42.0,8.534,47.7,38.6,1.005,1.108,0.725,0.69,6.8,22,0,22,0,0,0,18,3,0,0
6.932,375.48,48.74,44,27,48,30.369,21,31,17,31.904,44.222,42.0,8.534,47.7,38.6,1.005,1.108,0.725,0.69,6.8,22,0,22,0,0,0,18,3,0,0
6.866,335.39,47.03,42,25,45,27.896,19,28,17,28.71,42.473,38.5,7.985,45.2,40.5,1.011,1.12,0.684,0.664,7.1,21,0,21,0,0,0,16,3,0,0
5.4,318.43,40.989,37,23,40,25.907,18,26,14,27.478,36.902,37.0,8.606,48.6,37.8,0.997,1.108,0.743,0.7,10.8,22,0,22,0,0,0,17,1,0,0
6.57,335.46,45.531,41,24,44,27.654,19,27,17,29.449,40.894,37.5,8.182,46.3,41.5,0.997,1.111,0.718,0.674,7.3,21,0,21,0,0,0,16,3,0,0
5.0,457.71,47.653,42,27,44,29.154,17,29,15,29.864,43.64,38.0,10.898,40.5,35.7,1.039,1.135,0.711,0.694,9.5,16,0,17,1,1,0,14,3,1,1
5.0,415.89,54.516,48,29,51,31.962,20,32,19,32.824,49.069,41.5,8.664,41.7,39.6,1.022,1.136,0.684,0.666,10.4,17,0,18,0,1,0,14,6,1,1
7.824,466.58,68.189,61,35,68,40.025,28,42,26,41.762,61.109,55.0,7.649,45.9,42.6,1.002,1.118,0.685,0.656,6.6,24,0,25,0,0,0,19,9,1,0
5.0,416.39,51.547,45,30,49,31.068,20,34,15,30.529,47.112,43.0,9.253,44.4,33.3,1.047,1.145,0.678,0.69,8.9,12,0,15,0,0,0,15,5,3,3
8.0,290.35,40.279,36,22,39,24.434,17,25,14,25.284,36.153,35.5,8.065,47.2,38.9,1.004,1.119,0.702,0.679,11.1,21,0,21,0,0,0,16,1,0,0
7.9,235.27,30.322,27,18,30,19.161,13,21,9,19.551,27.276,31.0,8.714,48.1,33.3,1.01,1.123,0.724,0.71,18.5,20,0,20,0,0,0,13,0,0,0
7.1,292.39,36.574,33,21,36,23.38,16,24,12,24.716,33.018,34.5,8.86,48.5,36.4,1.001,1.108,0.749,0.708,12.1,21,0,21,0,0,0,16,0,0,0
6.6,306.42,39.989,36,22,39,24.907,17,25,14,26.478,35.902,35.5,8.512,47.2,38.9,0.997,1.111,0.735,0.692,11.1,21,0,21,0,0,0,16,1,0,0
8.0,332.45,50.896,45,25,49,28.816,19,29,20,30.364,44.796,39.0,7.388,42.2,44.4,0.995,1.131,0.675,0.64,13.3,20,0,20,0,0,0,13,6,0,0
7.5,292.38,43.066,38,22,41,24.762,16,25,16,25.841,38.029,35.0,7.694,42.1,42.1,1.001,1.133,0.68,0.652,15.8,20,0,20,0,0,0,13,3,0,0
8.4,306.41,46.481,41,23,44,26.289,17,26,18,27.603,40.912,36.0,7.473,41.5,43.9,0.998,1.134,0.673,0.641,14.6,20,0,20,0,0,0,13,4,0,0
5.0,391.49,57.777,51,29,55,32.946,22,33,22,34.273,51.301,43.5,7.676,43.1,43.1,1.006,1.133,0.672,0.646,9.8,21,0,21,0,0,0,16,6,0,1
7.432,390.5,51.238,46,28,50,31.39,21,32,18,32.909,46.323,43.0,8.489,45.7,39.1,1.007,1.114,0.715,0.682,8.7,22,0,22,0,0,0,17,4,0,0
7.301,362.44,44.408,40,26,44,28.336,19,30,14,29.387,40.556,41.0,9.061,47.5,35.0,1.014,1.11,0.735,0.708,10.0,22,0,22,0,0,0,17,2,0,0
6.701,351.41,42.119,38,25,41,27.03,18,28,13,27.835,38.782,39.5,9.248,47.4,34.2,1.021,1.108,0.733,0.711,7.9,21,0,22,0,0,0,17,1,1,0
6.602,442.54,67.153,59,32,62,36.65,23,35,27,37.915,59.832,43.5,7.501,39.0,45.8,1.014,1.138,0.643,0.621,6.8,11,0,14,0,0,0,14,9,3,1
6.983,349.37,45.824,41,26,44,28.084,19,29,15,28.404,41.916,40.5,8.521,46.3,36.6,1.022,1.118,0.693,0.685,7.3,21,0,22,0,0,0,17,2,1,0
7.102,345.38,45.614,41,26,45,28.369,20,30,15,28.949,41.589,41.0,8.424,48.8,36.6,1.014,1.113,0.706,0.692,7.3,22,0,22,0,0,0,18,2,0,0
4.6,210.25,28.867,26,16,28,17.865,13,18,10,18.512,26.065,25.0,8.087,50.0,38.5,1.003,1.11,0.712,0.687,7.7,12,0,13,0,0,0,13,0,1,0
6.618,337.43,43.325,39,24,42,26.842,18,27,15,28.142,39.338,37.5,8.652,46.2,38.5,1.009,1.111,0.722,0.688,7.7,21,0,21,0,0,0,16,2,0,0
6.59,363.45,53.86,48,27,52,30.95,21,31,21,32.233,48.24,39.5,7.572,43.8,43.8,1.005,1.122,0.672,0.645,6.3,17,0,17,0,0,0,14,7,0,0
5.2,361.47,46.661,42,26,45,29.322,21,29,16,30.932,42.08,40.5,8.606,50.0,38.1,1.002,1.111,0.736,0.698,7.1,23,0,23,0,0,0,20,1,0,1
5.778,338.5,57.77,51,25,53,30.595,20,27,26,32.853,50.454,35.0,6.637,39.2,51.0,0.989,1.133,0.644,0.6,7.8,16,0,16,0,0,0,12,8,0,0
6.5,496.57,68.564,61,37,67,40.729,27,43,24,41.705,61.872,57.0,8.14,44.3,39.3,1.014,1.124,0.684,0.668,9.8,20,0,24,0,0,0,20,7,4,0
5.77,306.41,46.481,41,23,44,26.289,17,26,18,27.603,40.912,35.5,7.473,41.5,43.9,0.998,1.134,0.673,0.641,14.6,15,0,16,0,0,1,9,7,0,0
5.0,557.1,77.544,69,40,72,45.422,30,43,29,47.392,69.52,58.5,8.074,43.5,42.0,1.008,1.124,0.687,0.658,8.7,23,0,26,0,1,1,23,6,2,0
7.155,307.33,40.199,36,23,39,24.843,17,26,13,25.188,36.705,35.0,8.537,47.2,36.1,1.02,1.117,0.7,0.69,8.3,12,0,15,0,0,0,16,1,3,0
5.6,450.38,59.081,52,30,55,34.128,21,33,22,35.75,52.832,41.5,8.661,40.4,42.3,1.016,1.136,0.688,0.656,9.6,17,0,17,0,2,0,14,7,0,1
5.0,371.47,54.651,49,28,52,32.235,23,31,21,33.779,48.912,42.0,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,18,0,20,0,0,0,20,3,2,0
5.0,371.47,54.651,49,28,52,32.235,23,31,21,33.779,48.912,42.0,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,18,0,20,0,0,0,20,3,2,0
5.8,357.44,51.235,46,27,49,30.708,22,30,19,32.017,46.029,41.0,7.77,47.8,41.3,1.001,1.114,0.696,0.668,6.5,18,0,20,0,0,0,20,2,2,0
7.2,342.41,49.481,43,25,46,27.235,15,28,18,27.762,43.887,36.5,7.963,34.9,41.9,1.021,1.151,0.646,0.633,18.6,15,0,16,0,0,0,9,6,1,0
7.5,469.58,65.438,59,36,64,40.563,30,41,23,42.336,58.789,58.0,7.959,50.8,39.0,0.996,1.109,0.718,0.688,8.5,28,0,30,0,0,1,25,4,1,0
7.7,447.6,70.474,62,33,66,38.374,24,37,29,40.324,62.087,46.0,7.219,38.7,46.8,1.001,1.137,0.65,0.619,11.3,12,0,15,0,0,0,13,11,3,0
5.0,498.71,74.102,66,36,70,42.352,28,40,30,45.273,65.618,52.5,7.556,42.4,45.5,0.994,1.123,0.686,0.642,9.1,23,0,24,0,0,0,21,7,1,0
7.745,481.65,75.308,67,36,71,42.385,29,40,31,44.836,66.65,53.0,7.189,43.3,46.3,0.995,1.124,0.669,0.633,7.5,22,0,24,0,0,0,22,7,2,0
6.071,634.74,92.987,82,46,87,52.097,34,51,36,53.569,83.418,63.5,7.741,41.5,43.9,1.017,1.134,0.653,0.635,4.9,17,0,21,0,0,0,21,13,4,2
5.0,543.67,75.247,66,38,70,42.722,27,42,28,44.296,67.265,53.5,8.237,40.9,42.4,1.019,1.14,0.671,0.647,7.6,21,0,22,0,0,0,18,9,1,3
5.886,460.64,74.806,66,34,69,40.406,26,37,32,42.841,65.752,47.5,6.979,39.4,48.5,0.996,1.133,0.649,0.612,9.1,11,0,15,0,0,1,13,12,3,0
5.0,480.59,65.112,58,34,61,38.115,24,37,24,39.557,58.956,49.0,8.286,41.4,41.4,1.016,1.123,0.682,0.657,6.9,22,0,23,0,0,0,19,5,1,0
7.31,332.44,50.524,45,25,48,29.015,20,28,20,30.569,44.803,38.0,7.388,44.4,44.4,0.996,1.123,0.679,0.645,8.9,16,0,18,0,0,0,16,4,2,0
5.77,394.4,44.878,39,27,41,27.334,15,29,12,26.966,41.229,40.5,10.113,38.5,30.8,1.057,1.151,0.691,0.701,15.4,17,0,20,0,0,0,15,0,3,2
6.3,180.6,18.98,17,12,18,12.639,8,13,5,12.847,17.622,18.0,10.624,47.1,29.4,1.037,1.116,0.756,0.743,11.8,6,0,8,0,1,0,8,0,2,0
7.7,270.37,43.109,38,20,40,23.488,15,22,18,24.807,37.92,28.0,7.115,39.5,47.4,0.998,1.134,0.653,0.618,10.5,6,0,9,0,0,0,9,6,3,0
6.9,375.49,49.112,44,27,47,30.17,20,30,17,31.699,44.214,42.0,8.534,45.5,38.6,1.005,1.116,0.72,0.686,11.4,22,0,23,0,0,0,19,1,1,0
5.6,637.87,35.865,33,21,34,25.328,15,22,12,30.023,33.32,28.0,19.329,45.5,36.4,1.01,1.087,0.91,0.768,0.0,12,0,12,2,0,0,12,3,0,0
6.6,411.34,47.021,40,29,43,28.568,18,32,11,27.222,42.887,42.5,10.283,45.0,27.5,1.072,1.176,0.681,0.714,12.5,21,0,21,0,0,0,15,3,0,6
5.6,441.6,61.358,55,32,58,36.75,25,35,23,38.983,54.865,49.0,8.029,45.5,41.8,0.998,1.116,0.709,0.668,9.1,22,0,24,0,0,2,20,3,1,0
7.0,346.34,43.713,38,25,40,26.111,17,27,13,25.858,39.574,36.5,9.114,44.7,34.2,1.041,1.15,0.68,0.687,10.5,17,0,18,0,0,0,15,2,1,3
5.1,278.32,32.787,29,19,30,19.998,11,20,10,20.318,30.116,28.5,9.597,37.9,34.5,1.038,1.131,0.701,0.69,13.8,11,0,14,0,0,0,10,1,3,0
6.5,415.56,56.943,51,30,55,34.223,23,34,21,36.222,50.982,46.0,8.148,45.1,41.2,1.0,1.117,0.71,0.671,9.8,22,0,23,0,0,0,19,4,1,0
7.0,426.44,55.125,48,31,51,32.681,21,34,17,32.631,49.661,46.0,8.884,43.8,35.4,1.035,1.148,0.68,0.681,12.5,22,0,23,0,0,0,19,2,1,3
5.5,163.2,23.95,21,12,22,13.359,8,13,9,13.756,21.284,17.0,7.771,38.1,42.9,1.014,1.14,0.655,0.636,14.3,0,0,4,0,0,0,6,2,4,0
6.1,288.32,32.336,29,20,31,21.15,14,22,9,21.551,29.982,31.0,9.942,48.3,31.0,1.034,1.115,0.743,0.729,6.9,16,0,17,0,0,0,14,0,1,1
8.3,343.44,45.95,41,24,43,27.083,17,26,17,28.358,41.549,36.5,8.377,41.5,41.5,1.013,1.121,0.692,0.661,7.3,17,0,19,0,0,0,14,3,2,0
5.6,471.55,67.109,60,35,63,39.433,27,38,25,40.665,60.662,52.0,7.859,45.0,41.7,1.011,1.118,0.678,0.657,5.0,22,0,25,0,0,0,22,5,3,0
7.2,362.47,55.149,49,27,52,31.256,21,30,22,32.784,49.014,40.0,7.397,42.9,44.9,1.0,1.125,0.669,0.638,8.2,16,0,18,0,0,0,16,5,2,0
5.6,526.75,87.052,77,39,80,46.987,31,42,38,50.126,76.403,55.0,6.841,40.3,49.4,0.992,1.131,0.651,0.61,7.8,22,0,24,0,0,0,21,10,2,0
5.6,406.37,49.677,43,29,45,29.736,19,31,14,29.012,45.298,41.0,9.45,44.2,32.6,1.053,1.155,0.675,0.692,9.3,12,0,16,0,0,0,17,2,4,4
7.0,379.28,39.715,36,24,38,26.475,17,26,12,27.852,36.884,36.0,10.536,47.2,33.3,1.025,1.103,0.774,0.735,5.6,16,0,18,0,2,0,16,1,2,0
7.0,288.16,29.997,27,17,29,19.197,13,19,10,20.415,27.069,27.0,10.673,48.1,37.0,1.003,1.111,0.756,0.711,11.1,16,0,16,1,0,0,12,1,0,0
5.6,530.66,71.899,64,38,68,42.443,27,42,26,44.114,64.832,56.5,8.292,42.2,40.6,1.013,1.123,0.689,0.663,9.4,27,0,28,0,0,0,23,4,1,0
5.6,501.03,68.505,61,36,65,40.653,27,40,25,42.415,61.425,54.5,8.214,44.3,41.0,1.007,1.123,0.695,0.666,9.8,27,0,28,0,1,0,24,3,1,0
5.3,405.54,55.073,49,29,53,32.892,22,33,20,34.705,49.167,45.5,8.276,44.9,40.8,1.003,1.124,0.708,0.671,10.2,25,0,25,0,0,0,18,4,0,1
5.9,369.29,44.741,40,23,43,26.798,18,26,17,28.705,39.822,36.0,9.232,45.0,42.5,0.996,1.119,0.718,0.67,10.0,20,0,20,1,0,0,14,4,0,0
6.1,418.52,53.82,48,30,51,32.906,21,33,18,34.159,48.643,46.0,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,0,24,0,0,0,20,1,2,0
6.6,444.52,54.578,49,32,53,34.773,24,36,17,35.847,49.836,50.5,9.072,49.0,34.7,1.017,1.114,0.732,0.71,8.2,27,0,28,0,0,0,24,0,1,1
5.5,408.45,54.785,48,30,52,32.297,21,34,18,32.694,49.149,45.0,8.509,43.8,37.5,1.024,1.141,0.681,0.673,12.5,22,0,22,0,0,0,16,5,0,2
