pXC50,Eta_beta_A,Eig03_EA.dm.,SpMAD_EA.bo.,ON0V,Se,Si,TIC3,TIC4,Eta_betaP_A,CATS2D_03_AA,S3K,SpMin4_Bh.m.,SpMin4_Bh.v.,DBI,ATSC7m,TIC2,ON1V,ATSC3m,DLS_cons,Eta_C_A,P_VSA_LogP_8,ATSC5m,P_VSA_i_3,C.,PW5,ATS1e,ATS1i,ATS8e,GGI6,ISIZ,nAT,nBT,SAtot,SpMin5_Bh.m.,VvdwZAZ,Uindex,SpMin4_Bh.s.,ATS4e,ATS6e,ATS6i,ATS7e,ATS7i,ATS8i,ATSC6p,ATSC8m,TIC5,ATSC3s,CATS2D_02_AA,CIC4,SIC4,TIE,ATS3s,CIC5,Cl.089,Eig03_AEA.ri.,Eig03_EA.ri.,P_VSA_LogP_1,SIC5,JGI8,P_VSA_e_5,PW4,SaaN,SPI,S2K,ATS3i,ATSC2v,ATSC3v,Eta_FL_A,ATS2i,ATS8s,Chi0_EA.bo.,P_VSA_p_3,P_VSA_v_3,SpMax7_Bh.m.,ATSC4m,PHI,ATS3e,ATS4i,C.002,CATS2D_05_LL,CATS2D_06_LL,DLS_04,Eig06_AEA.ri.,GGI7,nCs,nCsp3,nH,ON0,P_VSA_LogP_7,ATSC8i,nHM,TIC1,nCL,NsCl,P_VSA_e_4,SsCl,X0A,ATS8p,ATSC7v,HDcpx,IDM,SpMin5_Bh.s.,ATS2e,ATSC3i,Eig02_EA.bo.,SM12_AEA.ri.,ATS5s,N.,Eta_L_A,NssCH2,SssCH2,ATS5e,ATS5v,ATS7p,ATSC1p,ATSC3p,ATSC6v,ATSC7i,ATSC7p,ATSC8p,Eta_C,P_VSA_e_1,P_VSA_m_1,P_VSA_s_2,P_VSA_v_1,ATSC5s,nO,ATSC8v,SpMin3_Bh.m.,VAR,ATSC6m,ATSC3e,ATSC8e,ATSC8s,D.Dtr09,Eta_betaS_A,LOC,PDI,P_VSA_MR_2,BIC5,C.005,CIC3,Eig03_EA,SM11_AEA.bo.,GNar,MATS6e,MCD,nPyrimidines,SdO,C.026,ATSC5p,ON1,ATSC1v,S1K,X0v,GGI4,CENT,ECC,IDET,IDMT,LPRS,MDDD,UNIP,Xu,ATS7v,ATS8v,ATSC4v,P_VSA_LogP_2,Sp,SssO,Sv,VvdwMG,Vx,CATS2D_08_DL,RBN,SpMax3_Bh.e.,SpMax3_Bh.i.,SpMax3_Bh.p.,SpMax3_Bh.v.,SpMin3_Bh.s.
6.886,1.24,0.86,1.837,8.06,44.149,49.12,213.46,215.46,0.625,1,4.322,1.786,1.747,3.0,30.163,183.809,2.723,31.433,0.9,0.877,45.954,25.221,270.796,43.2,0.089,3.874,3.974,4.583,0.461,240.215,44,46,446.304,1.575,316.55,39.167,1.039,4.584,4.547,4.729,4.59,4.793,4.838,8.807,32.891,215.46,37.569,0,0.563,0.897,41.433,5.708,0.563,0,3.522,2.421,10.883,0.897,0.011,47.145,0.177,0.0,10.548,8.038,4.873,9.229,11.987,0.228,4.565,5.556,14.75,157.498,157.498,2.861,35.402,5.797,4.676,4.786,4,11,14,0.8,2.499,0.298,5,6,20,12.333,223.651,1.015,1,145.892,0,0,0.0,0.0,0.706,3.619,11.726,1.671,7.876,0.577,4.417,1.128,3.778,3.778,5.672,2.3,0.258,4,4.484,4.49,3.732,3.845,4.307,9.834,10.89,1.048,9.606,8.791,21.043,223.651,223.651,223.651,223.651,45.537,3,10.93,1.86,74,21.324,0.388,0.406,52.172,0.0,0.615,0.757,0.971,94.229,0.855,1,0.608,2.562,2.562,2.064,0.072,0.708,0,12.527,4,8.11,5.417,5.286,17.308,15.136,1.351,822.0,228.0,940.028,11175.7,114.081,20.583,84,23.437,3.706,3.474,10.648,28.149,30.336,11.411,28.459,181.05,433.522,2,5,3.807,3.847,3.707,3.693,1.088
7.301,1.221,0.86,1.824,8.486,46.669,51.665,213.819,219.329,0.577,1,4.827,1.573,1.55,3.082,27.482,194.6,2.871,30.731,0.93,0.904,78.297,27.349,349.093,41.3,0.097,3.928,4.026,4.699,0.508,254.084,46,48,482.104,1.513,338.69,44.212,0.825,4.719,4.581,4.75,4.666,4.853,4.942,8.709,32.348,219.329,52.946,0,0.756,0.863,53.706,5.863,0.756,2,3.544,2.448,10.883,0.863,0.011,47.145,0.179,3.875,12.868,8.934,4.943,9.162,12.378,0.228,4.628,5.746,15.904,176.512,176.512,2.996,33.66,6.623,4.756,4.918,5,8,11,1.0,2.557,0.382,6,7,20,13.667,200.109,1.064,2,162.807,2,2,78.297,12.125,0.712,3.731,12.039,1.693,8.111,0.773,4.479,1.152,3.942,3.942,5.864,4.3,0.256,5,5.592,4.626,3.797,3.928,4.269,9.905,10.805,1.082,9.715,9.178,23.513,223.651,223.651,223.651,223.651,73.533,3,11.593,1.818,90,20.914,0.657,0.719,73.135,0.0,0.644,0.777,0.958,94.229,0.825,1,0.875,2.579,2.579,2.037,0.088,0.692,0,12.617,5,8.914,5.861,5.185,19.273,15.939,1.658,1016.0,265.0,1132.03,14243.1,127.062,22.84,96,25.057,3.815,3.617,11.923,30.683,31.705,11.47,30.11,192.596,461.694,2,5,3.809,3.846,3.71,3.696,0.923
6.097,1.293,0.86,1.837,7.867,43.138,48.362,200.574,200.574,0.652,1,4.021,1.785,1.747,2.915,21.644,180.965,2.647,23.722,0.9,0.742,0.0,19.616,270.796,41.9,0.089,3.856,3.965,4.562,0.42,233.329,43,45,413.223,1.574,290.97,36.745,0.939,4.546,4.526,4.714,4.562,4.782,4.833,7.994,23.654,200.574,37.399,0,0.762,0.86,37.208,5.663,0.762,0,3.431,2.375,10.883,0.86,0.01,47.145,0.177,3.932,8.303,7.469,4.845,8.769,10.994,0.25,4.557,5.527,14.303,107.631,107.631,2.687,22.035,5.136,4.637,4.762,4,10,8,0.8,2.476,0.251,5,6,20,11.5,200.109,0.959,0,145.049,0,0,0.0,0.0,0.699,3.497,11.117,1.659,7.749,0.577,4.396,1.093,3.486,3.486,5.617,4.7,0.24,4,4.484,4.473,3.669,3.731,4.087,8.172,10.557,1.031,8.111,6.95,17.069,223.651,223.651,223.651,223.651,43.128,3,9.987,1.86,76,20.609,0.374,0.382,53.351,0.0,0.641,0.7,0.962,94.229,0.818,1,0.762,2.466,2.466,2.093,0.126,0.739,0,12.375,3,7.271,5.222,5.222,15.816,13.119,1.159,733.0,217.0,857.086,9879.69,107.818,19.864,79,22.665,3.615,3.371,9.831,28.149,28.228,11.367,26.928,166.338,397.625,2,5,3.801,3.842,3.702,3.691,1.065
6.26,1.213,0.86,1.86,8.105,45.189,49.72,200.574,200.574,0.556,1,4.165,1.766,1.746,3.24,20.809,185.82,2.618,23.086,0.9,0.836,0.0,18.205,223.711,41.9,0.093,3.898,3.99,4.636,0.665,233.329,43,45,424.558,1.572,315.25,46.854,0.848,4.624,4.573,4.739,4.623,4.818,4.875,8.143,26.148,200.574,186.285,0,0.762,0.86,87.063,6.317,0.762,0,3.581,2.499,10.883,0.86,0.013,47.145,0.182,2.436,16.12,8.138,4.888,7.312,9.486,0.245,4.587,6.015,16.092,106.21,106.21,2.868,22.536,5.859,4.711,4.809,4,6,6,0.8,2.906,0.407,5,6,16,14.833,176.567,1.178,0,156.8,0,0,0.0,0.0,0.724,3.48,9.281,1.704,8.224,0.576,4.448,1.785,3.97,3.97,6.312,4.7,0.233,4,3.799,4.548,3.742,3.717,4.217,8.326,9.33,1.417,8.302,7.082,22.566,176.567,176.567,176.567,176.567,215.866,3,8.436,1.795,86,18.486,1.494,1.448,187.858,0.0,0.657,0.834,0.964,94.229,0.818,1,0.762,2.614,2.614,1.992,0.173,0.63,0,12.324,5,7.486,6.0,4.128,19.437,14.322,1.924,1091.0,263.0,1218.34,15699.6,133.219,23.207,101,25.733,3.705,3.483,8.155,28.149,27.978,11.035,28.462,171.131,409.319,2,5,3.808,3.849,3.702,3.692,1.063
6.301,1.167,0.86,1.844,8.343,43.443,48.123,203.82,203.82,0.542,1,4.179,1.745,1.728,3.082,31.195,189.065,2.661,26.16,0.93,1.003,0.0,32.663,259.025,39.5,0.086,3.864,3.958,4.571,0.491,233.329,43,45,452.411,1.575,314.1,39.157,0.87,4.569,4.532,4.709,4.578,4.775,4.826,8.827,35.416,203.82,38.585,0,0.686,0.874,42.975,5.693,0.686,0,3.556,2.477,19.708,0.874,0.013,47.145,0.181,4.212,12.222,7.937,4.811,8.984,10.441,0.204,4.565,5.556,14.62,160.4,160.4,2.93,31.269,5.899,4.623,4.76,4,8,10,1.0,2.504,0.32,5,7,19,12.667,288.886,1.011,2,153.216,0,0,0.0,0.0,0.713,3.596,11.38,1.672,7.879,0.578,4.413,1.113,3.956,3.956,5.718,4.7,0.278,4,4.468,4.499,3.747,3.859,4.17,8.793,10.45,1.086,9.989,9.234,24.073,211.88,211.88,211.88,211.88,48.47,3,10.671,1.789,68,19.835,0.507,0.541,54.767,0.0,0.625,0.813,0.967,94.229,0.834,1,0.686,2.589,2.589,2.04,0.038,0.667,0,12.554,3,8.873,5.361,4.934,17.836,15.998,1.203,810.0,215.0,928.103,11038.7,113.79,20.083,83,23.343,3.701,3.442,10.207,28.149,30.228,11.408,28.141,182.718,437.591,2,5,3.798,3.827,3.706,3.691,1.063
6.046,1.345,0.86,1.921,6.786,35.294,38.712,145.464,147.464,0.714,1,3.311,1.573,1.539,3.0,15.002,129.954,1.738,12.611,0.8,0.633,0.0,17.183,188.398,44.1,0.093,3.644,3.732,3.897,0.285,172.974,34,35,354.328,1.296,252.57,39.232,0.574,4.341,4.148,4.34,4.128,4.349,4.087,5.423,11.228,149.464,57.877,0,0.75,0.853,57.518,5.769,0.691,0,3.491,2.423,21.766,0.864,0.016,47.145,0.183,0.0,12.437,6.548,4.401,5.082,5.604,0.296,4.25,5.353,12.344,117.999,117.999,2.729,15.074,4.759,4.272,4.494,0,2,5,0.6,2.517,0.267,0,2,13,11.833,141.253,0.615,0,116.444,0,0,0.0,0.0,0.734,2.921,5.328,1.633,7.487,0.294,4.119,1.102,3.939,3.939,5.918,2.9,0.183,0,0.0,4.33,3.391,3.145,3.232,5.578,6.544,0.829,4.888,3.75,13.301,141.253,141.253,141.253,141.253,127.302,3,4.065,1.576,62,13.202,0.642,0.642,68.716,0.0,0.631,1.025,0.945,47.145,0.815,2,0.809,2.516,2.516,1.941,0.108,0.571,0,12.045,5,5.861,4.861,3.265,15.263,11.445,1.507,542.0,182.0,679.137,7217.33,94.539,14.943,66,20.663,3.145,2.931,5.464,18.011,22.574,10.122,22.62,140.556,334.718,0,4,3.392,3.42,3.14,3.182,0.578
8.097,1.26,0.86,1.844,8.152,42.785,47.25,202.968,202.968,0.625,1,4.999,1.573,1.55,3.464,24.219,192.213,2.566,24.577,0.93,0.827,78.297,25.291,325.551,40.5,0.093,3.827,3.924,4.481,0.427,226.477,42,43,464.375,1.542,316.45,48.32,0.706,4.522,4.41,4.583,4.482,4.673,4.707,7.338,26.276,202.968,45.51,0,0.56,0.896,54.977,5.743,0.56,2,3.489,2.398,19.708,0.896,0.014,47.145,0.173,3.851,13.888,9.111,4.699,7.59,9.388,0.248,4.491,5.572,14.465,182.326,182.326,2.995,27.138,7.152,4.531,4.692,2,5,8,1.0,2.508,0.373,2,5,18,13.333,176.567,0.831,2,155.093,2,2,78.297,12.036,0.73,3.549,9.863,1.671,7.874,0.576,4.337,0.91,3.94,3.94,5.809,4.8,0.233,3,2.489,4.521,3.656,3.734,3.789,7.675,9.15,0.872,8.033,7.346,19.86,200.109,200.109,200.109,200.109,74.837,3,9.001,1.818,98,17.662,0.596,0.657,62.235,0.0,0.635,1.534,0.932,70.687,0.856,1,0.56,2.521,2.521,1.948,0.135,0.5,0,12.455,5,7.834,5.611,4.521,18.84,14.948,1.507,850.0,242.0,953.534,11377.3,114.465,21.535,85,23.461,3.624,3.45,9.146,27.672,28.943,10.95,27.583,180.805,432.924,1,7,3.655,3.723,3.51,3.492,0.923
5.187,1.239,0.86,1.833,7.367,40.331,44.866,188.122,188.122,0.591,1,3.859,1.578,1.603,2.915,21.474,173.367,2.45,23.456,0.9,0.797,0.0,17.5,247.253,40.0,0.081,3.796,3.895,4.45,0.409,212.877,40,42,398.352,1.498,277.52,34.366,0.589,4.434,4.464,4.651,4.465,4.671,4.72,8.073,23.318,188.122,34.968,0,0.619,0.884,34.911,5.569,0.619,0,3.407,2.331,10.883,0.884,0.01,47.145,0.179,4.052,8.047,7.205,4.74,8.112,9.939,0.228,4.49,5.421,13.725,116.302,116.302,2.602,20.791,5.057,4.539,4.632,4,8,7,0.8,2.399,0.227,5,6,18,11.0,207.844,0.888,1,141.493,0,0,0.0,0.0,0.698,3.411,9.812,1.647,7.623,0.571,4.341,1.003,3.515,3.515,5.526,5.0,0.261,4,4.492,4.378,3.614,3.66,4.045,8.161,9.73,0.964,7.836,7.052,17.526,200.109,200.109,200.109,200.109,34.851,3,9.249,1.787,62,21.642,0.408,0.431,51.086,0.0,0.648,0.72,0.967,94.229,0.84,1,0.619,2.472,2.472,2.097,0.033,0.727,0,12.26,2,7.006,4.972,4.737,15.441,13.189,1.043,628.0,193.0,764.29,8514.41,101.196,18.05,73,21.751,3.532,3.261,8.334,28.149,27.114,11.335,25.589,161.212,385.116,2,5,3.771,3.798,3.705,3.678,1.061
5.796,1.272,0.86,1.868,7.786,41.062,45.543,191.367,191.367,0.652,1,4.2,1.575,1.554,3.317,20.027,175.858,2.405,19.409,0.9,0.727,0.0,18.919,235.482,42.5,0.097,3.785,3.884,4.363,0.427,212.877,40,41,406.482,1.35,287.17,45.171,0.577,4.487,4.401,4.587,4.453,4.666,4.599,7.093,19.46,191.367,59.285,0,0.538,0.899,67.63,5.863,0.538,0,3.495,2.427,19.708,0.899,0.013,47.145,0.177,0.0,13.41,7.93,4.664,7.007,8.105,0.267,4.438,5.652,13.758,123.069,123.069,2.828,20.028,5.94,4.49,4.66,1,5,8,0.8,2.539,0.326,1,4,17,12.833,188.338,0.868,0,140.638,0,0,0.0,0.0,0.731,3.327,8.248,1.66,7.753,0.464,4.288,1.227,3.94,3.94,5.971,2.5,0.214,2,1.253,4.44,3.576,3.527,3.926,7.004,8.684,1.084,7.014,5.978,16.718,188.338,188.338,188.338,188.338,118.086,3,7.659,1.882,82,17.403,0.693,0.769,83.26,0.0,0.62,1.375,0.939,70.687,0.857,1,0.538,2.521,2.521,1.946,0.062,0.522,0,12.203,5,6.772,5.361,4.354,17.228,12.859,1.507,730.0,216.0,851.057,9784.73,107.595,19.183,78,22.5,3.478,3.263,7.101,25.138,26.097,10.669,25.674,159.741,381.528,1,6,3.588,3.655,3.42,3.405,1.014
7.699,1.213,0.86,1.86,8.105,44.811,48.929,200.574,200.574,0.556,1,4.449,1.74,1.746,3.24,24.26,185.82,2.618,26.077,0.9,0.909,78.297,20.244,302.009,41.9,0.093,3.891,3.976,4.624,0.665,233.329,43,45,461.694,1.572,333.53,46.854,0.887,4.608,4.565,4.725,4.608,4.789,4.854,8.381,29.758,200.574,105.423,0,0.762,0.86,76.291,6.078,0.762,2,3.58,2.491,10.883,0.86,0.013,47.145,0.182,2.922,16.12,8.591,4.857,7.499,9.755,0.235,4.571,5.891,16.092,173.267,173.267,2.961,28.497,6.402,4.694,4.779,4,8,10,0.8,2.904,0.407,5,6,16,14.833,176.567,1.107,2,160.8,2,2,78.297,11.493,0.724,3.579,10.283,1.704,8.224,0.576,4.439,1.187,3.97,3.97,6.044,4.7,0.242,4,4.035,4.533,3.791,3.833,3.978,9.027,9.62,1.132,9.055,8.309,24.554,176.567,176.567,176.567,176.567,114.473,3,9.124,1.79,86,17.874,1.131,1.158,133.105,0.0,0.657,0.834,0.962,94.229,0.818,1,0.762,2.614,2.614,1.992,0.221,0.63,0,12.54,5,7.859,6.0,4.069,20.12,15.834,1.924,1091.0,263.0,1218.34,15699.6,133.219,23.207,101,25.733,3.758,3.536,9.015,28.149,29.818,11.209,29.35,185.4,444.136,2,5,3.807,3.846,3.705,3.692,1.064
6.301,1.167,0.86,1.844,9.2,46.098,51.697,219.819,219.819,0.542,1,3.977,1.78,1.74,3.082,25.376,199.064,2.875,28.044,1.0,0.932,0.0,22.945,294.338,39.1,0.086,3.918,4.024,4.673,0.491,254.084,46,48,450.726,1.628,312.12,39.157,0.947,4.657,4.674,4.883,4.628,4.832,4.945,9.639,29.295,219.819,37.042,0,0.745,0.865,42.447,5.71,0.745,0,3.56,2.487,28.533,0.865,0.013,47.145,0.181,4.259,12.222,7.621,4.865,10.055,11.63,0.214,4.644,5.603,14.62,123.401,123.401,2.858,28.315,5.516,4.673,4.864,4,8,10,1.0,2.506,0.32,5,8,22,12.667,278.245,1.095,1,155.515,0,0,0.0,0.0,0.713,3.645,12.089,1.672,7.879,0.727,4.474,1.206,3.956,3.956,5.735,4.3,0.268,4,4.491,4.578,3.772,3.865,4.56,9.302,12.355,1.159,9.488,8.893,22.363,247.193,247.193,247.193,247.193,46.297,3,11.87,1.803,68,25.744,0.397,0.424,51.901,0.0,0.625,0.813,0.958,94.229,0.828,1,0.745,2.589,2.589,2.04,0.018,0.667,0,12.575,3,8.619,5.361,5.79,17.371,15.035,1.203,810.0,215.0,928.103,11038.7,113.79,20.083,83,23.343,3.722,3.486,10.924,28.149,30.637,11.425,28.642,180.396,431.927,2,5,3.804,3.841,3.706,3.692,1.065
6.398,1.12,0.98,1.765,8.019,44.887,49.748,215.46,215.46,0.46,2,4.472,1.779,1.747,3.082,27.757,200.705,2.651,27.638,1.0,0.929,0.0,21.303,337.322,38.6,0.089,3.899,4.003,4.602,0.502,240.215,44,46,463.991,1.575,328.63,41.65,0.93,4.635,4.561,4.741,4.634,4.834,4.847,8.314,29.968,215.46,50.357,1,0.563,0.897,48.909,5.813,0.563,0,3.545,2.419,10.883,0.897,0.012,47.145,0.181,0.0,12.504,8.405,4.893,8.27,11.175,0.215,4.617,5.676,15.587,167.291,167.291,2.964,35.235,6.225,4.702,4.827,4,9,12,1.0,2.527,0.345,5,7,19,13.167,227.486,0.9,2,163.745,2,2,78.297,12.098,0.712,3.574,11.327,1.683,7.998,0.577,4.464,1.074,3.405,3.405,5.839,6.8,0.268,4,4.342,4.507,3.733,3.839,3.978,8.9,10.493,1.006,8.99,7.756,23.232,211.88,211.88,211.88,211.88,72.832,3,10.024,1.795,74,20.639,0.713,0.779,73.221,0.0,0.66,0.795,0.945,94.229,0.859,1,0.563,2.586,2.586,2.038,0.096,0.68,0,12.548,2,7.255,5.611,4.813,18.516,15.257,1.542,909.0,239.0,1025.34,12533.0,120.318,21.043,89,24.188,3.723,3.469,10.13,37.074,29.949,11.352,28.605,183.133,438.605,2,5,3.785,3.827,3.633,3.644,1.062
8.0,1.194,0.86,1.845,8.786,48.451,53.582,243.323,247.323,0.556,1,3.912,1.778,1.721,3.24,28.866,211.814,2.988,32.265,0.9,0.949,78.297,26.104,360.864,43.8,0.095,3.978,4.071,4.747,0.559,268.078,48,51,484.888,1.575,349.93,40.13,1.037,4.786,4.617,4.78,4.722,4.903,4.975,9.176,32.196,247.323,47.239,0,0.432,0.923,50.831,5.888,0.432,2,3.82,2.643,10.883,0.923,0.012,47.145,0.188,0.0,13.207,7.9,5.041,10.403,14.375,0.216,4.695,5.774,16.592,184.311,184.311,3.006,39.388,5.534,4.852,5.0,4,11,18,0.8,2.707,0.457,5,8,21,13.833,235.422,1.172,2,165.756,2,2,78.297,12.291,0.702,3.837,12.677,1.703,8.219,0.786,4.558,1.303,3.942,3.942,5.856,2.1,0.267,4,4.864,4.609,3.84,4.013,4.606,11.531,11.335,1.151,10.386,10.176,25.62,235.422,235.422,235.422,235.422,70.106,3,12.688,1.909,86,21.417,0.515,0.6,65.2,0.0,0.639,0.76,0.977,82.458,0.88,1,0.516,2.869,2.869,2.097,0.066,0.704,0,12.71,5,8.807,5.889,5.643,18.913,16.517,1.658,1090.0,277.0,1227.32,15797.8,133.4,23.292,102,25.817,3.902,3.716,13.099,28.149,33.46,11.691,31.616,197.593,473.887,3,5,3.859,3.874,3.799,3.796,1.09
7.155,1.24,0.86,1.844,8.152,42.596,47.045,202.968,202.968,0.625,1,5.194,1.573,1.55,3.464,34.519,192.213,2.566,31.327,0.9,0.973,91.908,32.82,247.253,40.5,0.093,3.823,3.92,4.474,0.427,226.477,42,43,477.095,1.542,324.59,48.32,0.706,4.514,4.405,4.579,4.474,4.664,4.7,7.845,34.966,202.968,35.806,0,0.56,0.896,50.457,5.669,0.56,0,3.488,2.383,19.708,0.896,0.014,47.145,0.173,4.021,13.888,9.398,4.69,7.705,9.645,0.226,4.486,5.506,14.465,195.046,195.046,2.996,58.836,7.528,4.522,4.684,2,5,8,1.0,2.507,0.373,2,5,18,13.333,176.567,0.883,2,155.093,0,0,0.0,0.0,0.73,3.6,10.35,1.671,7.874,0.576,4.332,0.963,3.94,3.94,5.727,4.8,0.256,3,2.558,4.514,3.676,3.797,3.864,8.576,9.301,0.917,9.307,8.539,23.344,200.109,200.109,200.109,200.109,56.538,3,9.282,1.79,98,14.601,0.487,0.538,50.958,0.0,0.615,1.534,0.944,70.687,0.856,1,0.56,2.521,2.521,1.948,0.16,0.5,0,12.531,5,8.863,5.611,4.502,19.224,16.608,1.507,850.0,242.0,953.534,11377.3,114.465,21.535,85,23.461,3.65,3.474,9.643,27.672,29.932,11.011,27.979,187.967,450.399,1,7,3.655,3.723,3.511,3.492,0.953
6.26,1.293,0.86,1.837,7.867,43.138,48.362,208.574,208.574,0.652,1,4.021,1.786,1.747,2.915,21.991,184.965,2.647,23.729,0.9,0.742,0.0,19.195,270.796,41.9,0.089,3.856,3.965,4.542,0.42,233.329,43,45,413.223,1.574,290.97,36.745,0.937,4.546,4.522,4.713,4.568,4.79,4.807,7.97,23.08,208.574,38.14,0,0.576,0.894,37.363,5.671,0.576,0,3.429,2.372,10.883,0.894,0.01,47.145,0.177,3.985,8.303,7.469,4.845,8.769,11.05,0.25,4.557,5.522,14.303,107.631,107.631,2.679,22.16,5.136,4.637,4.766,4,9,9,0.8,2.488,0.251,5,6,20,11.5,200.109,0.94,0,145.049,0,0,0.0,0.0,0.699,3.499,10.838,1.659,7.749,0.577,4.396,1.096,3.486,3.486,5.634,4.7,0.24,4,4.479,4.455,3.661,3.719,4.087,8.248,10.587,1.035,7.9,6.928,17.056,223.651,223.651,223.651,223.651,47.506,3,9.881,1.86,76,20.446,0.389,0.415,53.556,0.0,0.641,0.7,0.962,94.229,0.851,1,0.576,2.466,2.466,2.093,0.095,0.739,0,12.368,3,7.056,5.222,5.222,15.816,13.119,1.159,733.0,217.0,857.086,9879.69,107.818,19.864,79,22.665,3.61,3.371,9.681,28.149,28.228,11.363,26.928,166.338,397.625,2,5,3.801,3.842,3.703,3.691,1.065
4.0,1.407,0.86,1.922,9.4,47.011,51.864,214.8,221.555,0.704,3,3.305,1.589,1.567,3.082,27.149,197.29,2.407,16.704,0.9,0.723,0.0,27.483,266.879,41.3,0.113,3.976,4.063,4.498,0.399,254.084,46,49,442.838,1.567,310.95,40.195,0.586,4.701,4.736,4.939,4.714,4.978,4.741,8.321,20.959,235.819,22.607,2,0.707,0.872,35.294,5.698,0.397,0,3.632,2.514,32.649,0.928,0.009,54.999,0.215,8.721,11.669,7.661,4.655,7.165,8.545,0.295,4.645,5.44,16.899,124.376,124.376,2.938,21.254,5.092,4.539,4.856,0,3,3,0.8,2.628,0.357,0,5,19,13.5,176.567,0.939,0,156.394,0,0,0.0,0.0,0.696,3.601,11.308,1.702,8.212,0.583,4.502,1.117,3.925,3.925,5.865,6.5,0.195,2,0.809,4.817,3.884,3.768,4.105,7.107,11.038,1.187,7.79,6.904,19.508,211.88,211.88,211.88,211.88,52.354,5,9.677,1.62,93,24.749,0.503,0.459,31.574,105.396,0.704,0.881,0.975,54.999,0.877,3,0.854,2.696,2.696,2.12,-0.088,0.704,1,0.0,5,8.878,6.167,4.664,17.947,15.237,2.017,1086.0,278.0,1227.96,15545.7,132.973,22.914,100,25.729,3.674,3.534,9.887,8.756,30.381,27.133,29.853,180.396,431.927,0,6,3.548,3.586,3.312,3.351,0.671
4.0,1.457,0.657,1.983,7.233,38.338,42.325,188.666,190.666,0.783,0,2.942,1.502,1.496,2.55,16.165,171.157,2.081,15.916,0.87,0.674,0.0,20.753,186.795,44.7,0.103,3.777,3.869,4.094,0.258,199.421,38,41,374.287,1.437,268.49,31.942,0.638,4.449,4.258,4.48,4.165,4.37,4.297,6.178,12.845,190.666,13.791,2,0.23,0.956,23.745,5.421,0.23,0,3.324,2.25,7.19,0.956,0.008,22.0,0.19,8.705,6.244,6.261,4.528,6.582,7.963,0.278,4.418,5.072,14.127,135.91,135.91,2.786,17.892,3.977,4.377,4.646,0,3,4,0.6,2.477,0.242,0,3,15,10.833,161.702,0.704,1,138.609,0,0,0.0,0.0,0.68,3.429,6.317,1.655,7.734,0.576,4.285,1.006,3.924,3.924,5.311,7.9,0.214,2,0.951,4.426,3.523,3.5,3.49,6.931,7.514,0.821,5.517,5.494,15.495,164.795,164.795,164.795,164.795,23.177,2,6.88,1.557,71,16.885,0.138,0.15,14.972,85.919,0.674,0.59,1.023,22.0,0.891,1,0.283,2.388,2.388,2.196,-0.034,0.826,1,0.0,3,7.2,5.083,3.851,14.608,13.391,1.195,694.0,219.0,857.223,9798.59,107.766,16.253,80,22.603,3.398,3.325,8.384,8.756,27.142,10.747,25.842,160.354,383.023,0,4,3.498,3.546,3.387,3.348,0.7
4.429,1.552,0.0,2.11,6.876,37.931,41.93,173.911,189.421,0.938,0,3.033,1.439,1.503,2.121,15.242,131.806,2.217,17.78,0.68,0.609,39.149,16.265,192.173,52.6,0.11,3.752,3.855,4.161,0.383,199.421,38,41,386.374,1.267,280.69,33.718,0.468,4.432,4.334,4.521,4.303,4.509,4.398,5.685,16.139,191.421,18.816,0,0.263,0.95,26.762,5.523,0.211,1,3.52,2.452,0.0,0.96,0.008,0.0,0.195,8.854,6.317,6.403,4.643,6.103,8.765,0.312,4.319,5.087,13.963,182.013,182.013,2.725,17.594,3.956,4.46,4.636,0,15,16,0.5,2.722,0.313,0,0,14,11.333,153.024,0.712,1,99.21,1,1,39.149,6.059,0.681,3.514,8.289,1.672,7.878,0.362,4.198,1.045,3.679,3.679,5.467,7.9,0.18,0,0.0,4.366,3.727,3.712,2.839,6.856,7.183,0.853,6.284,6.179,14.623,153.024,153.024,153.024,153.024,23.12,0,8.298,1.949,74,13.892,0.12,0.092,17.414,0.0,0.615,0.382,1.049,0.0,0.882,0,0.671,2.554,2.554,2.187,-0.062,0.917,0,0.0,2,5.562,5.278,3.608,14.827,13.534,1.08,778.0,219.0,921.331,10533.5,112.607,19.882,79,23.162,3.587,3.351,7.965,0.0,28.443,0.0,27.053,169.558,405.482,1,3,3.824,3.854,3.772,3.763,1.024
