pXC50,Sp,Sv,nBT,Si,nAT,nBO,nSK,SCBO,nH,nC,MW,Se,nCsp2,nN,nCsp3,RBN,nDB,nBM,Mv,H.,nAB,nHet,nHM,Me,O.,AMW,N.,Mp
6.398,41.426,39.96,66,69.524,62,39,35,51.5,27,27,473.57,62.545,19,3,8,7,2,23,0.645,43.5,21,8,0,1.009,8.1,7.638,4.8,0.668
4.523,30.568,29.304,47,49.076,44,29,26,38.5,18,19,370.46,44.658,13,2,6,4,2,17,0.666,40.9,15,7,1,1.015,9.1,8.42,4.5,0.695
4.886,30.779,29.235,49,51.651,46,28,25,37.0,21,20,335.44,45.912,13,3,7,3,1,17,0.636,45.7,16,5,0,0.998,4.3,7.292,6.5,0.669
5.199,28.659,26.874,44,45.657,41,26,23,34.5,18,18,326.45,41.003,12,2,6,3,1,16,0.655,43.9,15,5,1,1.0,4.9,7.962,4.9,0.699
5.469,28.659,26.874,44,45.657,41,26,23,34.5,18,18,326.45,41.003,12,2,6,3,1,16,0.655,43.9,15,5,1,1.0,4.9,7.962,4.9,0.699
4.328,18.386,18.02,28,31.329,28,16,16,22.0,12,12,220.24,28.611,9,0,3,5,3,9,0.644,42.9,6,4,0,1.022,14.3,7.866,0.0,0.657
7.222,48.199,46.529,77,80.936,72,46,41,61.5,31,31,553.67,72.632,22,5,9,8,3,28,0.646,43.1,25,10,0,1.009,6.9,7.69,6.9,0.669
5.468,29.017,27.708,46,48.235,43,27,24,36.0,19,19,321.41,43.029,13,3,6,3,1,17,0.644,44.2,16,5,0,1.001,4.7,7.475,7.0,0.675
7.347,27.562,27.411,38,40.925,37,27,26,38.0,11,18,392.2,38.687,16,1,1,6,3,16,0.741,29.7,12,8,2,1.046,13.5,10.6,2.7,0.745
4.77,29.017,27.708,46,48.235,43,27,24,36.0,19,19,321.41,43.029,13,3,6,3,1,17,0.644,44.2,16,5,0,1.001,4.7,7.475,7.0,0.675
4.553,29.017,27.708,46,48.235,43,27,24,36.0,19,19,321.41,43.029,13,3,6,3,1,17,0.644,44.2,16,5,0,1.001,4.7,7.475,7.0,0.675
5.409,20.602,20.262,32,35.953,32,18,18,24.0,14,13,250.27,32.822,9,0,4,7,3,9,0.633,43.8,6,5,0,1.026,15.6,7.821,0.0,0.644
4.523,32.182,29.928,50,52.487,47,28,25,36.5,22,20,354.51,46.771,12,2,8,4,1,16,0.637,46.8,15,5,1,0.995,4.3,7.543,4.3,0.685
7.046,44.983,43.288,72,75.312,67,43,38,57.5,29,29,511.63,67.421,21,5,8,7,2,27,0.646,43.3,25,9,0,1.006,6.0,7.636,7.5,0.671
5.301,16.625,16.493,25,27.914,25,15,15,21.0,10,11,206.21,25.727,9,0,2,4,3,9,0.66,40.0,6,4,0,1.029,16.0,8.248,0.0,0.665
4.523,24.602,24.262,37,39.953,36,23,22,32.0,14,17,298.31,36.822,15,0,2,7,3,15,0.674,38.9,12,5,0,1.023,13.9,8.286,0.0,0.683
6.456,21.847,21.756,33,37.037,33,20,20,28.0,13,14,275.28,34.04,9,1,4,8,3,10,0.659,39.4,6,6,0,1.032,15.2,8.342,3.0,0.662
4.553,31.33,29.542,50,52.939,47,28,25,37.0,22,20,334.46,46.687,13,4,7,3,1,17,0.629,46.8,16,5,0,0.993,2.1,7.116,8.5,0.667
4.569,29.569,28.015,47,49.524,44,27,24,36.0,20,19,320.43,43.803,13,4,6,3,1,17,0.637,45.5,16,5,0,0.996,2.3,7.282,9.1,0.672
5.878,27.466,26.402,44,45.946,41,26,23,34.5,18,18,310.38,41.254,12,2,6,3,1,16,0.644,43.9,15,5,0,1.006,7.3,7.57,4.9,0.67
4.301,32.83,32.546,49,53.575,48,31,30,44.0,18,22,406.42,49.236,16,2,4,10,3,17,0.678,37.5,12,8,0,1.026,12.5,8.467,4.2,0.684
4.796,25.949,25.658,38,41.166,37,25,24,36.0,13,16,347.37,38.444,15,1,1,7,5,17,0.693,35.1,12,8,1,1.039,16.2,9.388,2.7,0.701
4.119,25.495,24.655,40,41.405,37,25,22,34.0,15,17,293.35,37.262,13,3,4,3,1,17,0.666,40.5,16,5,0,1.007,5.4,7.928,8.1,0.689
7.352,29.608,29.308,43,45.98,41,30,28,40.5,13,17,420.86,42.862,16,4,1,5,2,19,0.715,31.7,17,11,2,1.045,12.2,10.265,9.8,0.722
5.699,45.193,43.508,72,76.438,68,42,38,55.0,30,29,514.63,68.531,20,4,9,8,2,24,0.64,44.1,22,9,0,1.008,7.4,7.568,5.9,0.665
4.523,28.818,27.427,44,45.788,41,27,24,35.5,17,18,389.27,41.483,12,2,6,3,1,16,0.669,41.5,15,6,1,1.012,7.3,9.494,4.9,0.703
4.237,32.228,30.928,51,52.362,47,31,27,42.0,20,22,360.44,47.138,16,2,6,3,1,21,0.658,42.6,20,5,0,1.003,6.4,7.669,4.3,0.686
6.54,34.335,32.852,53,55.989,50,32,29,43.0,21,21,411.52,50.643,16,3,5,4,5,17,0.657,42.0,12,8,1,1.013,8.0,8.23,6.0,0.687
5.538,43.915,42.65,70,73.153,65,43,38,57.5,27,29,514.6,65.832,21,4,8,7,2,27,0.656,41.5,25,9,0,1.013,6.2,7.917,6.2,0.676
5.602,21.847,21.756,33,37.037,33,20,20,28.0,13,14,275.28,34.04,10,1,3,7,3,10,0.659,39.4,6,6,0,1.032,15.2,8.342,3.0,0.662
4.523,30.421,28.401,47,49.072,44,27,24,35.5,20,19,340.48,43.887,12,2,7,3,1,16,0.645,45.5,15,5,1,0.997,4.5,7.738,4.5,0.691
5.229,28.017,26.708,45,47.235,42,26,23,34.5,19,18,309.4,42.029,12,3,6,3,1,16,0.636,45.2,15,5,0,1.001,4.8,7.367,7.1,0.667
7.699,45.887,44.696,73,76.232,68,45,40,60.5,28,30,540.62,68.974,22,4,8,8,3,28,0.657,41.2,25,10,0,1.014,8.8,7.95,5.9,0.675
6.796,46.193,44.508,74,77.438,69,44,39,58.5,30,30,526.64,69.531,21,4,9,7,2,27,0.645,43.5,25,9,0,1.008,7.2,7.632,5.8,0.669
6.921,49.301,47.431,78,82.066,73,47,42,63.5,31,30,589.73,74.036,21,5,9,9,4,29,0.65,42.5,25,12,1,1.014,8.2,8.078,6.8,0.675
6.398,43.642,42.201,70,74.149,66,41,37,53.5,29,28,503.6,66.756,19,3,9,8,2,23,0.639,43.9,21,9,0,1.011,9.1,7.63,4.5,0.661
4.301,14.108,14.461,21,23.582,21,14,14,20.0,7,9,193.17,22.062,8,1,1,4,3,9,0.689,33.3,6,5,0,1.051,19.0,9.199,4.8,0.672
4.886,44.262,41.847,72,78.059,69,38,35,48.0,34,27,478.65,68.97,15,4,12,10,2,18,0.606,49.3,16,8,0,1.0,5.8,6.937,5.8,0.641
4.523,34.784,33.256,55,57.149,51,33,29,44.5,22,23,386.49,51.014,17,4,6,4,1,22,0.652,43.1,21,6,0,1.0,3.9,7.578,7.8,0.682
5.0,22.364,21.788,35,39.369,35,19,19,25.0,16,14,264.3,35.705,9,0,5,8,3,9,0.623,45.7,6,5,0,1.02,14.3,7.551,0.0,0.639
4.301,16.625,16.493,25,27.914,25,15,15,21.0,10,11,206.21,25.727,9,0,2,5,3,9,0.66,40.0,6,4,0,1.029,16.0,8.248,0.0,0.665
4.523,29.375,28.831,47,49.365,44,29,26,38.5,18,19,354.39,44.909,13,2,6,4,2,17,0.655,40.9,15,7,0,1.021,11.4,8.054,4.5,0.668
4.301,12.557,13.154,19,21.293,19,13,13,18.5,6,8,182.14,20.287,7,0,1,4,3,8,0.692,31.6,5,5,0,1.068,26.3,9.586,0.0,0.661
4.523,30.989,29.455,50,52.777,47,28,25,36.5,22,20,338.44,47.022,12,2,8,4,1,16,0.627,46.8,15,5,0,1.0,6.4,7.201,4.3,0.659
4.31,30.779,29.235,49,51.651,46,28,25,37.0,21,20,335.44,45.912,13,3,7,3,1,17,0.636,45.7,16,5,0,0.998,4.3,7.292,6.5,0.669
4.208,27.682,26.643,45,48.571,43,25,23,32.0,20,17,316.39,43.465,9,2,8,5,2,12,0.62,46.5,10,6,0,1.011,9.3,7.358,4.7,0.644
5.155,42.523,40.552,67,70.604,63,39,35,52.0,28,28,468.6,62.992,20,4,8,7,2,24,0.644,44.4,22,7,0,1.0,4.8,7.438,6.3,0.675
4.301,24.148,23.547,36,38.744,35,22,21,31.0,14,17,282.31,35.494,15,0,2,6,3,15,0.673,40.0,12,4,0,1.014,11.4,8.066,0.0,0.69
4.301,21.909,21.074,34,38.159,34,18,18,24.0,16,14,248.3,34.378,9,0,5,5,3,9,0.62,47.1,6,4,0,1.011,11.8,7.303,0.0,0.644
4.523,30.989,29.455,50,52.777,47,28,25,36.5,22,20,338.44,47.022,12,2,8,3,1,16,0.627,46.8,15,5,0,1.0,6.4,7.201,4.3,0.659
4.301,15.625,15.493,24,26.914,24,14,14,19.0,10,10,194.2,24.727,8,0,2,4,2,8,0.646,41.7,6,4,0,1.03,16.7,8.092,0.0,0.651
4.301,30.779,29.235,49,51.651,46,28,25,37.0,21,20,335.44,45.912,13,3,7,3,1,17,0.636,45.7,16,5,0,0.998,4.3,7.292,6.5,0.669
4.523,29.023,27.73,47,49.734,44,27,24,35.5,20,18,324.42,44.131,11,4,7,3,1,16,0.63,45.5,15,6,0,1.003,4.5,7.373,9.1,0.66
6.638,25.847,25.756,38,41.037,37,25,24,36.0,13,18,323.32,38.04,16,1,1,6,3,16,0.696,35.1,12,6,0,1.028,13.5,8.738,2.7,0.699
5.174,25.847,25.756,38,41.037,37,25,24,36.0,13,18,323.32,38.04,16,1,1,6,3,16,0.696,35.1,12,6,0,1.028,13.5,8.738,2.7,0.699
4.523,33.779,32.235,53,54.651,49,32,28,43.5,21,23,371.47,48.912,17,3,6,3,1,22,0.658,42.9,21,5,0,0.998,4.1,7.581,6.1,0.689
4.301,14.108,14.461,21,23.582,21,14,14,20.0,7,9,193.17,22.062,8,1,1,4,3,9,0.689,33.3,6,5,0,1.051,19.0,9.199,4.8,0.672
4.301,14.386,14.02,23,27.329,24,11,12,14.0,12,8,172.2,24.611,3,0,5,4,3,3,0.584,50.0,0,4,0,1.025,16.7,7.175,0.0,0.599
4.523,29.682,28.643,48,50.571,45,28,25,36.5,20,19,340.41,45.465,12,2,7,4,1,16,0.637,44.4,15,6,0,1.01,8.9,7.565,4.4,0.66
4.921,45.046,42.605,72,76.434,68,40,36,52.0,32,29,484.65,67.76,19,4,10,8,1,23,0.627,47.1,22,7,0,0.996,4.4,7.127,5.9,0.662
6.469,30.983,29.434,49,51.279,46,28,25,37.0,21,21,335.43,45.92,15,1,6,3,1,17,0.64,45.7,16,4,0,0.998,6.5,7.292,2.2,0.674
7.229,38.273,36.036,61,65.022,58,33,30,43.0,28,25,404.55,57.672,16,2,9,5,2,18,0.621,48.3,16,5,0,0.994,5.2,6.975,3.4,0.66
4.699,35.875,35.254,56,61.467,54,34,32,42.5,22,22,469.52,55.956,13,1,9,6,3,14,0.653,40.7,11,10,1,1.036,9.3,8.695,1.9,0.664
5.495,35.455,34.502,55,59.534,53,33,31,43.5,22,21,446.52,54.407,13,2,8,7,5,16,0.651,41.5,11,10,1,1.027,13.2,8.425,3.8,0.669
6.476,36.341,34.873,57,59.488,53,35,31,46.0,22,22,438.55,53.745,16,4,6,4,5,17,0.658,41.5,12,9,1,1.014,7.5,8.275,7.5,0.686
8.319,30.983,29.434,49,51.279,46,28,25,37.0,21,21,335.43,45.92,15,1,6,3,1,17,0.64,45.7,16,4,0,0.998,6.5,7.292,2.2,0.674
6.408,33.58,32.346,52,55.072,49,32,29,43.0,20,20,412.51,49.862,16,4,4,5,5,17,0.66,40.8,12,9,1,1.018,8.2,8.419,8.2,0.685
6.824,28.222,26.907,45,46.863,42,26,23,34.5,19,19,309.39,42.036,13,1,6,3,1,16,0.641,45.2,15,4,0,1.001,7.1,7.366,2.4,0.672
6.523,43.25,40.804,70,74.062,66,38,34,48.0,32,28,460.62,65.767,16,2,12,5,2,18,0.618,48.5,16,6,0,0.996,6.1,6.979,3.0,0.655
8.854,30.165,29.312,48,50.701,45,29,26,38.0,19,20,354.41,45.651,14,2,6,3,1,17,0.651,42.2,16,6,0,1.014,6.7,7.876,4.4,0.67
8.523,30.228,28.928,48,50.362,45,28,25,37.0,20,20,336.42,45.138,14,2,6,3,1,17,0.643,44.4,16,5,0,1.003,6.7,7.476,4.4,0.672
5.81,33.511,33.008,51,52.451,47,35,31,48.5,16,21,436.48,48.422,20,4,1,4,5,22,0.702,34.0,17,10,1,1.03,10.6,9.287,8.5,0.713
6.314,40.608,38.389,62,64.238,58,37,33,51.0,25,27,459.6,58.091,21,1,6,5,3,25,0.662,43.1,22,6,1,1.002,6.9,7.924,1.7,0.7
6.222,36.017,34.232,53,56.921,51,32,30,40.5,21,21,470.4,52.182,13,1,8,6,3,14,0.671,41.2,11,9,3,1.023,9.8,9.224,2.0,0.706
6.097,34.682,34.782,56,61.756,54,34,32,42.5,22,22,453.45,56.207,13,1,9,6,3,14,0.644,40.7,11,10,0,1.041,11.1,8.397,1.9,0.642
7.585,41.489,39.277,67,70.647,63,37,33,47.0,30,27,446.59,62.883,16,2,11,5,2,18,0.623,47.6,16,6,0,0.998,6.3,7.089,3.2,0.659
5.633,34.705,33.48,51,52.162,47,35,31,48.5,16,21,452.55,48.171,20,4,1,4,5,22,0.712,34.0,17,10,2,1.025,8.5,9.629,8.5,0.738
7.77,40.034,37.562,64,68.438,61,34,31,44.0,30,26,418.58,60.556,16,2,10,5,2,18,0.616,49.2,16,5,0,0.993,4.9,6.862,3.3,0.656
5.347,13.75,13.627,19,21.003,19,13,13,18.5,6,8,198.21,20.036,7,0,1,4,3,8,0.717,31.6,5,5,1,1.055,21.1,10.432,0.0,0.724
5.609,35.341,33.873,55,58.488,52,33,30,44.0,22,21,426.54,52.745,16,4,5,5,5,17,0.651,42.3,12,9,1,1.014,7.7,8.203,7.7,0.68
4.0,29.955,29.391,46,48.113,43,30,27,41.5,16,20,360.4,43.691,18,4,2,4,0,23,0.684,37.2,23,7,0,1.016,7.0,8.381,9.3,0.697
5.983,39.864,37.927,63,66.318,59,37,33,48.0,26,24,466.61,59.512,16,4,8,4,5,17,0.643,44.1,12,9,1,1.009,6.8,7.909,6.8,0.676
5.237,34.057,33.293,51,52.242,47,35,31,49.0,16,22,432.49,48.094,21,4,1,3,5,23,0.708,34.0,18,9,1,1.023,8.5,9.202,8.5,0.725
7.745,40.489,38.277,65,69.647,62,35,32,45.0,30,26,434.58,61.883,16,2,10,6,2,18,0.617,48.4,16,6,0,0.998,6.5,7.009,3.2,0.653
6.222,35.875,35.254,56,61.467,54,34,32,42.5,22,22,469.52,55.956,13,1,9,6,3,14,0.653,40.7,11,10,1,1.036,9.3,8.695,1.9,0.664
6.155,36.989,36.594,59,64.962,57,35,33,44.0,24,24,463.49,58.763,15,1,9,6,3,15,0.642,42.1,12,9,0,1.031,8.8,8.131,1.8,0.649
5.071,40.068,38.125,62,65.946,59,36,33,46.5,26,25,466.6,59.52,17,2,8,8,2,19,0.646,44.1,17,8,1,1.009,8.5,7.908,3.4,0.679
4.783,37.58,36.346,57,59.072,53,37,33,51.0,20,24,460.55,53.862,22,4,2,4,5,23,0.686,37.7,18,9,1,1.016,7.5,8.69,7.5,0.709
5.086,37.58,36.346,57,59.072,53,37,33,51.0,20,24,460.55,53.862,22,4,2,4,5,23,0.686,37.7,18,9,1,1.016,7.5,8.69,7.5,0.709
4.879,33.58,32.346,52,55.072,49,32,29,43.0,20,20,412.51,49.862,15,4,5,4,5,17,0.66,40.8,12,9,1,1.018,8.2,8.419,8.2,0.685
4.0,24.012,23.897,36,37.03,33,26,23,37.5,10,16,302.32,33.705,16,6,0,2,0,23,0.724,30.3,23,7,0,1.021,3.0,9.161,18.2,0.728
4.921,22.562,22.411,33,35.925,32,22,21,28.0,11,13,332.15,33.687,9,1,4,3,3,9,0.7,34.4,6,8,2,1.053,15.6,10.38,3.1,0.705
4.585,36.932,36.471,56,58.832,52,38,34,52.5,18,26,457.49,53.116,24,5,2,6,0,29,0.701,34.6,29,8,0,1.021,0.0,8.798,9.6,0.71
5.187,37.79,36.267,58,61.661,55,35,32,45.5,23,24,454.56,55.822,17,2,7,7,2,19,0.659,41.8,17,8,1,1.015,7.3,8.265,3.6,0.687
4.699,35.375,35.97,56,61.55,54,36,34,46.0,20,23,479.44,56.651,16,1,7,7,4,16,0.666,37.0,12,11,0,1.049,13.0,8.879,1.9,0.655
4.985,37.171,35.845,54,55.499,50,37,33,51.0,17,23,525.41,51.207,22,4,1,4,5,23,0.717,34.0,18,10,2,1.024,8.0,10.508,8.0,0.743
4.237,20.909,21.284,32,32.452,29,24,21,34.5,8,14,280.26,30.156,14,4,0,2,0,21,0.734,27.6,21,7,0,1.04,10.3,9.664,13.8,0.721
4.446,33.949,32.974,50,51.245,46,35,31,48.5,15,20,453.54,47.389,19,5,1,4,5,22,0.717,32.6,17,11,2,1.03,8.7,9.86,10.9,0.738
6.155,39.063,37.104,60,63.448,57,35,32,46.0,25,25,451.58,57.418,17,1,8,6,3,19,0.651,43.9,16,7,1,1.007,8.8,7.922,1.8,0.685
7.237,35.341,33.873,55,58.488,52,33,30,44.0,22,21,426.54,52.745,15,4,6,5,5,17,0.651,42.3,12,9,1,1.014,7.7,8.203,7.7,0.68
5.071,38.307,36.599,59,62.531,56,35,32,45.5,24,24,452.57,56.636,17,2,7,7,2,19,0.654,42.9,17,8,1,1.011,8.9,8.082,3.6,0.684
5.357,37.665,37.034,58,62.341,55,37,34,47.5,21,24,490.54,56.847,17,2,7,6,2,19,0.673,38.2,17,10,1,1.034,7.3,8.919,3.6,0.685
6.622,35.875,35.254,56,61.467,54,34,32,42.5,22,22,469.52,55.956,13,1,9,6,3,14,0.653,40.7,11,10,1,1.036,9.3,8.695,1.9,0.664
4.292,36.909,36.539,58,61.41,54,38,34,50.5,20,24,462.5,55.36,19,6,5,6,1,24,0.677,37.0,23,10,0,1.025,3.7,8.565,11.1,0.684
6.526,32.574,31.325,50,52.574,47,31,28,42.0,19,20,397.49,47.76,16,3,4,4,5,17,0.666,40.4,12,8,1,1.016,8.5,8.457,6.4,0.693
6.511,33.58,32.346,52,55.072,49,32,29,43.0,20,20,412.51,49.862,16,4,4,4,5,17,0.66,40.8,12,9,1,1.018,8.2,8.419,8.2,0.685
4.824,36.466,35.007,54,55.577,50,36,32,49.5,18,22,466.58,51.054,20,4,2,4,5,22,0.7,36.0,17,10,2,1.021,8.0,9.332,8.0,0.729
5.597,38.102,36.4,60,62.903,56,36,32,47.0,24,23,452.58,56.629,16,4,7,4,5,17,0.65,42.9,12,9,1,1.011,7.1,8.082,7.1,0.68
6.628,37.102,35.4,58,61.903,55,34,31,45.0,24,22,440.57,55.629,16,4,6,5,5,17,0.644,43.6,12,9,1,1.011,7.3,8.01,7.3,0.675
4.699,33.546,32.072,52,56.116,50,30,28,38.5,22,20,402.51,50.753,12,2,8,6,3,14,0.641,44.0,11,8,1,1.015,10.0,8.05,4.0,0.671
5.571,38.864,36.927,61,65.318,58,35,32,46.0,26,23,454.6,58.512,16,4,7,6,5,17,0.637,44.8,12,9,1,1.009,6.9,7.838,6.9,0.67
6.0,38.75,38.12,62,68.377,60,36,34,45.0,26,25,477.52,61.647,15,1,10,6,3,15,0.635,43.3,12,9,0,1.027,8.3,7.959,1.7,0.646
4.31,19.864,19.571,28,30.129,27,20,19,28.5,8,10,300.34,28.644,9,2,1,3,3,14,0.725,29.6,11,9,2,1.061,18.5,11.124,7.4,0.736
5.724,37.102,35.4,58,61.903,55,34,31,45.0,24,22,440.57,55.629,16,4,6,6,5,17,0.644,43.6,12,9,1,1.011,7.3,8.01,7.3,0.675
4.699,37.347,34.685,60,66.693,59,29,28,34.5,31,21,409.6,59.069,7,1,14,10,3,8,0.588,52.5,5,7,1,1.001,8.5,6.942,1.7,0.633
6.398,35.12,34.749,55,60.55,53,34,32,42.5,21,21,470.51,55.174,12,2,9,6,3,14,0.656,39.6,11,11,1,1.041,9.4,8.878,3.8,0.663
5.309,16.0,16.143,23,24.585,22,17,16,23.5,6,9,238.24,23.356,9,2,0,2,1,12,0.734,27.3,11,7,1,1.062,18.2,10.829,9.1,0.727
4.886,35.977,34.017,53,55.411,50,33,30,43.5,20,22,440.58,50.618,17,2,5,6,2,19,0.68,40.0,17,8,2,1.012,8.0,8.812,4.0,0.72
4.824,37.097,35.378,57,60.405,54,34,31,44.5,23,23,437.56,54.527,16,3,7,7,2,19,0.655,42.6,17,8,1,1.01,7.4,8.103,5.6,0.687
4.167,33.995,33.088,53,55.493,49,34,30,45.5,19,23,403.47,49.603,18,5,5,3,0,23,0.675,38.8,23,7,0,1.012,0.0,8.234,10.2,0.694
4.301,31.568,30.304,47,50.076,45,29,27,39.5,18,20,382.47,45.658,17,2,3,6,2,19,0.673,40.0,17,7,1,1.015,8.9,8.499,4.4,0.702
4.137,38.733,37.383,61,65.948,58,36,33,47.5,25,25,449.55,58.581,18,5,7,10,0,23,0.645,43.1,23,8,0,1.01,1.7,7.751,8.6,0.668
4.523,26.676,26.832,40,41.365,37,29,26,42.5,11,18,345.34,38.142,18,5,0,3,2,25,0.725,29.7,23,8,0,1.031,8.1,9.334,13.5,0.721
6.301,25.398,25.674,38,39.543,35,28,25,39.5,10,18,336.32,36.294,18,4,0,2,0,23,0.734,28.6,23,7,0,1.037,2.9,9.609,11.4,0.726
4.804,35.818,34.819,54,55.657,50,36,32,50.0,18,23,446.52,50.978,22,4,1,4,5,23,0.696,36.0,18,9,1,1.02,8.0,8.93,8.0,0.716
5.197,31.818,30.82,49,51.657,46,31,28,42.0,18,19,398.48,46.978,16,4,3,3,5,17,0.67,39.1,12,9,1,1.021,8.7,8.663,8.7,0.692
5.538,32.926,32.749,50,51.872,46,35,31,49.0,15,23,415.43,47.163,22,5,1,5,0,28,0.712,32.6,28,8,0,1.025,2.2,9.031,10.9,0.716
5.0,40.04,38.195,63,68.153,60,36,33,47.5,27,26,447.58,60.138,18,5,8,9,0,23,0.637,45.0,23,7,0,1.002,0.0,7.46,8.3,0.667
5.678,32.233,31.561,50,52.077,46,33,29,44.5,17,22,389.44,46.72,18,5,4,4,0,23,0.686,37.0,23,7,0,1.016,0.0,8.466,10.9,0.701
5.886,37.517,36.142,59,62.323,55,36,32,47.5,23,25,431.53,55.37,18,5,7,4,0,23,0.657,41.8,23,7,0,1.007,0.0,7.846,9.1,0.682
5.553,36.949,35.185,55,57.85,52,34,31,44.5,21,23,456.98,52.749,17,2,6,6,2,19,0.677,40.4,17,8,2,1.014,7.7,8.788,3.8,0.711
5.509,38.307,36.599,59,62.531,56,35,32,45.5,24,24,452.57,56.636,17,2,7,7,2,19,0.654,42.9,17,8,1,1.011,8.9,8.082,3.6,0.684
5.495,37.517,36.142,59,62.323,55,36,32,47.5,23,25,431.53,55.37,18,5,7,4,0,23,0.657,41.8,23,7,0,1.007,0.0,7.846,9.1,0.682
5.538,29.472,29.034,45,47.662,42,30,27,41.5,15,20,363.4,42.836,18,5,2,4,0,23,0.691,35.7,23,7,0,1.02,0.0,8.652,11.9,0.702
5.538,29.989,30.7,44,48.937,43,31,30,41.5,13,19,488.23,45.902,13,1,4,6,3,15,0.714,30.2,11,11,1,1.067,14.0,11.354,2.3,0.697
4.06,38.858,36.617,61,65.268,58,34,31,45.5,27,25,413.57,57.556,18,5,7,10,0,23,0.631,46.6,23,6,0,0.992,1.7,7.131,8.6,0.67
