pXC50,Eig04_AEA.bo.,Eig04_EA,SM12_AEA.bo.,CENT,ZM2MulPer,ZM2Per,ZM2V,Eig06_AEA.ed.,Eig06_AEA.ri.,Eig06_EA,Eig06_EA.ed.,SM14_AEA.bo.,SM15_AEA.dm.,ZM2Kup,Eig04_EA.bo.,SM14_AEA.ri.,Eig14_EA.ri.,Eig15_EA,Eig15_EA.ri.,SM09_AEA.dm.,Eig04_AEA.ri.,Eig06_EA.bo.,Dz,ATS1s,Chi0_EA.ri.,Chi1_EA.ri.,MDDD,SM03_EA.bo.,piPC02,SM02_EA.bo.,Eig15_EA.bo.,BBI,Eig14_AEA.ed.,MPC02,MWC02,SM02_AEA.ed.,SM02_EA,SpAD_AEA.bo.,SpAD_AEA.ed.,SpAD_AEA.ri.,SpAD_EA,SpAD_EA.ed.,SRW04,SRW06,X2,ZM1,ZM2Mad,VAR,Eig06_AEA.bo.,Eig09_AEA.ed.,Eig15_AEA.ri.,Eig15_EA.ed.,SM04_EA.bo.,SM10_AEA.ri.,SpAD_EA.bo.,BID,Eig14_EA,Eig14_EA.bo.,HDcpx,IDM,SM08_AEA.dm.,SpMaxA_EA.ri.,X1sol,XMOD,Eig04_EA.ri.,S0K,Eig08_EA.ed.,RDSQ,SM03_AEA.ri.,Chi0_EA.ed.,Eig04_EA.ed.,SM13_AEA.dm.,X1v,C.018,SpMax3_Bh.i.,Eig15_AEA.ed.,Eta_betaS,SM07_EA.bo.,SM08_EA.bo.,Eig02_EA.bo.,SM12_AEA.ri.,Eig09_EA.ed.,SM04_AEA.ri.,ATS6m,ATS7m,Eig11_AEA.ed.,ATSC7i,Eig11_AEA.bo.,Eig04_AEA.ed.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BLI,BLTA96,BLTD48,BLTF96,Br.094,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.007,C.008,C.009,C.011,C.012,C.013,C.015,C.016,C.017,C.019,C.021,C.022,C.024,C.025,C.026,C.027,C.028,C.029,C.030,C.031,C.032,C.033,C.034,C.035,C.039,C.040,C.041,C.042,C.043,C.044,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_AA,CATS2D_01_AN,CATS2D_01_DA,CATS2D_01_DN,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_AP,CATS2D_02_DA,CATS2D_02_DD,CATS2D_02_DL,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AP,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DP,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AP,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DP,CATS2D_04_LL,CATS2D_04_PL,CATS2D_04_PP,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AP,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_DN,CATS2D_05_DP,CATS2D_05_LL,CATS2D_05_PL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_AP,CATS2D_06_DA,CATS2D_06_DD,CATS2D_06_DL,CATS2D_06_DP,CATS2D_06_LL,CATS2D_06_PL,CATS2D_07_AA,CATS2D_07_AL,CATS2D_07_AN,CATS2D_07_AP,CATS2D_07_DA,CATS2D_07_DD,CATS2D_07_DL,CATS2D_07_DP,CATS2D_07_LL,CATS2D_07_PL,CATS2D_08_AA,CATS2D_08_AL,CATS2D_08_AP,CATS2D_08_DA,CATS2D_08_DD,CATS2D_08_DL,CATS2D_08_DP,CATS2D_08_LL,CATS2D_08_PL,CATS2D_09_AA,CATS2D_09_AL,CATS2D_09_AP,CATS2D_09_DA,CATS2D_09_DD,CATS2D_09_DL,CATS2D_09_DP,CATS2D_09_LL,CATS2D_09_NL,CATS2D_09_PL,Chi0_AEA.bo.,Chi0_AEA.dm.
5.097,3.526,2.099,2.099,686.0,367.276,536.35,346.0,4.348,2.536,1.571,4.091,1.571,4.091,350.995,2.816,2.816,-0.737,-0.819,-0.769,-0.819,3.097,2.078,49.833,4.959,15.538,12.635,17.051,4.59,4.127,4.812,-1.052,35,2.268,3.584,4.796,5.638,4.263,38.12,38.657,37.446,37.372,107.432,5.252,6.779,10.011,120.0,162.101,73.0,2.963,3.282,0.178,-2.299,6.956,-2.299,49.411,3.188,-0.75,-0.964,1.657,7.742,-0.75,0.122,11.347,71.832,2.085,100.042,2.814,182.075,2.814,9.004,5.761,5.761,7.362,1,3.62,1.806,14.5,10.326,11.961,3.609,3.609,2.136,2.136,3.586,3.416,2.775,0.633,1.595,5.061,1.708,9.435,1.376,1.892,88.618,8.859,0.48,3.726,3.836,3.424,3.333,3.323,4.19,4.313,3.81,3.725,5.446,3.69,4.489,4.655,3.947,3.85,5.801,3.8,4.506,4.694,3.83,3.748,5.797,3.688,4.419,4.62,3.86,3.591,5.816,3.547,4.23,4.431,3.481,5.52,3.401,4.09,4.277,3.421,5.31,3.337,4.013,4.189,3.39,3.369,5.395,3.276,0.084,0.53,5.461,2.903,11.878,3.339,0.185,0.812,9.56,5.047,21.591,6.103,0.357,1.021,18.023,7.127,51.531,8.523,0.366,1.005,20.841,7.239,53.2,8.428,0.534,0.886,21.259,6.559,77.621,7.605,0.396,0.732,19.217,5.712,51.172,6.868,0.265,15.993,5.169,39.187,6.094,0.299,0.59,13.414,4.867,53.771,6.05,17,0.306,0.632,0.786,0.871,0.884,0.884,0.883,-3.68,-3.65,-3.47,0,45.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,10,0,0,1,0,2,0,4,11,0,1,0,3,1,1,1,8,1,7,0,2,0,5,0,0,0,7,0,1,2,0,0,6,0,0,0,5,0,0,2,2,0,3,0,1,1,4,0,5,3,0,0,0,0,0,0,2,0,10,2,1,0,0,1,0,0,0,11,0,0,1,1,1,1,1,1,7,0,0,15.345,15.345
5.0,3.721,2.483,2.483,2346.0,548.304,799.81,512.0,5.056,3.144,2.218,6.034,2.218,6.034,538.678,3.007,3.007,0.566,0.424,0.383,0.424,3.436,2.66,75.333,5.339,23.485,19.582,41.059,4.987,4.466,5.153,0.505,51,3.09,3.951,5.176,5.989,4.635,54.995,55.654,54.671,54.582,153.623,5.631,7.122,15.028,176.0,238.133,166.0,3.455,4.415,1.344,1.106,7.342,1.106,69.734,3.561,0.618,0.618,1.767,8.902,0.618,0.082,16.263,107.252,2.357,170.974,5.126,315.404,5.126,13.563,6.999,6.999,11.141,0,3.824,3.0,23.0,10.923,12.572,3.872,3.872,4.261,4.261,4.295,4.308,3.871,1.738,2.665,5.369,1.772,12.294,3.917,15.346,129.707,8.237,0.459,4.189,4.302,3.832,3.687,3.692,4.726,4.893,4.197,4.056,5.876,4.048,4.942,5.121,4.274,4.171,6.139,4.13,4.967,5.208,4.165,4.132,6.015,4.071,4.859,5.044,4.213,4.152,6.044,4.113,4.952,5.142,4.21,6.103,4.177,5.02,5.215,4.226,6.246,4.183,4.972,5.17,4.257,4.155,6.172,4.11,0.126,0.934,10.471,5.109,11.754,6.243,0.505,1.435,22.484,8.349,37.14,10.323,0.846,1.652,32.099,10.804,74.613,13.267,0.744,1.618,35.818,11.177,69.081,15.245,0.694,1.557,28.054,10.023,61.354,13.071,0.675,1.688,29.735,10.483,57.05,13.739,0.913,33.344,10.965,99.041,14.109,0.789,1.647,34.542,11.01,79.644,14.064,32,0.287,0.661,0.834,0.882,0.882,0.882,0.903,-4.06,-4.01,-3.8,0,40.7,0,1,0,0,2,3,0,1,0,0,0,0,0,2,0,0,0,0,5,1,5,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,8,0,2,0,5,3,0,0,1,5,0,1,0,5,0,3,0,0,1,5,0,1,0,2,0,5,0,0,2,5,0,3,1,1,0,0,7,0,1,6,0,2,0,0,0,7,0,3,6,0,0,1,0,3,0,3,0,2,9,0,0,0,3,0,2,0,1,4,0,1,0,1,0,2,0,0,22.739,22.739
5.0,3.818,2.406,2.406,1112.0,560.053,827.23,527.0,4.913,2.859,1.934,5.588,1.934,5.588,531.755,3.147,3.147,-0.125,-0.347,-0.229,-0.347,3.343,2.481,62.167,5.111,19.305,16.502,25.98,4.913,4.382,5.069,-0.445,45,2.564,3.829,5.03,5.911,4.511,48.27,49.211,47.199,46.83,139.634,5.493,7.047,12.589,152.0,244.079,114.0,3.318,4.127,0.473,-0.757,7.27,-0.757,61.825,3.375,-0.151,-0.204,1.711,8.312,-0.151,0.103,13.617,94.793,2.237,128.606,4.741,253.772,4.741,10.719,7.21,7.21,9.471,0,3.805,2.407,18.0,10.745,12.37,3.894,3.894,3.648,3.648,4.1,3.773,3.542,0.955,2.536,5.582,2.02,10.857,5.899,34.795,108.721,11.791,0.387,3.774,3.838,3.754,3.491,3.475,4.233,4.313,4.208,3.877,5.662,3.854,4.482,4.592,4.384,4.012,5.898,3.974,4.438,4.536,4.398,3.951,6.022,3.907,4.407,4.505,4.383,3.838,6.04,3.841,4.352,4.493,3.765,5.776,3.725,4.206,4.376,3.576,5.546,3.494,3.952,4.131,3.814,3.378,5.329,3.275,0.206,0.631,0.365,2.485,21.925,2.257,0.385,1.026,1.321,4.245,37.279,3.606,0.661,1.354,13.947,7.433,83.324,5.947,0.817,1.307,16.405,7.013,110.113,5.367,0.753,1.119,12.655,6.115,80.618,4.523,0.674,1.044,9.362,5.601,70.44,4.465,0.581,14.148,5.842,62.946,5.374,0.47,0.837,15.059,5.159,56.905,4.94,26,0.356,0.661,0.797,0.88,0.88,0.88,0.917,-6.72,-6.54,-6.06,0,51.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,5,0,2,6,0,0,0,0,11,0,0,1,7,0,0,0,0,0,13,0,0,1,4,0,0,0,0,0,6,0,0,1,18,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,0,0,1,0,0,0,0,0,3,0,0,18.654,18.654
5.0,3.788,2.398,2.398,1117.0,528.44,773.65,494.0,4.959,2.92,2.002,5.783,2.002,5.783,494.02,3.218,3.218,-0.283,-0.494,-0.439,-0.494,3.358,2.727,61.833,5.092,17.991,15.1,22.217,5.33,4.416,5.103,-0.527,43,2.568,3.784,4.977,5.894,4.466,44.355,46.895,44.271,44.04,135.065,5.442,6.995,12.312,144.0,242.126,109.0,3.401,3.878,0.429,-0.931,7.508,-0.931,60.252,3.341,-0.397,-0.52,1.706,8.23,-0.397,0.112,13.035,92.697,2.292,126.382,3.618,235.898,3.618,9.968,7.61,7.61,9.92,0,3.833,2.375,17.25,11.509,13.1,4.496,4.496,2.556,2.556,4.131,4.02,3.229,1.35,2.03,5.766,2.082,10.0,3.768,14.197,98.861,10.094,0.552,3.85,3.929,3.793,3.455,3.441,4.377,4.493,4.109,3.831,5.867,3.816,4.639,4.795,4.219,3.907,6.08,3.898,4.633,4.775,4.268,3.839,6.398,3.861,4.566,4.696,4.176,3.776,6.311,3.796,4.493,4.637,3.713,6.047,3.736,4.464,4.621,3.632,6.303,3.635,4.354,4.54,3.938,3.524,5.865,3.479,0.225,0.758,5.948,3.96,39.021,3.501,0.571,1.185,13.505,7.01,90.283,6.806,0.941,1.471,23.616,9.001,143.309,8.416,1.292,1.6,24.487,9.13,227.35,7.35,1.187,1.303,17.657,7.732,198.265,6.459,0.968,1.433,19.899,7.853,154.093,6.642,1.18,14.778,7.11,213.546,6.515,0.907,1.03,20.115,7.122,129.051,6.493,54,0.362,0.736,0.857,0.885,0.885,0.885,1.026,-3.76,-3.72,-3.54,0,41.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,3,0,3,0,3,4,0,0,0,6,0,0,0,4,0,3,0,0,0,6,0,1,0,2,0,3,0,0,1,6,0,1,0,2,0,0,3,0,0,1,0,0,0,2,0,6,0,2,3,0,0,0,1,2,0,3,0,0,4,0,1,0,0,0,2,0,0,3,0,2,0,1,0,3,0,0,17.508,17.508
5.0,3.695,2.328,2.328,988.0,498.75,729.05,469.0,4.952,2.752,1.824,5.519,1.824,5.519,478.65,3.121,3.121,-0.025,-0.485,-0.456,-0.485,3.234,2.61,55.5,5.026,18.546,15.729,22.385,5.007,4.489,5.176,-0.649,43,2.88,3.784,4.99,5.844,4.466,46.04,46.067,45.693,45.596,133.108,5.451,6.98,11.732,146.0,213.339,93.0,3.271,4.017,0.474,-1.219,7.503,-1.219,65.145,3.305,-0.029,-0.038,1.689,8.088,-0.029,0.098,13.167,84.097,2.1,122.211,3.804,230.999,3.804,10.553,6.992,6.992,8.82,0,3.934,2.543,17.5,11.23,12.897,4.334,4.334,3.15,3.15,3.757,3.696,3.286,0.968,2.223,5.386,1.623,10.731,3.403,11.578,103.098,9.217,0.867,3.829,3.94,3.642,3.455,3.437,4.294,4.44,4.046,3.831,5.445,3.809,4.428,4.597,4.039,3.91,5.552,3.836,4.391,4.585,3.875,3.811,5.447,3.719,4.291,4.491,3.827,3.7,5.335,3.618,4.228,4.422,3.628,5.318,3.567,4.165,4.358,3.532,5.303,3.485,4.023,4.213,3.466,3.445,5.121,3.387,0.097,0.691,5.169,3.012,6.507,3.276,0.186,1.1,11.121,4.777,10.517,5.044,0.242,1.226,16.502,6.462,20.241,6.669,0.225,1.132,15.46,6.453,19.77,7.127,0.239,1.046,16.434,5.982,16.004,6.385,0.197,0.988,14.325,5.214,17.168,5.218,0.321,14.677,4.658,19.123,4.673,0.143,0.762,8.904,4.082,13.225,4.966,2,0.28,0.629,0.794,0.889,0.889,0.889,0.882,-4.86,-4.77,-4.48,0,46.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,0,2,11,0,0,0,0,7,0,0,2,10,0,0,0,0,0,7,0,0,2,7,0,0,0,0,0,4,0,0,2,13,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,2,0,6,6,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,0,18.049,18.049
5.0,4.285,3.028,3.028,3014.0,753.841,1156.83,715.0,6.172,3.482,2.514,8.82,2.514,8.82,747.433,3.729,3.729,1.383,1.336,1.287,1.336,3.998,3.419,95.0,5.543,30.897,26.559,42.955,5.732,4.98,5.67,1.774,83,4.615,4.431,5.602,6.611,5.118,83.801,87.152,82.891,82.794,274.369,6.08,7.717,20.482,270.0,379.853,213.0,3.862,5.707,2.301,3.097,8.064,3.097,108.604,3.812,1.401,1.962,1.835,9.693,1.401,0.069,21.346,133.695,2.937,236.215,7.954,598.099,7.954,17.014,10.942,10.942,14.887,0,3.972,4.108,30.5,12.193,13.884,4.71,4.71,7.212,7.212,5.004,4.881,5.061,3.83,3.083,6.766,1.529,10.955,4.94,24.402,162.643,7.928,0.577,4.452,4.549,4.09,4.028,4.027,5.039,5.174,4.574,4.499,6.116,4.496,5.354,5.503,4.807,4.747,6.415,4.739,5.555,5.708,4.955,4.916,6.651,4.899,5.712,5.88,5.019,5.024,6.785,4.991,5.807,5.998,5.077,6.861,5.016,5.835,6.046,5.022,6.889,4.938,5.703,5.922,4.64,4.855,6.751,4.751,0.074,1.064,13.58,6.747,16.837,7.968,0.531,1.884,28.133,11.685,41.046,14.14,0.695,2.532,40.329,16.193,56.058,19.403,0.778,3.064,49.956,20.238,96.563,24.274,1.043,3.566,60.228,23.585,96.073,28.642,1.038,3.852,68.795,27.353,109.954,34.694,1.207,75.265,28.908,156.498,36.875,1.098,3.326,67.314,25.466,138.141,32.452,38,0.231,0.568,0.737,0.827,0.863,0.879,0.859,-4.59,-4.51,-4.24,0,47.3,1,1,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,0,3,14,0,1,1,3,20,0,0,4,16,0,0,0,4,0,16,0,0,3,22,0,1,0,4,0,18,0,0,3,18,0,3,0,4,0,0,21,0,4,25,0,1,0,7,0,21,0,1,22,0,0,2,0,8,0,15,0,0,19,0,2,0,2,0,18,0,2,10,0,2,0,0,0,23,0,0,30.299,30.299
6.854,3.744,2.369,2.369,675.0,404.341,597.49,381.0,4.818,2.681,1.741,4.817,1.741,4.817,399.577,3.18,3.18,-0.685,-0.876,-0.837,-0.876,3.321,2.303,50.0,4.998,15.732,13.432,16.246,5.047,4.35,5.037,-1.0,39,2.353,3.689,4.875,5.79,4.369,40.999,42.338,40.548,40.5,124.515,5.342,6.903,10.627,130.0,173.65,72.0,3.037,3.854,0.087,-2.119,7.423,-2.119,56.182,3.19,-0.728,-0.999,1.663,7.772,-0.728,0.124,11.042,69.379,2.252,102.042,3.836,201.251,3.836,8.753,7.328,7.328,7.351,0,3.655,2.252,15.75,11.371,13.031,4.406,4.406,2.718,2.718,3.621,3.399,3.159,1.019,1.944,5.668,1.606,8.043,2.744,7.527,89.221,7.907,0.769,3.809,3.94,3.427,3.316,3.326,4.295,4.466,3.836,3.718,5.44,3.717,4.504,4.699,3.871,3.811,5.636,3.793,4.592,4.824,3.845,3.812,5.701,3.771,4.484,4.702,3.686,3.731,5.562,3.674,4.411,4.62,3.669,5.521,3.617,4.498,4.765,3.616,5.519,3.508,4.324,4.618,3.148,3.372,5.26,3.239,0.1,0.657,7.475,2.975,11.951,3.847,0.171,1.031,13.36,5.062,18.42,6.93,0.28,1.193,17.675,5.714,26.54,7.973,0.4,1.242,20.893,6.472,37.848,9.343,0.359,1.111,18.105,5.797,31.978,8.239,0.224,1.06,16.204,5.097,27.427,7.339,0.372,20.418,5.868,41.837,8.859,0.277,0.775,18.592,5.846,29.432,8.887,18,0.282,0.702,0.803,0.839,0.839,0.839,0.848,-4.06,-4.01,-3.79,0,41.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,0,0,0,3,0,2,6,1,1,0,6,4,0,1,1,3,0,1,0,5,0,4,0,0,2,4,3,4,0,1,0,4,0,0,0,5,0,2,2,1,0,1,2,1,0,7,0,0,0,5,0,3,3,0,5,0,0,1,0,3,0,2,2,0,2,0,1,0,1,0,4,1,0,0,0,2,1,0,1,2,0,0,15.378,15.378
5.0,3.9,2.625,2.625,4089.0,578.441,848.02,544.0,5.34,3.274,2.342,6.965,2.342,6.965,578.93,3.129,3.129,1.0,1.0,0.988,1.0,3.565,2.714,89.0,5.494,29.056,23.635,71.748,4.977,4.543,5.231,1.214,61,3.447,4.127,5.361,6.163,4.812,66.4,67.682,66.189,66.184,184.219,5.814,7.314,17.611,212.0,272.114,273.0,3.521,4.415,2.0,2.275,7.35,2.275,80.073,3.741,1.073,1.366,1.801,9.376,1.073,0.068,19.996,126.469,2.462,205.66,5.225,395.481,5.225,16.851,7.513,7.513,14.754,0,3.928,3.414,28.0,10.877,12.529,3.657,3.657,4.53,4.53,4.265,4.214,4.024,2.115,2.731,5.661,1.513,18.659,4.674,21.849,160.828,6.781,0.378,4.504,4.634,3.996,3.959,3.939,5.097,5.3,4.334,4.349,6.041,4.305,5.358,5.586,4.406,4.521,6.247,4.445,5.406,5.651,4.362,4.536,6.305,4.436,5.403,5.647,4.34,4.538,6.32,4.425,5.395,5.648,4.494,6.233,4.371,5.334,5.596,4.386,6.216,4.276,5.196,5.433,4.174,4.308,6.094,4.223,0.024,1.222,19.498,7.398,11.437,10.634,0.525,1.928,37.858,11.851,41.638,17.627,0.686,2.317,49.892,15.383,52.388,23.063,0.658,2.371,52.334,16.533,64.144,24.92,0.805,2.338,52.247,17.276,75.439,25.516,0.566,2.283,51.688,16.851,57.591,25.38,0.884,49.652,14.519,73.048,22.414,0.548,1.914,42.617,12.756,48.867,19.345,22,0.229,0.508,0.715,0.799,0.824,0.824,0.984,-4.15,-4.09,-3.87,0,37.3,2,4,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,6,1,4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,14,0,2,0,2,5,0,0,2,9,0,0,0,2,0,3,0,0,3,7,0,0,0,0,0,7,0,0,5,6,0,2,0,0,0,0,6,0,2,5,0,0,0,0,0,1,0,5,6,0,0,1,0,3,0,0,0,2,6,0,0,0,1,0,2,0,2,9,0,1,0,1,0,5,0,0,28.093,28.093
6.0,4.028,2.674,2.674,2967.0,572.29,826.19,533.0,5.354,3.387,2.427,6.985,2.427,6.985,527.459,3.424,3.424,0.861,0.618,0.6,0.618,3.632,2.921,80.0,5.369,24.832,20.944,54.171,5.286,4.549,5.236,0.618,57,3.281,4.06,5.273,6.125,4.745,59.697,59.67,59.577,59.554,172.829,5.733,7.236,17.312,194.0,286.601,223.0,3.611,4.679,1.591,1.372,7.476,1.372,75.473,3.641,0.942,0.978,1.776,9.083,0.942,0.08,18.393,118.193,2.563,175.995,5.645,337.331,5.645,14.205,7.669,7.669,14.027,0,3.921,3.222,24.0,11.257,12.868,3.92,3.92,4.64,4.64,4.156,4.197,3.609,1.916,2.61,5.584,1.604,16.351,5.318,28.281,147.876,7.188,0.45,4.371,4.497,4.019,3.889,3.842,4.938,5.128,4.328,4.271,6.08,4.207,5.195,5.411,4.346,4.419,6.197,4.302,5.303,5.572,4.288,4.382,6.295,4.254,5.17,5.392,4.201,4.294,6.317,4.214,5.038,5.252,4.306,6.029,4.205,5.106,5.353,4.337,6.073,4.205,5.076,5.315,4.098,4.27,6.039,4.136,0.096,1.121,19.611,6.83,18.6,9.228,0.49,1.759,33.291,11.432,69.127,15.683,0.453,2.131,45.659,14.336,62.867,19.753,0.609,2.129,58.518,16.676,88.167,22.658,0.859,1.86,44.316,13.074,119.388,17.925,0.37,1.832,35.993,12.133,53.078,17.495,0.467,39.463,13.852,57.019,19.972,0.319,1.843,41.493,13.165,49.703,18.833,40,0.249,0.563,0.739,0.802,0.808,0.808,1.052,-4.36,-4.3,-4.05,0,37.0,4,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,8,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,6,0,5,0,8,8,0,0,1,8,0,0,0,6,0,3,0,0,0,14,0,1,1,3,0,2,0,0,0,11,0,3,1,2,0,0,9,0,0,5,0,0,0,4,0,7,0,4,3,0,0,1,0,7,0,12,0,0,3,0,1,0,2,0,10,0,2,4,0,4,1,0,0,9,0,0,24.159,24.159
5.0,3.75,2.391,2.391,1178.0,452.166,657.62,427.0,4.823,2.759,1.796,5.113,1.796,5.113,426.704,3.191,3.191,0.248,0.0,0.0,0.0,3.322,2.538,59.0,5.11,19.808,15.815,31.077,4.796,4.422,5.109,0.0,42,2.904,3.761,4.99,5.796,4.443,46.139,47.116,45.573,45.498,127.22,5.442,6.942,11.851,146.0,201.784,118.0,3.249,3.634,0.925,0.0,7.347,0.0,63.743,3.374,0.264,0.308,1.707,8.285,0.264,0.097,14.15,89.029,2.203,132.606,3.193,238.128,3.193,11.647,6.948,6.948,9.623,0,3.903,2.467,17.25,10.918,12.61,3.946,3.946,3.112,3.112,3.804,3.746,3.271,1.168,2.5,5.34,1.585,12.286,4.493,20.186,114.788,8.402,0.71,3.933,4.041,3.653,3.596,3.55,4.385,4.525,4.009,3.968,5.533,3.895,4.58,4.752,4.064,4.071,5.68,3.961,4.574,4.747,4.008,3.986,5.713,3.882,4.522,4.712,3.866,3.941,5.584,3.83,4.549,4.75,3.926,5.609,3.818,4.533,4.753,3.841,5.597,3.752,4.411,4.634,3.583,3.705,5.489,3.601,0.044,0.663,7.861,3.899,7.206,4.667,0.109,1.04,14.352,6.503,16.07,7.766,0.116,1.248,23.017,9.306,23.968,10.629,0.237,1.254,24.376,8.717,35.504,9.532,0.169,1.163,21.084,8.362,26.663,10.076,0.138,1.195,22.736,8.907,26.506,10.807,0.162,20.446,7.871,30.645,9.879,0.226,1.051,18.187,6.853,31.972,8.636,7,0.266,0.591,0.757,0.886,0.91,0.91,0.931,-4.38,-4.31,-4.07,0,47.8,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,10,2,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,0,6,0,1,0,3,14,0,0,0,5,0,0,0,4,0,10,0,0,0,6,0,0,0,4,0,11,0,0,0,2,0,1,0,3,0,0,10,0,1,6,0,0,0,3,0,9,0,0,6,0,0,0,0,4,0,8,0,1,3,0,1,0,3,0,6,0,0,1,0,1,1,1,0,7,0,0,19.438,19.438
