pXC50,SCBO,MW,RBN,nH,nSK,Sv,nBO,Se,Sp,Si,nBT,nAT,nCsp3,nHet,nO,nC,nDB,nAB,C.,H.,Mi,nCsp2,AMW,nN,Mv,RBF,nBM,Mp,nF,nCsp
8.658,49.0,458.55,5,26,34,38.938,39,60.443,40.421,67.026,65.0,60.0,9,7,5,27,1,18,45.0,43.3,1.117,18,7.642,2,0.649,0.077,19,0.674,0,0
6.744,52.0,473.51,7,23,35,38.82,40,59.113,39.563,64.531,63.0,58.0,6,8,7,27,1,22,46.6,39.7,1.113,21,8.164,1,0.669,0.111,23,0.682,0,0
8.71,54.0,514.62,12,30,38,43.707,41,68.538,45.398,76.066,71.0,68.0,7,8,6,30,1,24,44.1,44.1,1.119,23,7.568,2,0.643,0.169,25,0.668,0,0
9.495,47.0,445.55,6,27,33,38.444,37,60.225,40.176,66.943,64.0,60.0,9,6,5,27,1,18,45.0,45.0,1.116,18,7.426,1,0.641,0.094,19,0.67,0,0
4.602,46.0,387.41,4,17,29,31.81,33,46.807,32.369,50.867,50.0,46.0,3,6,5,23,2,22,50.0,37.0,1.106,20,8.422,1,0.692,0.08,24,0.704,0,0
8.457,55.0,528.65,12,32,39,45.234,42,71.421,47.159,79.481,74.0,71.0,8,8,6,31,1,24,43.7,45.1,1.119,23,7.446,2,0.637,0.162,25,0.664,0,0
7.824,53.0,465.53,5,23,35,39.39,40,58.458,40.654,64.113,63.0,58.0,5,6,5,29,1,24,50.0,39.7,1.105,24,8.026,1,0.679,0.079,25,0.701,0,0
4.94,41.5,375.45,4,21,28,32.149,32,49.247,33.438,54.488,53.0,49.0,7,5,4,23,1,17,46.9,42.9,1.112,16,7.662,1,0.656,0.075,18,0.682,0,0
8.347,45.0,417.49,5,23,31,35.39,35,54.458,36.654,60.113,58.0,54.0,7,6,5,25,1,18,46.3,42.6,1.113,18,7.731,1,0.655,0.086,19,0.679,0,0
8.504,56.0,542.68,13,34,40,46.76,43,74.305,48.921,82.896,77.0,74.0,9,8,6,32,1,24,43.2,45.9,1.12,23,7.334,2,0.632,0.169,25,0.661,0,0
8.62,43.0,389.43,4,19,29,32.337,33,48.691,33.131,53.282,52.0,48.0,5,6,5,23,1,18,47.9,39.6,1.11,18,8.113,1,0.674,0.077,19,0.69,0,0
8.458,52.0,484.59,10,28,36,41.465,39,64.327,43.182,71.441,67.0,64.0,6,7,5,29,1,24,45.3,43.8,1.116,23,7.572,2,0.648,0.149,25,0.675,0,0
9.678,47.0,445.55,7,27,33,38.444,37,60.225,40.176,66.943,64.0,60.0,9,6,5,27,1,18,45.0,45.0,1.116,18,7.426,1,0.641,0.109,19,0.67,0,0
8.244,44.0,403.46,4,21,30,33.863,34,51.574,34.892,56.697,55.0,51.0,6,6,5,24,1,18,47.1,41.2,1.112,18,7.911,1,0.664,0.073,19,0.684,0,0
7.367,51.0,459.48,6,21,34,37.293,39,56.229,37.801,61.116,60.0,55.0,5,8,7,26,1,22,47.3,38.2,1.111,21,8.354,1,0.678,0.1,23,0.687,0,0
8.495,48.0,460.57,6,28,34,39.465,38,62.327,41.182,69.441,66.0,62.0,9,7,5,27,1,18,43.5,45.2,1.12,18,7.429,2,0.637,0.091,19,0.664,0,0
7.638,53.0,496.65,11,32,37,43.804,40,68.767,46.25,77.062,72.0,69.0,8,6,4,31,1,24,44.9,46.4,1.117,23,7.198,2,0.635,0.153,25,0.67,0,0
8.86,57.0,558.68,13,34,41,47.475,44,75.632,49.375,84.106,78.0,75.0,9,9,7,32,1,24,42.7,45.3,1.121,23,7.449,2,0.633,0.167,25,0.658,0,0
4.602,44.0,387.46,6,21,29,33.149,32,50.247,34.438,55.488,53.0,50.0,4,5,4,24,1,22,48.0,42.0,1.11,20,7.749,1,0.663,0.113,23,0.689,0,0
4.602,43.0,386.47,4,22,29,33.654,33,51.029,35.193,56.405,55.0,51.0,6,4,4,25,1,18,49.0,43.1,1.106,19,7.578,0,0.66,0.073,19,0.69,0,0
4.699,42.0,341.38,3,15,26,28.853,30,41.269,29.699,45.033,45.0,41.0,2,4,3,22,1,22,53.7,36.6,1.098,20,8.326,1,0.704,0.067,23,0.724,0,0
4.215,37.5,335.38,4,17,25,28.095,28,42.48,28.915,46.658,45.0,42.0,4,5,4,20,1,17,47.6,40.5,1.111,16,7.985,1,0.669,0.089,18,0.688,0,0
7.745,62.0,563.64,9,29,42,47.4,47,71.763,48.847,78.777,76.0,71.0,6,8,7,34,3,24,47.9,40.8,1.11,28,7.939,1,0.668,0.118,27,0.688,0,0
4.602,46.0,399.47,4,21,30,34.149,34,51.247,35.438,56.488,55.0,51.0,5,5,4,25,1,22,49.0,41.2,1.108,20,7.833,1,0.67,0.073,23,0.695,0,0
4.602,45.0,372.4,5,16,28,30.59,31,44.698,31.159,48.741,47.0,44.0,2,6,4,22,3,22,50.0,36.4,1.108,20,8.464,2,0.695,0.106,25,0.708,0,0
6.538,61.0,639.57,13,32,44,50.13,48,77.28,52.091,84.994,80.0,76.0,10,11,7,33,1,24,43.4,42.1,1.118,23,8.415,2,0.66,0.163,25,0.685,0,0
4.602,46.5,397.45,5,19,30,33.622,34,49.363,34.676,54.073,53.0,49.0,3,5,4,25,1,23,51.0,38.8,1.104,22,8.111,1,0.686,0.094,24,0.708,0,0
8.717,59.0,572.66,14,32,42,47.663,45,75.076,49.068,82.9,77.0,74.0,8,10,8,32,2,24,43.2,43.2,1.12,24,7.739,2,0.644,0.182,26,0.663,0,0
4.361,45.0,384.45,5,20,29,33.127,33,49.145,34.432,53.99,53.0,49.0,4,4,4,25,1,22,51.0,40.8,1.102,21,7.846,0,0.676,0.094,23,0.703,0,0
7.297,47.0,430.48,5,22,32,36.084,36,54.683,37.102,59.824,58.0,54.0,5,6,6,26,2,18,48.1,40.7,1.108,21,7.972,0,0.668,0.086,20,0.687,0,0
9.222,66.0,677.76,15,39,49,55.608,53,89.818,56.926,98.9,92.0,88.0,13,13,12,36,4,18,40.9,44.3,1.124,23,7.702,1,0.632,0.163,22,0.647,0,0
4.602,42.0,396.28,4,15,27,30.32,30,42.473,31.722,46.127,45.0,42.0,2,5,2,22,1,22,52.4,35.7,1.098,20,9.435,1,0.722,0.089,23,0.755,0,0
5.26,47.0,417.44,5,19,31,34.051,35,51.018,34.585,55.492,54.0,50.0,3,7,6,24,1,22,48.0,38.0,1.11,21,8.349,1,0.681,0.093,23,0.692,0,0
4.659,36.5,320.37,3,16,24,26.875,27,40.371,27.705,44.531,43.0,40.0,3,5,3,19,1,17,47.5,40.0,1.113,16,8.009,2,0.672,0.07,18,0.693,0,0
4.602,40.0,360.43,6,20,27,31.127,30,47.145,32.432,51.99,50.0,47.0,4,4,4,23,1,18,48.9,42.6,1.106,19,7.669,0,0.662,0.12,19,0.69,0,0
4.602,48.0,431.47,6,21,32,35.578,36,53.902,36.347,58.907,57.0,53.0,5,7,6,25,1,22,47.2,39.6,1.111,20,8.141,1,0.671,0.105,23,0.686,0,0
8.328,45.0,409.5,5,19,29,32.325,32,48.76,33.574,53.574,51.0,48.0,3,8,4,21,2,22,43.8,39.6,1.116,18,8.531,3,0.673,0.098,24,0.699,0,0
8.699,45.0,409.5,5,19,29,32.325,32,48.76,33.574,53.574,51.0,48.0,3,8,4,21,2,22,43.8,39.6,1.116,18,8.531,3,0.673,0.098,24,0.699,0,0
5.824,49.0,447.47,6,21,33,36.293,37,55.229,36.801,60.116,58.0,54.0,4,8,7,25,1,22,46.3,38.9,1.113,21,8.286,1,0.672,0.103,23,0.682,0,0
9.301,44.0,395.47,5,17,28,30.798,31,45.876,31.813,50.159,48.0,45.0,2,8,4,20,2,22,44.4,37.8,1.115,18,8.788,3,0.684,0.104,24,0.707,0,0
6.456,50.0,445.45,5,19,33,35.766,38,53.345,36.04,57.701,57.0,52.0,4,8,7,25,1,22,48.1,36.5,1.11,21,8.566,1,0.688,0.088,23,0.693,0,0
6.678,39.5,384.54,6,24,27,32.169,29,50.982,34.398,57.112,53.0,51.0,6,6,3,21,2,17,41.2,47.1,1.12,15,7.54,2,0.631,0.113,19,0.674,0,0
8.086,47.0,463.59,7,25,33,38.104,37,58.418,40.063,64.448,62.0,58.0,8,7,5,26,1,18,44.8,43.1,1.111,18,7.993,1,0.657,0.113,19,0.691,0,0
9.432,46.0,431.52,6,25,32,36.917,36,57.342,38.415,63.528,61.0,57.0,8,6,5,26,1,18,45.6,43.9,1.115,18,7.571,1,0.648,0.098,19,0.674,0,0
7.921,47.0,430.48,5,22,32,36.084,36,54.683,37.102,59.824,58.0,54.0,5,6,6,26,2,18,48.1,40.7,1.108,21,7.972,0,0.668,0.086,20,0.687,0,0
7.602,50.0,476.51,7,24,35,39.04,39,60.222,39.773,65.658,63.0,59.0,6,8,8,27,2,18,45.8,40.7,1.113,21,8.076,0,0.662,0.111,20,0.674,0,0
8.523,48.0,446.48,6,22,33,36.798,37,56.011,37.557,61.033,59.0,55.0,5,7,7,26,2,18,47.3,40.0,1.11,21,8.118,0,0.669,0.102,20,0.683,0,0
6.398,49.0,444.46,6,20,33,36.272,37,54.127,36.795,58.618,57.0,53.0,4,7,7,26,3,18,49.1,37.7,1.106,22,8.386,0,0.684,0.105,21,0.694,0,0
8.125,51.0,474.49,5,22,35,38.513,40,58.338,39.011,63.242,62.0,57.0,6,8,8,27,2,18,47.4,38.6,1.11,21,8.324,0,0.676,0.081,20,0.684,0,0
8.409,48.0,462.55,6,22,33,37.271,37,55.76,38.75,60.744,59.0,55.0,5,7,6,26,2,18,47.3,40.0,1.104,21,8.41,0,0.678,0.102,20,0.705,0,0
7.523,51.0,490.54,8,26,36,40.567,40,63.105,41.534,69.073,66.0,62.0,7,8,8,28,2,18,45.2,41.9,1.114,21,7.912,0,0.654,0.121,20,0.67,0,0
6.087,45.0,436.91,6,21,31,35.196,34,52.68,36.506,57.558,55.0,52.0,4,6,5,25,2,18,48.1,40.4,1.107,21,8.402,0,0.677,0.109,20,0.702,0,0
8.398,52.0,494.55,6,22,35,38.7,39,58.414,39.659,63.162,61.0,57.0,5,9,8,26,4,18,45.6,38.6,1.108,21,8.676,0,0.679,0.098,22,0.696,0,0
6.921,40.5,399.56,6,25,28,33.191,30,53.083,35.404,59.61,55.0,53.0,6,7,3,21,2,17,39.6,47.2,1.125,15,7.539,3,0.626,0.109,19,0.668,0,0
7.796,46.0,423.53,5,21,30,33.852,33,51.643,35.335,56.989,54.0,51.0,4,8,4,22,2,22,43.1,41.2,1.117,18,8.305,3,0.664,0.093,24,0.693,0,0
7.367,50.0,484.45,5,19,35,37.233,39,56.222,36.915,60.843,58.0,54.0,5,9,6,26,2,18,48.1,35.2,1.127,21,8.971,0,0.69,0.086,20,0.684,3,0
7.155,45.0,409.5,5,19,29,32.325,32,48.76,33.574,53.574,51.0,48.0,3,8,4,21,2,22,43.8,39.6,1.116,18,8.531,3,0.673,0.098,24,0.699,0,0
8.921,51.0,473.51,6,23,35,38.82,39,59.113,39.563,64.531,62.0,58.0,5,8,7,27,3,18,46.6,39.7,1.113,22,8.164,1,0.669,0.097,21,0.682,0,0
6.585,49.0,431.42,4,17,32,34.239,37,50.462,34.278,54.286,54.0,49.0,3,8,7,24,1,22,49.0,34.7,1.108,21,8.804,1,0.699,0.074,23,0.7,0,0
6.907,47.0,450.89,5,19,32,35.384,36,52.124,36.199,56.352,55.0,51.0,4,7,6,25,2,18,49.0,37.3,1.105,21,8.841,0,0.694,0.091,20,0.71,0,0
8.097,47.0,432.45,5,20,32,35.272,36,53.127,35.796,57.618,56.0,52.0,4,7,7,25,2,18,48.1,38.5,1.108,21,8.316,0,0.678,0.089,20,0.688,0,0
4.959,44.0,371.41,4,17,28,31.095,32,45.48,31.915,49.658,49.0,45.0,2,5,4,23,1,22,51.1,37.8,1.104,21,8.254,1,0.691,0.082,23,0.709,0,0
8.432,44.0,395.47,5,17,28,30.798,31,45.876,31.813,50.159,48.0,45.0,2,8,4,20,2,22,44.4,37.8,1.115,18,8.788,3,0.684,0.104,24,0.707,0,0
9.301,54.0,536.57,9,28,39,43.523,43,68.643,44.205,74.907,71.0,67.0,8,10,10,29,2,18,43.3,41.8,1.118,21,8.009,0,0.65,0.127,20,0.66,0,0
8.174,48.0,446.48,6,22,33,36.798,37,56.011,37.557,61.033,59.0,55.0,5,7,7,26,2,18,47.3,40.0,1.11,21,8.118,0,0.669,0.102,20,0.683,0,0
7.31,46.0,416.45,7,20,31,34.557,34,51.8,35.341,56.408,54.0,51.0,3,6,6,25,3,18,49.0,39.2,1.106,22,8.166,0,0.678,0.13,21,0.693,0,0
6.523,46.0,432.5,7,24,32,36.61,35,56.567,37.864,62.239,59.0,56.0,5,6,6,26,2,18,46.4,42.9,1.111,21,7.723,0,0.654,0.119,20,0.676,0,0
5.886,48.0,462.53,8,26,34,38.852,37,60.778,40.08,66.863,63.0,60.0,6,7,7,27,2,18,45.0,43.3,1.114,21,7.709,0,0.648,0.127,20,0.668,0,0
4.523,39.0,390.26,0,14,26,28.505,30,40.978,29.455,44.838,44.0,40.0,4,7,1,19,1,16,47.5,35.0,1.121,15,9.756,3,0.713,0.0,17,0.736,1,0
8.959,52.0,506.54,10,26,37,41.282,40,64.433,41.989,70.282,66.0,63.0,6,9,9,28,3,18,44.4,41.3,1.116,22,8.04,0,0.655,0.152,21,0.666,0,0
7.886,48.0,446.48,6,22,33,36.798,37,56.011,37.557,61.033,59.0,55.0,5,7,7,26,2,18,47.3,40.0,1.11,21,8.118,0,0.669,0.102,20,0.683,0,0
8.0,42.0,408.48,5,24,30,34.61,34,54.567,35.864,60.239,58.0,54.0,9,6,6,24,2,12,44.4,44.4,1.116,15,7.564,0,0.641,0.086,14,0.664,0,0
7.959,48.0,446.48,6,22,33,36.798,37,56.011,37.557,61.033,59.0,55.0,5,7,7,26,2,18,47.3,40.0,1.11,21,8.118,0,0.669,0.102,20,0.683,0,0
9.108,55.0,550.6,11,30,40,45.05,43,71.527,45.966,78.322,73.0,70.0,8,10,10,30,3,18,42.9,42.9,1.119,22,7.866,0,0.644,0.151,21,0.657,0,0
9.046,55.0,550.6,9,30,40,45.05,44,71.527,45.966,78.322,74.0,70.0,9,10,10,30,2,18,42.9,42.9,1.119,21,7.866,0,0.644,0.122,20,0.657,0,0
8.0,53.5,467.5,5,21,35,38.578,40,56.902,39.347,61.907,61.0,56.0,4,7,6,28,2,23,50.0,37.5,1.105,24,8.348,1,0.689,0.082,25,0.703,0,0
9.469,54.0,536.57,11,28,39,43.523,42,68.643,44.205,74.907,70.0,67.0,7,10,10,29,3,18,43.3,41.8,1.118,22,8.009,0,0.65,0.157,21,0.66,0,0
5.679,44.0,402.47,6,22,30,34.369,33,52.356,35.648,57.614,55.0,52.0,4,5,5,25,2,18,48.1,42.3,1.108,21,7.74,0,0.661,0.109,20,0.686,0,0
7.155,46.0,432.5,7,24,32,36.61,35,56.567,37.864,62.239,59.0,56.0,5,6,6,26,2,18,46.4,42.9,1.111,21,7.723,0,0.654,0.119,20,0.676,0,0
8.31,51.0,473.51,8,23,35,38.82,38,59.113,39.563,64.531,61.0,58.0,4,8,7,27,4,18,46.6,39.7,1.113,23,8.164,1,0.669,0.131,22,0.682,0,0
7.398,46.0,417.44,5,19,31,34.051,35,51.018,34.585,55.492,54.0,50.0,4,7,6,24,2,18,48.0,38.0,1.11,20,8.349,1,0.681,0.093,20,0.692,0,0
6.77,46.0,432.52,5,20,31,35.029,35,51.549,36.534,56.119,55.0,51.0,4,6,5,25,2,18,49.0,39.2,1.1,21,8.481,0,0.687,0.091,20,0.716,0,0
7.301,50.0,460.46,6,20,34,36.986,38,55.454,37.25,59.827,58.0,54.0,4,8,8,26,3,18,48.1,37.0,1.108,22,8.527,0,0.685,0.103,21,0.69,0,0
7.456,44.0,436.54,5,28,32,37.664,36,60.334,39.387,67.069,64.0,60.0,11,6,6,26,2,12,43.3,46.7,1.118,15,7.276,0,0.628,0.078,14,0.656,0,0
9.009,53.0,520.57,10,28,38,42.808,41,67.316,43.75,73.697,69.0,66.0,7,9,9,29,3,18,43.9,42.4,1.117,22,7.887,0,0.649,0.145,21,0.663,0,0
8.421,49.0,460.51,6,24,34,38.325,38,58.894,39.318,64.448,62.0,58.0,6,7,7,27,2,18,46.6,41.4,1.111,21,7.94,0,0.661,0.097,20,0.678,0,0
6.824,48.0,485.33,5,18,33,36.212,37,52.447,37.057,56.296,55.0,51.0,4,8,6,25,2,18,49.0,35.3,1.104,21,9.516,0,0.71,0.091,20,0.727,0,0
6.097,51.0,461.45,6,19,34,36.481,38,54.673,36.494,58.91,57.0,53.0,4,9,8,25,4,18,47.2,35.8,1.112,21,8.707,1,0.688,0.105,22,0.689,0,0
7.553,49.0,459.53,6,25,34,38.632,38,59.669,39.869,65.737,63.0,59.0,6,7,6,27,2,18,45.8,42.4,1.114,21,7.789,1,0.655,0.095,20,0.676,0,0
6.185,45.0,416.5,6,24,31,35.896,34,55.24,37.409,61.029,58.0,55.0,5,5,5,26,2,18,47.3,43.6,1.11,21,7.573,0,0.653,0.103,20,0.68,0,0
9.854,53.0,592.8,15,41,41,49.153,44,82.756,52.006,93.026,85.0,82.0,17,11,7,30,3,12,36.6,50.0,1.134,13,7.229,2,0.599,0.176,15,0.634,1,0
9.886,61.5,577.64,11,23,41,43.356,45,66.142,43.756,72.568,68.0,64.0,4,16,6,25,2,29,39.1,35.9,1.134,21,9.026,9,0.677,0.162,31,0.684,0,0
9.538,48.0,509.71,13,39,37,45.121,40,75.847,47.995,86.016,79.0,76.0,16,8,5,29,2,12,38.2,51.3,1.132,13,6.707,3,0.594,0.165,14,0.632,0,0
5.357,89.0,924.22,25,65,67,79.575,70,132.61,83.666,149.623,135.0,132.0,22,17,10,50,8,22,37.9,49.2,1.134,28,7.002,7,0.603,0.185,30,0.634,0,0
9.538,46.0,530.78,14,46,38,47.921,40,83.607,51.489,95.387,86.0,84.0,20,8,6,30,3,6,35.7,54.8,1.136,10,6.319,2,0.57,0.163,9,0.613,0,0
6.64,46.0,471.35,6,20,32,36.024,35,53.004,37.364,57.502,55.0,52.0,4,7,5,25,2,18,48.1,38.5,1.106,21,9.064,0,0.693,0.109,20,0.719,0,0
9.77,46.0,515.72,13,41,37,45.362,40,78.058,48.211,88.64,81.0,78.0,19,9,6,28,3,6,35.9,52.6,1.136,9,6.612,3,0.582,0.16,9,0.618,0,0
5.939,48.0,444.51,6,24,33,37.61,37,57.567,38.864,63.239,61.0,57.0,6,6,6,27,2,18,47.4,42.1,1.109,21,7.798,0,0.66,0.098,20,0.682,0,0
6.222,53.0,520.57,9,28,38,42.808,42,67.316,43.75,73.697,70.0,66.0,8,9,9,29,2,18,43.9,42.4,1.117,21,7.887,0,0.649,0.129,20,0.663,0,0
7.854,52.0,490.49,6,22,36,39.228,41,59.665,39.466,64.452,63.0,58.0,6,9,9,27,2,18,46.6,37.9,1.111,21,8.457,0,0.676,0.095,20,0.68,0,0
7.664,40.0,378.46,7,22,28,32.17,30,50.349,33.443,55.986,52.0,50.0,5,6,4,22,1,18,44.0,44.0,1.12,17,7.569,2,0.643,0.135,19,0.669,0,0
8.396,48.0,446.48,6,22,33,36.798,37,56.011,37.557,61.033,59.0,55.0,5,7,7,26,2,18,47.3,40.0,1.11,21,8.118,0,0.669,0.102,20,0.683,0,0
9.319,52.0,578.77,14,39,40,47.626,43,79.872,50.245,89.611,82.0,79.0,16,11,7,29,3,12,36.7,49.4,1.134,13,7.326,2,0.603,0.171,15,0.636,1,0
5.886,44.0,386.42,4,18,29,32.315,33,47.589,33.125,51.784,51.0,47.0,3,5,5,24,2,18,51.1,38.3,1.102,21,8.222,0,0.688,0.078,20,0.705,0,0
6.155,45.0,400.45,5,20,30,33.842,34,50.473,34.887,55.199,54.0,50.0,4,5,5,25,2,18,50.0,40.0,1.104,21,8.009,0,0.677,0.093,20,0.698,0,0
9.324,45.0,532.8,15,48,38,48.448,40,85.49,52.251,97.803,88.0,86.0,22,8,6,30,2,6,34.9,55.8,1.137,8,6.195,2,0.563,0.17,8,0.608,0,0
6.615,46.0,432.5,7,24,32,36.61,35,56.567,37.864,62.239,59.0,56.0,5,6,6,26,2,18,46.4,42.9,1.111,21,7.723,0,0.654,0.119,20,0.676,0,0
4.602,48.0,430.43,5,18,32,34.745,36,51.244,35.034,55.203,54.0,50.0,3,7,7,25,3,18,50.0,36.0,1.104,22,8.609,0,0.695,0.093,21,0.701,0,0
8.071,51.0,474.49,7,22,35,38.513,39,58.338,39.011,63.242,61.0,57.0,5,8,8,27,3,18,47.4,38.6,1.11,22,8.324,0,0.676,0.115,21,0.684,0,0
4.301,73.5,796.05,23,57,57,67.269,59,115.068,70.415,130.334,116.0,114.0,21,18,9,39,7,15,34.2,50.0,1.143,18,6.983,9,0.59,0.198,22,0.618,0,0
4.301,77.5,838.09,24,59,60,70.511,62,120.279,73.631,135.959,121.0,119.0,22,19,10,41,8,15,34.5,49.6,1.143,19,7.043,9,0.593,0.198,23,0.619,0,0
9.398,56.0,614.57,11,28,39,44.215,42,68.054,46.438,75.283,70.0,67.0,7,12,5,27,2,24,40.3,41.8,1.124,20,9.173,5,0.66,0.157,26,0.693,0,0
6.022,56.0,492.55,7,24,37,41.61,42,61.567,42.864,67.239,66.0,61.0,4,6,6,31,2,24,50.8,39.3,1.102,27,8.075,0,0.682,0.106,26,0.703,0,0
6.699,56.0,492.55,6,24,37,41.61,42,61.567,42.864,67.239,66.0,61.0,4,6,6,31,2,24,50.8,39.3,1.102,27,8.075,0,0.682,0.091,26,0.703,0,0
9.301,53.0,520.57,8,28,38,42.808,42,67.316,43.75,73.697,70.0,66.0,8,9,9,29,2,18,43.9,42.4,1.117,21,7.887,0,0.649,0.114,20,0.663,0,0
7.854,58.0,562.75,9,34,40,46.749,44,74.374,49.364,83.188,78.0,74.0,11,10,5,30,3,22,40.5,45.9,1.124,19,7.605,4,0.632,0.115,25,0.667,0,0
8.71,65.5,659.93,11,45,47,56.404,52,91.894,60.177,103.763,97.0,92.0,18,11,5,36,5,17,39.1,48.9,1.128,18,7.173,5,0.613,0.113,22,0.654,0,0
8.398,57.0,565.76,12,35,40,46.77,43,75.476,49.37,84.687,78.0,75.0,10,11,5,29,3,22,38.7,46.7,1.129,19,7.543,5,0.624,0.154,25,0.658,0,0
7.602,52.0,502.61,7,30,37,42.707,41,67.538,44.398,75.066,71.0,67.0,9,8,6,29,2,18,43.3,44.8,1.12,20,7.502,2,0.637,0.099,20,0.663,0,0
7.886,57.0,546.75,8,34,39,46.034,43,73.047,48.909,81.979,77.0,73.0,11,9,4,30,3,22,41.1,46.6,1.123,19,7.49,4,0.631,0.104,25,0.67,0,0
9.161,53.0,485.52,7,23,36,39.82,40,60.113,40.563,65.531,63.0,59.0,5,8,7,28,4,18,47.5,39.0,1.111,23,8.229,1,0.675,0.111,22,0.688,0,0
9.62,90.5,928.14,12,53,66,74.832,71,121.032,77.449,134.843,124.0,119.0,18,21,11,45,9,21,37.8,44.5,1.133,27,7.799,9,0.629,0.097,30,0.651,0,0
7.745,55.0,544.7,9,36,40,47.287,44,76.189,49.682,85.311,80.0,76.0,12,8,6,32,2,18,42.1,47.4,1.123,20,7.167,2,0.622,0.113,20,0.654,0,0
5.0,36.5,336.44,5,16,24,27.347,26,40.12,28.898,44.242,42.0,40.0,1,5,2,19,2,17,47.5,40.0,1.106,18,8.411,2,0.684,0.119,19,0.722,0,0
7.26,56.0,549.76,10,35,39,46.055,42,74.149,48.915,83.477,77.0,74.0,10,10,4,29,3,22,39.2,47.3,1.128,19,7.429,5,0.622,0.13,25,0.661,0,0
8.301,55.0,535.73,10,33,38,44.528,41,71.265,47.154,80.062,74.0,71.0,9,10,4,28,3,22,39.4,46.5,1.128,19,7.545,5,0.627,0.135,25,0.664,0,0
7.824,61.0,571.76,9,33,41,47.528,45,74.265,50.154,83.062,78.0,74.0,11,10,4,31,3,22,41.9,44.6,1.122,19,7.726,5,0.642,0.115,26,0.678,0,1
