pXC50,CATS2D_07_DA,MATS5p,SpMax3_Bh.i.,TPSA.NO.,TPSA.Tot.,ATSC4s,GATS6v,SdssC,SpMax8_Bh.p.,MATS1e,MATS4i,GATS8p,MATS6i,GATS6i,GATS6p,MATS6p,MATS3p,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v
7.0,3,-0.069,3.727,91.65,100.03,100.327,0.957,-0.482,2.618,0.018,-0.136,0.77,0.051,0.889,0.795,0.048,-0.26,1.81,9.5,1.538,2.366,81.448,8.293,0.478,3.771,3.87,3.593,3.276,4.91,3.251,4.288,4.445,3.905,3.605,5.682,3.579,4.451,4.582,3.863,3.704,5.836,3.649,4.594,4.797,3.72,3.606,5.89,3.571,4.358,4.528,3.642,3.474,5.736,3.439
4.301,0,-0.006,3.851,82.86,91.24,104.388,0.937,-0.414,2.735,0.041,-0.125,1.074,0.07,0.896,0.765,0.086,-0.051,1.82,11.481,3.326,11.06,103.291,8.407,0.379,3.997,4.095,3.804,3.538,5.043,3.498,4.573,4.736,4.159,3.924,5.825,3.872,4.821,5.0,4.217,4.076,6.011,3.983,4.9,5.092,4.093,4.016,6.122,3.939,4.804,4.999,4.006,3.89,6.089,3.83
4.301,0,0.005,3.844,79.62,88.0,96.807,0.958,-0.387,2.735,0.067,-0.073,1.05,0.245,0.725,0.775,0.097,-0.041,1.688,9.917,2.547,6.488,90.411,7.92,0.423,3.888,3.982,3.67,3.45,4.924,3.407,4.46,4.613,3.993,3.827,5.722,3.771,4.721,4.909,4.032,3.948,5.891,3.851,4.761,4.956,3.96,3.861,6.032,3.788,4.602,4.773,3.825,3.723,5.869,3.682
6.301,3,0.144,3.856,94.89,103.27,91.08,1.001,-0.469,2.77,0.025,-0.257,0.947,0.045,0.97,1.032,-0.015,-0.07,1.76,11.346,1.496,2.237,97.498,7.885,0.393,3.982,4.092,3.744,3.474,5.038,3.447,4.547,4.721,4.069,3.843,5.811,3.808,4.773,4.953,4.089,4.002,5.948,3.913,4.886,5.102,4.003,3.947,6.043,3.862,4.774,4.993,3.933,3.771,6.07,3.72
6.886,3,-0.019,3.851,91.65,100.03,97.982,0.943,-0.502,2.735,0.019,-0.156,0.927,0.117,0.846,0.749,0.093,-0.028,1.857,11.5,3.12,9.733,98.394,8.65,0.393,3.942,4.038,3.774,3.492,5.005,3.457,4.508,4.658,4.125,3.876,5.808,3.824,4.773,4.956,4.147,4.003,5.962,3.903,4.798,4.996,4.022,3.9,6.016,3.825,4.656,4.832,3.936,3.734,6.025,3.701
4.301,0,-0.055,3.827,87.74,96.12,95.665,0.972,-0.386,2.735,0.039,-0.124,0.988,0.211,0.761,0.785,0.082,-0.108,1.724,11.5,2.338,5.468,98.956,7.989,0.429,3.955,4.056,3.73,3.496,5.022,3.462,4.508,4.66,4.026,3.871,5.802,3.815,4.74,4.917,4.077,4.029,5.879,3.935,4.831,5.029,4.004,3.967,6.055,3.884,4.75,4.948,3.886,3.835,6.087,3.782
4.796,3,0.006,3.858,82.86,91.24,92.497,0.987,-0.373,2.77,0.061,-0.124,1.035,0.017,0.969,0.99,-0.009,-0.048,1.699,10.692,2.661,7.083,98.486,7.704,0.393,3.991,4.096,3.738,3.512,5.02,3.473,4.566,4.737,4.065,3.89,5.794,3.837,4.811,5.001,4.121,4.035,5.963,3.944,4.893,5.094,4.056,3.989,6.1,3.921,4.81,4.998,3.98,3.893,6.078,3.832
4.301,0,-0.009,3.851,82.86,91.24,93.999,0.991,-0.373,2.735,0.061,-0.123,1.108,0.057,0.903,0.833,0.033,-0.048,1.699,10.769,2.661,7.083,98.486,7.704,0.393,3.991,4.096,3.738,3.512,5.02,3.473,4.566,4.737,4.065,3.89,5.793,3.837,4.811,5.001,4.121,4.035,5.967,3.944,4.893,5.094,4.036,3.988,6.098,3.914,4.801,5.0,3.943,3.879,6.078,3.816
6.398,3,-0.055,3.889,100.44,108.82,46.536,0.867,-0.5,2.735,0.007,-0.209,1.038,0.196,0.776,0.777,0.122,0.018,1.768,11.423,2.857,8.161,97.712,8.638,0.607,3.88,3.97,3.718,3.457,5.046,3.434,4.364,4.479,4.005,3.782,5.804,3.756,4.588,4.748,3.995,3.841,5.897,3.782,4.573,4.755,3.958,3.767,5.861,3.716,4.525,4.687,3.932,3.683,5.995,3.661
7.0,3,-0.022,3.851,91.65,100.03,87.075,0.948,-0.461,2.735,0.038,-0.154,0.952,0.112,0.846,0.765,0.086,-0.028,1.731,10.76,2.455,6.029,93.589,7.902,0.407,3.936,4.039,3.706,3.466,4.981,3.43,4.501,4.659,4.028,3.84,5.776,3.787,4.762,4.958,4.043,3.958,5.916,3.86,4.79,4.997,3.96,3.869,5.99,3.797,4.653,4.832,3.868,3.721,6.009,3.685
7.398,3,0.038,3.808,100.88,109.26,92.885,0.951,-0.481,2.735,-0.001,-0.26,0.948,0.104,0.862,0.779,0.08,0.006,1.799,10.76,1.226,1.503,90.523,8.306,0.407,3.912,4.003,3.718,3.406,5.002,3.394,4.47,4.612,4.036,3.759,5.798,3.741,4.68,4.845,4.045,3.882,5.911,3.814,4.713,4.894,3.972,3.814,5.965,3.768,4.645,4.82,3.884,3.664,6.079,3.652
5.398,3,0.099,3.836,91.65,100.03,91.535,1.025,-0.469,2.642,0.03,-0.176,0.875,-0.08,1.025,0.934,-0.031,-0.058,1.764,10.833,2.31,5.336,88.748,8.127,0.423,3.878,3.977,3.677,3.409,4.942,3.379,4.437,4.585,3.984,3.785,5.741,3.734,4.702,4.905,3.98,3.893,5.861,3.786,4.711,4.92,3.874,3.756,5.953,3.699,4.536,4.71,3.716,3.578,5.912,3.556
4.301,3,0.095,3.886,83.44,91.82,82.083,1.04,-0.41,2.798,0.065,-0.293,0.881,0.014,0.98,0.878,-0.016,-0.033,1.687,10.731,2.651,7.029,100.732,7.531,0.393,4.005,4.125,3.732,3.529,5.015,3.482,4.578,4.761,4.052,3.921,5.794,3.852,4.83,5.039,4.132,4.093,5.887,3.978,4.941,5.15,4.073,4.051,6.122,3.952,4.884,5.112,3.941,3.905,6.133,3.839
