pXC50,nX,X.,nSK,MW,Sp,Sv,nBO,SCBO,nC,nF,Si,nBT,Mi,AMW,C.
4.0,2,11.1,14,231.04,14.159,14.181,15,20.5,8,0,20.134,19,1.119,12.836,44.4
8.252,0,0.0,26,342.36,29.148,28.547,28,41.0,22,0,43.744,42,1.094,8.559,55.0
4.0,0,0.0,8,112.14,9.955,9.537,8,10.0,6,0,18.08,16,1.13,7.009,37.5
4.837,0,0.0,21,276.3,23.932,23.305,24,34.0,18,0,36.119,36,1.095,8.373,54.5
4.0,0,0.0,13,176.23,16.477,15.59,13,18.0,11,0,27.91,25,1.116,7.049,44.0
4.0,0,0.0,8,112.14,9.955,9.537,8,10.0,6,0,18.08,16,1.13,7.009,37.5
4.0,0,0.0,9,128.19,12.477,11.59,8,10.0,7,0,23.91,20,1.139,6.104,33.3
6.058,4,33.3,12,245.86,11.863,11.793,12,16.0,6,0,13.025,12,1.085,20.488,50.0
4.0,0,0.0,19,256.32,23.455,22.359,20,27.0,16,0,38.95,36,1.113,7.323,45.7
4.0,0,0.0,14,192.18,14.864,14.966,15,21.0,10,0,24.498,23,1.114,8.735,45.5
4.0,0,0.0,17,246.35,21.887,20.304,18,26.0,14,0,34.245,32,1.105,7.947,45.2
5.87,0,0.0,16,220.34,22.523,20.698,16,20.0,14,0,40.571,36,1.127,6.121,38.9
6.452,2,7.7,18,279.12,20.432,19.719,19,27.0,14,0,28.383,27,1.092,10.735,53.8
5.983,0,0.0,14,222.3,16.489,15.384,15,22.0,10,0,21.504,21,1.075,11.115,50.0
6.68,0,0.0,22,300.24,21.023,21.912,23,35.0,14,0,33.499,31,1.117,10.008,46.7
4.0,0,0.0,6,86.1,7.193,7.01,5,7.0,4,0,13.664,11,1.139,7.175,33.3
4.0,0,0.0,16,214.28,20.239,19.117,17,23.0,14,0,33.325,31,1.111,7.143,46.7
7.138,2,7.1,20,400.02,22.33,21.544,21,29.0,14,0,30.597,29,1.093,14.286,50.0
7.146,0,0.0,19,254.25,20.625,20.493,20,29.0,15,0,31.914,30,1.1,8.767,51.7
4.0,0,0.0,20,272.32,23.909,23.074,21,28.0,16,0,40.159,37,1.116,7.564,44.4
5.097,0,0.0,14,190.16,14.102,14.44,15,22.0,10,0,22.083,21,1.104,9.508,50.0
4.0,0,0.0,8,112.14,9.955,9.537,8,10.0,6,0,18.08,16,1.13,7.009,37.5
4.0,0,0.0,17,224.27,20.477,19.59,18,26.0,15,0,31.91,30,1.1,7.733,51.7
7.478,0,0.0,17,224.27,20.477,19.59,18,26.0,15,0,31.91,30,1.1,7.733,51.7
5.184,0,0.0,14,222.3,16.489,15.384,15,22.0,10,0,21.504,21,1.075,11.115,50.0
4.0,0,0.0,26,360.3,25.454,26.395,27,39.0,16,0,42.748,39,1.125,9.482,42.1
6.818,0,0.0,16,212.22,17.205,17.053,17,25.0,12,0,26.661,25,1.111,8.843,50.0
7.495,1,3.4,19,271.71,21.58,20.913,21,29.0,15,0,31.937,31,1.101,9.369,51.7
5.625,12,31.6,32,482.24,25.012,28.77,33,41.0,18,12,46.232,39,1.217,12.691,47.4
6.824,4,14.3,20,284.22,19.227,20.124,21,28.0,14,4,32.269,29,1.152,10.151,50.0
5.983,6,21.4,22,320.2,19.102,20.89,23,30.0,14,6,32.948,29,1.177,11.436,50.0
6.398,6,17.6,24,348.26,22.625,23.944,25,32.0,16,6,39.779,35,1.17,10.243,47.1
8.303,4,15.4,20,282.2,18.466,19.597,21,29.0,14,4,29.854,27,1.148,10.854,53.8
6.602,6,18.8,24,346.24,21.864,23.417,25,33.0,16,6,37.363,33,1.168,10.82,50.0
6.77,0,0.0,14,182.18,15.193,15.01,16,23.5,12,0,21.664,22,1.083,9.109,60.0
6.194,2,7.1,18,248.24,19.352,19.357,19,26.0,14,2,31.589,29,1.128,8.866,50.0
6.824,4,15.4,20,282.2,18.466,19.597,21,29.0,14,4,29.854,27,1.148,10.854,53.8
7.32,3,10.3,14,212.24,16.574,16.321,13,14.0,9,3,34.175,28,1.178,7.319,31.0
5.921,0,0.0,17,226.24,19.171,18.778,18,26.0,14,0,29.704,28,1.1,8.379,51.9
6.857,0,0.0,20,270.3,23.148,22.547,21,29.0,16,0,37.744,35,1.11,7.95,47.1
7.149,4,14.3,20,284.22,19.227,20.124,21,28.0,14,4,32.269,29,1.152,10.151,50.0
8.16,3,10.3,14,228.31,17.767,16.793,13,14.0,9,3,33.885,28,1.168,7.873,31.0
7.238,0,0.0,21,282.41,28.284,26.224,23,29.0,19,0,47.986,45,1.116,6.568,44.2
7.284,0,0.0,16,208.22,17.955,17.537,18,26.0,14,0,26.08,26,1.087,8.676,58.3
5.466,0,0.0,29,399.43,32.801,32.293,32,40.0,21,0,56.116,53,1.122,7.989,42.0
4.0,0,0.0,8,108.1,8.432,8.483,8,12.0,6,0,13.249,12,1.104,9.008,50.0
7.572,3,8.1,16,238.33,21.404,20.186,15,16.0,12,3,43.211,36,1.168,6.441,32.4
8.154,3,8.6,16,256.37,21.29,19.847,15,16.0,11,3,40.716,34,1.163,7.325,31.4
4.0,0,0.0,14,182.23,17.262,16.349,15,22.0,13,0,26.285,25,1.095,7.593,54.2
