pXC50,CATS2D_04_PL,GATS4s,MPC04,SM07_EA,SM04_AEA.ed.,SM05_EA,piPC07,SM06_AEA.bo.,SM07_AEA.bo.,SpMin3_Bh.p.,Eig06_AEA.ed.,C.028,CATS2D_04_DL,MWC06,SpMin2_Bh.e.,ATSC3m,SpMin2_Bh.i.,SpMin1_Bh.i.,SRW10,Eig06_AEA.ri.,Eig06_EA,SM14_AEA.bo.,SpMin3_Bh.v.,SM05_AEA.bo.,GATS4e,SM05_AEA.ed.,SM06_AEA.ed.,SM06_EA,SM07_AEA.ed.,SM08_AEA.ed.,ATS2p,Eig06_EA.ri.,Eig06_EA.ed.,SM15_AEA.dm.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,SpMin2_Bh.v.,SM04_AEA.bo.,SpMax3_Bh.i.,SM11_EA,SM12_AEA.ed.,Eig06_EA.bo.,SaaN,C.034,N.073,NaaaC,NNRS,nPyrroles,RCI,RFD,SaaaC,X3A,SpMax1_Bh.e.,SM14_EA.bo.,MWC05,SRW08,Eig05_EA,SM13_AEA.bo.,Ram
7.301,5,0.821,4.007,8.356,8.713,6.111,6.554,9.965,11.372,1.613,4.671,1,5,8.155,1.851,15.567,1.827,1.989,9.957,2.624,1.683,1.683,1.602,8.58,0.833,10.421,12.17,7.586,13.948,15.751,3.595,1.571,4.78,4.78,4.575,4.575,7.575,4.575,1.945,7.224,3.524,12.842,23.134,2.309,8.155,0,0,2,0.667,0,1.125,0.125,1.457,0.179,4.064,21.342,7.265,8.28,2.0,2.0,7
8.523,4,0.755,4.277,9.139,9.211,6.804,6.878,10.321,11.749,1.879,5.012,1,4,8.515,1.933,33.969,1.905,1.995,10.322,2.974,2.028,2.028,1.906,8.915,1.077,10.989,12.81,8.198,14.661,16.534,4.072,1.914,5.803,5.803,4.626,4.626,7.626,4.626,2.037,7.539,3.756,13.815,24.165,2.716,8.502,0,0,2,0.667,0,1.125,0.125,1.496,0.176,4.078,21.541,7.61,8.639,2.194,2.194,11
6.638,5,0.981,4.078,8.5,8.837,6.256,6.672,10.125,11.54,1.637,4.712,1,5,8.247,1.888,14.716,1.863,1.991,10.048,2.659,1.722,1.722,1.607,8.732,1.015,10.556,12.313,7.709,14.097,15.902,3.642,1.601,4.861,4.861,4.575,4.575,7.575,4.575,2.017,7.366,3.54,12.96,23.266,2.359,8.143,0,0,2,0.667,0,1.125,0.125,1.386,0.178,4.07,21.431,7.358,8.373,2.007,2.007,8
6.854,5,0.643,4.22,9.113,9.158,6.758,6.926,10.341,11.772,1.725,5.006,1,5,8.449,1.934,22.847,1.907,2.005,10.275,2.924,1.978,1.978,1.762,8.93,0.526,10.948,12.779,8.156,14.638,16.518,3.92,1.863,5.783,5.783,4.633,4.633,7.633,4.633,2.037,7.546,3.63,13.805,24.16,2.771,8.272,0,0,2,0.667,0,1.125,0.125,1.302,0.174,4.079,21.565,7.541,8.578,2.048,2.048,10
7.301,5,0.734,4.159,8.561,8.884,6.293,6.658,10.084,11.501,1.614,4.708,1,5,8.306,1.849,18.356,1.836,1.99,10.109,2.634,1.695,1.695,1.604,8.69,0.877,10.61,12.374,7.76,14.164,15.974,3.708,1.581,4.841,4.841,4.575,4.575,7.575,4.575,1.951,7.325,3.526,13.047,23.35,2.317,8.28,0,0,2,0.667,0,1.125,0.125,1.516,0.177,4.066,21.41,7.413,8.421,2.005,2.005,8
7.481,4,0.705,4.127,9.146,9.167,6.781,6.321,10.309,11.75,1.745,4.895,1,4,8.4,1.809,20.694,1.776,1.933,10.224,2.815,1.879,1.879,1.754,8.888,0.684,10.97,12.814,8.162,14.685,16.576,3.778,1.756,5.225,5.225,4.204,4.204,7.204,4.204,1.951,7.493,3.628,13.858,24.267,2.481,8.084,0,0,0,1.0,0,1.0,0.0,0.0,0.183,4.003,20.728,7.504,8.538,2.061,2.061,10
6.523,5,0.593,4.143,9.075,9.102,6.698,6.665,10.221,11.655,1.763,4.836,1,5,8.38,1.94,27.197,1.912,1.995,10.212,2.731,1.794,1.794,1.799,8.809,0.536,10.899,12.74,8.11,14.613,16.509,3.936,1.665,5.118,5.118,4.575,4.575,7.575,4.575,2.046,7.425,3.668,13.807,24.232,2.363,8.362,0,0,2,0.667,0,1.125,0.125,1.628,0.181,4.07,21.395,7.48,8.523,2.009,2.009,9
7.469,5,0.767,4.007,8.356,8.713,6.111,6.554,9.965,11.372,1.613,4.671,1,5,8.155,1.85,16.198,1.83,1.989,9.957,2.626,1.683,1.683,1.602,8.58,0.783,10.421,12.17,7.586,13.948,15.751,3.613,1.575,4.78,4.78,4.575,4.575,7.575,4.575,1.946,7.224,3.524,12.842,23.134,2.309,8.195,0,0,2,0.667,0,1.125,0.125,1.513,0.179,4.064,21.342,7.265,8.28,2.0,2.0,7
7.114,5,0.6,4.078,8.5,8.837,6.256,6.615,10.033,11.441,1.68,4.712,1,5,8.247,1.916,22.907,1.888,1.993,10.048,2.66,1.722,1.722,1.721,8.647,0.585,10.556,12.313,7.709,14.097,15.902,3.809,1.602,4.861,4.861,4.575,4.575,7.575,4.575,2.018,7.292,3.571,12.96,23.266,2.327,8.322,0,0,2,0.667,0,1.125,0.125,1.628,0.178,4.067,21.353,7.358,8.373,2.007,2.007,8
9.481,4,0.598,4.19,8.746,8.911,6.382,7.271,10.117,11.581,1.695,4.717,1,4,8.324,1.739,17.736,1.681,2.018,10.102,2.564,1.61,1.61,1.722,8.677,0.787,10.687,12.5,7.826,14.339,16.198,3.597,1.53,4.672,4.672,4.885,4.885,7.885,4.885,1.932,7.27,3.507,13.448,23.754,2.143,8.332,2,1,4,0.333,1,1.308,0.308,3.975,0.163,4.207,22.285,7.391,8.369,1.866,1.866,8
9.481,4,0.583,4.234,8.836,8.99,6.479,7.314,10.163,11.625,1.74,4.794,1,4,8.385,1.781,19.822,1.726,2.018,10.162,2.575,1.624,1.624,1.764,8.725,0.853,10.771,12.588,7.904,14.43,16.291,3.677,1.539,4.77,4.77,4.888,4.888,7.888,4.888,1.96,7.319,3.591,13.538,23.856,2.143,8.37,2,1,4,0.333,1,1.308,0.308,3.964,0.161,4.21,22.297,7.448,8.429,1.99,1.99,9
10.523,4,0.535,4.277,8.86,9.015,6.494,7.317,10.173,11.634,1.683,4.962,1,4,8.417,1.8,22.261,1.743,2.02,10.191,2.756,1.786,1.786,1.714,8.737,0.819,10.796,12.615,7.928,14.46,16.325,3.737,1.726,5.324,5.324,4.889,4.889,7.889,4.889,1.984,7.334,3.648,13.576,23.913,2.366,8.399,2,1,4,0.333,1,1.308,0.308,3.992,0.163,4.211,22.3,7.482,8.458,2.019,2.019,9
10.301,4,0.578,4.277,8.86,9.015,6.494,7.339,10.175,11.636,1.745,4.984,1,4,8.42,1.792,22.28,1.735,2.019,10.192,2.822,1.86,1.86,1.785,8.738,0.838,10.796,12.615,7.928,14.46,16.326,3.737,1.78,5.588,5.588,4.891,4.891,7.891,4.891,1.976,7.334,3.631,13.581,23.915,2.336,8.411,2,1,4,0.333,1,1.308,0.308,4.005,0.164,4.212,22.306,7.484,8.458,1.996,1.996,9
10.222,4,0.501,4.331,9.292,9.24,6.878,7.399,10.349,11.822,1.805,4.971,1,4,8.533,1.838,24.265,1.788,2.019,10.331,2.836,1.881,1.881,1.834,8.898,0.797,11.069,12.935,8.259,14.827,16.738,3.824,1.788,5.483,5.483,4.901,4.901,7.901,4.901,2.001,7.476,3.674,14.131,24.494,2.334,8.443,2,1,4,0.333,1,1.308,0.308,3.927,0.156,4.217,22.35,7.581,8.588,2.017,2.017,11
8.886,4,0.631,4.127,8.719,8.883,6.365,7.22,10.102,11.566,1.674,4.665,1,4,8.28,1.715,14.993,1.657,2.017,10.067,2.495,1.541,1.541,1.674,8.663,0.793,10.658,12.468,7.796,14.304,16.159,3.528,1.465,4.48,4.48,4.882,4.882,7.882,4.882,1.908,7.253,3.495,13.408,23.701,2.108,8.281,2,1,4,0.333,1,1.308,0.308,3.904,0.165,4.204,22.274,7.348,8.335,1.865,1.865,8
9.921,4,0.611,4.111,9.085,9.049,6.698,7.213,10.215,11.678,1.679,4.506,1,4,8.334,1.801,17.562,1.751,2.015,10.142,2.455,1.479,1.479,1.655,8.772,0.86,10.861,12.711,8.078,14.586,16.479,3.642,1.44,4.315,4.315,4.835,4.835,7.835,4.835,1.969,7.356,3.616,13.84,24.16,2.071,8.285,2,1,4,0.333,1,1.308,0.308,3.716,0.164,4.199,22.131,7.399,8.421,2.0,2.0,9
9.959,4,0.544,4.344,8.881,9.048,6.509,7.382,10.192,11.651,1.813,5.008,1,4,8.475,1.82,26.427,1.764,2.02,10.232,2.843,1.883,1.883,1.853,8.759,0.911,10.827,12.644,7.962,14.489,16.354,3.857,1.798,5.719,5.719,4.891,4.891,7.891,4.891,1.997,7.361,3.686,13.606,23.944,2.393,8.491,2,1,4,0.333,1,1.308,0.308,4.08,0.163,4.214,22.307,7.54,8.502,2.022,2.022,9
9.42,4,0.433,4.344,9.243,9.195,6.815,7.398,10.321,11.793,1.843,5.018,1,4,8.521,1.825,26.672,1.772,2.02,10.306,2.859,1.898,1.898,1.879,8.872,0.58,11.019,12.884,8.22,14.779,16.695,3.868,1.813,5.739,5.739,4.902,4.902,7.902,4.902,1.999,7.456,3.711,14.114,24.49,2.565,8.478,2,1,4,0.333,1,1.308,0.308,3.991,0.158,4.216,22.352,7.57,8.568,2.034,2.034,10
10.301,4,0.575,4.357,8.958,9.109,6.594,7.398,10.229,11.689,1.812,5.01,1,4,8.509,1.829,26.436,1.776,2.02,10.272,2.89,1.939,1.939,1.85,8.795,1.011,10.894,12.716,8.021,14.564,16.432,3.865,1.833,5.741,5.741,4.894,4.894,7.894,4.894,2.002,7.395,3.69,13.684,24.03,2.417,8.489,2,1,4,0.333,1,1.308,0.308,4.036,0.162,4.216,22.32,7.57,8.539,2.023,2.023,10
9.658,4,0.483,4.205,8.821,8.965,6.463,7.276,10.149,11.612,1.64,4.805,1,4,8.351,1.75,17.71,1.69,2.019,10.137,2.754,1.783,1.783,1.663,8.711,0.569,10.747,12.567,7.88,14.412,16.277,3.601,1.725,5.021,5.021,4.889,4.889,7.889,4.889,1.944,7.304,3.546,13.534,23.863,2.277,8.319,2,1,4,0.333,1,1.308,0.308,3.911,0.159,4.208,22.298,7.412,8.401,1.895,1.895,9
5.623,0,1.001,3.584,8.024,8.473,5.889,5.073,9.683,11.058,1.493,4.042,0,1,7.838,1.745,16.682,1.695,1.886,9.632,2.306,1.414,1.414,1.488,8.324,1.031,10.148,11.852,7.313,13.576,15.314,3.405,1.199,3.524,3.524,3.891,3.891,6.891,3.891,1.908,6.989,3.38,12.208,22.35,1.948,7.713,0,0,0,1.0,0,1.0,0.0,0.0,0.202,3.951,19.693,6.995,8.022,1.473,1.473,6
7.602,4,0.623,4.007,8.555,8.743,6.217,7.084,10.001,11.459,1.596,4.139,1,4,8.148,1.598,10.47,1.531,2.017,9.948,2.349,1.381,1.381,1.583,8.566,0.674,10.509,12.313,7.653,14.143,15.993,3.36,1.333,3.593,3.593,4.848,4.848,7.848,4.848,1.823,7.163,3.353,13.206,23.523,2.003,8.17,1,1,4,0.333,1,1.308,0.308,3.807,0.165,4.193,22.16,7.223,8.22,1.55,1.55,7
5.539,0,1.046,3.892,7.996,8.601,5.889,5.58,9.843,11.189,1.928,4.172,0,0,8.079,1.877,18.322,1.851,1.902,9.821,2.488,1.504,1.504,1.906,8.515,1.355,10.23,11.893,7.439,13.578,15.28,3.688,1.48,3.771,3.771,3.881,3.881,6.881,3.881,1.981,7.214,3.868,12.089,22.19,2.086,7.714,0,0,0,1.0,0,1.0,0.0,0.0,0.201,3.968,19.51,7.249,8.244,2.077,2.077,6
5.548,4,0.811,3.584,7.938,8.348,5.74,5.34,9.566,10.944,1.462,3.255,1,4,7.76,1.763,13.064,1.72,1.916,9.546,2.0,1.0,1.0,1.484,8.208,0.856,10.037,11.763,7.207,13.516,15.289,3.365,1.0,2.136,2.136,4.081,4.081,7.081,4.081,1.912,6.878,3.31,12.298,22.518,1.5,8.092,0,0,0,1.0,0,1.0,0.0,0.0,0.191,3.978,19.803,6.899,7.917,1.46,1.46,5
5.361,0,1.01,3.555,7.816,8.355,5.707,5.089,9.575,10.933,1.555,3.414,0,0,7.777,1.727,12.764,1.683,1.88,9.542,2.0,1.0,1.0,1.56,8.233,1.152,10.002,11.68,7.188,13.379,15.093,3.31,1.0,2.275,2.275,3.881,3.881,6.881,3.881,1.909,6.916,3.378,11.931,22.045,1.5,7.634,0,0,0,1.0,0,1.0,0.0,0.0,0.203,3.942,19.369,6.944,7.953,1.476,1.476,5
4.655,0,0.945,3.526,7.781,8.308,5.673,4.979,9.551,10.909,1.504,3.489,0,1,7.731,1.746,14.151,1.695,1.885,9.501,2.182,1.206,1.206,1.502,8.21,0.994,9.953,11.629,7.144,13.327,15.042,3.347,1.151,2.626,2.626,3.881,3.881,6.881,3.881,1.915,6.893,3.381,11.912,22.005,1.75,7.727,0,0,0,1.0,0,1.0,0.0,0.0,0.2,3.947,19.379,6.893,7.91,1.472,1.472,5
6.242,0,1.289,4.369,8.832,9.137,6.538,6.039,10.256,11.648,1.947,5.132,0,0,8.551,1.887,24.212,1.868,1.882,10.292,3.066,2.085,2.085,1.914,8.888,1.35,10.859,12.621,8.026,14.414,16.229,3.943,2.072,6.386,6.386,4.146,4.146,7.146,4.146,1.968,7.554,3.877,13.409,23.652,2.726,7.699,0,0,0,0.75,0,1.095,0.095,0.0,0.185,4.027,20.38,7.676,8.652,2.215,2.215,10
6.174,2,1.354,4.127,8.955,9.089,6.635,5.933,10.376,11.817,1.927,4.907,0,4,8.397,1.937,34.387,1.911,1.977,10.175,2.944,2.008,2.008,1.92,8.963,1.352,10.833,12.631,8.076,14.47,16.34,4.05,1.87,5.616,5.616,4.697,4.697,7.697,4.697,2.044,7.586,3.851,13.615,24.02,2.638,7.939,0,0,0,1.0,0,1.0,0.0,0.0,0.198,4.081,21.767,7.545,8.565,2.242,2.242,9
6.445,2,0.995,3.714,8.245,8.617,6.066,5.159,9.801,11.192,1.462,4.043,1,2,7.958,1.769,16.685,1.728,1.882,9.766,2.306,1.414,1.414,1.484,8.426,1.407,10.318,12.051,7.467,13.806,15.576,3.444,1.199,3.527,3.527,4.071,4.071,7.071,4.071,1.925,7.076,3.309,12.554,22.766,1.949,7.843,0,0,0,1.0,0,1.0,0.0,0.0,0.195,3.95,20.078,7.096,8.129,1.879,1.879,7
6.389,4,0.812,3.611,7.928,8.38,5.74,4.813,9.585,10.956,1.663,3.529,1,4,7.794,1.831,17.525,1.79,1.903,9.572,2.199,1.211,1.211,1.687,8.236,0.824,10.056,11.772,7.232,13.517,15.284,3.534,1.196,2.696,2.696,4.069,4.069,7.069,4.069,1.971,6.916,3.54,12.252,22.491,1.5,8.151,0,0,0,1.0,0,1.0,0.0,0.0,0.196,3.963,19.772,6.95,7.964,1.575,1.575,5
5.618,0,1.145,3.526,7.902,8.362,5.74,5.011,9.574,10.946,1.45,3.604,0,0,7.751,1.727,11.977,1.683,1.88,9.537,2.331,1.414,1.414,1.441,8.222,1.324,10.038,11.75,7.209,13.485,15.237,3.296,1.231,2.982,2.982,3.884,3.884,6.884,3.884,1.907,6.897,3.299,12.112,22.334,1.944,7.598,0,0,0,1.0,0,1.0,0.0,0.0,0.2,3.937,19.537,6.913,7.933,1.414,1.414,5
6.352,2,0.942,4.29,8.658,9.079,6.463,6.167,10.202,11.583,1.929,5.19,0,2,8.491,1.908,31.159,1.874,1.912,10.247,2.972,2.061,2.061,1.9,8.843,0.923,10.771,12.499,7.931,14.251,16.021,4.037,1.872,6.118,6.118,4.114,4.114,7.114,4.114,2.028,7.513,3.854,12.975,23.216,2.665,8.035,0,0,0,1.0,0,1.0,0.0,0.0,0.191,4.003,20.333,7.632,8.621,2.284,2.284,10
7.2,2,1.228,4.382,8.836,9.138,6.538,6.193,10.256,11.649,1.934,5.144,0,2,8.557,1.887,26.682,1.868,1.911,10.296,3.066,2.026,2.026,1.926,8.888,1.28,10.86,12.623,8.028,14.417,16.233,4.013,2.087,6.415,6.415,4.146,4.146,7.146,4.146,1.968,7.554,3.849,13.42,23.659,2.65,7.947,0,0,0,0.75,0,1.095,0.095,0.0,0.184,4.03,20.393,7.68,8.653,2.23,2.23,10
5.217,4,0.839,3.584,7.928,8.364,5.74,4.996,9.575,10.949,1.552,3.431,1,4,7.772,1.806,15.367,1.765,1.908,9.555,2.0,1.0,1.0,1.574,8.222,0.852,10.045,11.765,7.217,13.513,15.281,3.453,1.0,2.253,2.253,4.07,4.07,7.07,4.07,1.948,6.897,3.425,12.256,22.492,1.5,8.124,0,0,0,1.0,0,1.0,0.0,0.0,0.195,3.969,19.774,6.921,7.939,1.52,1.52,5
6.52,2,0.952,3.871,8.137,8.581,5.943,6.407,9.862,11.252,1.626,4.127,0,2,8.032,1.793,13.964,1.75,2.063,9.83,2.424,1.452,1.452,1.641,8.492,0.911,10.261,11.976,7.444,13.714,15.469,3.58,1.417,3.657,3.657,4.338,4.338,7.338,4.338,1.947,7.149,3.543,12.426,22.588,2.092,7.962,0,0,2,0.667,0,1.125,0.125,2.447,0.186,4.094,20.76,7.166,8.184,1.618,1.618,6
4.417,1,1.01,3.434,7.609,8.174,5.485,4.894,9.425,10.775,1.516,3.247,0,2,7.626,1.774,12.691,1.728,1.865,9.386,2.0,1.0,1.0,1.511,8.095,0.976,9.814,11.49,7.015,13.191,14.91,3.284,1.0,2.136,2.136,3.88,3.88,6.88,3.88,1.929,6.792,3.386,11.755,21.9,1.5,7.789,0,0,0,1.0,0,1.0,0.0,0.0,0.203,3.941,19.207,6.799,7.808,1.414,1.414,4
6.567,2,0.971,3.989,8.417,8.748,6.155,6.529,9.98,11.395,1.602,4.145,0,2,8.159,1.778,15.663,1.733,2.07,9.974,2.37,1.433,1.433,1.624,8.588,0.993,10.473,12.236,7.625,14.024,15.832,3.652,1.34,3.681,3.681,4.535,4.535,7.535,4.535,1.936,7.227,3.521,12.88,23.182,1.969,8.014,0,0,2,0.667,0,1.125,0.125,2.373,0.181,4.102,21.287,7.276,8.294,1.865,1.865,7
5.632,0,0.968,3.738,8.112,8.555,5.943,5.318,9.726,11.105,1.588,4.171,0,1,7.948,1.745,15.207,1.695,1.885,9.726,2.395,1.475,1.475,1.586,8.365,1.019,10.238,11.953,7.399,13.691,15.444,3.431,1.355,3.767,3.767,3.916,3.916,6.916,3.916,1.92,7.031,3.436,12.348,22.548,1.979,7.777,0,0,0,1.0,0,1.0,0.0,0.0,0.196,3.961,19.766,7.099,8.106,1.61,1.61,6
5.733,0,0.898,3.912,8.234,8.636,5.994,6.252,9.888,11.288,1.643,4.127,0,3,8.071,1.761,15.422,1.707,2.062,9.875,2.406,1.483,1.483,1.66,8.512,0.926,10.337,12.078,7.506,13.847,15.635,3.59,1.367,3.715,3.715,4.43,4.43,7.43,4.43,1.944,7.167,3.551,12.614,22.906,1.985,7.869,0,0,2,0.667,0,1.125,0.125,2.436,0.186,4.093,20.997,7.207,8.223,1.618,1.618,6
4.451,2,0.998,3.738,8.112,8.555,5.943,5.318,9.726,11.105,1.609,4.171,0,2,7.948,1.774,16.356,1.734,1.905,9.726,2.408,1.475,1.475,1.614,8.365,0.96,10.238,11.953,7.399,13.691,15.444,3.503,1.373,3.767,3.767,3.916,3.916,6.916,3.916,1.927,7.031,3.465,12.348,22.548,1.979,7.902,0,0,0,1.0,0,1.0,0.0,0.0,0.196,3.973,19.766,7.099,8.106,1.61,1.61,6
5.796,0,0.924,3.871,8.128,8.594,5.943,6.231,9.869,11.256,1.679,4.172,0,2,8.041,1.766,15.39,1.713,2.058,9.837,2.436,1.488,1.488,1.691,8.502,0.944,10.268,11.978,7.452,13.712,15.463,3.59,1.424,3.77,3.77,4.336,4.336,7.336,4.336,1.949,7.164,3.59,12.395,22.568,2.095,7.844,0,0,2,0.667,0,1.125,0.125,2.444,0.19,4.088,20.751,7.185,8.201,1.618,1.618,6
5.657,0,0.98,3.434,7.609,8.174,5.485,4.894,9.425,10.775,1.45,3.247,0,0,7.626,1.727,11.621,1.683,1.879,9.386,2.0,1.0,1.0,1.441,8.095,1.278,9.814,11.49,7.015,13.191,14.91,3.23,1.0,2.136,2.136,3.88,3.88,6.88,3.88,1.91,6.792,3.299,11.755,21.9,1.5,7.619,0,0,0,1.0,0,1.0,0.0,0.0,0.203,3.932,19.207,6.799,7.808,1.414,1.414,4
6.086,2,0.756,3.932,8.35,8.733,6.133,6.065,10.001,11.398,1.594,4.188,0,2,8.121,1.777,14.275,1.742,1.899,9.901,2.466,1.525,1.525,1.599,8.621,0.842,10.438,12.179,7.587,13.945,15.728,3.545,1.432,3.825,3.825,4.106,4.106,7.106,4.106,1.926,7.267,3.473,12.712,22.975,2.212,7.733,0,0,0,1.0,0,1.0,0.0,0.0,0.19,3.97,20.266,7.261,8.26,2.061,2.061,7
6.745,2,0.808,3.989,8.497,8.845,6.275,6.18,10.063,11.466,1.684,4.35,0,2,8.205,1.777,16.777,1.743,1.914,9.987,2.527,1.571,1.571,1.695,8.678,0.812,10.565,12.318,7.701,14.094,15.886,3.63,1.5,4.111,4.111,4.124,4.124,7.124,4.124,1.926,7.319,3.562,12.869,23.15,2.252,7.783,0,0,0,1.0,0,1.0,0.0,0.0,0.19,3.982,20.317,7.338,8.338,2.061,2.061,8
4.377,2,0.88,3.912,8.356,8.711,6.133,5.856,9.851,11.249,1.558,4.146,0,2,8.096,1.727,15.043,1.69,1.911,9.883,2.353,1.422,1.422,1.565,8.471,0.882,10.425,12.173,7.57,13.944,15.731,3.486,1.32,3.672,3.672,4.113,4.113,7.113,4.113,1.891,7.118,3.38,12.737,22.988,1.952,7.9,0,0,0,1.0,0,1.0,0.0,0.0,0.186,3.988,20.185,7.222,8.225,1.999,1.999,7
