pXC50,C.,AMW,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM
5.512,40.6,6.884,50.0,1.002,1.123,0.639,0.605,220.29,0.0,6,32,0,7
4.0,36.1,5.815,58.3,0.984,1.133,0.608,0.554,418.68,0.0,0,72,0,5
5.201,37.1,5.816,58.1,0.982,1.131,0.614,0.558,360.59,0.0,0,62,0,5
4.8,35.6,5.722,58.9,0.981,1.135,0.608,0.551,417.7,1.4,0,73,0,5
4.22,36.1,5.815,58.3,0.984,1.133,0.608,0.554,418.68,0.0,0,72,0,5
4.721,37.1,5.816,58.1,0.982,1.131,0.614,0.558,360.59,0.0,0,62,0,5
4.0,43.5,7.748,43.5,1.017,1.118,0.66,0.643,178.2,0.0,6,23,0,7
4.128,36.2,5.618,59.4,0.977,1.134,0.611,0.551,387.67,1.4,0,69,0,5
4.469,36.2,5.618,59.4,0.977,1.134,0.611,0.551,387.67,1.4,0,69,0,5
4.398,36.8,5.715,58.8,0.98,1.131,0.612,0.554,388.65,0.0,0,68,0,5
4.367,36.8,5.715,58.8,0.98,1.131,0.612,0.554,388.65,0.0,0,68,0,5
4.509,40.0,7.897,45.7,1.003,1.121,0.683,0.638,276.39,5.7,11,35,0,12
4.341,36.2,5.618,59.4,0.977,1.134,0.611,0.551,387.67,1.4,0,69,0,5
4.0,48.5,7.706,42.4,1.005,1.107,0.688,0.662,254.3,0.0,12,33,0,13
5.099,37.1,5.816,58.1,0.982,1.131,0.614,0.558,360.59,0.0,0,62,0,5
4.63,36.2,5.768,58.6,0.983,1.133,0.609,0.553,334.55,0.0,0,58,0,4
4.1,34.8,5.488,60.9,0.979,1.135,0.599,0.539,378.66,0.0,0,69,0,3
4.287,35.9,5.727,59.0,0.982,1.133,0.607,0.551,446.74,0.0,0,78,0,5
4.509,37.8,7.525,48.6,1.0,1.126,0.666,0.618,278.41,5.4,6,37,0,8
4.231,29.6,4.751,66.7,0.967,1.149,0.573,0.5,256.54,3.7,0,54,0,0
4.0,50.0,7.929,40.0,1.003,1.107,0.705,0.679,396.47,4.0,23,50,0,25
4.409,31.0,4.872,65.5,0.967,1.146,0.581,0.509,282.58,3.4,0,58,0,1
4.662,31.0,4.872,65.5,0.967,1.146,0.581,0.509,282.58,3.4,0,58,0,1
4.959,39.5,7.22,47.4,1.007,1.13,0.644,0.616,274.35,5.3,6,38,0,8
4.745,36.2,6.718,53.4,0.99,1.132,0.642,0.587,389.62,5.2,11,58,0,12
4.854,38.5,7.112,48.7,1.009,1.13,0.633,0.606,277.35,2.6,6,39,0,8
4.959,37.5,7.636,47.5,1.003,1.129,0.667,0.622,305.44,7.5,11,40,0,12
5.481,35.6,6.162,55.9,0.992,1.135,0.61,0.565,363.55,1.7,6,59,0,8
4.337,38.2,7.776,47.1,1.004,1.125,0.673,0.628,264.38,5.9,6,34,0,8
4.027,43.9,7.962,43.9,1.0,1.114,0.699,0.655,326.45,4.9,12,41,0,14
4.456,43.9,7.57,43.9,1.006,1.121,0.67,0.644,310.38,4.9,12,41,0,14
4.959,39.5,7.643,47.4,1.0,1.123,0.675,0.628,290.42,5.3,6,38,0,8
4.553,43.9,7.962,43.9,1.0,1.114,0.699,0.655,326.45,4.9,12,41,0,14
4.377,44.7,8.222,42.1,1.003,1.112,0.708,0.667,312.42,5.3,12,38,0,14
4.62,45.7,8.897,37.1,1.013,1.112,0.725,0.695,311.39,8.6,17,35,0,18
4.456,36.6,6.814,51.2,1.006,1.134,0.62,0.589,279.37,2.4,6,41,0,8
4.721,37.1,7.552,45.7,1.02,1.135,0.633,0.617,264.31,5.7,6,35,0,9
4.337,42.9,8.154,42.9,1.008,1.116,0.693,0.657,342.45,4.8,12,42,0,14
4.469,37.8,7.09,48.6,1.007,1.134,0.634,0.605,262.34,5.4,6,37,0,8
4.569,39.0,7.426,48.8,0.997,1.124,0.669,0.62,304.45,4.9,6,41,0,8
4.337,43.9,7.962,43.9,1.0,1.114,0.699,0.655,326.45,4.9,12,41,0,14
5.721,36.2,6.718,53.4,0.99,1.132,0.642,0.587,389.62,5.2,11,58,0,12
