pXC50,N.,nCsp,nTB,nN,nAB,nCsp2,nBM,AMW,C.,H.,Me,Mi,Mp
8.097,13.3,0,0,6,23,18,24,10.519,44.4,31.1,1.031,1.118,0.758
5.0,10.4,0,0,7,22,18,23,7.577,38.8,44.8,1.012,1.141,0.649
5.0,14.3,0,0,6,16,11,18,8.249,35.7,42.9,1.015,1.139,0.67
5.0,14.0,1,1,6,10,7,12,7.266,37.2,46.5,1.003,1.142,0.647
5.328,10.9,0,0,5,22,20,23,8.162,45.7,39.1,1.012,1.129,0.69
5.0,15.0,0,0,6,23,18,23,8.659,45.0,35.0,1.02,1.127,0.7
5.0,5.6,0,0,3,24,19,25,8.139,48.1,38.9,1.011,1.112,0.698
5.0,5.5,0,0,4,30,26,32,7.818,47.9,41.1,1.003,1.113,0.695
5.0,7.4,0,0,4,17,14,17,8.804,40.7,44.4,1.01,1.133,0.678
5.0,13.9,0,0,5,15,10,15,7.093,38.9,47.2,0.995,1.138,0.655
5.0,11.5,0,0,7,29,25,30,8.681,45.9,36.1,1.025,1.139,0.691
5.0,8.2,0,0,4,24,24,26,9.732,51.0,30.6,1.033,1.121,0.735
5.0,8.2,0,0,4,18,16,18,7.479,40.8,44.9,1.007,1.13,0.658
5.0,7.7,0,0,3,23,20,23,8.497,51.3,35.9,1.011,1.116,0.717
5.0,7.7,1,1,5,17,15,18,8.162,40.0,44.6,1.01,1.129,0.677
5.0,8.2,0,0,4,10,7,11,7.767,34.7,49.0,1.001,1.131,0.67
5.0,7.4,0,0,5,26,25,29,7.583,47.1,42.6,0.997,1.116,0.692
5.0,8.5,0,0,5,17,17,19,8.237,40.7,42.4,1.018,1.135,0.671
5.0,8.7,0,0,4,20,14,20,8.053,41.3,41.3,1.021,1.137,0.661
5.0,8.2,0,0,4,22,18,22,7.316,44.9,44.9,0.994,1.121,0.68
5.0,9.8,0,0,5,12,11,15,8.657,35.3,41.2,1.037,1.15,0.651
6.509,8.9,0,0,4,18,19,20,9.853,46.7,35.6,1.014,1.109,0.759
5.0,2.1,0,0,1,12,15,14,8.372,43.8,41.7,1.019,1.118,0.682
5.0,8.9,0,0,4,23,21,24,8.543,48.9,35.6,1.015,1.114,0.71
5.0,11.9,0,0,5,11,11,13,9.102,38.1,40.5,1.024,1.136,0.69
5.0,5.2,0,0,4,17,20,22,8.333,41.6,44.2,1.008,1.121,0.693
5.0,11.8,0,0,8,22,20,24,7.833,39.7,42.6,1.015,1.14,0.658
5.854,10.5,0,0,6,18,16,19,8.255,38.6,40.4,1.03,1.142,0.651
6.409,13.0,0,0,7,22,17,24,8.103,38.9,42.6,1.009,1.132,0.679
5.0,8.1,0,0,5,23,22,25,7.574,43.5,43.5,1.003,1.124,0.674
5.0,6.7,0,0,4,21,16,21,7.509,41.7,45.0,1.008,1.132,0.658
5.0,12.1,2,1,7,15,8,16,7.337,36.2,46.6,1.009,1.143,0.638
5.959,8.5,0,0,7,18,16,20,7.491,36.6,48.8,1.001,1.135,0.657
4.398,11.4,0,0,4,17,16,18,8.467,45.7,37.1,1.019,1.132,0.692
5.0,9.1,0,0,7,12,12,14,6.776,36.4,50.6,0.998,1.14,0.631
5.0,11.3,0,0,7,20,13,22,8.286,37.1,43.5,1.011,1.131,0.682
5.0,12.0,0,0,6,16,16,18,7.85,42.0,42.0,1.01,1.137,0.67
5.0,9.3,0,0,4,17,15,18,7.777,44.2,41.9,1.006,1.124,0.681
5.0,7.1,0,0,4,11,14,14,7.117,39.3,48.2,1.003,1.138,0.643
5.0,5.8,2,1,3,17,14,18,7.567,42.3,44.2,1.009,1.125,0.662
5.0,6.1,0,0,4,28,24,30,8.805,43.9,39.4,1.019,1.121,0.703
5.0,11.3,0,0,6,27,21,27,9.782,45.3,30.2,1.058,1.161,0.683
8.824,16.0,1,1,8,16,13,18,9.428,40.0,40.0,1.015,1.141,0.693
8.538,14.5,1,1,9,16,13,20,8.027,35.5,43.5,1.015,1.141,0.66
8.77,14.1,1,1,9,16,13,20,7.745,35.9,45.3,1.008,1.14,0.66
7.959,17.0,1,1,8,16,13,18,9.348,40.4,40.4,1.007,1.134,0.701
6.854,12.2,0,0,6,16,13,17,7.479,38.8,44.9,1.007,1.137,0.654
6.187,10.2,0,0,5,16,13,17,7.132,40.8,46.9,0.996,1.131,0.66
8.921,17.6,2,2,9,16,13,19,7.834,41.2,41.2,1.004,1.137,0.679
7.194,8.8,0,0,5,22,19,23,7.501,43.9,43.9,1.0,1.124,0.676
8.959,12.9,1,1,8,16,13,18,6.945,38.7,48.4,0.992,1.138,0.652
8.921,11.9,0,0,7,16,14,18,7.416,37.3,45.8,1.009,1.14,0.644
9.046,16.0,1,1,8,16,13,18,9.068,40.0,42.0,1.005,1.135,0.695
5.886,10.2,0,0,5,16,13,17,7.132,40.8,46.9,0.996,1.131,0.66
8.409,15.1,1,1,8,16,13,18,8.819,39.6,43.4,1.002,1.135,0.688
6.097,10.9,0,0,5,16,13,17,7.292,41.3,45.7,0.998,1.131,0.665
6.876,11.8,0,0,6,16,13,17,8.694,39.2,45.1,1.002,1.133,0.68
8.495,12.5,0,0,6,16,13,17,9.32,39.6,41.7,1.016,1.14,0.685
8.523,11.9,0,0,7,16,14,18,7.416,37.3,45.8,1.009,1.14,0.644
8.377,16.0,1,1,8,16,13,18,9.068,40.0,42.0,1.005,1.135,0.695
8.377,14.3,1,1,8,16,13,18,8.597,39.3,44.6,1.0,1.135,0.683
8.796,16.0,1,1,8,16,13,18,8.179,40.0,42.0,1.006,1.137,0.685
9.097,14.8,1,1,9,16,14,19,7.567,37.7,44.3,1.009,1.142,0.653
7.119,16.7,1,1,8,16,13,18,9.404,41.7,39.6,1.007,1.132,0.708
7.42,13.3,0,0,6,16,13,17,9.23,40.0,42.2,1.008,1.132,0.693
6.0,17.0,1,1,8,16,13,18,10.081,40.4,38.3,1.014,1.133,0.72
7.432,12.5,0,0,6,16,13,17,8.945,39.6,43.8,1.005,1.133,0.686
8.167,12.7,0,0,7,16,13,19,9.209,36.4,43.6,1.011,1.135,0.687
7.036,12.5,0,0,6,16,13,17,7.301,39.6,45.8,1.0,1.136,0.658
8.469,14.7,1,1,10,16,14,19,7.186,36.8,47.1,1.001,1.144,0.645
8.409,12.5,0,0,6,16,13,17,8.945,39.6,43.8,1.005,1.133,0.686
8.721,15.1,1,1,8,16,13,18,8.349,39.6,39.6,1.027,1.157,0.659
8.26,11.5,0,0,7,16,14,18,7.141,37.7,47.5,1.001,1.139,0.645
8.092,17.0,1,1,8,16,13,18,9.348,40.4,40.4,1.007,1.134,0.701
5.585,13.1,0,0,8,17,14,18,7.617,37.7,45.9,1.001,1.136,0.668
5.0,9.8,0,0,5,18,17,19,7.324,43.1,45.1,0.996,1.126,0.673
6.523,10.9,0,0,5,16,13,17,9.007,41.3,43.5,1.003,1.127,0.694
5.456,9.5,0,0,4,21,15,21,8.295,45.2,38.1,1.016,1.122,0.689
5.373,10.3,0,0,7,18,17,19,7.789,38.2,44.1,1.02,1.152,0.642
5.824,10.0,0,0,5,16,13,17,7.31,40.0,46.0,1.002,1.133,0.656
6.284,10.0,0,0,5,16,13,17,7.31,40.0,46.0,1.002,1.133,0.656
5.0,8.3,0,0,6,25,19,26,7.788,40.3,44.4,1.007,1.127,0.672
8.921,17.0,1,1,8,16,13,18,10.081,40.4,38.3,1.014,1.133,0.72
4.939,10.2,0,0,5,16,13,17,7.132,40.8,46.9,0.996,1.131,0.66
8.523,11.1,0,0,7,16,14,18,7.422,36.5,46.0,1.012,1.141,0.639
8.638,12.5,0,0,6,16,13,17,8.019,39.6,43.8,1.007,1.135,0.676
8.745,16.0,1,1,8,16,13,18,7.85,40.0,42.0,1.01,1.145,0.666
7.796,12.2,0,0,6,16,13,17,9.008,40.8,42.9,1.005,1.13,0.692
8.456,14.3,1,1,9,16,14,19,7.296,38.1,46.0,1.001,1.14,0.653
6.161,9.6,0,0,5,17,14,17,8.661,40.4,42.3,1.016,1.136,0.688
5.0,8.9,1,1,5,17,18,20,8.357,42.9,41.1,1.015,1.131,0.685
5.0,9.8,0,0,4,21,17,22,8.947,46.3,36.6,1.017,1.118,0.716
5.0,6.3,0,0,4,20,20,23,7.438,44.4,44.4,1.0,1.121,0.675
5.0,7.3,0,0,4,17,14,17,8.126,40.0,43.6,1.017,1.136,0.665
5.0,10.3,0,0,7,24,22,25,7.26,42.6,45.6,0.995,1.128,0.671
