pXC50,Eig08_AEA.ed.,Eig12_AEA.ed.,Psi_i_1,P_VSA_s_3,X4v,ATS1p,ATS2p,ATS3p,ATS3v,Eig05_AEA.ed.,Eig06_AEA.ed.,X2v,ALOGP,ALOGP2,ATS2v,ATSC2i,Eig10_AEA.ed.,Eig11_AEA.ed.,SM02_EA.ri.,SpAD_AEA.bo.,SpAD_AEA.ed.,SpAD_AEA.ri.,SpAD_EA,X1v,X5v,SpMax7_Bh.p.,SpMax7_Bh.v.,SpMin6_Bh.s.,SpMin7_Bh.i.,TPC,ATSC3m,ATSC4m,Chi1_EA.bo.,Eta_C,Eta_L,SpMax7_Bh.m.,Wap,X1Kup,X1MulPer,X1Per,X3v,X4,X4sol,ATS4p,ATSC4p,MPC03,MPC04,MWC05,MWC06,MWC07,MWC08,SM02_AEA.ed.,Sp,SpAD_EA.ed.,SpMax6_Bh.i.,SpMax6_Bh.p.,SpMax7_Bh.e.,SpMaxA_EA.bo.,SpMin6_Bh.e.,SpMin6_Bh.i.,SRW06,SRW08,X5,X5sol,BLTA96
5.824,4.188,2.685,13.755,24.368,3.407,3.358,3.674,3.78,3.775,5.163,4.472,6.449,2.951,8.71,3.697,1.179,3.193,3.166,4.166,41.814,43.763,41.484,41.407,8.722,2.437,2.845,2.864,0.408,0.993,7.244,14.739,16.238,10.544,18.798,5.221,3.024,13119.0,7.286,7.008,5.806,4.668,7.834,8.212,3.807,7.64,3.951,4.22,7.502,8.387,9.262,10.149,5.746,27.688,119.453,3.289,2.917,3.1,0.159,1.134,1.079,6.87,8.469,6.04,6.778,-1.86
4.606,5.166,4.008,28.656,104.016,6.718,4.191,4.575,4.703,4.585,5.583,5.372,14.902,5.512,30.377,4.484,2.286,4.935,4.548,4.866,79.358,79.864,77.467,77.785,18.568,4.138,3.398,3.398,0.993,1.522,7.789,59.715,77.246,21.494,64.462,13.42,3.501,26481.0,16.751,16.007,13.426,10.077,12.982,14.232,4.729,22.499,4.454,4.635,8.005,8.854,9.688,10.537,6.301,64.591,212.426,3.752,3.559,3.588,0.071,1.609,1.558,7.422,8.945,9.473,10.21,-2.75
4.187,1.914,1.0,7.416,11.624,1.149,2.903,3.21,3.264,3.15,3.247,3.208,3.045,1.089,1.187,3.133,0.612,1.407,1.0,3.519,21.312,21.356,20.91,20.842,4.642,0.657,1.989,1.983,0.0,0.199,5.198,14.082,13.689,5.686,8.854,3.159,2.152,902.0,4.58,4.484,3.788,1.804,3.153,3.153,3.166,4.13,2.944,3.045,6.463,7.252,8.0,8.79,4.844,18.836,50.698,2.868,2.547,2.467,0.23,0.754,0.66,5.999,7.435,1.912,1.912,-2.72
4.302,5.636,4.636,28.654,45.272,8.649,4.033,4.527,4.754,4.701,6.431,6.309,13.187,3.307,10.934,4.498,2.143,5.114,5.098,5.017,79.992,81.737,78.792,78.664,15.396,6.531,3.303,3.307,0.972,1.46,10.254,54.287,66.321,21.177,53.733,11.774,3.338,532843.0,15.192,14.875,12.101,10.623,17.027,17.027,4.81,21.915,4.779,5.176,8.384,9.347,10.301,11.268,6.547,52.483,256.023,3.533,3.353,3.442,0.092,1.572,1.511,7.652,9.371,14.492,14.492,-3.78
4.433,4.321,3.09,15.722,38.007,3.274,3.458,3.83,3.977,3.972,5.248,5.088,6.39,2.108,4.442,3.851,1.15,3.414,3.375,4.384,46.8,48.249,46.421,46.371,8.874,2.181,2.919,2.91,0.575,1.064,7.716,23.145,26.205,11.994,21.573,5.868,2.916,23248.0,8.65,8.454,6.981,4.8,8.991,8.991,3.995,8.186,4.127,4.382,7.662,8.555,9.445,10.339,5.883,31.938,136.361,3.241,2.941,3.111,0.146,1.195,1.121,7.015,8.646,6.943,6.943,-2.47
4.0,2.254,1.226,8.419,10.535,1.367,3.032,3.362,3.493,3.412,4.093,2.889,4.01,1.3,1.689,3.311,0.661,1.655,1.346,3.661,23.072,24.582,22.982,23.005,5.326,0.909,2.59,2.57,0.186,0.7,5.416,18.817,20.147,6.608,12.843,4.146,2.499,1065.0,5.23,4.994,4.245,2.308,3.369,3.369,3.468,6.336,3.219,3.296,6.756,7.591,8.42,9.259,5.094,21.222,62.606,2.94,2.618,2.763,0.245,0.83,0.764,6.217,7.758,2.667,2.667,-2.36
5.319,3.376,2.198,13.462,19.641,4.058,3.494,3.938,4.185,4.001,3.859,3.732,7.658,2.366,5.599,3.811,1.191,2.95,2.396,4.049,32.417,33.907,32.224,32.133,8.748,2.749,2.794,2.77,0.817,0.896,6.08,32.992,37.419,9.814,24.392,7.057,2.741,2744.0,8.678,8.361,7.062,5.422,5.609,5.609,4.221,14.653,3.611,3.784,7.165,8.033,8.871,9.739,5.485,32.262,90.67,3.206,2.941,2.942,0.164,1.153,1.064,6.608,8.197,4.017,4.017,-1.15
5.824,3.176,2.0,12.976,38.837,3.75,3.59,3.977,4.171,3.925,3.487,3.176,7.328,6.105,37.27,3.772,1.263,2.0,2.0,3.736,25.824,28.758,25.913,25.824,10.243,2.621,3.038,3.006,0.848,1.167,5.447,31.852,34.801,9.743,31.599,9.541,2.959,1040.0,10.195,9.829,8.51,5.243,3.75,3.75,4.262,14.094,3.219,3.296,6.744,7.565,8.368,9.204,5.081,37.376,60.946,3.315,3.038,3.216,0.167,1.26,1.167,6.209,7.678,2.621,2.621,-2.99
6.678,3.8,3.247,16.338,20.384,4.097,3.635,4.021,4.204,4.111,4.974,4.804,7.27,5.009,25.094,3.949,1.255,3.582,3.256,4.379,45.375,46.345,44.719,44.697,9.719,2.959,2.988,2.98,0.685,1.065,7.588,27.933,31.127,11.089,23.581,6.19,2.985,20532.0,9.645,9.293,7.793,5.5,8.819,8.819,4.276,11.979,4.078,4.369,7.616,8.51,9.4,10.295,5.826,35.773,129.478,3.379,3.098,3.115,0.15,1.29,1.203,6.974,8.616,7.494,7.494,-5.6
7.0,3.423,2.0,11.092,17.698,3.133,3.266,3.678,3.825,3.714,3.85,3.72,5.125,3.868,14.965,3.591,0.754,2.363,2.308,3.99,30.32,31.512,30.237,30.122,6.805,2.149,2.654,2.635,0.284,0.692,6.675,18.812,20.18,7.816,13.343,4.303,2.609,5739.0,6.279,6.025,4.983,3.848,6.205,6.432,3.885,8.462,3.738,4.111,7.288,8.216,9.143,10.075,5.442,23.955,88.399,2.983,2.803,2.767,0.214,0.967,0.924,6.578,8.235,5.177,5.274,-5.37
5.102,4.764,3.513,18.607,39.106,4.82,3.641,4.086,4.244,4.162,5.354,4.997,8.423,2.454,6.021,4.042,1.415,3.741,3.606,4.494,51.778,53.383,51.755,51.587,10.775,3.442,2.941,2.91,0.681,1.064,8.24,35.008,37.791,14.098,26.929,7.465,3.041,51753.0,10.284,10.106,8.261,6.374,10.34,10.575,4.238,12.449,4.234,4.554,7.786,8.691,9.589,10.495,5.989,36.409,152.657,3.356,3.077,3.111,0.118,1.192,1.144,7.117,8.743,8.367,8.599,-3.76
5.367,3.867,2.859,14.93,24.851,4.369,3.461,3.911,4.112,4.005,5.19,4.943,7.035,2.402,5.768,3.848,1.229,3.438,2.939,4.289,39.99,40.953,39.571,39.517,8.578,3.278,2.949,2.938,0.686,1.086,7.366,30.425,33.835,10.832,22.161,6.71,2.968,15527.0,8.47,8.238,6.809,5.648,7.923,7.923,4.087,11.46,3.989,4.29,7.536,8.441,9.339,10.243,5.746,30.091,118.477,3.304,3.045,3.169,0.178,1.242,1.166,6.878,8.529,6.517,6.517,-3.48
5.721,2.94,1.577,10.087,49.323,3.609,3.179,3.587,3.704,3.586,4.971,4.879,6.342,6.071,36.859,3.496,0.351,2.653,2.313,3.793,30.26,31.87,30.42,30.103,7.249,2.069,1.885,1.858,0.0,0.0,6.176,22.536,31.254,7.273,15.819,4.112,2.639,3042.0,5.082,4.765,3.872,4.281,5.294,7.934,3.619,5.194,3.611,3.807,7.171,8.053,8.914,9.796,5.468,21.795,89.14,2.787,2.634,2.272,0.206,0.716,0.682,6.586,8.208,3.902,5.59,-5.32
4.441,2.483,1.333,8.455,43.537,2.071,3.037,3.352,3.365,3.239,3.417,3.163,4.36,0.61,0.372,3.229,0.72,1.642,1.572,3.526,24.412,24.736,23.127,23.167,6.354,1.242,2.452,2.448,0.248,0.596,5.407,17.422,19.69,6.571,13.185,4.546,2.493,1226.0,5.2,4.883,4.134,3.102,3.628,4.206,3.431,5.378,3.178,3.219,6.648,7.439,8.227,9.021,4.977,21.489,56.974,3.098,2.812,2.71,0.224,0.976,0.884,6.107,7.549,2.08,2.621,-2.05
4.721,2.0,0.84,7.291,6.371,1.377,2.915,3.257,3.354,3.217,3.414,3.247,3.232,2.3,5.29,3.175,0.524,1.555,1.04,3.568,20.547,20.624,20.293,20.253,4.482,0.961,2.097,2.078,0.169,0.229,5.429,10.904,10.997,4.876,6.179,2.422,2.07,1172.0,4.446,4.295,3.644,2.159,3.363,3.363,3.195,4.906,3.135,3.296,6.624,7.455,8.283,9.116,4.905,17.193,53.264,2.836,2.617,2.323,0.277,0.79,0.718,6.08,7.631,2.782,2.782,-3.7
4.103,5.514,4.793,28.078,64.924,7.433,4.079,4.524,4.804,4.742,5.994,5.945,13.377,5.361,28.745,4.496,2.004,5.284,5.061,4.949,78.265,81.588,77.946,77.917,15.752,6.005,3.17,3.163,0.884,1.254,10.727,50.142,67.037,20.281,52.993,10.501,3.185,949634.0,15.493,14.987,12.408,10.201,15.329,15.329,4.932,26.705,4.691,5.011,8.273,9.196,10.115,11.039,6.479,56.586,242.371,3.619,3.38,3.31,0.085,1.515,1.462,7.6,9.276,14.164,14.164,-0.38
4.987,3.755,3.071,15.516,30.743,3.013,3.507,3.885,4.065,4.009,5.28,5.164,6.788,1.467,2.152,3.855,1.213,3.414,3.275,4.314,44.248,46.245,43.529,43.418,9.407,1.884,2.977,2.992,0.657,1.109,6.813,30.616,37.445,12.3,25.574,6.951,3.115,8287.0,9.202,8.977,7.47,4.763,7.063,7.063,4.078,10.376,3.912,4.007,7.438,8.282,9.12,9.967,5.746,34.676,119.696,3.382,3.002,3.254,0.132,1.229,1.133,6.874,8.44,5.059,5.059,-3.18
5.585,4.757,3.46,17.818,57.441,4.712,3.571,3.985,4.195,4.196,5.67,5.375,7.483,3.012,9.073,4.014,1.171,4.194,3.829,4.529,51.93,56.058,51.816,51.936,9.741,3.496,2.974,2.984,0.578,1.086,8.524,23.502,32.152,13.795,28.387,6.911,3.052,60014.0,9.47,9.174,7.563,6.061,11.448,11.448,4.311,13.13,4.369,4.762,7.941,8.888,9.833,10.781,6.084,34.563,163.421,3.317,2.982,3.22,0.128,1.202,1.148,7.201,8.9,9.653,9.653,-2.74
5.527,4.097,2.816,15.393,22.427,4.444,3.509,3.955,4.17,4.069,5.216,4.783,6.974,2.734,7.474,3.895,1.16,3.313,2.906,4.301,41.43,42.744,40.832,40.856,8.683,3.521,2.829,2.819,0.605,0.942,7.549,29.602,33.498,11.095,22.488,6.622,2.842,18832.0,8.578,8.368,6.885,5.819,8.161,8.161,4.167,12.713,4.043,4.344,7.585,8.494,9.404,10.315,5.778,31.296,122.447,3.231,2.924,3.036,0.166,1.146,1.065,6.934,8.62,7.117,7.117,-3.42
4.097,2.0,0.853,7.399,12.543,1.529,2.849,3.235,3.284,3.186,3.318,3.025,3.082,1.283,1.647,3.178,0.563,1.641,1.109,3.611,20.793,21.696,20.647,20.612,4.301,0.967,1.736,1.75,0.0,0.0,5.576,12.379,12.029,5.096,7.587,2.953,1.864,1355.0,4.254,4.172,3.47,2.165,3.795,3.795,3.157,4.196,3.258,3.526,6.783,7.663,8.539,9.421,5.017,16.273,58.135,2.594,2.25,2.146,0.322,0.525,0.382,6.146,7.739,2.995,2.995,-2.24
5.77,3.672,2.763,13.796,25.296,3.668,3.391,3.824,3.978,3.904,5.426,4.353,6.125,2.635,6.941,3.777,1.047,3.421,3.099,4.262,39.12,40.142,38.576,38.532,7.748,2.633,2.857,2.835,0.496,0.97,7.382,22.098,25.308,9.302,18.038,5.272,2.8,14732.0,7.661,7.413,6.126,4.916,7.817,7.817,4.018,9.635,4.007,4.331,7.56,8.482,9.406,10.333,5.74,27.563,117.633,3.153,2.894,3.029,0.19,1.097,1.058,6.858,8.515,6.227,6.227,-3.69
5.569,5.568,4.52,27.527,79.737,7.471,4.021,4.483,4.699,4.649,6.168,6.011,12.236,3.686,13.587,4.45,2.047,5.116,4.726,4.931,76.175,79.369,75.325,75.226,15.655,5.472,3.214,3.205,0.942,1.302,10.102,51.286,59.442,20.49,51.929,12.384,3.242,437570.0,15.437,15.126,12.382,9.966,15.389,15.389,4.732,20.263,4.7,5.017,8.27,9.203,10.137,11.075,6.454,52.694,235.846,3.563,3.357,3.381,0.094,1.529,1.48,7.577,9.272,13.074,13.074,-4.04
5.328,4.704,3.598,19.321,32.76,3.686,3.71,4.082,4.218,4.185,5.471,5.279,7.924,2.459,6.047,4.066,1.448,3.808,3.712,4.602,57.708,59.082,57.05,56.956,10.916,2.448,2.981,3.013,0.635,1.15,8.037,28.014,31.99,14.051,27.16,6.795,3.138,36665.0,10.748,10.513,8.717,5.587,10.057,10.057,4.237,10.351,4.248,4.477,7.799,8.679,9.557,10.443,6.047,40.256,163.0,3.477,3.161,3.223,0.121,1.302,1.234,7.175,8.767,8.022,8.022,-3.9
4.921,3.686,3.271,17.923,44.219,4.993,3.633,4.087,4.281,4.157,4.956,4.448,8.584,2.021,4.086,4.011,1.488,3.504,3.414,4.392,46.031,47.467,45.784,45.813,10.728,3.334,2.937,2.93,0.824,1.064,7.427,39.55,43.552,13.784,29.543,8.75,2.97,18794.0,10.582,10.397,8.519,6.632,8.782,8.782,4.238,13.174,4.043,4.29,7.586,8.471,9.335,10.223,5.844,36.836,130.736,3.234,2.941,3.142,0.115,1.281,1.218,6.976,8.587,6.425,6.425,-3.44
5.538,3.669,2.879,14.406,15.287,3.559,3.554,3.938,4.167,4.065,4.414,4.273,7.026,3.418,11.681,3.848,1.201,3.247,3.247,4.252,39.541,41.635,38.747,38.742,8.92,1.868,2.735,2.715,0.485,0.821,6.347,30.577,36.805,10.52,26.084,6.512,2.745,3286.0,8.852,8.45,7.145,4.861,7.106,7.106,4.322,13.677,3.892,4.094,7.448,8.349,9.243,10.15,5.707,34.37,112.49,3.303,2.957,2.89,0.16,1.149,1.076,6.821,8.466,4.725,4.725,-3.7
7.539,3.417,2.335,14.456,28.854,3.215,3.551,3.947,4.073,3.926,4.657,3.799,6.863,3.034,9.208,3.834,1.149,2.74,2.505,4.129,35.867,36.595,35.19,35.115,9.392,1.943,2.921,2.93,0.768,1.09,6.28,35.142,34.545,11.088,29.086,8.808,2.99,3962.0,9.314,9.115,7.6,4.71,5.427,5.427,4.03,11.708,3.584,3.738,7.13,7.968,8.796,9.646,5.442,34.455,90.425,3.297,3.062,3.157,0.135,1.354,1.31,6.558,8.04,3.718,3.718,-3.35
5.921,3.414,2.461,13.417,38.302,2.222,3.453,3.788,3.88,3.796,3.883,3.811,5.634,2.595,6.735,3.731,1.006,3.386,2.929,4.121,37.627,38.208,37.255,37.248,8.206,1.401,2.735,2.715,0.219,0.821,6.56,25.453,25.761,10.198,18.29,5.746,2.705,6582.0,8.103,7.944,6.633,3.657,5.684,5.684,3.813,8.293,3.664,3.738,7.177,7.991,8.798,9.614,5.501,31.546,96.633,3.333,3.021,2.872,0.144,1.201,1.116,6.65,8.16,4.251,4.251,-4.3
4.135,3.809,3.355,17.82,41.157,3.639,3.637,4.029,4.197,4.168,5.097,4.857,7.224,0.018,0.0,4.006,1.336,3.661,3.448,4.485,49.452,52.888,48.99,49.005,10.431,2.531,3.067,3.067,0.874,1.141,7.85,34.426,34.685,13.96,28.694,7.681,3.145,26116.0,10.242,10.124,8.319,5.087,9.615,9.615,4.221,11.366,4.174,4.511,7.739,8.658,9.58,10.512,5.922,37.887,140.254,3.419,3.147,3.213,0.133,1.328,1.259,7.057,8.715,8.119,8.119,-0.88
2.854,0.063,0.0,4.101,11.18,0.464,2.451,2.724,2.724,2.542,1.251,1.0,1.802,-1.031,1.063,2.585,0.291,0.0,0.0,2.713,10.101,10.321,10.133,10.111,3.025,0.212,1.496,1.447,0.0,0.0,3.829,10.116,8.76,3.449,6.176,2.754,1.445,114.0,2.974,2.917,2.496,0.907,0.979,0.979,2.587,1.851,1.946,1.792,5.434,6.125,6.772,7.463,3.932,12.83,20.754,2.382,1.791,1.917,0.363,0.218,0.036,5.081,6.33,0.568,0.568,-0.99
3.409,1.281,0.0,5.631,7.826,0.891,2.641,2.968,3.015,2.934,2.381,2.294,2.362,0.722,0.522,2.914,0.421,0.703,0.231,3.303,15.574,16.429,15.511,15.498,3.447,0.533,1.561,1.524,0.0,0.0,4.736,11.018,10.705,4.179,5.983,2.46,1.604,414.0,3.403,3.336,2.793,1.473,2.329,2.329,2.815,3.301,2.833,2.89,6.33,7.151,7.962,8.784,4.673,13.722,41.032,2.374,1.691,2.008,0.352,0.099,0.013,5.814,7.357,1.718,1.718,-1.97
4.783,4.02,2.946,14.697,42.485,2.175,3.477,3.801,3.922,3.9,5.227,4.762,6.275,2.037,4.151,3.798,1.049,3.414,3.414,4.324,44.486,45.364,43.718,43.679,8.624,1.397,2.892,2.903,0.469,0.994,6.944,22.758,28.171,11.555,20.542,5.608,2.952,9744.0,8.448,8.192,6.874,3.737,6.648,6.648,3.862,9.149,3.829,3.951,7.385,8.22,9.037,9.873,5.72,33.148,118.485,3.254,2.958,3.121,0.126,1.141,1.081,6.849,8.37,5.205,5.205,-3.49
5.013,5.324,4.275,24.283,51.15,6.55,3.969,4.373,4.517,4.438,5.578,5.54,11.988,6.299,39.677,4.322,1.705,4.567,4.379,4.805,67.664,70.017,67.635,67.615,14.98,3.813,3.141,3.15,0.898,1.487,8.653,41.696,50.057,17.078,39.131,9.44,3.28,84894.0,13.436,12.918,10.749,8.926,13.065,14.312,4.498,17.319,4.454,4.727,8.025,8.924,9.803,10.704,6.279,49.813,201.008,3.61,3.392,3.314,0.105,1.574,1.507,7.391,9.005,9.429,10.221,-4.12
4.301,2.543,1.288,9.031,19.07,1.604,3.125,3.45,3.572,3.454,3.414,3.278,3.905,1.128,1.272,3.359,0.775,1.914,1.552,3.705,23.568,25.157,23.517,23.517,6.031,0.813,2.493,2.518,0.218,0.637,5.455,19.639,20.456,6.903,12.996,4.422,2.647,1215.0,5.955,5.754,4.864,2.781,3.516,3.516,3.545,6.464,3.219,3.219,6.708,7.512,8.31,9.116,5.056,23.324,60.697,2.954,2.735,2.836,0.221,0.886,0.821,6.196,7.692,2.367,2.367,-2.95
4.604,2.306,1.236,9.002,15.207,4.178,2.986,3.561,3.759,3.536,3.396,3.396,5.28,1.495,2.236,3.433,0.773,1.794,1.236,3.747,19.8,20.412,19.848,19.8,5.024,3.226,2.117,2.123,0.325,0.345,5.802,21.472,19.153,6.482,12.443,5.018,2.161,1696.0,5.014,4.882,3.993,4.086,4.544,4.544,3.42,7.303,3.332,3.761,6.942,7.9,8.782,9.74,5.198,17.097,64.283,2.66,2.274,2.524,0.261,0.585,0.455,6.351,8.11,3.438,3.438,-3.73
5.658,3.939,2.918,15.446,21.578,5.822,3.515,4.038,4.334,4.212,5.212,4.846,7.798,4.861,23.63,3.952,1.086,3.55,3.028,4.369,40.649,42.285,38.928,38.818,8.503,4.507,2.768,2.743,0.61,0.881,7.633,32.842,41.135,10.789,26.04,7.382,2.715,19145.0,8.473,8.231,6.719,7.1,8.03,8.03,4.405,17.207,4.111,4.407,7.699,8.655,9.608,10.566,5.9,30.046,130.071,3.232,2.993,2.92,0.16,1.138,1.073,6.999,8.746,6.554,6.554,-5.23
4.796,3.401,2.0,12.292,23.7,3.025,3.38,3.773,3.98,3.86,3.956,3.648,5.366,3.852,14.838,3.675,0.981,2.69,2.555,4.03,31.905,32.928,31.859,31.852,7.479,2.219,2.75,2.733,0.472,0.824,6.887,23.653,25.484,8.716,15.865,5.08,2.709,8253.0,7.425,7.215,6.025,4.037,6.121,6.121,4.029,9.878,3.714,4.007,7.232,8.117,9.005,9.896,5.425,27.625,87.59,3.069,2.813,2.853,0.183,0.995,0.92,6.575,8.176,5.234,5.234,-4.87
5.125,3.752,3.312,17.226,38.561,3.473,3.64,4.002,4.098,4.044,5.014,4.638,7.018,4.015,16.119,3.975,1.202,3.6,3.581,4.393,48.246,49.431,48.111,48.132,10.028,2.355,2.969,2.979,0.574,1.091,7.778,30.076,30.271,12.596,23.532,6.683,3.063,31433.0,9.862,9.661,7.997,4.909,9.069,9.069,4.073,10.832,4.094,4.369,7.623,8.502,9.381,10.267,5.838,36.966,133.06,3.315,3.042,3.21,0.147,1.197,1.124,6.986,8.578,7.372,7.372,-3.43
5.31,3.247,1.874,11.83,20.082,2.438,3.381,3.717,3.821,3.691,3.618,3.573,5.496,4.578,20.954,3.622,0.889,2.891,2.343,3.911,31.265,31.974,31.167,31.043,7.846,1.683,2.735,2.715,0.463,0.821,6.08,25.208,25.776,8.782,17.009,5.235,2.687,2952.0,7.29,7.012,5.848,3.627,5.067,5.252,3.834,9.623,3.497,3.638,6.991,7.805,8.614,9.43,5.283,28.694,78.312,3.072,2.784,2.854,0.157,0.971,0.905,6.45,7.952,4.03,4.231,-5.23
