pXC50,MW,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT,nB,nBM
7.523,453.54,7.82,41.4,43.1,1.016,1.141,0.658,0.64,8.6,16,58,0,18
6.184,463.02,7.717,43.3,45.0,1.0,1.122,0.682,0.644,6.7,17,60,0,19
6.699,464.01,7.865,42.4,44.1,1.004,1.126,0.681,0.647,8.5,17,59,0,19
5.246,430.95,7.981,40.7,44.4,1.011,1.134,0.669,0.639,7.4,12,54,0,14
7.301,469.99,8.103,41.4,43.1,1.012,1.134,0.674,0.647,8.6,16,58,0,18
6.456,507.47,8.458,43.3,45.0,0.998,1.121,0.69,0.648,6.7,17,60,0,19
5.097,475.4,8.804,40.7,44.4,1.01,1.133,0.678,0.643,7.4,12,54,0,14
7.0,514.44,8.87,41.4,43.1,1.011,1.132,0.683,0.651,8.6,16,58,0,18
7.222,460.6,7.311,42.9,46.0,1.001,1.129,0.663,0.631,6.3,17,63,0,19
6.444,508.46,8.618,42.4,44.1,1.002,1.124,0.689,0.65,8.5,17,59,0,19
7.699,446.57,7.443,43.3,45.0,1.003,1.129,0.667,0.637,6.7,17,60,0,19
7.201,447.56,7.586,42.4,44.1,1.007,1.132,0.665,0.639,8.5,17,59,0,19
5.174,414.5,7.676,40.7,44.4,1.015,1.142,0.652,0.631,7.4,12,54,0,14
7.602,453.54,7.82,41.4,43.1,1.016,1.141,0.658,0.64,8.6,16,58,0,18
6.538,463.02,7.717,43.3,45.0,1.0,1.122,0.682,0.644,6.7,17,60,0,19
6.783,464.01,7.865,42.4,44.1,1.004,1.126,0.681,0.647,8.5,17,59,0,19
7.155,430.95,7.981,40.7,44.4,1.011,1.134,0.669,0.639,7.4,12,54,0,14
7.137,469.99,8.103,41.4,43.1,1.012,1.134,0.674,0.647,8.6,16,58,0,18
6.921,464.56,7.743,43.3,43.3,1.012,1.135,0.666,0.643,6.7,17,60,0,19
7.155,465.55,7.891,42.4,42.4,1.015,1.138,0.664,0.646,8.5,17,59,0,19
6.18,432.49,8.009,40.7,42.6,1.024,1.148,0.65,0.638,7.4,12,54,0,14
7.0,471.53,8.13,41.4,41.4,1.025,1.146,0.657,0.646,8.6,16,58,0,18
7.097,446.57,7.443,43.3,45.0,1.003,1.129,0.667,0.637,6.7,17,60,0,19
6.45,432.49,8.009,40.7,42.6,1.024,1.148,0.65,0.638,7.4,12,54,0,14
6.284,439.0,7.569,41.4,46.6,1.0,1.127,0.671,0.632,6.9,12,58,0,14
7.456,428.53,7.518,40.4,45.6,1.012,1.142,0.648,0.625,7.0,12,57,0,14
5.975,428.53,7.518,40.4,45.6,1.012,1.142,0.648,0.625,7.0,12,57,0,14
6.699,475.4,8.804,40.7,44.4,1.01,1.133,0.678,0.643,7.4,12,54,0,14
7.388,485.47,8.091,40.0,48.3,0.996,1.128,0.67,0.623,6.7,12,60,0,14
6.097,489.43,8.586,40.4,45.6,1.007,1.133,0.673,0.636,7.0,12,57,0,14
6.921,446.52,7.834,40.4,43.9,1.021,1.148,0.647,0.631,7.0,12,57,0,14
5.462,446.52,7.834,40.4,43.9,1.021,1.148,0.647,0.631,7.0,12,57,0,14
5.506,416.92,8.175,41.2,43.1,1.014,1.134,0.673,0.647,7.8,12,51,0,14
5.851,382.48,7.5,41.2,45.1,1.008,1.135,0.657,0.631,7.8,16,51,0,17
5.824,364.49,7.147,41.2,47.1,0.998,1.129,0.658,0.623,7.8,12,51,0,14
6.0,370.52,7.719,39.6,45.8,1.002,1.126,0.676,0.634,8.3,11,48,0,13
6.222,415.54,7.42,42.9,44.6,1.0,1.126,0.671,0.639,8.9,17,56,0,19
7.699,403.53,7.337,41.8,45.5,1.0,1.128,0.665,0.633,9.1,16,55,0,18
7.735,421.52,7.664,41.8,43.6,1.009,1.135,0.663,0.64,9.1,16,55,0,18
6.574,420.58,7.789,42.6,44.4,1.0,1.12,0.689,0.648,7.4,16,54,0,18
4.699,418.59,6.862,41.0,49.2,0.993,1.128,0.653,0.613,6.6,12,61,0,14
6.301,429.57,7.281,42.4,45.8,0.998,1.127,0.666,0.633,8.5,17,59,0,19
5.796,402.54,7.188,42.9,46.4,0.996,1.125,0.666,0.631,7.1,12,56,0,15
6.854,442.61,7.026,42.9,47.6,0.993,1.124,0.664,0.625,6.3,17,63,0,19
7.523,434.61,7.625,42.1,45.6,0.998,1.121,0.683,0.64,7.0,16,57,0,18
6.004,432.62,6.76,40.6,50.0,0.991,1.129,0.65,0.608,6.3,12,64,0,14
4.523,432.62,6.76,40.6,50.0,0.991,1.129,0.65,0.608,6.3,12,64,0,14
6.26,423.57,7.059,38.3,48.3,1.002,1.135,0.642,0.61,8.3,12,60,0,14
4.699,430.56,7.423,41.4,44.8,1.002,1.13,0.665,0.635,10.3,17,58,0,19
4.131,387.56,6.682,44.8,50.0,0.985,1.116,0.665,0.618,1.7,18,58,0,19
6.426,400.47,7.852,41.2,43.1,1.018,1.142,0.655,0.638,7.8,12,51,0,14
4.854,432.49,8.009,40.7,42.6,1.024,1.148,0.65,0.638,7.4,12,54,0,14
4.886,446.57,7.443,43.3,45.0,1.003,1.129,0.667,0.637,6.7,17,60,0,19
6.137,448.94,8.314,40.7,42.6,1.021,1.141,0.667,0.646,7.4,12,54,0,14
6.728,493.39,9.137,40.7,42.6,1.019,1.139,0.677,0.65,7.4,12,54,0,14
7.013,477.82,9.369,41.2,43.1,1.009,1.125,0.701,0.66,7.8,12,51,0,14
5.745,463.02,7.717,43.3,45.0,1.0,1.122,0.682,0.644,6.7,17,60,0,19
5.509,414.5,7.676,40.7,44.4,1.015,1.142,0.652,0.631,7.4,12,54,0,14
5.854,430.95,7.981,40.7,44.4,1.011,1.134,0.669,0.639,7.4,12,54,0,14
5.409,507.47,8.458,43.3,45.0,0.998,1.121,0.69,0.648,6.7,17,60,0,19
6.52,414.55,7.273,43.9,45.6,0.996,1.122,0.672,0.637,7.0,17,57,0,19
7.377,416.92,8.175,41.2,43.1,1.014,1.134,0.673,0.647,7.8,12,51,0,14
7.854,418.46,8.205,41.2,41.2,1.028,1.149,0.654,0.646,7.8,12,51,0,14
6.854,432.54,7.588,43.9,43.9,1.005,1.128,0.671,0.644,7.0,17,57,0,19
6.444,446.57,7.443,43.3,45.0,1.003,1.129,0.667,0.637,6.7,17,60,0,19
5.42,436.58,7.157,41.0,47.5,1.001,1.134,0.652,0.619,6.6,12,61,0,14
6.137,388.51,7.33,43.4,45.3,0.998,1.124,0.671,0.637,7.5,12,53,0,15
6.131,415.54,7.42,42.9,44.6,1.0,1.126,0.671,0.639,8.9,17,56,0,19
5.921,447.4,8.285,40.7,44.4,1.008,1.127,0.686,0.647,7.4,12,54,0,14
6.62,412.96,7.647,40.7,46.3,1.002,1.128,0.67,0.632,7.4,12,54,0,14
4.699,436.58,7.157,41.0,47.5,1.001,1.134,0.652,0.619,6.6,12,61,0,14
6.066,416.57,7.061,42.4,47.5,0.994,1.125,0.662,0.624,6.8,12,59,0,15
6.071,432.54,7.588,43.9,43.9,1.005,1.128,0.671,0.644,7.0,17,57,0,19
4.921,430.95,7.981,40.7,44.4,1.011,1.134,0.669,0.639,7.4,12,54,0,14
6.907,428.58,7.143,43.3,46.7,0.994,1.123,0.668,0.631,6.7,17,60,0,19
6.699,428.53,7.518,40.4,45.6,1.012,1.142,0.648,0.625,7.0,12,57,0,14
4.569,406.58,6.776,40.0,50.0,0.992,1.13,0.647,0.606,6.7,12,60,0,14
5.939,453.03,7.427,41.0,47.5,0.998,1.127,0.667,0.626,6.6,12,61,0,14
7.119,461.37,9.046,41.2,43.1,1.013,1.132,0.683,0.651,7.8,12,51,0,14
5.983,430.95,7.981,40.7,44.4,1.011,1.134,0.669,0.639,7.4,12,54,0,14
6.051,491.85,9.108,40.7,44.4,1.006,1.125,0.695,0.651,7.4,12,54,0,14
7.215,416.92,8.175,41.2,43.1,1.014,1.134,0.673,0.647,7.8,12,51,0,14
5.0,414.5,7.676,40.7,44.4,1.015,1.142,0.652,0.631,7.4,12,54,0,14
5.288,404.56,6.975,41.4,48.3,0.994,1.127,0.656,0.618,6.9,12,58,0,14
5.194,497.48,8.155,41.0,47.5,0.996,1.125,0.675,0.629,6.6,12,61,0,14
5.235,473.63,7.764,45.9,44.3,1.0,1.109,0.695,0.654,1.6,22,61,0,23
