pXC50,Si,Se,MW,nBT,nAT,Sv,nBO,Sp,nH
5.2,49.781,44.098,325.42,47,44,27.904,27,29.262,20
5.2,40.282,36.447,323.41,40,36,25.116,27,26.176,13
5.2,40.637,37.203,350.3,37,35,24.968,27,24.034,10
5.3,43.06,39.334,367.88,42,39,27.954,28,29.546,14
5.8,61.441,55.083,454.6,59,55,37.245,37,39.228,22
5.2,58.149,52.014,398.5,56,52,34.256,34,35.784,22
7.7,45.697,41.331,361.46,44,41,28.643,29,29.938,15
5.2,70.398,62.96,497.67,67,63,41.518,40,43.961,27
5.2,37.279,33.153,254.32,35,33,21.434,21,22.284,14
6.2,69.903,62.909,529.65,66,62,41.891,42,43.387,24
6.8,72.02,63.156,451.61,67,63,38.569,37,40.569,30
5.7,40.694,36.036,268.35,38,36,22.961,22,24.046,16
5.6,62.691,55.287,408.53,58,55,34.494,33,36.04,25
5.2,29.036,26.796,269.31,29,26,19.536,22,19.892,7
5.6,87.76,76.832,521.74,81,77,45.723,42,48.586,39
5.6,56.943,50.982,415.56,55,51,34.223,34,36.222,21
5.2,46.534,42.189,380.53,45,42,29.335,29,31.341,16
5.2,82.305,72.854,535.71,78,73,46.428,45,48.847,33
5.2,76.514,67.207,467.67,73,68,42.197,40,45.143,33
5.2,34.574,31.018,268.37,33,31,21.38,21,22.716,12
5.2,49.03,44.473,359.41,47,44,29.896,30,30.71,17
5.2,53.567,47.694,346.46,50,48,30.74,28,32.534,22
5.2,48.872,44.163,379.4,47,43,29.749,32,29.926,15
5.2,52.207,47.6,410.41,49,46,31.684,33,31.591,16
5.9,73.308,64.65,457.63,68,65,40.385,37,42.836,31
5.2,50.03,44.752,364.42,47,44,29.387,30,29.995,17
5.2,46.903,42.363,344.4,46,42,28.676,30,29.5,16
5.3,65.405,59.502,497.58,61,58,38.324,38,39.256,23
5.2,31.165,28.724,320.46,32,28,21.217,24,22.739,8
7.8,43.428,39.033,334.83,42,39,27.074,27,28.449,15
5.2,48.318,43.247,334.41,46,43,28.203,28,29.262,18
5.2,56.805,50.843,426.92,53,50,33.268,33,34.375,20
5.2,50.492,45.323,350.42,47,45,29.597,28,30.711,19
6.5,43.192,38.138,283.37,41,38,23.983,24,25.051,17
5.2,49.232,43.232,303.41,45,43,25.751,24,27.029,21
5.2,53.543,48.341,410.43,50,47,32.165,33,32.381,17
5.8,44.9,39.592,290.4,43,40,25.773,25,27.353,18
5.2,72.979,65.28,525.69,69,65,43.034,42,45.211,27
5.2,34.807,31.593,286.74,33,31,21.735,22,22.381,11
5.2,57.235,51.527,432.55,54,51,34.433,34,35.921,20
5.2,53.567,47.694,346.46,50,48,30.74,28,32.534,22
5.2,36.78,33.051,263.32,35,33,22.413,22,23.279,13
5.2,30.076,27.393,226.25,29,27,18.58,19,18.966,10
5.6,41.036,37.564,326.4,39,37,25.535,25,26.591,14
5.2,38.12,34.382,345.22,36,34,23.46,23,24.637,13
5.2,35.488,31.48,234.29,31,31,19.149,17,19.739,14
5.2,40.282,36.447,323.41,40,36,25.116,27,26.176,13
7.4,59.438,52.789,397.52,57,53,34.563,34,36.336,23
5.2,46.318,41.247,310.39,43,41,26.203,25,27.262,18
5.2,59.085,53.334,439.47,55,52,34.912,35,35.353,20
5.2,50.235,45.029,345.43,47,45,29.708,28,31.017,19
5.2,59.41,53.36,438.48,55,52,34.539,35,34.909,20
6.1,53.445,47.636,378.45,51,47,30.914,32,31.756,19
5.2,63.517,56.211,428.55,60,56,36.1,36,37.591,24
5.2,66.268,58.556,425.58,62,59,37.617,35,39.858,27
5.6,52.947,47.534,387.45,50,47,31.893,32,32.75,18
5.2,38.954,34.625,282.38,35,34,21.532,20,22.631,15
5.2,46.899,42.705,402.82,44,41,29.071,31,29.029,13
5.2,55.251,49.771,417.43,51,48,31.901,33,31.841,18
5.3,67.979,60.781,462.59,65,61,40.31,39,42.307,26
5.2,46.611,41.818,327.41,45,42,28.467,28,29.801,17
6.0,51.481,45.912,366.46,50,46,31.289,32,32.603,18
5.2,51.773,45.251,296.45,48,46,27.552,24,29.841,24
5.6,55.278,49.418,386.52,51,49,31.158,29,32.887,22
5.2,40.611,35.818,255.35,37,36,22.467,20,23.801,17
5.2,60.351,52.774,366.52,55,53,32.111,29,34.103,26
5.2,32.309,29.491,271.72,31,29,20.714,21,21.375,10
5.2,31.282,27.949,212.27,29,28,18.392,17,19.273,12
5.5,53.82,48.643,418.52,51,48,32.906,33,34.159,18
5.2,91.716,80.941,591.79,87,81,50.997,50,53.62,37
5.2,54.567,48.694,358.47,52,49,31.74,30,33.534,22
5.2,33.206,31.273,283.25,32,30,21.703,23,21.324,9
5.2,52.579,47.592,410.42,50,46,31.485,34,31.387,16
7.4,39.827,36.236,310.4,38,36,24.82,24,26.137,14
7.7,28.627,26.771,267.35,27,26,18.647,18,19.71,9
5.2,28.884,27.116,303.18,27,26,19.422,19,20.33,8
5.2,51.61,46.316,390.51,49,46,31.191,31,32.705,18
6.0,69.188,61.632,481.67,66,62,40.804,39,43.506,27
5.2,67.923,61.105,497.03,65,61,41.137,40,43.165,25
5.2,44.732,41.112,400.31,40,38,27.261,30,25.671,10
5.6,51.036,47.062,449.55,50,46,33.26,35,34.494,15
5.2,32.309,29.491,271.72,31,29,20.714,21,21.375,10
5.2,36.617,32.909,270.38,35,33,22.106,21,23.682,14
7.7,51.863,46.534,372.49,48,46,29.632,28,31.125,20
5.6,51.449,46.251,436.34,49,46,31.535,31,33.165,18
5.2,66.065,59.294,484.63,63,59,39.486,39,41.443,24
5.2,46.737,41.927,318.4,44,42,27.687,26,29.012,18
6.1,31.127,28.654,272.32,30,28,20.435,21,21.097,9
6.0,55.936,48.891,340.48,51,49,29.584,27,31.341,24
5.2,43.875,39.96,349.36,42,39,27.706,29,27.915,13
5.2,48.402,43.465,347.41,46,43,28.697,29,29.506,17
5.2,23.868,23.036,330.59,24,22,18.071,19,19.057,5
5.2,33.035,31.473,356.59,32,30,23.282,24,23.75,8
7.1,54.883,49.011,392.92,52,49,32.369,31,34.188,21
5.5,55.939,49.687,370.49,53,50,32.542,31,34.33,22
5.2,50.152,44.811,332.43,47,45,29.214,27,30.773,20
5.2,51.495,46.618,395.49,48,46,31.279,30,32.603,18
6.3,48.077,43.414,348.37,44,42,27.016,27,27.108,17
5.2,38.515,35.022,317.76,35,34,23.471,23,23.841,12
5.2,40.66,37.505,386.46,39,36,26.502,29,27.011,10
5.2,59.358,53.342,414.5,57,53,34.971,35,36.239,22
5.2,65.192,58.88,460.53,61,58,37.928,37,38.909,24
5.2,36.707,32.651,363.19,33,32,20.487,19,22.404,14
5.2,35.286,32.0,283.29,33,31,21.786,23,21.705,10
5.4,41.107,37.778,341.78,40,37,26.349,27,27.04,13
6.8,37.878,35.025,348.2,36,34,24.783,25,25.449,11
5.8,23.91,21.687,218.27,23,21,15.316,17,15.682,6
5.2,64.98,57.061,419.56,60,57,35.801,34,37.591,26
5.2,31.239,28.058,234.28,31,28,19.666,21,20.307,10
5.3,46.455,42.342,439.36,45,42,30.174,30,32.046,15
5.2,52.651,46.912,347.45,49,47,30.235,28,31.779,21
5.2,45.026,39.702,281.39,42,40,24.993,23,26.563,19
5.2,52.579,47.592,410.42,50,46,31.485,34,31.387,16
5.2,42.112,37.716,288.37,40,38,25.445,24,26.796,16
5.2,67.275,60.622,500.63,64,60,40.201,40,41.898,24
5.2,26.754,24.571,338.12,26,24,18.171,19,19.659,7
5.2,52.576,46.821,380.44,50,46,30.583,32,31.239,18
6.3,49.044,44.458,381.44,46,43,28.377,29,28.995,17
5.9,32.625,29.756,275.33,31,29,20.457,21,21.102,10
6.5,63.434,55.992,415.55,60,56,35.606,35,37.347,25
5.2,60.409,54.578,460.54,55,53,34.772,34,35.529,21
5.2,60.615,53.916,424.5,56,53,34.351,34,35.216,22
6.2,44.95,40.549,331.43,43,40,26.083,26,27.358,17
5.3,46.694,42.036,340.41,46,42,28.961,30,30.046,16
5.2,55.283,49.971,406.45,52,49,32.828,33,33.415,19
5.2,44.922,40.902,362.34,41,39,26.826,28,26.313,13
6.3,42.424,38.8,347.32,39,37,25.805,27,25.307,12
5.2,34.584,31.338,378.19,33,31,22.224,22,24.182,11
5.2,54.73,48.36,354.49,52,49,31.827,30,33.875,22
5.2,58.492,52.822,449.55,55,52,35.321,35,36.614,20
5.7,64.773,57.749,455.63,61,58,38.277,36,40.745,25
5.2,68.561,61.101,466.59,64,61,39.826,38,41.557,26
5.6,64.773,57.749,455.63,61,58,38.277,36,40.745,25
5.2,41.456,37.28,317.33,38,36,24.222,25,24.165,13
5.2,44.732,41.112,400.31,40,38,27.261,30,25.671,10
5.2,53.82,48.643,418.52,51,48,32.906,33,34.159,18
5.2,46.611,41.818,327.41,45,42,28.467,28,29.801,17
5.8,62.99,56.923,488.59,60,56,38.343,39,39.62,21
5.2,43.978,39.873,356.81,42,39,27.172,28,27.841,14
6.5,37.934,34.702,313.76,36,34,23.955,24,24.591,12
5.2,40.242,37.014,366.75,37,35,25.412,27,24.955,10
5.2,44.488,40.003,345.46,44,40,27.928,29,29.483,15
5.4,46.399,42.665,473.8,45,42,31.001,31,32.904,14
5.2,73.6,65.196,474.62,69,65,40.594,39,42.534,30
7.3,38.645,35.207,331.76,36,34,24.14,25,24.324,11
5.2,61.038,54.647,455.49,56,53,35.229,36,35.398,20
5.2,88.933,79.141,612.77,85,79,52.118,52,54.336,33
6.3,38.167,34.8,335.21,36,34,24.089,24,25.0,12
6.0,49.946,44.778,361.5,48,45,30.181,29,32.211,19
5.6,53.527,48.098,401.53,52,48,32.697,33,34.461,19
5.2,38.329,34.891,297.31,36,34,23.511,24,23.671,12
6.1,66.189,58.389,435.56,61,58,36.516,35,38.046,26
5.3,70.398,62.96,497.67,67,63,41.518,40,43.961,27
5.2,61.441,55.083,454.6,59,55,37.245,37,39.228,22
5.2,32.495,30.047,258.25,31,29,20.009,21,19.875,10
5.5,63.691,56.287,420.54,59,56,35.494,34,37.04,25
5.2,27.615,25.676,371.57,27,25,19.504,20,21.273,7
5.2,44.922,40.902,362.34,41,39,26.826,28,26.313,13
5.2,32.309,29.491,271.72,31,29,20.714,21,21.375,10
5.2,41.638,37.36,314.8,39,37,24.789,24,25.904,15
5.2,52.658,47.283,403.52,52,47,32.365,34,33.944,18
6.0,47.82,43.145,343.41,46,43,29.181,29,30.256,17
5.4,43.196,38.934,313.38,42,39,26.94,27,28.04,15
5.2,57.997,52.334,432.37,54,52,34.142,31,36.222,23
5.2,28.814,26.684,277.75,28,26,19.374,20,20.261,8
5.6,71.603,63.516,483.69,67,64,41.33,38,44.267,29
5.4,67.995,60.523,474.54,63,59,37.503,38,38.131,25
5.5,53.943,48.458,376.45,51,48,31.444,31,32.478,20
5.2,39.98,36.887,348.83,38,36,25.363,25,26.449,13
5.2,44.82,40.145,307.38,42,40,26.181,25,27.256,17
5.4,41.906,37.683,317.44,41,38,26.412,26,28.233,15
5.2,60.225,52.665,375.53,56,53,32.891,31,34.893,25
5.2,40.33,36.709,373.23,38,36,25.174,25,26.091,13
5.2,56.023,49.905,383.49,53,50,33.036,32,34.574,21
6.1,49.402,44.465,359.42,47,44,29.697,30,30.506,17
5.2,73.654,66.949,545.66,70,66,43.862,43,45.529,27
5.2,68.106,60.891,453.58,65,61,39.53,38,41.517,27
5.2,56.564,49.898,352.48,52,50,30.783,28,32.546,24
5.2,30.127,27.705,291.15,29,27,20.321,21,21.023,8
5.2,53.694,49.011,424.45,52,48,33.907,36,34.205,16
5.2,52.864,47.316,374.45,50,47,31.398,31,32.506,19
5.2,52.444,46.88,376.52,50,47,31.202,30,33.216,20
7.7,49.402,44.465,359.42,47,44,29.697,30,30.506,17
5.3,45.74,41.222,339.45,43,41,27.369,26,28.904,17
5.2,65.24,58.127,454.53,60,57,36.593,36,37.432,24
5.2,65.896,58.538,425.54,61,58,35.761,34,37.222,27
5.2,49.808,44.64,372.86,47,44,29.226,29,30.364,18
5.2,32.146,29.349,278.78,31,29,20.406,20,21.779,11
5.6,47.764,43.469,377.85,46,43,30.009,30,31.114,16
5.2,54.694,49.534,439.54,54,49,34.686,37,35.949,17
5.2,43.29,38.843,315.35,40,38,25.233,25,25.676,15
7.7,27.605,25.356,261.75,27,25,18.659,19,19.807,8
6.4,44.235,39.029,273.37,40,39,23.708,21,25.017,19
6.5,47.238,42.323,342.46,44,42,27.39,26,28.909,18
5.3,47.113,42.691,348.39,45,42,28.391,29,28.955,16
5.7,51.821,46.425,384.45,50,46,31.673,33,32.54,17
5.2,65.9,58.614,448.55,62,58,37.209,37,38.495,25
5.2,66.195,60.174,505.6,63,59,39.609,40,40.801,23
5.2,59.943,53.956,451.56,56,53,35.169,35,36.381,21
5.7,59.07,52.847,420.49,56,52,34.156,35,34.972,21
5.2,42.202,38.524,367.49,41,38,27.303,28,28.824,13
6.5,47.551,42.345,343.85,45,42,27.337,27,28.671,18
5.2,57.73,51.334,390.49,54,51,32.772,32,34.034,22
5.2,49.444,43.88,340.49,47,44,28.202,27,30.216,20
5.6,47.74,43.222,363.47,46,43,29.369,29,30.904,17
6.2,49.456,45.316,475.36,46,44,31.119,31,32.205,15
5.2,57.69,51.007,355.48,53,51,31.003,28,32.756,25
5.2,35.724,32.374,285.75,34,32,22.241,22,23.137,12
5.2,55.943,50.458,400.47,54,50,33.444,34,34.478,20
5.2,64.109,57.687,435.55,62,58,38.487,37,40.506,25
5.2,51.048,46.534,428.47,48,45,31.825,33,32.267,15
5.8,60.282,54.494,469.58,58,54,37.607,38,39.159,20
6.6,40.929,37.993,377.37,39,36,26.465,29,26.193,10
5.9,45.906,41.658,365.45,44,41,28.358,29,29.392,15
5.9,54.515,49.313,425.97,51,49,33.25,31,35.284,20
5.8,49.903,44.887,383.51,49,45,31.455,32,33.245,17
5.2,63.33,57.436,506.58,60,56,38.726,40,39.557,20
5.2,51.029,45.996,386.51,49,46,31.675,31,33.455,18
5.2,41.771,38.56,368.86,41,38,27.648,28,28.994,13
5.2,50.405,45.76,404.49,48,45,31.379,32,32.398,16
5.2,50.611,45.793,375.42,48,45,30.412,31,30.96,17
5.2,63.121,56.865,492.51,59,55,37.723,40,37.642,19
5.5,56.654,51.182,428.52,52,50,32.862,32,33.83,20
5.2,47.955,43.382,380.39,46,42,29.244,32,29.171,14
5.2,39.405,35.262,269.33,37,35,22.655,22,23.495,15
5.2,48.704,43.945,363.45,46,43,27.993,28,29.057,18
5.2,33.994,30.454,254.29,32,30,20.576,21,21.006,11
5.2,37.196,32.934,241.32,34,33,20.94,19,22.04,15
7.1,44.066,39.029,304.39,42,39,25.762,26,26.841,16
5.4,69.481,62.178,498.66,66,62,41.013,40,43.205,26
5.9,43.412,40.327,380.41,42,39,28.239,30,28.534,12
5.2,48.026,42.702,317.42,45,43,27.993,26,29.563,19
5.8,53.947,48.534,399.46,52,48,32.893,34,33.75,18
5.2,36.947,33.487,289.32,36,33,23.402,25,23.767,11
5.2,31.448,28.385,238.27,30,28,19.381,20,19.762,10
5.2,69.268,61.556,461.61,66,62,40.617,39,42.858,27
5.2,67.939,60.454,427.58,64,61,38.541,35,41.029,29
5.2,54.073,48.643,390.45,51,48,32.113,32,32.961,19
6.0,63.734,56.178,398.53,58,56,34.22,31,36.006,27
5.3,49.821,44.425,360.43,48,44,29.673,31,30.54,17
5.2,39.196,34.934,265.34,37,35,22.94,22,24.04,15
6.9,54.827,49.334,427.36,52,49,33.197,32,35.046,20
7.6,62.94,56.662,454.53,60,56,37.487,38,38.489,22
5.2,73.099,64.323,453.64,70,65,40.67,39,43.381,31
5.2,42.349,38.585,339.8,41,38,26.482,27,27.352,14
5.2,55.117,49.534,380.45,51,49,31.839,30,32.926,21
5.2,56.595,51.211,429.9,52,50,33.008,32,33.796,20
5.2,39.907,36.16,290.34,39,36,24.633,25,25.489,14
5.3,56.861,50.52,392.48,53,50,32.441,32,33.517,21
5.2,77.979,70.28,585.74,76,70,48.034,49,50.211,27
5.2,42.084,38.825,388.23,40,38,26.593,26,27.506,14
5.5,47.551,42.345,343.85,45,42,27.337,27,28.671,18
5.2,72.893,64.767,479.63,69,65,41.858,40,44.074,29
5.2,50.946,45.778,373.51,49,46,31.181,30,33.211,19
5.2,54.962,49.996,430.42,50,48,32.594,33,32.29,17
5.2,22.19,20.949,220.62,22,20,15.354,17,15.301,5
5.2,46.238,41.323,330.45,43,41,26.39,25,27.909,18
5.2,47.113,42.691,348.39,45,42,28.391,29,28.955,16
5.2,46.91,43.429,407.44,45,42,30.261,32,30.54,13
5.2,27.499,24.967,273.14,27,25,18.175,18,19.409,9
5.2,41.903,37.363,284.35,39,37,23.676,23,24.5,16
6.8,35.156,31.814,269.29,33,31,21.117,22,21.222,11
5.2,44.534,40.665,353.43,43,40,27.557,28,28.597,15
5.4,49.322,44.542,379.48,47,44,29.885,30,31.154,17
5.2,40.555,36.142,289.79,37,36,23.294,21,24.659,16
5.2,54.651,48.912,371.47,52,49,32.235,31,33.779,21
5.2,61.139,55.498,479.99,56,54,35.437,34,36.659,22
5.2,51.951,47.305,405.42,49,46,31.796,33,31.898,16
5.2,65.196,58.48,486.62,62,58,39.155,39,40.926,23
5.2,65.031,57.8,450.54,61,57,36.878,37,37.978,24
5.2,27.499,24.967,273.14,27,25,18.175,18,19.409,9
5.2,64.697,58.596,505.67,61,58,39.367,38,41.54,23
5.2,44.441,38.585,247.38,40,39,22.52,19,24.324,21
5.2,39.381,35.909,333.3,36,34,24.079,26,23.341,10
5.7,50.112,45.214,387.5,49,45,31.17,32,32.699,17
7.2,35.522,33.113,344.8,35,32,24.11,26,24.722,9
6.8,41.405,37.262,293.35,39,37,24.655,24,25.495,15
5.2,55.784,50.211,482.44,53,50,34.248,33,36.574,20
5.2,22.084,20.084,235.09,22,20,14.648,15,15.648,7
5.2,54.149,48.014,350.46,51,48,30.256,29,31.784,22
6.5,48.896,42.796,308.43,46,43,26.816,26,28.364,20
5.6,61.825,55.243,440.5,57,54,35.066,35,35.671,22
5.2,41.053,36.243,280.79,37,36,22.316,20,23.665,17
7.5,37.657,34.236,317.4,37,34,24.875,26,25.96,11
5.2,49.69,44.24,346.43,47,44,29.004,29,30.057,18
5.2,49.315,43.451,316.41,45,43,26.246,25,27.273,20
5.2,61.438,54.789,421.54,60,55,36.563,37,38.336,23
5.2,57.2,51.032,410.47,53,50,32.824,33,33.455,20
5.2,57.2,51.032,410.47,54,50,32.824,34,33.455,20
5.2,36.498,32.323,359.2,34,32,20.773,20,22.949,14
5.3,41.611,36.818,267.36,39,37,23.467,22,24.801,17
5.8,42.239,37.825,279.36,41,38,24.665,24,26.006,17
5.2,15.798,14.836,188.02,15,14,11.246,12,11.494,3
6.2,50.096,45.134,366.87,47,45,30.041,28,31.631,19
5.3,43.875,39.96,349.36,42,39,27.706,29,27.915,13
5.2,32.704,29.898,265.32,30,29,19.503,19,20.074,11
5.2,49.864,44.316,338.42,47,44,28.398,28,29.506,19
7.7,44.113,39.691,312.36,42,39,25.391,26,25.955,16
5.3,53.29,49.113,476.34,52,48,35.352,37,36.222,15
5.2,61.844,55.658,441.95,58,55,35.546,34,37.068,24
5.2,57.986,51.872,405.56,55,52,33.949,32,36.188,23
5.2,42.823,38.44,316.42,40,38,24.863,24,26.148,16
5.2,79.012,69.309,482.69,75,70,43.218,41,46.148,34
6.2,47.82,43.145,343.41,46,43,29.181,29,30.256,17
5.2,54.075,49.182,433.59,53,49,34.082,34,36.313,19
5.6,46.342,41.018,327.85,44,41,26.622,26,28.216,18
5.2,44.82,40.145,307.38,43,40,26.181,26,27.256,17
5.2,54.026,48.676,389.45,51,48,31.939,32,32.722,19
6.1,44.997,40.567,363.27,42,40,27.143,26,28.523,16
7.2,58.457,52.327,427.47,54,51,33.713,34,34.148,20
5.2,57.145,50.218,356.48,51,50,30.299,27,31.796,24
5.2,39.06,35.334,319.84,37,35,23.954,23,25.546,14
5.2,39.196,34.934,265.34,37,35,22.94,22,24.04,15
5.2,50.152,44.811,332.43,47,45,29.214,27,30.773,20
5.2,53.785,48.149,396.44,51,47,31.297,33,31.694,18
5.5,50.471,46.265,447.45,47,44,31.703,34,31.449,13
5.3,23.157,21.811,305.59,22,21,16.378,16,17.608,6
5.2,43.14,39.258,347.82,42,39,27.767,28,28.898,14
5.2,48.953,45.32,409.45,47,44,30.986,32,31.506,15
5.2,53.402,48.465,407.46,52,48,33.697,35,34.506,17
5.2,53.445,48.356,385.45,51,48,32.423,32,33.472,19
5.2,45.528,40.6,302.4,43,41,26.972,25,28.557,18
5.2,53.358,47.367,342.47,51,48,31.026,29,33.08,22
5.2,47.275,42.356,344.41,45,42,28.477,29,29.296,16
7.4,32.282,28.949,224.28,31,29,19.392,19,20.273,12
5.2,41.381,37.909,357.32,38,36,26.079,28,25.341,10
5.2,38.285,35.218,329.37,36,34,24.019,25,24.324,11
7.8,53.69,48.24,394.47,52,48,33.004,34,34.057,18
5.2,40.694,36.036,268.35,38,36,22.961,22,24.046,16
5.2,34.199,30.229,238.35,31,30,18.622,17,19.932,14
5.8,52.527,47.098,389.52,50,47,31.697,31,33.461,19
5.6,41.036,37.564,326.4,39,37,25.535,25,26.591,14
5.2,51.164,46.709,420.41,50,45,31.959,36,31.625,14
5.6,64.031,56.8,438.53,59,56,35.878,35,36.978,24
5.7,68.655,61.01,468.56,63,60,38.119,37,39.194,26
5.2,60.571,54.963,463.56,57,54,36.368,36,37.585,21
5.7,34.415,31.429,295.36,34,31,22.742,24,23.648,10
5.2,33.282,29.949,236.29,32,30,20.392,20,21.273,12
5.2,48.89,44.945,431.44,46,43,31.187,33,31.199,13
5.7,64.824,58.963,483.53,62,58,39.575,40,40.387,22
5.2,52.528,47.574,386.44,50,47,31.918,32,32.716,18
5.2,49.761,44.673,371.86,46,44,29.052,28,30.125,18
5.7,50.863,46.429,438.83,46,44,30.696,32,30.182,14
