pXC50,SpMax1_Bh.e.,C.017,MPC10,nCconj,nR.Ct,SM05_EA.ri.,SM06_EA.ri.,SM07_EA.ri.,SM08_EA.ri.,SpDiam_AEA.ri.,C.016,Eig01_EA.ri.,nCIR,NdsCH,nR.Cs,SpDiam_EA.ri.,SpMax_EA.ri.,H.052,P_VSA_MR_5,MWC09,TWC,CATS2D_05_DL,SdsCH,nCrt,Rbrid,SpMax1_Bh.i.,X2A,SpMin1_Bh.e.,GATS4v,D.Dtr10,SpMin1_Bh.i.,P_VSA_LogP_2,X1A,nCt,SpMAD_EA.ri.,SpMin1_Bh.p.,SpMin1_Bh.s.,MATS4v,Eig03_EA.ri.,Eig01_AEA.bo.,SpMax_AEA.bo.,MATS4i,SpMax1_Bh.v.,MWC08,C.002,MATS1p,SM05_AEA.ed.,MPC07,SpMax1_Bh.m.,BIC3,C.026,MATS1v,nBnz,PW5,S3K,MPC05,nCrq,nCs,SRW07,SRW09,MATS1i,CATS2D_04_LL
8.301,4.135,1,6.129,5,1,7.657,9.086,10.32,11.685,6.143,3,3.998,10,3,3,5.998,3.998,6,54.453,12.205,13.668,4,3.67,5,3,4.16,0.258,2.039,1.106,202.865,2.015,19.153,0.428,5,1.518,2.141,1.596,-0.114,2.892,5.119,5.119,-0.051,4.054,11.204,4,0.079,12.073,5.69,4.102,0.901,0,0.062,0,0.132,3.16,5.257,2,6,5.043,7.413,0.043,25
4.745,4.097,0,4.682,0,0,6.694,8.075,9.088,10.34,5.516,2,3.444,6,2,2,5.444,3.444,1,20.185,11.184,12.618,2,4.292,2,2,4.13,0.277,1.995,0.856,68.913,1.968,2.535,0.432,2,1.516,2.128,1.458,0.11,2.613,4.559,4.559,0.177,4.01,10.26,1,0.136,10.96,4.787,4.044,0.843,2,0.066,1,0.105,2.315,4.466,0,2,4.595,6.629,0.166,13
8.461,4.126,1,5.659,2,1,6.878,8.343,9.347,10.659,5.64,1,3.624,8,1,1,5.624,3.624,1,29.787,11.545,12.98,4,2.263,1,2,4.164,0.268,2.026,1.078,97.869,1.997,10.138,0.426,1,1.499,2.116,1.552,-0.104,2.712,4.749,4.749,-0.056,4.036,10.614,4,0.067,11.249,5.22,4.079,0.851,2,0.058,2,0.11,3.077,4.86,1,5,4.727,6.843,0.065,19
4.523,4.065,0,5.182,0,0,6.547,7.97,8.7,9.924,5.211,0,3.054,4,0,0,5.054,3.054,0,13.037,11.253,12.673,0,0.0,0,0,4.083,0.3,1.975,0.997,0.0,1.951,4.211,0.44,0,1.425,2.083,1.261,-0.035,2.712,4.66,4.66,0.149,3.965,10.395,0,-0.067,11.01,4.836,4.716,0.811,6,0.017,4,0.097,7.071,4.691,0,0,0.0,0.0,-0.079,10
4.523,4.067,0,5.283,0,0,6.651,8.072,8.759,9.978,5.239,0,3.052,4,0,0,5.052,3.052,0,22.698,11.343,12.761,2,0.0,0,0,4.085,0.309,1.978,0.958,0.0,1.952,13.873,0.447,0,1.412,2.083,1.264,0.027,2.622,4.66,4.66,0.08,3.966,10.5,2,-0.016,11.094,4.949,4.716,0.814,5,0.037,4,0.089,11.279,4.787,0,4,0.0,0.0,-0.062,10
4.523,4.069,0,5.384,0,0,6.744,8.144,8.855,10.063,5.242,0,3.054,4,0,0,5.054,3.054,0,22.698,11.438,12.858,2,0.0,0,0,4.087,0.308,1.975,0.968,0.0,1.951,13.873,0.445,0,1.41,2.084,1.262,0.02,2.712,4.66,4.66,0.135,3.968,10.59,2,-0.016,11.2,5.024,4.716,0.87,7,0.038,4,0.089,11.398,4.852,0,4,0.0,0.0,-0.053,10
4.523,4.07,0,5.464,0,0,6.757,8.165,8.877,10.088,5.261,0,3.054,5,0,0,5.054,3.054,0,22.698,11.498,12.919,0,0.0,0,0,4.088,0.299,1.975,0.999,0.0,1.951,13.873,0.438,0,1.417,2.084,1.296,-0.02,2.712,4.66,4.66,0.117,3.968,10.646,2,-0.061,11.232,5.081,4.716,0.866,7,0.018,4,0.096,9.586,4.934,0,4,0.0,0.0,-0.084,10
4.523,4.063,0,5.043,0,0,6.432,7.886,8.591,9.83,5.209,0,3.052,4,0,0,5.052,3.052,0,13.037,11.144,12.564,0,0.0,0,0,4.081,0.301,1.978,0.97,0.0,1.952,4.211,0.442,0,1.429,2.083,1.263,-0.008,2.613,4.66,4.66,0.071,3.963,10.292,0,-0.069,10.881,4.754,4.716,0.747,4,0.018,4,0.098,6.866,4.615,0,0,0.0,0.0,-0.111,10
7.81,4.129,1,5.866,2,1,6.961,8.435,9.398,10.71,5.681,1,3.624,9,1,1,5.624,3.624,1,29.787,11.679,13.112,3,2.255,1,2,4.166,0.271,2.026,1.061,135.856,1.998,10.138,0.427,1,1.477,2.117,1.552,-0.087,2.742,4.749,4.749,-0.035,4.04,10.759,4,0.043,11.363,5.38,4.081,0.836,4,0.049,3,0.107,4.278,5.03,1,5,4.727,6.843,0.046,23
6.886,4.137,3,6.248,5,3,7.358,8.8,9.872,11.201,5.91,1,3.852,11,1,1,5.852,3.852,2,42.567,11.939,13.384,5,1.872,4,3,4.166,0.277,2.067,1.138,280.988,2.042,24.916,0.432,4,1.506,2.142,1.599,-0.11,2.798,4.949,4.949,-0.054,4.072,10.992,9,0.104,11.697,5.68,4.069,0.889,1,0.076,1,0.102,5.616,5.176,1,11,4.949,7.235,0.063,45
6.854,4.138,3,6.286,5,3,7.366,8.81,9.88,11.209,5.985,1,3.852,12,1,1,5.852,3.852,2,42.567,11.979,13.423,3,1.896,4,3,4.166,0.269,2.067,1.154,260.48,2.042,24.916,0.425,4,1.513,2.142,1.599,-0.138,2.801,4.949,4.949,-0.092,4.073,11.032,9,0.058,11.716,5.714,4.069,0.886,1,0.062,1,0.112,4.753,5.242,1,11,4.949,7.235,0.015,45
8.354,4.122,1,5.529,2,1,6.796,8.272,9.277,10.595,5.633,1,3.618,7,1,1,5.618,3.618,3,56.354,11.457,12.893,4,2.304,1,2,4.162,0.279,2.016,1.037,116.109,1.986,27.88,0.442,1,1.448,2.112,1.562,-0.042,2.484,4.743,4.743,-0.035,4.03,10.532,11,0.042,11.173,5.136,4.075,0.812,2,0.041,1,0.099,4.709,4.762,1,12,4.727,6.843,0.039,20
4.523,4.068,0,5.371,0,0,6.665,8.095,8.783,10.006,5.258,0,3.052,5,0,0,5.052,3.052,0,22.698,11.409,12.828,0,0.0,0,0,4.086,0.3,1.978,0.987,0.0,1.952,13.873,0.44,0,1.419,2.083,1.296,-0.01,2.627,4.66,4.66,0.051,3.967,10.561,2,-0.062,11.129,5.011,4.716,0.808,5,0.019,4,0.096,9.391,4.875,0,4,0.0,0.0,-0.109,10
6.252,4.135,3,6.205,5,3,7.323,8.769,9.847,11.179,5.948,1,3.852,11,1,1,5.852,3.852,2,45.054,11.908,13.353,5,1.857,4,3,4.162,0.278,2.065,1.133,271.688,2.041,27.403,0.433,4,1.498,2.14,1.599,-0.11,2.771,4.949,4.949,-0.055,4.07,10.959,9,0.117,11.657,5.656,4.067,0.891,1,0.086,1,0.105,5.522,5.159,1,11,4.949,7.235,0.12,45
8.31,4.126,1,5.694,2,1,6.909,8.363,9.364,10.671,5.64,1,3.624,8,1,1,5.624,3.624,1,29.787,11.574,13.009,3,2.207,1,2,4.164,0.269,2.025,1.098,103.334,1.997,10.138,0.425,1,1.491,2.117,1.552,-0.114,2.73,4.749,4.749,-0.038,4.037,10.645,4,0.066,11.283,5.242,4.079,0.835,3,0.058,2,0.109,3.265,4.89,1,5,4.727,6.843,0.053,19
8.523,4.126,1,5.7,2,1,6.915,8.369,9.37,10.676,5.64,1,3.624,8,1,1,5.624,3.624,1,29.787,11.578,13.014,5,2.219,1,2,4.164,0.27,2.025,1.081,102.292,1.997,10.138,0.425,1,1.496,2.116,1.552,-0.096,2.751,4.749,4.749,-0.057,4.037,10.649,4,0.096,11.284,5.252,4.079,0.886,3,0.073,2,0.11,3.273,4.89,1,5,4.727,6.843,0.085,18
9.0,4.068,0,5.273,0,0,6.627,8.071,8.743,9.972,5.239,0,3.052,4,0,0,5.052,3.052,4,47.884,11.329,12.747,0,0.0,0,0,4.087,0.31,1.978,0.982,0.0,1.952,39.058,0.451,0,1.406,2.083,1.263,-0.004,2.629,4.66,4.66,0.071,3.967,10.488,4,-0.052,11.064,4.97,4.716,0.835,5,0.016,4,0.088,12.587,4.796,0,4,0.0,0.0,-0.103,13
8.301,4.121,1,5.468,2,1,6.796,8.252,9.277,10.588,5.633,1,3.618,7,1,1,5.618,3.618,3,46.216,11.433,12.87,4,2.286,1,2,4.161,0.272,2.016,1.054,92.832,1.986,17.742,0.434,1,1.471,2.112,1.561,-0.065,2.484,4.743,4.743,-0.042,4.029,10.504,7,0.049,11.159,5.1,4.074,0.869,2,0.047,1,0.109,3.302,4.727,1,8,4.727,6.843,0.045,16
8.155,4.124,1,5.617,2,1,6.861,8.335,9.321,10.635,5.633,1,3.618,8,1,1,5.618,3.618,3,34.856,11.519,12.953,5,2.283,1,2,4.163,0.273,2.018,1.084,110.626,1.988,15.207,0.43,1,1.485,2.113,1.56,-0.104,2.553,4.743,4.743,-0.063,4.032,10.597,6,0.062,11.229,5.193,4.076,0.857,2,0.055,2,0.105,3.796,4.844,1,7,4.727,6.843,0.061,19
7.796,4.126,1,5.694,2,1,6.915,8.368,9.368,10.674,5.64,1,3.624,8,1,1,5.624,3.624,1,29.787,11.574,13.009,3,2.227,1,2,4.164,0.269,2.025,1.095,103.334,1.997,10.138,0.425,1,1.495,2.116,1.552,-0.111,2.735,4.749,4.749,-0.057,4.037,10.645,4,0.096,11.283,5.242,4.079,0.862,3,0.073,2,0.109,3.273,4.89,1,5,4.727,6.843,0.085,19
7.395,4.145,1,5.881,2,1,7.013,8.479,9.46,10.766,5.64,1,3.625,10,1,1,5.625,3.625,1,29.787,11.696,13.13,5,2.272,1,3,4.178,0.265,2.088,1.093,243.423,2.069,10.138,0.422,1,1.51,2.15,1.554,-0.118,2.929,4.749,4.749,-0.061,4.077,10.767,4,0.073,11.377,5.407,4.096,0.859,2,0.064,3,0.112,3.369,5.037,1,5,4.727,6.843,0.074,25
8.461,4.127,1,5.694,2,1,6.928,8.378,9.377,10.681,5.64,1,3.624,8,1,1,5.624,3.624,1,38.613,11.574,13.009,4,2.267,1,2,4.165,0.269,2.028,1.084,103.334,2.0,10.138,0.425,1,1.502,2.118,1.552,-0.107,2.746,4.749,4.749,-0.064,4.038,10.645,4,0.064,11.283,5.242,4.08,0.843,2,0.057,2,0.109,3.285,4.89,1,5,4.727,6.843,0.063,20
8.721,4.067,0,5.347,0,0,6.681,8.073,8.807,10.013,5.236,0,3.054,4,0,0,5.054,3.054,0,17.629,11.41,12.829,1,0.0,0,0,4.085,0.303,1.975,1.027,0.0,1.951,8.804,0.442,0,1.405,2.083,1.261,-0.043,2.712,4.66,4.66,0.145,3.967,10.549,0,-0.061,11.175,4.997,4.716,0.865,8,0.017,4,0.097,8.988,4.836,0,0,0.0,0.0,-0.083,10
8.678,4.065,0,5.187,0,0,6.551,7.975,8.677,9.899,5.232,0,3.052,4,0,0,5.052,3.052,0,17.629,11.252,12.67,2,0.0,0,0,4.083,0.305,1.978,1.006,0.0,1.952,8.804,0.444,0,1.421,2.083,1.263,-0.018,2.621,4.66,4.66,0.063,3.965,10.401,0,-0.062,10.991,4.883,4.716,0.784,5,0.018,4,0.097,8.668,4.727,0,0,0.0,0.0,-0.11,10
8.638,4.117,1,5.727,5,1,7.445,8.872,10.089,11.441,6.068,3,3.919,10,3,3,5.919,3.919,6,40.048,11.973,13.43,7,4.869,3,3,4.144,0.25,2.041,1.31,145.485,2.017,13.572,0.423,3,1.5,2.138,1.604,-0.271,2.772,5.07,5.07,-0.176,4.043,10.98,5,0.125,11.913,5.425,4.187,0.887,0,0.09,0,0.12,2.343,4.997,2,7,4.949,7.248,0.096,23
4.31,4.063,0,3.97,0,0,6.588,7.934,8.934,10.162,5.434,0,3.357,3,0,0,5.357,3.357,0,23.309,10.974,12.401,0,0.0,0,1,4.099,0.293,1.999,0.935,88.275,1.968,2.535,0.444,0,1.481,2.142,1.438,0.038,2.542,4.494,4.494,0.078,3.959,10.072,1,0.013,10.87,4.489,4.015,0.794,2,-0.005,1,0.1,3.139,4.277,0,3,0.0,0.0,-0.066,3
9.699,4.067,0,5.347,0,0,6.706,8.094,8.834,10.037,5.236,0,3.054,4,0,0,5.054,3.054,0,17.629,11.41,12.829,1,0.0,0,0,4.085,0.303,1.975,1.028,0.0,1.951,8.804,0.442,0,1.415,2.084,1.261,-0.039,2.712,4.66,4.66,0.117,3.966,10.549,0,-0.061,11.175,4.997,4.716,0.86,8,0.018,4,0.097,8.814,4.836,0,0,0.0,0.0,-0.075,10
7.569,4.14,1,6.194,5,1,7.702,9.138,10.35,11.714,6.252,3,4.0,13,3,3,6.0,4.0,6,39.302,12.254,13.71,5,3.815,5,4,4.166,0.256,2.039,1.133,237.786,2.016,10.683,0.415,5,1.527,2.141,1.595,-0.178,2.902,5.107,5.107,-0.099,4.062,11.268,3,0.129,12.121,5.749,4.376,0.903,0,0.095,1,0.116,3.384,5.328,2,5,5.587,7.847,0.076,23
7.728,4.134,1,6.323,6,1,7.584,9.022,10.167,11.507,6.157,3,3.917,14,3,3,5.917,3.917,5,33.367,12.159,13.608,5,5.342,4,4,4.16,0.261,2.048,1.114,276.638,2.021,13.572,0.42,4,1.504,2.139,1.631,-0.136,2.859,5.006,5.006,-0.137,4.057,11.197,5,0.073,11.94,5.765,4.377,0.904,0,0.065,1,0.111,4.351,5.328,2,6,5.82,7.966,0.034,25
6.629,4.141,1,6.031,5,1,7.55,8.982,10.142,11.482,6.093,3,3.905,13,3,3,5.905,3.905,5,35.959,12.057,13.505,7,5.385,4,4,4.174,0.258,2.048,1.182,225.02,2.021,13.572,0.417,4,1.53,2.139,1.63,-0.194,2.944,4.978,4.978,-0.135,4.055,11.095,5,0.093,11.893,5.598,4.167,0.896,0,0.075,1,0.112,3.364,5.198,2,6,5.587,7.832,0.016,24
6.442,4.129,1,6.006,5,1,7.527,8.969,10.124,11.469,6.067,3,3.905,13,3,3,5.905,3.905,5,33.367,12.008,13.456,7,5.384,4,4,4.158,0.261,2.048,1.161,375.836,2.021,13.572,0.418,4,1.528,2.139,1.63,-0.182,2.84,4.978,4.978,-0.151,4.053,11.049,5,0.122,11.847,5.576,4.115,0.899,0,0.091,1,0.113,3.524,5.187,2,6,4.949,7.248,0.096,27
6.151,4.121,1,5.889,5,1,7.455,8.895,10.074,11.424,6.052,3,3.905,11,3,3,5.905,3.905,5,40.27,11.905,13.356,7,5.374,4,3,4.15,0.263,2.048,1.18,193.748,2.021,13.572,0.422,4,1.521,2.139,1.63,-0.192,2.818,4.978,4.978,-0.169,4.043,10.94,5,0.122,11.769,5.46,4.073,0.908,0,0.089,0,0.109,3.217,5.043,2,6,4.949,7.248,0.09,23
6.638,4.133,1,6.082,5,1,7.555,8.992,10.17,11.521,6.185,3,3.954,13,3,3,5.954,3.954,4,39.658,12.081,13.532,7,5.397,5,4,4.16,0.259,2.048,1.13,225.065,2.021,11.038,0.416,5,1.52,2.139,1.63,-0.161,2.847,5.029,5.029,-0.135,4.058,11.114,4,0.13,11.906,5.631,4.376,0.898,0,0.096,1,0.114,3.462,5.215,2,5,5.587,7.847,0.102,28
7.717,4.135,1,6.082,5,1,7.576,9.019,10.186,11.538,6.119,3,3.954,13,3,3,5.954,3.954,4,39.658,12.077,13.527,7,5.393,5,4,4.163,0.26,2.048,1.144,386.552,2.021,11.038,0.418,5,1.537,2.139,1.63,-0.166,2.849,5.029,5.029,-0.136,4.059,11.112,4,0.119,11.908,5.638,4.118,0.898,0,0.089,1,0.115,3.558,5.236,2,5,5.043,7.402,0.093,30
7.618,4.131,1,6.082,5,1,7.552,8.986,10.166,11.517,6.188,3,3.954,13,3,3,5.954,3.954,4,49.022,12.081,13.532,7,5.383,5,4,4.159,0.259,2.048,1.142,225.065,2.021,11.038,0.416,5,1.514,2.139,1.63,-0.162,2.847,5.029,5.029,-0.141,4.054,11.114,4,0.119,11.906,5.631,4.371,0.901,0,0.089,0,0.114,3.446,5.215,2,5,5.587,7.847,0.065,27
6.87,4.133,1,6.082,5,1,7.575,9.012,10.186,11.535,6.137,3,3.954,13,3,3,5.954,3.954,4,49.946,12.081,13.532,7,5.351,5,4,4.16,0.259,2.048,1.147,225.065,2.021,11.038,0.416,5,1.537,2.139,1.63,-0.156,2.851,5.029,5.029,-0.128,4.052,11.114,4,0.088,11.906,5.631,4.134,0.901,0,0.075,0,0.114,3.348,5.215,2,5,5.587,7.847,0.028,26
6.131,4.13,1,6.08,5,1,7.581,9.023,10.189,11.54,6.134,3,3.954,12,3,3,5.954,3.954,4,45.919,12.08,13.53,7,5.348,5,3,4.158,0.262,2.048,1.13,252.301,2.021,11.038,0.42,5,1.535,2.139,1.63,-0.149,2.849,5.029,5.029,-0.15,4.052,11.116,4,0.101,11.909,5.631,4.094,0.883,0,0.077,1,0.11,3.795,5.215,2,5,5.533,7.766,0.121,26
8.347,4.161,1,6.528,2,1,7.578,9.024,10.167,11.511,6.052,1,3.905,17,1,1,5.905,3.905,5,53.629,12.159,13.609,7,2.245,4,4,4.196,0.26,2.052,1.127,224.732,2.023,16.107,0.418,4,1.511,2.143,1.645,-0.141,3.001,4.978,4.978,-0.077,4.076,11.196,6,0.097,11.936,5.852,4.113,0.895,2,0.075,1,0.109,4.057,5.347,2,7,5.533,7.758,0.066,27
8.491,4.159,1,6.392,2,1,7.548,8.99,10.154,11.498,5.959,1,3.905,16,1,1,5.905,3.905,5,43.682,12.084,13.536,11,2.301,4,4,4.194,0.253,2.052,1.148,168.04,2.023,15.207,0.416,4,1.546,2.143,1.645,-0.15,2.999,4.978,4.978,-0.126,4.074,11.112,6,0.124,11.88,5.756,4.1,0.882,1,0.093,1,0.114,2.868,5.231,2,7,5.533,7.758,0.131,24
7.108,4.171,1,6.581,2,1,7.648,9.091,10.223,11.56,6.094,1,3.905,19,1,1,5.905,3.905,5,49.318,12.264,13.713,7,2.336,4,5,4.207,0.255,2.052,1.12,244.566,2.024,16.107,0.414,4,1.525,2.143,1.645,-0.141,2.999,4.978,4.978,-0.079,4.084,11.302,6,0.075,12.026,5.932,4.173,0.873,1,0.065,2,0.112,4.049,5.447,2,7,5.938,8.148,0.021,28
6.0,4.171,1,6.581,2,1,7.648,9.091,10.223,11.56,6.094,1,3.905,19,1,1,5.905,3.905,9,61.99,12.264,13.713,7,2.434,4,5,4.209,0.255,2.052,1.1,244.566,2.023,28.78,0.414,4,1.525,2.144,1.646,-0.113,2.999,4.978,4.978,-0.055,4.081,11.302,11,0.075,12.026,5.932,4.173,0.869,0,0.068,1,0.112,4.242,5.447,2,13,5.938,8.148,0.018,28
7.5,4.166,1,6.565,2,1,7.631,9.08,10.21,11.55,6.084,1,3.905,19,1,1,5.905,3.905,9,62.783,12.228,13.676,7,2.426,4,5,4.201,0.256,2.052,1.07,237.699,2.023,28.78,0.414,4,1.529,2.144,1.646,-0.092,2.999,4.978,4.978,-0.053,4.077,11.266,11,0.084,11.985,5.911,4.147,0.87,0,0.076,1,0.112,4.2,5.421,2,13,5.9,8.089,0.062,28
7.471,4.164,1,6.565,2,1,7.626,9.073,10.205,11.545,6.085,1,3.905,19,1,1,5.905,3.905,5,57.014,12.228,13.676,7,2.322,4,5,4.199,0.256,2.052,1.101,237.699,2.024,16.107,0.414,4,1.523,2.143,1.645,-0.117,2.999,4.978,4.978,-0.083,4.078,11.266,6,0.072,11.985,5.911,4.143,0.886,1,0.066,1,0.112,3.987,5.421,2,7,5.9,8.089,0.031,27
6.648,4.161,1,6.501,2,1,7.562,9.014,10.16,11.506,6.052,1,3.905,17,1,1,5.905,3.905,5,53.629,12.142,13.593,7,2.332,4,4,4.196,0.259,2.052,1.113,216.014,2.024,16.107,0.418,4,1.517,2.143,1.645,-0.134,2.999,4.978,4.978,-0.101,4.076,11.178,6,0.097,11.919,5.835,4.112,0.883,1,0.076,1,0.11,3.891,5.328,2,7,5.533,7.758,0.079,27
7.085,4.166,1,6.567,2,1,7.627,9.08,10.205,11.548,6.067,1,3.905,19,1,1,5.905,3.905,5,46.725,12.224,13.673,7,2.335,4,5,4.201,0.257,2.052,1.102,431.082,2.024,16.107,0.416,4,1.524,2.143,1.645,-0.13,2.999,4.978,4.978,-0.089,4.083,11.265,6,0.099,11.986,5.916,4.133,0.876,1,0.079,2,0.113,4.202,5.438,2,7,5.533,7.758,0.086,31
8.495,4.159,1,6.422,2,1,7.564,9.001,10.161,11.503,5.96,1,3.905,16,1,1,5.905,3.905,5,43.682,12.101,13.553,11,2.214,4,4,4.194,0.255,2.052,1.163,176.757,2.023,15.207,0.415,4,1.537,2.143,1.645,-0.158,3.001,4.978,4.978,-0.092,4.074,11.131,6,0.123,11.899,5.775,4.102,0.888,2,0.092,1,0.113,3.021,5.252,2,7,5.533,7.758,0.105,24
7.242,4.165,1,6.565,2,1,7.607,9.055,10.189,11.531,6.133,1,3.905,19,1,1,5.905,3.905,5,46.725,12.228,13.676,7,2.337,4,5,4.199,0.256,2.052,1.091,237.699,2.024,16.107,0.414,4,1.51,2.143,1.645,-0.124,2.999,4.978,4.978,-0.088,4.082,11.266,6,0.111,11.985,5.911,4.377,0.875,1,0.084,2,0.112,4.101,5.421,2,7,5.9,8.089,0.094,29
6.947,4.165,1,6.567,2,1,7.621,9.072,10.2,11.541,6.068,1,3.905,19,1,1,5.905,3.905,5,57.917,12.224,13.673,7,2.33,4,5,4.2,0.257,2.052,1.101,431.082,2.024,16.107,0.416,4,1.518,2.143,1.645,-0.124,2.999,4.978,4.978,-0.087,4.08,11.265,6,0.088,11.986,5.916,4.129,0.867,1,0.072,2,0.113,4.186,5.438,2,7,5.533,7.758,0.054,27
6.87,4.161,1,6.516,2,1,7.599,9.031,10.18,11.518,6.129,1,3.905,17,1,1,5.905,3.905,9,77.661,12.181,13.631,7,2.435,4,4,4.198,0.259,2.052,1.115,225.871,2.023,28.78,0.416,4,1.512,2.144,1.646,-0.134,2.999,4.978,4.978,-0.085,4.074,11.218,11,0.107,11.965,5.846,4.318,0.863,0,0.081,0,0.107,4.288,5.338,2,13,5.9,8.072,0.081,28
