pXC50,Me,nHet,nC,N.,O.,nH,Sp,nO,nN
4.445,1.014,6,17,2.5,10.0,17,27.563,4,1
5.6,0.972,1,22,0.0,1.8,32,34.637,1,0
5.6,0.972,1,23,0.0,1.7,34,36.398,1,0
5.5,0.972,1,23,0.0,1.7,34,36.398,1,0
5.3,0.971,1,24,0.0,1.6,36,38.16,1,0
5.6,0.971,1,25,0.0,1.6,38,39.921,1,0
6.1,0.971,1,26,0.0,1.5,38,40.921,1,0
7.0,0.973,1,27,0.0,1.6,34,40.398,1,0
6.6,0.968,0,28,0.0,0.0,34,40.944,0,0
6.5,0.973,1,29,0.0,1.5,36,43.16,1,0
5.7,0.968,0,29,0.0,0.0,36,42.705,0,0
6.0,0.967,0,32,0.0,0.0,42,47.989,0,0
5.5,0.966,0,25,0.0,0.0,36,38.705,0,0
5.6,0.965,0,26,0.0,0.0,38,40.467,0,0
6.6,0.973,1,29,0.0,1.5,36,43.16,1,0
5.9,0.966,0,28,0.0,0.0,40,43.228,0,0
6.1,0.971,1,25,0.0,1.6,36,39.16,1,0
6.7,0.969,0,26,0.0,0.0,30,37.421,0,0
5.8,0.967,0,30,0.0,0.0,38,44.467,0,0
6.8,0.967,1,30,0.0,0.0,32,45.239,0,0
6.6,0.968,0,29,0.0,0.0,36,42.705,0,0
5.9,0.971,1,28,1.6,0.0,35,41.949,0,1
6.5,0.971,1,34,1.4,0.0,39,49.472,0,1
6.6,0.974,1,28,0.0,1.6,34,41.398,1,0
6.4,0.974,1,28,0.0,1.6,34,41.398,1,0
6.4,0.979,2,30,0.0,2.9,36,44.614,2,0
6.6,0.979,2,30,0.0,2.9,36,44.614,2,0
6.0,0.974,1,28,0.0,1.6,34,41.398,1,0
5.8,0.974,1,28,0.0,1.6,34,41.398,1,0
6.3,0.979,2,30,0.0,2.9,36,44.614,2,0
4.445,1.017,7,17,6.8,6.8,20,28.171,3,3
4.445,1.03,9,12,15.2,6.1,12,23.983,2,5
4.445,1.0,6,23,5.6,5.6,25,35.756,3,3
4.445,1.011,6,17,4.7,9.3,20,27.682,4,2
4.595,1.021,7,19,4.7,9.3,17,29.779,4,2
4.445,0.999,7,17,8.3,4.2,24,31.194,2,4
4.446,1.008,7,21,3.7,9.3,26,34.421,5,2
4.445,1.012,7,24,1.8,10.7,25,36.869,6,1
4.396,1.009,9,17,10.4,4.2,22,32.79,2,5
4.445,1.027,10,20,3.8,13.5,22,34.455,7,2
4.922,1.015,8,19,9.1,4.5,17,31.767,2,4
4.844,1.034,9,15,10.0,12.5,16,25.864,5,4
4.445,1.024,8,19,4.3,12.8,20,30.591,6,2
4.783,1.007,7,19,5.9,7.8,25,32.211,4,3
4.988,1.02,7,18,2.4,7.3,16,29.693,3,1
4.923,1.025,7,16,8.3,5.6,13,26.21,2,3
4.889,1.023,7,19,2.2,13.3,19,29.585,6,1
4.989,1.004,7,20,7.8,5.9,24,33.0,3,4
4.445,1.006,7,21,3.6,8.9,28,35.182,5,2
4.445,1.03,9,15,8.3,8.3,12,27.835,3,3
4.652,1.013,6,20,9.8,2.4,15,28.983,1,4
4.445,1.004,5,17,8.6,2.9,13,25.926,1,3
4.623,1.008,6,18,7.0,7.0,19,28.472,3,3
4.946,1.032,8,18,2.4,7.3,15,29.631,3,1
4.37,1.016,8,18,6.1,10.2,23,30.904,5,3
4.331,1.02,7,20,4.4,11.1,18,30.375,5,2
5.0,0.972,2,26,1.7,0.0,32,41.847,0,1
7.155,0.971,1,26,1.7,0.0,33,39.188,0,1
4.932,1.008,7,17,6.5,6.5,22,30.347,3,3
6.495,0.969,1,30,1.4,0.0,41,46.234,0,1
4.922,1.018,7,17,2.3,11.6,19,28.779,5,1
4.445,1.015,9,21,10.2,6.1,19,34.37,3,5
5.0,0.969,1,32,1.3,0.0,43,48.995,0,1
5.0,0.968,1,32,1.3,0.0,45,49.756,0,1
7.046,0.969,1,23,1.8,0.0,33,36.188,0,1
7.523,0.97,1,28,1.5,0.0,37,42.711,0,1
5.854,0.972,1,26,1.7,0.0,31,38.427,0,1
5.0,0.969,1,30,1.4,0.0,41,46.234,0,1
7.222,0.972,1,32,1.4,0.0,37,46.711,0,1
5.0,1.0,5,27,1.6,1.6,32,41.216,1,1
6.638,0.972,1,26,1.7,0.0,31,38.427,0,1
6.481,0.979,2,26,1.7,0.0,32,39.126,0,1
5.678,0.974,1,21,2.2,0.0,23,30.381,0,1
7.485,0.971,1,26,1.7,0.0,33,39.188,0,1
5.921,0.972,1,30,1.5,0.0,35,43.949,0,1
7.921,0.968,1,28,1.4,0.0,41,44.234,0,1
6.796,0.974,2,28,1.6,0.0,34,43.302,0,1
6.2,0.971,1,28,1.6,0.0,35,41.949,0,1
6.0,0.976,2,26,1.7,0.0,32,40.046,0,1
6.824,0.975,1,26,1.9,0.0,25,36.143,0,1
7.0,0.975,2,29,1.5,1.5,37,44.165,1,1
7.658,0.968,1,26,1.5,0.0,39,41.472,0,1
