pXC50,ATSC4s,CATS2D_06_AL,LLS_02,MATS2p,C.034,D.Dtr05,Eig03_AEA.ed.,Eig03_EA.ed.,nR05,PW4,SM12_AEA.dm.,SpMin5_Bh.m.,SpMin5_Bh.s.,SpMin5_Bh.v.,SRW05,SRW07,SRW09,ATS1e,ATS2e,ATS2i,ATS2m,ATS3e,ATS3v,ATS4e,ATS4i,ATS4v,ATS5m,ATSC1i,ATSC2s,ATSC3i,ATSC4v,CATS2D_08_AL,Chi0_EA.bo.,Chi0_EA.ri.,Chi1_EA.bo.,Eig08_AEA.dm.,Eig09_AEA.dm.,Eig10_AEA.dm.,Eig11_AEA.bo.,Eig11_AEA.dm.,Eig12_AEA.dm.,Eig13_AEA.dm.,Eig14_AEA.dm.,Eta_epsi,GGI7,GMTIV,MATS1m,MATS5s,MATS8i,Psi_e_0,Psi_e_1,Psi_i_0,Psi_i_1,S2K,S3K,Se,SMTIV,Sp,SpAD_AEA.bo.,SpAD_AEA.dm.,SpAD_AEA.ri.,SpMax2_Bh.m.,SpMax8_Bh.m.,SpMaxA_AEA.bo.,SpMaxA_EA.bo.,SpMaxA_EA.ri.,Sv,TIC1,TIC3,TIC4,TIC5,VvdwMG,VvdwZAZ,Vx,X1Kup,X5sol,ZM1Mad,ZM2Mad,ATS3m,ATS4p,ATS5p,ATS5v,ATS6p,ATS6v,ATS7m,ATS8m,ATSC2i,ATSC2m,ATSC3m,ATSC4i,ATSC4m,ATSC5i,ATSC5m,ATSC5v,ATSC6i,ATSC6m,ATSC6v,ATSC7i,ATSC8i,ATSC8m,CATS2D_07_AL,Chi1_EA.ri.,Eta_alpha,Eta_C,Eta_L,IAC,MATS5e,MW,S1K,SAtot,SpMax1_Bh.m.,TIC0
4.564,48.803,4,0.88,0.181,2,162.338,5.784,7.88,2,0.18,7.88,1.64,0.705,1.599,3.045,5.13,6.986,4.132,4.646,4.821,4.221,4.784,4.027,4.837,5.053,4.083,4.411,0.891,35.156,1.583,12.994,1,19.297,22.804,13.429,1.819,1.803,1.511,2.291,1.239,0.915,0.796,0.618,34.067,0.614,35811.0,0.07,-0.21,-0.209,11.809,4.909,22.586,18.013,10.536,5.555,56.371,20954.0,39.091,52.402,52.382,51.464,4.173,2.969,0.133,0.131,0.088,36.673,216.593,280.947,282.947,286.947,233.975,390.32,562.658,10.162,7.897,228.116,248.583,4.187,4.147,4.243,4.167,4.308,4.216,4.32,4.159,1.413,24.464,30.171,1.656,29.715,1.755,32.881,11.844,1.804,31.191,13.262,1.838,1.817,37.049,1,18.842,15.733,28.943,7.471,97.556,-0.24,468.66,22.867,568.205,4.293,97.556
4.467,55.305,6,1.0,0.108,2,162.338,5.784,7.88,2,0.18,7.88,1.644,0.705,1.605,3.045,5.13,6.986,4.148,4.665,4.841,4.092,4.801,3.988,4.85,5.065,4.038,4.23,0.855,40.087,1.435,12.415,1,19.297,22.399,13.429,1.819,1.803,1.511,2.291,1.239,0.915,0.796,0.618,35.067,0.614,35811.0,0.064,-0.155,-0.206,11.786,4.91,22.178,17.409,10.02,5.227,56.872,20954.0,36.705,52.402,52.382,51.665,3.816,2.966,0.133,0.131,0.089,35.729,216.593,280.947,282.947,286.947,219.705,370.88,527.841,9.948,7.089,190.637,218.7,4.087,4.043,4.101,4.11,4.152,4.151,4.21,4.058,1.286,21.894,26.146,1.509,27.816,1.582,28.311,11.15,1.609,27.521,12.124,1.661,1.63,32.542,2,18.186,14.733,25.809,6.717,93.556,-0.111,436.52,22.116,541.026,4.091,93.556
4.73,42.259,10,1.0,-0.033,2,159.772,5.784,7.877,2,0.185,7.877,1.698,0.853,1.638,3.045,5.13,6.986,4.219,4.757,4.954,4.078,4.977,4.096,5.028,5.268,4.172,4.207,0.938,28.409,1.698,17.582,2,19.562,22.396,13.57,1.794,1.413,1.208,2.287,0.93,0.8,0.744,0.618,35.333,0.517,30668.0,0.062,0.134,-0.001,11.809,4.906,22.857,18.423,10.26,5.205,61.869,20177.0,40.08,51.891,51.228,51.333,3.811,3.04,0.133,0.131,0.089,37.88,222.441,312.896,314.896,318.896,233.825,390.54,562.292,10.971,7.052,184.52,214.687,4.1,4.252,4.324,4.234,4.312,4.23,4.083,3.87,1.456,25.718,33.621,1.804,34.676,1.956,39.936,19.475,1.937,40.559,19.167,1.885,1.749,39.09,5,17.848,15.067,30.169,7.877,94.405,0.144,434.6,22.466,575.301,4.089,94.405
4.53,36.507,8,0.88,0.062,2,159.772,5.784,7.877,2,0.185,7.877,1.697,0.864,1.638,3.045,5.13,6.986,4.204,4.74,4.937,4.209,4.963,4.131,5.018,5.258,4.211,4.392,0.972,24.07,1.866,18.291,0,19.562,22.802,13.57,1.794,1.413,1.208,2.287,0.93,0.8,0.744,0.618,34.333,0.517,30668.0,0.076,0.054,-0.01,11.834,4.906,23.265,19.027,10.78,5.529,61.367,20177.0,42.466,51.891,51.228,51.174,4.173,3.04,0.133,0.131,0.088,38.824,222.441,312.896,314.896,318.896,248.094,409.98,597.11,11.185,7.859,221.999,244.57,4.198,4.337,4.44,4.285,4.446,4.29,4.207,3.991,1.577,28.775,38.297,1.95,37.307,2.157,46.418,20.649,2.178,46.61,20.791,2.099,1.965,45.123,4,18.503,16.067,33.368,8.632,94.405,0.052,466.74,23.218,602.48,4.292,94.405
4.337,66.99,15,0.63,0.039,0,0.0,5.778,7.862,0,0.178,7.862,1.809,0.939,1.819,0.0,0.0,0.0,4.41,4.962,5.157,4.327,5.205,4.372,5.256,5.486,4.419,4.51,1.148,47.029,2.242,22.933,10,24.34,27.657,16.872,2.293,2.184,1.881,2.62,1.81,1.429,1.351,1.195,42.9,0.799,50107.0,0.071,-0.019,-0.081,14.452,5.936,28.082,22.505,14.459,7.815,76.479,32834.0,50.773,61.401,64.37,60.928,3.803,3.114,0.108,0.1,0.072,47.174,275.138,408.013,419.523,421.523,296.655,518.47,715.598,13.64,10.059,240.84,270.002,4.438,4.544,4.612,4.483,4.625,4.523,4.501,4.433,1.842,35.026,45.771,2.381,50.371,2.561,56.27,24.981,2.629,55.701,24.15,2.674,2.648,55.88,8,21.882,18.9,42.246,10.121,118.405,-0.024,546.81,29.07,751.664,4.142,118.405
4.335,63.757,14,0.63,0.039,0,0.0,5.778,7.86,0,0.179,7.86,1.808,0.939,1.795,0.0,0.0,0.0,4.375,4.921,5.115,4.296,5.154,4.325,5.18,5.403,4.362,4.454,1.11,45.356,2.131,20.888,8,23.893,27.208,16.379,2.228,2.038,1.811,2.603,1.682,1.427,1.351,1.063,41.6,0.646,48574.0,0.071,-0.02,-0.04,14.073,5.771,27.326,21.821,14.292,7.573,73.596,31532.0,49.012,59.524,62.462,59.155,3.801,3.113,0.111,0.102,0.074,45.647,264.267,383.725,399.235,401.235,287.063,501.17,692.193,13.217,9.896,234.507,262.835,4.406,4.482,4.547,4.418,4.541,4.439,4.42,4.345,1.774,33.431,43.524,2.237,46.751,2.39,52.818,23.174,2.411,51.4,22.147,2.408,2.352,49.345,8,21.392,18.4,38.825,9.7,114.991,-0.028,532.78,28.095,721.403,4.141,114.991
4.572,61.53,11,0.75,-0.015,2,196.821,5.784,7.881,2,0.18,7.881,1.725,0.869,1.694,3.045,5.13,6.986,4.353,4.901,5.093,4.218,5.104,4.207,5.139,5.363,4.295,4.38,1.046,46.221,1.86,18.707,7,22.899,26.073,15.761,1.984,1.814,1.795,2.37,1.417,1.208,0.956,0.8,41.567,0.713,47524.0,0.066,-0.011,-0.049,13.687,5.651,26.2,20.736,12.929,6.818,71.29,30031.0,45.512,58.773,59.067,58.138,3.818,3.083,0.116,0.115,0.078,43.363,259.765,375.612,377.612,381.612,267.667,457.38,644.867,12.532,7.753,213.636,244.172,4.237,4.352,4.435,4.369,4.446,4.388,4.357,4.261,1.605,29.961,38.503,1.988,38.638,2.178,45.325,21.009,2.204,45.893,21.152,2.213,2.155,46.821,5,20.562,17.233,37.449,9.242,111.767,0.045,506.67,26.958,675.595,4.093,111.767
4.465,56.663,9,0.75,0.077,2,196.821,5.784,7.881,2,0.18,7.881,1.725,0.869,1.687,3.045,5.13,6.986,4.34,4.887,5.078,4.333,5.092,4.239,5.13,5.354,4.33,4.537,1.086,42.271,2.032,19.353,5,22.899,26.479,15.761,1.984,1.814,1.795,2.37,1.417,1.208,0.956,0.8,40.567,0.713,47524.0,0.077,-0.06,-0.036,13.708,5.648,26.608,21.34,13.473,7.17,70.789,30031.0,47.898,58.773,59.067,57.978,4.173,3.084,0.116,0.115,0.077,44.307,259.765,375.612,377.612,381.612,281.936,476.82,679.684,12.746,8.561,251.115,274.054,4.324,4.429,4.539,4.413,4.565,4.439,4.453,4.359,1.739,33.032,43.287,2.137,40.959,2.381,51.563,22.122,2.445,51.513,22.72,2.424,2.368,51.804,4,21.218,18.233,40.899,9.996,115.767,-0.036,538.81,27.716,702.774,4.293,115.767
4.34,63.676,13,0.63,-0.011,0,0.0,5.778,7.862,0,0.178,7.862,1.849,0.936,1.833,0.0,0.0,0.0,4.393,4.934,5.138,4.237,5.166,4.305,5.199,5.434,4.353,4.418,1.149,46.481,2.093,20.211,8,24.054,27.614,16.427,1.985,1.828,1.808,2.603,1.54,1.243,1.121,1.028,42.833,0.799,52076.0,0.059,-0.016,-0.026,14.418,5.915,27.7,21.863,13.932,7.469,74.839,33499.0,48.614,61.218,62.067,60.857,3.8,3.089,0.111,0.109,0.074,45.976,264.52,402.142,404.142,408.142,286.593,491.12,691.047,13.31,8.978,217.992,248.471,4.319,4.426,4.498,4.424,4.536,4.469,4.456,4.384,1.758,30.819,40.453,2.183,41.061,2.37,46.532,22.01,2.472,47.362,22.37,2.52,2.503,50.235,8,21.764,18.367,38.756,9.374,114.163,-0.006,528.73,28.348,721.877,4.083,114.163
4.284,59.475,10,0.75,0.002,0,0.0,5.778,7.86,0,0.179,7.86,1.834,0.987,1.8,0.0,0.0,0.0,4.373,4.911,5.109,4.192,5.147,4.301,5.167,5.398,4.332,4.345,1.094,43.334,2.06,19.953,6,23.606,27.038,15.934,1.846,1.809,1.696,2.599,1.528,1.197,1.1,1.0,41.333,0.646,47431.0,0.056,-0.058,0.009,14.057,5.752,27.203,21.563,13.852,7.287,73.519,31142.0,48.364,59.305,60.357,59.102,3.812,3.085,0.114,0.112,0.076,45.46,253.84,369.725,381.235,385.235,282.597,486.42,681.296,13.2,8.809,208.217,237.586,4.276,4.412,4.475,4.393,4.517,4.434,4.37,4.288,1.712,30.201,39.521,2.133,39.818,2.29,44.907,21.481,2.323,43.545,21.961,2.375,2.346,46.313,6,21.071,18.067,36.16,9.115,108.666,-0.074,512.72,27.501,702.255,4.087,108.666
