pXC50,Se,MW,Si,nSK,nAT,Sv,nBO,Sp,nHet,SCBO,nBT
5.0,41.229,394.4,44.878,27,39,27.334,29,26.966,12,40.5,41
5.5,50.982,415.56,56.943,30,51,34.223,34,36.222,7,46.0,55
4.0,36.884,379.28,39.715,24,36,26.475,26,27.852,7,36.0,38
4.0,49.167,405.54,55.073,29,49,32.892,33,34.705,7,45.5,53
5.4,48.643,418.52,53.82,30,48,32.906,33,34.159,9,46.0,51
4.0,37.265,323.79,40.768,23,37,25.966,26,27.102,4,35.5,40
4.0,40.247,298.38,45.318,22,40,25.203,24,26.262,6,31.0,42
6.0,46.429,411.94,51.099,28,46,31.723,30,33.523,7,41.0,48
4.0,74.047,589.78,82.809,43,74,49.088,48,51.733,10,65.5,79
4.0,23.687,214.22,26.163,16,23,16.523,18,16.483,5,26.0,25
4.0,28.716,272.7,31.02,19,28,20.407,21,20.824,5,30.0,30
6.0,57.091,449.01,64.667,32,57,36.74,36,38.756,9,47.0,61
4.0,15.833,169.59,17.436,11,15,10.935,12,10.886,6,17.0,16
5.4,50.982,415.56,56.943,30,51,34.223,34,36.222,7,46.0,55
4.0,24.611,203.22,27.159,15,24,16.074,17,16.21,5,22.0,26
4.0,26.058,210.26,29.239,16,26,17.666,18,18.307,4,26.0,28
4.0,41.92,318.41,47.109,24,42,27.488,27,28.807,5,38.0,45
4.0,64.65,457.63,73.308,34,65,40.385,37,42.836,7,49.0,68
4.0,80.032,630.84,89.723,46,80,52.636,52,55.5,11,69.5,86
7.7,68.901,573.65,76.529,43,68,46.899,49,47.983,10,67.0,74
4.0,56.032,523.55,61.301,37,54,38.756,41,38.972,11,56.0,58
4.0,39.592,290.4,44.9,22,40,25.773,25,27.353,4,35.0,43
4.0,37.564,326.4,41.036,23,37,25.535,25,26.591,6,34.0,39
4.0,56.211,428.55,63.517,32,56,36.1,36,37.591,9,48.0,60
4.0,18.375,178.23,19.956,12,18,12.998,13,13.636,4,19.0,19
4.0,41.818,327.41,46.611,25,42,28.467,28,29.801,4,40.0,45
4.0,26.058,210.26,29.239,16,26,17.666,18,18.307,4,26.0,28
4.0,29.491,271.72,32.309,19,29,20.714,21,21.375,5,30.0,31
4.0,28.385,238.27,31.448,18,28,19.381,20,19.762,5,29.0,30
4.0,32.233,328.27,36.329,18,32,20.953,19,22.836,7,24.5,33
4.0,21.585,196.25,23.581,13,21,14.24,14,14.852,5,18.5,22
4.0,27.378,287.67,28.898,20,26,20.09,22,19.761,7,31.0,28
4.0,26.847,209.26,29.784,16,27,18.37,18,19.267,2,25.0,29
4.0,32.909,270.38,36.617,19,33,22.106,21,23.682,4,29.0,35
6.0,46.534,372.49,51.863,26,46,29.632,28,31.125,8,39.0,48
6.0,46.251,436.34,51.449,28,46,31.535,31,33.165,7,43.0,49
5.5,66.869,494.65,75.391,37,67,42.88,41,45.08,8,55.0,71
4.0,32.273,294.75,35.226,21,32,23.219,24,24.131,4,33.5,35
4.0,28.654,272.32,31.127,19,28,20.435,21,21.097,5,30.0,30
5.5,31.473,356.59,33.035,22,30,23.282,24,23.75,7,32.0,32
4.0,49.687,370.49,55.939,28,50,32.542,31,34.33,5,43.0,53
4.0,30.262,240.3,34.235,18,30,19.709,20,20.318,6,28.0,32
4.0,43.414,348.37,48.077,25,42,27.016,27,27.108,9,34.5,44
4.0,27.385,226.26,30.448,17,27,18.381,19,18.762,5,26.0,29
4.0,69.072,500.67,78.388,37,69,42.922,41,45.091,10,52.0,73
4.0,28.058,234.28,31.239,18,28,19.666,21,20.307,4,31.0,31
4.0,26.284,223.25,28.95,17,26,18.359,19,18.756,4,27.5,28
5.7,34.374,345.23,38.492,21,34,23.261,23,24.432,7,31.5,36
4.0,42.542,358.41,47.406,27,42,29.146,30,29.779,7,43.0,45
4.0,60.622,500.63,67.275,36,60,40.201,40,41.898,10,54.5,64
4.0,29.756,275.33,32.625,19,29,20.457,21,21.102,6,29.5,31
4.0,36.153,290.35,40.279,22,36,24.434,25,25.284,5,35.5,39
4.0,54.578,460.54,60.409,32,53,34.772,34,35.529,12,46.0,55
4.0,40.549,331.43,44.95,23,40,26.083,26,27.358,7,34.5,43
4.0,54.745,453.51,60.572,34,54,37.134,38,37.966,8,53.0,58
4.0,48.643,418.52,53.82,30,48,32.906,33,34.159,9,46.0,51
4.0,37.16,302.35,40.907,23,37,25.633,26,26.489,4,36.5,40
4.0,26.604,227.25,29.531,17,26,17.875,19,18.006,6,26.0,28
4.0,42.665,473.8,46.399,28,42,31.001,31,32.904,8,43.0,45
4.0,35.207,331.76,38.645,23,34,24.14,25,24.324,8,34.5,36
6.3,79.141,612.77,88.933,46,79,52.118,52,54.336,10,70.0,85
5.7,48.098,401.53,53.527,29,48,32.697,33,34.461,7,45.0,52
4.0,30.047,258.25,32.495,19,29,20.009,21,19.875,6,28.5,31
4.0,56.287,420.54,63.691,31,56,35.494,34,37.04,8,45.0,59
5.3,38.585,375.26,43.117,23,38,25.502,25,26.648,8,33.5,40
4.0,37.683,317.44,41.906,23,38,26.412,26,28.233,4,37.0,41
4.0,29.942,236.3,33.654,18,30,20.193,20,21.068,4,29.0,32
4.0,26.065,210.25,28.867,16,26,17.865,18,18.512,3,25.0,28
6.0,34.698,379.67,38.436,22,34,24.088,24,25.29,8,32.5,36
4.0,56.083,466.61,62.441,34,56,38.245,38,40.228,8,53.0,60
5.2,65.541,478.65,74.182,36,66,42.165,40,44.625,7,54.0,70
4.0,46.88,376.52,52.444,27,47,31.202,30,33.216,6,41.5,50
4.0,38.898,343.81,43.302,24,38,25.799,26,26.398,9,35.5,40
4.0,63.261,529.54,70.046,38,61,40.579,42,40.517,12,54.0,65
4.0,42.323,342.46,47.238,24,42,27.39,26,28.909,7,34.0,44
4.0,49.938,435.52,55.076,31,49,33.795,34,34.853,9,47.0,52
4.0,33.036,232.32,37.694,17,33,19.961,18,21.046,5,24.0,34
4.0,38.524,367.49,42.202,25,38,27.303,28,28.824,8,39.5,41
4.0,43.88,340.49,49.444,24,44,28.202,27,30.216,6,35.5,47
5.0,73.491,603.76,81.604,44,73,49.276,50,51.426,11,67.5,79
4.5,50.301,379.48,56.777,28,50,31.946,30,33.273,7,40.0,52
4.0,37.993,377.37,40.929,26,36,26.465,29,26.193,9,39.5,39
4.0,45.76,404.49,50.405,29,45,31.379,32,32.398,9,45.0,48
4.0,27.84,221.28,31.156,17,28,19.171,19,20.063,3,28.0,30
4.0,35.262,269.33,39.405,20,35,22.655,22,23.495,5,29.5,37
4.0,34.716,252.34,39.112,19,35,22.445,21,23.796,3,29.0,37
4.0,52.865,417.58,59.358,30,53,34.75,33,36.983,7,45.0,56
4.0,44.131,324.42,49.734,24,44,27.73,26,29.023,6,35.0,46
4.0,62.178,498.66,69.481,36,62,41.013,40,43.205,9,54.5,66
4.0,26.065,210.25,28.867,16,26,17.865,18,18.512,3,26.0,28
4.0,47.298,405.43,52.323,30,46,31.597,33,31.693,10,46.0,49
4.0,38.258,335.81,42.14,24,38,26.767,27,27.898,5,38.0,41
4.0,48.643,390.45,54.073,29,48,32.113,32,32.961,7,44.0,51
4.0,56.178,398.53,63.734,29,56,34.22,31,36.006,7,39.5,58
4.0,65.28,525.69,72.979,38,65,43.034,42,45.211,10,57.5,69
4.0,32.04,282.28,34.867,21,31,21.81,23,21.671,7,33.5,33
4.0,36.16,290.34,39.907,22,36,24.633,25,25.489,4,34.5,39
4.0,52.633,466.0,58.096,32,52,35.766,35,37.534,9,48.0,55
5.7,34.469,300.78,38.595,21,34,23.063,23,23.938,7,31.5,36
4.0,55.327,407.52,62.272,30,55,34.519,33,36.006,8,42.0,58
4.0,45.778,373.51,50.946,27,46,31.181,30,33.211,5,42.0,49
4.0,24.967,273.14,27.499,16,25,18.175,18,19.409,3,26.0,27
4.0,62.771,567.66,68.083,39,61,42.378,42,43.591,12,59.0,64
4.0,24.738,194.25,27.657,15,25,17.15,17,18.057,2,25.0,27
5.7,51.258,423.46,56.911,31,50,33.518,34,33.904,9,46.0,53
4.0,35.211,297.85,39.847,19,35,22.282,20,24.103,7,25.5,36
4.0,55.498,479.99,61.139,32,54,35.437,34,36.659,12,45.0,56
4.0,24.967,273.14,27.499,16,25,18.175,18,19.409,3,26.0,27
4.0,38.803,388.26,43.2,24,38,25.997,26,26.892,9,35.5,40
4.0,37.262,293.35,41.405,22,37,24.655,24,25.495,5,33.0,39
5.4,48.887,427.42,53.836,31,47,32.374,34,32.08,10,46.0,50
4.0,20.084,235.09,22.084,13,20,14.648,15,15.648,3,20.5,22
4.0,40.905,367.82,44.93,26,40,27.998,29,28.602,8,39.0,43
5.5,44.244,377.38,48.033,28,43,29.799,31,29.858,8,43.0,46
4.0,44.24,346.43,49.69,26,44,29.004,29,30.057,7,40.5,47
4.0,27.353,227.26,30.495,17,27,18.555,19,19.0,4,27.0,29
4.0,40.818,315.4,45.611,24,41,27.467,27,28.801,4,37.5,44
4.0,34.582,387.27,37.253,23,34,25.319,25,26.727,6,35.5,36
4.0,49.182,433.59,54.075,30,49,34.082,34,36.313,7,49.0,53
4.0,44.767,392.47,49.033,28,44,30.578,31,31.602,8,45.0,47
4.0,30.167,249.29,33.365,19,30,20.886,21,21.517,4,30.0,32
5.7,40.807,346.37,44.697,26,40,27.864,30,28.193,7,41.5,44
4.0,49.858,381.56,56.73,27,50,31.551,30,33.779,8,38.5,53
4.0,72.76,544.7,81.434,41,73,47.605,47,50.046,7,61.5,79
4.0,49.982,403.55,55.943,29,50,33.223,32,35.222,7,44.0,53
4.0,29.949,236.29,33.282,18,30,20.392,20,21.273,3,29.0,32
4.0,40.989,423.33,45.246,25,40,27.404,27,28.75,10,37.5,42
4.0,44.945,431.44,48.89,30,43,31.187,33,31.199,9,45.0,46
5.5,58.963,483.53,64.824,36,58,39.575,40,40.387,8,54.0,62
4.0,51.323,450.55,56.238,33,51,36.39,38,37.909,7,54.0,56
5.5,46.429,438.83,50.863,30,44,30.696,32,30.182,12,42.0,46
4.0,60.225,476.57,66.773,36,60,40.498,41,42.0,7,56.5,65
4.0,37.153,302.36,41.279,23,37,25.434,25,26.284,5,36.5,39
4.0,30.276,240.28,33.491,18,30,20.106,20,20.727,4,28.0,32
4.0,53.665,448.94,59.302,32,53,35.799,36,37.097,8,48.0,57
4.0,31.833,238.31,35.697,18,32,20.918,20,22.034,3,27.5,34
4.0,35.814,286.31,39.325,21,35,23.063,23,23.398,6,30.5,37
5.5,16.527,213.04,17.878,11,16,11.836,12,12.341,4,17.0,17
4.0,51.796,385.5,58.066,29,52,33.762,32,35.54,5,43.0,55
4.0,48.56,423.43,53.626,31,47,32.659,34,32.625,9,46.5,50
4.0,27.611,239.25,30.159,18,27,19.074,21,19.21,5,29.0,30
4.0,42.327,373.41,45.581,26,41,28.185,29,28.71,8,39.5,44
4.0,40.313,380.43,44.156,27,39,27.842,30,28.125,11,42.5,42
4.2,35.556,302.39,39.408,21,35,23.336,23,24.387,7,33.0,37
4.0,44.662,339.5,50.361,24,45,28.707,27,30.972,5,35.5,48
6.3,52.822,449.55,58.492,32,52,35.321,35,36.614,9,48.0,55
5.7,44.465,359.42,49.402,27,44,29.697,30,30.506,7,42.0,47
4.0,60.534,480.01,67.631,34,60,38.874,38,40.625,9,49.0,64
5.2,38.803,388.26,43.2,24,38,25.997,26,26.892,9,35.5,40
4.0,30.822,282.23,33.139,20,29,20.455,22,19.744,6,28.0,31
4.0,68.421,607.69,75.243,44,67,47.274,50,48.324,12,68.5,73
4.0,52.12,451.47,56.82,34,51,36.127,38,36.415,9,54.5,55
4.0,44.473,359.41,49.03,27,44,29.896,30,30.71,6,42.0,47
4.0,41.254,310.38,45.946,23,41,26.402,25,27.466,5,33.5,43
4.0,46.785,356.42,52.152,26,46,29.159,27,29.932,8,36.0,47
4.0,52.505,443.95,57.767,29,51,32.636,30,33.864,11,39.0,52
5.0,67.81,507.63,76.438,37,67,41.999,40,43.478,11,52.0,70
5.7,46.022,357.45,51.607,27,46,30.509,30,31.813,6,42.0,49
5.0,43.123,312.42,49.106,23,43,26.531,25,27.819,7,33.0,45
7.131,46.534,375.44,51.947,28,46,30.893,31,31.75,7,43.0,49
5.0,40.8,346.38,45.069,26,40,27.665,29,27.989,8,40.5,43
5.0,54.567,439.5,60.069,33,54,36.665,40,37.688,7,53.0,61
5.143,73.203,570.69,81.228,43,73,48.793,51,50.739,8,68.0,81
4.0,43.247,334.41,48.318,25,43,28.203,28,29.262,6,38.5,46
7.3,38.807,322.35,42.697,24,38,25.864,26,26.193,7,36.0,40
7.1,39.32,340.34,43.037,25,38,26.247,27,26.131,8,37.0,40
4.0,40.363,320.38,44.903,24,40,26.676,26,27.5,6,36.0,42
5.0,54.523,475.4,61.161,30,54,34.718,33,36.597,8,41.5,57
5.0,35.811,255.36,40.983,19,36,22.268,21,23.597,5,28.5,38
4.0,57.541,532.46,64.128,32,56,36.025,34,37.642,12,41.5,58
5.0,62.53,529.57,69.453,39,61,41.756,43,42.159,11,58.5,65
5.0,50.596,476.89,54.942,34,49,35.797,38,35.995,9,52.0,53
4.0,48.785,411.46,53.983,31,48,33.213,35,33.756,9,49.5,52
5.0,49.342,366.46,55.358,27,49,30.971,29,32.239,7,38.0,51
4.0,31.043,239.31,35.152,18,31,20.214,20,21.074,5,27.0,33
4.0,46.898,408.87,51.472,29,46,31.745,32,32.574,8,44.0,49
5.0,39.447,331.37,43.535,25,39,27.323,28,27.978,5,39.5,42
5.0,65.625,530.5,73.405,36,65,41.755,39,44.006,10,49.5,68
4.0,27.84,221.28,31.156,17,28,19.171,19,20.063,3,27.5,30
6.022,49.051,380.59,55.404,25,49,30.157,27,32.841,8,33.0,51
5.0,67.767,515.66,75.893,39,68,44.858,45,47.074,7,61.0,74
4.0,39.694,281.4,45.398,21,40,24.795,23,26.358,5,31.0,42
5.0,60.047,485.99,66.971,34,59,38.257,37,39.563,10,47.5,62
4.7,34.022,330.71,36.87,22,32,22.611,23,22.159,8,30.0,33
4.0,49.982,403.55,55.943,29,50,33.223,32,35.222,7,44.0,53
5.7,46.534,375.44,51.947,28,46,30.893,31,31.75,7,43.0,49
5.0,46.971,370.42,52.283,27,46,29.828,30,30.415,8,40.0,49
5.886,48.687,358.48,54.939,27,49,31.542,30,33.33,5,41.0,52
5.0,52.872,441.51,58.665,30,51,32.661,32,33.222,12,41.0,53
5.0,45.644,443.38,49.917,29,45,32.33,32,34.171,8,43.0,48
4.0,56.0,415.54,63.062,31,56,35.805,35,37.551,7,45.5,60
4.0,46.465,352.42,51.571,26,46,29.643,29,30.682,6,37.5,49
7.244,48.898,401.87,53.641,28,48,31.691,31,32.75,7,39.0,51
4.0,68.512,513.57,78.106,35,69,42.685,39,46.171,8,47.5,73
5.0,45.691,384.42,50.113,29,45,31.391,33,31.955,7,45.5,49
5.481,42.996,382.28,47.705,25,42,27.879,27,28.983,9,34.5,44
5.0,77.578,641.67,86.282,43,77,50.216,48,53.387,11,61.5,82
4.0,19.4,161.18,21.535,12,19,12.833,13,12.994,4,19.0,20
5.0,69.029,532.64,77.522,39,68,43.494,43,44.722,12,56.0,72
4.0,52.407,478.48,56.72,33,50,34.695,36,34.597,11,47.5,53
5.0,58.712,470.51,65.113,34,57,36.827,37,37.097,12,47.0,60
5.0,54.512,437.58,61.149,31,54,34.981,34,36.688,10,47.0,57
4.0,44.76,417.44,48.759,29,43,30.518,32,30.716,9,43.5,46
4.0,24.738,194.25,27.657,15,25,17.15,17,18.057,2,25.0,27
5.4,43.833,430.98,48.059,28,43,30.679,31,32.449,10,42.5,46
5.959,62.211,469.59,69.687,35,62,40.046,38,41.767,8,51.5,65
4.0,63.312,472.6,71.185,35,63,40.068,38,41.773,9,51.0,66
5.0,60.505,450.56,67.944,33,60,37.935,37,39.461,8,47.5,64
4.0,34.338,280.33,38.409,21,34,23.103,23,23.767,5,32.0,36
5.0,58.531,425.55,66.268,31,58,35.562,34,37.017,10,43.5,61
5.0,33.822,293.3,36.784,22,33,23.316,25,23.426,6,36.0,36
5.0,82.116,614.29,93.039,42,82,50.264,46,53.853,12,57.0,86
5.0,76.832,521.74,87.76,38,77,45.723,42,48.586,10,50.0,81
4.0,53.182,477.5,58.008,33,51,35.002,36,35.148,11,47.5,54
4.0,56.0,415.54,63.062,31,56,35.805,34,37.551,7,46.0,59
5.0,62.683,513.71,70.108,35,62,39.936,40,42.313,12,52.0,67
5.0,50.52,392.48,56.861,29,50,32.441,33,33.517,8,43.0,54
5.0,43.247,334.41,48.318,25,43,28.203,28,29.262,6,37.5,46
5.0,56.178,398.53,63.734,29,56,34.22,31,36.006,7,39.5,58
4.0,52.451,393.48,58.485,29,52,33.191,31,34.449,7,41.5,54
5.0,67.232,581.11,74.017,40,66,44.664,44,46.421,11,60.0,70
5.292,56.083,518.46,61.559,37,53,37.357,41,36.205,13,54.5,57
5.0,61.054,464.66,69.268,33,61,38.341,37,40.762,10,46.5,65
5.0,50.789,373.5,57.438,28,51,32.563,31,34.336,6,41.0,54
5.0,42.691,348.39,47.113,26,42,28.391,30,28.955,7,40.5,46
8.824,69.392,529.63,78.324,38,68,42.578,41,43.66,12,51.0,71
5.0,72.483,560.74,81.145,40,72,46.023,45,48.398,11,58.5,77
6.4,52.974,439.59,59.315,32,53,36.024,37,38.017,8,52.0,58
5.0,52.832,450.38,59.081,30,52,34.128,33,35.75,9,41.5,55
5.0,56.836,467.97,63.346,33,56,37.015,35,38.347,9,47.5,58
5.0,41.687,366.83,45.847,26,41,28.504,29,29.358,7,40.5,44
5.0,62.992,468.6,70.604,35,63,40.552,40,42.523,7,53.0,68
5.0,55.945,446.95,62.472,31,55,35.236,34,36.557,9,42.5,58
5.26,67.643,493.67,76.68,37,68,43.186,41,45.631,8,54.0,72
4.0,40.153,307.37,44.448,23,40,26.38,26,27.46,4,34.0,43
