pXC50,Mp,AMW,C.,H.,Me,Mi,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR
4.26,0.628,7.153,35.2,49.1,1.009,1.14,0.599,1645.18,7.4,24,230,0,40,122,0
6.301,0.634,7.214,36.1,48.4,1.008,1.138,0.605,1760.33,8.2,34,244,0,50,133,0
6.387,0.668,6.867,44.3,48.6,0.988,1.119,0.624,480.68,4.3,21,70,0,24,40,0
6.745,0.703,7.311,46.7,46.7,0.982,1.11,0.647,438.66,5.0,21,60,0,23,37,0
6.444,0.669,6.517,44.8,50.7,0.978,1.118,0.615,436.67,4.5,21,67,0,23,37,0
5.699,0.697,7.059,49.2,45.9,0.981,1.11,0.65,430.61,4.9,26,61,0,28,38,0
6.495,0.698,7.231,45.8,47.5,0.982,1.112,0.641,426.65,5.1,21,59,0,23,35,0
6.509,0.678,6.959,45.8,47.5,0.986,1.117,0.633,410.58,5.1,21,59,0,23,35,0
5.377,0.688,7.168,47.4,45.6,0.988,1.114,0.646,408.56,5.3,21,57,0,23,36,0
9.432,0.617,6.984,32.6,50.8,1.008,1.146,0.585,1347.86,9.3,12,193,0,26,98,0
6.409,0.673,6.604,45.3,50.0,0.978,1.117,0.62,422.64,4.7,21,64,0,23,36,0
8.337,0.621,7.01,33.5,50.6,1.007,1.143,0.588,1191.64,8.2,12,170,0,24,87,0
6.509,0.688,6.827,47.9,47.9,0.979,1.112,0.637,484.71,4.2,26,71,0,28,43,0
-8.3,0.641,7.878,39.4,43.8,1.025,1.146,0.629,1079.22,5.8,28,137,0,35,82,0
-6.1,0.647,7.2,39.7,47.3,1.005,1.13,0.617,943.22,6.1,28,131,0,35,74,0
5.602,0.625,6.972,34.3,50.5,1.005,1.142,0.591,1464.03,8.6,18,210,0,32,109,0
6.0,0.621,7.036,33.2,50.3,1.008,1.145,0.589,1315.81,9.6,17,187,0,29,97,0
8.585,0.609,6.843,31.3,52.1,1.007,1.149,0.575,1313.85,9.4,6,192,0,20,94,0
5.569,0.62,7.046,33.0,50.3,1.009,1.146,0.589,1345.84,9.4,12,191,0,27,98,0
5.854,0.626,7.074,34.3,49.8,1.007,1.142,0.594,1421.94,9.0,18,201,0,32,106,0
7.745,0.614,6.974,31.1,51.8,1.008,1.148,0.579,1345.92,9.3,6,193,0,20,95,0
7.201,0.62,7.046,33.0,50.3,1.009,1.146,0.589,1345.84,9.4,12,191,0,27,98,0
6.0,0.621,7.036,33.2,50.3,1.008,1.145,0.589,1315.81,9.6,17,187,0,29,97,0
8.538,0.618,6.94,33.0,51.0,1.006,1.145,0.585,1387.93,9.0,12,200,0,26,102,0
5.569,0.614,6.974,31.1,51.8,1.008,1.148,0.579,1345.92,9.3,6,193,0,20,95,0
9.097,0.643,8.583,42.6,40.4,1.045,1.164,0.646,403.4,2.1,12,47,0,12,30,0
7.509,0.613,7.075,32.1,50.6,1.013,1.146,0.584,1188.59,7.7,6,168,0,19,85,0
8.106,0.612,7.066,30.8,51.3,1.011,1.149,0.58,1377.92,9.2,6,195,0,22,97,0
6.347,0.669,6.748,44.6,49.2,0.984,1.119,0.622,438.64,4.6,21,65,0,23,37,0
8.675,0.67,6.849,43.5,48.4,0.985,1.124,0.624,424.62,8.1,21,62,0,23,36,0
6.0,0.635,7.435,37.0,46.3,1.015,1.137,0.615,802.98,7.4,18,108,0,25,61,0
6.102,0.682,6.784,46.8,48.4,0.98,1.115,0.632,420.62,4.8,21,62,0,23,37,0
6.745,0.627,7.183,33.9,49.6,1.009,1.142,0.595,869.18,8.3,12,121,0,21,62,0
5.886,0.703,7.311,46.7,46.7,0.982,1.11,0.647,438.66,5.0,21,60,0,23,37,0
8.699,0.696,7.486,45.9,45.9,0.991,1.11,0.648,456.65,3.3,18,61,0,20,37,0
5.0,0.637,7.045,35.6,50.6,1.001,1.136,0.597,612.88,6.9,12,87,0,17,44,0
7.585,0.675,7.146,43.2,48.6,0.99,1.116,0.626,528.77,2.7,18,74,0,20,42,0
8.301,0.708,7.871,45.3,45.3,0.994,1.106,0.655,503.73,1.6,18,64,0,20,39,0
6.347,0.631,7.125,34.6,50.0,1.006,1.139,0.596,741.03,7.7,12,104,0,19,53,0
7.387,0.691,7.354,45.3,46.9,0.989,1.112,0.641,470.68,3.1,18,64,0,20,38,0
5.194,0.661,7.252,42.1,46.3,1.0,1.126,0.629,688.9,6.3,22,95,0,27,57,0
6.155,0.702,7.678,44.4,44.4,0.99,1.118,0.654,414.6,9.3,21,54,0,23,34,0
6.071,0.659,6.902,41.9,48.6,0.991,1.126,0.618,510.72,6.8,21,74,0,24,42,0
5.523,0.686,7.339,45.6,46.8,0.992,1.111,0.64,579.81,1.3,24,79,0,25,47,0
5.0,0.654,6.702,40.4,50.0,0.986,1.132,0.608,348.52,9.6,15,52,0,17,29,0
4.983,0.662,7.391,42.3,45.4,1.004,1.125,0.633,716.91,6.2,22,97,0,28,59,0
4.793,0.659,7.173,41.8,46.9,0.999,1.126,0.625,702.93,6.1,22,98,0,27,58,0
6.328,0.687,7.487,44.6,46.2,0.994,1.113,0.642,486.68,3.1,18,65,0,21,39,0
4.84,0.657,7.443,41.5,45.3,1.007,1.126,0.631,788.98,5.7,22,106,0,29,64,0
5.469,0.655,7.362,41.2,45.9,1.006,1.127,0.628,625.79,5.9,22,85,0,27,49,0
6.456,0.663,6.889,42.4,48.5,0.989,1.126,0.62,454.65,7.6,21,66,0,23,38,0
5.959,0.698,7.96,43.5,45.2,0.995,1.122,0.651,493.5,8.1,21,62,0,23,38,0
5.854,0.665,7.098,42.6,47.1,0.994,1.125,0.627,482.66,7.4,21,68,0,24,40,0
9.292,0.679,7.57,42.5,47.9,0.995,1.121,0.632,552.59,4.1,18,73,0,20,41,0
7.06,0.64,8.349,42.0,42.0,1.04,1.163,0.638,417.43,2.0,12,50,0,12,31,0
8.229,0.654,7.01,40.7,48.1,0.996,1.129,0.617,378.52,7.4,17,54,0,17,31,0
7.071,0.694,7.962,43.2,47.7,0.995,1.117,0.641,350.31,2.3,12,44,0,12,25,0
6.658,0.655,6.494,42.2,51.6,0.983,1.124,0.604,415.63,4.7,15,64,0,15,37,0
5.0,0.658,6.343,42.9,52.4,0.977,1.123,0.603,399.63,4.8,15,63,0,15,36,0
6.495,0.676,6.802,45.8,48.6,0.983,1.116,0.628,489.71,4.2,20,72,0,21,44,0
6.495,0.662,6.575,43.5,50.7,0.982,1.121,0.612,453.68,4.3,15,69,0,16,40,0
5.0,0.668,6.645,44.6,50.0,0.982,1.118,0.618,491.73,4.1,21,74,0,21,44,0
7.31,0.665,6.661,43.9,50.0,0.983,1.12,0.616,439.65,4.5,15,66,0,16,39,0
5.921,0.667,6.877,44.1,48.5,0.988,1.12,0.623,467.66,4.4,6,68,0,11,41,0
8.06,0.652,7.237,40.5,46.8,1.004,1.129,0.622,571.74,6.3,18,79,0,22,45,0
5.0,0.686,7.01,46.7,46.7,0.984,1.116,0.64,315.45,6.7,15,45,0,17,28,0
5.0,0.662,6.575,43.5,50.7,0.982,1.121,0.612,453.68,4.3,15,69,0,16,40,0
5.796,0.652,6.493,41.7,51.7,0.983,1.125,0.603,389.59,5.0,10,60,0,11,34,0
5.0,0.694,7.443,46.7,43.3,0.991,1.119,0.657,223.3,10.0,15,30,0,15,20,0
5.0,0.638,5.884,40.2,56.3,0.973,1.127,0.577,511.87,3.4,15,87,0,15,44,0
6.0,0.638,7.398,37.0,46.3,1.012,1.139,0.615,799.0,9.3,23,108,0,28,62,0
6.0,0.639,7.476,37.4,45.8,1.014,1.137,0.618,799.98,8.4,23,107,0,28,62,0
6.131,0.665,7.268,45.2,46.8,1.0,1.133,0.631,450.59,3.2,18,62,0,18,37,0
6.921,0.665,6.55,44.4,50.8,0.981,1.118,0.614,412.62,3.2,18,63,0,18,35,0
5.0,0.678,6.848,44.6,50.8,0.979,1.117,0.62,445.09,3.1,18,65,0,18,36,0
6.155,0.668,6.397,45.2,51.6,0.975,1.117,0.612,396.62,3.2,18,62,0,18,34,0
8.824,0.635,6.51,38.4,52.3,0.99,1.133,0.591,559.83,5.8,16,86,0,18,45,0
6.319,0.646,6.782,39.8,50.0,0.993,1.131,0.605,596.85,6.8,22,88,0,24,48,0
5.299,0.636,6.843,37.5,50.0,0.998,1.137,0.6,164.23,8.3,6,24,0,7,12,0
4.0,0.689,8.061,42.4,42.4,1.007,1.122,0.656,475.62,8.5,18,59,0,22,37,0
7.796,0.652,6.841,41.0,49.4,0.993,1.128,0.611,567.8,6.0,22,83,0,24,46,0
6.959,0.687,7.068,45.8,49.2,0.981,1.114,0.631,417.03,3.4,18,59,0,18,34,0
5.699,0.672,6.485,45.8,50.8,0.976,1.115,0.617,382.59,3.4,18,59,0,18,33,0
5.0,0.693,7.431,46.6,46.6,0.989,1.113,0.645,431.01,3.4,18,58,0,19,35,0
5.0,0.637,7.345,36.9,46.7,1.011,1.139,0.613,896.13,9.0,18,122,0,27,69,0
5.0,0.637,7.119,35.9,50.0,1.004,1.136,0.599,654.92,6.5,12,92,0,18,47,0
5.0,0.621,7.171,33.8,48.5,1.012,1.146,0.597,487.63,10.3,6,68,0,11,37,0
6.301,0.652,7.522,38.7,46.4,1.008,1.133,0.623,1669.96,7.7,44,222,0,57,128,0
5.921,0.619,7.01,33.0,50.5,1.008,1.145,0.587,1359.87,9.3,12,194,0,26,100,0
8.027,0.637,7.183,37.7,47.8,1.007,1.136,0.61,495.64,7.2,12,69,0,16,38,0
5.854,0.67,6.935,45.7,48.1,0.99,1.114,0.628,561.77,1.2,24,81,0,25,47,0
5.836,0.637,7.183,37.7,47.8,1.007,1.136,0.61,495.64,7.2,12,69,0,16,38,0
6.0,0.627,7.134,36.1,48.6,1.01,1.139,0.601,513.66,6.9,12,72,0,16,38,0
9.269,0.643,7.86,38.3,44.8,1.023,1.144,0.625,1210.44,5.8,28,154,0,36,90,0
8.387,0.617,6.988,32.6,50.8,1.008,1.146,0.585,1306.8,9.1,12,187,0,25,95,0
5.0,0.623,7.059,34.4,49.2,1.009,1.144,0.595,430.57,9.8,6,61,0,10,33,0
9.155,0.618,6.94,32.8,51.1,1.006,1.146,0.584,1290.8,9.1,12,186,0,25,94,0
6.0,0.62,6.957,33.0,50.8,1.006,1.146,0.586,1328.86,9.9,17,191,0,29,98,0
8.602,0.626,7.074,34.3,49.8,1.007,1.142,0.594,1421.94,9.0,18,201,0,32,106,0
8.62,0.614,6.974,31.1,51.8,1.008,1.148,0.579,1345.92,9.3,6,193,0,20,95,0
-7.7,0.639,7.747,39.0,44.7,1.022,1.146,0.624,1092.27,6.4,28,141,0,35,83,0
5.886,0.624,7.015,34.0,50.2,1.006,1.143,0.591,1423.96,8.9,18,203,0,32,105,0
5.62,0.619,7.01,33.0,50.5,1.008,1.145,0.587,1359.87,9.3,12,194,0,26,100,0
5.638,0.619,6.974,33.0,50.8,1.007,1.145,0.586,1373.9,9.1,12,197,0,26,101,0
6.0,0.621,6.994,33.0,50.5,1.006,1.146,0.588,1314.83,10.1,17,188,0,29,97,0
6.301,0.624,7.015,34.0,50.2,1.006,1.143,0.591,1423.96,8.9,18,203,0,32,105,0
7.208,0.617,6.948,32.7,51.0,1.007,1.146,0.584,1361.89,9.2,12,196,0,26,99,0
7.114,0.682,7.162,43.9,48.5,0.988,1.115,0.63,472.7,3.0,18,66,0,19,38,0
7.678,0.617,6.943,32.8,51.1,1.007,1.145,0.584,1249.74,8.9,12,180,0,24,91,0
9.921,0.619,7.021,33.0,50.5,1.008,1.145,0.587,1277.75,8.8,12,182,0,25,93,0
6.257,0.621,6.999,33.2,50.5,1.007,1.145,0.588,1329.84,9.5,17,190,0,29,98,0
8.638,0.622,7.316,33.5,48.6,1.015,1.143,0.597,1265.63,8.1,12,173,0,26,92,0
7.114,0.617,6.948,32.7,51.0,1.007,1.146,0.584,1361.89,9.2,12,196,0,26,99,0
7.319,0.624,7.015,34.0,50.2,1.006,1.143,0.591,1423.96,8.9,17,203,0,31,106,0
6.387,0.662,6.996,42.3,47.9,0.993,1.126,0.622,496.69,7.0,21,71,0,24,41,0
7.602,0.686,8.285,40.7,44.4,1.008,1.127,0.647,447.4,7.4,17,54,0,17,33,0
6.097,0.665,6.55,44.4,50.8,0.981,1.118,0.614,412.62,3.2,18,63,0,18,35,0
6.523,0.633,7.219,35.4,48.7,1.008,1.139,0.602,1140.53,8.2,18,158,0,29,85,0
8.481,0.627,7.029,34.6,50.0,1.006,1.142,0.594,1462.01,8.7,18,208,0,32,110,0
5.0,0.641,6.647,40.0,51.3,0.993,1.128,0.599,531.76,3.8,15,80,0,16,45,0
5.0,0.655,6.494,42.2,51.6,0.983,1.124,0.604,415.63,4.7,15,64,0,15,37,0
7.125,0.609,7.143,31.6,50.3,1.016,1.147,0.584,1335.74,7.5,6,187,0,21,94,0
6.06,0.631,7.427,33.7,48.5,1.014,1.141,0.601,1210.61,8.0,17,163,0,29,86,0
-7.0,0.641,7.813,39.1,44.2,1.023,1.147,0.627,1078.24,6.5,28,138,0,35,82,0
7.538,0.628,7.063,34.6,49.8,1.006,1.142,0.595,1447.98,8.8,18,205,0,32,109,0
5.6,0.647,7.204,38.3,48.3,1.003,1.132,0.612,1073.46,6.7,28,149,0,36,82,0
7.733,0.653,7.213,40.8,46.9,1.003,1.128,0.622,353.46,6.1,12,49,0,15,27,0
5.886,0.655,6.599,41.1,50.7,0.984,1.129,0.607,481.73,8.2,21,73,0,23,40,0
5.699,0.671,7.2,42.9,46.0,0.994,1.127,0.633,453.62,9.5,21,63,0,24,38,0
6.409,0.666,6.748,43.1,49.2,0.984,1.125,0.619,438.65,7.7,21,65,0,23,37,0
6.0,0.663,6.889,42.4,48.5,0.989,1.126,0.62,454.65,7.6,21,66,0,23,38,0
7.6,0.642,7.803,38.1,45.2,1.021,1.145,0.623,1209.46,6.5,28,155,0,36,90,0
5.796,0.678,7.331,40.0,48.0,0.99,1.127,0.626,366.56,10.0,15,50,0,17,29,0
6.071,0.685,7.125,45.9,45.9,0.986,1.119,0.642,434.61,8.2,21,61,0,24,38,0
5.585,0.66,6.885,41.7,48.6,0.99,1.128,0.618,495.71,8.3,21,72,0,24,41,0
7.389,0.625,7.677,36.6,45.7,1.026,1.148,0.613,1343.54,5.7,28,175,0,36,100,0
7.577,0.629,7.809,37.1,44.7,1.028,1.148,0.619,1327.49,5.9,28,170,0,36,100,0
8.587,0.629,7.809,37.1,44.7,1.028,1.148,0.619,1327.49,5.9,28,170,0,36,100,0
7.245,0.626,7.532,36.6,46.6,1.022,1.147,0.609,1438.7,5.8,28,191,0,37,108,0
7.68,0.635,7.589,38.2,45.9,1.02,1.147,0.617,1191.42,6.4,28,157,0,36,90,0
5.0,0.656,7.265,41.9,46.5,1.003,1.125,0.626,312.4,4.7,12,43,0,14,24,0
7.991,0.65,7.276,40.0,46.7,1.005,1.13,0.621,545.7,6.7,18,75,0,22,42,0
7.939,0.64,7.054,38.2,48.5,1.003,1.134,0.608,479.64,7.4,12,68,0,16,37,0
6.74,0.659,7.253,41.5,46.3,1.001,1.128,0.627,297.39,7.3,12,41,0,14,23,0
5.0,0.642,6.97,39.2,49.0,1.0,1.131,0.608,355.48,5.9,12,51,0,14,27,0
5.0,0.62,6.709,36.0,52.0,1.002,1.145,0.584,335.47,6.0,6,50,0,8,25,0
8.796,0.608,6.978,31.8,50.4,1.012,1.15,0.582,900.19,10.1,6,129,0,16,66,0
7.52,0.653,7.343,41.0,46.2,1.007,1.127,0.626,572.72,5.1,18,78,0,22,45,0
6.268,0.654,7.078,40.9,47.7,0.998,1.128,0.619,311.42,6.8,12,44,0,14,24,0
7.194,0.654,7.078,40.9,47.7,0.998,1.128,0.619,311.42,6.8,12,44,0,14,24,0
5.0,0.659,7.253,41.5,46.3,1.001,1.128,0.627,297.39,7.3,12,41,0,14,23,0
7.991,0.617,6.451,34.9,53.5,0.995,1.141,0.576,277.41,7.0,6,43,0,8,20,0
7.963,0.647,7.044,39.7,48.3,1.0,1.131,0.613,408.55,6.9,12,58,0,15,32,0
6.757,0.654,7.078,40.9,47.7,0.998,1.128,0.619,311.42,6.8,12,44,0,14,24,0
7.65,0.655,8.185,38.5,43.2,1.025,1.143,0.636,1211.45,6.8,28,148,0,36,90,0
6.6,0.675,7.743,39.0,46.3,1.003,1.126,0.632,317.45,7.3,11,41,0,13,23,0
5.648,0.659,7.253,41.5,46.3,1.001,1.128,0.627,297.39,7.3,12,41,0,14,23,0
5.0,0.642,7.971,36.5,42.3,1.025,1.142,0.633,414.47,11.5,16,52,0,17,33,0
5.699,0.646,7.548,37.1,46.2,1.012,1.135,0.619,996.28,8.3,28,132,0,34,76,0
5.75,0.655,8.185,38.5,43.2,1.025,1.143,0.636,1211.45,6.8,28,148,0,36,90,0
6.86,0.655,8.185,38.5,43.2,1.025,1.143,0.636,1211.45,6.8,28,148,0,36,90,0
7.272,0.655,8.185,38.5,43.2,1.025,1.143,0.636,1211.45,6.8,28,148,0,36,90,0
9.796,0.641,8.575,40.0,40.0,1.044,1.164,0.644,514.52,6.7,17,60,0,17,39,0
9.745,0.647,8.652,41.1,39.3,1.043,1.165,0.65,484.49,7.1,17,56,0,17,37,0
