pXC50,N.,SCBO,Sv,X.,nH,nX,nF,nBM,nSK,Se,nC,nBT,nAT,Si,MW,C.,O.,nHet,nCsp2
5.0,6.1,34.0,30.401,2.0,24,1,0,13,25,48.676,20,51,49,55.216,357.92,40.8,2.0,5,13
5.456,6.1,34.0,30.401,2.0,24,1,0,13,25,48.676,20,51,49,55.216,357.92,40.8,2.0,5,13
5.0,6.5,35.0,29.641,6.5,20,3,2,13,26,46.818,19,48,46,52.48,379.87,41.3,2.2,7,13
5.638,6.5,34.0,29.702,4.3,21,2,0,13,25,46.116,19,48,46,51.744,378.33,41.3,2.2,6,13
5.711,6.0,40.0,32.145,2.0,22,1,1,15,28,50.309,22,53,50,56.405,379.47,44.0,4.0,6,16
6.14,7.9,32.0,25.294,2.6,16,1,0,13,22,38.142,17,41,38,42.555,313.81,44.7,2.6,5,13
8.695,1.8,24.0,30.407,0.0,35,0,0,1,22,55.778,19,58,57,64.976,309.55,33.3,3.5,3,1
5.719,6.4,39.0,30.777,2.1,20,1,0,16,27,47.563,20,51,47,52.804,385.88,42.6,6.4,7,13
4.137,3.5,51.0,50.173,0.0,45,0,0,14,40,84.247,32,88,85,95.972,567.87,37.6,4.7,8,14
6.777,1.9,29.0,29.826,0.0,29,0,0,8,23,51.127,20,53,52,58.73,315.5,38.5,3.8,3,9
8.21,11.1,24.0,17.601,0.0,11,0,0,11,16,27.494,11,28,27,30.575,217.25,40.7,7.4,5,6
6.427,2.0,28.0,28.299,0.0,27,0,0,8,22,48.243,19,50,49,55.315,301.47,38.8,4.1,3,9
6.607,4.9,32.0,26.612,2.4,19,1,0,13,22,40.48,19,44,41,45.677,310.85,46.3,0.0,3,13
6.01,2.7,24.0,22.192,0.0,19,0,0,8,18,36.709,15,38,37,41.654,245.35,40.5,5.4,3,9
7.606,1.9,36.0,32.299,0.0,27,0,0,14,26,52.243,23,55,53,59.315,349.51,43.4,3.8,3,15
6.22,1.9,37.0,33.014,0.0,27,0,0,14,27,53.571,23,56,54,60.524,365.51,42.6,5.6,4,15
6.397,1.7,31.0,32.88,0.0,33,0,0,8,25,56.894,22,59,58,65.56,343.56,37.9,3.4,3,9
6.102,3.8,10.0,13.402,0.0,16,0,0,1,10,25.883,7,25,26,30.031,146.24,26.9,7.7,3,1
4.96,1.7,33.0,33.88,0.0,33,0,0,8,26,57.894,23,61,59,66.56,355.57,39.0,3.4,3,9
5.935,2.6,29.0,24.477,0.0,19,0,0,6,20,38.382,18,45,39,43.445,265.38,46.2,2.6,2,6
6.572,2.5,26.0,24.004,0.0,21,0,0,12,19,39.265,17,41,40,44.86,255.39,42.5,2.5,2,12
7.123,4.9,29.0,25.214,0.0,20,0,0,13,21,40.811,17,42,41,46.152,284.39,41.5,4.9,4,12
5.515,0.0,73.0,77.499,0.0,74,0,0,5,62,136.275,48,142,136,154.294,875.22,35.3,10.3,14,9
7.237,1.7,31.0,32.88,0.0,33,0,0,8,25,56.894,22,59,58,65.56,343.56,37.9,3.4,3,9
9.423,2.1,30.0,27.939,0.0,24,0,0,7,23,47.072,18,50,47,53.111,318.43,38.3,8.5,5,7
9.699,2.0,29.0,29.278,0.0,28,0,0,7,23,50.512,19,53,51,57.732,318.48,37.3,5.9,4,7
7.754,2.3,29.0,26.149,0.0,21,0,0,7,22,43.247,17,46,43,48.488,303.39,39.5,9.3,5,7
6.01,2.7,24.0,22.192,0.0,19,0,0,8,18,36.709,15,38,37,41.654,245.35,40.5,5.4,3,9
7.606,1.9,36.0,32.299,0.0,27,0,0,14,26,52.243,23,55,53,59.315,349.51,43.4,3.8,3,15
8.767,2.1,32.0,29.058,0.0,25,0,0,12,23,47.032,21,51,48,53.69,307.47,43.8,2.1,2,12
5.177,0.0,40.0,37.454,1.6,30,1,1,5,32,63.243,22,65,62,70.382,472.49,35.5,12.9,10,6
5.724,1.9,29.0,29.826,0.0,29,0,0,7,23,51.127,20,54,52,58.73,315.5,38.5,3.8,3,7
5.982,5.3,26.0,23.612,2.6,19,1,0,12,19,37.48,16,39,38,42.677,274.82,42.1,0.0,3,11
6.22,2.3,26.0,25.246,0.0,23,0,0,8,20,42.476,17,44,43,48.484,273.41,39.5,4.7,3,9
7.25,1.8,32.0,32.353,0.0,31,0,0,8,25,55.01,22,58,56,63.145,341.54,39.3,3.6,3,9
5.38,2.5,25.0,23.719,0.0,21,0,0,8,19,39.592,16,41,40,45.069,259.38,40.0,5.0,3,9
6.39,2.2,27.0,26.773,0.0,25,0,0,8,21,45.36,18,47,46,51.9,287.44,39.1,4.3,3,9
6.798,1.8,32.0,32.353,0.0,31,0,0,8,25,55.01,22,58,56,63.145,341.54,39.3,3.6,3,9
5.507,1.7,45.0,37.826,0.0,29,0,0,20,31,59.127,28,63,60,66.73,411.58,46.7,3.3,3,21
6.483,1.6,32.0,34.407,0.0,35,0,0,8,26,59.778,23,62,61,68.976,357.59,37.7,3.3,3,9
7.071,4.0,55.0,47.179,1.3,36,1,0,21,39,74.709,31,79,75,84.046,566.22,41.3,4.0,8,19
7.069,1.6,32.0,34.407,0.0,35,0,0,8,26,59.778,23,62,61,68.976,357.59,37.7,3.3,3,9
5.301,1.8,37.0,33.826,0.0,29,0,0,14,27,55.127,24,58,56,62.73,363.54,42.9,3.6,3,15
6.301,1.9,37.0,33.014,0.0,27,0,0,14,27,53.571,23,56,54,60.524,365.51,42.6,5.6,4,15
5.899,1.7,33.0,33.88,0.0,33,0,0,8,26,57.894,23,61,59,66.56,355.57,39.0,3.4,3,9
6.27,1.8,30.0,31.353,0.0,31,0,0,8,24,54.01,21,56,55,62.145,329.53,38.2,3.6,3,9
6.938,1.9,31.0,30.826,0.0,29,0,0,8,24,52.127,21,55,53,59.73,327.51,39.6,3.8,3,9
6.253,2.2,27.0,26.773,0.0,25,0,0,8,21,45.36,18,47,46,51.9,287.44,39.1,4.3,3,9
5.656,5.1,34.5,27.927,7.7,15,3,0,17,24,39.32,18,41,39,43.07,397.77,46.2,0.0,6,15
5.948,2.3,26.0,25.246,0.0,23,0,0,8,20,42.476,17,44,43,48.484,273.41,39.5,4.7,3,9
6.857,1.9,29.0,29.826,0.0,29,0,0,8,23,51.127,20,53,52,58.73,315.5,38.5,3.8,3,9
6.1,6.3,31.0,28.672,2.1,24,1,1,7,24,48.192,18,51,48,54.821,333.45,37.5,4.2,6,7
7.9,4.8,36.0,36.306,1.6,34,1,1,7,29,62.61,23,66,63,71.897,403.6,36.5,3.2,6,7
7.7,3.1,35.0,36.428,0.0,36,0,0,7,28,62.879,24,67,64,72.474,384.62,37.5,3.1,4,7
7.7,3.3,34.0,34.901,0.0,34,0,0,7,27,59.996,23,64,61,69.059,370.59,37.7,3.3,4,7
6.9,3.4,33.0,33.374,0.0,32,0,0,7,26,57.112,22,61,58,65.643,356.56,37.9,3.4,4,7
6.4,3.6,33.0,32.562,0.0,30,0,0,7,26,55.556,21,59,56,63.438,358.53,37.5,5.4,5,7
6.0,3.6,33.0,32.562,0.0,30,0,0,7,26,55.556,21,59,56,63.438,358.53,37.5,5.4,5,7
7.3,3.4,35.0,34.473,1.7,31,1,1,7,28,58.952,22,62,59,67.193,390.55,37.3,5.1,6,7
6.8,3.4,35.0,34.473,1.7,31,1,1,7,28,58.952,22,62,59,67.193,390.55,37.3,5.1,6,7
6.8,3.3,35.0,34.804,0.0,32,0,0,7,28,59.767,22,63,60,68.062,388.56,36.7,6.7,6,7
6.4,5.3,37.0,34.057,0.0,29,0,0,8,28,56.774,22,60,57,64.521,383.54,38.6,5.3,6,7
5.9,3.2,39.0,36.706,0.0,32,0,0,9,30,62.171,22,65,62,70.192,436.63,35.5,8.1,8,7
5.3,3.1,40.0,38.233,0.0,34,0,0,9,31,65.054,23,68,65,73.607,450.66,35.4,7.7,8,7
6.5,3.1,40.0,38.233,0.0,34,0,0,9,31,65.054,23,68,65,73.607,450.66,35.4,7.7,8,7
6.8,3.2,36.0,36.331,0.0,34,0,0,7,29,62.65,23,66,63,71.477,402.59,36.5,6.3,6,7
6.0,4.9,39.0,36.299,0.0,31,0,0,8,30,60.985,23,64,61,69.145,413.57,37.7,6.6,7,7
6.063,1.9,37.0,33.014,0.0,27,0,0,14,27,53.571,23,56,54,60.524,365.51,42.6,5.6,4,15
8.564,1.8,33.0,33.068,0.0,31,0,0,8,26,56.338,22,58,57,64.355,357.54,38.6,5.3,4,7
5.448,1.7,45.0,37.826,0.0,29,0,0,20,31,59.127,28,63,60,66.73,411.58,46.7,3.3,3,21
5.0,0.0,84.0,86.698,0.0,72,0,0,0,78,157.592,42,156,150,172.486,1153.14,28.0,24.0,36,0
8.983,1.9,30.0,30.804,0.0,30,0,0,7,24,53.396,20,56,54,61.147,332.51,37.0,5.6,4,7
6.721,1.9,36.0,32.299,0.0,27,0,0,14,26,52.243,23,55,53,59.315,349.51,43.4,3.8,3,15
5.051,5.1,41.0,36.057,0.0,29,0,0,14,30,58.774,24,62,59,66.521,407.56,40.7,5.1,6,14
5.347,1.9,27.0,29.638,0.0,31,0,0,7,22,51.683,20,54,53,59.936,301.52,37.7,1.9,2,7
5.921,4.3,47.0,42.119,2.9,33,2,2,14,36,69.778,27,72,69,78.655,501.63,39.1,5.8,9,14
5.229,2.3,44.0,30.913,9.3,13,4,4,20,30,45.203,22,46,43,48.807,415.36,51.2,7.0,8,20
5.886,3.1,12.0,16.456,0.0,20,0,0,0,12,31.651,9,32,32,36.862,174.3,28.1,6.3,3,0
4.523,2.3,45.0,31.297,11.6,12,5,5,20,31,45.716,22,46,43,49.147,433.35,51.2,7.0,9,20
5.495,2.8,37.0,25.906,8.3,10,3,3,14,26,38.578,17,39,36,41.056,365.28,47.2,13.9,9,14
4.523,2.3,43.0,30.53,7.0,14,3,3,20,29,44.691,22,46,43,48.467,397.37,51.2,7.0,7,20
4.523,2.3,44.0,31.245,6.8,14,3,3,20,30,46.018,22,47,44,49.677,413.37,50.0,9.1,8,20
5.796,4.8,43.0,30.025,7.1,13,3,3,20,29,43.909,21,45,42,47.55,398.36,50.0,7.1,8,19
5.553,4.8,43.0,30.025,7.1,13,3,3,20,29,43.909,21,45,42,47.55,398.36,50.0,7.1,8,19
5.678,7.3,43.0,29.519,7.3,12,3,3,20,29,43.127,20,44,41,46.633,399.35,48.8,7.3,9,18
5.62,6.3,34.0,23.799,12.5,8,4,3,14,24,34.465,15,34,32,36.664,356.7,46.9,9.4,9,13
5.509,4.8,43.0,30.025,7.1,13,3,3,20,29,43.909,21,45,42,47.55,398.36,50.0,7.1,8,19
4.523,7.3,43.0,29.519,7.3,12,3,3,20,29,43.127,20,44,41,46.633,399.35,48.8,7.3,9,18
4.523,7.3,43.0,29.519,7.3,12,3,3,20,29,43.127,20,44,41,46.633,399.35,48.8,7.3,9,18
5.42,4.8,43.0,30.025,7.1,13,3,3,20,29,43.909,21,45,42,47.55,398.36,50.0,7.1,8,19
5.398,7.3,43.0,29.519,7.3,12,3,3,20,29,43.127,20,44,41,46.633,399.35,48.8,7.3,9,18
5.357,7.3,43.0,29.519,7.3,12,3,3,20,29,43.127,20,44,41,46.633,399.35,48.8,7.3,9,18
5.495,4.7,44.0,30.74,7.0,13,3,3,20,30,45.236,21,46,43,48.76,414.36,48.8,9.3,9,19
5.824,4.7,45.0,31.123,9.3,12,4,4,20,31,45.749,21,46,43,49.099,432.35,48.8,9.3,10,19
5.658,4.3,46.0,32.981,6.4,15,3,3,20,32,49.447,22,50,47,53.384,444.39,46.8,10.6,10,19
5.553,5.0,42.5,29.4,7.5,11,3,3,19,29,42.429,19,43,40,45.265,420.39,47.5,10.0,10,17
6.012,3.6,33.0,33.105,1.8,29,1,0,7,27,56.207,20,58,56,63.591,396.96,35.7,7.1,7,7
5.392,3.9,28.0,29.036,0.0,28,0,0,7,23,50.672,18,52,51,58.022,320.48,35.3,5.9,5,7
5.0,3.8,32.0,31.134,1.9,27,1,1,7,26,53.512,19,55,53,60.572,366.48,35.8,7.5,7,7
6.979,3.3,61.0,66.9,0.0,70,0,0,12,50,117.221,44,125,120,136.114,687.18,36.7,1.7,6,12
6.03,3.8,17.0,15.612,0.0,13,0,0,3,13,26.058,10,26,26,29.408,179.24,38.5,7.7,3,3
5.432,7.5,48.5,42.282,3.0,31,2,0,17,36,67.509,26,71,67,75.821,532.52,38.8,4.5,10,14
6.738,3.4,65.0,67.276,0.0,66,0,0,14,52,116.108,44,123,118,133.702,715.14,37.3,3.4,8,14
7.335,2.4,26.0,24.434,0.0,21,0,0,7,20,40.92,16,43,41,46.279,275.38,39.0,7.3,4,7
5.0,7.1,24.0,18.864,0.0,12,0,0,12,16,27.698,13,30,28,30.993,228.34,46.4,0.0,3,12
8.619,3.2,46.0,38.848,0.0,30,0,0,19,32,61.229,28,66,62,69.228,426.6,45.2,3.2,4,19
6.8,7.1,41.0,41.054,0.0,37,0,0,11,33,69.781,23,72,70,79.603,495.79,32.9,4.3,10,6
4.054,6.7,27.5,26.664,0.0,23,0,0,7,22,45.2,15,46,45,51.195,325.48,33.3,6.7,7,6
8.658,1.8,31.0,31.638,0.0,31,0,0,12,24,53.683,22,56,55,61.936,325.54,40.0,1.8,2,12
4.599,8.0,10.0,12.897,0.0,15,0,0,1,10,25.102,6,24,25,29.114,147.23,24.0,8.0,4,1
5.558,8.1,24.5,22.466,0.0,19,0,0,11,18,36.451,14,38,37,41.737,261.43,37.8,0.0,4,9
4.322,6.3,30.0,28.831,2.1,24,1,0,8,24,48.331,17,49,48,54.634,353.89,35.4,6.3,7,8
7.921,1.9,27.0,29.638,0.0,31,0,0,6,22,51.683,20,55,53,59.936,301.52,37.7,1.9,2,6
6.12,4.3,31.0,27.838,0.0,24,0,0,13,22,44.923,20,48,46,51.564,292.46,43.5,0.0,2,13
5.5,8.0,13.0,13.918,0.0,14,0,0,2,11,24.833,8,25,25,28.697,154.24,32.0,4.0,3,3
5.89,2.0,31.0,29.585,0.0,27,0,0,12,23,48.916,21,52,50,56.105,309.49,42.0,2.0,2,12
4.19,6.3,29.0,28.003,0.0,25,0,0,8,23,48.007,17,49,48,54.69,319.45,35.4,6.3,6,8
4.619,5.9,30.0,29.53,0.0,27,0,0,8,24,50.891,18,52,51,58.106,333.48,35.3,5.9,6,8
4.523,6.3,46.5,33.152,2.1,18,1,0,24,30,49.084,21,51,48,53.518,443.94,43.8,8.3,9,18
4.638,12.0,19.5,16.546,0.0,11,0,0,6,14,24.993,9,27,25,27.996,225.37,36.0,0.0,5,4
5.0,7.4,53.5,43.1,0.0,31,0,0,24,37,67.978,29,72,68,76.517,497.65,42.6,4.4,8,21
4.0,13.6,20.0,14.832,0.0,9,0,0,10,13,22.033,9,24,22,24.661,191.28,40.9,0.0,4,6
5.678,11.1,18.5,17.072,0.0,13,0,0,6,14,26.876,9,28,27,30.411,227.39,33.3,0.0,5,4
4.523,5.9,30.0,29.53,0.0,27,0,0,8,24,50.891,18,52,51,58.106,333.48,35.3,5.9,6,8
8.149,2.0,32.0,30.412,2.0,26,1,0,12,24,49.24,21,52,50,56.049,343.93,42.0,2.0,3,12
7.653,2.4,30.0,26.004,0.0,21,0,0,13,21,41.265,19,44,42,46.86,279.41,45.2,2.4,2,14
6.8,13.7,40.0,32.079,0.0,23,0,0,15,28,51.109,20,54,51,58.019,377.5,39.2,2.0,8,15
9.155,2.1,30.0,27.939,0.0,24,0,0,7,23,47.072,18,50,47,53.111,318.43,38.3,8.5,5,7
10.222,2.1,35.0,29.961,0.0,23,0,0,13,25,47.803,21,51,48,53.694,337.45,43.8,6.3,4,13
5.6,12.2,43.0,32.335,0.0,20,0,0,19,29,49.931,18,52,49,55.364,432.58,36.7,6.1,11,12
5.0,4.5,42.0,39.352,0.0,35,0,0,12,32,66.752,25,70,67,75.976,441.63,37.3,6.0,7,10
5.0,4.7,41.0,37.825,0.0,33,0,0,12,31,63.869,24,67,64,72.561,427.6,37.5,6.3,7,10
5.738,2.3,29.0,26.2,2.3,22,1,1,6,21,42.334,19,48,43,48.405,283.42,44.2,0.0,2,6
5.22,4.0,33.0,30.079,0.0,26,0,0,13,24,49.134,21,52,50,56.188,322.49,42.0,2.0,3,13
6.14,4.3,32.0,28.665,2.2,23,1,0,13,23,45.247,20,48,46,51.508,326.9,43.5,0.0,3,13
5.0,9.5,27.5,17.05,9.5,4,2,2,13,17,22.073,12,22,21,23.426,246.25,57.1,0.0,5,9
4.38,6.4,34.0,29.047,0.0,23,0,0,14,24,46.469,20,49,47,52.856,321.46,42.6,2.1,4,14
5.68,3.8,33.0,30.891,0.0,28,0,0,13,24,50.69,22,54,52,58.394,320.52,42.3,0.0,2,13
6.04,4.3,32.0,28.665,2.2,23,1,0,13,23,45.247,20,48,46,51.508,326.9,43.5,0.0,3,13
5.49,4.1,32.0,29.364,0.0,26,0,0,13,23,47.807,21,51,49,54.979,306.49,42.9,0.0,2,13
5.44,4.7,30.0,26.311,0.0,22,0,0,13,21,42.04,19,45,43,48.149,278.43,44.2,0.0,2,13
4.95,4.3,34.0,28.74,0.0,22,0,0,14,24,45.694,20,48,46,51.567,322.44,43.5,4.3,4,14
4.99,4.7,30.0,26.311,0.0,22,0,0,13,21,42.04,19,45,43,48.149,278.43,44.2,0.0,2,13
6.52,3.8,33.0,30.891,0.0,28,0,0,13,24,50.69,22,54,52,58.394,320.52,42.3,0.0,2,13
6.51,2.1,31.0,28.343,0.0,25,0,0,13,22,45.705,21,49,47,52.481,291.47,44.7,0.0,1,14
5.6,8.1,42.0,37.385,0.0,31,0,0,14,31,61.65,24,65,62,70.308,421.6,38.7,3.2,7,13
7.18,3.8,40.0,33.364,0.0,26,0,0,19,27,51.807,25,56,53,58.979,354.53,47.2,0.0,2,19
5.95,4.1,32.0,29.364,0.0,26,0,0,13,23,47.807,21,51,49,54.979,306.49,42.9,0.0,2,13
5.7,4.1,33.0,29.748,2.0,25,1,1,13,24,48.32,21,51,49,55.319,324.48,42.9,0.0,3,13
4.76,4.3,34.0,28.74,0.0,22,0,0,14,24,45.694,20,48,46,51.567,322.44,43.5,4.3,4,14
6.523,8.6,26.0,21.752,0.0,17,0,0,12,18,34.491,15,37,35,39.401,239.35,42.9,0.0,3,10
5.959,4.0,63.0,58.873,0.0,52,0,0,21,47,97.596,40,103,99,111.586,636.96,40.4,3.0,7,21
5.0,6.3,18.0,18.257,0.0,18,0,0,6,14,31.272,12,33,32,36.318,190.32,37.5,0.0,2,5
5.8,5.9,37.0,31.672,2.0,24,1,1,13,27,51.192,21,54,51,57.821,369.48,41.2,3.9,6,13
5.184,2.6,23.0,22.289,0.0,21,0,0,6,17,36.938,16,41,38,42.65,227.38,42.1,0.0,1,6
5.261,2.6,24.0,22.673,2.6,20,1,1,6,18,37.451,16,41,38,42.99,245.37,42.1,0.0,2,6
5.0,14.8,28.0,19.406,3.7,9,1,0,16,18,27.614,12,29,27,30.29,305.15,44.4,3.7,6,12
5.0,13.3,28.0,19.908,0.0,12,0,0,16,18,30.269,13,32,30,33.863,240.29,43.3,3.3,5,12
5.153,14.8,28.0,19.208,3.7,9,1,0,16,18,27.709,12,29,27,30.392,260.7,44.4,3.7,6,12
5.0,10.6,34.0,29.292,2.1,22,1,0,10,25,47.516,16,49,47,53.511,383.95,34.0,4.3,9,8
5.575,5.9,37.0,32.588,2.0,24,1,0,13,27,50.752,21,54,51,57.136,402.0,41.2,2.0,6,13
6.971,1.8,36.0,33.804,0.0,30,0,0,13,27,56.396,23,59,57,64.147,368.54,40.4,5.3,4,13
9.772,3.1,46.0,40.089,0.0,32,0,0,19,33,64.44,28,68,65,72.853,444.62,43.1,4.6,5,19
4.523,5.2,34.0,33.584,0.0,31,0,0,8,27,57.658,21,60,58,65.936,373.55,36.2,5.2,6,8
4.523,9.4,44.5,34.18,0.0,23,0,0,20,30,53.52,21,56,53,59.777,425.56,39.6,5.7,9,15
5.0,8.2,41.0,36.768,1.6,30,1,1,13,31,61.163,23,64,61,69.648,427.58,37.7,3.3,8,13
4.584,0.0,18.0,20.51,0.0,22,0,0,6,15,36.047,14,37,37,41.777,206.36,37.8,2.7,1,6
5.0,6.1,42.0,39.132,0.0,34,0,0,13,32,65.643,25,69,66,74.849,438.63,37.9,4.5,7,13
5.0,8.2,41.0,36.768,1.6,30,1,1,13,31,61.163,23,64,61,69.648,427.58,37.7,3.3,8,13
5.0,7.7,42.0,38.627,0.0,33,0,0,13,32,64.861,24,68,65,73.933,439.62,36.9,4.6,8,13
5.0,7.8,44.0,39.062,4.7,30,3,3,13,34,65.072,24,67,64,73.742,477.59,37.5,3.1,10,13
5.0,7.0,50.0,43.439,0.0,35,0,0,19,36,70.418,29,75,71,80.138,485.69,40.8,2.8,7,19
5.0,7.7,42.0,39.099,0.0,33,0,0,13,32,64.61,24,68,65,73.643,455.69,36.9,3.1,8,13
6.0,5.5,41.0,35.026,3.6,25,2,1,15,30,55.4,23,57,55,62.18,429.96,41.8,3.6,7,16
5.553,5.8,32.0,30.53,0.0,27,0,0,8,25,51.891,19,54,52,59.106,345.49,36.5,5.8,6,8
5.377,5.8,33.0,31.358,1.9,26,1,0,8,26,52.214,19,54,52,59.05,379.93,36.5,5.8,7,8
6.0,3.7,31.0,31.231,1.9,29,1,1,7,25,53.741,20,56,54,61.568,348.51,37.0,3.7,5,7
5.432,4.8,37.0,36.111,0.0,33,0,0,8,29,61.541,23,65,62,70.351,399.59,37.1,4.8,6,8
5.0,5.1,36.0,34.584,0.0,31,0,0,8,28,58.658,22,62,59,66.936,385.56,37.3,5.1,6,8
5.31,5.8,32.0,30.53,0.0,27,0,0,8,25,51.891,19,54,52,59.106,345.49,36.5,5.8,6,8
5.574,2.7,16.0,19.816,0.0,23,0,0,0,14,35.821,13,39,37,42.066,193.37,35.1,0.0,1,0
6.096,2.9,22.0,20.763,0.0,19,0,0,0,16,34.054,15,41,35,39.235,213.35,42.9,0.0,1,0
5.57,3.0,13.0,17.289,0.0,21,0,0,0,12,31.938,11,34,33,37.65,167.33,33.3,0.0,1,0
6.474,4.0,42.0,32.17,0.0,22,0,0,19,28,50.349,22,53,50,55.986,378.46,44.0,8.0,6,15
4.58,2.9,13.0,17.982,0.0,22,0,0,0,13,34.534,10,35,35,40.277,188.33,28.6,5.7,3,0
4.0,2.9,13.0,17.982,0.0,22,0,0,0,13,34.534,10,35,35,40.277,188.33,28.6,5.7,3,0
4.99,2.6,21.0,21.982,0.0,22,0,0,6,17,38.534,14,40,39,44.277,236.37,35.9,5.1,3,6
4.48,2.6,21.0,21.982,0.0,22,0,0,6,17,38.534,14,40,39,44.277,236.37,35.9,5.1,3,6
8.36,2.0,31.0,29.036,0.0,26,0,0,12,23,48.301,20,51,49,55.107,312.47,40.8,4.1,3,12
8.77,2.0,31.0,29.036,0.0,26,0,0,12,23,48.301,20,51,49,55.107,312.47,40.8,4.1,3,12
6.97,2.0,31.0,29.036,0.0,26,0,0,12,23,48.301,20,51,49,55.107,312.47,40.8,4.1,3,12
5.12,1.9,32.0,30.563,0.0,28,0,0,12,24,51.185,21,54,52,58.522,326.5,40.4,3.8,3,12
4.5,1.9,32.0,30.563,0.0,28,0,0,12,24,51.185,21,54,52,58.522,326.5,40.4,3.8,3,12
8.27,2.2,30.0,27.246,0.0,23,0,0,12,22,44.476,19,47,45,50.484,297.43,42.2,4.4,3,12
