pXC50,nHet,nO,RBF,Mi,nN,nAT
5.928,6,1,0.097,1.13,5,59.0
6.357,6,1,0.097,1.13,5,59.0
6.42,10,2,0.117,1.149,5,57.0
6.481,10,2,0.117,1.149,5,57.0
6.108,9,1,0.102,1.148,5,56.0
6.268,9,2,0.117,1.143,5,57.0
6.367,8,2,0.117,1.137,5,57.0
5.714,9,1,0.113,1.147,5,59.0
6.009,7,1,0.102,1.136,5,56.0
6.42,7,1,0.102,1.136,5,56.0
5.379,8,1,0.107,1.135,5,53.0
6.114,8,2,0.111,1.137,5,60.0
5.545,8,2,0.155,1.14,5,56.0
5.873,8,2,0.111,1.137,5,60.0
4.605,9,2,0.114,1.132,6,66.0
5.042,11,4,0.117,1.14,6,74.0
4.377,4,4,0.0,1.132,0,44.0
4.62,10,6,0.139,1.125,4,96.0
6.924,45,21,0.182,1.148,24,288.0
7.807,49,23,0.184,1.148,26,317.0
4.955,5,4,0.13,1.13,1,23.0
4.377,2,0,0.0,1.102,2,22.0
7.824,46,23,0.244,1.147,23,329.0
7.842,46,23,0.237,1.147,23,305.0
8.638,82,41,0.224,1.149,41,423.0
7.703,46,22,0.238,1.147,24,321.0
8.301,41,21,0.201,1.146,20,235.0
8.476,83,40,0.22,1.147,43,442.0
6.967,46,22,0.239,1.147,24,324.0
8.722,53,26,0.187,1.144,27,313.0
7.827,46,23,0.235,1.147,23,299.0
4.0,21,11,0.094,1.134,10,132.0
7.292,46,22,0.241,1.147,24,333.0
7.553,46,22,0.239,1.147,24,324.0
7.688,51,28,0.25,1.148,23,313.0
8.745,27,15,0.202,1.144,12,161.0
7.319,44,21,0.237,1.147,23,314.0
7.288,46,23,0.242,1.147,23,323.0
7.125,44,21,0.247,1.148,23,310.0
7.793,46,23,0.239,1.147,23,311.0
7.62,45,22,0.229,1.148,23,276.0
7.886,41,20,0.198,1.147,21,233.0
7.74,46,23,0.241,1.147,23,317.0
5.878,42,20,0.246,1.147,22,303.0
7.288,46,22,0.239,1.147,24,324.0
7.62,45,21,0.225,1.149,24,277.0
7.658,46,22,0.239,1.147,24,324.0
8.959,52,26,0.215,1.143,25,307.0
7.824,46,22,0.239,1.147,24,324.0
6.796,43,21,0.226,1.146,22,288.0
6.669,48,22,0.251,1.148,26,345.0
7.799,45,22,0.236,1.147,23,319.0
7.286,46,23,0.239,1.147,23,323.0
4.616,5,0,0.119,1.121,4,40.0
8.759,27,14,0.201,1.145,13,162.0
7.456,46,22,0.235,1.147,24,324.0
6.662,85,42,0.224,1.15,43,435.0
8.854,73,33,0.216,1.149,40,401.0
8.009,83,42,0.224,1.149,41,427.0
9.222,65,30,0.199,1.144,35,402.0
8.824,47,24,0.186,1.146,23,286.0
7.695,44,21,0.238,1.147,23,317.0
