pXC50,MW,nBO,Sv,nSK,SCBO,Sp,nCsp,nTB,Se
5.523,537.48,40,42.207,37,53.0,44.239,1,1,63.64
5.523,551.51,41,43.733,38,54.0,46.0,1,1,66.523
8.328,474.53,37,37.701,34,46.5,38.336,0,0,60.53
8.194,445.48,34,35.153,32,44.5,35.569,0,0,55.545
5.523,551.51,41,43.733,38,54.0,46.0,1,1,66.523
8.0,434.35,31,33.132,29,40.5,34.71,0,0,50.771
5.523,524.61,41,42.709,38,53.0,43.887,1,1,67.156
5.523,493.47,37,39.777,34,49.0,42.33,1,1,59.985
5.523,491.05,38,40.86,35,50.0,43.171,1,1,63.058
8.0,461.48,36,35.868,33,45.5,36.023,0,0,56.872
5.523,535.51,40,43.019,37,53.0,45.546,1,1,65.196
5.523,565.54,42,45.26,39,55.0,47.762,1,1,69.407
5.523,535.51,40,43.019,37,53.0,45.546,1,1,65.196
5.523,549.54,41,44.545,38,54.0,47.307,1,1,68.08
5.523,551.51,41,43.733,38,54.0,46.0,1,1,66.523
5.523,565.54,42,45.26,39,55.0,47.762,1,1,69.407
5.523,565.54,42,45.26,39,55.0,47.762,1,1,69.407
5.523,510.58,40,41.182,37,52.0,42.125,1,1,64.272
5.523,549.54,41,44.545,38,54.0,47.307,1,1,68.08
5.0,462.61,37,39.578,33,43.0,41.677,0,0,66.418
5.523,537.68,41,43.537,38,55.0,45.563,1,1,67.76
5.523,564.68,45,46.762,41,57.0,48.41,1,1,73.923
5.523,574.99,42,45.074,38,52.0,48.165,0,0,69.254
5.523,445.55,36,37.867,33,48.0,39.483,1,1,58.261
5.523,517.62,41,43.35,38,54.0,44.915,1,1,67.683
5.523,513.68,42,44.974,38,54.0,47.529,1,1,70.796
5.523,528.7,43,45.996,39,55.0,48.535,1,1,72.898
5.523,528.12,43,44.693,38,56.0,47.483,1,1,68.716
5.523,514.67,42,44.469,38,54.0,46.773,1,1,70.014
5.523,590.11,45,46.81,41,55.0,48.478,0,0,74.356
5.523,574.99,42,45.074,38,52.0,48.165,0,0,69.254
5.523,548.55,42,45.051,38,54.0,48.063,1,1,68.861
5.523,546.58,42,45.863,38,54.0,49.37,1,1,70.418
5.523,524.1,41,43.802,37,51.0,46.387,0,0,69.119
5.523,540.55,41,44.246,37,51.0,47.307,0,0,68.93
5.523,524.1,41,43.802,37,51.0,46.387,0,0,69.119
5.523,487.59,39,41.109,36,52.0,42.699,1,1,63.472
5.523,534.12,42,45.133,38,53.0,47.904,0,0,70.934
5.523,523.65,40,42.011,37,54.0,43.801,1,1,64.876
5.523,531.12,42,44.913,38,54.0,47.694,1,1,69.825
5.523,574.11,44,46.095,40,54.0,48.023,0,0,73.028
5.523,540.55,41,44.246,37,51.0,47.307,0,0,68.93
5.523,544.7,43,46.711,40,56.0,48.989,1,1,74.225
5.523,579.69,47,48.877,43,63.0,50.677,1,1,74.567
5.523,536.14,42,45.66,38,52.0,48.665,0,0,72.818
5.523,563.16,46,48.198,41,62.0,51.239,1,1,72.498
5.523,545.15,43,46.44,39,55.0,49.455,1,1,72.709
5.523,608.16,49,50.123,44,66.0,52.392,1,1,75.37
5.523,596.72,49,50.048,44,65.0,51.955,1,1,76.596
5.523,574.99,42,45.074,38,52.0,48.165,0,0,69.254
5.523,574.99,42,45.074,38,52.0,48.165,0,0,69.254
5.523,547.57,42,45.357,38,54.0,48.614,1,1,69.636
5.523,574.11,44,46.095,40,54.0,48.023,0,0,73.028
5.523,499.65,41,43.448,37,53.0,45.768,1,1,67.912
5.523,499.65,41,43.448,37,53.0,45.768,1,1,67.912
5.523,580.76,44,47.612,41,58.0,50.091,1,1,75.629
5.523,542.09,42,44.185,38,52.0,46.324,0,0,69.632
5.0,450.5,38,36.795,33,47.0,37.597,0,0,57.072
6.018,453.55,36,37.777,33,46.5,39.182,0,0,59.658
4.523,449.53,34,36.008,32,43.0,36.887,0,0,59.305
5.523,516.59,41,41.424,37,50.0,42.341,1,1,66.483
4.0,468.53,34,36.943,33,42.0,37.551,0,0,61.741
5.523,518.61,40,41.95,37,49.0,43.103,1,1,68.367
5.523,532.64,41,43.477,38,50.0,44.864,1,1,71.25
5.523,565.54,42,45.26,39,55.0,47.762,1,1,69.407
5.523,579.57,43,46.787,40,56.0,49.523,1,1,72.291
5.523,551.51,41,43.733,38,54.0,46.0,1,1,66.523
5.523,483.48,37,39.304,33,46.0,42.091,1,1,60.869
5.523,592.57,44,47.282,41,58.0,49.767,1,1,72.509
5.523,507.5,38,41.304,35,50.0,44.091,1,1,62.869
8.167,447.4,32,34.965,30,41.5,37.023,0,0,54.429
5.523,477.02,37,39.333,34,49.0,41.409,1,1,60.174
5.523,474.02,38,39.113,34,51.0,41.199,1,1,59.065
5.523,459.58,37,39.394,34,49.0,41.245,1,1,61.145
5.523,578.71,46,48.289,42,58.0,50.171,1,1,76.807
5.523,579.61,46,48.643,41,62.0,52.16,1,1,72.309
5.523,540.55,41,44.246,37,51.0,47.307,0,0,68.93
5.523,531.12,42,44.913,38,54.0,47.694,1,1,69.825
5.523,581.13,45,47.207,41,57.0,49.33,1,1,73.734
5.523,580.14,45,47.712,41,57.0,50.086,1,1,74.516
5.523,513.68,42,44.974,38,54.0,47.529,1,1,70.796
5.523,561.6,43,46.884,39,55.0,50.375,1,1,72.52
5.523,595.16,46,48.733,42,58.0,51.091,1,1,76.618
5.523,542.15,44,46.22,39,57.0,49.245,1,1,71.599
5.523,506.11,40,43.419,36,50.0,46.449,0,0,68.607
5.523,530.13,42,45.419,38,54.0,48.449,1,1,70.607
5.523,549.71,45,47.974,41,60.0,50.529,1,1,73.796
5.523,537.48,40,42.207,37,53.0,44.239,1,1,63.64
5.523,524.1,41,43.802,37,51.0,46.387,0,0,69.119
5.523,582.11,45,46.9,41,57.0,48.779,1,1,72.959
8.167,472.51,38,37.175,34,47.5,37.574,0,0,58.647
5.0,439.55,37,38.003,33,49.0,39.756,0,0,58.007
6.0,531.61,42,42.445,38,51.5,43.347,0,0,68.585
5.013,622.78,47,49.479,43,57.0,51.461,0,0,81.563
5.337,601.09,46,46.778,42,58.5,47.961,0,0,72.69
8.796,2421.29,174,197.029,168,212.0,207.377,0,0,333.86
8.0,494.59,40,40.845,36,50.0,42.159,0,0,64.901
