pXC50,nH,Sv,nBT,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO
6.921,23,32.48,53,8.949,42.0,46.0,0.998,1.115,0.706,0.65,447.43,4.0,16,50,0,16,30
5.385,37,37.497,67,6.44,34.8,56.1,0.991,1.137,0.62,0.568,425.07,3.0,6,66,0,7,30
6.143,37,40.248,71,7.067,32.9,52.9,1.013,1.152,0.611,0.575,494.69,2.9,6,70,0,8,34
7.0,35,38.292,67,6.98,34.8,53.0,1.006,1.149,0.623,0.58,460.67,3.0,6,66,0,9,32
5.613,37,38.819,69,6.804,33.8,54.4,1.004,1.151,0.615,0.571,462.69,2.9,6,68,0,8,32
5.0,35,39.007,68,7.114,34.3,52.2,1.011,1.15,0.62,0.582,476.67,3.0,6,67,0,9,33
5.307,41,41.872,75,6.632,33.8,55.4,1.0,1.15,0.613,0.566,490.75,2.7,6,74,0,8,34
6.602,22,32.556,51,8.579,49.0,44.9,0.987,1.104,0.718,0.664,420.37,2.0,18,49,0,20,29
5.337,19,29.711,46,9.44,45.5,43.2,0.995,1.107,0.735,0.675,415.38,4.5,16,44,0,17,27
4.046,22,31.271,50,8.591,45.8,45.8,0.994,1.111,0.701,0.651,412.35,2.1,16,48,0,18,28
6.301,22,33.776,54,8.392,43.1,43.1,1.004,1.116,0.707,0.662,427.99,5.9,18,51,0,20,32
7.886,22,33.776,54,8.392,43.1,43.1,1.004,1.116,0.707,0.662,427.99,5.9,18,51,0,20,32
8.523,22,32.875,53,7.839,46.0,44.0,0.996,1.116,0.699,0.657,391.93,6.0,18,50,0,19,31
6.5,24,32.687,54,7.411,45.1,47.1,0.987,1.118,0.691,0.641,377.95,5.9,18,51,0,18,30
7.699,26,34.492,58,7.527,39.3,46.4,1.018,1.149,0.636,0.616,421.51,5.4,12,56,0,13,32
7.0,20,32.116,50,8.177,45.8,41.7,1.004,1.11,0.706,0.669,392.51,4.2,18,48,0,21,30
7.553,25,35.476,57,7.629,43.6,45.5,0.996,1.116,0.69,0.645,419.59,5.5,18,55,0,21,32
7.201,27,37.335,61,7.846,43.1,46.6,0.996,1.115,0.695,0.644,455.06,3.4,18,58,0,20,34
8.222,29,36.378,62,7.611,37.3,49.2,0.999,1.13,0.667,0.617,449.07,6.8,12,59,0,14,33
7.495,21,31.369,51,7.936,43.8,43.8,1.0,1.123,0.691,0.654,380.91,8.3,17,48,0,18,30
7.0,25,33.292,55,8.567,42.3,48.1,0.989,1.114,0.704,0.64,445.46,3.8,16,52,0,16,30
6.0,23,33.194,53,9.087,41.2,45.1,1.004,1.117,0.701,0.651,463.43,3.9,16,51,0,17,30
6.585,23,31.765,51,8.805,42.9,46.9,0.991,1.113,0.711,0.648,431.43,4.1,16,49,0,17,28
4.939,23,32.765,52,8.869,44.0,46.0,0.991,1.111,0.717,0.655,443.44,4.0,16,50,0,17,29
6.638,23,32.765,52,8.869,44.0,46.0,0.991,1.111,0.717,0.655,443.44,4.0,16,50,0,17,29
5.6,25,34.289,57,7.176,44.4,46.3,0.994,1.12,0.672,0.635,387.52,5.6,18,54,0,19,32
6.357,39,41.345,74,6.788,34.7,54.2,1.002,1.148,0.62,0.574,488.73,2.8,6,72,0,8,35
7.495,26,32.83,55,7.698,37.7,49.1,0.999,1.128,0.671,0.619,408.01,5.7,12,53,0,14,29
8.721,28,34.75,58,6.957,40.4,49.1,1.0,1.127,0.644,0.61,396.53,3.5,12,57,0,16,30
8.456,29,36.158,60,7.818,43.1,50.0,0.985,1.118,0.681,0.623,453.46,3.4,17,58,0,18,31
7.452,28,33.851,57,7.826,41.8,50.9,0.988,1.119,0.671,0.615,430.42,1.8,12,55,0,13,29
7.648,29,32.826,56,6.391,41.8,52.7,0.984,1.122,0.647,0.597,351.53,1.8,12,55,0,14,27
8.174,28,33.21,56,6.719,41.8,50.9,0.993,1.129,0.646,0.604,369.52,1.8,12,55,0,14,28
7.54,30,35.093,59,7.732,39.7,51.7,0.993,1.124,0.658,0.605,448.44,1.7,12,58,0,13,29
6.62,29,29.627,53,6.067,36.5,55.8,0.983,1.137,0.622,0.57,315.51,5.8,10,52,0,11,24
7.721,22,30.271,49,8.518,44.7,46.8,0.994,1.113,0.695,0.644,400.34,2.1,12,47,0,14,27
8.638,48,42.545,78,5.549,35.9,61.5,0.969,1.129,0.62,0.545,432.83,0.0,0,78,0,4,30
7.659,24,31.798,53,8.287,44.0,48.0,0.992,1.115,0.688,0.636,414.37,2.0,12,50,0,13,29
8.523,22,30.271,48,8.518,44.7,46.8,0.994,1.113,0.695,0.644,400.34,2.1,12,47,0,15,26
5.73,21,31.238,49,9.136,44.7,44.7,0.993,1.109,0.725,0.665,429.41,4.3,16,47,0,18,28
9.658,50,44.072,81,5.517,35.8,61.7,0.969,1.13,0.619,0.544,446.86,0.0,0,81,0,4,31
6.268,50,44.072,81,5.517,35.8,61.7,0.969,1.13,0.619,0.544,446.86,0.0,0,81,0,4,31
8.456,29,36.158,60,7.818,43.1,50.0,0.985,1.118,0.681,0.623,453.46,3.4,17,58,0,18,31
7.796,22,32.556,51,8.579,49.0,44.9,0.987,1.104,0.718,0.664,420.37,2.0,18,49,0,20,29
7.87,22,31.743,50,8.925,45.8,45.8,0.989,1.105,0.726,0.661,428.42,2.1,16,48,0,18,28
6.301,22,31.271,50,8.591,45.8,45.8,0.994,1.111,0.701,0.651,412.35,2.1,16,48,0,18,28
7.539,21,30.766,49,8.794,44.7,44.7,0.998,1.115,0.7,0.655,413.34,4.3,16,47,0,18,28
7.538,23,32.982,53,8.713,43.1,45.1,1.002,1.127,0.689,0.647,444.38,5.9,16,51,0,18,30
7.41,28,34.653,58,7.901,41.1,50.0,0.988,1.124,0.674,0.619,442.44,5.4,16,56,0,17,30
7.15,33,34.285,61,6.276,36.7,55.0,0.992,1.14,0.617,0.571,376.57,3.3,6,60,0,8,28
7.947,33,38.729,67,6.892,40.6,51.6,0.989,1.125,0.656,0.605,441.06,3.1,12,64,0,13,34
7.708,30,36.179,61,7.737,40.7,50.8,0.987,1.125,0.669,0.613,456.47,5.1,16,59,0,17,31
5.076,48,42.545,78,5.549,35.9,61.5,0.969,1.129,0.62,0.545,432.83,0.0,0,78,0,4,30
8.387,29,35.873,60,7.887,41.4,50.0,0.991,1.122,0.671,0.618,457.45,3.4,12,58,0,14,31
8.538,27,34.818,57,8.354,41.8,49.1,0.988,1.116,0.698,0.633,459.49,3.6,16,55,0,17,30
6.793,25,35.237,58,8.972,38.2,45.5,1.008,1.126,0.687,0.641,493.47,7.3,12,55,0,15,33
7.432,24,34.732,57,9.157,37.0,44.4,1.012,1.13,0.685,0.643,494.46,9.3,12,54,0,15,33
