pXC50,nHM,nX,X.,nCL,nAB,nBM,nHet,nN,AMW,Me,N.,nDB,RBF,MW,Mp
5.0,2,2,6.9,2,12,14,4,0,10.109,1.021,0.0,2,0.1,293.15,0.765
4.071,1,0,0.0,0,23,24,5,1,8.148,1.0,2.0,1,0.148,415.54,0.718
4.75,1,0,0.0,0,23,24,4,0,7.972,0.996,0.0,1,0.145,414.55,0.719
5.959,2,2,3.6,2,24,25,5,0,8.68,1.004,0.0,1,0.138,477.4,0.731
4.569,1,0,0.0,0,23,24,4,0,7.972,0.996,0.0,1,0.145,414.55,0.719
4.924,0,0,0.0,0,24,25,3,0,7.285,0.991,0.0,1,0.148,422.55,0.694
4.319,1,0,0.0,0,23,24,4,0,8.048,0.996,0.0,1,0.123,426.56,0.724
4.469,0,0,0.0,0,18,19,2,0,7.375,0.99,0.0,1,0.116,302.39,0.702
5.0,1,1,2.1,1,12,16,6,3,8.125,1.005,6.4,4,0.102,381.89,0.694
4.013,0,0,0.0,0,24,25,3,0,7.428,0.992,0.0,1,0.138,408.52,0.7
5.022,0,0,0.0,0,24,25,3,0,7.428,0.992,0.0,1,0.138,408.52,0.7
5.338,1,4,7.0,0,16,19,10,1,8.729,1.036,1.8,3,0.083,497.55,0.669
6.0,0,0,0.0,0,23,25,5,1,7.509,0.998,1.6,2,0.121,465.58,0.689
5.0,1,0,0.0,0,0,3,6,0,6.242,0.992,0.0,3,0.2,374.51,0.611
4.886,0,0,0.0,0,0,2,5,1,5.789,0.99,1.7,2,0.237,341.55,0.589
4.886,0,0,0.0,0,0,3,5,1,5.957,0.992,1.8,3,0.228,339.53,0.597
4.886,0,0,0.0,0,6,9,5,1,6.537,0.996,1.8,3,0.196,359.51,0.627
4.886,1,0,0.0,0,6,9,6,1,6.992,0.997,1.8,3,0.211,391.58,0.645
4.886,0,0,0.0,0,0,3,5,1,6.061,0.992,1.7,3,0.169,351.54,0.604
4.886,1,0,0.0,0,11,13,8,5,7.453,1.001,9.6,2,0.185,387.56,0.658
4.886,0,0,0.0,0,0,3,5,1,5.957,0.992,1.8,3,0.228,339.53,0.597
4.886,0,0,0.0,0,0,2,5,1,5.789,0.99,1.7,2,0.237,341.55,0.589
6.5,1,1,2.0,1,18,20,8,4,8.631,1.016,8.2,2,0.077,422.9,0.701
5.8,2,1,2.0,1,12,16,10,3,8.938,1.026,6.1,4,0.098,437.94,0.687
9.2,2,1,1.7,1,6,10,7,1,7.458,1.001,1.7,4,0.148,440.05,0.657
7.602,0,0,0.0,0,0,4,5,0,6.185,0.996,0.0,4,0.211,352.52,0.604
5.022,2,0,0.0,0,22,26,9,3,7.968,1.002,4.3,4,0.097,549.77,0.693
4.0,1,0,0.0,0,12,14,3,0,7.9,0.994,0.0,2,0.135,284.4,0.712
4.201,2,2,6.3,2,12,14,4,0,9.599,1.015,0.0,2,0.121,307.18,0.749
5.569,1,3,4.6,0,6,7,9,0,7.364,1.018,0.0,1,0.197,478.63,0.622
6.04,1,0,0.0,0,6,7,6,0,6.623,0.996,0.0,1,0.206,410.63,0.627
6.439,1,1,1.6,0,6,7,7,0,6.913,1.004,0.0,1,0.206,428.62,0.626
5.0,2,1,1.6,1,6,7,7,0,7.179,1.001,0.0,1,0.206,445.07,0.641
5.0,2,0,0.0,0,5,6,8,1,7.201,1.003,1.7,1,0.22,417.65,0.638
5.337,1,0,0.0,0,6,7,6,0,6.533,0.994,0.0,1,0.197,424.66,0.625
4.3,0,0,0.0,0,11,16,6,2,8.054,1.013,4.4,5,0.063,362.41,0.687
4.886,0,0,0.0,0,11,13,7,5,6.729,0.996,8.8,2,0.186,383.55,0.633
8.35,2,1,1.7,1,29,30,5,1,8.501,0.996,1.7,1,0.125,510.08,0.743
4.77,0,1,1.9,0,18,21,4,0,7.594,1.002,0.0,3,0.145,402.49,0.688
4.638,0,0,0.0,0,18,19,3,0,6.816,0.989,0.0,1,0.169,388.54,0.667
4.167,0,0,0.0,0,12,15,3,0,7.359,0.998,0.0,3,0.122,294.37,0.68
5.523,2,2,3.7,2,18,21,6,0,8.692,1.01,0.0,3,0.143,469.38,0.716
5.046,0,0,0.0,0,18,19,3,0,7.028,0.99,0.0,1,0.138,386.52,0.677
4.347,0,0,0.0,0,18,21,3,0,7.584,0.996,0.0,3,0.143,356.44,0.702
5.046,0,0,0.0,0,18,20,4,0,7.188,0.996,0.0,2,0.172,402.52,0.674
6.585,2,7,13.5,1,23,23,11,1,10.46,1.057,1.9,0,0.109,543.94,0.72
8.373,2,4,8.2,1,23,23,8,1,9.713,1.031,2.0,0,0.115,475.94,0.732
6.796,2,1,2.1,1,23,24,6,2,9.212,1.007,4.3,0,0.12,432.95,0.756
7.214,3,1,1.6,1,29,31,7,1,8.953,1.003,1.6,2,0.138,546.14,0.749
5.174,2,2,3.8,2,18,21,5,0,8.554,1.004,0.0,3,0.145,453.38,0.721
7.502,2,1,2.0,1,23,24,5,0,8.877,1.004,0.0,1,0.135,434.96,0.745
8.461,2,1,2.2,1,23,24,6,1,9.376,1.012,2.2,1,0.125,421.92,0.755
8.35,2,4,8.0,1,23,23,9,1,9.839,1.037,2.0,0,0.113,491.94,0.726
6.0,0,0,0.0,0,23,24,6,2,7.383,0.998,3.0,1,0.097,494.63,0.679
8.3,1,1,2.0,1,21,22,6,3,8.284,1.005,6.1,1,0.094,405.91,0.707
8.3,1,1,2.5,1,15,16,6,2,8.32,1.014,5.0,1,0.095,332.81,0.683
7.3,1,1,2.6,1,15,16,6,2,8.705,1.018,5.3,1,0.098,330.79,0.699
7.6,1,1,2.5,1,15,16,6,2,8.32,1.014,5.0,1,0.119,332.81,0.683
8.4,1,1,2.1,1,15,16,6,2,7.934,1.007,4.3,1,0.08,372.88,0.678
7.2,1,1,2.3,1,15,16,6,2,8.066,1.011,4.7,1,0.089,346.84,0.676
6.6,1,1,2.5,1,15,16,6,2,8.32,1.014,5.0,1,0.095,332.81,0.683
6.9,1,1,2.4,1,15,16,6,3,8.093,1.009,7.3,1,0.093,331.83,0.68
6.3,1,1,2.5,1,15,16,7,4,8.32,1.014,10.0,1,0.095,332.82,0.678
6.0,1,1,2.5,1,15,16,7,4,8.32,1.014,10.0,1,0.095,332.82,0.678
6.0,1,1,2.5,1,15,16,7,4,8.32,1.014,10.0,1,0.095,332.82,0.678
7.3,1,1,2.0,1,25,25,6,4,8.099,1.0,8.0,0,0.074,404.93,0.704
7.2,1,1,1.7,1,21,22,7,4,7.644,1.0,6.8,1,0.113,451.01,0.677
7.2,1,1,1.8,1,15,16,7,3,7.563,1.004,5.5,1,0.086,415.96,0.661
6.5,1,1,1.6,1,15,16,7,3,7.279,1.0,4.9,1,0.094,444.02,0.654
6.1,1,1,1.8,1,15,16,7,4,7.41,1.0,7.1,1,0.085,414.98,0.659
7.0,1,1,1.8,1,15,16,7,4,7.41,1.0,7.1,1,0.085,414.98,0.659
7.3,1,1,1.9,1,15,16,8,4,7.721,1.008,7.4,1,0.088,416.95,0.66
8.699,1,1,2.4,1,21,22,6,2,8.947,1.017,4.9,1,0.091,366.82,0.721
8.0,1,1,2.0,1,21,22,6,3,7.999,1.002,5.9,1,0.093,407.93,0.694
8.3,1,1,2.4,1,21,22,6,3,8.71,1.011,7.1,1,0.089,365.84,0.717
8.0,1,1,1.9,1,21,22,6,3,7.814,1.0,5.6,1,0.088,421.96,0.688
7.7,1,1,1.7,1,21,22,7,4,7.717,1.0,6.7,1,0.094,463.02,0.682
7.2,1,1,1.7,1,21,22,7,4,7.717,1.0,6.7,1,0.094,463.02,0.682
7.0,1,1,1.8,1,21,22,7,4,7.877,1.002,7.0,1,0.082,448.99,0.687
7.4,1,2,3.5,1,21,22,8,4,8.193,1.011,7.0,1,0.082,466.98,0.686
7.6,1,4,6.3,1,21,22,10,4,8.429,1.022,6.3,1,0.09,531.02,0.675
8.1,1,1,1.7,1,21,22,7,3,7.864,1.004,5.1,1,0.079,464.0,0.684
8.2,1,1,1.8,1,21,22,7,3,8.035,1.006,5.4,1,0.1,449.97,0.69
7.6,1,4,7.7,1,21,22,10,3,9.19,1.038,5.8,1,0.109,477.9,0.686
8.0,1,1,1.8,1,21,22,8,4,8.199,1.01,7.3,1,0.085,450.96,0.688
5.523,1,0,0.0,0,29,33,7,2,7.85,0.998,2.7,4,0.113,588.77,0.705
6.0,0,0,0.0,0,22,26,10,4,7.626,1.01,5.5,4,0.184,556.67,0.663
5.602,0,0,0.0,0,23,25,4,1,7.509,0.995,1.7,2,0.097,435.55,0.698
5.0,0,0,0.0,0,16,20,10,3,7.375,1.012,4.2,4,0.219,523.64,0.643
6.0,0,0,0.0,0,18,20,8,1,7.856,1.017,1.7,2,0.129,463.52,0.667
5.018,0,0,0.0,0,18,20,7,1,7.716,1.012,1.7,2,0.131,447.52,0.67
6.0,0,0,0.0,0,18,20,6,1,7.571,1.006,1.8,2,0.133,431.52,0.674
5.3,0,0,0.0,0,11,16,6,2,8.898,1.026,5.6,5,0.051,320.32,0.712
5.495,0,0,0.0,0,6,8,5,1,6.343,0.994,1.8,2,0.207,361.53,0.618
5.495,0,0,0.0,0,6,8,6,1,6.337,0.996,1.6,2,0.215,405.59,0.613
8.18,1,1,2.1,1,24,25,5,1,8.664,1.007,2.1,1,0.118,415.89,0.731
5.495,0,0,0.0,0,12,14,6,1,6.671,0.996,1.5,2,0.2,453.63,0.636
7.4,1,1,2.0,1,24,25,4,0,8.467,1.003,0.0,1,0.115,414.9,0.731
4.699,2,1,1.8,1,16,19,8,1,8.4,1.013,1.8,3,0.103,462.0,0.689
8.45,1,1,2.2,1,23,24,6,2,8.802,1.013,4.3,1,0.122,404.87,0.724
7.28,1,1,2.1,1,24,25,5,1,8.664,1.007,2.1,1,0.118,415.89,0.731
6.0,1,1,2.2,1,23,24,6,2,8.802,1.013,4.3,1,0.122,404.87,0.724
6.0,1,1,2.2,1,23,24,7,3,9.019,1.018,6.7,1,0.125,405.86,0.724
8.37,1,1,2.0,1,18,20,4,0,8.098,1.001,0.0,2,0.113,404.91,0.712
7.81,1,1,2.0,1,23,24,5,1,8.358,1.005,2.0,1,0.113,417.91,0.717
5.8,0,0,0.0,0,18,19,4,1,7.392,0.998,2.1,1,0.163,347.44,0.68
5.155,1,3,6.7,1,16,17,6,1,8.663,1.021,2.2,1,0.083,389.85,0.695
6.86,1,1,2.1,1,24,25,5,1,8.664,1.007,2.1,1,0.118,415.89,0.731
7.55,1,1,2.1,1,24,25,5,1,8.664,1.007,2.1,1,0.118,415.89,0.731
9.889,3,3,7.1,2,17,18,8,2,11.194,1.027,4.8,1,0.136,470.16,0.751
5.31,1,0,0.0,0,23,23,5,4,7.558,0.987,7.5,0,0.161,400.59,0.703
7.373,3,1,2.1,1,23,25,7,1,9.5,1.011,2.1,2,0.118,456.01,0.758
7.16,1,1,2.2,0,17,18,7,2,9.376,1.015,4.3,1,0.146,431.31,0.696
6.01,1,1,2.0,0,17,18,6,2,8.694,1.003,3.9,1,0.17,443.37,0.688
6.28,1,1,2.2,0,17,18,6,2,9.229,1.008,4.4,1,0.128,415.31,0.702
5.7,1,1,2.6,0,17,18,6,2,9.929,1.015,5.1,1,0.146,387.25,0.719
7.82,1,1,2.4,0,17,18,6,2,9.554,1.012,4.8,1,0.136,401.28,0.71
7.26,1,1,2.6,0,17,18,6,2,9.929,1.015,5.1,1,0.146,387.25,0.719
5.7,1,1,2.2,0,17,19,8,3,9.659,1.02,6.5,2,0.146,444.31,0.702
6.16,1,2,5.1,0,17,18,7,2,10.391,1.029,5.1,1,0.146,405.24,0.718
8.08,2,2,4.8,2,17,18,7,2,9.316,1.021,4.8,1,0.136,391.27,0.719
5.7,1,1,2.3,0,17,18,7,2,9.704,1.019,4.7,1,0.156,417.28,0.704
5.7,2,2,5.1,1,17,18,7,2,10.813,1.024,5.1,1,0.146,421.69,0.741
6.21,2,1,2.2,0,22,23,7,2,10.204,1.012,4.3,1,0.143,469.38,0.749
8.1,0,3,7.1,0,17,18,8,2,8.961,1.043,4.8,1,0.136,376.36,0.673
8.58,1,3,7.1,0,17,18,8,2,10.411,1.036,4.8,1,0.136,437.26,0.707
9.31,3,3,7.1,2,17,18,8,2,11.194,1.027,4.8,1,0.136,470.16,0.751
5.7,1,1,2.6,0,17,18,6,2,9.929,1.015,5.1,1,0.146,387.25,0.719
8.06,2,2,4.8,1,17,18,7,2,10.374,1.019,4.8,1,0.136,435.72,0.73
5.7,1,1,2.6,0,17,18,6,2,9.929,1.015,5.1,1,0.146,387.25,0.719
5.7,1,1,2.6,0,17,18,6,2,9.929,1.015,5.1,1,0.146,387.25,0.719
7.93,1,2,4.8,0,17,18,7,2,9.983,1.024,4.8,1,0.136,419.27,0.708
6.98,1,3,7.1,0,17,18,8,2,10.411,1.036,4.8,1,0.136,437.26,0.707
6.37,2,2,4.8,1,17,18,7,2,10.374,1.019,4.8,1,0.136,435.72,0.73
5.7,2,5,11.1,1,17,18,10,2,11.194,1.05,4.4,1,0.128,503.72,0.717
5.7,2,2,5.1,0,17,18,7,2,11.952,1.021,5.1,1,0.146,466.14,0.754
7.01,1,4,8.9,0,17,18,9,2,10.428,1.042,4.4,1,0.128,469.28,0.698
9.26,3,3,7.1,3,17,18,8,2,10.136,1.029,4.8,1,0.136,425.71,0.739
4.796,0,0,0.0,0,22,26,6,2,7.719,1.002,3.2,3,0.154,478.58,0.693
4.693,2,0,0.0,0,27,33,10,3,8.545,1.008,4.1,5,0.156,623.8,0.719
4.164,0,0,0.0,0,24,29,6,2,6.92,0.99,2.2,5,0.152,615.85,0.668
4.0,2,1,1.4,0,29,33,8,1,9.18,1.006,1.4,4,0.135,642.6,0.728
5.174,2,2,3.8,2,18,21,5,0,8.554,1.004,0.0,3,0.145,453.38,0.721
5.495,2,0,0.0,0,28,32,7,1,8.567,1.003,1.6,4,0.134,539.71,0.734
4.409,2,1,1.8,0,23,27,7,1,9.58,1.008,1.8,4,0.119,536.47,0.736
4.721,0,0,0.0,0,18,21,3,0,7.255,0.992,0.0,3,0.145,384.5,0.689
5.638,2,0,0.0,0,23,28,7,1,8.277,1.001,1.6,5,0.149,529.72,0.719
5.638,2,0,0.0,0,23,28,7,1,8.277,1.001,1.6,5,0.149,529.72,0.719
5.585,2,0,0.0,0,17,22,7,1,8.619,1.008,2.0,5,0.151,439.59,0.72
5.585,2,0,0.0,0,17,22,7,1,8.619,1.008,2.0,5,0.151,439.59,0.72
4.0,0,0,0.0,0,23,25,3,0,7.586,0.994,0.0,2,0.127,394.49,0.707
5.824,2,0,0.0,0,23,28,8,1,8.396,1.006,1.5,5,0.162,545.72,0.715
4.699,0,0,0.0,0,18,21,4,0,7.417,0.998,0.0,3,0.161,400.5,0.684
4.0,0,0,0.0,0,12,15,3,0,7.359,0.998,0.0,3,0.146,294.37,0.68
5.018,2,0,0.0,0,22,26,6,1,8.849,1.004,2.0,4,0.115,433.58,0.745
4.638,0,0,0.0,0,18,19,3,0,6.816,0.989,0.0,1,0.169,388.54,0.667
5.174,2,0,0.0,0,23,26,7,1,7.849,0.997,1.5,3,0.169,533.76,0.699
4.745,1,1,1.5,1,18,20,6,1,7.57,1.0,1.5,2,0.132,492.05,0.679
4.0,0,0,0.0,0,6,9,5,1,6.537,0.996,1.8,3,0.179,359.51,0.627
9.0,1,2,3.8,1,23,24,6,1,8.489,1.012,1.9,1,0.107,449.93,0.708
6.18,2,1,1.8,1,18,21,7,2,8.161,1.003,3.6,3,0.138,457.03,0.697
7.3,2,1,1.6,1,23,25,9,3,8.395,1.01,4.9,2,0.141,512.07,0.696
6.4,1,0,0.0,0,23,25,7,3,7.853,1.001,5.3,2,0.133,447.6,0.691
6.55,1,0,0.0,0,23,25,8,3,7.83,1.005,4.9,2,0.141,477.63,0.682
7.4,1,0,0.0,0,23,25,8,3,7.682,1.003,4.7,2,0.149,491.66,0.678
6.4,1,3,4.9,0,23,25,11,3,8.715,1.03,4.9,2,0.125,531.6,0.679
6.8,2,4,7.0,1,23,25,11,3,9.404,1.034,5.3,2,0.117,536.01,0.703
6.4,3,2,3.7,2,23,25,9,3,9.305,1.016,5.6,2,0.123,502.45,0.729
5.7,3,2,3.7,2,23,25,9,3,9.305,1.016,5.6,2,0.123,502.45,0.729
6.3,4,3,5.6,3,23,25,10,3,9.942,1.022,5.6,2,0.123,536.89,0.745
6.0,4,3,5.6,3,23,25,10,3,9.942,1.022,5.6,2,0.123,536.89,0.745
7.2,3,5,9.3,2,23,25,14,4,10.619,1.054,7.4,2,0.14,573.41,0.72
8.0,0,3,5.8,0,18,20,7,1,8.451,1.026,1.9,2,0.109,439.46,0.684
7.2,4,3,5.8,3,23,25,11,3,10.363,1.031,5.8,2,0.145,538.86,0.748
6.9,1,0,0.0,0,23,25,9,3,7.962,1.01,4.8,2,0.154,493.63,0.679
6.1,1,0,0.0,0,23,25,9,4,7.82,1.006,6.3,2,0.152,492.65,0.677
8.2,3,5,8.6,2,23,25,13,3,10.111,1.045,5.2,2,0.148,586.45,0.714
7.1,2,1,1.7,1,23,25,10,4,8.551,1.014,6.7,2,0.143,513.06,0.695
7.1,2,1,1.8,1,23,25,10,4,8.755,1.017,7.0,2,0.133,499.03,0.701
6.2,2,2,3.7,1,23,25,9,3,9.0,1.019,5.6,2,0.123,486.0,0.712
7.6,1,0,0.0,0,18,21,7,2,7.544,1.001,3.3,3,0.145,452.62,0.673
7.87,1,0,0.0,0,18,21,8,2,7.413,1.003,3.0,3,0.159,496.68,0.662
7.201,1,0,0.0,0,18,21,7,1,7.688,1.005,1.7,3,0.164,453.6,0.675
9.1,1,3,6.1,1,18,20,7,1,9.018,1.026,2.0,2,0.115,441.88,0.708
7.21,1,0,0.0,0,18,21,8,2,7.541,1.004,3.1,3,0.152,482.65,0.665
7.21,2,1,1.6,1,18,21,9,2,8.247,1.012,3.3,3,0.159,503.06,0.683
7.46,2,1,1.6,0,18,21,9,2,8.976,1.01,3.3,3,0.159,547.51,0.692
7.51,1,3,4.7,0,18,21,11,2,8.385,1.029,3.1,3,0.152,536.62,0.663
6.13,1,0,0.0,0,18,21,8,2,7.682,1.007,3.3,3,0.159,468.62,0.669
7.72,1,3,4.5,0,18,21,11,2,8.219,1.026,3.0,3,0.159,550.65,0.659
5.7,2,1,1.6,1,18,21,9,2,8.08,1.01,3.1,3,0.167,517.09,0.679
6.55,1,0,0.0,0,18,21,8,2,7.541,1.004,3.1,3,0.152,482.65,0.665
5.84,2,1,1.9,1,18,21,8,3,8.538,1.01,5.8,3,0.13,443.99,0.702
5.89,2,1,1.6,1,18,21,9,2,8.247,1.012,3.3,3,0.159,503.06,0.683
7.5,1,0,0.0,0,18,22,9,3,7.81,1.008,4.6,3,0.164,507.66,0.674
7.16,1,3,4.4,0,18,21,12,2,8.333,1.03,2.9,3,0.171,566.65,0.656
6.78,1,0,0.0,0,18,21,8,2,7.413,1.003,3.0,3,0.159,496.68,0.662
5.8,1,1,1.6,0,18,21,9,2,7.977,1.015,3.3,3,0.159,486.61,0.668
6.77,1,0,0.0,0,18,21,9,2,7.539,1.007,2.9,3,0.171,512.68,0.659
6.15,1,3,4.4,0,18,21,12,2,8.333,1.03,2.9,3,0.171,566.65,0.656
5.78,1,0,0.0,0,18,21,8,2,7.413,1.003,3.0,3,0.159,496.68,0.662
6.315,2,1,2.0,1,17,20,9,4,8.659,1.015,8.0,3,0.135,432.97,0.695
6.8,2,1,1.9,1,17,20,9,4,8.434,1.012,7.5,3,0.145,447.0,0.689
6.86,1,0,0.0,0,18,21,7,2,7.544,1.001,3.3,3,0.145,452.62,0.673
6.37,1,3,5.0,0,18,21,10,2,8.443,1.027,3.3,3,0.145,506.59,0.67
7.94,2,1,1.8,1,18,21,7,2,8.161,1.003,3.6,3,0.138,457.03,0.697
6.68,1,3,5.1,0,18,21,9,2,8.315,1.022,3.4,3,0.131,490.59,0.673
5.84,2,1,2.0,1,18,21,8,3,8.775,1.013,6.1,3,0.137,429.96,0.709
7.64,2,1,1.8,0,18,21,7,2,8.955,1.002,3.6,3,0.138,501.48,0.706
6.435,2,1,1.9,1,18,21,8,3,8.538,1.01,5.8,3,0.13,443.99,0.702
5.95,1,0,0.0,0,18,21,8,2,7.541,1.004,3.1,3,0.152,482.65,0.665
5.8,1,0,0.0,0,18,21,9,2,7.672,1.009,3.1,3,0.164,498.65,0.662
5.84,2,1,1.9,1,18,21,8,3,8.538,1.01,5.8,3,0.13,443.99,0.702
5.84,2,1,1.9,1,18,21,8,3,8.538,1.01,5.8,3,0.13,443.99,0.702
5.84,2,1,1.9,1,18,21,8,3,8.538,1.01,5.8,3,0.13,443.99,0.702
7.41,1,0,0.0,0,18,21,8,2,7.541,1.004,3.1,3,0.152,482.65,0.665
6.69,1,0,0.0,0,18,21,7,2,7.695,1.003,3.5,3,0.136,438.59,0.677
7.05,2,0,0.0,0,18,23,10,3,8.058,1.009,4.7,5,0.152,515.71,0.679
8.43,2,0,0.0,0,18,23,11,3,8.18,1.014,4.6,5,0.149,531.71,0.676
5.87,1,0,0.0,0,18,21,6,2,7.546,0.998,3.6,3,0.138,422.59,0.681
5.0,0,0,0.0,0,6,9,5,1,6.644,0.998,1.9,3,0.17,345.48,0.629
5.0,0,0,0.0,0,6,10,4,1,6.464,0.99,1.8,4,0.161,355.52,0.637
5.0,0,0,0.0,0,6,10,4,1,6.464,0.99,1.8,4,0.161,355.52,0.637
7.7,1,1,2.5,1,16,17,5,2,8.22,1.006,5.0,1,0.095,328.82,0.697
7.8,1,1,1.9,1,23,24,6,3,8.15,1.002,5.7,1,0.125,431.95,0.706
8.4,2,1,2.3,1,15,16,6,2,8.44,1.005,4.7,1,0.111,362.91,0.704
7.3,1,1,1.9,1,17,18,7,3,7.81,1.006,5.7,1,0.145,413.94,0.672
9.7,2,1,2.7,0,15,16,6,2,10.251,1.009,5.4,1,0.103,379.3,0.736
8.8,1,1,2.6,1,17,18,6,1,9.047,1.024,2.6,1,0.15,343.78,0.711
9.301,2,1,2.7,1,15,16,6,2,9.05,1.012,5.4,1,0.103,334.85,0.723
7.4,1,1,2.5,1,12,13,5,1,7.995,1.009,2.5,1,0.146,319.81,0.677
6.8,1,1,2.4,1,18,19,5,1,8.63,1.012,2.4,1,0.14,353.82,0.715
7.55,1,1,1.8,1,17,18,7,3,7.642,1.004,5.4,1,0.138,427.97,0.667
4.678,1,0,0.0,0,30,34,8,3,8.163,1.002,4.2,4,0.078,587.74,0.714
9.1,1,1,2.4,1,11,12,6,2,7.874,1.011,4.9,1,0.143,322.82,0.661
8.7,1,1,2.6,1,17,18,5,0,8.789,1.018,0.0,1,0.146,342.79,0.712
4.886,0,0,0.0,0,6,9,6,1,6.509,0.998,1.6,3,0.206,403.57,0.62
4.886,0,0,0.0,0,11,13,7,5,6.729,0.996,8.8,2,0.186,383.55,0.633
4.886,1,0,0.0,0,6,9,6,1,6.992,0.997,1.8,3,0.211,391.58,0.645
4.886,0,0,0.0,0,6,9,5,1,6.354,0.993,1.6,3,0.177,387.57,0.623
4.72,0,0,0.0,0,6,9,5,1,6.535,0.994,1.7,3,0.18,385.55,0.631
4.886,0,0,0.0,0,11,13,7,5,6.729,0.996,8.8,2,0.186,383.55,0.633
4.886,0,0,0.0,0,6,9,5,1,6.44,0.994,1.7,3,0.203,373.54,0.625
4.699,0,0,0.0,0,0,1,5,0,5.603,0.988,0.0,1,0.203,386.64,0.584
5.0,0,0,0.0,0,6,8,6,1,6.425,0.996,1.5,1,0.197,417.6,0.619
4.699,0,3,4.8,0,6,9,8,0,7.247,1.019,0.0,3,0.172,456.55,0.62
4.301,0,0,0.0,0,12,15,6,1,6.946,1.0,1.6,3,0.185,437.58,0.646
5.509,0,1,1.6,0,6,7,6,0,6.415,1.001,0.0,1,0.2,410.58,0.608
5.0,0,1,1.6,0,6,7,6,0,6.415,1.001,0.0,1,0.2,410.58,0.608
5.606,0,0,0.0,0,6,7,5,0,6.134,0.993,0.0,1,0.2,392.59,0.609
5.125,4,0,0.0,0,23,27,9,1,8.854,1.003,1.6,4,0.182,557.83,0.735
5.553,3,0,0.0,0,23,26,7,1,8.416,0.997,1.6,3,0.169,521.77,0.729
5.921,2,0,0.0,0,29,33,9,3,8.605,1.005,4.3,4,0.108,593.77,0.729
5.237,2,0,0.0,0,23,26,8,1,7.968,1.002,1.4,3,0.167,549.76,0.696
8.0,1,0,0.0,0,30,34,7,2,7.782,0.997,2.5,4,0.083,614.81,0.705
4.387,3,1,1.7,1,28,33,8,2,9.443,1.008,3.4,5,0.111,557.12,0.765
5.0,2,3,4.2,0,23,28,13,4,9.025,1.027,5.6,5,0.133,640.76,0.702
7.745,1,0,0.0,0,30,34,7,2,7.669,0.995,2.4,4,0.092,628.84,0.7
4.569,3,0,0.0,0,17,20,7,1,9.078,1.006,2.2,3,0.146,417.61,0.743
5.553,2,0,0.0,0,29,32,8,3,7.998,0.996,3.9,3,0.099,607.85,0.712
