pXC50,nX,Mi,nBO,nSK,X.,SCBO,nF,nBT,Si,nAT,nDB,nN,MW,nCL,nHet,C.,nC,Sp,Se,Sv,N.,RBF,nAB,Me,nH,RBN,nHM,H.
9.678,1,1.135,44,41,1.2,53.0,1,84.0,91.927,81.0,6,4,590.6,0,13,34.6,28,52.142,81.636,33.718,4.9,0.107,6,1.008,40,9,1,49.4
9.335,0,1.131,47,44,0.0,60.0,0,85.0,92.727,82.0,5,4,606.74,0,12,39.0,32,52.603,83.047,50.76,4.9,0.153,16,1.013,38,13,0,46.3
8.31,0,1.13,32,30,0.0,38.5,0,61.0,66.678,59.0,4,4,432.41,0,10,33.9,20,38.728,59.167,33.718,6.8,0.098,5,1.003,29,6,1,49.2
7.866,0,1.123,35,32,0.0,46.0,0,59.0,62.87,56.0,5,2,480.61,0,11,37.5,21,37.864,57.367,36.215,3.6,0.102,12,1.024,24,6,2,42.9
7.469,2,1.114,30,28,4.7,40.0,0,45.0,47.884,43.0,4,1,444.31,2,10,41.9,18,31.187,44.858,30.367,2.3,0.111,12,1.043,15,5,3,34.9
7.638,4,1.153,41,39,6.5,53.0,4,64.0,71.465,62.0,6,5,549.53,0,14,40.3,25,40.426,64.916,41.009,8.1,0.156,12,1.047,23,10,0,37.1
8.0,0,1.126,35,32,0.0,45.0,0,62.0,66.444,59.0,4,3,457.6,0,9,39.0,23,39.074,59.622,37.147,5.1,0.081,12,1.011,27,5,1,45.8
7.0,2,1.117,27,25,5.0,35.0,0,42.0,44.675,40.0,5,1,404.29,2,9,40.0,16,28.733,41.531,27.652,2.5,0.095,6,1.038,15,4,3,37.5
8.032,3,1.149,33,32,5.6,43.0,3,55.0,62.048,54.0,7,3,473.52,0,12,37.0,20,35.125,56.276,34.77,5.6,0.145,6,1.042,22,8,1,40.7
9.0,2,1.12,29,27,4.3,37.0,0,48.0,51.505,46.0,5,1,432.35,2,9,39.1,18,32.256,47.298,30.706,2.2,0.104,6,1.028,19,5,3,41.3
8.284,0,1.126,35,32,0.0,46.5,0,56.0,59.7,53.0,3,5,475.6,0,12,37.7,20,36.688,54.367,35.27,9.4,0.125,17,1.026,21,7,2,39.6
7.097,3,1.149,35,34,5.4,45.0,3,57.0,64.338,56.0,7,3,481.47,0,12,39.3,22,35.932,58.527,36.298,5.4,0.158,6,1.045,22,9,0,39.3
7.367,3,1.154,32,31,5.8,41.0,3,53.0,60.002,52.0,6,4,438.45,0,11,38.5,20,33.267,54.091,33.363,7.7,0.132,6,1.04,21,7,0,40.4
7.745,4,1.143,41,39,6.3,53.0,3,65.0,71.986,63.0,6,4,564.99,1,13,41.3,26,42.102,65.509,41.959,6.3,0.154,12,1.04,24,10,1,38.1
8.301,2,1.113,25,23,5.9,33.0,0,36.0,37.845,34.0,5,1,376.23,2,9,41.2,14,25.21,35.764,24.598,2.9,0.111,6,1.052,11,4,3,32.4
9.699,0,1.126,35,32,0.0,46.5,0,56.0,59.7,53.0,3,5,475.6,0,12,37.7,20,36.688,54.367,35.27,9.4,0.143,17,1.026,21,8,2,39.6
7.027,6,1.173,35,34,11.5,44.0,6,53.0,61.021,52.0,6,4,492.42,0,14,38.5,20,33.08,55.629,34.513,7.7,0.132,6,1.07,18,7,0,34.6
8.42,3,1.142,44,42,4.2,56.0,3,74.0,82.208,72.0,6,3,589.62,0,13,40.3,29,46.432,74.389,46.12,4.2,0.162,12,1.033,30,12,0,41.7
7.284,3,1.147,41,39,4.6,54.0,3,67.0,74.54,65.0,7,5,545.57,0,13,40.0,26,42.25,67.287,42.152,7.7,0.134,12,1.035,26,9,0,40.0
7.18,3,1.14,41,39,4.5,53.0,3,69.0,76.374,67.0,6,3,543.59,0,11,41.8,28,43.762,68.85,43.163,4.5,0.159,12,1.028,28,11,0,41.8
7.824,3,1.146,40,38,4.7,52.0,3,66.0,73.331,64.0,6,5,529.57,0,12,40.6,26,41.796,65.96,41.438,7.8,0.136,12,1.031,26,9,0,40.6
8.161,3,1.142,41,39,4.5,54.0,3,68.0,75.377,66.0,7,4,564.64,0,13,39.4,26,43.654,68.145,42.845,6.1,0.162,12,1.033,27,11,1,40.9
7.469,3,1.149,34,33,5.7,44.0,3,54.0,60.922,53.0,7,3,467.44,0,12,39.6,21,34.171,55.643,34.771,5.7,0.148,6,1.05,20,8,0,37.7
8.357,3,1.141,45,43,3.9,57.0,3,79.0,87.829,77.0,6,3,601.68,0,12,40.3,31,49.5,78.829,48.458,3.9,0.152,12,1.024,34,12,0,44.2
7.824,3,1.139,39,37,4.8,51.0,3,65.0,71.749,63.0,6,3,513.56,0,10,42.9,27,41.546,64.64,40.922,4.8,0.138,12,1.026,26,9,0,41.3
8.071,3,1.141,42,40,4.4,54.0,3,70.0,77.583,68.0,6,3,559.59,0,12,41.2,28,44.216,70.178,43.878,4.4,0.157,12,1.032,28,11,0,41.2
8.387,3,1.143,42,40,4.3,54.0,3,71.0,78.872,69.0,6,4,558.61,0,12,40.6,28,44.767,70.952,44.185,5.8,0.141,12,1.028,29,10,0,42.0
8.18,4,1.139,41,39,6.3,53.0,3,66.0,72.903,64.0,6,3,564.0,1,12,42.2,27,42.858,66.291,42.464,4.7,0.152,12,1.036,25,10,1,39.1
8.252,3,1.141,41,39,4.6,53.0,3,67.0,74.168,65.0,6,3,545.56,0,12,41.5,27,42.455,67.294,42.351,4.6,0.149,12,1.035,26,10,0,40.0
6.77,3,1.153,36,35,4.8,45.0,3,63.0,71.457,62.0,6,4,496.54,0,12,37.1,23,39.006,64.069,38.658,6.5,0.159,6,1.033,27,10,0,43.5
8.092,3,1.144,42,40,4.5,54.0,3,69.0,76.666,67.0,6,4,560.58,0,13,40.3,27,43.46,69.396,43.373,6.0,0.159,12,1.036,27,11,0,40.3
8.155,3,1.142,40,38,4.6,52.0,3,67.0,74.248,65.0,6,4,528.58,0,11,41.5,27,42.551,66.741,41.943,6.2,0.134,12,1.027,27,9,0,41.5
7.398,4,1.161,34,33,7.5,43.0,4,54.0,61.551,53.0,6,4,472.44,0,13,37.7,20,33.659,55.931,34.461,7.5,0.148,6,1.055,20,8,0,37.7
7.409,6,1.169,35,34,11.3,44.0,6,54.0,61.938,53.0,6,3,491.43,0,13,39.6,21,33.836,56.41,35.018,5.7,0.13,6,1.064,19,7,0,35.8
8.046,3,1.146,43,41,4.5,56.0,3,69.0,76.749,67.0,7,5,573.58,0,14,40.3,27,43.705,69.614,43.867,7.5,0.159,12,1.039,26,11,0,38.8
7.743,2,1.115,26,24,5.4,34.0,0,39.0,41.26,37.0,5,1,390.26,2,9,40.5,15,26.972,38.647,26.125,2.7,0.103,6,1.045,13,4,3,35.1
7.886,3,1.139,42,40,4.5,55.0,3,68.0,75.168,66.0,7,3,557.57,0,12,42.4,28,43.455,68.294,43.351,4.5,0.147,12,1.035,26,10,0,39.4
7.377,3,1.154,32,31,6.0,40.5,3,51.0,57.716,50.0,6,4,460.48,0,13,36.0,18,32.608,52.611,32.738,8.0,0.157,5,1.052,19,8,1,38.0
8.056,3,1.144,40,38,4.8,52.0,3,65.0,72.042,63.0,6,4,530.55,0,12,41.3,26,41.245,65.185,41.131,6.3,0.154,12,1.035,25,10,0,39.7
8.3,3,1.14,40,38,4.7,52.0,3,66.0,72.959,64.0,6,3,529.56,0,11,42.2,27,42.0,65.967,41.636,4.7,0.152,12,1.031,26,10,0,40.6
8.444,3,1.147,41,39,4.6,53.0,3,67.0,74.54,65.0,6,5,545.57,0,13,40.0,26,42.25,67.287,42.152,7.7,0.149,12,1.035,26,10,0,40.0
9.0,2,1.118,28,26,4.7,36.0,0,45.0,48.09,43.0,5,1,418.32,2,9,39.5,17,30.494,44.415,29.179,2.3,0.089,6,1.033,17,4,3,39.5
6.523,3,1.14,40,38,4.7,52.0,3,66.0,72.959,64.0,6,3,529.56,0,11,42.2,27,42.0,65.967,41.636,4.7,0.152,12,1.031,26,10,0,40.6
8.18,3,1.144,40,38,4.8,52.0,3,65.0,72.042,63.0,6,4,530.55,0,12,41.3,26,41.245,65.185,41.131,6.3,0.154,12,1.035,25,10,0,39.7
7.244,3,1.149,40,38,4.3,49.0,3,71.0,79.287,69.0,6,4,536.61,0,12,37.7,26,43.529,70.836,42.711,5.8,0.141,6,1.027,31,10,0,44.9
8.027,3,1.141,43,41,4.4,57.0,3,70.0,77.586,68.0,8,4,592.65,0,14,39.7,27,45.108,70.472,44.56,5.9,0.143,12,1.036,27,10,1,39.7
10.886,2,1.126,41,38,3.0,51.0,0,69.0,74.293,66.0,4,2,587.52,2,13,37.9,25,44.67,67.916,42.978,3.0,0.145,12,1.029,28,10,3,42.4
10.31,2,1.116,31,29,4.5,41.0,0,46.0,49.094,44.0,4,1,460.31,2,11,40.9,18,31.642,46.186,31.082,2.3,0.152,12,1.05,15,7,3,34.1
7.699,5,1.156,46,44,6.1,54.0,5,84.0,94.754,82.0,5,3,631.71,0,14,36.6,30,50.66,84.505,49.805,3.7,0.131,6,1.031,38,11,0,46.3
10.638,2,1.115,31,29,4.3,41.0,0,48.0,51.3,46.0,4,1,458.34,2,10,41.3,19,32.949,47.742,31.894,2.2,0.125,12,1.038,17,6,3,37.0
5.721,1,1.128,26,24,2.4,35.0,1,44.0,47.366,42.0,1,3,323.4,0,5,45.2,19,28.5,42.214,27.377,7.1,0.114,12,1.005,18,5,0,42.9
8.398,4,1.141,48,46,5.0,61.0,3,82.0,91.298,80.0,7,4,731.65,0,16,37.5,30,52.961,82.563,51.407,5.0,0.134,12,1.032,34,11,2,42.5
6.434,1,1.105,22,20,3.3,30.0,0,32.0,33.147,30.0,2,1,287.71,1,5,50.0,15,22.034,30.825,21.627,3.3,0.063,12,1.028,10,2,1,33.3
7.528,2,1.095,21,19,7.7,29.0,0,28.0,28.466,26.0,2,1,292.12,2,5,53.8,14,20.676,26.938,20.213,3.8,0.036,12,1.036,7,1,2,26.9
7.395,2,1.11,21,19,7.7,29.0,1,28.0,28.862,26.0,2,1,275.67,1,5,53.8,14,19.756,27.127,19.769,3.8,0.036,12,1.043,7,1,1,26.9
7.278,1,1.101,21,19,3.4,29.0,0,31.0,31.937,29.0,2,1,271.71,1,4,51.7,15,21.58,29.498,20.913,3.4,0.032,12,1.017,10,1,1,34.5
7.605,1,1.105,22,20,3.3,30.0,0,32.0,33.147,30.0,2,1,287.71,1,5,50.0,15,22.034,30.825,21.627,3.3,0.063,12,1.028,10,2,1,33.3
7.568,2,1.091,21,19,7.7,29.0,0,28.0,28.364,26.0,2,1,336.57,1,5,53.8,14,21.171,26.844,20.411,3.8,0.036,12,1.032,7,1,2,26.9
9.77,2,1.112,29,27,5.0,39.0,0,42.0,44.469,40.0,4,1,430.28,2,10,42.5,17,29.426,41.975,28.84,2.5,0.143,12,1.049,13,6,3,32.5
4.0,3,1.149,42,42,3.6,50.0,2,83.0,95.386,83.0,5,4,619.18,1,14,33.7,28,51.165,84.719,49.219,4.8,0.205,6,1.021,41,17,1,49.4
8.119,0,1.132,48,45,0.0,61.0,0,86.0,93.936,83.0,5,4,622.74,0,13,38.6,32,53.057,84.374,51.474,4.8,0.163,16,1.017,38,14,0,45.8
