pXC50,nCsp3,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL
6.047,2,8.66,30.4,39.1,1.055,1.156,0.614,0.631,199.19,13.0,0,23,0,4,14,0,23,7,0
6.336,2,9.099,27.3,36.4,1.067,1.166,0.607,0.636,200.18,18.2,0,22,0,4,14,0,22,6,0
6.0,8,8.423,39.1,43.5,1.031,1.144,0.657,0.637,387.46,2.2,11,46,0,13,28,0,48,18,0
6.334,2,9.443,30.4,34.8,1.077,1.17,0.611,0.647,217.18,13.0,0,23,0,4,15,0,23,7,0
6.3,9,8.35,36.0,44.0,1.032,1.153,0.644,0.627,417.5,6.0,11,50,0,13,30,0,52,18,0
6.1,9,8.422,35.3,43.1,1.032,1.157,0.647,0.63,429.52,9.8,10,51,0,12,31,0,53,18,0
5.796,10,7.511,35.5,50.0,1.002,1.129,0.658,0.608,465.7,4.8,12,62,0,16,33,0,64,22,0
5.0,6,8.037,40.0,47.5,0.997,1.112,0.702,0.639,321.5,2.5,11,40,0,13,23,0,42,16,0
5.301,8,7.551,38.0,48.0,1.005,1.135,0.658,0.617,377.53,6.0,12,50,0,14,28,0,52,19,0
5.398,7,7.712,42.1,45.6,1.003,1.126,0.678,0.638,439.6,5.3,18,57,0,20,34,0,60,24,0
4.699,8,7.595,37.5,50.0,0.994,1.121,0.679,0.618,364.58,4.2,11,48,0,13,26,0,50,18,0
5.495,8,7.595,37.5,50.0,0.994,1.121,0.679,0.618,364.58,4.2,11,48,0,13,26,0,50,18,0
6.301,7,7.719,41.7,45.8,1.002,1.119,0.68,0.638,370.51,4.2,12,48,0,15,28,0,50,20,0
7.0,8,7.453,40.4,48.1,1.002,1.12,0.666,0.623,387.54,1.9,12,52,0,15,29,0,54,21,0
6.523,7,7.923,39.1,45.7,1.013,1.131,0.665,0.631,364.48,4.3,12,46,0,14,27,0,48,18,0
6.523,7,7.923,39.1,45.7,1.013,1.131,0.665,0.631,364.48,4.3,12,46,0,14,27,0,48,18,0
6.523,7,7.923,39.1,45.7,1.013,1.131,0.665,0.631,364.48,4.3,12,46,0,14,27,0,48,18,0
6.523,7,7.989,38.6,47.7,1.002,1.116,0.688,0.632,351.53,2.3,11,44,0,13,25,0,46,17,0
6.398,7,7.989,38.6,47.7,1.002,1.116,0.688,0.632,351.53,2.3,11,44,0,13,25,0,46,17,0
6.523,9,7.655,35.6,49.2,1.004,1.128,0.662,0.613,451.67,5.1,12,59,0,16,32,0,61,21,0
5.796,10,7.511,35.5,50.0,1.002,1.129,0.658,0.608,465.7,4.8,12,62,0,16,33,0,64,22,0
5.201,11,7.38,35.4,50.8,1.0,1.129,0.655,0.603,479.73,4.6,12,65,0,16,34,0,67,23,0
5.301,8,7.784,39.4,47.0,1.002,1.121,0.679,0.631,513.74,4.5,18,66,0,22,38,0,69,26,0
5.301,8,7.376,40.4,48.1,0.995,1.123,0.672,0.625,383.56,5.8,12,52,0,15,29,0,54,21,0
5.102,9,7.229,40.0,49.1,0.993,1.124,0.667,0.618,397.59,5.5,12,55,0,15,30,0,57,22,0
4.699,10,7.097,39.7,50.0,0.992,1.125,0.663,0.613,411.62,5.2,12,58,0,15,31,0,60,23,0
5.208,7,7.553,44.1,45.8,0.994,1.116,0.69,0.644,445.63,5.1,18,59,0,21,35,0,62,26,0
5.301,9,7.661,36.8,49.1,1.003,1.124,0.667,0.616,436.65,3.5,12,57,0,16,31,0,59,21,0
5.398,9,7.166,37.9,50.0,0.997,1.128,0.654,0.608,415.61,5.2,12,58,0,15,31,0,60,22,0
5.201,9,7.153,39.3,50.0,0.996,1.124,0.659,0.611,400.59,3.6,12,56,0,15,30,0,58,22,0
4.1,9,7.899,38.9,46.3,1.018,1.144,0.653,0.623,426.55,3.7,12,54,0,14,31,0,56,21,0
5.602,8,7.383,39.2,49.0,1.001,1.131,0.66,0.615,376.54,3.9,12,51,0,14,28,0,53,20,0
5.398,8,7.191,38.0,50.0,0.995,1.128,0.659,0.61,359.54,6.0,12,50,0,14,27,0,52,19,0
5.602,8,7.551,38.0,48.0,1.005,1.135,0.658,0.617,377.53,6.0,12,50,0,14,28,0,52,19,0
7.77,3,8.095,30.4,43.5,1.046,1.152,0.603,0.609,186.19,8.7,5,23,0,6,13,0,23,7,0
5.576,11,6.814,31.7,51.2,1.006,1.152,0.61,0.579,279.39,12.2,5,41,0,6,22,0,43,13,0
6.967,3,8.77,33.3,38.1,1.055,1.147,0.624,0.642,184.17,9.5,5,21,0,6,14,0,22,7,0
4.0,0,11.923,45.2,32.3,1.037,1.112,0.755,0.731,369.61,6.5,12,31,0,14,22,1,32,14,1
4.6,7,8.033,40.5,42.9,1.027,1.154,0.646,0.635,337.38,7.1,11,42,0,12,26,0,44,17,0
6.4,7,9.146,36.4,38.6,1.047,1.156,0.658,0.654,402.44,9.1,10,44,0,12,29,0,46,16,0
4.5,8,8.584,36.2,42.6,1.037,1.153,0.648,0.634,403.47,6.4,11,47,0,13,29,0,49,17,0
5.9,9,8.561,36.7,42.9,1.037,1.158,0.647,0.633,419.49,6.1,11,49,0,13,30,0,51,18,0
5.9,10,8.142,35.8,45.3,1.028,1.152,0.641,0.62,431.53,5.7,11,53,0,13,31,0,55,19,0
7.0,9,9.295,36.7,38.8,1.058,1.172,0.644,0.648,455.47,6.1,11,49,0,13,32,0,51,18,0
5.9,12,7.885,37.5,46.4,1.019,1.147,0.648,0.619,441.57,5.4,11,56,0,13,33,0,59,21,0
5.8,11,8.047,36.4,45.5,1.023,1.152,0.646,0.621,442.56,7.3,11,55,0,13,33,0,58,20,0
5.4,9,8.35,36.0,44.0,1.032,1.153,0.644,0.627,417.5,6.0,11,50,0,13,30,0,52,18,0
5.9,10,7.991,36.5,46.2,1.023,1.151,0.645,0.618,415.53,5.8,11,52,0,13,30,0,54,19,0
6.1,9,8.167,37.3,45.1,1.028,1.148,0.647,0.624,416.51,3.9,11,51,0,13,30,0,53,19,0
6.4,9,8.35,36.0,44.0,1.032,1.153,0.644,0.627,417.5,6.0,11,50,0,13,30,0,52,18,0
5.3,7,10.078,36.4,34.1,1.077,1.178,0.648,0.669,443.41,6.8,11,44,0,13,31,0,46,16,0
5.6,7,10.078,36.4,34.1,1.077,1.178,0.648,0.669,443.41,6.8,11,44,0,13,31,0,46,16,0
5.6,9,8.656,37.5,41.7,1.036,1.15,0.655,0.642,415.48,6.3,11,48,0,13,31,0,51,18,0
6.0,8,8.541,34.7,42.9,1.038,1.157,0.642,0.629,418.49,8.2,11,49,0,13,30,0,51,17,0
6.4,8,8.584,36.2,42.6,1.037,1.153,0.648,0.634,403.47,6.4,11,47,0,13,29,0,49,17,0
5.1,7,8.851,36.4,40.9,1.042,1.155,0.652,0.643,389.44,6.8,11,44,0,13,28,0,46,16,0
7.0,9,8.35,36.0,44.0,1.032,1.153,0.644,0.627,417.5,6.0,11,50,0,13,30,0,52,18,0
6.8,9,8.656,37.5,41.7,1.036,1.15,0.655,0.642,415.48,6.3,11,48,0,13,31,0,51,18,0
6.3,7,8.851,36.4,40.9,1.042,1.155,0.652,0.643,389.44,6.8,11,44,0,13,28,0,46,16,0
5.7,7,8.755,40.0,40.0,1.035,1.143,0.667,0.656,481.54,5.5,17,55,0,19,36,0,58,22,0
5.9,8,9.695,37.0,35.2,1.064,1.171,0.653,0.667,523.51,9.3,16,54,0,18,38,0,57,20,0
4.0,10,7.703,40.8,44.9,1.018,1.149,0.646,0.627,377.45,6.1,11,49,0,12,30,0,52,20,0
4.4,8,7.773,43.6,43.6,1.014,1.14,0.662,0.641,427.51,5.5,17,55,0,18,34,0,58,24,0
4.7,7,8.685,37.2,41.9,1.036,1.153,0.657,0.641,373.44,7.0,11,43,0,13,27,0,45,16,0
4.7,8,8.304,40.9,40.9,1.033,1.152,0.65,0.645,365.39,6.8,11,44,0,12,29,0,47,18,0
4.7,10,8.437,40.8,40.8,1.039,1.163,0.644,0.643,413.43,6.1,11,49,0,12,32,0,52,20,0
4.7,9,8.073,40.4,42.6,1.028,1.151,0.646,0.636,379.42,6.4,11,47,0,12,30,0,50,19,0
5.0,9,7.9,41.3,43.5,1.022,1.149,0.65,0.635,363.42,6.5,11,46,0,12,29,0,49,19,0
4.8,10,7.441,39.2,47.1,1.015,1.151,0.636,0.613,379.47,5.9,11,51,0,12,29,0,53,20,0
4.5,6,8.333,43.2,40.5,1.031,1.15,0.659,0.652,308.33,5.4,11,37,0,12,24,0,39,16,0
4.5,6,9.063,39.5,39.5,1.041,1.149,0.67,0.659,344.39,5.3,11,38,0,13,25,0,40,15,0
5.7,8,7.809,40.0,44.4,1.022,1.153,0.642,0.627,351.41,6.7,11,45,0,12,27,0,47,18,0
5.5,10,7.703,40.8,44.9,1.018,1.149,0.646,0.627,377.45,6.1,11,49,0,12,30,0,52,20,0
4.2,11,7.528,40.4,46.2,1.015,1.148,0.643,0.62,391.48,5.8,11,52,0,12,31,0,55,21,0
4.6,11,7.528,40.4,46.2,1.015,1.148,0.643,0.62,391.48,5.8,11,52,0,12,31,0,55,21,0
4.5,12,7.613,41.5,45.3,1.015,1.145,0.649,0.627,403.49,5.7,11,53,0,12,33,0,57,22,0
4.5,10,8.07,40.8,42.9,1.029,1.156,0.645,0.635,395.44,6.1,11,49,0,12,31,0,52,20,0
5.9,10,8.07,40.8,42.9,1.029,1.156,0.645,0.635,395.44,6.1,11,49,0,12,31,0,52,20,0
6.0,9,7.9,41.3,43.5,1.022,1.149,0.65,0.635,363.42,6.5,11,46,0,12,29,0,49,19,0
5.7,8,7.809,40.0,44.4,1.022,1.153,0.642,0.627,351.41,6.7,11,45,0,12,27,0,47,18,0
5.6,8,7.809,40.0,44.4,1.022,1.153,0.642,0.627,351.41,6.7,11,45,0,12,27,0,47,18,0
5.9,7,8.033,40.5,42.9,1.027,1.154,0.646,0.635,337.38,7.1,11,42,0,12,26,0,44,17,0
6.0,9,8.292,41.3,41.3,1.033,1.157,0.649,0.643,381.41,6.5,11,46,0,12,30,0,49,19,0
5.4,7,8.059,42.5,42.5,1.026,1.149,0.653,0.641,322.36,5.0,11,40,0,12,25,0,42,17,0
5.1,7,8.685,37.2,41.9,1.036,1.153,0.657,0.641,373.44,7.0,11,43,0,13,27,0,45,16,0
4.7,8,8.423,37.0,43.5,1.031,1.152,0.652,0.633,387.47,6.5,11,46,0,13,28,0,48,17,0
5.0,9,8.194,36.7,44.9,1.026,1.151,0.648,0.625,401.5,6.1,11,49,0,13,29,0,51,18,0
5.0,9,8.5,38.3,42.6,1.03,1.149,0.66,0.64,399.48,6.4,11,47,0,13,30,0,50,18,0
5.0,9,8.5,38.3,42.6,1.03,1.149,0.66,0.64,399.48,6.4,11,47,0,13,30,0,50,18,0
5.0,8,8.304,40.9,40.9,1.033,1.152,0.65,0.645,365.39,6.8,11,44,0,12,29,0,47,18,0
4.7,8,9.122,40.9,36.4,1.056,1.167,0.647,0.663,401.37,6.8,11,44,0,12,31,0,47,18,0
4.0,8,8.304,40.9,40.9,1.033,1.152,0.65,0.645,365.39,6.8,11,44,0,12,29,0,47,18,0
5.3,8,8.304,40.9,40.9,1.033,1.152,0.65,0.645,365.39,6.8,11,44,0,12,29,0,47,18,0
4.4,9,7.884,39.6,43.8,1.023,1.154,0.644,0.63,378.44,8.3,11,48,0,12,30,0,51,19,0
5.502,4,9.315,35.3,38.2,1.053,1.138,0.652,0.656,316.72,5.9,6,34,0,10,21,0,34,12,1
4.0,15,6.564,35.4,52.3,0.994,1.142,0.625,0.584,426.63,9.2,11,65,0,12,34,0,68,23,0
4.0,13,6.889,36.2,50.0,1.002,1.14,0.63,0.596,399.55,8.6,11,58,0,12,32,0,61,21,0
5.083,9,7.466,37.0,45.7,1.012,1.14,0.641,0.619,343.43,10.9,11,46,0,12,28,0,49,17,0
5.259,9,7.286,36.2,46.8,1.007,1.143,0.639,0.612,342.45,12.8,11,47,0,12,28,0,50,17,0
3.0,5,8.303,29.4,41.2,1.043,1.161,0.615,0.62,282.3,17.6,10,34,0,11,21,0,35,10,0
6.306,3,8.77,33.3,38.1,1.055,1.147,0.624,0.642,184.17,9.5,5,21,0,6,14,0,22,7,0
6.51,5,8.5,43.6,43.6,0.999,1.105,0.726,0.668,331.49,2.6,11,39,0,13,23,0,40,17,0
5.985,3,8.102,48.8,39.5,1.01,1.118,0.696,0.676,348.4,4.7,17,43,0,19,28,0,45,21,0
6.207,3,8.078,50.0,38.6,1.003,1.11,0.71,0.686,355.42,6.8,17,44,0,20,29,0,46,22,0
6.666,6,7.645,43.9,46.3,0.995,1.112,0.693,0.643,313.45,2.4,11,41,0,13,23,0,42,18,0
6.636,5,9.3,44.7,36.8,1.038,1.136,0.696,0.684,353.39,2.6,11,38,0,13,25,0,39,17,0
5.783,4,7.488,47.8,43.5,0.996,1.112,0.691,0.657,344.44,4.3,17,46,0,19,28,0,48,22,0
6.287,4,7.488,47.8,43.5,0.996,1.112,0.691,0.657,344.44,4.3,17,46,0,19,28,0,48,22,0
6.299,4,7.669,46.8,42.6,1.003,1.114,0.686,0.658,360.44,4.3,17,47,0,19,29,0,49,22,0
7.37,4,8.011,46.8,42.6,0.998,1.108,0.711,0.668,376.51,4.3,17,47,0,19,29,0,49,22,0
6.221,4,7.669,46.8,42.6,1.003,1.114,0.686,0.658,360.44,4.3,17,47,0,19,29,0,49,22,0
6.46,2,7.909,50.0,40.0,1.001,1.108,0.706,0.679,316.38,5.0,17,40,0,19,26,0,42,20,0
5.827,3,8.102,48.8,39.5,1.01,1.118,0.696,0.676,348.4,4.7,17,43,0,19,28,0,45,21,0
6.9,3,8.102,48.8,39.5,1.01,1.118,0.696,0.676,348.4,4.7,17,43,0,19,28,0,45,21,0
5.671,4,7.488,47.8,43.5,0.996,1.112,0.691,0.657,344.44,4.3,17,46,0,19,28,0,48,22,0
6.388,3,8.485,48.8,39.5,1.006,1.109,0.718,0.686,364.85,4.7,17,43,0,19,28,0,45,21,1
5.743,5,8.866,41.5,41.5,1.015,1.11,0.712,0.67,363.49,2.4,11,41,0,15,25,0,42,17,0
5.545,6,7.639,41.9,46.5,0.997,1.118,0.684,0.637,328.47,4.7,11,43,0,13,24,0,44,18,0
6.632,0,10.849,38.7,25.8,1.071,1.129,0.707,0.73,336.31,12.9,16,31,0,20,25,0,33,12,0
5.523,4,8.011,46.8,42.6,0.998,1.108,0.711,0.668,376.51,4.3,17,47,0,19,29,0,49,22,0
4.0,5,7.662,41.3,43.5,1.01,1.129,0.663,0.64,352.43,8.7,12,46,0,14,29,0,49,19,0
4.0,10,6.9,39.1,50.0,1.003,1.128,0.635,0.602,317.42,2.2,6,46,0,8,25,0,48,18,0
4.914,6,7.109,33.3,50.0,1.02,1.141,0.605,0.586,213.26,3.3,0,30,0,3,15,0,30,10,0
6.971,3,8.095,30.4,43.5,1.046,1.152,0.603,0.609,186.19,8.7,5,23,0,6,13,0,23,7,0
4.348,5,6.94,31.0,51.7,1.021,1.146,0.592,0.571,201.25,3.4,0,29,0,3,13,0,28,9,0
5.432,5,6.94,31.0,51.7,1.021,1.146,0.592,0.571,201.25,3.4,0,29,0,3,13,0,28,9,0
5.0,4,7.461,42.9,45.2,1.009,1.121,0.659,0.634,313.38,2.4,11,42,0,14,24,0,43,18,0
2.5,3,9.08,28.6,35.7,1.06,1.166,0.621,0.644,254.24,21.4,10,28,0,11,19,0,29,8,0
7.714,2,12.685,27.3,31.8,1.078,1.159,0.669,0.683,279.07,18.2,0,22,0,4,15,1,22,6,0
7.777,2,10.665,27.3,31.8,1.082,1.164,0.646,0.674,234.62,18.2,0,22,0,4,15,0,22,6,1
6.996,2,12.09,30.4,34.8,1.065,1.149,0.673,0.675,278.08,13.0,0,23,0,4,15,1,23,7,0
4.0,0,9.21,48.6,35.1,1.022,1.11,0.724,0.707,340.78,5.4,17,37,0,19,26,0,39,18,1
8.41,3,9.08,28.6,35.7,1.06,1.166,0.621,0.644,254.24,21.4,10,28,0,11,19,0,29,8,0
4.292,4,8.654,29.0,38.7,1.051,1.164,0.617,0.631,268.27,19.4,10,31,0,11,20,0,32,9,0
3.1,5,8.303,29.4,41.2,1.043,1.161,0.615,0.62,282.3,17.6,10,34,0,11,21,0,35,10,0
4.0,4,9.061,35.9,38.5,1.042,1.132,0.666,0.659,353.39,7.7,5,39,0,10,25,0,40,14,0
4.0,4,8.765,40.8,38.8,1.029,1.122,0.683,0.668,429.49,6.1,11,49,0,16,32,0,51,20,0
4.0,3,9.427,36.1,36.1,1.049,1.132,0.672,0.672,339.36,8.3,5,36,0,10,24,0,37,13,0
6.172,6,7.639,41.9,46.5,0.997,1.118,0.684,0.637,328.47,4.7,11,43,0,13,24,0,44,18,0
5.523,7,7.99,42.2,46.7,0.994,1.109,0.707,0.647,359.55,2.2,11,45,0,13,25,0,46,19,0
7.263,5,7.489,46.0,44.0,1.0,1.116,0.68,0.649,374.47,4.0,17,50,0,19,30,0,52,23,0
7.319,3,8.485,48.8,39.5,1.006,1.109,0.718,0.686,364.85,4.7,17,43,0,19,28,0,45,21,1
7.112,3,8.078,50.0,38.6,1.003,1.11,0.71,0.686,355.42,6.8,17,44,0,20,29,0,46,22,0
6.403,3,8.078,50.0,38.6,1.003,1.11,0.71,0.686,355.42,6.8,17,44,0,20,29,0,46,22,0
6.325,2,8.499,48.8,39.0,1.003,1.103,0.729,0.691,348.45,4.9,17,41,0,19,27,0,43,20,0
6.403,4,7.669,46.8,42.6,1.003,1.114,0.686,0.658,360.44,4.3,17,47,0,19,29,0,49,22,0
5.523,4,8.154,45.7,42.9,1.001,1.107,0.711,0.666,285.39,2.9,11,35,0,13,21,0,36,16,0
6.694,3,7.684,48.8,41.9,0.998,1.11,0.698,0.667,330.41,4.7,17,43,0,19,27,0,45,21,0
6.428,3,8.485,48.8,39.5,1.006,1.109,0.718,0.686,364.85,4.7,17,43,0,19,28,0,45,21,1
5.523,1,10.304,51.4,35.1,1.011,1.101,0.752,0.72,381.24,5.4,17,37,0,19,26,1,39,19,0
5.523,1,8.172,51.4,37.8,1.004,1.106,0.716,0.693,302.35,5.4,17,37,0,19,25,0,39,19,0
5.779,8,7.543,42.6,46.8,0.995,1.117,0.685,0.637,354.51,4.3,11,47,0,13,27,0,49,20,0
2.5,3,8.693,36.8,36.8,1.038,1.144,0.655,0.66,330.34,15.8,16,38,0,17,26,0,40,14,0
6.453,2,9.959,26.3,36.8,1.06,1.151,0.661,0.655,189.22,15.8,5,19,0,6,12,0,19,5,0
6.528,2,9.959,26.3,36.8,1.06,1.151,0.661,0.655,189.22,15.8,5,19,0,6,12,0,19,5,0
5.781,6,7.446,41.3,47.8,0.995,1.119,0.678,0.629,342.5,4.3,12,46,0,15,25,0,47,19,0
5.119,0,11.008,40.0,20.0,1.086,1.142,0.692,0.747,220.16,20.0,10,20,0,13,18,0,22,8,0
6.0,0,11.281,36.4,18.2,1.093,1.155,0.686,0.748,248.18,27.3,6,22,0,12,19,0,23,8,0
5.434,6,7.109,33.3,50.0,1.02,1.141,0.605,0.586,213.26,3.3,0,30,0,3,15,0,30,10,0
5.434,3,7.745,26.3,47.4,1.05,1.158,0.572,0.578,147.15,5.3,0,19,0,2,9,0,18,5,0
5.0,4,8.271,38.9,44.4,1.022,1.128,0.66,0.637,297.76,2.8,6,36,0,9,20,0,36,14,1
5.0,5,7.334,37.5,47.5,1.017,1.132,0.628,0.608,293.35,2.5,6,40,0,9,21,0,40,15,0
4.0,6,9.748,35.0,40.0,1.032,1.126,0.708,0.67,389.92,7.5,6,40,0,11,27,0,43,14,1
6.284,8,8.88,35.9,51.3,0.997,1.124,0.68,0.614,346.32,2.6,6,39,0,8,20,1,40,14,0
5.77,2,10.33,30.0,35.0,1.074,1.151,0.649,0.665,206.6,10.0,5,20,0,6,13,0,20,6,1
5.268,2,12.553,30.0,35.0,1.07,1.146,0.673,0.675,251.05,10.0,5,20,0,6,13,1,20,6,0
6.027,3,7.745,26.3,47.4,1.05,1.158,0.572,0.578,147.15,5.3,0,19,0,2,9,0,18,5,0
