pXC50,nN,nBM,nAB,SCBO,MW,nBO,Sv,nSK,nCsp2,Se,Si,Sp,nHet,nAT,nBT,nH,nC,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nB
5.1,3,17,16,36.0,323.4,27,27.377,24,15,42.214,47.366,28.5,5,42,45,18,19,7.7,45.2,42.9,1.005,1.128,0.679,0.652,7.1,0
5.0,5,19,17,47.5,485.99,37,38.257,34,17,60.047,66.971,39.563,10,59,62,25,24,8.237,40.7,42.4,1.018,1.135,0.671,0.648,8.5,0
5.1,3,17,17,29.5,251.31,21,21.413,19,14,32.051,35.78,22.279,4,32,34,13,15,7.853,46.9,40.6,1.002,1.118,0.696,0.669,9.4,0
5.8,6,23,22,44.0,390.44,32,31.434,29,18,47.894,53.109,31.966,9,47,50,18,20,8.307,42.6,38.3,1.019,1.13,0.68,0.669,12.8,0
5.1,3,17,12,42.0,436.28,31,29.022,28,19,38.8,41.268,29.517,9,37,40,9,19,11.791,51.4,24.3,1.049,1.115,0.798,0.784,8.1,0
5.0,3,19,16,40.0,413.86,29,28.677,27,14,42.898,46.573,29.091,10,41,43,14,17,10.094,41.5,34.1,1.046,1.136,0.71,0.699,7.3,0
5.1,4,14,12,39.0,388.41,31,30.211,28,13,47.483,52.622,30.353,9,46,49,18,19,8.444,41.3,39.1,1.032,1.144,0.66,0.657,8.7,0
5.0,7,26,26,43.0,359.45,30,27.917,26,17,39.44,43.654,28.972,8,39,43,13,18,9.217,46.2,33.3,1.011,1.119,0.743,0.716,17.9,0
5.1,4,20,16,46.0,440.5,34,35.642,32,15,57.207,63.402,36.364,10,56,58,24,22,7.866,39.3,42.9,1.022,1.132,0.649,0.636,7.1,0
6.886,4,32,30,69.0,586.69,52,49.508,44,26,74.531,82.438,51.193,9,74,82,30,35,7.928,47.3,40.5,1.007,1.114,0.692,0.669,5.4,0
7.5,6,21,18,46.0,440.46,34,34.105,32,17,53.76,59.153,34.091,12,52,54,20,20,8.47,38.5,38.5,1.034,1.138,0.656,0.656,11.5,0
5.585,6,20,20,36.0,308.38,26,25.477,23,13,39.356,44.275,26.296,7,39,42,16,16,7.907,41.0,41.0,1.009,1.135,0.674,0.653,15.4,0
5.1,5,23,22,45.0,401.53,33,32.697,29,19,48.098,53.527,34.461,7,48,52,19,22,8.365,45.8,39.6,1.002,1.115,0.718,0.681,10.4,0
5.1,6,18,17,54.5,562.79,45,49.47,41,15,82.825,94.301,52.557,10,83,87,42,31,6.781,37.3,50.6,0.998,1.136,0.633,0.596,7.2,0
5.0,7,20,20,36.0,343.48,26,25.104,23,12,36.516,40.574,26.62,9,36,39,13,14,9.541,38.9,36.1,1.014,1.127,0.739,0.697,19.4,0
5.1,5,22,17,56.5,519.52,41,40.142,38,20,59.981,65.876,40.057,11,58,61,20,27,8.957,46.6,34.5,1.034,1.136,0.691,0.692,8.6,0
5.0,6,20,18,51.0,524.76,40,44.362,37,16,72.923,82.766,47.466,10,73,76,36,27,7.188,37.0,49.3,0.999,1.134,0.65,0.608,8.2,0
5.658,4,24,22,44.0,386.51,31,31.675,28,21,45.996,51.029,33.455,6,46,49,18,22,8.402,47.8,39.1,1.0,1.109,0.727,0.689,8.7,0
5.1,4,20,18,45.0,464.86,34,33.422,32,19,50.32,54.906,33.148,11,48,50,16,21,9.685,43.8,33.3,1.048,1.144,0.691,0.696,8.3,0
5.1,5,22,22,38.0,315.41,27,27.268,24,17,40.811,45.983,28.597,5,41,44,17,19,7.693,46.3,41.5,0.995,1.122,0.697,0.665,12.2,0
5.1,4,17,17,32.5,332.84,24,24.449,22,13,35.553,39.143,25.79,7,35,37,13,15,9.51,42.9,37.1,1.016,1.118,0.737,0.699,11.4,0
5.1,5,22,22,38.0,335.82,27,26.569,24,17,38.251,42.512,27.693,6,38,41,14,18,8.837,47.4,36.8,1.007,1.119,0.729,0.699,13.2,0
5.1,9,24,22,44.0,375.39,31,28.676,28,17,42.338,46.734,28.483,11,41,44,13,17,9.156,41.5,31.7,1.033,1.14,0.695,0.699,22.0,0
5.1,7,18,17,45.5,488.07,36,37.862,33,14,59.603,66.923,40.068,11,59,62,26,22,8.272,37.3,44.1,1.01,1.134,0.679,0.642,11.9,0
5.1,3,17,16,30.0,255.27,21,20.27,19,14,29.68,32.705,20.455,5,29,31,10,14,8.802,48.3,34.5,1.023,1.128,0.705,0.699,10.3,0
5.0,6,16,16,36.0,354.51,28,31.111,26,11,51.774,59.351,33.103,7,52,54,26,19,6.817,36.5,50.0,0.996,1.141,0.637,0.598,11.5,0
6.5,3,18,16,34.0,275.33,24,23.413,21,16,34.051,37.78,24.279,4,34,37,13,17,8.098,50.0,38.2,1.001,1.111,0.714,0.689,8.8,0
5.0,4,17,16,38.0,457.71,29,29.154,27,14,43.64,47.653,29.864,10,42,44,15,17,10.898,40.5,35.7,1.039,1.135,0.711,0.694,9.5,0
5.1,5,18,17,41.5,415.89,32,31.962,29,14,49.069,54.516,32.824,9,48,51,19,20,8.664,41.7,39.6,1.022,1.136,0.684,0.666,10.4,0
9.566,4,25,24,55.0,466.58,42,40.025,35,19,61.109,68.189,41.762,7,61,68,26,28,7.649,45.9,42.6,1.002,1.118,0.685,0.656,6.6,0
5.1,4,15,12,43.0,416.39,34,31.068,30,15,47.112,51.547,30.529,10,45,49,15,20,9.253,44.4,33.3,1.047,1.145,0.678,0.69,8.9,0
7.0,8,20,20,43.0,426.61,33,34.814,30,12,56.171,63.853,37.0,10,56,59,26,20,7.618,35.7,46.4,1.003,1.14,0.661,0.622,14.3,0
7.0,8,20,20,43.0,416.51,33,31.286,29,12,48.218,54.077,32.137,11,47,51,18,18,8.862,38.3,38.3,1.026,1.151,0.684,0.666,17.0,0
7.0,8,20,20,43.0,416.51,33,31.286,29,12,48.218,54.077,32.137,11,47,51,18,18,8.862,38.3,38.3,1.026,1.151,0.684,0.666,17.0,0
5.1,5,21,21,34.5,275.34,24,23.214,21,15,34.043,38.152,24.074,5,34,37,13,16,8.098,47.1,38.2,1.001,1.122,0.708,0.683,14.7,0
5.1,5,21,21,34.5,275.34,24,23.214,21,15,34.043,38.152,24.074,5,34,37,13,16,8.098,47.1,38.2,1.001,1.122,0.708,0.683,14.7,0
5.1,6,21,21,35.5,290.36,25,24.236,22,15,36.145,40.651,25.08,6,36,39,14,16,8.066,44.4,38.9,1.004,1.129,0.697,0.673,16.7,0
5.1,3,21,21,34.5,275.33,24,23.413,21,16,34.051,37.78,24.279,4,34,37,13,17,8.098,50.0,38.2,1.001,1.111,0.714,0.689,8.8,0
5.1,3,15,15,26.5,227.29,19,19.413,17,10,30.051,33.78,20.279,4,30,32,13,13,7.576,43.3,43.3,1.002,1.126,0.676,0.647,10.0,0
5.1,4,15,15,31.5,282.38,24,24.488,21,10,38.92,44.109,25.807,5,39,42,18,16,7.241,41.0,46.2,0.998,1.131,0.662,0.628,10.3,0
5.1,5,20,20,31.0,235.27,21,19.161,18,13,27.276,30.322,19.551,5,27,30,9,13,8.714,48.1,33.3,1.01,1.123,0.724,0.71,18.5,0
5.1,4,21,21,34.5,292.39,24,23.38,21,16,33.018,36.574,24.716,5,33,36,12,16,8.86,48.5,36.4,1.001,1.108,0.749,0.708,12.1,0
5.1,4,21,21,35.5,306.42,25,24.907,22,16,35.902,39.989,26.478,5,36,39,14,17,8.512,47.2,38.9,0.997,1.111,0.735,0.692,11.1,0
5.2,6,20,20,39.0,332.45,29,28.816,25,13,44.796,50.896,30.364,6,45,49,20,19,7.388,42.2,44.4,0.995,1.131,0.675,0.64,13.3,0
5.5,6,20,20,35.0,292.38,25,24.762,22,13,38.029,43.066,25.841,6,38,41,16,16,7.694,42.1,42.1,1.001,1.133,0.68,0.652,15.8,0
5.1,5,21,21,43.5,391.49,33,32.946,29,16,51.301,57.777,34.273,7,51,55,22,22,7.676,43.1,43.1,1.006,1.133,0.672,0.646,9.8,0
7.187,4,14,11,43.5,442.54,35,36.65,32,14,59.832,67.153,37.915,9,59,62,27,23,7.501,39.0,45.8,1.014,1.138,0.643,0.621,6.8,0
5.1,2,13,12,25.0,210.25,18,17.865,16,13,26.065,28.867,18.512,3,26,28,10,13,8.087,50.0,38.5,1.003,1.11,0.712,0.687,7.7,0
5.1,3,23,23,40.5,361.47,29,29.322,26,20,42.08,46.661,30.932,5,42,45,16,21,8.606,50.0,38.1,1.002,1.111,0.736,0.698,7.1,0
5.0,3,16,12,43.0,449.87,33,33.259,31,17,50.916,55.693,33.421,10,49,51,18,21,9.181,42.9,36.7,1.039,1.137,0.682,0.679,6.1,0
6.0,7,16,12,49.0,473.64,39,40.901,35,16,65.97,74.889,43.086,9,66,70,31,26,7.176,39.4,47.0,1.0,1.135,0.653,0.62,10.6,0
5.1,6,24,20,57.0,496.57,43,40.729,37,20,61.872,68.564,41.705,10,61,67,24,27,8.14,44.3,39.3,1.014,1.124,0.684,0.668,9.8,0
5.0,6,16,15,35.5,306.41,26,26.289,23,9,40.912,46.481,27.603,6,41,44,18,17,7.473,41.5,43.9,0.998,1.134,0.673,0.641,14.6,0
7.237,6,26,23,58.5,557.1,43,45.422,40,23,69.52,77.544,47.392,10,69,72,29,30,8.074,43.5,42.0,1.008,1.124,0.687,0.658,8.7,0
5.5,5,17,17,41.5,450.38,33,34.128,30,14,52.832,59.081,35.75,9,52,55,22,21,8.661,40.4,42.3,1.016,1.136,0.688,0.656,9.6,0
5.1,3,20,18,42.0,371.47,31,32.235,28,20,48.912,54.651,33.779,5,49,52,21,23,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,0
5.4,3,20,18,42.0,371.47,31,32.235,28,20,48.912,54.651,33.779,5,49,52,21,23,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,0
6.0,3,20,18,41.0,357.44,30,30.708,27,20,46.029,51.235,32.017,5,46,49,19,22,7.77,47.8,41.3,1.001,1.114,0.696,0.668,6.5,0
5.1,8,23,21,43.5,378.39,31,28.896,28,16,43.447,47.86,28.693,11,42,45,14,17,9.009,40.5,33.3,1.034,1.14,0.683,0.688,19.0,0
5.0,6,24,23,52.5,498.71,40,42.352,36,21,65.618,74.102,45.273,8,66,70,30,28,7.556,42.4,45.5,0.994,1.123,0.686,0.642,9.1,0
7.42,5,24,22,53.0,481.65,40,42.385,36,22,66.65,75.308,44.836,7,67,71,31,29,7.189,43.3,46.3,0.995,1.124,0.669,0.633,7.5,0
5.0,4,21,17,63.5,634.74,51,52.097,46,21,83.418,92.987,53.569,12,82,87,36,34,7.741,41.5,43.9,1.017,1.134,0.653,0.635,4.9,0
5.0,5,22,21,53.5,543.67,42,42.722,38,18,67.265,75.247,44.296,11,66,70,28,27,8.237,40.9,42.4,1.019,1.14,0.671,0.647,7.6,0
6.796,6,15,11,47.5,460.64,37,40.406,34,13,65.752,74.806,42.841,8,66,69,32,26,6.979,39.4,48.5,0.996,1.133,0.649,0.612,9.1,0
5.0,4,23,22,49.0,480.59,37,38.115,34,19,58.956,65.112,39.557,10,58,61,24,24,8.286,41.4,41.4,1.016,1.123,0.682,0.657,6.9,0
5.0,4,18,16,38.0,332.44,28,29.015,25,16,44.803,50.524,30.569,5,45,48,20,20,7.388,44.4,44.4,0.996,1.123,0.679,0.645,8.9,0
6.7,6,20,17,40.5,394.4,29,27.334,27,15,41.229,44.878,26.966,12,39,41,12,15,10.113,38.5,30.8,1.057,1.151,0.691,0.701,15.4,0
4.523,5,14,11,46.5,554.6,38,42.995,36,13,69.469,78.156,46.176,11,69,71,33,25,8.038,36.2,47.8,1.007,1.133,0.669,0.623,7.2,0
4.523,3,18,17,39.5,381.89,30,31.063,27,17,47.236,52.595,32.637,6,47,50,20,21,8.125,44.7,42.6,1.005,1.119,0.694,0.661,6.4,0
5.1,4,9,6,28.0,270.37,22,23.488,20,9,37.92,43.109,24.807,5,38,40,18,15,7.115,39.5,47.4,0.998,1.134,0.653,0.618,10.5,0
6.3,5,23,22,42.0,375.49,30,30.17,27,19,44.214,49.112,31.699,7,44,47,17,20,8.534,45.5,38.6,1.005,1.116,0.72,0.686,11.4,0
5.1,5,18,17,34.5,307.39,25,25.983,23,15,40.138,45.192,27.051,6,40,42,17,17,7.685,42.5,42.5,1.003,1.13,0.676,0.65,12.5,0
5.9,4,23,22,42.0,356.46,30,31.015,27,20,46.803,52.524,32.569,5,47,50,20,22,7.584,46.8,42.6,0.996,1.118,0.693,0.66,8.5,0
5.1,5,15,12,42.0,425.54,33,35.761,31,14,58.538,65.896,37.222,9,58,60,27,22,7.337,37.9,46.6,1.009,1.136,0.642,0.617,8.6,0
5.1,5,21,21,42.5,411.34,32,28.568,29,15,42.887,47.021,27.222,11,40,43,11,18,10.283,45.0,27.5,1.072,1.176,0.681,0.714,12.5,0
6.8,4,18,17,36.5,346.34,27,26.111,25,15,39.574,43.713,25.858,8,38,40,13,17,9.114,44.7,34.2,1.041,1.15,0.68,0.687,10.5,0
5.1,4,14,11,28.5,278.32,20,19.998,19,10,30.116,32.787,20.318,8,29,30,10,11,9.597,37.9,34.5,1.038,1.131,0.701,0.69,13.8,0
5.1,5,23,22,46.0,415.56,34,34.223,30,19,50.982,56.943,36.222,7,51,55,21,23,8.148,45.1,41.2,1.0,1.117,0.71,0.671,9.8,0
5.1,6,23,22,46.0,426.44,34,32.681,31,19,49.661,55.125,32.631,10,48,51,17,21,8.884,43.8,35.4,1.035,1.148,0.68,0.681,12.5,0
5.1,2,17,16,31.0,288.32,22,21.15,20,14,29.982,32.336,21.551,6,29,31,9,14,9.942,48.3,31.0,1.034,1.115,0.743,0.729,6.9,0
5.1,3,19,17,36.5,343.44,26,27.083,24,14,41.549,45.95,28.358,7,41,43,17,17,8.377,41.5,41.5,1.013,1.121,0.692,0.661,7.3,0
5.6,4,18,16,40.0,362.47,30,31.256,27,16,49.014,55.149,32.784,6,49,52,22,21,7.397,42.9,44.9,1.0,1.125,0.669,0.638,8.2,0
5.3,2,18,16,36.0,379.28,26,26.475,24,16,36.884,39.715,27.852,7,36,38,12,17,10.536,47.2,33.3,1.025,1.103,0.774,0.735,5.6,0
5.1,6,19,18,44.0,418.55,34,35.826,31,16,57.101,64.561,37.557,8,57,60,26,23,7.343,40.4,45.6,1.002,1.133,0.659,0.629,10.5,0
5.1,5,25,25,45.5,405.54,33,32.892,29,18,49.167,55.073,34.705,7,49,53,20,22,8.276,44.9,40.8,1.003,1.124,0.708,0.671,10.2,0
5.6,4,17,16,30.0,234.28,20,19.666,18,12,28.058,31.239,20.307,4,28,30,10,14,8.367,50.0,35.7,1.002,1.116,0.725,0.702,14.3,0
6.6,6,24,22,46.0,418.52,33,32.906,30,20,48.643,53.82,34.159,9,48,51,18,21,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,0
7.1,4,28,27,50.5,444.52,36,34.773,32,24,49.836,54.578,35.847,8,49,53,17,24,9.072,49.0,34.7,1.017,1.114,0.732,0.71,8.2,0
5.1,6,22,22,45.0,408.45,34,32.297,30,16,49.149,54.785,32.694,9,48,52,18,21,8.509,43.8,37.5,1.024,1.141,0.681,0.673,12.5,0
5.1,7,22,21,42.5,375.48,31,31.552,28,16,49.225,55.604,32.824,8,49,52,21,20,7.663,40.8,42.9,1.005,1.135,0.67,0.644,14.3,0
5.5,5,18,17,34.5,348.21,25,24.584,23,15,35.018,38.25,25.244,8,34,36,11,15,10.241,44.1,32.4,1.03,1.125,0.742,0.723,14.7,0
6.8,6,16,16,37.0,370.93,29,30.697,26,11,48.887,55.671,32.745,7,49,52,23,19,7.57,38.8,46.9,0.998,1.136,0.668,0.626,12.2,0
6.6,4,22,22,46.0,442.48,35,34.933,32,18,54.436,60.583,35.358,9,53,56,21,23,8.349,43.4,39.6,1.027,1.143,0.667,0.659,7.5,0
5.8,4,18,16,41.0,376.5,31,32.783,28,16,51.898,58.564,34.546,6,52,55,24,22,7.24,42.3,46.2,0.998,1.126,0.664,0.63,7.7,0
5.9,5,22,22,51.0,467.67,40,42.197,35,18,67.207,76.514,45.143,6,68,73,33,29,6.877,42.6,48.5,0.988,1.125,0.664,0.621,7.4,0
5.9,5,24,22,48.0,427.57,34,35.223,31,20,51.982,57.943,37.222,7,52,55,21,24,8.222,46.2,40.4,1.0,1.114,0.716,0.677,9.6,0
5.1,3,15,12,33.0,293.35,24,24.655,22,15,37.262,41.405,25.495,5,37,39,15,17,7.928,45.9,40.5,1.007,1.119,0.689,0.666,8.1,0
5.1,8,25,25,40.5,316.36,28,25.225,24,15,36.582,40.817,25.568,8,36,40,12,16,8.788,44.4,33.3,1.016,1.134,0.71,0.701,22.2,0
5.1,3,13,12,29.0,267.36,22,23.467,20,12,36.818,41.611,24.801,4,37,39,17,16,7.226,43.2,45.9,0.995,1.125,0.67,0.634,8.1,0
5.5,6,28,27,49.5,412.46,35,33.387,31,22,48.752,54.03,33.995,8,48,52,17,23,8.593,47.9,35.4,1.016,1.126,0.708,0.696,12.5,0
6.3,5,23,18,51.0,477.59,37,37.894,34,21,57.847,63.986,39.347,10,57,60,23,24,8.379,42.1,40.4,1.015,1.123,0.69,0.665,8.8,0
5.1,4,15,15,28.5,256.34,21,21.961,19,10,35.036,39.694,23.046,5,35,37,16,14,7.324,40.0,45.7,1.001,1.134,0.658,0.627,11.4,0
5.5,4,23,22,49.0,442.56,37,38.025,33,20,59.109,66.189,39.762,7,59,63,26,26,7.501,44.1,44.1,1.002,1.122,0.674,0.644,6.8,0
6.6,4,28,27,50.5,444.52,36,34.773,32,24,49.836,54.578,35.847,8,49,53,17,24,9.072,49.0,34.7,1.017,1.114,0.732,0.71,8.2,0
6.1,4,26,26,46.0,400.54,33,33.202,29,20,48.88,54.444,35.216,6,49,53,20,23,8.174,46.9,40.8,0.998,1.111,0.719,0.678,8.2,0
7.4,6,16,16,34.0,308.43,26,26.816,23,11,42.796,48.896,28.364,6,43,46,20,17,7.173,39.5,46.5,0.995,1.137,0.66,0.624,14.0,0
5.1,3,13,11,34.5,325.42,27,27.904,24,12,44.098,49.781,29.262,5,44,47,20,19,7.396,43.2,45.5,1.002,1.131,0.665,0.634,6.8,0
5.6,3,20,18,41.0,411.94,30,31.723,28,20,46.429,51.099,33.523,7,46,48,18,21,8.955,45.7,39.1,1.009,1.111,0.729,0.69,6.5,0
5.1,5,17,16,36.0,323.41,27,25.116,23,12,36.447,40.282,26.176,7,36,40,13,16,8.984,44.4,36.1,1.012,1.119,0.727,0.698,13.9,0
6.8,4,18,17,36.5,350.3,27,24.968,25,15,37.203,40.637,24.034,9,35,37,10,16,10.009,45.7,28.6,1.063,1.161,0.687,0.713,11.4,0
7.3,7,34,33,65.5,589.78,48,49.088,43,28,74.047,82.809,51.733,10,74,79,31,33,7.97,44.6,41.9,1.001,1.119,0.699,0.663,9.5,0
5.1,3,22,21,39.5,367.88,28,27.954,25,18,39.334,43.06,29.546,6,39,42,14,19,9.433,48.7,35.9,1.009,1.104,0.758,0.717,7.7,0
7.7,6,28,27,51.5,454.6,37,37.245,33,23,55.083,61.441,39.228,8,55,59,22,25,8.265,45.5,40.0,1.002,1.117,0.713,0.677,10.9,0
6.1,4,23,22,46.0,398.5,34,34.256,30,20,52.014,58.149,35.784,6,52,56,22,24,7.663,46.2,42.3,1.0,1.118,0.688,0.659,7.7,0
6.6,5,23,22,41.0,361.46,29,28.643,26,19,41.331,45.697,29.938,7,41,44,15,19,8.816,46.3,36.6,1.008,1.115,0.73,0.699,12.2,0
5.1,5,30,28,56.0,497.67,40,41.518,36,24,62.96,70.398,43.961,8,63,67,27,28,7.9,44.4,42.9,0.999,1.117,0.698,0.659,7.9,0
5.1,8,14,12,50.0,522.73,42,45.218,38,12,76.05,86.843,47.83,11,76,80,38,27,6.878,35.5,50.0,1.001,1.143,0.629,0.595,10.5,0
5.1,4,16,15,29.5,254.32,21,21.434,19,11,33.153,37.279,22.284,5,33,35,14,14,7.707,42.4,42.4,1.005,1.13,0.675,0.65,12.1,0
6.9,7,29,27,57.5,529.65,42,41.891,38,24,62.909,69.903,43.387,11,62,66,24,27,8.543,43.5,38.7,1.015,1.127,0.7,0.676,11.3,0
7.9,7,14,12,45.0,451.61,37,38.569,33,13,63.156,72.02,40.569,9,63,67,30,24,7.168,38.1,47.6,1.002,1.143,0.644,0.612,11.1,0
5.6,4,16,16,30.0,268.35,22,22.961,20,12,36.036,40.694,24.046,5,36,38,16,15,7.454,41.7,44.4,1.001,1.13,0.668,0.638,11.1,0
5.6,5,14,12,30.0,289.7,22,20.418,20,12,29.255,31.685,20.318,8,28,30,8,12,10.346,42.9,28.6,1.045,1.132,0.726,0.729,17.9,0
5.1,6,21,21,43.5,408.53,33,34.494,30,15,55.287,62.691,36.04,8,55,58,25,22,7.428,40.0,45.5,1.005,1.14,0.655,0.627,10.9,0
5.1,5,17,16,31.0,269.31,22,19.536,19,12,26.796,29.036,19.892,7,26,29,7,12,10.358,46.2,26.9,1.031,1.117,0.765,0.751,19.2,0
5.1,4,23,22,44.0,404.93,32,33.369,29,20,50.011,55.883,35.188,6,50,53,21,23,8.099,46.0,42.0,1.0,1.118,0.704,0.667,8.0,0
5.1,7,14,12,50.0,521.74,42,45.723,38,12,76.832,87.76,48.586,10,77,81,39,28,6.776,36.4,50.6,0.998,1.14,0.631,0.594,9.1,0
5.1,5,23,22,46.0,415.56,34,34.223,30,19,50.982,56.943,36.222,7,51,55,21,23,8.148,45.1,41.2,1.0,1.117,0.71,0.671,9.8,0
5.5,4,22,20,41.0,380.53,29,29.335,26,17,42.189,46.534,31.341,7,42,45,16,19,9.06,45.2,38.1,1.004,1.108,0.746,0.698,9.5,0
5.8,7,28,27,59.5,535.71,45,46.428,40,22,72.854,82.305,48.847,9,73,78,33,31,7.338,42.5,45.2,0.998,1.127,0.669,0.636,9.6,0
5.8,5,22,22,51.0,467.67,40,42.197,35,18,67.207,76.514,45.143,6,68,73,33,29,6.877,42.6,48.5,0.988,1.125,0.664,0.621,7.4,0
5.1,4,13,12,26.0,246.67,19,17.682,17,11,24.825,26.977,17.858,6,24,26,7,11,10.278,45.8,29.2,1.034,1.124,0.744,0.737,16.7,0
5.1,4,17,17,29.5,268.37,21,21.38,19,13,31.018,34.574,22.716,5,31,33,12,14,8.657,45.2,38.7,1.001,1.115,0.733,0.69,12.9,0
7.4,6,16,16,33.0,330.86,25,26.644,23,11,42.12,47.84,28.222,7,42,44,19,16,7.878,38.1,45.2,1.003,1.139,0.672,0.634,14.3,0
5.2,3,23,23,41.5,359.41,30,29.896,27,21,44.473,49.03,30.71,6,44,47,17,21,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,0
5.1,2,19,18,38.0,346.46,28,30.74,26,18,47.694,53.567,32.534,4,48,50,22,22,7.218,45.8,45.8,0.994,1.116,0.678,0.64,4.2,0
7.3,6,28,27,50.5,440.57,36,35.718,32,23,52.2,58.026,37.466,8,52,56,20,24,8.472,46.2,38.5,1.004,1.116,0.721,0.687,11.5,0
5.1,5,25,25,44.5,379.4,32,29.749,28,17,44.163,48.872,29.926,8,43,47,15,20,8.823,46.5,34.9,1.027,1.137,0.696,0.692,11.6,0
7.1,6,16,16,37.0,370.93,29,30.697,26,11,48.887,55.671,32.745,7,49,52,23,19,7.57,38.8,46.9,0.998,1.136,0.668,0.626,12.2,0
6.2,4,23,22,45.0,410.41,33,31.684,30,20,47.6,52.207,31.591,9,46,49,16,21,8.922,45.7,34.8,1.035,1.135,0.687,0.689,8.7,0
5.1,4,21,20,38.0,318.41,27,27.488,24,15,41.92,47.109,28.807,5,42,45,18,19,7.581,45.2,42.9,0.998,1.122,0.686,0.654,9.5,0
5.1,5,19,16,49.0,457.63,37,40.385,34,15,64.65,73.308,42.836,7,65,68,31,27,7.04,41.5,47.7,0.995,1.128,0.659,0.621,7.7,0
5.1,6,22,22,41.0,364.42,30,29.387,27,16,44.752,50.03,29.995,8,44,47,17,19,8.282,43.2,38.6,1.017,1.137,0.682,0.668,13.6,0
6.6,8,34,33,69.5,630.84,52,52.636,46,28,80.032,89.723,55.5,11,80,86,34,35,7.885,43.8,42.5,1.0,1.122,0.694,0.658,10.0,0
5.8,4,19,16,41.0,344.4,30,28.676,26,17,42.363,46.903,29.5,6,42,46,16,20,8.2,47.6,38.1,1.009,1.117,0.702,0.683,9.5,0
5.1,5,22,16,52.0,497.58,38,38.324,35,18,59.502,65.405,39.256,12,58,61,23,23,8.579,39.7,39.7,1.026,1.128,0.677,0.661,8.6,0
5.1,5,15,12,39.0,379.51,30,32.805,28,14,53.0,60.062,34.552,7,53,55,25,21,7.161,39.6,47.2,1.0,1.133,0.652,0.619,9.4,0
5.1,6,18,18,33.0,320.46,24,21.217,20,8,28.724,31.165,22.739,9,28,32,8,11,11.445,39.3,28.6,1.026,1.113,0.812,0.758,21.4,0
5.1,6,22,21,42.5,374.49,31,32.058,28,16,50.007,56.521,33.58,7,50,53,22,21,7.49,42.0,44.0,1.0,1.13,0.672,0.641,12.0,0
5.1,4,17,16,38.0,334.41,28,28.203,25,13,43.247,48.318,29.262,6,43,46,18,19,7.777,44.2,41.9,1.006,1.124,0.681,0.656,9.3,0
5.1,6,22,22,44.0,426.92,33,33.268,30,16,50.843,56.805,34.375,9,50,53,20,21,8.538,42.0,40.0,1.017,1.136,0.688,0.665,12.0,0
5.1,2,19,18,38.0,350.42,28,29.597,26,18,45.323,50.492,30.711,5,45,47,19,21,7.787,46.7,42.2,1.007,1.122,0.682,0.658,4.4,0
5.1,5,15,15,31.5,283.37,24,23.983,21,9,38.138,43.192,25.051,6,38,41,17,15,7.457,39.5,44.7,1.004,1.137,0.659,0.631,13.2,0
5.1,5,11,10,30.0,303.41,24,25.751,22,7,43.232,49.232,27.029,7,43,45,21,15,7.056,34.9,48.8,1.005,1.145,0.629,0.599,11.6,0
