pXC50,nAB,nC,RBN,N.,nCsp2,MW,nSK,SCBO,nBM,nBO,nF,nDB,C.,Sv,Se,Sp,RBF,nAT,Si,nX,nBT,X.,nHet,nH
6.784,17,23,7,7.5,14,358.53,27,39.5,18,29,0,0,43.4,32.88,52.127,35.398,0.127,53.0,59.56,0,55.0,0.0,4,26
7.451,17,22,7,5.8,14,351.51,26,36.5,17,28,1,0,42.3,31.769,51.421,34.091,0.13,52.0,58.817,1,54.0,1.9,4,26
7.58,16,20,7,6.1,12,339.55,24,34.0,16,26,0,0,40.8,30.046,48.101,33.04,0.137,49.0,54.982,0,51.0,0.0,4,25
7.523,22,25,10,9.7,16,430.61,32,46.0,22,35,0,0,40.3,38.165,61.541,40.625,0.154,62.0,70.182,0,65.0,0.0,7,30
5.0,16,21,3,12.7,12,377.55,28,40.0,16,32,0,0,38.2,33.418,54.549,35.654,0.051,55.0,62.64,0,59.0,0.0,7,27
5.0,16,18,3,13.0,12,322.46,24,35.0,16,27,0,0,39.1,28.343,45.68,30.125,0.061,46.0,52.311,0,49.0,0.0,6,22
5.0,16,23,3,10.2,12,390.59,29,41.0,16,33,0,0,39.0,35.45,58.214,38.171,0.048,59.0,66.972,0,63.0,0.0,6,30
5.0,16,22,3,10.7,12,376.56,28,40.0,16,32,0,0,39.3,33.923,55.33,36.41,0.05,56.0,63.557,0,60.0,0.0,6,28
5.344,16,21,3,11.3,12,362.53,27,39.0,16,31,0,0,39.6,32.396,52.447,34.648,0.053,53.0,60.142,0,57.0,0.0,6,26
5.0,16,20,3,12.0,12,348.5,26,38.0,16,30,0,0,40.0,30.87,49.563,32.887,0.056,50.0,56.727,0,54.0,0.0,6,24
5.0,16,23,5,10.2,12,390.59,29,41.0,16,33,0,0,39.0,35.45,58.214,38.171,0.079,59.0,66.972,0,63.0,0.0,6,30
5.382,16,26,6,8.8,12,432.68,32,44.0,16,36,0,0,38.2,40.03,66.865,43.455,0.083,68.0,77.218,0,72.0,0.0,6,36
5.0,16,22,3,10.7,12,376.56,28,40.0,16,32,0,0,39.3,33.923,55.33,36.41,0.05,56.0,63.557,0,60.0,0.0,6,28
5.0,16,22,3,10.7,12,376.56,28,40.0,16,32,0,0,39.3,33.923,55.33,36.41,0.05,56.0,63.557,0,60.0,0.0,6,28
5.322,16,25,5,9.4,13,432.63,32,45.0,17,36,0,1,39.1,38.692,63.425,41.387,0.074,64.0,72.597,0,68.0,0.0,7,32
5.0,16,22,4,10.5,12,392.56,29,41.0,16,33,0,0,38.6,34.638,56.658,36.864,0.066,57.0,64.766,0,61.0,0.0,7,28
5.0,16,22,3,10.7,12,430.53,31,43.0,16,35,3,0,39.3,35.073,56.869,36.222,0.05,56.0,64.576,3,60.0,5.4,9,25
5.0,16,22,3,10.7,12,406.54,30,43.0,16,35,0,0,39.3,34.826,56.101,36.557,0.049,56.0,63.561,0,61.0,0.0,8,26
5.0,10,21,3,10.2,6,368.59,27,36.0,10,31,0,0,35.6,33.977,58.098,36.932,0.048,59.0,67.387,0,63.0,0.0,6,32
5.0,10,18,3,11.5,6,328.52,24,32.0,10,27,0,0,34.6,29.923,51.33,32.41,0.055,52.0,59.557,0,55.0,0.0,6,28
5.0,10,19,3,10.9,6,342.55,25,33.0,10,28,0,0,34.5,31.45,54.214,34.171,0.052,55.0,62.972,0,58.0,0.0,6,30
6.426,17,24,6,3.7,16,374.52,28,40.5,18,31,0,1,44.4,33.794,53.461,36.057,0.105,54.0,60.398,0,57.0,0.0,4,26
6.471,17,24,7,3.6,16,390.52,29,41.5,18,32,0,1,43.6,34.509,54.789,36.512,0.121,55.0,61.607,0,58.0,0.0,5,26
5.0,16,23,3,10.3,13,404.57,30,43.0,17,34,0,1,39.7,35.638,57.658,37.864,0.048,58.0,65.766,0,62.0,0.0,7,28
5.0,16,19,4,12.2,12,336.49,25,36.0,16,28,0,0,38.8,29.87,48.563,31.887,0.077,49.0,55.727,0,52.0,0.0,6,24
5.0,16,21,3,11.3,12,380.52,28,40.0,16,32,1,0,39.6,32.78,52.96,34.586,0.053,53.0,60.482,1,57.0,1.9,7,25
5.0,16,20,3,11.8,12,364.5,27,39.0,16,31,0,0,39.2,31.584,50.891,33.341,0.055,51.0,57.936,0,55.0,0.0,7,24
5.0,16,22,4,10.7,12,376.56,28,40.0,16,32,0,0,39.3,33.923,55.33,36.41,0.067,56.0,63.557,0,60.0,0.0,6,28
5.0,22,22,4,12.0,18,370.5,28,43.0,22,32,0,0,44.0,32.343,49.68,34.125,0.074,50.0,56.311,0,54.0,0.0,6,22
5.169,16,20,3,13.5,11,363.52,27,39.0,16,31,0,0,38.5,31.891,51.665,33.893,0.054,52.0,59.225,0,56.0,0.0,7,25
5.0,16,20,3,13.5,12,363.52,27,39.0,16,31,0,0,38.5,31.891,51.665,33.893,0.054,52.0,59.225,0,56.0,0.0,7,25
5.254,16,21,3,11.3,12,396.97,28,40.0,16,32,0,0,39.6,33.224,52.771,35.506,0.053,53.0,60.086,1,57.0,1.9,7,25
5.0,16,22,4,10.7,12,376.56,28,40.0,16,32,0,0,39.3,33.923,55.33,36.41,0.067,56.0,63.557,0,60.0,0.0,6,28
5.0,16,21,2,11.5,13,394.5,29,42.0,17,33,1,1,40.4,32.968,52.403,34.279,0.036,52.0,59.276,1,56.0,1.9,8,23
5.812,16,26,5,9.0,13,446.66,33,46.0,17,37,0,1,38.8,40.218,66.309,43.148,0.07,67.0,76.012,0,71.0,0.0,7,34
5.909,16,27,6,8.6,13,460.69,34,47.0,17,38,0,1,38.6,41.745,69.192,44.91,0.081,70.0,79.427,0,74.0,0.0,7,36
6.152,16,27,5,8.8,13,458.67,34,48.0,17,39,0,1,39.7,41.218,67.309,44.148,0.068,68.0,77.012,0,73.0,0.0,7,34
7.387,17,25,7,3.5,16,388.55,29,41.5,18,32,0,1,43.9,35.321,56.345,37.819,0.117,57.0,63.813,0,60.0,0.0,4,28
7.056,17,26,7,3.3,16,402.58,30,42.5,18,33,0,1,43.3,36.848,59.229,39.58,0.111,60.0,67.228,0,63.0,0.0,4,30
7.538,22,24,7,10.7,16,398.56,30,45.0,22,34,0,0,42.9,35.396,55.447,37.648,0.117,56.0,63.142,0,60.0,0.0,6,26
5.5,16,23,4,10.3,13,404.57,30,43.0,17,34,0,1,39.7,35.638,57.658,37.864,0.065,58.0,65.766,0,62.0,0.0,7,28
5.459,16,24,5,9.8,13,418.6,31,44.0,17,35,0,1,39.3,37.165,60.541,39.625,0.077,61.0,69.182,0,65.0,0.0,7,30
6.265,16,27,6,8.6,13,460.69,34,47.0,17,38,0,1,38.6,41.745,69.192,44.91,0.081,70.0,79.427,0,74.0,0.0,7,36
6.192,17,26,8,3.3,16,402.58,30,42.5,18,33,0,1,43.3,36.848,59.229,39.58,0.127,60.0,67.228,0,63.0,0.0,4,30
5.0,16,21,3,11.3,12,380.52,28,40.0,16,32,1,0,39.6,32.78,52.96,34.586,0.053,53.0,60.482,1,57.0,1.9,7,25
5.0,10,14,1,15.0,6,272.4,20,28.0,10,23,0,0,35.0,23.816,39.796,25.364,0.023,40.0,45.896,0,43.0,0.0,6,20
6.44,6,16,5,8.3,6,352.51,24,32.0,9,26,0,3,33.3,28.685,48.302,30.648,0.1,48.0,54.693,0,50.0,0.0,8,24
4.854,16,17,5,7.0,12,345.46,24,35.0,17,26,0,1,39.5,27.61,43.433,29.12,0.111,43.0,48.365,0,45.0,0.0,7,19
7.907,16,20,6,8.2,12,390.45,28,39.0,16,31,3,0,40.8,31.218,50.109,31.904,0.115,49.0,56.374,3,52.0,6.1,8,21
6.658,17,22,6,5.7,14,367.51,27,37.5,17,29,1,0,41.5,32.484,52.749,34.546,0.109,53.0,60.026,1,55.0,1.9,5,26
7.472,17,22,6,5.7,14,367.51,27,37.5,17,29,1,0,41.5,32.484,52.749,34.546,0.109,53.0,60.026,1,55.0,1.9,5,26
7.796,16,20,6,7.8,12,338.5,25,35.0,16,27,0,0,39.2,30.595,50.454,32.853,0.113,51.0,57.77,0,53.0,0.0,5,26
7.712,16,20,6,8.2,12,444.42,31,42.0,16,34,6,0,40.8,32.368,51.647,31.716,0.115,49.0,57.393,6,52.0,12.2,11,18
7.721,22,31,10,8.1,23,538.71,40,58.0,25,44,0,3,41.9,46.648,73.963,49.057,0.128,74.0,83.431,0,78.0,0.0,9,34
6.325,6,16,5,8.3,6,352.51,24,32.0,9,26,0,3,33.3,28.685,48.302,30.648,0.1,48.0,54.693,0,50.0,0.0,8,24
6.057,6,16,5,8.3,6,352.51,24,32.0,9,26,0,3,33.3,28.685,48.302,30.648,0.1,48.0,54.693,0,50.0,0.0,8,24
7.13,6,17,5,7.8,6,366.54,25,33.0,9,27,0,3,33.3,30.212,51.185,32.409,0.094,51.0,58.109,0,53.0,0.0,8,26
6.717,6,17,5,7.8,6,366.54,25,33.0,9,27,0,3,33.3,30.212,51.185,32.409,0.094,51.0,58.109,0,53.0,0.0,8,26
6.172,6,17,5,7.8,6,366.54,25,33.0,9,27,0,3,33.3,30.212,51.185,32.409,0.094,51.0,58.109,0,53.0,0.0,8,26
7.209,6,18,6,7.4,6,380.57,26,34.0,9,28,0,3,33.3,31.739,54.069,34.171,0.107,54.0,61.524,0,56.0,0.0,8,28
6.366,6,21,7,6.3,6,422.66,29,37.0,9,31,0,3,33.3,36.319,62.72,39.455,0.108,63.0,71.769,0,65.0,0.0,8,34
6.584,6,23,5,6.3,6,444.66,31,42.0,9,36,0,3,36.5,37.792,62.836,40.694,0.074,63.0,71.354,0,68.0,0.0,8,32
6.373,6,16,5,8.0,6,354.53,24,31.0,9,25,0,3,32.0,29.212,50.185,31.409,0.098,50.0,57.109,0,51.0,0.0,8,26
5.77,6,20,5,6.7,6,408.63,28,36.0,9,30,0,3,33.3,34.792,59.836,37.694,0.081,60.0,68.354,0,62.0,0.0,8,32
6.435,6,20,5,6.7,6,408.63,28,36.0,9,30,0,3,33.3,34.792,59.836,37.694,0.081,60.0,68.354,0,62.0,0.0,8,32
5.0,6,17,5,9.4,6,381.56,26,34.0,9,28,0,3,32.1,31.233,53.287,33.415,0.091,53.0,60.607,0,55.0,0.0,9,27
5.063,12,17,6,8.5,12,362.5,25,35.0,15,26,0,3,36.2,29.158,47.418,30.887,0.125,47.0,53.278,0,48.0,0.0,8,22
5.308,12,19,6,7.5,12,390.56,27,37.0,15,28,0,3,35.8,32.212,53.185,34.409,0.111,53.0,60.109,0,54.0,0.0,8,26
5.294,12,19,5,7.8,12,388.54,27,38.0,15,29,0,3,37.3,31.685,51.302,33.648,0.094,51.0,57.693,0,53.0,0.0,8,24
5.0,6,14,5,10.9,6,341.49,23,30.0,9,24,0,3,30.4,27.18,46.52,28.892,0.106,46.0,52.777,0,47.0,0.0,9,23
5.921,6,17,5,6.0,6,367.52,25,33.0,9,27,0,3,34.0,29.905,50.411,31.858,0.096,50.0,56.82,0,52.0,0.0,8,25
5.796,6,17,5,6.0,6,367.52,25,33.0,9,27,0,3,34.0,29.905,50.411,31.858,0.096,50.0,56.82,0,52.0,0.0,8,25
5.201,6,18,5,5.8,7,365.55,25,33.0,9,27,0,3,34.6,30.717,51.967,33.165,0.093,52.0,59.026,0,54.0,0.0,7,27
5.041,6,18,6,5.8,6,365.55,25,33.0,9,27,0,3,34.6,30.717,51.967,33.165,0.111,52.0,59.026,0,54.0,0.0,7,27
5.043,6,17,6,6.0,6,367.52,25,33.0,9,27,0,3,34.0,29.905,50.411,31.858,0.115,50.0,56.82,0,52.0,0.0,8,25
6.191,6,18,5,7.4,6,380.57,26,34.0,9,28,0,3,33.3,31.739,54.069,34.171,0.089,54.0,61.524,0,56.0,0.0,8,28
5.007,6,17,6,9.6,6,365.56,25,33.0,9,27,0,3,32.7,30.519,51.96,32.961,0.111,52.0,59.398,0,54.0,0.0,8,27
5.128,6,18,5,7.4,6,380.57,26,34.0,9,28,0,3,33.3,31.739,54.069,34.171,0.089,54.0,61.524,0,56.0,0.0,8,28
5.585,12,22,6,5.3,11,399.61,28,39.0,14,31,0,2,38.6,34.529,56.523,37.472,0.1,57.0,64.231,0,60.0,0.0,6,29
5.64,11,19,6,7.5,8,406.63,27,37.5,13,30,0,2,35.8,32.684,52.934,35.603,0.107,53.0,59.819,0,56.0,0.0,8,26
5.398,11,19,6,9.3,8,389.58,27,37.5,13,30,0,2,35.2,32.519,53.96,34.961,0.105,54.0,61.398,0,57.0,0.0,8,27
5.398,11,17,6,12.0,7,376.54,26,36.5,13,29,0,2,34.0,30.486,50.294,32.444,0.113,50.0,57.065,0,53.0,0.0,9,24
5.921,11,18,6,11.8,7,388.55,27,38.5,13,31,0,2,35.3,31.486,51.294,33.444,0.109,51.0,58.065,0,55.0,0.0,9,24
6.465,11,18,6,11.8,7,388.55,27,38.5,13,31,0,2,35.3,31.486,51.294,33.444,0.109,51.0,58.065,0,55.0,0.0,9,24
5.0,6,17,5,7.8,6,366.54,25,33.0,9,27,0,3,33.3,30.212,51.185,32.409,0.094,51.0,58.109,0,53.0,0.0,8,26
7.137,23,25,5,8.2,19,615.56,42,59.5,25,46,6,2,41.0,42.436,65.134,41.188,0.077,61.0,70.649,6,65.0,9.8,17,19
7.194,23,28,6,7.1,19,657.65,45,62.5,25,49,6,2,40.0,47.016,73.785,46.472,0.081,70.0,80.894,6,74.0,8.6,17,25
7.086,23,29,6,7.0,19,669.66,46,64.5,25,51,6,2,40.8,48.016,74.785,47.472,0.079,71.0,81.894,6,76.0,8.5,17,25
7.585,18,24,5,6.8,18,574.55,39,54.0,21,42,6,3,40.7,40.226,62.589,39.489,0.081,59.0,68.356,6,62.0,10.2,15,20
7.678,18,25,5,6.7,18,586.56,40,56.0,21,44,6,3,41.7,41.226,63.589,40.489,0.078,60.0,69.356,6,64.0,10.0,15,20
7.824,18,26,5,6.3,18,600.59,41,57.0,21,45,6,3,41.3,42.753,66.472,42.25,0.075,63.0,72.771,6,67.0,9.5,15,22
7.161,23,27,5,7.6,19,573.65,40,57.5,25,44,3,2,40.9,43.625,68.036,44.443,0.071,66.0,75.251,3,70.0,4.5,13,26
7.284,23,28,5,7.2,19,587.68,41,58.5,25,45,3,2,40.6,45.152,70.92,46.205,0.068,69.0,78.666,3,73.0,4.3,13,28
8.77,23,27,5,7.6,19,573.65,40,57.5,25,44,3,2,40.9,43.625,68.036,44.443,0.071,66.0,75.251,3,70.0,4.5,13,26
8.081,23,25,4,8.3,19,599.56,41,58.5,25,45,6,2,41.7,41.721,63.807,40.733,0.063,60.0,69.439,6,64.0,10.0,16,19
7.745,23,25,5,8.2,19,597.57,41,58.5,25,45,5,2,41.0,42.053,64.621,41.25,0.077,61.0,70.309,5,65.0,8.2,16,20
7.419,18,25,3,5.0,17,489.61,34,48.0,20,37,3,2,41.7,38.679,61.061,40.284,0.048,60.0,68.25,3,63.0,5.0,9,26
7.377,24,28,4,6.3,22,538.64,38,56.0,26,42,3,2,44.4,42.174,64.28,43.529,0.06,63.0,71.334,3,67.0,4.8,10,25
7.201,23,27,4,7.8,20,541.65,38,55.5,25,42,3,2,42.2,42.195,65.381,43.534,0.059,64.0,72.832,3,68.0,4.7,11,26
6.943,18,28,4,5.8,17,544.7,38,53.0,20,42,3,2,40.6,43.754,69.93,45.813,0.055,69.0,78.579,3,73.0,4.3,10,31
7.326,18,25,4,8.3,19,545.59,38,55.0,22,42,3,4,41.7,40.571,62.269,40.921,0.063,60.0,68.42,3,64.0,5.0,13,22
7.398,23,25,4,8.5,19,529.59,37,54.5,25,41,3,2,42.4,39.856,60.941,40.466,0.063,59.0,67.211,3,63.0,5.1,12,22
7.252,23,26,5,7.9,19,559.62,39,56.5,25,43,3,2,41.3,42.098,65.152,42.682,0.075,63.0,71.835,3,67.0,4.8,13,24
7.284,23,27,5,7.6,19,573.65,40,57.5,25,44,3,2,40.9,43.625,68.036,44.443,0.071,66.0,75.251,3,70.0,4.5,13,26
7.31,18,24,3,5.3,17,475.58,33,47.0,20,36,3,2,42.1,37.152,58.178,38.523,0.05,57.0,64.835,3,60.0,5.3,9,24
6.812,18,22,2,5.9,17,501.49,34,48.0,20,37,6,2,43.1,35.249,53.949,34.813,0.037,51.0,59.024,6,54.0,11.8,12,17
6.265,18,22,3,5.6,17,511.59,34,50.0,22,37,3,4,40.7,36.715,56.142,37.557,0.053,54.0,61.344,3,57.0,5.6,12,20
7.367,18,22,3,5.8,17,517.49,35,49.0,20,38,6,2,42.3,35.963,55.276,35.267,0.055,52.0,60.233,6,55.0,11.5,13,17
7.161,18,24,3,5.3,17,493.57,34,48.0,20,37,4,2,42.1,37.536,58.69,38.461,0.05,57.0,65.175,4,60.0,7.0,10,23
7.222,18,25,3,6.9,17,500.59,35,51.0,21,38,3,2,43.1,38.647,59.396,39.767,0.049,58.0,65.918,3,61.0,5.2,10,23
