pXC50,nCsp2,nAB,nBM,H.,C.,Mv,Mi,Mp,SCBO,nS,AMW,nSK,MW
6.9,7,6,7,48.7,35.9,0.598,1.135,0.619,25.0,0,7.214,20,281.34
8.328,6,6,6,53.8,33.3,0.568,1.141,0.601,21.0,0,6.547,18,255.35
7.01,6,6,6,56.8,36.4,0.563,1.134,0.615,23.0,0,5.987,19,263.42
7.615,9,11,11,51.2,36.6,0.591,1.138,0.629,26.5,0,6.717,20,275.39
7.66,15,17,17,50.0,38.7,0.602,1.131,0.637,41.5,0,6.864,31,425.58
8.61,10,11,11,52.5,40.0,0.593,1.127,0.638,25.5,0,6.484,19,259.38
7.8,13,16,16,47.9,39.6,0.624,1.125,0.671,35.0,1,7.448,25,357.52
4.84,15,17,17,51.0,42.9,0.609,1.124,0.661,34.5,0,6.52,24,319.49
4.34,15,17,17,50.0,43.5,0.616,1.123,0.666,33.5,0,6.64,23,305.46
7.97,16,17,18,48.4,39.1,0.61,1.131,0.64,44.5,0,7.087,33,453.59
7.78,15,17,17,48.3,38.3,0.608,1.132,0.636,41.5,0,7.126,31,427.55
7.36,15,17,17,50.0,37.9,0.599,1.133,0.632,43.5,0,6.903,33,455.61
6.7,7,6,7,55.1,34.7,0.566,1.137,0.607,26.0,0,6.315,22,309.45
6.9,6,6,6,52.0,36.0,0.584,1.136,0.619,15.0,0,6.689,12,167.23
4.444,6,6,6,43.5,34.8,0.617,1.154,0.614,16.0,0,8.139,13,187.19
8.5,7,6,7,54.3,34.8,0.57,1.137,0.608,25.0,0,6.422,21,295.42
7.3,7,6,7,52.3,34.1,0.577,1.139,0.606,25.0,0,6.759,21,297.39
8.6,7,6,7,54.3,34.8,0.57,1.137,0.608,25.0,0,6.422,21,295.42
5.9,7,6,7,52.5,35.0,0.579,1.137,0.611,23.0,0,6.684,19,267.36
7.5,7,6,7,53.5,34.9,0.574,1.137,0.609,24.0,0,6.544,20,281.39
6.6,7,6,7,53.5,34.9,0.574,1.137,0.609,24.0,0,6.544,20,281.39
7.9,9,6,8,51.2,36.6,0.589,1.134,0.62,25.0,0,6.814,20,279.37
5.5,9,6,9,48.1,34.6,0.597,1.138,0.611,33.0,0,7.374,27,383.44
5.47,0,0,0,62.5,30.0,0.519,1.147,0.576,15.0,0,5.384,15,215.38
5.2,13,12,13,48.9,40.4,0.61,1.126,0.643,32.0,0,7.009,24,329.43
8.235,1,0,1,59.1,31.8,0.541,1.145,0.592,20.0,0,5.782,18,254.42
8.01,1,0,1,59.5,29.7,0.534,1.15,0.582,16.0,0,5.793,15,214.35
6.6,7,6,7,55.1,34.7,0.566,1.137,0.607,26.0,0,6.315,22,309.45
7.4,11,11,12,50.0,39.1,0.602,1.128,0.635,30.5,0,6.9,23,317.42
6.6,13,12,13,50.0,37.9,0.598,1.13,0.627,37.0,0,6.957,29,403.52
6.49,6,6,6,43.5,34.8,0.617,1.154,0.614,16.0,0,8.139,13,187.19
8.699,10,11,11,53.5,39.5,0.587,1.128,0.635,26.5,0,6.358,20,273.41
5.33,1,0,1,62.5,29.2,0.518,1.151,0.575,18.0,0,5.385,18,258.46
4.84,1,0,1,62.5,29.2,0.518,1.151,0.575,18.0,0,5.385,18,258.46
5.8,7,6,7,52.3,34.1,0.577,1.139,0.606,25.0,0,6.759,21,297.39
4.35,6,6,6,56.8,34.1,0.557,1.139,0.602,22.0,0,6.077,19,267.41
5.9,1,0,1,61.9,28.6,0.519,1.152,0.573,16.0,0,5.486,16,230.4
5.08,1,0,1,60.5,30.2,0.53,1.149,0.583,18.0,0,5.637,17,242.41
4.52,1,0,1,60.0,26.7,0.523,1.158,0.567,12.0,0,5.809,12,174.28
4.81,1,0,1,60.6,27.3,0.522,1.156,0.569,13.0,0,5.706,13,188.31
6.76,12,12,12,47.9,39.6,0.612,1.127,0.639,33.0,0,7.196,25,345.43
8.06,10,11,11,51.2,41.5,0.603,1.124,0.647,27.5,0,6.619,20,271.39
6.42,6,6,6,56.8,36.4,0.563,1.134,0.615,23.0,0,5.987,19,263.42
7.3,9,6,8,52.3,36.4,0.584,1.134,0.618,26.0,0,6.668,21,293.4
6.4,7,6,7,53.5,34.9,0.574,1.137,0.609,24.0,0,6.544,20,281.39
7.31,6,6,6,55.3,36.8,0.572,1.133,0.619,21.0,0,6.194,17,235.36
9.821,10,11,11,51.2,41.5,0.603,1.124,0.647,27.5,0,6.619,20,271.39
7.15,6,6,6,55.3,36.8,0.572,1.133,0.619,21.0,0,6.194,17,235.36
7.43,13,12,13,50.0,41.7,0.61,1.125,0.652,33.0,0,6.76,24,324.46
5.7,7,6,7,45.0,35.0,0.607,1.163,0.606,26.0,0,8.033,22,321.33
6.4,13,12,13,47.7,40.9,0.617,1.125,0.646,31.0,0,7.168,23,315.4
6.6,8,6,8,50.0,34.8,0.589,1.137,0.611,28.0,0,7.074,23,325.4
5.12,14,12,17,45.7,37.1,0.632,1.137,0.682,52.0,0,8.994,38,629.57
6.94,6,6,6,50.0,36.7,0.62,1.131,0.676,18.0,0,8.272,15,248.17
6.5,7,6,7,53.5,34.9,0.574,1.137,0.609,24.0,0,6.544,20,281.39
7.4,7,6,7,50.0,35.0,0.599,1.136,0.632,24.0,0,7.545,20,301.8
8.6,6,6,6,57.5,35.0,0.556,1.137,0.607,20.0,0,5.934,17,237.38
6.5,7,6,7,55.1,34.7,0.566,1.137,0.607,26.0,0,6.315,22,309.45
6.3,9,6,8,51.2,36.6,0.589,1.134,0.62,25.0,0,6.814,20,279.37
5.7,13,12,13,45.5,40.9,0.626,1.132,0.645,32.0,0,7.577,24,333.39
6.1,5,0,3,56.3,33.3,0.557,1.14,0.598,24.0,0,6.197,21,297.44
6.2,11,11,12,47.4,39.5,0.616,1.13,0.644,27.5,0,7.22,20,274.35
5.4,7,6,7,55.8,34.6,0.563,1.137,0.605,27.0,0,6.221,23,323.48
5.0,8,6,8,51.0,34.7,0.584,1.137,0.61,29.0,0,6.927,24,339.43
5.7,7,6,7,51.4,35.1,0.584,1.137,0.613,22.0,0,6.847,18,253.33
6.4,7,6,7,50.0,35.0,0.599,1.136,0.632,24.0,0,7.545,20,301.8
5.9,13,12,13,50.0,40.0,0.604,1.126,0.639,33.0,0,6.869,25,343.46
6.9,9,6,8,51.2,36.6,0.589,1.134,0.62,25.0,0,6.814,20,279.37
5.9,8,6,8,51.0,34.7,0.584,1.137,0.61,29.0,0,6.927,24,339.43
8.5,7,6,7,55.1,34.7,0.566,1.137,0.607,26.0,0,6.315,22,309.45
5.0,9,6,9,50.0,34.5,0.588,1.138,0.609,35.0,0,7.095,29,411.5
6.7,7,6,7,53.5,34.9,0.574,1.137,0.609,24.0,0,6.544,20,281.39
6.1,13,12,13,51.8,39.3,0.594,1.128,0.634,35.0,0,6.634,27,371.52
5.9,13,12,13,50.0,40.0,0.604,1.126,0.639,33.0,0,6.869,25,343.46
5.5,7,6,7,51.4,35.1,0.584,1.137,0.613,22.0,0,6.847,18,253.33
6.5,7,6,7,53.5,34.9,0.574,1.137,0.609,24.0,0,6.544,20,281.39
6.2,11,11,12,48.8,39.5,0.608,1.128,0.638,29.5,0,7.056,22,303.39
6.5,13,12,13,50.8,37.7,0.594,1.131,0.625,38.0,0,6.845,30,417.55
5.9,8,6,8,51.9,34.6,0.58,1.138,0.608,30.0,0,6.797,25,353.46
6.8,7,6,7,56.6,34.0,0.558,1.14,0.604,27.0,0,6.085,23,322.5
7.3,7,6,7,52.5,35.0,0.579,1.137,0.611,23.0,0,6.684,19,267.36
8.0,6,6,6,56.8,35.1,0.56,1.137,0.609,19.0,0,6.036,16,223.35
7.4,7,6,7,54.3,34.8,0.57,1.137,0.608,25.0,0,6.422,21,295.42
6.5,10,11,11,48.4,41.9,0.617,1.123,0.653,22.5,0,7.009,16,217.29
7.5,7,6,7,52.5,35.0,0.579,1.137,0.611,23.0,0,6.684,19,267.36
5.523,7,6,7,55.2,36.2,0.571,1.135,0.617,32.0,0,6.216,26,360.55
5.553,7,6,7,54.5,36.4,0.574,1.135,0.619,31.0,0,6.3,25,346.52
4.921,7,6,7,55.2,36.2,0.571,1.135,0.617,32.0,0,6.216,26,360.55
5.921,7,6,7,54.5,36.4,0.574,1.135,0.619,31.0,0,6.3,25,346.52
5.0,13,12,13,51.4,38.6,0.594,1.13,0.632,44.0,0,6.695,34,468.65
4.47,6,6,6,52.8,36.1,0.581,1.135,0.617,21.0,0,6.592,17,237.33
4.35,8,6,8,50.0,33.3,0.602,1.144,0.644,33.0,0,7.711,27,416.4
5.0,7,6,7,55.4,35.4,0.567,1.137,0.612,35.0,0,6.225,29,404.61
5.1,13,12,13,48.9,40.4,0.61,1.126,0.643,32.0,0,7.009,24,329.43
6.081,7,6,7,53.4,36.2,0.577,1.141,0.616,33.0,0,6.527,27,378.54
6.469,7,6,7,55.2,36.2,0.571,1.135,0.617,32.0,0,6.216,26,360.55
6.4,7,6,7,52.3,34.1,0.577,1.139,0.606,25.0,0,6.759,21,297.39
7.8,7,6,7,55.1,34.7,0.566,1.137,0.607,26.0,0,6.315,22,309.45
5.553,6,10,10,50.0,35.3,0.596,1.147,0.635,24.0,0,6.804,17,231.34
6.398,6,10,10,46.4,35.7,0.615,1.148,0.646,22.0,0,7.26,15,203.28
6.301,6,10,10,45.2,35.5,0.638,1.142,0.683,24.0,0,9.555,17,296.2
5.53,12,12,12,45.8,39.6,0.64,1.122,0.694,34.0,0,9.819,26,471.32
6.14,1,0,1,61.1,27.8,0.521,1.155,0.57,14.0,0,5.621,14,202.34
4.04,0,0,0,62.5,25.0,0.506,1.159,0.552,8.0,0,5.551,9,133.22
5.35,0,0,0,63.6,27.3,0.507,1.154,0.561,11.0,0,5.312,12,175.31
7.56,1,0,1,60.0,30.0,0.532,1.15,0.582,17.0,0,5.709,16,228.38
8.45,10,6,8,48.0,38.0,0.606,1.137,0.627,33.0,0,7.309,26,365.44
6.3,12,12,12,43.8,39.6,0.628,1.141,0.636,35.0,0,7.946,27,381.41
6.84,15,16,17,44.2,42.3,0.638,1.125,0.662,42.0,0,7.567,29,393.48
8.27,15,17,17,44.1,39.0,0.626,1.148,0.636,43.5,0,7.89,33,465.52
5.93,8,6,7,51.2,39.0,0.596,1.129,0.634,26.0,0,6.717,20,275.38
7.22,9,11,11,50.0,38.1,0.601,1.135,0.638,28.5,0,6.843,21,287.4
8.801,13,16,16,49.0,39.2,0.617,1.126,0.666,36.0,1,7.285,26,371.55
7.47,13,12,13,50.0,41.7,0.61,1.125,0.652,33.0,0,6.76,24,324.46
4.58,1,0,1,61.1,27.8,0.521,1.155,0.57,14.0,0,5.621,14,202.34
4.81,1,0,1,60.6,27.3,0.522,1.156,0.569,13.0,0,5.706,13,188.31
4.91,1,0,1,60.0,26.7,0.523,1.158,0.567,12.0,0,5.809,12,174.28
5.08,1,0,1,61.1,27.8,0.521,1.155,0.57,14.0,0,5.621,14,202.34
4.87,1,0,1,60.6,27.3,0.522,1.156,0.569,13.0,0,5.706,13,188.31
4.86,1,0,1,60.6,27.3,0.522,1.156,0.569,13.0,0,5.706,13,188.31
6.02,1,0,1,61.5,28.2,0.52,1.153,0.572,15.0,0,5.548,15,216.37
4.68,1,0,1,62.2,28.9,0.518,1.151,0.574,17.0,0,5.432,17,244.43
4.27,1,0,1,60.0,30.0,0.532,1.15,0.582,17.0,0,5.709,16,228.38
4.7,1,0,1,60.0,30.0,0.532,1.15,0.582,17.0,0,5.709,16,228.38
8.51,19,22,22,47.8,40.6,0.623,1.123,0.665,50.0,1,7.358,36,507.71
7.4,7,6,7,50.0,35.0,0.599,1.136,0.632,24.0,0,7.545,20,301.8
8.69,15,17,17,46.4,39.3,0.626,1.13,0.658,40.5,0,7.714,30,431.96
7.89,18,22,22,44.4,42.6,0.648,1.12,0.689,44.0,1,7.789,30,420.58
4.77,1,0,1,62.2,28.9,0.518,1.151,0.574,17.0,0,5.432,17,244.43
6.8,13,12,13,48.9,40.4,0.61,1.126,0.643,32.0,0,7.009,24,329.43
4.721,7,6,7,52.7,36.4,0.581,1.141,0.618,32.0,0,6.627,26,364.51
4.0,7,6,7,54.2,35.6,0.573,1.137,0.614,33.0,0,6.382,27,376.55
7.02,6,6,6,55.3,36.8,0.572,1.133,0.619,21.0,0,6.194,17,235.36
5.0,14,12,14,41.5,41.5,0.654,1.122,0.668,42.0,0,8.451,31,447.9
4.201,6,6,6,46.2,34.6,0.604,1.152,0.611,17.0,0,7.739,14,201.22
4.0,1,0,1,60.5,32.6,0.537,1.144,0.595,19.0,0,5.545,17,238.42
7.22,9,11,11,53.2,36.2,0.581,1.138,0.623,28.5,0,6.456,22,303.45
8.07,8,6,7,51.4,37.8,0.592,1.131,0.628,23.0,0,6.739,18,249.34
7.5,13,12,13,50.0,39.6,0.604,1.129,0.641,32.0,0,6.843,24,328.45
4.61,1,0,1,59.5,29.7,0.534,1.15,0.582,16.0,0,5.793,15,214.35
8.222,6,6,6,53.1,34.4,0.574,1.139,0.608,18.0,0,6.603,15,211.29
8.2,12,12,12,51.7,37.9,0.589,1.136,0.624,35.0,0,6.751,28,391.53
8.2,13,16,16,45.7,41.3,0.64,1.121,0.683,36.0,1,7.728,25,355.5
5.745,6,6,6,46.2,34.6,0.604,1.152,0.611,17.0,0,7.739,14,201.22
5.0,22,22,26,42.7,41.3,0.645,1.135,0.666,61.0,1,8.21,43,615.73
7.73,15,17,17,50.0,37.5,0.598,1.134,0.632,47.5,0,6.898,36,496.67
10.4,13,12,15,51.4,34.7,0.59,1.135,0.63,45.0,1,7.052,35,507.72
7.1,11,11,12,48.8,39.5,0.608,1.128,0.638,29.5,0,7.056,22,303.39
4.94,1,0,1,60.5,28.9,0.525,1.15,0.572,15.0,0,5.72,15,217.35
5.658,6,6,6,53.1,34.4,0.574,1.139,0.608,18.0,0,6.603,15,211.29
8.6,12,12,14,52.8,34.7,0.583,1.134,0.626,43.0,1,6.871,34,494.72
8.699,12,12,14,52.8,34.7,0.583,1.134,0.626,43.0,1,6.871,34,494.72
9.1,12,12,14,52.8,34.7,0.583,1.134,0.626,43.0,1,6.871,34,494.72
9.44,2,5,5,53.3,28.9,0.571,1.149,0.614,24.5,1,7.033,21,316.48
8.0,12,12,14,54.3,34.6,0.575,1.134,0.622,46.0,1,6.627,37,536.81
8.6,12,12,14,52.8,34.7,0.583,1.134,0.626,43.0,1,6.871,34,494.72
6.32,15,17,17,49.2,39.0,0.606,1.131,0.64,40.5,0,6.975,30,411.55
5.301,6,10,10,50.0,35.3,0.596,1.147,0.635,24.0,0,6.804,17,231.34
5.9,1,0,1,60.0,32.0,0.537,1.145,0.592,22.0,0,5.65,20,282.48
6.444,6,10,10,48.4,35.5,0.605,1.147,0.64,23.0,0,7.01,16,217.31
