pXC50,nAB,nBM,nCsp2,C.,Mi,Mv
4.097,16,20,17,37.6,1.134,0.596
5.954,6,11,9,32.4,1.148,0.577
5.495,22,26,24,39.0,1.128,0.593
4.092,22,27,24,39.7,1.128,0.599
5.716,28,33,30,42.1,1.123,0.613
4.48,6,12,10,31.7,1.143,0.575
6.107,22,26,24,38.8,1.128,0.594
5.832,22,28,24,37.8,1.134,0.594
7.108,22,27,24,40.9,1.126,0.603
7.551,6,9,9,33.7,1.137,0.565
7.222,12,20,20,34.5,1.14,0.577
5.849,6,12,13,35.0,1.146,0.583
7.921,18,26,26,36.2,1.136,0.585
7.979,6,11,10,33.0,1.14,0.574
9.301,0,6,6,30.6,1.148,0.548
6.569,12,16,14,35.3,1.135,0.583
8.155,21,30,24,33.7,1.146,0.584
7.096,6,11,8,33.7,1.138,0.58
8.0,6,10,8,32.3,1.138,0.574
5.0,6,11,9,32.1,1.143,0.575
5.0,11,15,11,33.3,1.141,0.58
6.883,6,12,10,32.7,1.148,0.586
5.0,11,16,12,33.0,1.143,0.585
6.156,6,11,9,32.1,1.149,0.58
5.34,6,12,11,32.7,1.148,0.584
6.695,6,13,11,33.3,1.147,0.594
5.267,22,26,24,38.3,1.13,0.597
6.625,6,12,10,32.7,1.148,0.586
7.611,12,19,17,36.0,1.142,0.607
7.438,6,12,11,33.0,1.144,0.587
5.738,12,18,17,35.0,1.144,0.604
6.155,6,11,9,32.1,1.149,0.58
6.115,6,12,11,33.7,1.146,0.591
7.324,6,13,12,33.7,1.147,0.584
4.751,6,12,10,32.4,1.149,0.589
4.725,6,11,12,34.3,1.147,0.577
4.771,17,23,19,35.0,1.141,0.611
7.046,12,19,18,35.7,1.143,0.611
7.483,6,12,13,35.0,1.147,0.588
4.173,6,12,10,33.0,1.148,0.592
5.002,6,12,10,31.7,1.148,0.582
6.785,6,13,12,33.7,1.146,0.591
7.943,6,14,13,33.6,1.146,0.582
7.149,6,13,12,33.3,1.147,0.59
7.523,6,11,9,32.7,1.14,0.573
4.286,11,17,13,33.0,1.142,0.588
5.873,11,16,12,34.2,1.138,0.569
5.781,12,18,18,37.1,1.142,0.598
6.0,6,12,10,32.4,1.143,0.582
5.77,12,20,19,36.0,1.145,0.6
5.0,12,17,15,35.9,1.133,0.582
7.553,0,6,6,30.6,1.148,0.548
5.0,11,16,12,34.3,1.138,0.576
6.288,6,13,11,33.0,1.148,0.596
5.0,6,11,9,33.3,1.138,0.569
5.0,11,16,12,34.0,1.138,0.584
4.0,11,14,12,34.0,1.142,0.569
5.0,11,16,12,34.0,1.138,0.582
5.0,6,11,9,33.3,1.138,0.571
5.201,17,23,20,35.2,1.14,0.58
7.73,6,13,12,33.7,1.143,0.593
5.313,6,10,10,33.3,1.142,0.563
8.678,6,11,11,33.0,1.143,0.561
5.678,0,4,4,30.6,1.148,0.539
6.119,6,13,12,33.7,1.147,0.593
6.138,6,13,12,33.3,1.148,0.586
6.886,11,15,11,33.7,1.136,0.588
7.068,11,15,11,33.0,1.138,0.589
5.164,6,12,11,32.7,1.149,0.582
7.046,6,11,11,33.3,1.142,0.558
5.743,6,14,13,34.0,1.146,0.598
6.398,0,5,5,31.1,1.147,0.538
7.456,6,11,9,32.6,1.14,0.577
4.286,11,15,11,33.3,1.141,0.58
5.567,6,12,11,33.0,1.148,0.585
5.971,6,10,10,33.7,1.142,0.561
6.032,6,11,11,33.7,1.142,0.557
5.664,11,15,11,32.7,1.139,0.585
6.288,6,13,11,33.0,1.148,0.596
4.602,11,16,12,31.9,1.142,0.585
5.699,0,5,5,30.8,1.148,0.54
7.159,6,13,12,34.4,1.144,0.598
5.0,11,18,16,33.6,1.143,0.575
4.022,11,16,12,32.7,1.147,0.597
6.783,12,18,16,35.3,1.143,0.6
7.444,6,12,10,33.0,1.147,0.583
5.0,12,18,16,34.4,1.142,0.583
5.0,16,23,19,34.1,1.143,0.584
6.587,6,13,12,33.1,1.147,0.577
5.0,12,16,14,34.2,1.142,0.572
5.237,23,28,25,37.7,1.135,0.604
5.056,12,17,15,33.9,1.14,0.575
5.0,12,15,14,35.8,1.135,0.591
4.553,12,17,15,34.5,1.139,0.582
5.0,12,16,14,34.2,1.142,0.572
5.502,12,18,16,34.4,1.142,0.58
5.0,12,17,15,34.8,1.141,0.577
5.0,12,15,14,35.7,1.132,0.594
5.0,12,17,15,33.6,1.144,0.568
5.0,12,15,14,36.0,1.134,0.585
5.624,6,11,12,34.3,1.148,0.582
5.0,12,15,14,35.6,1.132,0.591
5.0,11,14,11,34.0,1.133,0.596
5.0,12,15,14,35.7,1.132,0.594
5.0,11,14,12,34.0,1.136,0.587
5.0,6,9,8,33.3,1.137,0.559
5.959,0,4,4,30.5,1.148,0.545
5.0,6,9,8,33.3,1.137,0.557
9.0,17,21,19,36.4,1.134,0.586
5.903,11,15,11,33.0,1.138,0.586
5.0,6,9,8,33.3,1.137,0.559
5.334,6,8,7,33.3,1.136,0.555
5.585,0,4,4,30.5,1.148,0.545
5.886,0,4,4,30.3,1.148,0.544
7.167,11,14,13,35.8,1.136,0.572
5.959,11,14,13,35.5,1.138,0.568
8.201,17,23,20,35.2,1.14,0.58
5.0,11,16,12,34.0,1.138,0.579
5.432,11,17,13,33.3,1.146,0.603
4.597,6,12,11,32.7,1.149,0.58
6.328,11,15,12,34.0,1.132,0.596
5.229,12,18,16,33.8,1.144,0.575
7.0,6,11,11,33.3,1.143,0.56
7.219,6,10,11,34.0,1.14,0.561
6.208,0,4,4,30.1,1.149,0.542
6.117,11,14,12,34.3,1.138,0.578
5.0,11,14,10,33.0,1.14,0.59
6.638,0,4,4,30.6,1.148,0.539
5.638,6,9,8,32.6,1.139,0.552
4.022,11,16,12,32.7,1.147,0.597
5.194,11,17,13,34.0,1.143,0.612
6.0,6,12,10,31.6,1.144,0.582
5.0,11,18,16,33.8,1.142,0.576
6.67,0,5,5,31.1,1.147,0.538
5.0,6,9,8,33.3,1.137,0.554
7.674,6,10,8,32.3,1.152,0.581
5.0,11,18,16,33.9,1.143,0.583
5.0,11,14,12,34.7,1.131,0.598
5.0,11,16,12,33.7,1.139,0.579
5.097,6,11,9,33.3,1.138,0.564
5.495,11,16,12,34.2,1.138,0.569
5.071,12,17,15,33.9,1.144,0.576
5.602,11,13,12,36.3,1.135,0.567
5.0,12,16,14,34.3,1.143,0.577
4.0,15,17,13,36.7,1.137,0.588
4.0,6,8,8,33.0,1.142,0.549
4.0,6,8,8,32.9,1.142,0.552
4.0,6,7,7,32.1,1.144,0.546
4.0,6,8,8,32.9,1.141,0.568
4.0,6,9,7,31.3,1.142,0.564
6.971,0,6,6,30.8,1.145,0.548
4.0,6,8,8,32.5,1.143,0.555
4.0,6,9,10,33.8,1.141,0.559
4.0,6,9,7,30.9,1.143,0.559
4.0,6,8,8,31.9,1.145,0.55
4.0,6,9,9,32.5,1.145,0.563
4.0,6,9,8,34.6,1.139,0.566
4.0,6,8,8,32.9,1.142,0.552
4.0,6,8,8,32.9,1.143,0.553
4.0,6,7,7,32.9,1.141,0.546
4.0,6,9,9,32.5,1.144,0.561
7.0,6,11,9,32.7,1.14,0.568
7.0,6,12,11,33.3,1.139,0.579
7.337,6,11,9,32.6,1.14,0.577
7.367,6,11,9,32.7,1.14,0.573
7.569,6,11,9,32.7,1.14,0.575
6.509,6,11,9,32.6,1.141,0.579
7.62,6,10,10,34.1,1.138,0.581
4.523,11,15,11,33.7,1.137,0.59
5.886,6,11,11,35.2,1.137,0.573
5.569,0,4,4,30.2,1.149,0.541
7.367,0,5,5,30.8,1.148,0.547
9.0,6,11,11,33.3,1.143,0.56
7.921,6,13,13,32.8,1.144,0.566
6.745,0,5,5,30.7,1.148,0.548
7.022,6,11,11,33.0,1.143,0.561
7.602,0,6,6,31.3,1.147,0.546
5.745,0,4,4,30.6,1.148,0.547
6.208,0,5,5,30.8,1.148,0.54
7.712,6,11,10,33.0,1.137,0.578
8.237,12,20,20,34.4,1.14,0.573
6.229,0,4,4,30.5,1.148,0.54
5.854,0,4,4,31.0,1.147,0.536
6.658,0,4,4,30.9,1.147,0.543
6.959,0,4,4,30.6,1.148,0.539
7.638,6,11,11,33.7,1.141,0.567
8.959,6,13,13,32.8,1.143,0.562
7.328,6,11,11,33.7,1.142,0.557
7.481,11,14,11,32.7,1.138,0.574
6.921,0,4,4,30.7,1.148,0.538
7.0,6,12,12,32.7,1.144,0.564
7.0,0,5,5,30.7,1.148,0.541
6.352,0,5,5,30.4,1.149,0.542
7.921,6,10,10,33.7,1.141,0.559
4.839,11,15,11,33.0,1.138,0.586
7.658,6,10,8,32.3,1.141,0.567
6.079,11,15,11,33.0,1.138,0.584
5.051,11,15,11,32.7,1.14,0.583
7.854,6,10,8,32.3,1.141,0.569
8.0,6,12,11,32.7,1.139,0.583
5.0,11,18,16,33.9,1.143,0.579
7.337,0,6,6,30.1,1.15,0.547
