pXC50,Sp,Sv,SCBO,nBO,nSK,MW
6.0,34.483,33.466,45.5,35,30,403.48
6.585,36.034,34.772,46.0,34,31,414.51
5.0,27.819,26.531,33.0,25,23,312.42
5.0,34.557,33.535,41.0,32,30,431.92
5.0,34.142,33.405,44.0,33,31,466.95
4.523,47.035,44.416,48.0,40,37,510.71
4.523,43.057,40.648,45.0,37,34,466.65
4.523,42.557,40.061,45.0,37,34,505.5
4.523,41.25,39.249,45.0,37,34,507.47
5.0,37.034,35.762,47.0,35,32,455.55
5.0,29.262,28.203,38.5,28,25,334.41
4.824,40.784,39.256,55.5,40,35,458.55
5.087,35.477,34.47,46.5,35,32,471.97
4.301,50.427,47.987,65.0,48,42,553.73
4.301,61.654,58.062,71.5,55,49,653.9
4.301,61.654,58.062,71.5,55,49,653.9
4.301,51.12,49.175,69.0,51,44,579.72
4.301,49.529,47.573,64.5,48,42,555.68
4.301,49.529,47.573,64.5,48,42,555.68
6.0,41.336,38.798,47.5,36,33,484.47
5.0,35.012,34.25,42.0,33,31,447.92
5.447,20.472,18.272,22.0,17,16,476.79
5.0,39.875,38.09,44.5,35,33,475.02
5.027,29.432,28.152,35.0,26,25,383.89
5.0,36.347,35.015,43.5,34,31,443.95
5.0,34.586,33.489,42.5,33,30,429.92
5.027,36.012,34.83,43.0,32,31,448.55
5.0,31.824,30.962,39.5,30,28,403.88
5.0,35.801,34.73,42.5,33,31,447.94
5.0,27.046,25.961,36.5,26,23,304.38
5.0,37.108,35.542,42.5,33,31,445.97
5.0,31.824,30.962,39.5,30,28,403.88
5.0,34.586,33.489,42.5,33,30,429.92
5.0,38.114,36.564,43.5,34,32,460.99
5.0,34.586,33.489,42.5,33,30,429.92
5.0,38.108,36.542,44.5,35,32,457.98
5.0,37.563,36.257,43.5,34,32,461.97
5.0,44.398,42.144,48.5,39,36,515.09
4.301,32.71,31.896,46.0,33,29,383.43
5.0,36.347,35.015,43.5,34,31,443.95
5.301,33.222,32.661,41.0,32,30,441.51
5.0,52.267,49.868,62.0,48,43,577.74
4.301,48.745,46.815,60.0,46,41,549.68
6.538,38.307,36.31,45.5,34,31,414.55
4.301,51.12,49.175,69.0,51,44,579.72
5.0,40.875,39.09,46.5,37,34,487.03
4.301,30.131,29.073,36.0,27,26,374.87
5.0,32.125,30.752,38.5,30,27,386.89
5.879,42.517,40.53,52.5,40,35,465.59
4.301,57.41,54.777,74.0,55,48,636.83
4.301,52.427,49.987,70.0,51,44,577.75
4.301,62.484,59.137,78.0,59,51,675.92
4.301,50.665,48.461,69.0,50,43,563.72
5.301,23.478,21.907,29.5,21,19,270.39
4.481,33.296,31.267,37.0,29,26,348.48
4.481,46.046,43.605,54.0,42,37,496.66
4.481,44.836,42.385,53.0,41,36,481.65
4.481,41.313,39.331,50.5,38,34,453.59
4.481,46.029,42.857,52.5,40,36,497.72
4.481,46.597,43.912,53.5,41,37,495.68
4.481,42.074,39.858,50.0,38,34,455.61
4.481,35.302,33.289,41.0,32,28,375.51
4.301,51.671,49.482,70.0,51,44,578.74
4.301,52.313,49.648,70.0,51,44,595.79
4.301,51.12,49.175,70.0,51,44,579.72
4.301,53.285,50.815,71.0,52,45,612.19
4.301,54.131,52.218,74.0,54,47,621.77
4.495,33.784,32.256,41.0,32,28,374.48
4.481,43.375,40.649,50.5,38,34,450.63
4.481,31.779,30.235,38.5,29,26,347.45
4.481,42.523,40.552,51.5,39,35,468.6
4.481,28.557,26.972,35.5,26,23,302.4
5.836,32.773,31.214,42.0,30,27,356.45
6.056,34.012,32.687,47.5,33,29,378.45
6.149,31.012,29.687,41.0,29,26,342.42
5.886,27.489,26.633,39.0,27,24,314.36
6.398,28.347,26.752,37.0,26,23,299.4
6.903,35.773,34.214,48.5,34,30,392.48
6.237,35.534,33.74,45.0,33,29,382.49
5.301,28.796,27.445,39.0,27,24,312.39
6.06,37.534,35.74,49.5,35,31,406.51
5.699,34.017,32.708,46.0,32,29,381.46
6.237,34.534,32.74,43.0,31,28,370.48
6.796,29.08,28.236,43.5,30,26,338.4
5.5,29.25,28.16,40.0,28,25,328.39
5.0,23.727,23.106,33.0,23,21,276.31
5.569,18.495,18.565,27.0,20,18,244.26
5.0,38.443,37.316,49.5,37,34,500.39
6.161,36.256,34.498,51.0,36,31,425.56
