pXC50,RBF,O.,Me,H.,nBM,nDB,nAB,Mv,Mp,AMW,Sp,Se,SCBO,nCsp2,nBO,nSK,Si,MW,Mi,nAT,nH,nO,RBN,Sv,nBT,C.
5.089,0.065,6.7,0.994,56.7,1,1,0,0.556,0.6,6.109,18.006,29.825,15.0,1,14,13,34.239,183.28,1.141,30,17,2,2,16.665,31,33.3
4.3,0.042,4.2,0.993,58.3,1,1,0,0.538,0.585,5.926,14.034,23.833,11.0,1,10,10,27.697,142.23,1.154,24,14,1,1,12.918,24,29.2
3.0,0.034,3.6,0.99,57.1,1,1,0,0.552,0.6,6.01,16.796,27.716,14.0,1,13,12,32.112,168.27,1.147,28,16,1,1,15.445,29,32.1
5.032,0.13,3.1,0.999,47.7,18,0,18,0.625,0.661,7.132,42.972,64.919,47.0,18,38,34,73.24,463.61,1.127,65,31,2,9,40.646,69,44.6
8.465,0.226,1.9,0.984,56.7,14,2,12,0.56,0.613,5.981,63.745,102.341,55.0,13,47,45,118.702,622.02,1.141,104,59,2,24,58.276,106,34.6
8.607,0.138,3.5,0.979,61.4,1,1,0,0.533,0.594,5.431,33.859,55.778,24.0,1,23,22,64.976,309.55,1.14,57,35,2,8,30.407,58,33.3
6.405,0.118,3.1,1.006,45.3,19,1,18,0.635,0.663,7.462,42.461,64.356,49.0,18,39,35,72.406,477.6,1.131,64,29,2,8,40.636,68,43.8
7.316,0.077,4.1,1.008,46.9,12,0,12,0.623,0.652,7.336,31.927,49.385,35.0,12,29,26,55.579,359.45,1.134,49,23,2,4,30.539,52,42.9
7.33,0.093,5.9,1.014,45.1,13,1,12,0.632,0.655,7.597,33.381,51.712,38.0,13,31,28,57.788,387.46,1.133,51,23,3,5,32.254,54,43.1
7.569,0.077,4.1,1.008,46.9,12,0,12,0.623,0.652,7.336,31.927,49.385,35.0,12,29,26,55.579,359.45,1.134,49,23,2,4,30.539,52,42.9
6.5,0.117,1.8,0.995,50.9,12,0,12,0.604,0.645,6.764,36.756,56.709,37.0,12,31,28,64.615,385.54,1.134,57,29,1,7,34.405,60,42.1
6.164,0.118,1.6,1.002,46.9,18,0,18,0.63,0.663,7.275,42.455,64.105,47.0,18,38,34,72.37,465.6,1.131,64,30,1,8,40.315,68,45.3
6.255,0.116,3.1,1.002,46.2,19,1,18,0.633,0.665,7.332,43.216,65.138,49.0,19,39,35,73.323,476.61,1.128,65,30,2,8,41.141,69,44.6
5.625,0.129,1.7,0.997,50.8,12,0,12,0.6,0.64,6.789,37.762,58.81,38.0,12,32,29,67.113,400.56,1.138,59,30,1,8,35.426,62,40.7
6.434,0.132,1.5,0.994,52.3,12,0,12,0.592,0.635,6.594,41.285,64.578,40.0,12,34,31,73.944,428.62,1.138,65,34,1,9,38.48,68,40.0
8.569,0.074,2.0,0.979,52.9,12,0,12,0.6,0.654,6.304,33.358,49.916,33.0,12,27,24,57.105,321.5,1.12,51,27,1,4,30.585,54,43.1
6.932,0.143,2.1,0.984,56.3,7,1,6,0.565,0.617,6.031,29.608,47.236,26.0,6,22,21,54.687,289.47,1.139,48,27,1,7,27.101,49,35.4
8.189,0.128,2.2,0.986,55.6,6,0,6,0.568,0.619,6.121,27.847,44.352,25.0,4,22,20,51.272,275.44,1.139,45,25,1,6,25.574,47,35.6
9.35,0.114,0.0,0.981,54.8,6,0,6,0.584,0.649,6.607,27.279,41.218,24.0,4,21,19,47.567,277.48,1.133,42,23,0,5,24.519,44,35.7
4.801,0.133,4.2,1.002,50.7,12,0,12,0.598,0.633,6.854,44.955,71.116,45.0,12,39,35,80.778,486.66,1.138,71,36,3,10,42.436,75,39.4
7.529,0.079,2.8,0.992,52.8,6,0,6,0.583,0.627,6.482,22.563,35.702,22.0,4,19,17,41.026,233.35,1.14,36,19,1,3,20.993,38,36.1
8.432,0.078,2.1,0.985,50.0,12,0,12,0.627,0.686,8.049,32.949,47.261,33.0,12,27,24,53.532,386.36,1.115,48,24,1,4,30.083,51,43.8
7.55,0.226,2.5,0.985,55.4,20,2,18,0.571,0.622,6.134,75.245,119.203,68.0,19,57,54,137.572,742.18,1.137,121,67,3,28,69.098,124,36.4
7.886,0.151,2.0,0.983,56.9,6,0,6,0.561,0.615,5.951,31.37,50.12,27.0,4,24,22,58.102,303.5,1.139,51,29,1,8,28.627,53,35.3
8.599,0.074,2.0,1.009,47.1,12,0,12,0.622,0.65,7.362,33.171,51.454,36.0,12,30,27,58.124,375.47,1.14,51,24,1,4,31.735,54,43.1
9.301,0.074,2.0,0.979,52.9,12,0,12,0.6,0.654,6.304,33.358,49.916,33.0,12,27,24,57.105,321.5,1.12,51,27,1,4,30.585,54,43.1
9.495,0.053,3.8,0.99,49.1,13,1,12,0.619,0.661,6.84,35.057,52.461,38.0,13,31,27,59.398,362.51,1.121,53,26,2,3,32.794,57,43.4
6.777,0.152,2.2,0.986,55.6,7,1,6,0.568,0.619,6.121,27.847,44.352,25.0,6,21,20,51.272,275.44,1.139,45,25,1,7,25.574,46,35.6
7.287,0.149,2.2,0.986,55.6,6,0,6,0.568,0.619,6.121,27.847,44.352,25.0,4,22,20,51.272,275.44,1.139,45,25,1,7,25.574,47,35.6
6.955,0.057,3.0,0.994,51.5,6,0,6,0.59,0.63,6.646,20.801,32.818,21.0,4,18,16,37.611,219.32,1.14,33,17,1,2,19.467,35,36.4
6.833,0.14,2.1,0.984,56.3,6,0,6,0.565,0.617,6.031,29.608,47.236,26.0,4,23,21,54.687,289.47,1.139,48,27,1,7,27.101,50,35.4
8.285,0.14,2.1,0.984,56.3,6,0,6,0.565,0.617,6.031,29.608,47.236,26.0,4,23,21,54.687,289.47,1.139,48,27,1,7,27.101,50,35.4
5.812,0.097,1.7,1.006,44.8,18,0,18,0.642,0.671,7.544,38.932,58.338,45.0,18,36,32,65.54,437.54,1.13,58,26,1,6,37.261,62,46.6
6.75,0.083,2.2,1.004,46.7,12,0,12,0.629,0.66,7.32,29.711,45.174,33.0,12,27,24,50.954,329.42,1.132,45,21,1,4,28.298,48,44.4
7.735,0.152,2.2,0.986,55.6,7,1,6,0.568,0.619,6.121,27.847,44.352,25.0,6,21,20,51.272,275.44,1.139,45,25,1,7,25.574,46,35.6
6.886,0.054,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,2,20.499,37,36.1
6.602,0.054,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,2,20.499,37,36.1
9.387,0.078,2.1,0.987,50.0,12,0,12,0.623,0.676,7.123,32.455,47.356,33.0,12,27,24,53.634,341.91,1.117,48,24,1,4,29.885,51,43.8
5.658,0.054,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,2,20.499,37,36.1
5.201,0.061,2.2,1.001,47.8,11,0,11,0.622,0.667,7.554,30.671,46.058,32.5,10,27,24,52.116,347.5,1.133,46,22,1,3,28.617,49,39.1
4.0,0.063,3.1,0.987,56.3,2,1,0,0.562,0.611,6.072,19.557,31.6,17.0,1,14,14,36.528,194.31,1.141,32,18,1,2,17.972,32,34.4
9.009,0.078,2.1,0.987,50.0,12,0,12,0.623,0.676,7.123,32.455,47.356,33.0,12,27,24,53.634,341.91,1.117,48,24,1,4,29.885,51,43.8
8.678,0.077,4.1,0.987,51.0,12,0,12,0.608,0.654,6.601,32.052,48.36,33.0,12,27,24,54.9,323.47,1.12,49,25,2,4,29.773,52,42.9
8.959,0.078,2.1,0.991,50.0,12,0,12,0.613,0.657,6.78,31.535,47.545,33.0,12,27,24,54.03,325.46,1.126,48,24,1,4,29.441,51,43.8
5.167,0.063,3.1,0.987,56.3,2,1,0,0.562,0.611,6.072,19.557,31.6,17.0,1,14,14,36.528,194.31,1.141,32,18,1,2,17.972,32,34.4
7.391,0.078,2.1,0.993,47.9,12,0,12,0.64,0.694,7.841,33.313,47.68,34.0,12,28,25,53.578,376.35,1.116,48,23,1,4,30.713,51,43.8
5.747,0.087,1.6,0.995,45.3,23,0,23,0.647,0.684,7.338,43.756,63.709,51.5,22,40,35,71.615,469.61,1.119,64,29,1,6,41.405,69,48.4
9.201,0.109,9.3,1.006,48.8,7,1,6,0.608,0.638,7.056,27.438,43.247,29.0,7,25,22,48.488,303.39,1.128,43,21,4,5,26.149,46,39.5
9.126,0.078,2.1,0.98,52.1,12,0,12,0.605,0.658,6.406,31.597,47.032,32.0,12,26,23,53.69,307.47,1.119,48,25,1,4,29.058,51,43.8
8.9,0.191,3.6,0.992,50.6,40,4,36,0.602,0.644,6.708,106.956,164.675,111.0,38,89,82,187.602,1113.6,1.13,166,84,6,33,99.994,173,39.8
8.6,0.19,3.0,0.992,51.5,28,4,24,0.594,0.636,6.616,83.956,130.952,85.0,26,69,64,149.861,873.28,1.135,132,68,4,26,78.35,137,37.9
8.73,0.194,3.4,0.992,51.0,34,4,30,0.598,0.641,6.667,95.456,147.813,98.0,32,79,73,168.732,993.44,1.132,149,76,5,30,89.172,155,38.9
7.8,0.194,3.4,0.992,51.0,34,4,30,0.598,0.641,6.667,95.456,147.813,98.0,32,79,73,168.732,993.44,1.132,149,76,5,30,89.172,155,38.9
8.32,0.156,4.3,1.001,45.7,56,8,48,0.63,0.662,7.318,124.376,188.173,145.0,52,113,102,212.18,1375.8,1.129,188,86,8,31,118.499,199,41.5
7.9,0.173,3.8,0.997,48.1,42,6,36,0.615,0.651,7.028,104.166,159.562,115.0,39,91,83,181.021,1124.54,1.131,160,77,6,29,98.425,168,40.0
7.84,0.197,3.0,0.992,51.5,28,4,24,0.594,0.636,6.616,83.956,130.952,85.0,26,69,64,149.861,873.28,1.135,132,68,4,27,78.35,137,37.9
7.6,0.156,4.3,1.001,45.7,56,8,48,0.63,0.662,7.318,124.376,188.173,145.0,52,113,102,212.18,1375.8,1.129,188,86,8,31,118.499,199,41.5
9.02,0.17,3.7,0.993,49.1,42,6,36,0.613,0.653,6.881,106.433,161.908,115.0,42,91,83,183.771,1121.57,1.127,163,80,6,29,99.941,171,41.1
7.83,0.194,3.0,0.989,52.2,28,4,24,0.592,0.638,6.502,85.467,132.515,85.0,28,69,64,151.695,871.3,1.132,134,70,4,27,79.361,139,38.8
6.728,0.156,0.0,0.98,56.8,6,1,5,0.569,0.637,6.352,28.04,43.101,23.5,4,20,19,49.982,279.5,1.136,44,25,0,7,25.046,45,34.1
4.824,0.063,3.1,0.987,56.3,2,1,0,0.562,0.611,6.072,19.557,31.6,17.0,1,14,14,36.528,194.31,1.141,32,18,1,2,17.972,32,34.4
4.212,0.111,9.3,1.006,48.8,8,2,6,0.608,0.638,7.056,27.438,43.247,29.0,8,24,22,48.488,303.39,1.128,43,21,4,5,26.149,45,39.5
6.686,0.118,1.6,0.994,48.4,18,0,18,0.624,0.664,6.994,42.518,63.592,46.0,18,37,33,72.03,447.61,1.125,64,31,1,8,39.932,68,45.3
8.229,0.138,5.3,0.988,54.4,8,1,6,0.58,0.628,6.273,35.79,56.338,33.0,7,27,26,64.355,357.54,1.129,57,31,3,8,33.068,58,38.6
5.987,0.097,1.7,0.997,46.6,18,0,18,0.636,0.672,7.234,38.995,57.825,44.0,18,35,31,65.2,419.55,1.124,58,27,1,6,36.878,62,46.6
6.556,0.121,1.8,0.997,49.1,13,1,12,0.616,0.654,6.973,35.995,54.825,38.0,14,31,28,62.2,383.52,1.131,55,27,1,7,33.878,58,43.6
7.565,0.091,3.2,1.003,48.4,5,0,5,0.623,0.688,8.304,21.335,31.087,20.5,2,18,16,35.036,257.42,1.13,31,15,1,3,19.314,33,32.3
8.395,0.156,2.3,0.991,53.5,5,0,5,0.591,0.66,7.292,28.381,42.622,24.5,2,22,20,48.696,313.54,1.132,43,23,1,7,25.421,45,32.6
6.77,0.135,1.4,0.991,50.0,18,0,18,0.614,0.658,6.795,46.04,69.359,48.0,18,39,35,78.861,475.67,1.127,70,35,1,10,42.985,74,44.3
7.569,0.063,6.3,0.989,62.5,0,0,0,0.514,0.567,5.447,18.148,31.651,12.0,0,12,12,36.862,174.3,1.152,32,20,2,2,16.456,32,28.1
6.337,0.134,5.2,1.007,44.2,26,2,24,0.644,0.671,7.594,51.648,77.559,62.0,24,48,43,86.572,584.71,1.124,77,34,4,11,49.624,82,45.5
7.628,0.128,5.4,1.003,51.4,5,0,5,0.592,0.64,7.281,23.665,37.105,22.5,2,20,18,42.155,269.41,1.139,37,19,2,5,21.895,39,32.4
6.886,0.105,1.9,0.997,50.0,12,0,12,0.609,0.648,6.88,34.995,53.825,36.0,12,30,27,61.2,371.51,1.133,54,27,1,6,32.878,57,42.6
7.547,0.167,2.2,0.989,54.3,5,0,5,0.586,0.655,7.121,30.142,45.505,25.5,2,23,21,52.112,327.57,1.133,46,25,1,8,26.948,48,32.6
7.655,0.167,4.3,0.995,54.3,5,0,5,0.576,0.629,6.772,28.949,45.756,25.5,2,23,21,52.401,311.5,1.139,46,25,2,8,26.476,48,32.6
6.175,0.069,3.7,1.005,48.1,5,0,5,0.615,0.664,7.827,17.926,27.127,18.5,2,16,14,30.7,211.32,1.137,27,13,1,2,16.6,29,33.3
6.469,0.103,0.0,0.974,54.5,12,0,12,0.589,0.649,6.083,35.671,53.574,34.0,12,28,25,61.809,334.55,1.124,55,30,0,6,32.418,58,41.8
8.309,0.139,2.9,0.999,50.0,5,0,5,0.613,0.679,7.984,23.097,33.971,21.5,2,19,17,38.451,271.45,1.131,34,17,1,5,20.841,36,32.4
5.921,0.088,1.9,0.982,51.9,13,1,12,0.604,0.655,6.454,35.364,53.018,36.0,13,29,26,60.604,348.53,1.122,54,28,1,5,32.606,57,42.6
5.921,0.088,1.9,1.001,48.1,13,1,12,0.618,0.653,7.121,35.239,54.043,38.0,13,31,28,61.283,384.51,1.135,54,26,1,5,33.373,57,42.6
7.108,0.135,1.4,0.976,52.9,18,0,18,0.603,0.66,6.281,46.165,68.334,46.0,18,37,33,78.181,439.69,1.117,70,37,1,10,42.219,74,44.3
8.166,0.128,6.7,0.997,48.9,8,2,6,0.628,0.698,9.496,31.404,44.872,30.0,9,25,23,50.414,427.31,1.12,45,22,3,6,28.277,47,40.0
7.77,0.125,2.6,0.989,53.8,7,1,6,0.577,0.624,6.343,24.324,38.585,23.0,6,19,18,44.441,247.38,1.14,39,21,1,5,22.52,40,35.9
7.102,0.069,3.7,1.017,44.4,5,0,5,0.645,0.696,9.102,18.784,27.451,19.5,2,17,15,30.644,245.76,1.135,27,12,1,2,17.428,29,33.3
7.416,0.205,5.1,0.998,56.4,5,0,5,0.556,0.61,6.678,23.807,38.931,19.5,2,17,17,44.778,260.43,1.148,39,22,2,8,21.686,39,28.2
6.699,0.091,1.9,0.999,48.1,13,1,12,0.622,0.658,7.106,34.233,51.941,37.0,14,30,27,58.785,369.49,1.13,52,25,1,5,32.351,55,44.2
7.14,0.128,2.7,0.996,51.4,5,0,5,0.605,0.672,7.716,24.858,36.854,22.5,2,20,18,41.866,285.48,1.132,37,19,1,5,22.368,39,32.4
6.622,0.176,6.1,1.007,51.5,5,0,5,0.587,0.633,7.375,20.904,33.222,19.5,2,17,16,37.74,243.37,1.144,33,17,2,6,19.369,34,30.3
7.168,0.229,5.7,1.003,54.3,5,0,5,0.568,0.619,7.011,21.665,35.105,18.5,2,16,16,40.155,245.39,1.147,35,19,2,8,19.895,35,28.6
7.699,0.111,2.9,0.999,50.0,5,0,5,0.613,0.679,7.984,23.097,33.971,21.5,2,19,17,38.451,271.45,1.131,34,17,1,4,20.841,36,32.4
7.206,0.128,2.7,0.996,51.4,5,0,5,0.605,0.672,7.716,24.858,36.854,22.5,2,20,18,41.866,285.48,1.132,37,19,1,5,22.368,39,32.4
7.609,0.156,4.7,0.997,53.5,5,0,5,0.58,0.632,6.918,27.188,42.872,24.5,2,22,20,48.986,297.47,1.139,43,23,2,7,24.949,45,32.6
7.367,0.162,5.6,1.003,52.8,5,0,5,0.58,0.63,7.15,22.665,36.105,20.5,2,18,17,41.155,257.4,1.143,36,19,2,6,20.895,37,30.6
8.237,0.114,0.0,0.989,51.5,5,0,5,0.61,0.686,7.741,22.642,32.643,20.5,2,18,16,37.241,255.45,1.129,33,17,0,4,20.126,35,33.3
6.367,0.036,0.0,0.994,51.9,6,1,5,0.582,0.623,6.603,16.83,26.825,17.5,4,14,13,31.069,178.27,1.151,27,14,0,1,15.72,28,33.3
6.046,0.111,0.0,0.991,54.3,6,1,5,0.566,0.61,6.324,21.358,34.694,20.5,3,17,16,40.398,221.35,1.154,35,19,0,4,19.795,36,31.4
7.0,0.118,0.0,0.988,54.5,6,1,5,0.569,0.617,6.252,20.353,32.592,19.5,4,16,15,37.9,206.33,1.148,33,18,0,4,18.773,34,33.3
5.278,0.118,8.3,1.027,37.5,24,3,21,0.681,0.698,8.906,33.512,49.273,46.5,18,33,30,53.914,427.49,1.123,48,18,4,6,32.708,51,43.8
7.569,0.167,0.0,0.984,57.4,6,1,5,0.551,0.604,5.904,28.404,46.229,24.5,3,21,20,54.059,277.47,1.15,47,27,0,8,25.902,48,31.9
7.398,0.069,0.0,0.994,50.0,7,2,5,0.597,0.637,6.796,17.83,27.825,19.5,6,15,14,32.069,190.28,1.145,28,14,0,2,16.72,29,35.7
5.959,0.069,0.0,0.997,53.6,5,0,5,0.562,0.601,6.474,16.836,27.927,16.5,1,14,13,32.568,181.28,1.163,28,15,0,2,15.741,29,28.6
5.854,0.128,0.0,0.989,55.3,6,1,5,0.561,0.608,6.194,23.12,37.578,21.5,3,18,17,43.813,235.38,1.153,38,21,0,5,21.321,39,31.6
6.745,0.037,0.0,1.002,50.0,6,1,5,0.585,0.618,6.895,16.074,26.043,17.5,3,14,13,30.152,179.26,1.16,26,13,0,1,15.214,27,30.8
5.87,0.042,0.0,1.007,47.8,6,1,5,0.595,0.622,7.184,14.313,23.16,16.5,3,13,12,26.737,165.23,1.162,23,11,0,1,13.687,24,30.4
7.027,0.091,1.9,0.979,51.9,13,1,12,0.607,0.661,6.414,34.358,50.916,35.0,14,28,25,58.105,333.51,1.117,52,27,1,5,31.585,55,44.2
7.357,0.069,0.0,1.002,46.4,7,1,5,0.615,0.646,7.26,18.074,28.043,21.5,3,16,15,32.152,203.28,1.148,28,13,0,2,17.214,29,35.7
7.678,0.097,0.0,0.998,50.0,7,2,5,0.591,0.628,6.843,18.836,29.927,20.5,5,16,15,34.568,205.3,1.152,30,15,0,3,17.741,31,33.3
7.824,0.088,0.0,0.988,54.5,6,1,5,0.569,0.617,6.252,20.353,32.592,19.5,4,16,15,37.9,206.33,1.148,33,18,0,3,18.773,34,33.3
8.47,0.15,0.0,0.985,53.8,6,1,5,0.594,0.671,7.269,26.165,38.411,22.5,4,19,18,44.072,283.51,1.13,39,21,0,6,23.18,40,33.3
7.657,0.163,2.1,0.984,56.3,7,1,6,0.565,0.617,6.031,29.608,47.236,26.0,6,22,21,54.687,289.47,1.139,48,27,1,8,27.101,49,35.4
7.585,0.128,0.0,0.989,55.3,6,1,5,0.561,0.608,6.194,23.12,37.578,21.5,3,18,17,43.813,235.38,1.153,38,21,0,5,21.321,39,31.6
7.432,0.156,0.0,0.985,56.8,6,1,5,0.554,0.606,5.987,26.643,43.345,23.5,3,20,19,50.644,263.44,1.151,44,25,0,7,24.375,45,31.8
5.921,0.065,0.0,0.99,53.3,6,1,5,0.575,0.62,6.41,18.591,29.709,18.5,4,15,14,34.484,192.3,1.149,30,16,0,2,17.246,31,33.3
5.319,0.034,0.0,0.997,53.6,5,0,5,0.562,0.601,6.474,16.836,27.927,16.5,1,14,13,32.568,181.28,1.163,28,15,0,1,15.741,29,28.6
5.699,0.067,0.0,0.997,51.7,6,1,5,0.577,0.615,6.665,17.836,28.927,18.5,3,15,14,33.568,193.29,1.158,29,15,0,2,16.741,30,31.0
7.455,0.152,0.0,0.98,55.6,7,1,6,0.579,0.645,6.478,29.04,44.101,25.0,6,21,20,50.982,291.51,1.133,45,25,0,7,26.046,46,35.6
6.046,0.037,0.0,1.002,50.0,6,1,5,0.585,0.618,6.895,16.074,26.043,17.5,3,14,13,30.152,179.26,1.16,26,13,0,1,15.214,27,30.8
5.553,0.097,0.0,0.99,53.3,6,1,5,0.575,0.62,6.41,18.591,29.709,18.5,4,15,14,34.484,192.3,1.149,30,16,0,3,17.246,31,33.3
8.244,0.163,0.0,0.983,54.8,6,1,5,0.588,0.665,7.084,27.927,41.294,23.5,4,20,19,47.487,297.54,1.131,42,23,0,7,24.706,43,33.3
6.28,0.037,0.0,1.002,46.2,7,1,6,0.636,0.68,8.065,17.682,26.047,19.0,6,15,14,29.515,209.7,1.135,26,12,0,1,16.526,27,38.5
9.3,0.232,1.8,0.983,57.3,14,2,12,0.558,0.612,5.91,67.268,108.108,57.0,13,49,47,125.533,650.08,1.141,110,63,2,26,61.33,112,34.5
7.212,0.108,2.8,0.992,52.8,7,1,6,0.583,0.627,6.482,22.563,35.702,22.0,6,18,17,41.026,233.35,1.14,36,19,1,4,20.993,37,36.1
7.886,0.14,0.0,0.981,54.8,7,1,6,0.584,0.649,6.607,27.279,41.218,24.0,6,20,19,47.567,277.48,1.133,42,23,0,6,24.519,43,35.7
6.074,0.065,3.3,0.998,50.0,7,1,6,0.598,0.635,6.843,19.04,29.934,20.0,6,16,15,34.196,205.29,1.14,30,15,1,2,17.94,31,36.7
