pXC50,nDB,nS,nHM,nAB,nBM,C.,nCsp2,Mv,SCBO,Me,RBF,H.,nC,AMW,MW,Si,Se,nBO,nCL,nCsp3,Mi,Mp,N.,nAT,nB,nBR,nBT,nCsp,nF,nH
5.0,2,0,0,22,24,45.9,22,0.655,52.0,1.007,0.092,42.6,28,7.714,470.56,68.026,61.443,39,0,6,1.115,0.679,3.3,61,0,0,65,0,0,26
5.284,2,0,0,22,24,45.3,22,0.648,53.0,1.005,0.088,43.8,29,7.572,484.59,71.441,64.327,40,0,7,1.116,0.675,3.1,64,0,0,68,0,0,28
5.0,2,0,1,22,24,45.9,22,0.668,53.0,1.013,0.092,41.0,28,8.279,505.0,67.97,61.767,40,1,6,1.114,0.693,3.3,61,0,0,65,0,0,25
5.0,2,0,0,22,24,45.9,22,0.661,53.0,1.016,0.092,41.0,28,8.009,488.55,68.366,61.956,40,0,6,1.121,0.678,3.3,61,0,0,65,0,1,25
5.0,2,0,0,22,24,44.6,22,0.649,54.0,1.01,0.101,43.1,29,7.701,500.59,72.651,65.654,41,0,7,1.118,0.671,3.1,65,0,0,69,0,0,28
5.538,2,0,0,22,24,45.3,22,0.648,53.0,1.005,0.088,43.8,29,7.572,484.59,71.441,64.327,40,0,7,1.116,0.675,3.1,64,0,0,68,0,0,28
5.0,2,0,1,22,24,45.9,22,0.668,53.0,1.013,0.092,41.0,28,8.279,505.0,67.97,61.767,40,1,6,1.114,0.693,3.3,61,0,0,65,0,0,25
5.0,2,0,1,22,24,45.9,22,0.675,54.0,1.021,0.092,39.3,28,8.574,522.99,68.31,62.28,41,1,6,1.12,0.692,3.3,61,0,0,65,0,1,24
5.0,2,0,0,22,24,45.5,22,0.641,53.0,0.998,0.1,45.5,30,7.312,482.62,73.647,65.883,40,0,8,1.116,0.674,3.0,66,0,0,70,0,0,30
5.678,2,0,0,18,20,44.6,20,0.65,46.0,1.01,0.119,42.9,25,7.723,432.51,62.611,56.56,35,0,5,1.118,0.672,3.6,56,0,0,59,0,0,24
5.569,3,1,1,18,21,42.1,19,0.655,48.0,1.017,0.133,42.1,24,8.221,468.57,63.74,57.963,36,0,5,1.118,0.68,3.5,57,0,0,60,0,0,24
5.0,2,0,0,18,20,44.6,20,0.65,46.0,1.01,0.119,42.9,25,7.723,432.51,62.611,56.56,35,0,5,1.118,0.672,3.6,56,0,0,59,0,0,24
5.0,2,0,0,18,20,44.1,20,0.643,47.0,1.008,0.113,44.1,26,7.568,446.54,66.026,59.443,36,0,6,1.119,0.668,3.4,59,0,0,62,0,0,26
5.886,2,0,0,18,20,43.5,20,0.637,48.0,1.005,0.123,45.2,27,7.429,460.57,69.441,62.327,37,0,7,1.12,0.664,3.2,62,0,0,65,0,0,28
5.0,2,0,0,18,20,44.1,20,0.643,47.0,1.008,0.113,44.1,26,7.568,446.54,66.026,59.443,36,0,6,1.119,0.668,3.4,59,0,0,62,0,0,26
5.0,2,0,0,18,20,43.5,20,0.637,48.0,1.005,0.108,45.2,27,7.429,460.57,69.441,62.327,37,0,7,1.12,0.664,3.2,62,0,0,65,0,0,28
5.0,2,0,0,18,20,43.5,20,0.637,48.0,1.005,0.108,45.2,27,7.429,460.57,69.441,62.327,37,0,7,1.12,0.664,3.2,62,0,0,65,0,0,28
5.18,2,0,2,18,20,44.6,20,0.68,48.0,1.022,0.119,39.3,25,8.953,501.39,62.499,57.207,37,2,5,1.116,0.703,3.6,56,0,0,59,0,0,22
5.0,2,0,1,18,20,44.6,20,0.672,48.0,1.025,0.119,39.3,25,8.66,484.94,62.895,57.396,37,1,5,1.123,0.687,3.6,56,0,0,59,0,1,22
5.0,2,0,0,16,18,44.0,16,0.634,39.0,1.003,0.135,46.0,22,7.309,365.46,55.903,50.131,29,0,6,1.118,0.664,2.0,50,0,0,52,0,0,23
5.142,2,0,0,16,18,44.0,16,0.634,39.0,1.003,0.135,46.0,22,7.309,365.46,55.903,50.131,29,0,6,1.118,0.664,2.0,50,0,0,52,0,0,23
5.301,2,0,0,16,18,43.4,16,0.626,40.0,1.0,0.127,47.2,23,7.16,379.49,59.318,53.014,30,0,7,1.119,0.66,1.9,53,0,0,55,0,0,25
5.0,2,0,0,16,18,43.1,16,0.635,40.0,1.009,0.132,45.1,22,7.48,381.46,57.113,51.458,30,0,6,1.12,0.66,2.0,51,0,0,53,0,0,23
6.108,2,0,0,22,24,48.1,22,0.677,50.0,1.017,0.103,38.9,26,8.213,443.48,59.907,54.902,37,0,4,1.109,0.692,1.9,54,0,0,58,0,0,21
5.0,2,0,0,16,18,43.8,16,0.643,39.0,1.012,0.14,43.8,21,7.655,367.43,53.697,48.574,29,0,5,1.119,0.664,2.1,48,0,0,50,0,0,21
5.0,2,0,0,22,24,45.9,22,0.661,53.0,1.016,0.092,41.0,28,8.009,488.55,68.366,61.956,40,0,6,1.121,0.678,3.3,61,0,0,65,0,1,25
5.0,2,0,0,16,18,41.3,16,0.611,44.0,1.0,0.169,49.2,26,6.946,437.58,70.773,62.992,34,0,10,1.123,0.646,1.6,63,0,0,65,0,0,31
5.0,2,0,0,16,18,41.7,16,0.616,43.0,1.002,0.161,48.3,25,7.059,423.55,67.358,60.109,33,0,9,1.123,0.649,1.7,60,0,0,62,0,0,29
5.42,2,0,0,16,18,42.1,16,0.622,42.0,1.004,0.153,47.4,24,7.185,409.52,63.943,57.225,32,0,8,1.122,0.652,1.8,57,0,0,59,0,0,27
5.252,2,0,0,22,24,47.3,22,0.662,48.0,1.008,0.138,41.8,26,7.809,429.5,61.113,55.458,35,0,4,1.111,0.685,1.8,55,0,0,58,0,0,23
5.114,2,0,0,22,24,47.4,22,0.653,48.0,1.0,0.133,43.9,27,7.501,427.53,63.318,57.014,35,0,5,1.111,0.684,1.8,57,0,0,60,0,0,25
5.0,3,0,0,6,9,37.1,10,0.581,36.0,0.998,0.206,53.2,23,6.509,403.57,70.189,61.876,30,0,13,1.132,0.62,1.6,62,0,0,63,0,0,33
5.0,3,1,1,6,9,36.7,10,0.595,36.0,1.001,0.213,51.7,22,7.027,421.61,67.693,60.069,30,0,12,1.128,0.639,1.7,60,0,0,61,0,0,31
5.0,3,1,1,6,9,37.7,10,0.593,36.0,0.998,0.21,52.5,23,6.895,420.62,68.61,60.851,30,0,13,1.125,0.641,0.0,61,0,0,62,0,0,32
5.0,3,1,1,6,9,37.3,10,0.61,33.0,1.008,0.212,49.0,19,7.442,379.52,57.448,51.418,27,0,9,1.126,0.648,2.0,51,0,0,52,0,0,25
5.357,3,1,1,6,9,37.0,10,0.604,34.0,1.006,0.2,50.0,20,7.288,393.55,60.863,54.302,28,0,10,1.127,0.645,1.9,54,0,0,55,0,0,27
5.62,3,1,1,6,9,36.8,10,0.599,35.0,1.003,0.207,50.9,21,7.151,407.58,64.278,57.185,29,0,11,1.128,0.642,1.8,57,0,0,58,0,0,29
5.0,3,1,1,6,9,36.7,10,0.595,36.0,1.001,0.213,51.7,22,7.027,421.61,67.693,60.069,30,0,12,1.128,0.639,1.7,60,0,0,61,0,0,31
5.0,3,1,1,6,9,37.0,10,0.626,37.0,1.034,0.2,44.4,20,8.287,447.52,61.882,55.84,31,0,10,1.146,0.641,1.9,54,0,0,55,0,3,24
5.921,3,1,1,6,9,37.3,10,0.617,34.0,1.018,0.212,47.1,19,7.794,397.51,57.787,51.931,28,0,9,1.133,0.647,2.0,51,0,0,52,0,1,24
5.0,3,1,2,6,9,37.3,10,0.626,34.0,1.015,0.212,47.1,19,8.117,413.96,57.392,51.742,28,1,9,1.125,0.665,2.0,51,0,0,52,0,0,24
5.0,3,1,1,12,15,41.0,16,0.626,43.0,1.003,0.19,47.5,25,7.469,455.62,68.278,61.185,34,0,9,1.119,0.665,1.6,61,0,0,63,0,0,29
5.0,3,1,1,6,9,36.4,10,0.627,38.0,1.039,0.214,43.6,20,8.428,463.52,63.091,57.167,32,0,10,1.147,0.638,1.8,55,0,0,56,0,3,24
5.0,3,1,1,6,9,36.2,10,0.601,36.0,1.009,0.22,50.0,21,7.303,423.58,65.488,58.512,30,0,11,1.129,0.639,1.7,58,0,0,59,0,0,29
5.0,3,2,2,6,9,37.3,10,0.619,33.0,1.003,0.212,49.0,19,7.757,395.59,57.158,51.167,27,0,9,1.121,0.672,2.0,51,0,0,52,0,0,25
5.337,3,2,2,6,9,36.8,10,0.608,35.0,0.999,0.207,50.9,21,7.432,423.65,63.989,56.934,29,0,11,1.123,0.663,1.8,57,0,0,58,0,0,29
5.0,3,2,2,6,9,36.7,10,0.603,36.0,0.997,0.213,51.7,22,7.295,437.68,67.404,59.818,30,0,12,1.123,0.659,1.7,60,0,0,61,0,0,31
5.0,3,2,2,6,9,37.0,10,0.634,37.0,1.029,0.2,44.4,20,8.585,463.59,61.593,55.589,31,0,10,1.141,0.664,1.9,54,0,0,55,0,3,24
5.0,3,2,2,6,9,37.3,10,0.627,34.0,1.013,0.212,47.1,19,8.109,413.58,57.498,51.68,28,0,9,1.127,0.67,2.0,51,0,0,52,0,1,24
5.0,3,2,2,6,9,36.2,10,0.609,36.0,1.005,0.22,50.0,21,7.58,439.65,65.198,58.262,30,0,11,1.124,0.659,1.7,58,0,0,59,0,0,29
5.0,3,1,1,6,9,38.2,10,0.595,33.0,0.991,0.196,52.7,21,6.829,375.58,61.859,54.531,27,0,11,1.125,0.649,1.8,55,0,0,56,0,0,29
5.0,3,1,1,6,9,37.7,10,0.587,35.0,0.988,0.194,54.1,23,6.617,403.64,68.69,60.298,29,0,13,1.126,0.643,1.6,61,0,0,62,0,0,33
5.0,3,1,1,6,9,37.5,10,0.583,36.0,0.987,0.2,54.7,24,6.526,417.67,72.105,63.181,30,0,14,1.127,0.64,1.6,64,0,0,65,0,0,35
5.0,3,1,1,6,9,37.9,10,0.61,37.0,1.016,0.186,48.3,22,7.648,443.58,66.294,58.952,31,0,12,1.143,0.642,1.7,58,0,0,59,0,3,28
5.0,3,1,1,6,9,38.2,10,0.602,34.0,1.001,0.196,50.9,21,7.156,393.57,62.199,55.043,28,0,11,1.131,0.648,1.8,55,0,0,56,0,1,28
5.0,3,1,1,6,9,37.1,10,0.589,36.0,0.994,0.206,53.2,23,6.768,419.64,69.899,61.625,30,0,13,1.127,0.64,1.6,62,0,0,63,0,0,33
5.553,3,2,2,6,9,37.5,10,0.606,34.0,0.993,0.193,51.8,21,7.279,407.65,62.779,55.607,28,0,11,1.121,0.667,1.8,56,0,0,57,0,0,29
5.0,3,1,1,6,9,37.5,10,0.597,34.0,0.997,0.193,51.8,21,6.992,391.58,63.069,55.858,28,0,11,1.126,0.645,1.8,56,0,0,57,0,0,29
5.0,3,0,0,12,15,42.9,16,0.62,40.0,0.998,0.138,48.2,24,7.027,393.52,62.734,55.898,31,0,8,1.12,0.656,1.8,56,0,0,58,0,0,27
5.0,3,1,1,11,14,41.1,14,0.624,39.5,1.0,0.155,48.2,23,7.385,413.58,62.654,55.974,31,0,9,1.119,0.667,1.8,56,0,0,58,0,0,27
5.0,3,0,0,11,14,40.0,13,0.617,39.5,1.008,0.158,47.3,22,7.245,398.5,62.026,55.443,31,0,9,1.128,0.644,3.6,55,0,0,57,0,0,26
5.0,3,1,1,11,14,40.0,13,0.626,39.5,1.003,0.158,47.3,22,7.538,414.57,61.737,55.192,31,0,9,1.122,0.666,3.6,55,0,0,57,0,0,26
5.0,3,2,2,11,14,39.6,13,0.643,39.5,1.007,0.164,45.3,21,8.162,432.61,59.241,53.385,31,0,8,1.118,0.689,3.8,53,0,0,55,0,0,24
5.0,3,2,2,11,14,39.6,13,0.643,39.5,1.007,0.164,45.3,21,8.162,432.61,59.241,53.385,31,0,8,1.118,0.689,3.8,53,0,0,55,0,0,24
5.469,3,2,2,5,8,34.6,7,0.608,32.5,1.005,0.208,50.0,18,7.665,398.6,58.657,52.269,27,0,11,1.128,0.659,3.8,52,0,0,53,0,0,26
5.0,3,2,2,11,14,40.0,13,0.651,38.5,1.01,0.173,44.0,20,8.372,418.58,55.826,50.502,30,0,7,1.117,0.695,4.0,50,0,0,52,0,0,22
5.721,3,2,2,11,14,38.3,13,0.65,45.5,1.034,0.194,41.7,23,8.844,530.64,68.3,62.018,37,0,10,1.138,0.671,3.3,60,0,0,62,0,3,25
5.0,3,2,2,10,13,38.0,11,0.645,38.0,1.017,0.173,44.0,19,8.451,422.57,56.036,50.829,30,0,8,1.121,0.684,4.0,50,0,0,52,0,0,22
5.0,3,2,2,5,8,35.8,7,0.615,34.5,1.005,0.164,49.1,19,7.747,410.61,59.657,53.269,29,0,12,1.126,0.665,3.8,53,0,0,55,0,0,26
5.0,3,1,2,6,9,37.7,10,0.618,34.0,1.006,0.204,49.1,20,7.773,411.99,59.598,53.298,28,1,10,1.124,0.665,1.9,53,0,0,54,0,0,26
5.0,3,2,2,11,14,40.7,14,0.64,39.5,1.003,0.161,46.3,22,7.993,431.62,60.158,54.167,31,0,8,1.114,0.69,1.9,54,0,0,56,0,0,25
5.0,3,0,1,12,15,43.4,16,0.642,40.0,1.006,0.145,45.3,23,7.81,413.93,59.262,53.338,31,1,7,1.118,0.676,1.9,53,0,0,55,0,0,24
5.0,3,0,0,12,15,42.9,16,0.62,40.0,0.998,0.138,48.2,24,7.027,393.52,62.734,55.898,31,0,8,1.12,0.656,1.8,56,0,0,58,0,0,27
5.292,3,0,1,12,15,42.9,16,0.635,41.0,1.004,0.155,46.4,24,7.642,427.96,62.678,56.222,32,1,8,1.119,0.671,1.8,56,0,0,58,0,0,26
5.0,3,1,2,11,14,41.5,14,0.646,39.5,1.008,0.164,45.3,22,8.188,433.99,59.182,53.414,31,1,8,1.117,0.688,1.9,53,0,0,55,0,0,24
5.377,3,2,2,17,20,43.3,19,0.66,48.5,1.004,0.159,43.3,26,8.245,494.68,66.657,60.269,37,0,7,1.111,0.704,3.3,60,0,0,63,0,0,26
5.201,3,2,3,17,20,43.3,19,0.674,49.5,1.01,0.159,41.7,26,8.819,529.12,66.601,60.593,38,1,7,1.11,0.719,3.3,60,0,0,63,0,0,25
5.0,3,2,2,22,25,45.5,23,0.669,56.0,1.002,0.143,42.4,30,8.254,544.74,73.072,66.152,42,0,7,1.107,0.712,3.0,66,0,0,70,0,0,28
5.0,3,1,1,12,15,41.3,16,0.619,43.0,0.996,0.185,49.2,26,7.201,453.65,70.484,62.741,34,0,10,1.119,0.665,1.6,63,0,0,65,0,0,31
5.0,3,1,1,17,20,43.5,20,0.63,50.5,0.995,0.167,47.8,30,7.3,503.71,76.899,68.625,39,0,10,1.114,0.676,1.4,69,0,0,72,0,0,33
5.0,3,1,1,12,15,40.3,15,0.62,43.0,0.999,0.188,48.4,25,7.333,454.64,69.567,61.96,34,0,10,1.122,0.663,3.2,62,0,0,64,0,0,30
5.149,3,1,1,12,15,40.6,16,0.616,47.0,0.996,0.167,49.3,28,7.17,494.71,77.397,68.727,38,0,12,1.122,0.662,2.9,69,0,0,72,0,0,34
5.0,3,1,1,16,19,41.8,18,0.627,49.0,0.998,0.171,47.8,28,7.354,492.69,74.982,66.843,38,0,10,1.119,0.67,3.0,67,0,0,70,0,0,32
5.301,3,1,1,16,19,41.5,17,0.634,49.0,1.004,0.176,46.2,27,7.61,494.66,72.776,65.287,38,0,10,1.12,0.671,3.1,65,0,0,68,0,0,30
5.0,3,2,2,16,19,41.5,17,0.641,49.0,1.001,0.176,46.2,27,7.857,510.73,72.487,65.036,38,0,10,1.115,0.689,3.1,65,0,0,68,0,0,30
5.0,3,1,1,16,19,42.4,18,0.632,49.0,1.001,0.174,47.0,28,7.48,493.67,73.693,66.069,38,0,10,1.117,0.672,1.5,66,0,0,69,0,0,31
5.0,3,1,1,12,15,39.4,15,0.617,45.0,1.003,0.206,48.5,26,7.343,484.67,74.192,66.171,36,0,11,1.124,0.657,3.0,66,0,0,68,0,0,32
5.0,3,1,1,12,15,39.4,15,0.617,45.0,1.003,0.206,48.5,26,7.343,484.67,74.192,66.171,36,0,11,1.124,0.657,3.0,66,0,0,68,0,0,32
5.0,3,1,1,12,15,39.4,15,0.617,45.0,1.003,0.206,48.5,26,7.343,484.67,74.192,66.171,36,0,11,1.124,0.657,3.0,66,0,0,68,0,0,32
5.215,3,2,2,17,20,42.9,19,0.653,49.5,1.002,0.152,44.4,27,8.075,508.71,70.072,63.152,38,0,8,1.112,0.699,3.2,63,0,0,66,0,0,28
5.268,3,2,2,17,20,42.2,19,0.654,50.5,1.007,0.164,43.8,27,8.199,524.71,71.281,64.48,39,0,8,1.114,0.695,3.1,64,0,0,67,0,0,28
5.62,3,2,2,17,20,42.4,19,0.646,50.5,1.001,0.145,45.5,28,7.92,522.74,73.487,66.036,39,0,9,1.113,0.694,3.0,66,0,0,69,0,0,30
5.602,3,2,2,17,20,42.4,19,0.646,50.5,1.001,0.145,45.5,28,7.92,522.74,73.487,66.036,39,0,9,1.113,0.694,3.0,66,0,0,69,0,0,30
5.569,3,2,2,21,24,44.4,21,0.672,54.5,1.009,0.149,41.3,28,8.487,534.7,69.866,63.596,41,0,7,1.109,0.71,3.2,63,0,0,67,0,0,26
5.0,3,2,2,21,24,43.5,20,0.674,54.5,1.013,0.152,40.3,27,8.64,535.69,68.949,62.814,41,0,7,1.112,0.709,4.8,62,0,0,66,0,0,25
5.097,3,3,3,21,24,43.5,20,0.682,54.5,1.009,0.152,40.3,27,8.899,551.76,68.66,62.563,41,0,7,1.107,0.728,4.8,62,0,0,66,0,0,25
6.167,3,3,4,21,24,43.5,20,0.695,55.5,1.014,0.152,38.7,27,9.455,586.2,68.604,62.887,42,1,7,1.107,0.742,4.8,62,0,0,66,0,0,24
5.886,3,2,2,21,24,43.1,20,0.667,55.5,1.011,0.145,41.5,28,8.457,549.72,72.364,65.698,42,0,8,1.113,0.703,4.6,65,0,0,69,0,0,27
6.699,3,2,2,21,24,43.1,20,0.667,55.5,1.011,0.145,41.5,28,8.457,549.72,72.364,65.698,42,0,8,1.113,0.703,4.6,65,0,0,69,0,0,27
5.114,3,2,2,21,24,43.1,20,0.667,55.5,1.011,0.145,41.5,28,8.457,549.72,72.364,65.698,42,0,8,1.113,0.703,4.6,65,0,0,69,0,0,27
5.495,3,2,2,21,24,42.6,20,0.66,56.5,1.009,0.139,42.6,29,8.29,563.75,75.78,68.582,43,0,9,1.114,0.698,4.4,68,0,0,72,0,0,29
6.187,3,2,3,21,24,43.5,20,0.688,55.5,1.018,0.152,38.7,27,9.196,570.13,68.893,63.138,42,1,7,1.111,0.723,4.8,62,0,0,66,0,0,24
5.0,3,0,0,6,9,38.2,10,0.586,33.0,0.996,0.179,52.7,21,6.537,359.51,62.149,54.781,27,0,11,1.13,0.627,1.8,55,0,0,56,0,0,29
5.0,3,1,1,0,3,32.7,4,0.563,27.0,0.995,0.236,56.4,18,6.501,357.57,62.484,54.741,24,0,14,1.136,0.616,1.8,55,0,0,55,0,0,31
6.26,1,0,2,18,19,46.2,18,0.679,44.0,1.014,0.145,40.4,24,8.834,459.37,58.21,52.738,34,2,6,1.119,0.711,3.8,52,0,0,55,0,1,21
4.801,1,0,2,18,19,46.2,18,0.679,44.0,1.014,0.109,40.4,24,8.834,459.37,58.21,52.738,34,2,6,1.119,0.711,3.8,52,0,0,55,0,1,21
6.04,1,0,2,18,19,46.2,18,0.679,44.0,1.014,0.127,40.4,24,8.834,459.37,58.21,52.738,34,2,6,1.119,0.711,3.8,52,0,0,55,0,1,21
6.52,1,0,2,18,19,44.4,18,0.664,43.0,1.012,0.143,42.6,24,8.544,461.39,60.626,54.622,33,2,6,1.123,0.698,3.7,54,0,0,56,0,1,23
5.86,1,0,2,18,19,44.4,18,0.664,43.0,1.012,0.143,42.6,24,8.544,461.39,60.626,54.622,33,2,6,1.123,0.698,3.7,54,0,0,56,0,1,23
5.361,1,0,2,18,19,44.4,18,0.664,43.0,1.012,0.125,42.6,24,8.544,461.39,60.626,54.622,33,2,6,1.123,0.698,3.7,54,0,0,56,0,1,23
6.35,1,0,2,18,19,44.4,18,0.664,43.0,1.012,0.143,42.6,24,8.544,461.39,60.626,54.622,33,2,6,1.123,0.698,3.7,54,0,0,56,0,1,23
5.66,1,0,2,18,19,45.8,18,0.667,48.0,1.009,0.111,42.4,27,8.465,499.44,66.041,59.505,38,2,9,1.119,0.703,3.4,59,0,0,63,0,1,25
5.58,1,0,2,18,19,47.6,18,0.708,39.0,1.026,0.136,35.7,20,9.649,405.27,46.965,43.087,29,2,2,1.118,0.73,4.8,42,0,0,44,0,1,15
7.39,3,1,4,24,27,47.3,24,0.731,55.0,1.035,0.138,32.7,26,10.543,579.88,61.078,56.909,40,3,2,1.111,0.756,3.6,55,0,0,58,0,1,18
7.26,3,1,5,24,27,47.3,24,0.746,56.0,1.041,0.138,30.9,26,11.169,614.32,61.022,57.233,41,4,2,1.109,0.772,3.6,55,0,0,58,0,1,17
6.67,3,1,3,24,27,46.6,24,0.706,55.0,1.025,0.131,36.2,27,9.646,559.47,64.549,59.469,40,2,3,1.113,0.733,3.4,58,0,0,61,0,1,21
6.67,3,1,5,24,27,47.3,24,0.746,56.0,1.041,0.138,30.9,26,11.169,614.32,61.022,57.233,41,4,2,1.109,0.772,3.6,55,0,0,58,0,1,17
6.009,3,0,1,6,9,38.1,11,0.593,37.0,1.0,0.188,52.4,24,6.937,437.02,71.049,62.981,31,1,13,1.128,0.636,0.0,63,0,0,64,0,0,33
