pXC50,RBN,RBF,nH,MW,C.,SCBO,nC,Sp,nBO,Sv,nSK,N.,Se,Si,nBT,nAT,Mp,nCsp2,nF,Mv,nAB,nN,nBM,H.,Mi,nHet,AMW,nX
6.601,6,0.12,23,341.46,37.5,34.0,18,30.79,27,29.278,25,10.4,48.116,54.647,50,48,0.641,11,0,0.61,12,5,13,47.9,1.138,7,7.114,0
5.975,8,0.118,35,409.63,38.5,39.0,25,41.108,33,37.923,30,4.6,64.098,73.557,68,65,0.632,12,0,0.583,12,3,12,53.8,1.132,5,6.302,0
5.627,3,0.079,20,228.37,40.5,23.0,15,23.864,18,21.784,17,5.4,36.156,41.733,38,37,0.645,6,0,0.589,6,2,7,54.1,1.128,2,6.172,0
5.613,6,0.097,30,394.57,39.0,39.0,23,37.83,32,35.364,29,6.8,58.549,66.81,62,59,0.641,12,0,0.599,12,4,13,50.8,1.132,6,6.688,0
6.152,2,0.04,22,322.44,43.5,34.0,20,30.534,28,28.74,24,4.3,45.694,51.567,50,46,0.664,12,0,0.625,12,2,12,47.8,1.121,4,7.01,0
6.893,6,0.102,32,344.56,35.1,31.0,20,35.137,27,32.176,25,7.0,56.105,65.015,59,57,0.616,7,0,0.564,6,4,7,56.1,1.141,5,6.045,0
5.959,7,0.109,33,379.6,39.3,37.0,24,38.893,31,35.681,28,4.9,59.887,68.932,64,61,0.638,12,0,0.585,12,3,12,54.1,1.13,4,6.223,0
8.38,7,0.117,23,481.57,39.3,45.0,22,37.256,37,36.337,33,8.9,57.683,64.547,60,56,0.665,11,4,0.649,16,5,16,41.1,1.153,11,8.599,4
9.05,7,0.117,24,463.58,39.3,44.0,22,37.319,36,35.954,32,8.9,57.17,64.207,60,56,0.666,11,3,0.642,16,5,16,42.9,1.147,10,8.278,3
9.01,7,0.111,26,473.62,40.7,45.5,24,39.625,37,37.766,33,8.5,59.727,67.413,63,59,0.672,13,3,0.64,17,5,17,44.1,1.143,9,8.027,3
9.19,7,0.111,26,493.68,39.0,45.0,23,40.273,37,37.953,33,8.5,59.803,67.333,63,59,0.683,11,3,0.643,16,5,16,44.1,1.141,10,8.367,3
7.398,4,0.074,24,352.51,49.0,41.5,25,35.387,30,32.838,27,3.9,49.923,56.564,54,51,0.694,17,0,0.644,17,2,19,47.1,1.109,2,6.912,0
8.699,7,0.119,23,460.58,40.0,44.5,22,37.108,36,35.733,32,10.9,56.061,63.081,59,55,0.675,12,3,0.65,17,6,17,41.8,1.147,10,8.374,3
5.553,6,0.097,30,420.0,37.3,37.0,22,37.898,32,35.411,29,5.1,58.981,66.88,62,59,0.642,8,0,0.6,6,3,8,50.8,1.134,7,7.119,1
7.769,6,0.103,31,345.54,35.7,31.0,20,34.586,27,31.869,25,5.4,55.33,63.727,58,56,0.618,7,0,0.569,6,3,7,55.4,1.138,5,6.17,0
6.315,7,0.108,33,395.6,38.7,38.0,24,39.347,32,36.396,29,4.8,61.214,70.142,65,62,0.635,12,0,0.587,12,3,12,53.2,1.131,5,6.381,0
5.733,6,0.1,30,366.56,38.6,36.0,22,36.376,30,33.649,27,7.0,56.221,64.6,60,57,0.638,11,0,0.59,12,4,12,52.6,1.133,5,6.431,0
6.898,3,0.058,23,345.47,46.9,38.0,23,33.29,29,31.246,26,2.0,48.476,54.484,52,49,0.679,14,0,0.638,12,1,14,46.9,1.112,3,7.05,0
5.0,2,0.042,20,324.45,51.1,39.5,23,31.864,28,29.784,25,4.4,44.156,49.733,48,45,0.708,17,0,0.662,17,2,19,44.4,1.105,2,7.21,0
6.593,3,0.073,18,294.45,46.2,31.5,18,27.75,23,25.444,21,5.1,38.349,43.238,41,39,0.712,11,0,0.652,11,2,13,46.2,1.109,3,7.55,0
7.431,3,0.068,20,288.42,47.6,33.0,20,28.864,24,26.784,22,4.8,41.156,46.733,44,42,0.687,13,0,0.638,12,2,14,47.6,1.113,2,6.867,0
5.447,8,0.133,31,387.01,39.7,35.0,23,37.745,29,34.487,27,3.4,57.109,65.378,60,58,0.651,12,0,0.595,12,2,12,53.4,1.127,4,6.673,1
6.488,4,0.082,23,317.46,46.8,35.0,22,31.836,26,29.531,24,2.1,46.149,52.275,49,47,0.677,14,0,0.628,12,1,14,48.9,1.112,2,6.754,0
7.32,3,0.064,22,302.45,46.7,34.0,21,30.625,25,28.311,23,4.4,44.04,50.149,47,45,0.681,14,0,0.629,12,2,14,48.9,1.114,2,6.721,0
7.06,3,0.064,22,302.45,46.7,34.0,21,30.625,25,28.311,23,4.4,44.04,50.149,47,45,0.681,14,0,0.629,12,2,14,48.9,1.114,2,6.721,0
6.0,4,0.111,19,237.41,34.3,20.5,12,22.756,17,20.466,16,8.6,34.451,39.737,36,35,0.65,5,0,0.585,5,3,6,54.3,1.135,4,6.783,0
5.0,7,0.135,23,382.94,40.0,38.0,20,33.745,29,31.697,27,12.0,49.887,56.671,52,50,0.675,12,0,0.634,12,6,14,46.0,1.133,7,7.659,1
5.0,7,0.137,23,349.49,38.8,37.0,19,32.131,28,30.364,26,14.3,48.781,55.81,51,49,0.656,11,0,0.62,12,7,14,46.9,1.139,7,7.132,0
5.0,9,0.153,28,392.56,38.6,40.0,22,36.864,31,34.638,29,10.5,56.658,64.766,59,57,0.647,12,0,0.608,12,6,14,49.1,1.136,7,6.887,0
5.432,6,0.092,33,399.59,37.1,37.0,23,38.802,32,36.111,29,4.8,61.541,70.351,65,62,0.626,8,0,0.582,6,3,8,53.2,1.135,6,6.445,0
5.423,8,0.127,33,401.04,39.3,36.0,24,39.506,30,36.014,28,3.3,59.992,68.793,63,61,0.648,12,0,0.59,12,2,12,54.1,1.128,4,6.574,1
7.522,3,0.059,22,338.48,50.0,40.5,24,33.625,29,31.311,26,4.2,47.04,53.149,51,48,0.701,17,0,0.652,17,2,19,45.8,1.107,2,7.052,0
6.167,6,0.097,30,420.0,37.3,37.0,22,37.898,32,35.411,29,5.1,58.981,66.88,62,59,0.642,8,0,0.6,6,3,8,50.8,1.134,7,7.119,1
5.527,6,0.095,31,393.58,40.0,39.0,24,38.586,32,35.869,29,5.0,59.33,67.727,63,60,0.643,13,0,0.598,12,3,13,51.7,1.129,5,6.56,0
6.226,7,0.101,35,421.64,39.4,41.0,26,42.108,34,38.923,31,4.5,65.098,74.557,69,66,0.638,13,0,0.59,12,3,13,53.0,1.13,5,6.388,0
7.481,3,0.065,21,303.44,45.5,34.0,20,29.87,25,27.805,23,6.8,43.258,49.232,46,44,0.679,13,0,0.632,12,3,14,47.7,1.119,3,6.896,0
4.699,7,0.123,25,395.5,40.7,40.0,22,35.211,32,33.718,29,5.6,54.334,60.9,57,54,0.652,14,0,0.624,12,3,14,46.3,1.128,7,7.324,0
7.201,3,0.065,21,303.44,45.5,34.0,20,29.87,25,27.805,23,6.8,43.258,49.232,46,44,0.679,13,0,0.632,12,3,14,47.7,1.119,3,6.896,0
7.269,3,0.065,21,303.43,47.7,34.0,21,30.074,25,28.004,23,2.3,43.265,48.86,46,44,0.684,14,0,0.636,12,1,14,47.7,1.11,2,6.896,0
6.712,3,0.06,22,326.47,48.9,39.0,23,32.625,28,30.311,25,4.3,46.04,52.149,50,47,0.694,16,0,0.645,16,2,18,46.8,1.11,2,6.946,0
5.0,5,0.083,29,379.55,40.4,38.0,23,36.824,31,34.342,28,5.3,56.447,64.311,60,57,0.646,13,0,0.602,12,3,13,50.9,1.128,5,6.659,0
6.187,5,0.1,28,272.48,37.5,25.0,18,29.91,22,26.891,20,4.2,46.69,54.394,50,48,0.623,6,0,0.56,6,2,6,58.3,1.133,2,5.677,0
4.807,5,0.081,28,404.56,41.4,42.0,24,38.069,34,35.837,30,6.9,57.665,65.394,62,58,0.656,14,0,0.618,12,4,14,48.3,1.127,6,6.975,0
5.388,7,0.106,33,431.66,36.5,38.0,23,40.449,33,37.298,30,4.8,62.618,71.271,66,63,0.642,8,0,0.592,6,3,8,52.4,1.131,7,6.852,0
5.745,5,0.077,29,453.03,41.0,44.0,25,40.688,36,38.191,32,6.6,60.872,68.754,65,61,0.667,14,0,0.626,12,4,14,47.5,1.127,7,7.427,1
6.171,5,0.077,30,418.59,41.0,43.0,25,39.83,35,37.364,31,6.6,60.549,68.81,65,61,0.653,14,0,0.613,12,4,14,49.2,1.128,6,6.862,0
6.015,6,0.087,32,448.62,40.0,45.0,26,42.046,37,39.605,33,6.2,64.76,73.434,69,65,0.647,14,0,0.609,12,4,14,49.2,1.13,7,6.902,0
5.208,5,0.081,27,439.0,41.4,43.0,24,38.926,35,36.664,31,6.9,57.989,65.338,62,58,0.671,14,0,0.632,12,4,14,46.6,1.127,7,7.569,1
5.409,6,0.1,27,426.99,40.4,41.0,23,37.926,33,35.664,30,7.0,56.989,64.338,60,57,0.665,14,0,0.626,12,4,14,47.4,1.129,7,7.491,1
5.0,8,0.143,26,378.53,38.9,39.0,21,35.103,30,33.111,28,11.1,53.774,61.351,56,54,0.65,12,0,0.613,12,6,14,48.1,1.136,7,7.01,0
5.633,6,0.111,27,352.49,38.5,32.0,20,32.484,27,30.568,25,3.8,52.112,59.829,54,52,0.625,8,3,0.588,10,2,10,51.9,1.151,5,6.779,3
5.0,3,0.07,19,293.41,41.5,32.0,17,27.358,24,25.795,22,12.2,40.694,46.398,43,41,0.667,9,0,0.629,12,5,13,46.3,1.132,5,7.156,0
6.577,5,0.119,22,371.29,39.0,24.0,16,28.495,20,24.848,19,2.4,40.218,45.996,42,41,0.695,8,0,0.606,6,1,7,53.7,1.122,3,9.056,1
6.549,3,0.067,21,287.43,48.8,33.0,21,29.62,24,27.289,22,2.3,41.938,47.65,45,43,0.689,14,0,0.635,12,1,14,48.8,1.108,1,6.684,0
6.868,3,0.068,20,288.42,47.6,33.0,20,28.864,24,26.784,22,4.8,41.156,46.733,44,42,0.687,13,0,0.638,12,2,14,47.6,1.113,2,6.867,0
7.493,3,0.068,20,288.42,47.6,33.0,20,28.864,24,26.784,22,4.8,41.156,46.733,44,42,0.687,13,0,0.638,12,2,14,47.6,1.113,2,6.867,0
6.201,2,0.05,21,231.37,39.5,22.0,15,24.074,19,22.004,17,2.6,37.265,42.86,40,38,0.634,6,0,0.579,6,1,6,55.3,1.128,2,6.089,0
7.77,2,0.05,21,231.37,39.5,22.0,15,24.074,19,22.004,17,2.6,37.265,42.86,40,38,0.634,6,0,0.579,6,1,6,55.3,1.128,2,6.089,0
5.167,5,0.114,20,351.43,34.9,29.0,15,27.205,24,26.298,23,2.3,44.418,49.633,44,43,0.633,6,3,0.612,6,1,8,46.5,1.154,8,8.173,3
5.777,3,0.067,20,309.42,44.2,33.0,19,28.807,25,27.189,23,7.0,42.771,48.571,45,43,0.67,11,1,0.632,12,3,13,46.5,1.13,4,7.196,1
6.936,8,0.114,35,437.64,38.8,42.0,26,42.563,35,39.637,32,4.5,66.425,75.766,70,67,0.635,13,0,0.592,12,3,13,52.2,1.131,6,6.532,0
6.337,1,0.021,22,294.43,43.2,31.0,19,29.08,25,27.026,22,4.5,43.367,49.358,47,44,0.661,12,0,0.614,12,2,12,50.0,1.122,3,6.692,0
8.481,7,0.117,27,448.43,40.4,40.0,23,38.54,33,35.997,30,5.3,57.094,64.199,60,57,0.676,13,0,0.632,12,3,13,47.4,1.126,7,7.867,2
6.445,0,0.0,19,265.38,46.2,29.0,18,26.313,23,24.477,20,2.6,38.382,43.445,42,39,0.675,12,0,0.628,12,1,12,48.7,1.114,2,6.805,0
6.533,9,0.134,32,450.07,42.2,44.0,27,42.75,35,39.508,32,4.7,63.21,71.876,67,64,0.668,17,0,0.617,18,3,18,50.0,1.123,5,7.032,1
6.0,3,0.073,21,243.38,41.0,24.0,16,25.074,20,23.004,18,2.6,38.265,43.86,41,39,0.643,8,0,0.59,6,1,7,53.8,1.125,2,6.241,0
6.106,7,0.106,33,407.61,39.7,40.0,25,40.347,33,37.396,30,4.8,62.214,71.142,66,63,0.64,13,0,0.594,12,3,13,52.4,1.129,5,6.47,0
7.444,6,0.103,28,368.52,40.0,36.0,22,35.273,30,33.036,27,3.6,54.672,62.022,58,55,0.641,12,0,0.601,12,2,12,50.9,1.128,5,6.7,0
6.0,13,0.206,35,369.6,38.7,34.0,24,38.858,28,35.407,27,1.6,60.778,69.976,63,62,0.627,12,0,0.571,12,1,12,56.5,1.129,3,5.961,0
7.409,5,0.093,26,338.49,41.2,34.0,21,33.057,28,30.794,25,3.9,50.461,57.398,54,51,0.648,12,0,0.604,12,2,12,51.0,1.125,4,6.637,0
6.796,5,0.093,26,330.51,45.1,36.5,23,34.148,28,31.364,25,3.9,49.807,56.979,54,51,0.67,16,0,0.615,17,2,17,51.0,1.117,2,6.481,0
6.475,5,0.104,25,279.46,43.5,29.0,20,30.143,23,27.343,21,2.2,44.705,51.481,48,46,0.655,12,0,0.594,12,1,12,54.3,1.119,1,6.075,0
6.164,12,0.203,32,418.46,39.7,33.0,23,37.995,27,34.19,26,1.7,56.796,65.193,59,58,0.655,12,0,0.589,12,1,12,55.2,1.124,3,7.215,1
7.119,6,0.107,26,370.5,37.7,36.0,20,33.762,30,32.025,27,7.5,53.109,60.189,56,53,0.637,10,0,0.604,12,4,12,49.1,1.136,7,6.991,0
6.678,7,0.13,29,307.52,42.3,31.0,22,33.665,25,30.397,23,1.9,50.472,58.311,54,52,0.647,12,0,0.585,12,1,12,55.8,1.121,1,5.914,0
7.523,5,0.093,25,372.93,41.2,35.0,21,33.915,29,31.622,26,3.9,50.785,57.342,54,51,0.665,12,0,0.62,12,2,12,49.0,1.124,5,7.312,1
7.161,7,0.143,24,329.9,42.6,31.0,20,31.455,25,28.885,23,2.1,46.356,52.634,49,47,0.669,12,0,0.615,12,1,12,51.1,1.12,3,7.019,1
7.595,5,0.094,25,339.48,40.0,34.0,20,32.302,28,30.289,25,6.0,49.68,56.481,53,50,0.646,11,0,0.606,12,3,12,50.0,1.13,5,6.79,0
6.772,11,0.196,30,404.43,40.0,32.0,22,36.234,26,32.663,25,1.8,53.912,61.777,56,55,0.659,12,0,0.594,12,1,12,54.5,1.123,3,7.353,1
6.788,7,0.14,24,345.9,41.7,32.0,20,31.909,26,29.6,24,2.1,47.683,53.844,50,48,0.665,12,0,0.617,12,1,12,50.0,1.122,4,7.206,1
6.0,13,0.206,35,369.6,38.7,34.0,24,38.858,28,35.407,27,1.6,60.778,69.976,63,62,0.627,12,0,0.571,12,1,12,56.5,1.129,3,5.961,0
6.368,3,0.073,21,243.38,41.0,24.0,16,25.074,20,23.004,18,2.6,38.265,43.86,41,39,0.643,8,0,0.59,6,1,7,53.8,1.125,2,6.241,0
6.738,9,0.136,32,416.61,42.9,43.0,27,41.341,34,38.374,31,3.2,62.112,70.643,66,63,0.656,18,0,0.609,18,2,18,50.8,1.121,4,6.613,0
6.274,0,0.0,17,251.35,47.2,28.0,17,24.551,22,22.951,19,2.8,35.498,40.029,39,36,0.682,12,0,0.638,12,1,12,47.2,1.112,2,6.982,0
6.0,8,0.151,27,325.49,41.2,32.0,21,32.813,26,30.299,24,2.0,50.243,57.315,53,51,0.643,12,0,0.594,12,1,12,52.9,1.124,3,6.382,0
7.699,1,0.021,22,294.43,43.2,31.0,19,29.08,25,27.026,22,4.5,43.367,49.358,47,44,0.661,12,0,0.614,12,2,12,50.0,1.122,3,6.692,0
6.155,6,0.12,26,298.47,39.6,30.0,19,30.603,24,28.079,22,4.2,47.134,54.188,50,48,0.638,9,0,0.585,10,2,11,54.2,1.129,3,6.218,0
6.2,0,0.0,17,251.35,47.2,28.0,17,24.551,22,22.951,19,2.8,35.498,40.029,39,36,0.682,12,0,0.638,12,1,12,47.2,1.112,2,6.982,0
6.845,8,0.133,27,423.0,42.1,42.0,24,38.472,33,35.949,30,7.0,56.661,64.129,60,57,0.675,16,0,0.631,18,4,18,47.4,1.125,6,7.421,1
7.328,2,0.053,19,229.35,41.7,23.0,15,23.313,19,21.477,17,2.8,35.382,40.445,38,36,0.648,8,0,0.597,6,1,7,52.8,1.123,2,6.371,0
6.0,3,0.073,21,243.38,41.0,24.0,16,25.074,20,23.004,18,2.6,38.265,43.86,41,39,0.643,8,0,0.59,6,1,7,53.8,1.125,2,6.241,0
7.796,10,0.145,33,465.08,42.4,45.0,28,43.961,36,40.729,33,3.0,65.32,74.003,69,66,0.666,18,0,0.617,18,2,18,50.0,1.121,5,7.047,1
6.0,3,0.07,23,245.4,39.0,23.0,16,25.836,20,23.531,18,2.4,40.149,46.275,43,41,0.63,6,0,0.574,6,1,6,56.1,1.129,2,5.985,0
6.0,3,0.065,25,259.43,38.6,24.0,17,27.597,21,25.058,19,2.3,43.032,49.69,46,44,0.627,6,0,0.569,6,1,6,56.8,1.129,2,5.896,0
6.0,3,0.065,25,259.43,38.6,24.0,17,27.597,21,25.058,19,2.3,43.032,49.69,46,44,0.627,6,0,0.569,6,1,6,56.8,1.129,2,5.896,0
6.029,3,0.07,23,245.4,39.0,23.0,16,25.836,20,23.531,18,2.4,40.149,46.275,43,41,0.63,6,0,0.574,6,1,6,56.1,1.129,2,5.985,0
6.309,6,0.087,32,472.67,36.9,44.0,24,42.148,37,39.507,33,6.2,65.163,73.564,69,65,0.648,9,0,0.608,10,4,12,49.2,1.132,9,7.272,0
5.699,6,0.091,31,491.51,44.4,45.0,28,43.239,35,39.685,32,3.2,62.014,70.276,66,63,0.686,20,0,0.63,18,2,19,49.2,1.115,4,7.802,1
