pXC50,nN,nDB,O.,Sv,nSK,Se,Sp,nBO,Si,nBT,nAT,MW,Mi,nC,SCBO,nBM,N.
7.8,6,1,0.0,21.476,18,35.989,23.25,18,41.401,36,36,266.42,1.15,11,23.5,7,16.7
4.58,3,1,0.0,13.412,10,24.683,15.233,9,28.906,24,25,161.31,1.156,6,10.0,1,12.0
5.0,2,1,7.1,33.105,27,56.207,35.347,29,63.591,58,56,396.96,1.136,20,33.0,7,3.6
5.0,2,1,5.9,29.036,23,50.672,31.273,24,58.022,52,51,320.48,1.138,18,28.0,7,3.9
5.0,2,1,7.5,31.134,26,53.512,32.665,28,60.572,55,53,366.48,1.143,19,32.0,7,3.8
11.523,5,1,0.0,17.161,16,25.276,17.551,17,28.322,26,25,211.25,1.133,11,25.5,13,20.0
6.3,7,1,0.0,26.551,22,44.858,28.779,23,51.73,46,45,321.51,1.15,14,29.0,11,15.6
11.523,4,1,0.0,15.666,14,24.058,16.307,15,27.239,25,24,186.24,1.135,10,21.5,12,16.7
11.523,5,1,0.0,17.161,16,25.276,17.551,17,28.322,26,25,211.25,1.133,11,25.5,13,20.0
5.4,2,1,4.7,25.74,21,42.694,27.534,22,48.567,44,43,286.41,1.129,17,28.5,12,4.7
4.6,2,1,5.4,22.687,19,36.927,24.012,20,41.737,38,37,258.35,1.128,15,26.5,12,5.4
4.3,2,0,6.1,20.16,17,33.043,21.25,18,37.322,34,33,232.31,1.131,13,23.5,11,6.1
5.0,2,1,5.4,22.687,19,36.927,24.012,20,41.737,38,37,258.35,1.128,15,26.5,12,5.4
4.0,3,1,5.1,22.235,18,38.912,23.779,19,44.651,40,39,251.37,1.145,13,22.5,6,7.7
5.4,2,1,4.9,25.214,21,40.811,26.773,23,46.152,43,41,284.39,1.126,17,29.5,12,4.9
4.1,2,1,5.9,21.16,18,34.043,22.25,19,38.322,35,34,244.32,1.127,14,25.5,12,5.9
4.7,2,1,4.3,27.267,22,45.578,29.296,23,51.983,47,46,300.44,1.13,18,29.5,12,4.3
5.8,2,1,4.5,26.74,22,43.694,28.534,24,49.567,46,44,298.42,1.127,18,30.5,12,4.5
4.5,2,1,5.9,21.543,19,34.556,22.188,20,38.662,35,34,262.31,1.137,14,26.5,12,5.9
4.5,2,1,4.1,25.848,19,48.229,28.58,19,56.228,49,49,270.47,1.148,15,20.0,1,4.1
4.9,2,1,5.0,24.214,20,39.811,25.773,21,45.152,41,40,272.38,1.129,16,27.5,12,5.0
5.3,2,1,5.0,24.214,20,39.811,25.773,21,45.152,41,40,272.38,1.129,16,27.5,12,5.0
4.8,2,1,5.4,23.837,22,38.465,23.824,23,42.756,38,37,312.32,1.156,15,29.5,12,5.4
3.2,3,1,5.3,21.235,17,37.912,22.779,17,43.651,38,38,239.36,1.149,12,20.5,6,7.9
4.3,3,1,4.9,22.762,18,40.796,24.54,18,47.066,41,41,253.39,1.148,13,21.5,6,7.3
4.3,3,1,4.3,25.815,20,46.563,28.063,20,53.896,47,47,281.45,1.147,15,23.5,6,6.4
5.143,2,0,0.0,23.444,19,36.349,25.75,22,41.238,40,37,270.43,1.115,16,27.5,11,5.4
4.721,2,0,0.0,23.444,19,36.349,25.75,22,41.238,40,37,270.43,1.115,16,27.5,11,5.4
7.79,2,1,3.7,32.321,26,53.345,34.819,28,60.813,56,54,352.52,1.126,22,35.0,13,3.7
4.7,3,0,1.9,33.928,28,53.56,36.466,31,60.631,57,54,395.97,1.123,23,39.5,17,5.6
5.84,6,3,5.9,20.379,18,34.76,21.398,18,39.405,34,34,272.38,1.159,9,23.5,8,17.6
6.31,5,3,5.6,21.885,19,36.542,23.154,20,41.322,37,36,283.4,1.148,11,25.5,8,13.9
6.44,5,2,8.3,23.073,21,36.985,23.847,22,41.116,37,36,309.39,1.142,12,29.5,13,13.9
4.7,3,0,1.5,39.208,31,64.77,42.654,34,74.348,69,66,417.65,1.126,27,42.5,17,4.5
5.3,3,0,1.7,36.982,30,59.327,39.989,33,67.461,63,60,424.03,1.124,25,41.5,17,5.0
5.13,5,0,3.0,20.643,18,33.331,21.938,19,37.697,34,33,265.38,1.142,11,24.5,11,15.2
6.0,4,1,0.0,23.788,20,36.993,25.858,21,41.764,38,37,308.87,1.129,14,27.5,12,10.8
4.7,3,0,1.4,43.261,34,71.538,47.177,38,82.178,77,73,457.72,1.126,30,46.5,17,4.1
4.8,4,0,2.9,21.148,18,34.113,22.693,19,38.614,35,34,264.39,1.136,12,24.5,11,11.8
4.69,4,1,3.2,18.148,15,31.113,19.693,15,35.614,31,31,228.36,1.149,9,18.5,6,12.9
5.85,5,3,5.7,20.885,18,35.542,22.154,18,40.322,35,35,271.39,1.152,10,23.5,8,14.3
4.7,3,0,1.3,44.788,35,74.421,48.938,39,85.593,80,76,471.75,1.126,31,47.5,17,3.9
4.5,3,0,1.4,41.735,33,68.654,45.415,37,78.763,74,70,443.69,1.125,29,45.5,17,4.3
4.4,3,0,1.9,33.101,27,53.236,35.608,30,60.687,57,54,361.53,1.124,23,38.5,17,5.6
3.3,4,2,6.1,19.863,17,33.44,21.148,17,37.823,33,33,256.37,1.146,10,21.5,7,12.1
5.41,4,2,6.7,18.336,16,30.556,19.387,16,34.408,30,30,242.34,1.147,9,20.5,7,13.3
4.9,3,1,4.5,24.289,19,43.68,26.302,19,50.481,44,44,267.42,1.147,14,22.5,6,6.8
3.8,3,1,5.3,21.235,17,37.912,22.779,17,43.651,38,38,239.36,1.149,12,20.5,6,7.9
4.2,3,1,5.3,21.235,17,37.912,22.779,17,43.651,38,38,239.36,1.149,12,20.5,6,7.9
4.0,3,1,5.7,19.708,16,35.029,21.017,16,40.235,35,35,225.33,1.15,11,19.5,6,8.6
4.3,3,1,4.5,24.289,19,43.68,26.302,19,50.481,44,44,267.42,1.147,14,22.5,6,6.8
3.77,4,2,8.1,23.765,21,37.844,25.25,22,41.953,38,37,328.46,1.134,12,29.5,13,10.8
3.7,3,1,5.3,21.235,17,37.912,22.779,17,43.651,38,38,239.36,1.149,12,20.5,6,7.9
4.0,3,1,4.9,22.762,18,40.796,24.54,18,47.066,41,41,253.39,1.148,13,21.5,6,7.3
3.6,3,1,5.3,21.235,17,37.912,22.779,17,43.651,38,38,239.36,1.149,12,20.5,6,7.9
4.8,4,1,4.2,28.783,24,47.898,30.546,26,54.564,50,48,328.46,1.137,18,32.5,12,8.3
3.4,3,1,5.7,19.708,16,35.029,21.017,16,40.235,35,35,225.33,1.15,11,19.5,6,8.6
3.76,4,1,5.6,22.863,20,36.44,24.148,21,40.823,37,36,292.4,1.134,13,27.5,12,11.1
4.9,4,3,11.4,22.579,21,36.134,22.648,22,39.907,36,35,290.31,1.14,13,30.5,14,11.4
4.2,4,1,2.6,23.675,20,37.996,25.455,21,43.029,39,38,290.43,1.132,14,27.5,12,10.5
4.2,3,1,4.8,23.762,19,41.796,25.54,20,48.066,43,42,265.4,1.144,14,23.5,6,7.1
4.9,3,1,5.6,23.331,22,37.683,23.068,23,41.839,37,36,313.31,1.162,14,29.5,12,8.3
4.3,4,3,11.4,22.579,21,36.134,22.648,22,39.907,36,35,290.31,1.14,13,30.5,14,11.4
4.48,5,2,7.0,25.103,21,43.494,27.574,21,49.5,43,43,335.42,1.151,11,25.5,7,11.6
4.0,3,1,6.1,20.655,18,33.262,21.495,19,37.405,34,33,245.31,1.133,13,25.5,12,9.1
5.7,2,0,1.9,30.606,24,51.018,33.364,26,58.604,54,52,324.51,1.127,21,32.0,12,3.8
4.67,2,2,6.3,27.696,22,47.865,30.159,23,54.527,49,48,326.51,1.136,16,28.0,8,4.2
4.25,4,2,7.9,22.555,19,38.509,24.807,19,43.587,38,38,306.37,1.147,10,23.5,7,10.5
4.1,3,1,6.1,21.482,19,33.585,22.352,20,37.349,34,33,279.75,1.132,13,26.5,12,9.1
4.75,6,1,0.0,28.507,23,47.658,31.563,24,54.774,49,48,353.6,1.141,15,30.0,11,12.5
5.1,3,1,5.1,25.181,22,39.145,26.256,24,43.82,41,39,295.37,1.124,17,33.0,17,7.7
5.796,1,1,2.4,26.004,21,41.265,28.074,23,46.86,44,42,279.41,1.116,19,30.0,13,2.4
4.0,3,1,9.1,20.369,18,33.589,20.949,19,37.614,34,33,249.3,1.14,12,25.0,11,9.1
4.8,4,3,10.5,24.106,22,39.018,24.409,23,43.322,39,38,304.34,1.14,14,31.5,14,10.5
4.0,3,1,5.6,23.331,22,37.683,23.068,23,41.839,37,36,313.31,1.162,14,29.5,12,8.3
4.0,3,1,5.1,23.708,20,39.029,25.017,21,44.235,40,39,273.37,1.134,15,27.5,12,7.7
4.0,3,1,5.1,23.708,20,39.029,25.017,21,44.235,40,39,273.37,1.134,15,27.5,12,7.7
4.0,3,1,5.1,22.235,18,38.912,23.779,19,44.651,40,39,251.37,1.145,13,22.5,6,7.7
5.73,4,2,6.1,20.05,17,33.516,21.796,17,37.743,33,33,276.43,1.144,9,21.5,7,12.1
4.5,3,1,5.6,23.498,20,36.214,25.915,21,40.541,37,36,385.23,1.126,14,27.5,12,8.3
4.4,3,1,5.6,23.331,22,37.683,23.068,23,41.839,37,36,313.31,1.162,14,29.5,12,8.3
4.8,3,1,5.6,22.181,19,36.145,23.256,20,40.82,37,36,259.34,1.134,14,26.5,12,8.3
4.1,3,1,4.8,25.235,21,41.912,26.779,22,47.651,43,42,287.4,1.135,16,28.5,12,7.1
4.9,3,1,5.1,24.858,23,40.567,24.83,24,45.254,40,39,327.34,1.16,15,30.5,12,7.7
5.0,4,0,2.8,23.789,21,36.36,24.904,23,40.638,38,36,302.79,1.129,15,31.0,16,11.1
5.3,3,1,6.1,21.971,19,33.331,24.154,20,37.126,34,33,371.2,1.125,13,26.5,12,9.1
4.0,3,1,5.6,20.708,17,36.029,22.017,18,41.235,37,36,237.34,1.145,12,21.5,6,8.3
6.11,6,1,0.0,27.904,23,44.909,31.069,24,51.071,46,45,370.63,1.135,14,30.0,11,13.3
6.5,6,1,0.0,26.717,22,43.832,29.421,23,50.151,45,44,338.56,1.14,14,29.0,11,13.6
4.96,3,6,36.8,14.068,16,21.597,12.199,16,21.961,19,19,229.12,1.156,6,25.0,12,15.8
7.27,4,3,7.0,25.158,21,43.418,26.887,21,49.278,43,43,314.46,1.146,13,26.5,8,9.3
4.9,2,1,5.3,23.687,20,37.927,25.012,22,42.737,40,38,270.36,1.125,16,28.5,12,5.3
5.2,2,0,3.1,20.762,17,31.785,23.455,18,35.833,33,32,342.2,1.12,13,23.5,11,6.3
4.9,2,0,3.1,20.47,17,31.945,22.148,18,35.954,33,32,295.2,1.124,13,23.5,11,6.3
5.13,2,0,0.0,40.052,30,67.992,44.478,33,78.885,73,70,404.7,1.127,28,39.0,12,2.9
5.3,3,1,6.1,21.971,19,33.331,24.154,20,37.126,34,33,371.2,1.125,13,26.5,12,9.1
4.5,2,1,7.3,26.245,22,41.207,28.887,23,46.082,42,41,414.27,1.124,16,29.5,12,4.9
4.6,2,1,6.5,20.95,18,31.229,23.148,19,34.627,32,31,356.18,1.117,13,25.5,12,6.5
4.2,2,1,5.9,22.477,19,34.113,24.909,20,38.042,35,34,370.21,1.119,14,26.5,12,5.9
4.5,2,1,6.5,20.95,18,31.229,23.148,19,34.627,32,31,356.18,1.117,13,25.5,12,6.5
3.8,2,1,6.5,20.95,18,31.229,23.148,19,34.627,32,31,356.18,1.117,13,25.5,12,6.5
4.0,2,1,5.0,25.53,21,39.88,28.432,22,44.873,41,40,398.27,1.122,16,28.5,12,5.0
4.6,3,1,6.1,23.288,20,33.4,26.813,21,36.846,34,33,497.09,1.117,13,27.5,12,9.1
5.1,2,0,2.6,23.816,19,37.552,26.978,20,42.663,39,38,370.26,1.123,15,25.5,11,5.3
5.2,2,0,3.4,19.235,16,28.902,21.693,17,32.418,30,29,328.17,1.118,12,22.5,11,6.9
7.481,6,1,1.5,38.272,30,67.076,41.671,31,77.842,69,68,414.67,1.145,23,37.0,8,8.8
7.046,8,8,3.5,84.053,68,139.744,90.711,73,159.447,146,141,946.42,1.131,54,92.0,27,5.7
4.0,3,1,5.7,19.708,16,35.029,21.017,16,40.235,35,35,225.33,1.15,11,19.5,6,8.6
4.6,2,0,2.7,20.026,15,36.367,22.08,15,42.358,37,37,210.36,1.145,12,17.5,5,5.4
4.0,2,0,2.7,20.026,15,36.367,22.08,15,42.358,37,37,210.36,1.145,12,17.5,5,5.4
3.5,2,0,2.9,18.499,14,33.483,20.319,14,38.943,34,34,196.33,1.145,11,16.5,5,5.9
9.291,10,4,2.5,46.259,38,79.887,49.796,39,91.965,81,80,546.84,1.15,25,48.0,14,12.5
7.99,12,4,2.7,42.535,36,74.363,44.876,37,85.796,75,74,502.72,1.159,22,46.0,14,16.2
9.201,10,4,2.6,45.92,38,78.079,49.682,39,89.47,79,78,564.88,1.147,24,48.0,14,12.8
8.561,10,4,2.5,47.447,39,80.963,51.444,40,92.885,82,81,578.91,1.147,25,49.0,14,12.3
9.205,10,4,2.4,48.973,40,83.847,53.205,41,96.3,85,84,592.94,1.146,26,50.0,14,11.9
6.56,10,4,2.2,52.027,42,89.614,56.728,43,103.131,91,90,621.0,1.146,28,52.0,14,11.1
6.26,10,4,2.0,58.134,46,101.148,63.774,47,116.791,103,102,677.12,1.145,32,56.0,14,9.8
5.1,10,4,1.7,67.295,52,118.45,74.342,53,137.283,121,120,761.3,1.144,38,62.0,14,8.3
8.87,10,4,2.8,42.866,36,72.312,46.16,37,82.639,73,72,536.82,1.148,22,46.0,14,13.9
8.3,10,4,2.6,45.92,38,78.079,49.682,39,89.47,79,78,564.88,1.147,24,48.0,14,12.8
7.23,10,4,2.1,55.081,44,95.381,60.251,45,109.961,97,96,649.06,1.145,30,54.0,14,10.4
6.69,10,4,1.8,64.241,50,112.683,70.819,51,130.452,115,114,733.24,1.144,36,60.0,14,8.8
7.96,10,4,3.1,37.438,32,64.392,39.341,33,73.969,65,64,444.62,1.156,20,42.0,14,15.6
8.489,10,4,2.9,40.492,34,70.159,42.864,35,80.799,71,70,472.68,1.154,22,44.0,14,14.3
8.939,10,4,2.6,43.546,36,75.927,46.387,37,87.63,77,76,500.74,1.153,24,46.0,14,13.2
7.7,10,4,2.1,52.706,42,93.228,56.955,43,108.121,95,94,584.92,1.15,30,52.0,14,10.6
7.46,10,4,1.8,61.867,48,110.53,67.524,49,128.612,113,112,669.1,1.148,36,58.0,14,8.9
8.46,10,4,2.5,47.447,39,80.963,51.444,40,92.885,82,81,578.91,1.147,25,49.0,14,12.3
7.8,5,2,2.1,28.75,24,46.865,30.983,25,53.358,48,47,345.52,1.135,17,32.5,13,10.6
8.59,10,4,2.8,42.866,36,72.312,46.16,37,82.639,73,72,536.82,1.148,22,46.0,14,13.9
5.0,4,1,0.0,25.541,20,43.32,28.285,22,50.065,46,44,292.5,1.138,15,25.5,6,9.1
5.4,3,1,5.6,22.565,20,36.658,23.193,21,41.16,37,36,277.33,1.143,14,27.5,12,8.3
5.0,5,0,0.0,36.429,30,58.112,39.165,33,66.474,62,59,399.59,1.127,25,44.0,22,8.5
4.3,2,1,5.0,24.214,20,39.811,25.773,21,45.152,41,40,272.38,1.129,16,27.5,12,5.0
7.5,8,2,0.0,22.653,20,36.502,24.387,20,41.487,36,36,312.48,1.152,10,26.5,8,22.2
4.4,3,1,4.8,25.235,21,41.912,26.779,22,47.651,43,42,287.4,1.135,16,28.5,12,7.1
5.0,3,0,1.6,37.681,30,61.887,40.893,33,70.932,66,63,403.62,1.126,26,41.5,17,4.8
4.0,3,1,5.1,23.708,20,39.029,25.017,21,44.235,40,39,273.37,1.134,15,27.5,12,7.7
4.7,3,0,0.0,32.386,26,51.909,35.154,29,59.477,56,53,345.53,1.122,23,37.5,17,5.7
4.2,3,1,6.1,21.038,19,33.774,21.432,20,37.745,34,33,263.3,1.144,13,26.5,12,9.1
4.9,3,0,0.0,29.859,24,48.025,32.393,26,55.062,51,49,319.49,1.124,21,34.5,17,6.1
6.04,4,1,0.0,18.621,15,30.862,20.887,15,35.324,31,31,244.43,1.139,9,18.5,6,12.9
4.46,3,0,0.0,28.332,23,45.141,30.631,25,51.647,48,46,305.46,1.123,20,33.5,17,6.5
3.3,4,1,5.6,22.863,20,36.44,24.148,21,40.823,37,36,292.4,1.134,13,27.5,12,11.1
5.87,4,3,8.8,20.765,18,34.844,22.25,18,38.953,34,34,292.43,1.146,9,23.5,8,11.8
5.0,4,0,3.0,22.262,20,33.476,23.142,22,37.223,35,33,288.76,1.128,14,30.0,16,12.1
4.9,3,0,1.7,36.154,29,59.003,39.131,32,67.517,63,60,389.59,1.125,25,40.5,17,5.0
4.1,3,1,5.6,23.009,20,36.469,24.114,21,40.764,37,36,293.78,1.132,14,27.5,12,8.3
3.6,2,1,5.9,22.477,19,34.113,24.909,20,38.042,35,34,370.21,1.119,14,26.5,12,5.9
4.0,4,1,5.3,23.203,20,38.247,24.262,21,43.318,39,38,274.36,1.14,14,27.5,12,10.5
6.0,4,3,10.5,24.106,22,39.018,24.409,23,43.322,39,38,304.34,1.14,14,31.5,14,10.5
4.8,3,1,6.1,21.68,19,33.491,22.847,20,37.247,34,33,324.2,1.129,13,26.5,12,9.1
3.7,4,2,5.0,25.39,22,40.323,26.909,23,45.238,41,40,318.44,1.131,15,30.5,13,10.0
4.9,4,3,11.4,22.579,21,36.134,22.648,22,39.907,36,35,290.31,1.14,13,30.5,14,11.4
5.8,2,0,3.1,20.762,17,31.785,23.455,18,35.833,33,32,342.2,1.12,13,23.5,11,6.3
6.0,4,1,4.2,45.605,39,70.76,48.046,45,79.434,77,71,520.68,1.119,32,57.5,24,5.6
4.6,3,1,6.1,21.971,19,33.331,24.154,20,37.126,34,33,371.2,1.125,13,26.5,12,9.1
6.1,6,1,3.1,21.611,20,32.665,22.421,22,36.365,34,32,288.37,1.136,12,31.0,17,18.8
6.4,8,2,2.6,25.841,24,38.945,27.08,26,43.281,40,38,362.49,1.139,13,36.0,18,21.1
6.5,8,2,2.9,24.314,23,36.062,25.318,25,39.866,37,35,348.46,1.139,12,35.0,18,22.9
5.11,1,1,4.3,28.246,23,45.476,30.29,25,51.484,48,46,309.44,1.119,20,32.0,13,2.2
5.74,4,6,6.7,55.384,47,89.159,58.216,52,100.138,94,89,638.83,1.125,37,66.0,22,4.5
6.465,3,0,0.0,12.359,10,20.916,13.71,10,24.076,21,21,157.27,1.146,6,12.5,5,14.3
8.01,6,1,0.0,32.78,28,52.96,34.586,30,60.482,55,53,380.52,1.141,21,39.5,18,11.3
7.85,5,1,4.7,26.125,22,43.385,28.324,23,49.072,44,43,343.53,1.141,13,29.0,11,11.6
5.71,7,3,3.6,50.437,42,82.792,53.995,45,94.095,86,83,591.86,1.134,31,58.5,21,8.4
7.43,9,3,5.6,44.373,39,72.829,46.006,42,82.305,75,72,535.68,1.143,26,55.0,20,12.5
7.37,4,1,0.0,18.72,16,29.825,19.83,17,34.069,31,30,214.3,1.136,12,23.5,12,13.3
5.05,6,6,6.9,63.668,55,101.574,66.444,60,113.76,106,101,746.94,1.126,42,77.0,25,5.9
4.18,6,6,7.4,60.614,53,95.807,62.921,58,106.929,100,95,718.88,1.126,40,75.0,25,6.3
5.2,6,1,2.3,26.245,22,44.083,28.228,23,50.441,45,44,322.49,1.146,14,29.0,11,13.6
8.28,4,1,0.0,21.773,18,35.592,23.353,19,40.9,37,36,242.36,1.136,14,25.5,12,11.1
8.12,4,1,0.0,23.3,19,38.476,25.114,20,44.315,40,39,256.39,1.136,15,26.5,12,10.3
6.305,6,1,0.0,19.95,17,33.105,21.489,17,37.986,33,33,252.39,1.151,10,22.5,7,18.2
7.6,8,2,2.9,23.028,21,36.022,24.727,22,40.201,36,35,346.52,1.149,9,29.0,12,22.9
8.28,6,2,2.8,43.777,36,70.589,48.023,38,80.357,73,71,602.58,1.132,27,48.0,15,8.5
5.8,7,1,0.0,28.078,23,47.741,30.54,24,55.145,49,48,335.54,1.149,15,30.0,11,14.6
7.79,5,1,4.0,29.992,25,50.076,32.199,27,56.982,52,50,363.54,1.14,17,33.5,12,10.0
6.24,8,1,0.0,28.046,24,46.076,30.023,25,52.813,47,46,346.52,1.148,15,33.0,12,17.4
6.895,9,4,2.9,44.261,38,70.243,47.756,40,79.607,72,70,629.57,1.137,26,52.0,17,12.9
7.76,4,1,0.0,20.246,17,32.709,21.591,18,37.484,34,33,228.33,1.136,13,24.5,12,12.1
6.81,4,1,3.4,34.364,28,57.549,36.83,30,65.81,60,58,382.56,1.135,22,37.0,13,6.9
5.92,6,1,0.0,26.717,22,43.832,29.421,23,50.151,45,44,338.56,1.14,14,29.0,11,13.6
6.5,3,1,3.6,34.17,28,55.771,36.682,30,63.255,58,56,401.98,1.13,22,37.0,13,5.4
7.39,3,1,3.8,29.342,23,51.447,31.824,24,59.311,53,52,319.5,1.141,18,28.0,7,5.8
6.2,3,1,3.4,34.869,28,58.33,37.586,30,66.727,61,59,381.57,1.131,23,37.0,13,5.1
6.57,4,3,6.9,35.266,30,58.32,36.978,32,65.813,60,58,412.54,1.135,22,41.0,15,6.9
6.2,3,1,5.0,35.584,29,59.658,38.04,31,67.936,62,60,397.57,1.132,23,38.0,13,5.0
5.77,3,1,3.4,36.019,31,59.869,37.398,33,67.746,61,59,435.54,1.148,23,40.0,13,5.1
5.65,3,1,6.3,37.825,31,63.869,40.256,33,72.561,66,64,427.6,1.134,24,40.0,13,4.7
4.8,2,0,2.4,22.552,17,40.251,24.841,18,46.773,42,41,236.4,1.141,14,20.5,5,4.9
6.11,3,1,5.0,35.584,29,59.658,38.04,31,67.936,62,60,397.57,1.132,23,38.0,13,5.0
4.4,6,1,0.0,21.236,19,33.145,22.08,20,37.651,34,33,254.33,1.141,13,28.5,13,18.2
4.7,3,1,5.1,23.708,20,39.029,25.017,21,44.235,40,39,273.37,1.134,15,27.5,12,7.7
4.5,2,0,4.0,13.918,11,24.833,15.034,11,28.697,25,25,154.24,1.148,8,13.5,5,8.0
5.7,2,0,2.5,21.552,16,39.251,23.841,16,45.773,40,40,224.39,1.144,13,18.5,5,5.0
5.0,2,0,2.7,20.026,15,36.367,22.08,15,42.358,37,37,210.36,1.145,12,17.5,5,5.4
4.5,7,4,5.3,24.874,23,38.978,25.642,24,43.488,39,38,333.42,1.144,13,33.5,15,18.4
3.5,3,1,5.3,21.235,17,37.912,22.779,17,43.651,38,38,239.36,1.149,12,20.5,6,7.9
4.0,3,1,5.7,19.708,16,35.029,21.017,16,40.235,35,35,225.33,1.15,11,19.5,6,8.6
11.523,4,1,0.0,15.666,14,24.058,16.307,15,27.239,25,24,186.24,1.135,10,21.5,12,16.7
6.7,7,4,5.3,24.874,23,38.978,25.642,24,43.488,39,38,333.42,1.144,13,33.5,15,18.4
11.523,4,1,0.0,17.193,15,26.942,18.068,16,30.654,28,27,200.27,1.135,11,22.5,12,14.8
4.8,5,3,5.7,22.171,20,35.582,22.745,21,39.986,36,35,273.33,1.142,13,29.5,14,14.3
11.523,4,1,0.0,15.666,14,24.058,16.307,15,27.239,25,24,186.24,1.135,10,21.5,12,16.7
4.57,5,3,5.6,22.072,19,36.618,23.801,20,41.242,37,36,303.46,1.146,10,25.5,8,13.9
6.72,1,0,4.9,23.246,18,40.476,25.29,19,46.484,42,41,249.39,1.134,15,22.0,6,2.4
4.0,4,0,2.9,21.148,18,34.113,22.693,19,38.614,35,34,264.39,1.136,12,24.5,11,11.8
4.23,4,3,5.7,21.863,19,35.44,23.148,20,39.823,36,35,280.39,1.138,12,25.5,8,11.4
4.21,4,2,3.0,20.148,17,33.113,21.693,18,37.614,34,33,252.38,1.14,11,22.5,7,12.1
6.7,4,2,6.1,21.336,19,33.556,22.387,20,37.408,34,33,278.37,1.134,12,27.5,13,12.1
4.5,3,1,6.3,18.181,15,32.145,19.256,15,36.82,32,32,211.3,1.151,10,18.5,6,9.4
4.8,3,1,4.3,25.815,20,46.563,28.063,20,53.896,47,47,281.45,1.147,15,23.5,6,6.4
4.4,3,1,4.3,25.815,20,46.563,28.063,20,53.896,47,47,281.45,1.147,15,23.5,6,6.4
3.8,4,2,6.7,28.444,25,45.458,29.478,27,50.943,47,45,340.42,1.132,18,37.0,18,8.9
4.0,3,1,6.3,18.181,15,32.145,19.256,15,36.82,32,32,211.3,1.151,10,18.5,6,9.4
4.8,2,2,5.5,33.223,27,54.749,35.921,29,61.942,57,55,388.58,1.126,21,37.0,14,3.6
5.6,4,0,3.0,22.262,20,33.476,23.142,22,37.223,35,33,288.76,1.128,14,30.0,16,12.1
5.8,4,0,0.0,22.734,20,33.225,24.335,22,36.933,35,33,304.83,1.119,14,30.0,16,12.1
5.4,2,1,3.7,32.321,26,53.345,34.819,28,60.813,56,54,352.52,1.126,22,35.0,13,3.7
7.31,5,2,5.9,21.358,19,34.658,22.392,20,38.906,35,34,281.38,1.144,11,27.0,12,14.7
7.95,4,1,0.0,21.773,18,35.592,23.353,19,40.9,37,36,242.36,1.136,14,25.5,12,11.1
6.38,2,0,0.0,36.998,28,62.225,40.955,31,72.055,67,64,376.64,1.126,26,37.0,12,3.1
