pXC50,Mv,Mp,C.,nAB,AMW,H.,Me,Mi,MW,N.,nAT,nB,nBM,nBO,nBR,nBT,nC
7.678,0.615,0.634,37.7,12,7.599,45.9,1.019,1.153,463.56,8.2,61,0,14,35,0,63,23
7.745,0.61,0.631,37.5,12,7.462,46.9,1.017,1.152,477.59,7.8,64,0,14,36,0,66,24
8.155,0.684,0.688,43.4,18,9.244,35.8,1.037,1.144,489.92,9.4,53,0,20,37,0,56,23
7.081,0.668,0.672,43.4,18,8.594,37.7,1.031,1.145,455.48,9.4,53,0,20,36,0,56,23
8.222,0.66,0.667,42.9,18,8.384,39.3,1.027,1.144,469.51,8.9,56,0,20,37,0,59,24
7.161,0.645,0.659,41.9,18,8.025,41.9,1.021,1.144,497.57,8.1,62,0,20,39,0,65,26
6.824,0.645,0.659,41.9,18,8.025,41.9,1.021,1.144,497.57,8.1,62,0,20,39,0,65,26
7.377,0.667,0.669,43.1,18,8.578,37.9,1.032,1.143,497.52,8.6,58,0,21,39,0,61,25
5.852,0.672,0.67,42.3,18,8.778,36.5,1.036,1.149,456.47,11.5,52,0,20,36,0,55,22
6.453,0.663,0.666,41.8,18,8.555,38.2,1.032,1.148,470.5,10.9,55,0,20,37,0,58,23
7.959,0.678,0.676,42.9,22,8.848,35.7,1.035,1.147,495.51,12.5,56,0,24,40,0,60,24
7.481,0.657,0.66,40.4,18,8.518,38.6,1.033,1.152,485.52,12.3,57,0,20,38,0,60,23
7.495,0.675,0.683,40.4,17,9.164,36.5,1.037,1.147,476.53,11.5,52,0,19,36,0,55,21
6.565,0.666,0.66,40.4,17,8.855,36.5,1.042,1.153,460.46,11.5,52,0,19,36,0,55,21
6.301,0.666,0.66,40.4,17,8.855,36.5,1.042,1.153,460.46,11.5,52,0,19,36,0,55,21
7.824,0.655,0.657,41.1,17,8.455,39.3,1.033,1.148,473.5,8.9,56,0,19,37,0,59,23
7.509,0.675,0.654,41.1,17,9.419,33.9,1.061,1.166,527.47,8.9,56,0,19,40,0,59,23
6.0,0.659,0.658,39.6,17,8.669,37.7,1.037,1.156,459.48,13.2,53,0,19,36,0,56,21
6.947,0.621,0.613,34.5,6,8.499,41.8,1.052,1.181,467.47,9.1,55,0,8,34,0,57,19
5.0,0.619,0.627,36.0,6,7.949,44.0,1.031,1.162,397.45,10.0,50,0,9,30,0,52,18
6.0,0.613,0.625,35.8,6,7.764,45.3,1.027,1.16,411.48,9.4,53,0,8,32,0,56,19
6.167,0.579,0.623,35.5,6,6.445,53.2,0.992,1.141,399.6,8.1,62,0,8,32,0,65,22
6.585,0.635,0.638,37.7,11,8.254,41.5,1.035,1.156,437.47,9.4,53,0,13,34,0,56,20
6.493,0.654,0.657,37.0,12,8.962,38.9,1.04,1.159,483.93,13.0,54,0,14,36,0,57,20
7.143,0.629,0.635,37.5,11,8.062,42.9,1.031,1.155,451.5,8.9,56,0,13,35,0,59,21
6.0,0.635,0.663,40.7,12,7.491,44.4,1.004,1.132,404.52,11.1,54,0,15,33,0,57,22
5.0,0.629,0.651,39.3,12,7.563,44.6,1.012,1.134,423.52,8.9,56,0,15,34,0,59,22
6.036,0.605,0.641,37.7,12,6.928,49.2,0.998,1.138,422.59,9.8,61,0,14,34,0,64,23
5.0,0.618,0.655,37.7,12,7.492,47.5,1.003,1.137,457.03,9.8,61,0,14,35,0,64,23
7.208,0.642,0.667,39.6,12,8.15,43.4,1.016,1.139,431.94,9.4,53,0,14,33,0,56,21
7.854,0.64,0.644,39.3,12,8.312,41.1,1.035,1.158,465.5,8.9,56,0,14,36,0,59,22
6.149,0.622,0.644,38.6,12,7.501,45.6,1.013,1.141,427.53,8.8,57,0,14,34,0,60,22
7.921,0.648,0.66,39.3,12,8.606,41.1,1.031,1.151,481.95,8.9,56,0,14,36,0,59,22
6.026,0.608,0.645,39.0,12,6.908,49.2,0.996,1.134,407.57,8.5,59,0,14,33,0,62,23
5.507,0.633,0.65,39.6,12,7.839,43.4,1.019,1.146,415.49,9.4,53,0,14,33,0,56,21
7.469,0.65,0.684,39.6,12,8.46,43.4,1.012,1.131,448.39,9.4,53,0,14,33,0,56,21
6.827,0.647,0.639,39.0,12,8.737,39.0,1.048,1.168,515.51,8.5,59,0,14,39,0,62,23
7.237,0.64,0.644,39.3,12,8.312,41.1,1.035,1.158,465.5,8.9,56,0,14,36,0,59,22
7.678,0.64,0.644,39.3,12,8.312,41.1,1.035,1.158,465.5,8.9,56,0,14,36,0,59,22
5.194,0.576,0.62,36.1,6,6.354,54.1,0.992,1.137,387.58,4.9,61,0,8,30,0,63,22
7.398,0.653,0.681,44.4,23,7.658,42.6,1.002,1.123,413.52,9.3,54,0,23,35,0,58,24
8.071,0.641,0.672,39.5,12,8.066,44.2,1.011,1.132,346.85,9.3,43,0,13,26,0,45,17
8.398,0.661,0.68,40.0,17,8.642,40.0,1.021,1.142,388.87,13.3,45,0,17,30,0,48,18
8.398,0.668,0.689,41.9,17,8.694,39.5,1.02,1.137,373.85,11.6,43,0,17,29,0,46,18
7.678,0.612,0.653,38.2,12,7.327,49.1,1.0,1.133,402.97,7.3,55,0,13,30,0,57,21
8.0,0.656,0.692,43.2,17,8.065,43.2,1.003,1.124,354.87,9.1,44,0,17,28,0,47,19
9.0,0.66,0.676,40.0,12,8.77,40.0,1.027,1.14,350.81,10.0,40,0,13,26,0,42,16
5.706,0.627,0.66,38.9,12,7.721,46.3,1.008,1.132,416.95,7.4,54,0,13,32,0,57,21
7.071,0.635,0.656,39.6,17,7.655,43.8,1.012,1.134,367.45,10.4,48,0,17,30,0,51,19
6.086,0.668,0.661,40.9,17,8.895,36.4,1.043,1.155,391.39,11.4,44,0,17,31,0,47,18
8.131,0.66,0.68,44.4,23,7.991,40.7,1.012,1.129,431.51,9.3,54,0,23,36,0,58,24
6.0,0.611,0.635,38.2,12,7.355,47.3,1.013,1.147,404.51,7.3,55,0,13,31,0,57,21
7.699,0.66,0.685,40.9,17,8.451,40.9,1.015,1.131,371.86,11.4,44,0,17,29,0,47,18
7.201,0.597,0.638,38.2,12,6.701,50.9,0.994,1.134,368.53,7.3,55,0,13,29,0,57,21
8.276,0.633,0.66,40.4,17,7.478,44.7,1.005,1.133,351.45,10.6,47,0,17,29,0,50,19
8.0,0.657,0.699,41.5,17,8.359,43.4,1.006,1.121,443.01,7.5,53,0,18,33,0,56,22
7.77,0.615,0.649,40.4,12,7.067,48.1,1.0,1.129,367.49,5.8,52,0,14,29,0,54,21
8.097,0.656,0.682,42.0,17,8.258,42.0,1.013,1.126,412.91,8.0,50,0,18,32,0,53,21
8.0,0.647,0.676,41.3,12,8.128,43.5,1.012,1.126,373.87,6.5,46,0,14,28,0,48,19
8.097,0.631,0.666,40.4,12,7.729,46.2,1.006,1.128,401.93,5.8,52,0,14,30,0,54,21
5.0,0.619,0.658,39.7,12,7.414,48.3,1.002,1.129,429.99,5.2,58,0,14,32,0,60,23
7.092,0.617,0.645,39.6,12,7.236,47.2,1.006,1.13,383.49,5.7,53,0,14,30,0,55,21
6.481,0.647,0.669,40.8,12,8.283,42.9,1.02,1.134,405.89,6.1,49,0,14,30,0,51,20
7.699,0.639,0.67,40.8,12,7.916,44.9,1.009,1.127,387.9,6.1,49,0,14,29,0,51,20
8.398,0.647,0.669,40.8,12,8.283,42.9,1.02,1.134,405.89,6.1,49,0,14,30,0,51,20
8.222,0.647,0.669,40.8,12,8.283,42.9,1.02,1.134,405.89,6.1,49,0,14,30,0,51,20
8.398,0.639,0.67,40.8,12,7.916,44.9,1.009,1.127,387.9,6.1,49,0,14,29,0,51,20
8.398,0.643,0.681,40.8,12,8.823,44.9,1.007,1.125,432.35,6.1,49,0,14,29,1,51,20
6.229,0.644,0.682,42.9,12,7.877,45.2,1.003,1.121,330.84,4.8,42,0,13,25,0,44,18
6.092,0.625,0.661,40.0,12,7.563,47.3,1.004,1.128,415.96,5.5,55,0,14,31,0,57,22
6.155,0.647,0.65,40.4,12,8.355,40.4,1.034,1.15,434.46,7.7,52,0,15,33,0,54,21
5.0,0.647,0.65,40.4,12,8.355,40.4,1.034,1.15,434.46,7.7,52,0,15,33,0,54,21
7.009,0.63,0.652,40.8,12,7.581,44.9,1.013,1.135,371.45,6.1,49,0,14,29,0,51,20
6.398,0.644,0.653,41.7,12,8.155,41.7,1.028,1.148,391.43,6.3,48,0,14,30,0,50,20
8.0,0.655,0.687,42.9,17,8.1,42.9,1.007,1.124,396.91,8.2,49,0,18,31,0,52,21
6.432,0.622,0.653,40.8,12,7.213,46.9,1.003,1.128,353.46,6.1,49,0,14,28,0,51,20
8.523,0.654,0.665,40.4,17,8.711,40.4,1.036,1.14,496.55,3.5,57,0,18,36,0,59,23
8.699,0.661,0.673,41.5,17,8.802,39.6,1.035,1.139,466.52,3.8,53,0,18,34,0,55,22
8.699,0.67,0.678,42.0,17,9.05,38.0,1.039,1.139,452.49,4.0,50,0,18,33,0,52,21
8.222,0.654,0.668,40.7,17,8.603,40.7,1.031,1.14,507.58,5.1,59,0,18,38,0,62,24
5.0,0.688,0.686,42.9,17,9.52,34.7,1.049,1.137,466.47,4.1,49,0,19,34,0,51,21
6.559,0.671,0.674,41.2,17,9.186,37.3,1.045,1.14,468.49,3.9,51,0,18,34,0,53,21
9.097,0.691,0.724,42.6,17,9.646,38.3,1.025,1.114,453.37,4.3,47,0,18,31,0,49,20
8.0,0.674,0.676,40.8,17,9.255,36.7,1.045,1.143,453.48,6.1,49,0,18,33,0,51,20
9.155,0.691,0.724,42.6,17,9.646,38.3,1.025,1.114,453.37,4.3,47,0,18,31,0,49,20
9.222,0.683,0.669,41.5,17,9.821,34.0,1.064,1.158,520.49,3.8,53,0,18,37,0,55,22
10.0,0.672,0.685,42.6,17,8.946,38.3,1.033,1.131,420.47,4.3,47,0,18,31,0,49,20
9.0,0.682,0.705,42.6,17,9.296,38.3,1.029,1.123,436.92,4.3,47,0,18,31,0,49,20
8.097,0.67,0.678,41.5,17,9.048,37.7,1.039,1.14,479.52,5.7,53,0,19,35,0,55,22
6.078,0.661,0.673,41.5,17,8.802,39.6,1.035,1.139,466.52,3.8,53,0,18,34,0,55,22
8.046,0.691,0.724,42.6,17,9.646,38.3,1.025,1.114,453.37,4.3,47,0,18,31,0,49,20
9.699,0.678,0.677,42.0,17,9.41,36.0,1.05,1.145,470.48,4.0,50,0,18,34,0,52,21
8.699,0.672,0.685,42.6,17,8.946,38.3,1.033,1.131,420.47,4.3,47,0,18,31,0,49,20
5.0,0.712,0.728,50.0,22,9.374,34.1,1.028,1.124,412.46,4.5,44,0,23,32,0,47,22
5.0,0.653,0.668,41.1,17,8.581,41.1,1.031,1.138,480.55,3.6,56,0,18,35,0,58,23
8.699,0.664,0.687,42.6,17,8.563,40.4,1.022,1.124,402.48,4.3,47,0,18,30,0,49,20
6.0,0.688,0.686,42.9,17,9.52,34.7,1.049,1.137,466.47,4.1,49,0,19,34,0,51,21
8.699,0.686,0.701,45.7,17,9.097,37.0,1.031,1.132,418.47,4.3,46,0,19,31,0,48,21
8.523,0.67,0.678,42.0,17,9.05,38.0,1.039,1.139,452.49,4.0,50,0,18,33,0,52,21
7.658,0.655,0.681,42.0,17,8.33,42.0,1.019,1.125,416.51,4.0,50,0,18,31,0,52,21
9.0,0.674,0.706,42.6,17,8.913,40.4,1.018,1.116,418.93,4.3,47,0,18,30,0,49,20
6.0,0.681,0.679,41.7,17,9.468,35.4,1.05,1.14,454.46,4.2,48,0,18,33,0,50,20
8.523,0.671,0.674,41.2,17,9.186,37.3,1.045,1.14,468.49,3.9,51,0,18,34,0,53,21
5.085,0.678,0.7,45.5,17,8.874,38.6,1.025,1.134,390.46,4.5,44,0,18,29,0,46,20
5.664,0.661,0.673,41.5,17,8.802,39.6,1.035,1.139,466.52,3.8,53,0,18,34,0,55,22
6.714,0.691,0.702,45.2,17,9.344,35.7,1.037,1.135,392.43,4.8,42,0,18,29,0,44,19
8.155,0.654,0.671,40.7,17,8.621,40.7,1.03,1.141,465.54,5.6,54,0,18,34,0,56,22
7.119,0.68,0.689,43.5,17,9.184,37.0,1.038,1.137,422.46,4.3,46,0,18,31,0,48,20
5.0,0.675,0.685,38.9,17,9.548,37.0,1.046,1.14,515.58,5.6,54,0,20,36,0,56,21
7.357,0.683,0.669,41.5,17,9.821,34.0,1.064,1.158,520.49,3.8,53,0,18,37,0,55,22
7.119,0.667,0.68,43.1,17,8.853,39.2,1.034,1.134,451.5,2.0,51,0,18,33,0,53,22
7.31,0.67,0.678,42.0,17,9.05,38.0,1.039,1.139,452.49,4.0,50,0,18,33,0,52,21
9.398,0.654,0.671,40.7,17,8.621,40.7,1.03,1.141,465.54,5.6,54,0,18,34,0,56,22
5.884,0.626,0.667,40.7,17,7.468,47.5,1.001,1.121,440.61,3.4,59,0,18,33,0,61,24
6.277,0.647,0.664,40.3,17,8.413,41.9,1.028,1.14,521.61,4.8,62,0,18,39,0,65,25
8.398,0.64,0.662,40.0,17,8.227,43.3,1.023,1.141,493.6,5.0,60,0,18,36,0,62,24
8.301,0.699,0.713,47.9,22,9.219,35.4,1.03,1.127,442.49,4.2,48,0,23,34,0,51,23
7.658,0.662,0.669,40.7,17,8.936,38.9,1.04,1.14,482.52,3.7,54,0,18,35,0,56,22
7.602,0.634,0.645,39.3,12,7.991,42.9,1.025,1.152,447.51,8.9,56,0,14,35,0,59,22
6.712,0.65,0.665,43.3,18,8.042,41.7,1.02,1.14,482.55,6.7,60,0,20,38,0,63,26
7.131,0.645,0.667,43.1,18,7.733,43.1,1.011,1.13,448.54,6.9,58,0,20,36,0,61,25
7.022,0.634,0.663,41.7,18,7.426,45.0,1.004,1.128,445.57,8.3,60,0,20,36,0,63,25
8.301,0.638,0.663,42.6,18,7.583,44.3,1.008,1.13,462.57,6.6,61,0,20,37,0,64,26
8.523,0.642,0.679,41.4,17,7.769,44.8,1.003,1.123,450.61,6.9,58,0,19,35,0,61,24
8.699,0.651,0.661,42.6,18,8.173,41.0,1.025,1.141,498.55,6.6,61,0,20,39,0,64,26
6.432,0.65,0.665,43.3,18,8.042,41.7,1.02,1.14,482.55,6.7,60,0,20,38,0,63,26
6.815,0.638,0.668,43.1,18,7.423,44.8,1.002,1.124,430.55,6.9,58,0,20,35,0,61,25
7.284,0.633,0.661,41.9,18,7.429,45.2,1.005,1.126,460.58,6.5,62,0,20,37,0,65,26
8.046,0.638,0.663,42.6,18,7.583,44.3,1.008,1.13,462.57,6.6,61,0,20,37,0,64,26
6.824,0.647,0.666,44.3,18,7.894,42.6,1.016,1.137,481.56,4.9,61,0,20,38,0,64,27
8.155,0.638,0.663,42.6,18,7.583,44.3,1.008,1.13,462.57,6.6,61,0,20,37,0,64,26
7.745,0.652,0.663,42.4,18,8.196,40.7,1.024,1.144,483.54,8.5,59,0,20,38,0,62,25
7.469,0.634,0.663,41.7,18,7.426,45.0,1.004,1.128,445.57,8.3,60,0,20,36,0,63,25
8.155,0.642,0.679,41.4,17,7.769,44.8,1.003,1.123,450.61,6.9,58,0,19,35,0,61,24
10.373,0.666,0.673,43.3,23,8.476,38.3,1.027,1.143,508.55,10.0,60,0,23,42,0,65,26
8.699,0.659,0.669,42.9,23,8.295,39.7,1.024,1.143,522.58,9.5,63,0,23,43,0,68,27
6.495,0.646,0.67,43.3,18,7.643,43.3,1.007,1.123,458.56,6.7,60,0,20,38,0,64,26
7.013,0.64,0.66,41.9,18,7.719,43.5,1.013,1.131,478.57,6.5,62,0,19,39,0,66,26
8.398,0.653,0.667,42.2,23,8.15,40.6,1.02,1.145,521.6,10.9,64,0,23,43,0,69,27
5.0,0.646,0.67,43.3,18,7.643,43.3,1.007,1.123,458.56,6.7,60,0,20,38,0,64,26
9.886,0.66,0.671,42.6,23,8.321,39.3,1.023,1.145,507.57,11.5,61,0,23,42,0,66,26
6.222,0.628,0.658,41.5,18,7.302,46.2,1.003,1.127,474.61,6.2,65,0,19,39,0,69,27
6.523,0.633,0.661,41.9,18,7.429,45.2,1.005,1.126,460.58,6.5,62,0,19,38,0,66,26
8.155,0.632,0.664,42.6,18,7.288,45.9,1.0,1.125,444.58,6.6,61,0,19,37,0,65,26
8.699,0.647,0.661,41.7,18,8.026,41.7,1.021,1.139,481.55,8.3,60,0,19,39,0,64,25
6.502,0.64,0.66,41.9,18,7.719,43.5,1.013,1.131,478.57,6.5,62,0,19,39,0,66,26
6.469,0.633,0.661,41.9,18,7.429,45.2,1.005,1.126,460.58,6.5,62,0,19,38,0,66,26
7.921,0.64,0.662,41.7,18,7.726,43.3,1.012,1.134,463.56,8.3,60,0,19,38,0,64,25
9.222,0.648,0.677,41.7,18,8.0,43.3,1.009,1.127,480.01,8.3,60,0,19,38,0,64,25
8.699,0.628,0.659,41.3,18,7.295,46.0,1.001,1.129,459.6,7.9,63,0,19,38,0,67,26
7.824,0.632,0.664,42.6,18,7.288,45.9,1.0,1.125,444.58,6.6,61,0,20,36,0,64,26
5.699,0.644,0.674,44.1,18,7.501,44.1,1.002,1.122,442.56,6.8,59,0,20,37,0,63,26
6.0,0.64,0.66,41.9,18,7.719,43.5,1.013,1.131,478.57,6.5,62,0,19,39,0,66,26
6.0,0.629,0.654,40.9,18,7.433,45.5,1.008,1.128,490.61,6.1,66,0,19,40,0,70,27
6.261,0.64,0.66,41.9,18,7.719,43.5,1.013,1.131,478.57,6.5,62,0,19,39,0,66,26
8.301,0.652,0.658,41.9,18,8.299,40.3,1.03,1.142,514.55,6.5,62,0,20,40,0,65,26
7.662,0.653,0.66,41.7,18,8.326,40.0,1.029,1.145,499.54,8.3,60,0,20,39,0,63,25
7.391,0.653,0.66,41.7,18,8.326,40.0,1.029,1.145,499.54,8.3,60,0,20,39,0,63,25
6.102,0.644,0.674,44.1,18,7.501,44.1,1.002,1.122,442.56,6.8,59,0,20,37,0,63,26
7.432,0.634,0.663,41.7,18,7.426,45.0,1.004,1.128,445.57,8.3,60,0,20,36,0,63,25
6.244,0.638,0.67,43.5,18,7.364,45.2,1.0,1.123,456.59,6.5,62,0,20,38,0,66,27
9.553,0.646,0.656,41.3,18,8.152,41.3,1.026,1.145,513.57,7.9,63,0,19,41,0,67,26
8.699,0.648,0.658,41.0,18,8.173,41.0,1.025,1.147,498.56,9.8,61,0,19,40,0,65,25
6.602,0.646,0.67,43.3,18,7.643,43.3,1.007,1.123,458.56,6.7,60,0,20,38,0,64,26
