pXC50,RBN,RBF,Sp,Sv,nAT,nBT,Si,MW,nH,AMW,C.,H.,Me,Mi,Mp
6.44,3,0.054,36.807,34.723,52,56,58.243,441.39,22,8.488,44.2,42.3,1.004,1.12,0.708
5.0,4,0.073,37.494,35.89,51,55,56.539,464.37,19,9.105,49.0,37.3,1.011,1.109,0.735
5.347,5,0.091,37.438,36.594,51,55,56.914,494.36,17,9.693,47.1,33.3,1.026,1.116,0.734
7.569,4,0.068,37.0,35.199,56,59,63.236,407.53,26,7.277,42.9,46.4,1.001,1.129,0.661
6.0,5,0.081,38.142,35.906,59,62,66.963,433.0,29,7.339,37.3,49.2,1.003,1.135,0.646
6.0,6,0.081,45.358,42.439,70,74,79.138,473.68,35,6.767,40.0,50.0,0.992,1.131,0.648
5.921,3,0.054,37.665,35.551,52,56,58.187,475.83,21,9.151,44.2,40.4,1.01,1.119,0.724
5.301,3,0.059,35.216,34.032,47,51,52.254,452.33,16,9.624,51.1,34.0,1.018,1.112,0.749
6.0,4,0.067,36.824,34.342,57,60,64.311,379.55,29,6.659,40.4,50.9,0.99,1.128,0.646
6.046,3,0.053,37.563,35.229,53,57,59.16,440.4,23,8.309,45.3,43.4,1.0,1.116,0.709
6.766,4,0.075,34.336,32.973,50,53,56.349,413.91,21,8.278,44.0,42.0,1.013,1.127,0.687
6.0,5,0.083,37.137,34.885,57,60,64.465,417.98,28,7.333,38.6,49.1,1.002,1.131,0.652
6.0,5,0.072,40.569,37.659,66,69,75.265,416.63,36,6.313,34.8,54.5,0.993,1.14,0.615
6.844,4,0.068,37.063,34.815,56,59,62.896,389.54,27,6.956,42.9,48.2,0.992,1.123,0.662
6.86,4,0.068,37.0,35.199,56,59,63.236,407.53,26,7.277,42.9,46.4,1.001,1.129,0.661
6.305,4,0.075,34.336,32.973,50,53,56.349,413.91,21,8.278,44.0,42.0,1.013,1.127,0.687
6.0,5,0.085,37.063,34.815,56,59,62.896,389.54,27,6.956,42.9,48.2,0.992,1.123,0.662
5.301,5,0.088,38.5,36.911,53,57,59.037,479.39,20,9.045,47.2,37.7,1.012,1.114,0.726
5.0,3,0.059,36.136,34.476,47,51,51.858,468.78,16,9.974,51.1,34.0,1.014,1.103,0.769
5.688,3,0.057,35.904,34.024,49,53,54.771,461.8,19,9.424,44.9,38.8,1.013,1.118,0.733
5.0,3,0.056,36.852,36.325,50,54,56.348,502.34,16,10.047,50.0,32.0,1.035,1.127,0.737
5.0,3,0.059,36.994,35.303,47,51,51.802,503.22,15,10.707,51.1,31.9,1.021,1.102,0.787
7.506,3,0.051,39.426,37.078,55,59,61.602,489.86,23,8.907,43.6,41.8,1.008,1.12,0.717
8.241,3,0.053,39.659,37.529,53,57,58.688,496.84,20,9.374,49.1,37.7,1.008,1.107,0.748
8.602,3,0.056,38.756,36.83,50,54,55.217,517.25,17,10.345,50.0,34.0,1.018,1.104,0.775
8.362,3,0.056,37.898,36.003,50,54,55.273,482.81,18,9.656,50.0,36.0,1.011,1.105,0.758
9.959,3,0.051,38.568,36.25,55,59,61.658,455.42,24,8.28,43.6,43.6,1.002,1.121,0.701
9.523,3,0.05,40.182,37.583,56,60,62.519,488.87,24,8.73,44.6,42.9,1.004,1.116,0.718
8.222,2,0.035,37.853,33.453,54,57,60.154,404.72,28,7.495,38.9,51.9,0.98,1.114,0.701
5.917,3,0.06,33.597,31.264,48,50,54.552,434.62,21,9.055,37.5,43.8,1.021,1.137,0.7
8.167,2,0.038,36.33,32.399,50,53,55.324,400.68,24,8.014,42.0,48.0,0.983,1.106,0.727
5.695,3,0.064,32.33,28.399,46,47,51.324,352.64,24,7.666,37.0,52.2,0.982,1.116,0.703
6.542,5,0.086,38.546,37.04,55,58,62.827,517.84,22,9.415,41.8,40.0,1.028,1.142,0.701
6.385,4,0.073,37.659,35.23,52,55,58.151,463.83,22,8.92,46.2,42.3,1.006,1.118,0.724
7.588,4,0.073,37.659,35.23,52,55,58.151,463.83,22,8.92,46.2,42.3,1.006,1.118,0.724
6.757,5,0.086,38.938,36.088,55,58,61.436,463.86,25,8.434,43.6,45.5,1.0,1.117,0.708
7.336,5,0.089,38.176,35.562,53,56,59.02,461.84,23,8.714,45.3,43.4,1.002,1.114,0.72
5.0,2,0.036,32.813,30.299,51,55,57.315,325.49,27,6.382,41.2,52.9,0.985,1.124,0.643
5.301,3,0.052,34.574,31.826,54,58,60.73,339.52,29,6.287,40.7,53.7,0.984,1.125,0.64
5.0,5,0.081,36.79,34.068,58,62,65.355,369.55,31,6.372,39.7,53.4,0.989,1.127,0.634
5.0,1,0.019,31.603,29.079,49,53,55.188,310.48,26,6.336,40.8,53.1,0.982,1.126,0.645
5.0,1,0.021,28.836,26.531,44,48,49.275,281.43,23,6.396,43.2,52.3,0.981,1.12,0.655
5.0,1,0.021,28.836,26.531,44,48,49.275,281.43,23,6.396,43.2,52.3,0.981,1.12,0.655
5.0,1,0.019,32.358,29.585,50,54,56.105,309.49,27,6.19,42.0,54.0,0.978,1.122,0.647
5.0,1,0.02,30.597,28.058,47,51,52.69,295.46,25,6.286,42.6,53.2,0.979,1.121,0.651
5.222,1,0.021,28.773,26.914,44,48,49.615,299.42,22,6.805,43.2,50.0,0.992,1.128,0.654
5.0,1,0.02,30.41,29.208,47,51,53.709,349.43,22,7.435,42.6,46.8,1.012,1.143,0.647
5.0,1,0.02,30.597,28.058,47,51,52.69,295.46,25,6.286,42.6,53.2,0.979,1.121,0.651
5.0,1,0.02,29.841,27.552,46,50,51.773,296.45,24,6.445,41.3,52.2,0.984,1.126,0.649
5.0,1,0.022,27.074,25.004,41,45,45.86,267.4,21,6.522,43.9,51.2,0.982,1.119,0.66
5.0,1,0.021,28.836,26.531,44,48,49.275,281.43,23,6.396,43.2,52.3,0.981,1.12,0.655
6.201,3,0.058,34.432,32.051,48,52,53.2,421.36,21,8.778,47.9,43.8,0.992,1.108,0.717
7.257,3,0.057,34.324,32.52,49,53,54.441,367.48,21,7.5,49.0,42.9,0.992,1.111,0.7
6.021,5,0.086,36.75,34.982,54,58,60.192,400.51,24,7.417,46.3,44.4,0.998,1.115,0.681
7.067,5,0.086,36.75,34.982,54,58,60.192,400.51,24,7.417,46.3,44.4,0.998,1.115,0.681
6.447,3,0.056,34.086,32.047,50,54,55.856,357.49,23,7.15,46.0,46.0,0.989,1.117,0.682
7.019,3,0.056,34.944,32.875,50,54,55.8,391.93,22,7.839,46.0,44.0,0.996,1.116,0.699
6.87,3,0.058,33.08,31.026,48,52,53.358,342.47,22,7.135,47.9,45.8,0.987,1.112,0.689
6.268,3,0.056,33.841,31.552,50,54,55.773,344.49,24,6.89,46.0,48.0,0.985,1.115,0.677
5.921,7,0.219,20.744,19.922,32,32,36.385,275.22,14,8.601,31.3,43.8,1.038,1.137,0.648
4.433,7,0.132,32.171,29.739,52,53,59.524,356.55,28,6.857,30.8,53.8,1.001,1.145,0.619
4.433,5,0.082,41.739,39.2,58,61,64.858,540.93,24,9.326,41.4,41.4,1.016,1.118,0.72
4.87,5,0.088,37.506,35.513,54,57,60.637,459.01,23,8.5,40.7,42.6,1.012,1.123,0.695
7.499,3,0.058,33.938,31.853,48,52,53.302,376.91,21,7.852,47.9,43.8,0.994,1.11,0.707
8.035,3,0.058,33.017,31.409,48,52,53.698,360.46,21,7.51,47.9,43.8,0.997,1.119,0.688
4.924,5,0.072,44.546,41.598,65,69,72.8,512.12,30,7.879,41.5,46.2,1.001,1.12,0.685
5.074,8,0.131,38.79,36.093,59,61,66.883,453.06,29,7.679,35.6,49.2,1.005,1.134,0.657
5.0,1,0.02,30.597,28.058,47,51,52.69,295.46,25,6.286,42.6,53.2,0.979,1.121,0.651
5.301,4,0.08,31.705,28.981,49,50,55.318,334.53,26,6.827,36.7,53.1,0.991,1.129,0.647
9.0,4,0.075,34.807,32.723,50,53,56.243,417.37,22,8.347,42.0,44.0,1.004,1.125,0.696
7.824,15,0.238,38.864,35.129,64,63,72.936,363.62,38,5.682,35.9,59.4,0.98,1.14,0.607
4.0,18,0.277,40.483,36.362,66,65,74.935,397.69,39,6.026,33.3,59.1,0.984,1.135,0.613
8.319,17,0.236,44.148,39.709,73,72,83.182,405.71,44,5.558,35.6,60.3,0.978,1.139,0.605
8.481,17,0.236,44.148,39.709,73,72,83.182,405.71,44,5.558,35.6,60.3,0.978,1.139,0.605
8.722,13,0.26,30.472,26.692,51,50,58.541,294.44,32,5.773,29.4,62.7,0.984,1.148,0.597
7.565,18,0.247,44.665,40.041,74,73,84.052,403.72,45,5.456,35.1,60.8,0.976,1.136,0.604
8.886,4,0.077,35.5,31.869,49,52,54.494,458.37,23,9.354,44.9,46.9,0.986,1.112,0.724
6.339,3,0.053,34.637,31.144,55,57,61.853,312.54,32,5.683,40.0,58.2,0.972,1.125,0.63
5.643,4,0.075,36.284,34.67,49,53,54.412,449.36,18,9.171,49.0,36.7,1.009,1.11,0.74
7.155,5,0.069,45.512,42.035,68,72,76.292,476.11,34,7.002,42.6,50.0,0.987,1.122,0.669
6.896,4,0.071,35.302,33.289,53,56,59.481,375.51,25,7.085,43.4,47.2,0.994,1.122,0.666
6.0,4,0.067,36.762,34.726,57,60,64.651,397.54,28,6.974,40.4,49.1,0.999,1.134,0.645
5.0,4,0.075,37.142,35.497,49,53,54.356,483.8,17,9.873,49.0,34.7,1.016,1.109,0.758
5.618,3,0.059,35.279,33.648,47,51,51.914,434.34,17,9.241,51.1,36.2,1.007,1.105,0.751
6.0,5,0.085,35.523,33.552,56,59,63.604,384.53,28,6.867,37.5,50.0,1.0,1.136,0.634
6.0,4,0.074,34.296,32.267,51,54,56.983,360.49,24,7.068,45.1,47.1,0.992,1.117,0.672
6.079,3,0.053,38.421,36.056,53,57,59.104,474.84,22,8.959,45.3,41.5,1.006,1.115,0.725
6.416,4,0.075,33.478,32.145,50,53,56.405,379.47,22,7.589,44.0,44.0,1.006,1.128,0.67
6.038,3,0.054,37.665,35.551,52,56,58.187,475.83,21,9.151,44.2,40.4,1.01,1.119,0.724
6.334,4,0.075,34.398,32.589,50,53,56.01,395.92,22,7.918,44.0,44.0,1.002,1.12,0.688
7.951,4,0.073,37.722,34.847,52,55,57.811,445.84,23,8.574,46.2,44.2,0.996,1.112,0.725
5.581,3,0.059,36.994,35.303,47,51,51.802,503.22,15,10.707,51.1,31.9,1.021,1.102,0.787
8.367,4,0.068,37.0,35.199,56,59,63.236,407.53,26,7.277,42.9,46.4,1.001,1.129,0.661
10.886,4,0.069,40.114,38.244,54,58,59.898,512.84,20,9.497,48.1,37.0,1.014,1.109,0.743
7.83,3,0.054,37.665,35.551,52,56,58.187,475.83,21,9.151,44.2,40.4,1.01,1.119,0.724
6.775,3,0.051,38.568,36.25,55,59,61.658,455.42,24,8.28,43.6,43.6,1.002,1.121,0.701
7.588,3,0.056,39.614,37.658,50,54,55.161,551.69,16,11.034,50.0,32.0,1.024,1.103,0.792
7.069,3,0.056,34.699,32.38,50,54,55.717,378.93,23,7.579,46.0,46.0,0.991,1.114,0.694
4.416,4,0.067,38.523,35.764,57,60,64.365,495.49,27,8.693,36.8,47.4,1.005,1.129,0.676
5.242,5,0.096,35.977,34.438,49,52,54.309,451.96,18,9.224,46.9,36.7,1.015,1.108,0.734
7.222,5,0.089,37.682,36.49,53,56,59.922,489.38,20,9.234,45.3,37.7,1.023,1.131,0.711
7.602,5,0.089,39.523,37.378,53,56,59.131,522.28,20,9.854,45.3,37.7,1.016,1.116,0.746
5.301,3,0.056,37.04,35.175,50,54,55.329,448.37,19,8.967,50.0,38.0,1.005,1.107,0.741
7.097,3,0.055,36.853,32.453,53,55,59.154,392.71,28,7.41,37.7,52.8,0.98,1.116,0.695
8.262,6,0.207,21.409,19.974,29,29,32.798,334.53,11,11.536,31.0,37.9,1.053,1.131,0.738
8.398,15,0.25,37.995,34.045,60,60,67.909,379.53,34,6.325,35.0,56.7,0.985,1.132,0.633
7.699,20,0.294,41.04,35.853,69,68,79.032,378.62,44,5.487,30.4,63.8,0.978,1.145,0.595
7.854,15,0.259,38.568,34.528,58,58,65.741,458.83,31,7.911,32.8,53.4,1.001,1.133,0.665
7.2,6,0.107,35.091,33.068,52,56,58.355,372.51,24,7.164,44.2,46.2,0.992,1.122,0.675
8.74,4,0.073,33.33,30.332,53,55,59.647,314.51,30,5.934,39.6,56.6,0.979,1.125,0.629
7.393,4,0.073,33.33,30.332,53,55,59.647,314.51,30,5.934,39.6,56.6,0.979,1.125,0.629
6.108,15,0.238,38.62,34.933,63,63,71.391,359.61,37,5.708,36.5,58.7,0.979,1.133,0.613
9.155,2,0.038,35.995,32.754,50,53,55.557,419.05,23,8.381,42.0,46.0,0.995,1.111,0.72
5.593,15,0.238,38.62,34.933,63,63,71.391,359.61,37,5.708,36.5,58.7,0.979,1.133,0.613
5.6,6,0.102,36.853,34.595,55,59,61.77,386.54,26,7.028,43.6,47.3,0.99,1.123,0.67
5.886,7,0.25,17.347,15.741,29,28,33.415,196.32,17,6.77,27.6,58.6,1.007,1.152,0.598
7.921,16,0.25,39.665,36.001,64,64,72.743,413.55,36,6.462,32.8,56.3,0.994,1.137,0.62
6.47,5,0.093,33.784,32.256,50,54,56.149,374.48,22,7.49,44.0,44.0,1.0,1.123,0.676
7.0,6,0.105,35.546,33.783,53,57,59.564,388.51,24,7.33,43.4,45.3,0.998,1.124,0.671
8.007,3,0.051,39.426,37.078,55,59,61.602,489.86,23,8.907,43.6,41.8,1.008,1.12,0.717
7.377,10,0.147,40.591,36.68,67,68,75.932,376.64,40,5.621,35.8,59.7,0.98,1.133,0.606
8.161,11,0.275,24.392,21.848,41,40,47.076,252.44,25,6.157,29.3,61.0,0.993,1.148,0.595
