pXC50,Me,nCsp3,O.,AMW,H.,nHet,N.,nH,Mv,MW,nBM,nCsp2,nO
6.678,1.011,6,6.1,7.161,48.5,6,12.1,16,0.596,236.31,7,5,2
7.959,0.994,13,3.8,6.394,53.8,6,7.7,28,0.574,332.5,7,5,2
8.0,1.033,0,3.6,10.204,28.6,7,17.9,8,0.739,285.71,20,13,1
5.94,1.051,5,15.2,8.584,39.4,10,15.2,13,0.63,283.28,7,5,5
4.0,1.005,6,4.3,8.011,43.5,7,8.7,20,0.65,368.5,17,13,2
4.0,1.01,6,6.5,7.662,43.5,7,8.7,20,0.64,352.43,17,13,3
5.0,1.026,6,5.3,8.009,42.1,10,21.1,16,0.624,304.36,12,6,2
5.268,1.02,6,5.3,8.432,42.1,9,15.8,16,0.642,320.42,12,7,2
8.354,0.994,14,3.8,6.5,52.8,6,7.5,28,0.582,344.51,7,5,2
5.0,1.037,6,13.6,8.692,40.9,11,9.1,18,0.642,382.44,14,9,6
7.638,0.995,11,4.2,6.385,54.2,6,8.3,26,0.569,306.46,7,5,2
5.357,1.02,6,5.3,8.432,42.1,9,15.8,16,0.642,320.42,12,7,2
6.62,1.005,10,6.5,6.705,52.2,7,8.7,24,0.576,308.43,7,5,3
6.387,1.01,7,4.8,7.94,45.2,8,11.9,19,0.629,333.46,12,8,2
6.921,1.0,10,4.7,6.754,51.2,6,9.3,22,0.587,290.41,7,5,2
5.824,1.006,9,6.9,7.113,48.3,8,6.9,28,0.608,412.54,14,13,4
8.533,0.998,11,4.3,6.618,52.2,6,8.7,24,0.582,304.44,7,5,2
4.762,1.039,2,9.5,8.58,38.1,6,19.0,8,0.646,180.19,7,5,2
9.097,1.02,9,9.1,7.35,47.7,9,11.4,21,0.595,323.4,10,5,4
8.886,1.02,9,9.1,7.35,47.7,9,11.4,21,0.595,323.4,10,5,4
5.25,1.014,10,8.7,7.56,44.9,11,7.2,31,0.627,521.63,22,17,6
8.27,1.022,12,9.8,7.636,45.1,10,9.8,23,0.616,389.46,11,6,5
4.68,1.022,9,8.2,7.458,46.9,11,14.3,23,0.596,365.45,11,6,4
5.251,0.996,12,4.1,6.499,53.1,6,8.2,26,0.578,318.47,7,5,2
4.84,1.031,7,10.2,8.61,40.8,11,10.2,20,0.647,421.88,16,11,5
5.03,1.043,6,13.9,8.259,41.7,10,13.9,15,0.62,297.31,10,5,5
4.7,1.021,8,9.6,7.721,44.2,10,9.6,23,0.624,401.47,16,11,5
4.1,1.026,10,10.9,7.639,45.7,10,10.9,21,0.606,351.41,10,5,5
5.009,1.03,3,8.3,8.093,41.7,6,16.7,10,0.629,194.22,7,5,2
7.959,0.994,13,3.8,6.394,53.8,6,7.7,28,0.574,332.5,7,5,2
7.119,1.036,6,0.0,8.685,37.8,8,13.5,14,0.66,321.34,15,9,0
4.0,1.024,5,10.6,7.924,42.6,9,8.5,20,0.636,372.42,14,13,5
4.0,1.02,6,10.0,7.729,44.0,9,8.0,22,0.628,386.45,14,13,5
7.959,1.011,9,6.8,7.264,47.5,10,10.2,28,0.606,428.55,14,12,4
5.77,1.008,8,7.3,7.246,47.3,8,7.3,26,0.613,398.51,14,13,4
5.824,1.006,9,6.9,7.113,48.3,8,6.9,28,0.608,412.54,14,13,4
4.0,1.013,6,8.6,7.561,44.8,9,6.9,26,0.629,438.53,16,17,5
4.783,1.005,10,6.4,6.818,51.1,7,8.5,24,0.585,320.44,8,6,3
5.114,1.007,7,5.6,6.954,50.0,6,11.1,18,0.589,250.34,7,5,2
4.401,1.033,4,9.7,8.106,41.9,8,16.1,13,0.624,251.28,8,6,3
4.301,1.026,5,9.7,7.686,45.2,7,12.9,14,0.609,238.28,7,5,3
4.019,1.02,6,8.6,7.552,45.7,7,11.4,16,0.611,264.32,8,6,3
4.217,1.03,3,8.3,8.093,41.7,6,16.7,10,0.629,194.22,7,5,2
5.721,1.016,7,8.1,7.198,48.6,7,10.8,18,0.592,266.34,7,5,3
5.854,1.016,5,6.7,7.409,46.7,6,13.3,14,0.605,222.28,7,5,2
4.365,1.006,8,4.9,6.814,51.2,7,12.2,21,0.579,279.39,7,5,2
5.027,1.007,7,5.6,6.954,50.0,6,11.1,18,0.589,250.34,7,5,2
4.951,1.02,6,8.6,7.552,45.7,7,11.4,16,0.611,264.32,8,6,3
4.907,1.016,7,8.1,7.198,48.6,7,10.8,18,0.592,266.34,7,5,3
4.383,1.02,6,8.8,7.421,47.1,7,11.8,16,0.6,252.31,7,5,3
4.614,1.011,8,7.5,7.009,50.0,7,10.0,20,0.586,280.37,7,5,3
4.848,1.011,6,6.1,7.161,48.5,6,12.1,16,0.596,236.31,7,5,2
4.921,1.02,6,8.8,7.421,47.1,7,11.8,16,0.6,252.31,7,5,3
5.481,1.009,10,8.1,7.138,48.4,9,6.5,30,0.605,442.57,14,13,5
5.745,1.0,6,4.3,7.201,46.8,6,8.5,22,0.622,338.45,14,13,2
9.0,1.027,10,8.9,8.219,44.4,10,11.1,20,0.622,369.85,10,5,4
4.636,1.011,8,7.3,7.131,48.8,7,9.8,20,0.596,292.38,8,6,3
6.72,1.052,5,12.5,9.429,37.5,10,15.6,12,0.653,301.72,10,5,4
4.943,1.025,5,9.4,7.822,43.8,7,12.5,14,0.621,250.29,8,6,3
4.053,1.017,6,5.9,7.686,44.1,7,14.7,15,0.623,261.32,8,5,2
5.721,1.022,4,7.4,7.713,44.4,6,14.8,12,0.616,208.25,7,5,2
4.812,1.011,5,5.9,7.304,47.1,6,11.8,16,0.608,248.32,8,7,2
5.678,1.029,4,7.1,8.331,39.3,7,17.9,11,0.647,233.26,8,5,2
5.18,1.023,5,6.5,7.977,41.9,7,16.1,13,0.634,247.29,8,5,2
5.222,1.007,6,5.4,7.091,48.6,6,10.8,18,0.6,262.35,8,7,2
5.602,1.02,6,8.8,7.421,47.1,7,11.8,16,0.6,252.31,7,5,3
8.18,0.992,11,2.2,6.968,52.2,6,8.7,24,0.593,320.51,7,5,1
5.77,1.015,4,6.5,7.558,45.2,6,12.9,14,0.618,234.29,8,7,2
7.222,1.011,5,5.9,7.304,47.1,6,11.8,16,0.608,248.32,8,7,2
8.502,1.005,13,6.1,7.03,49.0,7,8.2,24,0.602,344.46,7,5,3
5.161,1.016,0,0.0,9.54,32.3,6,16.1,10,0.726,295.75,21,15,0
5.678,1.009,10,8.1,7.138,48.4,9,6.5,30,0.605,442.57,14,13,5
5.854,1.002,8,5.6,7.084,48.1,7,7.4,26,0.612,382.51,14,13,3
4.0,0.998,7,4.0,7.05,48.0,6,8.0,24,0.616,352.48,14,13,2
5.638,1.004,12,7.4,6.921,50.0,9,5.9,34,0.596,470.63,14,13,5
6.06,0.998,7,4.0,7.05,48.0,6,8.0,24,0.616,352.48,14,13,2
4.0,1.016,5,9.1,7.718,43.6,9,7.3,24,0.635,424.5,16,17,5
6.854,1.007,11,6.2,7.333,49.2,11,9.2,32,0.6,476.67,15,11,4
5.886,0.992,14,3.6,6.301,54.5,6,7.3,30,0.57,346.53,7,5,2
8.252,0.998,10,3.6,6.937,49.1,7,9.1,27,0.606,381.53,13,11,2
6.143,0.998,7,4.0,7.05,48.0,6,8.0,24,0.616,352.48,14,13,2
8.244,0.99,16,1.8,6.563,51.8,6,8.9,29,0.592,367.55,7,5,1
8.62,0.994,14,3.2,6.883,49.2,7,7.9,31,0.609,433.61,13,11,2
7.921,0.998,12,4.3,6.733,51.1,6,8.5,24,0.591,316.45,7,5,2
4.64,1.014,11,7.4,7.231,48.1,10,11.1,26,0.597,390.5,11,7,4
7.387,1.003,11,4.8,7.152,47.6,6,9.5,20,0.613,300.4,7,5,2
4.502,1.027,5,8.8,7.803,44.1,8,14.7,15,0.614,265.31,8,6,3
8.26,0.992,15,3.6,6.402,53.6,6,7.1,30,0.578,358.54,7,5,2
4.523,1.015,7,7.9,7.325,47.4,7,10.5,18,0.603,278.35,8,6,3
8.377,0.994,13,3.8,6.394,53.8,6,7.7,28,0.574,332.5,7,5,2
6.432,1.0,12,4.4,6.987,48.9,6,8.9,22,0.606,314.43,7,5,2
5.161,1.006,14,7.1,6.938,50.0,8,7.1,28,0.594,388.52,8,6,4
7.886,1.0,11,4.5,6.873,50.0,6,9.1,22,0.597,302.42,7,5,2
8.0,0.991,17,3.3,6.41,53.3,6,6.7,32,0.582,384.58,7,5,2
8.418,0.998,11,4.2,6.843,50.0,6,8.3,24,0.6,328.46,8,7,2
7.824,0.996,14,3.9,6.715,51.0,6,7.8,26,0.594,342.49,7,5,2
5.367,1.009,7,5.3,6.983,50.0,7,13.2,19,0.585,265.36,7,5,2
4.799,1.023,5,6.5,7.977,41.9,7,16.1,13,0.634,247.29,8,5,2
6.252,0.998,8,4.1,6.948,49.0,6,8.2,24,0.608,340.47,13,11,2
4.61,1.021,10,9.2,7.686,44.6,13,10.8,29,0.619,499.59,18,13,6
5.833,1.027,10,10.4,7.634,45.8,11,12.5,22,0.602,366.43,10,5,5
5.119,1.03,3,8.3,8.093,41.7,6,16.7,10,0.629,194.22,7,5,2
4.67,1.022,4,7.4,7.713,44.4,6,14.8,12,0.616,208.25,7,5,2
6.173,1.009,10,5.1,7.566,44.3,13,11.4,35,0.632,597.75,28,21,4
4.394,1.016,5,6.7,7.409,46.7,6,13.3,14,0.605,222.28,7,5,2
6.585,0.996,9,3.8,6.817,50.0,6,7.7,26,0.602,354.5,13,11,2
6.433,1.003,14,4.8,7.152,47.6,12,9.5,40,0.613,600.8,23,18,4
6.678,1.008,6,5.0,7.961,45.0,7,10.0,18,0.635,318.44,12,9,2
7.0,0.996,9,3.8,6.817,50.0,6,7.7,26,0.602,354.5,13,11,2
6.0,1.013,12,6.3,7.762,46.0,11,9.5,29,0.621,489.03,16,11,4
7.097,1.018,11,7.5,7.387,47.2,11,13.2,25,0.599,391.49,11,6,4
6.602,1.0,11,5.3,6.957,49.1,7,7.0,28,0.606,396.54,13,11,3
6.602,1.006,10,3.8,7.255,47.2,7,7.5,25,0.617,384.5,13,11,2
5.523,1.006,8,4.9,6.814,51.2,7,12.2,21,0.579,279.39,7,5,2
6.046,1.002,9,5.7,6.991,49.1,7,7.5,26,0.604,370.5,13,11,3
7.602,0.998,10,4.4,6.498,53.3,6,8.9,24,0.573,292.43,7,5,2
4.0,1.052,1,15.6,10.337,34.4,9,6.3,11,0.696,330.77,14,11,5
4.0,1.002,7,4.0,7.31,46.0,7,10.0,23,0.626,365.48,17,13,2
7.097,0.994,14,3.8,6.5,52.8,6,7.5,28,0.582,344.51,7,5,2
7.387,1.031,9,11.6,7.846,44.2,10,11.6,19,0.613,337.38,10,5,5
7.108,0.992,13,3.7,6.195,55.6,6,7.4,30,0.562,334.52,7,5,2
5.161,1.006,14,7.1,6.938,50.0,8,7.1,28,0.594,388.52,8,6,4
8.469,0.998,11,4.2,6.843,50.0,6,8.3,24,0.6,328.46,8,7,2
6.77,1.002,11,6.1,6.581,53.1,7,8.2,26,0.572,322.46,7,5,3
6.056,0.991,17,3.3,6.41,53.3,6,6.7,32,0.582,384.58,7,5,2
6.854,1.005,7,4.5,7.169,47.7,7,11.4,21,0.608,315.42,12,9,2
5.538,0.998,7,3.7,7.417,44.4,6,7.4,24,0.644,400.52,19,17,2
7.509,0.998,10,4.4,6.498,53.3,6,8.9,24,0.573,292.43,7,5,2
7.31,0.995,11,4.2,6.385,54.2,6,8.3,26,0.569,306.46,7,5,2
7.886,0.992,16,3.5,6.501,52.6,6,7.0,30,0.585,370.55,7,5,2
5.481,1.03,3,8.3,8.093,41.7,6,16.7,10,0.629,194.22,7,5,2
8.42,0.996,13,4.0,6.61,52.0,6,8.0,26,0.586,330.48,7,5,2
8.389,0.996,13,4.0,6.61,52.0,6,8.0,26,0.586,330.48,7,5,2
6.056,0.991,17,3.3,6.41,53.3,6,6.7,32,0.582,384.58,7,5,2
4.839,1.016,5,6.7,7.409,46.7,6,13.3,14,0.605,222.28,7,5,2
7.886,0.992,16,3.5,6.501,52.6,6,7.0,30,0.585,370.55,7,5,2
5.678,0.996,7,3.6,7.188,46.4,6,7.1,26,0.631,402.54,19,17,2
7.602,0.993,12,3.9,6.284,54.9,6,7.8,28,0.565,320.49,7,5,2
5.886,0.996,9,3.8,6.817,50.0,6,7.7,26,0.602,354.5,13,11,2
5.301,1.003,13,5.1,7.237,46.8,11,8.9,37,0.619,571.75,23,18,4
8.367,0.998,11,4.2,6.843,50.0,6,8.3,24,0.6,328.46,8,7,2
5.928,0.994,7,3.8,7.085,47.2,5,5.7,25,0.628,375.51,18,16,2
5.886,1.003,10,4.9,7.034,48.8,6,9.8,20,0.603,288.39,7,5,2
4.907,1.016,7,8.1,7.198,48.6,7,10.8,18,0.592,266.34,7,5,3
7.699,1.007,7,5.6,6.954,50.0,6,11.1,18,0.589,250.34,7,5,2
7.2,1.035,6,10.5,8.114,42.1,10,15.8,16,0.622,308.34,11,6,4
5.47,1.042,5,12.5,8.353,40.6,9,15.6,13,0.627,267.28,10,5,4
9.325,1.016,12,8.2,7.377,46.9,9,10.2,23,0.606,361.45,10,5,4
8.923,0.994,15,3.7,6.602,51.9,6,7.4,28,0.59,356.52,7,5,2
6.252,1.014,6,7.5,7.559,45.0,7,10.0,18,0.623,302.37,12,9,3
5.35,1.015,16,9.4,7.212,48.4,11,7.8,31,0.598,461.58,11,6,6
4.2,1.03,8,11.4,7.941,43.2,10,11.4,19,0.622,349.39,11,5,5
4.43,1.027,9,11.1,7.542,46.7,10,11.1,21,0.598,339.4,10,5,5
4.66,1.031,7,10.2,8.61,40.8,11,10.2,20,0.647,421.88,16,11,5
5.58,1.01,15,8.2,6.911,50.8,10,8.2,31,0.582,421.56,10,5,5
4.85,1.019,12,9.6,7.297,48.1,10,9.6,25,0.595,379.47,10,5,5
7.155,1.013,12,7.8,7.127,49.0,9,9.8,25,0.593,363.47,10,5,4
4.45,1.019,11,9.8,7.205,49.0,10,9.8,25,0.587,367.46,10,5,5
5.34,1.015,10,8.6,7.406,46.6,10,8.6,27,0.612,429.53,16,11,5
4.64,1.019,11,9.8,7.205,49.0,10,9.8,25,0.587,367.46,10,5,5
4.18,1.023,10,10.4,7.363,47.9,10,10.4,23,0.592,353.43,10,5,5
9.125,1.024,9,9.5,7.652,45.2,9,11.9,19,0.611,321.38,10,5,4
4.79,1.027,8,11.3,7.877,43.4,11,9.4,23,0.625,417.47,16,11,6
4.8,1.016,12,9.3,7.065,50.0,10,9.3,27,0.583,381.49,10,5,5
8.481,1.01,12,7.5,6.896,50.9,9,9.4,27,0.58,365.49,10,5,4
4.89,1.021,8,9.6,7.721,44.2,10,9.6,23,0.624,401.47,16,11,5
5.08,1.02,7,9.1,7.955,41.8,10,9.1,23,0.644,437.5,21,15,5
4.1,1.037,7,12.8,7.983,43.6,10,12.8,17,0.611,311.34,10,5,5
4.33,1.03,10,13.1,7.828,44.3,13,8.2,27,0.617,477.53,16,11,8
7.796,1.016,10,8.5,7.179,48.9,9,10.6,23,0.59,337.43,10,5,4
5.06,1.021,14,10.3,7.474,46.6,11,8.6,27,0.607,433.52,11,6,6
4.45,1.027,8,11.3,7.877,43.4,11,9.4,23,0.625,417.47,16,11,6
5.43,1.013,14,8.6,7.026,50.0,10,8.6,29,0.586,407.53,10,5,5
4.85,1.025,7,9.4,8.047,41.5,11,11.3,22,0.64,426.48,20,13,5
5.15,1.018,9,9.1,7.555,45.5,10,9.1,25,0.617,415.5,16,11,5
7.77,1.016,10,8.5,7.179,48.9,9,10.6,23,0.59,337.43,10,5,4
9.125,1.016,10,8.5,7.179,48.9,9,10.6,23,0.59,337.43,10,5,4
4.73,1.031,7,10.9,8.554,41.3,11,10.9,19,0.643,393.47,15,9,5
4.71,1.027,8,11.3,7.877,43.4,11,9.4,23,0.625,417.47,16,11,6
4.34,1.023,10,10.4,7.363,47.9,10,10.4,23,0.592,353.43,10,5,5
4.37,1.029,9,12.3,7.851,43.9,12,8.8,25,0.621,447.5,16,11,7
4.86,1.019,11,9.8,7.205,49.0,10,9.8,25,0.587,367.46,10,5,5
7.47,1.015,8,7.8,7.558,45.1,9,9.8,23,0.622,385.47,16,11,4
4.0,1.022,11,10.2,7.458,46.9,10,10.2,23,0.6,365.44,10,5,5
7.699,1.02,9,9.1,7.35,47.7,9,11.4,21,0.595,323.4,10,5,4
4.93,1.031,7,10.9,8.554,41.3,11,10.9,19,0.643,393.47,15,9,5
5.13,1.021,8,9.6,7.721,44.2,10,9.6,23,0.624,401.47,16,11,5
4.33,1.034,5,11.6,8.358,39.5,10,11.6,17,0.647,359.38,16,11,5
4.3,1.019,12,9.6,7.297,48.1,10,9.6,25,0.595,379.47,10,5,5
9.125,1.016,12,8.2,7.377,46.9,9,10.2,23,0.606,361.45,10,5,4
8.721,1.024,8,9.8,7.546,46.3,9,12.2,19,0.601,309.37,10,5,4
4.79,1.031,7,10.2,8.61,40.8,11,10.2,20,0.647,421.88,16,11,5
4.45,1.035,7,10.2,8.274,40.8,11,10.2,20,0.638,405.43,16,11,5
4.94,1.02,7,9.1,7.955,41.8,10,9.1,23,0.644,437.5,21,15,5
5.66,1.044,7,15.0,8.183,42.5,11,12.5,17,0.614,327.34,10,5,6
4.59,1.035,7,10.2,8.274,40.8,11,10.2,20,0.638,405.43,16,11,5
4.46,1.035,7,10.2,8.274,40.8,11,10.2,20,0.638,405.43,16,11,5
5.2,1.029,6,10.9,8.118,41.3,10,10.9,19,0.638,373.41,16,11,5
4.7,1.025,7,10.2,7.907,42.9,10,10.2,21,0.631,387.44,16,11,5
5.06,1.016,13,9.1,7.155,49.1,10,9.1,27,0.59,393.5,10,5,5
7.137,1.01,15,7.1,7.17,48.2,9,8.9,27,0.603,401.52,10,5,4
4.6,1.021,8,9.6,7.721,44.2,10,9.6,23,0.624,401.47,16,11,5
5.04,1.039,5,8.5,8.583,38.3,12,14.9,18,0.65,403.42,17,12,4
4.77,1.024,6,8.0,7.989,42.0,11,14.0,21,0.634,399.46,17,12,4
4.94,1.026,8,8.7,7.64,45.7,11,15.2,21,0.602,351.42,11,6,4
5.05,1.03,6,8.5,8.627,40.4,12,14.9,19,0.646,405.49,16,10,4
4.08,1.024,6,8.0,7.989,42.0,11,14.0,21,0.634,399.46,17,12,4
4.9,1.026,8,8.7,7.64,45.7,11,15.2,21,0.602,351.42,11,6,4
4.51,1.031,7,10.7,8.17,41.1,13,12.5,23,0.637,457.5,18,13,6
4.31,1.035,5,8.5,8.933,38.3,12,14.9,18,0.66,419.87,17,12,4
4.76,1.021,9,7.8,7.637,45.1,11,13.7,23,0.612,389.47,12,8,4
4.24,1.04,5,9.1,10.69,36.4,13,15.9,16,0.679,470.35,16,10,4
4.58,1.034,5,8.7,8.4,39.1,12,17.4,18,0.645,386.42,17,11,4
4.72,1.013,13,8.5,7.249,47.9,12,8.5,34,0.603,514.65,17,12,6
5.44,1.036,6,10.0,8.084,42.5,11,17.5,17,0.616,323.36,11,6,4
4.08,1.028,5,8.5,8.201,40.4,11,14.9,19,0.642,385.43,17,12,4
4.92,1.031,7,9.3,7.846,44.2,11,16.3,19,0.609,337.39,11,6,4
4.92,1.019,11,8.8,7.553,45.6,13,10.3,31,0.614,513.62,18,13,6
4.18,1.021,7,7.5,7.802,43.4,11,13.2,23,0.627,413.49,17,12,4
4.91,1.03,6,9.8,8.146,41.2,12,13.7,21,0.636,415.46,17,12,5
5.38,1.034,6,8.0,8.349,40.0,12,14.0,20,0.642,417.45,17,12,4
6.08,1.023,5,7.5,8.217,39.6,11,13.2,21,0.655,435.49,22,16,4
4.38,1.034,5,9.1,8.897,38.6,12,15.9,17,0.655,391.46,16,10,4
4.49,1.034,5,8.7,8.4,39.1,12,17.4,18,0.645,386.42,17,11,4
4.38,1.039,5,8.5,8.583,38.3,12,14.9,18,0.65,403.42,17,12,4
4.71,1.03,6,9.8,8.146,41.2,12,13.7,21,0.636,415.46,17,12,5
5.01,1.015,12,7.1,7.241,48.2,11,12.5,27,0.594,405.52,11,6,4
4.36,1.024,6,8.0,7.989,42.0,11,14.0,21,0.634,399.46,17,12,4
4.85,1.035,5,8.5,8.933,38.3,12,14.9,18,0.66,419.87,17,12,4
5.9,1.026,9,7.5,8.444,41.5,11,9.4,22,0.647,447.54,16,11,4
4.18,1.013,13,6.8,7.111,49.2,11,11.9,29,0.59,419.55,11,6,4
4.87,1.031,7,9.3,7.846,44.2,11,16.3,19,0.609,337.39,11,6,4
5.45,1.018,11,7.5,7.387,47.2,11,13.2,25,0.599,391.49,11,6,4
4.31,1.035,5,8.5,8.933,38.3,12,14.9,18,0.66,419.87,17,12,4
6.699,1.03,9,9.4,8.141,41.5,11,9.4,22,0.638,431.47,16,11,5
4.69,1.021,10,7.7,7.721,44.2,11,13.5,23,0.62,401.48,12,8,4
4.7,1.043,5,11.1,8.259,41.7,11,19.4,15,0.614,297.32,10,5,4
4.22,1.034,5,9.1,8.897,38.6,12,15.9,17,0.655,391.46,16,10,4
4.6,1.022,9,8.2,7.458,46.9,11,14.3,23,0.596,365.45,11,6,4
4.96,1.019,10,7.7,7.298,48.1,11,13.5,25,0.591,379.48,11,6,4
4.4,1.024,6,8.0,7.989,42.0,11,14.0,21,0.634,399.46,17,12,4
5.14,1.021,9,7.8,7.637,45.1,11,13.7,23,0.612,389.47,12,8,4
5.52,1.024,6,8.0,7.989,42.0,11,14.0,21,0.634,399.46,17,12,4
4.64,1.03,6,9.8,8.146,41.2,12,13.7,21,0.636,415.46,17,12,5
4.6,1.022,9,8.2,7.458,46.9,11,14.3,23,0.596,365.45,11,6,4
4.59,1.015,12,6.9,7.406,46.6,11,12.1,27,0.608,429.54,12,8,4
4.38,1.034,5,8.7,8.4,39.1,12,17.4,18,0.645,386.42,17,11,4
5.05,1.022,9,8.2,7.458,46.9,11,14.3,23,0.596,365.45,11,6,4
5.58,1.023,5,7.5,8.217,39.6,11,13.2,21,0.655,435.49,22,16,4
4.78,1.022,9,8.2,7.458,46.9,11,14.3,23,0.596,365.45,11,6,4
4.9,1.039,5,8.5,8.583,38.3,12,14.9,18,0.65,403.42,17,12,4
9.252,0.994,7,3.8,7.085,47.2,5,5.7,25,0.628,375.51,18,16,2
5.796,1.019,2,6.5,8.267,38.7,6,12.9,12,0.665,256.29,13,11,2
7.041,0.993,8,2.0,7.462,47.1,6,7.8,24,0.632,380.56,17,13,1
5.523,1.022,4,7.4,7.713,44.4,6,14.8,12,0.616,208.25,7,5,2
7.9,1.02,10,8.9,7.454,46.7,9,11.1,21,0.604,335.41,10,5,4
7.444,1.045,6,0.0,9.616,35.1,9,13.5,13,0.682,355.78,15,9,0
5.854,1.006,11,7.7,7.025,49.2,9,6.2,32,0.601,456.6,14,13,5
5.0,1.004,7,4.0,7.738,46.0,7,8.0,23,0.632,386.92,14,13,2
5.456,0.996,8,3.8,6.915,49.1,6,7.5,26,0.61,366.51,14,13,2
4.0,1.011,7,4.0,8.427,44.0,8,8.0,22,0.649,421.36,14,13,2
6.086,1.02,6,10.0,7.729,44.0,9,8.0,22,0.628,386.45,14,13,5
4.0,1.014,6,4.3,8.667,42.6,8,8.5,20,0.658,407.33,14,13,2
5.0,0.996,8,3.8,6.915,49.1,6,7.5,26,0.61,366.51,14,13,2
4.0,1.007,6,4.3,7.934,44.7,7,8.5,21,0.64,372.89,14,13,2
6.071,1.011,9,8.5,7.263,47.5,9,6.8,28,0.61,428.54,14,13,5
4.0,1.004,7,5.9,7.225,47.1,7,7.8,24,0.618,368.48,14,13,3
6.495,0.994,13,3.8,6.394,53.8,6,7.7,28,0.574,332.5,7,5,2
8.886,0.994,15,3.7,6.602,51.9,6,7.4,28,0.59,356.52,7,5,2
8.215,0.991,13,2.0,6.931,52.0,6,8.0,26,0.596,346.55,7,5,1
8.886,0.989,15,1.9,6.9,51.9,6,7.4,28,0.598,372.59,7,5,1
7.638,1.006,9,5.6,7.324,46.3,8,9.3,25,0.621,395.51,14,12,3
8.354,0.994,14,3.8,6.5,52.8,6,7.5,28,0.582,344.51,7,5,2
