pXC50,Sp,Sv,Se,nH,nAT,Si,nBT,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nB,nBM,nBO,nBR,nC
7.155,39.978,38.266,61.32,28,61,68.813,64,7.354,41.0,45.9,1.005,1.128,0.655,0.627,448.57,6.6,17,0,19,36,0,25
6.469,43.79,43.416,66.858,25,65,73.832,69,8.47,44.6,38.5,1.029,1.136,0.674,0.668,550.58,6.2,23,0,25,44,0,29
5.577,43.79,43.416,66.858,25,65,73.832,69,8.47,44.6,38.5,1.029,1.136,0.674,0.668,550.58,6.2,23,0,25,44,0,29
7.721,47.085,45.19,69.825,29,69,77.441,73,8.112,42.0,42.0,1.012,1.122,0.682,0.655,559.7,7.2,23,0,27,44,0,29
7.62,48.659,47.866,74.247,28,72,81.875,76,8.718,41.7,38.9,1.031,1.137,0.676,0.665,627.7,6.9,23,0,27,48,0,30
6.658,41.739,39.793,64.203,30,64,72.228,67,7.228,40.6,46.9,1.003,1.129,0.652,0.622,462.6,6.3,17,0,19,37,0,26
6.824,39.659,38.412,58.56,24,58,64.611,61,7.871,46.6,41.4,1.01,1.114,0.684,0.662,456.53,3.4,23,0,25,37,0,27
4.757,29.017,27.708,43.029,19,43,48.235,45,7.475,44.2,44.2,1.001,1.122,0.675,0.644,321.41,7.0,17,0,18,26,0,19
4.523,31.233,29.95,47.24,21,47,52.86,49,7.477,42.6,44.7,1.005,1.125,0.665,0.637,351.44,6.4,17,0,18,28,0,20
4.523,36.54,34.762,52.796,23,53,59.066,56,7.5,47.2,43.4,0.996,1.114,0.689,0.656,397.51,5.7,23,0,24,33,0,25
5.445,29.875,28.536,43.353,18,43,48.179,45,8.276,44.2,41.9,1.008,1.12,0.695,0.664,355.85,7.0,17,0,18,27,0,19
5.401,29.813,28.919,43.865,17,43,48.519,45,8.694,44.2,39.5,1.02,1.128,0.693,0.673,373.84,7.0,17,0,18,28,0,19
6.191,29.813,28.919,43.865,17,43,48.519,45,8.694,44.2,39.5,1.02,1.128,0.693,0.673,373.84,7.0,17,0,18,28,0,19
4.523,29.813,28.919,43.865,17,43,48.519,45,8.694,44.2,39.5,1.02,1.128,0.693,0.673,373.84,7.0,17,0,18,28,0,19
4.523,32.688,31.665,49.567,21,49,55.069,51,7.744,42.9,42.9,1.012,1.124,0.667,0.646,379.45,6.1,17,0,19,30,0,21
7.456,40.21,38.718,59.334,25,59,65.9,62,7.721,45.8,42.4,1.006,1.117,0.682,0.656,455.55,5.1,23,0,25,37,0,27
7.689,42.972,41.245,63.218,27,63,70.315,67,7.644,46.0,42.9,1.003,1.116,0.682,0.655,481.59,4.8,23,0,25,40,0,29
7.62,42.909,41.628,63.731,26,63,70.655,67,7.93,46.0,41.3,1.012,1.122,0.681,0.661,499.58,4.8,23,0,25,41,0,29
7.244,42.909,41.628,63.731,26,63,70.655,67,7.93,46.0,41.3,1.012,1.122,0.681,0.661,499.58,4.8,23,0,25,41,0,29
7.993,45.876,40.328,74.894,47,76,86.656,75,5.983,28.9,61.8,0.985,1.14,0.604,0.531,454.73,0.0,0,0,1,28,0,22
7.51,45.876,40.328,74.894,47,76,86.656,75,5.983,28.9,61.8,0.985,1.14,0.604,0.531,454.73,0.0,0,0,1,28,0,22
7.583,42.353,37.274,69.127,43,70,79.825,69,6.095,28.6,61.4,0.988,1.14,0.605,0.532,426.67,0.0,0,0,1,26,0,20
7.953,44.114,38.801,72.01,45,73,83.24,72,6.037,28.8,61.6,0.986,1.14,0.604,0.532,440.7,0.0,0,0,1,27,0,21
7.912,45.569,40.516,74.338,45,75,85.45,74,6.249,29.3,60.0,0.991,1.139,0.608,0.54,468.71,0.0,0,0,2,29,0,22
8.078,45.876,40.328,74.894,47,76,86.656,75,5.983,28.9,61.8,0.985,1.14,0.604,0.531,454.73,0.0,0,0,1,28,0,22
6.367,37.506,35.801,54.48,21,53,59.189,55,9.378,39.6,39.6,1.028,1.117,0.708,0.675,497.03,3.8,17,0,20,34,0,21
4.398,39.466,37.217,56.414,24,56,62.182,58,8.393,44.6,42.9,1.007,1.11,0.705,0.665,470.02,1.8,18,0,20,34,0,25
6.699,36.517,35.239,54.883,23,54,60.555,56,8.202,42.6,42.6,1.016,1.121,0.676,0.653,442.93,3.7,17,0,19,33,0,23
6.432,40.04,38.293,60.651,27,60,67.385,62,7.85,41.7,45.0,1.011,1.123,0.667,0.638,470.99,3.3,17,0,19,35,0,25
6.854,35.455,34.922,53.545,20,52,58.432,54,8.806,42.3,38.5,1.03,1.124,0.682,0.672,457.9,5.8,17,0,20,34,0,22
6.585,36.403,34.899,53.076,21,52,58.06,54,8.865,42.3,40.4,1.021,1.117,0.7,0.671,460.97,3.8,17,0,19,33,0,22
6.658,36.403,34.899,53.076,21,52,58.06,54,8.865,42.3,40.4,1.021,1.117,0.7,0.671,460.97,3.8,17,0,19,33,0,22
6.886,36.403,34.899,53.076,21,52,58.06,54,8.865,42.3,40.4,1.021,1.117,0.7,0.671,460.97,3.8,17,0,19,33,0,22
6.77,37.926,35.953,56.843,25,56,62.89,58,8.304,39.3,44.6,1.015,1.123,0.677,0.642,465.01,3.6,11,0,14,33,0,22
6.886,36.165,34.426,53.96,23,53,59.475,55,8.509,39.6,43.4,1.018,1.122,0.682,0.65,450.98,3.8,11,0,14,32,0,21
4.301,38.563,35.834,54.8,23,54,60.79,57,9.269,37.0,42.6,1.015,1.126,0.714,0.664,500.52,9.3,16,0,18,34,0,20
5.283,59.211,53.931,93.014,52,94,106.274,95,6.403,36.2,55.3,0.99,1.131,0.63,0.574,601.84,1.1,12,0,15,43,0,34
5.204,60.671,55.667,96.443,53,97,109.981,98,6.524,35.1,54.6,0.994,1.134,0.625,0.574,632.86,2.1,12,0,15,45,0,34
4.301,47.154,45.212,70.32,31,70,77.983,73,7.509,45.7,44.3,1.005,1.114,0.674,0.646,525.64,1.4,24,0,26,42,0,32
6.851,64.194,58.72,102.21,57,103,116.812,104,6.417,35.0,55.3,0.992,1.134,0.623,0.57,660.92,1.9,12,0,15,47,0,36
5.0,65.552,60.843,105.09,56,105,118.942,106,6.723,35.2,53.3,1.001,1.133,0.624,0.579,705.91,1.0,12,0,16,50,0,37
5.533,61.972,56.457,96.897,54,98,110.689,100,6.407,36.7,55.1,0.989,1.129,0.632,0.576,627.88,1.0,12,0,15,46,0,36
5.0,67.711,61.753,106.876,60,108,122.144,109,6.352,36.1,55.6,0.99,1.131,0.627,0.572,685.97,0.9,12,0,16,49,0,39
5.155,60.455,55.425,94.232,51,95,107.357,97,6.598,36.8,53.7,0.992,1.13,0.636,0.583,626.85,2.1,16,0,19,46,0,35
6.513,58.455,53.425,92.232,51,93,105.357,94,6.482,35.5,54.8,0.992,1.133,0.629,0.574,602.83,2.2,12,0,15,43,0,33
5.0,58.665,53.645,93.341,52,94,106.483,95,6.445,35.1,55.3,0.993,1.133,0.624,0.571,605.83,1.1,12,0,14,43,0,33
5.912,41.949,37.582,69.269,42,70,79.988,69,5.994,30.0,60.0,0.99,1.143,0.599,0.537,419.61,1.4,0,0,3,27,0,21
6.498,42.381,37.527,67.134,40,68,77.284,67,6.377,30.9,58.8,0.987,1.137,0.623,0.552,433.66,1.5,0,0,4,27,0,21
5.604,59.211,53.931,93.014,52,94,106.274,95,6.403,36.2,55.3,0.99,1.131,0.63,0.574,601.84,1.1,12,0,15,43,0,34
5.0,59.211,53.931,93.014,52,94,106.274,95,6.403,36.2,55.3,0.99,1.131,0.63,0.574,601.84,1.1,12,0,15,43,0,34
5.0,53.688,48.877,85.247,48,86,97.443,86,6.393,34.9,55.8,0.991,1.133,0.624,0.568,549.76,1.2,6,0,10,38,0,30
5.0,61.495,55.511,98.665,58,100,113.519,101,6.079,34.0,58.0,0.987,1.135,0.615,0.555,607.9,1.0,6,0,9,43,0,34
5.0,58.734,52.984,94.781,56,96,109.104,96,6.061,33.3,58.3,0.987,1.137,0.612,0.552,581.86,1.0,6,0,9,40,0,32
5.71,41.495,36.867,67.941,42,69,78.779,68,5.849,30.4,60.9,0.985,1.142,0.601,0.534,403.61,1.4,0,0,3,26,0,21
7.832,45.569,40.516,74.338,45,75,85.45,74,6.249,29.3,60.0,0.991,1.139,0.608,0.54,468.71,0.0,0,0,2,29,0,22
5.0,57.001,51.71,89.905,51,91,103.147,92,6.317,35.2,56.0,0.988,1.133,0.626,0.568,574.82,2.2,12,0,14,41,0,32
5.845,63.217,57.952,98.116,53,99,111.772,101,6.595,37.4,53.5,0.991,1.129,0.639,0.585,652.89,2.0,17,0,20,48,0,37
5.0,58.455,53.425,92.232,51,93,105.357,94,6.482,35.5,54.8,0.992,1.133,0.629,0.574,602.83,2.2,12,0,15,43,0,33
6.134,58.455,53.425,92.232,51,93,105.357,94,6.482,35.5,54.8,0.992,1.133,0.629,0.574,602.83,2.2,12,0,15,43,0,33
5.347,58.455,53.425,92.232,51,93,105.357,94,6.482,35.5,54.8,0.992,1.133,0.629,0.574,602.83,2.2,12,0,15,43,0,33
6.017,65.432,60.194,102.327,55,103,116.397,105,6.63,36.9,53.4,0.993,1.13,0.635,0.584,682.92,1.9,17,0,20,50,0,38
6.332,38.165,36.426,55.96,23,55,61.475,57,8.636,41.8,41.8,1.017,1.118,0.694,0.662,475.0,3.6,17,0,19,34,0,23
7.381,64.194,58.72,102.21,57,103,116.812,104,6.417,35.0,55.3,0.992,1.134,0.623,0.57,660.92,1.9,12,0,15,47,0,36
5.0,21.875,19.578,36.003,21,36,41.129,35,6.563,27.8,58.3,1.0,1.142,0.608,0.544,236.28,0.0,0,0,2,14,0,10
7.15,39.091,35.463,65.938,39,66,75.494,65,6.22,28.8,59.1,0.999,1.144,0.592,0.537,410.55,0.0,0,0,2,26,0,19
5.0,65.501,59.532,103.766,59,105,119.018,106,6.276,35.2,56.2,0.988,1.134,0.624,0.567,658.95,1.9,12,0,15,47,0,37
5.338,41.08,36.737,66.68,39,67,76.576,66,6.547,28.4,58.2,0.995,1.143,0.613,0.548,438.64,3.0,0,0,3,27,0,19
6.51,38.784,35.651,65.381,37,65,74.288,64,6.531,29.2,56.9,1.006,1.143,0.597,0.548,424.53,0.0,0,0,3,27,0,19
6.553,37.312,36.329,55.731,21,54,60.478,56,9.129,40.7,38.9,1.032,1.12,0.691,0.673,492.97,3.7,17,0,21,35,0,22
4.301,36.052,33.089,53.305,27,54,60.979,57,7.067,38.9,50.0,0.987,1.129,0.668,0.613,381.6,9.3,16,0,16,30,0,21
7.301,28.466,27.402,42.254,18,42,46.946,44,7.676,45.2,42.9,1.006,1.118,0.678,0.652,322.39,4.8,17,0,18,26,0,19
5.0,53.449,48.404,86.13,50,87,98.858,87,6.204,33.3,57.5,0.99,1.136,0.614,0.556,539.77,1.1,6,0,9,37,0,29
5.0,54.449,49.404,87.13,50,88,99.858,88,6.27,34.1,56.8,0.99,1.135,0.619,0.561,551.78,1.1,6,0,10,38,0,30
6.671,40.591,35.748,66.243,41,67,76.41,66,6.159,28.4,61.2,0.989,1.14,0.606,0.534,412.64,0.0,0,0,1,25,0,19
5.044,52.927,48.35,83.363,46,84,95.028,85,6.521,35.7,54.8,0.992,1.131,0.63,0.576,547.74,1.2,12,0,14,39,0,30
6.57,41.08,36.737,66.68,39,67,76.576,66,6.547,28.4,58.2,0.995,1.143,0.613,0.548,438.64,3.0,0,0,3,27,0,19
6.963,58.455,53.425,92.232,51,93,105.357,94,6.482,35.5,54.8,0.992,1.133,0.629,0.574,602.83,2.2,12,0,15,43,0,33
5.0,56.449,51.404,89.13,50,90,101.858,91,6.398,35.6,55.6,0.99,1.132,0.627,0.571,575.8,1.1,12,0,14,41,0,32
4.717,38.5,38.502,57.774,20,56,62.409,58,8.723,46.4,35.7,1.032,1.114,0.687,0.688,488.48,3.6,18,0,24,38,0,26
5.137,37.483,36.754,54.414,19,53,58.993,56,9.01,45.3,35.8,1.027,1.113,0.707,0.693,477.53,5.7,23,0,27,37,0,24
4.91,27.011,25.976,39.782,16,39,43.289,40,8.523,43.6,41.0,1.02,1.11,0.693,0.666,332.4,0.0,12,0,16,24,0,17
6.658,22.545,22.966,35.585,12,34,38.329,34,8.949,41.2,35.3,1.047,1.127,0.663,0.675,304.28,5.9,6,0,12,22,0,14
7.173,30.0,30.68,43.913,12,42,46.538,45,9.627,50.0,28.6,1.046,1.108,0.714,0.73,404.35,4.8,18,0,23,33,0,21
6.361,24.847,24.756,37.04,13,36,40.037,38,8.648,47.2,36.1,1.029,1.112,0.69,0.688,311.31,2.8,12,0,15,25,0,17
5.0,60.671,55.667,96.443,53,97,109.981,98,6.524,35.1,54.6,0.994,1.134,0.625,0.574,632.86,2.1,12,0,15,45,0,34
5.247,61.427,56.172,97.225,54,98,110.898,99,6.448,35.7,55.1,0.992,1.132,0.627,0.573,631.87,1.0,12,0,15,45,0,35
5.971,61.427,56.172,97.225,54,98,110.898,99,6.448,35.7,55.1,0.992,1.132,0.627,0.573,631.87,1.0,12,0,15,45,0,35
5.372,58.449,53.404,91.13,50,92,103.858,93,6.52,37.0,54.3,0.991,1.129,0.635,0.58,599.82,1.1,12,0,16,43,0,34
5.099,42.358,39.189,66.061,34,66,74.537,67,7.024,36.4,51.5,1.001,1.129,0.642,0.594,463.56,1.5,12,0,14,33,0,24
5.0,60.455,55.425,94.232,51,95,107.357,97,6.598,36.8,53.7,0.992,1.13,0.636,0.583,626.85,2.1,16,0,19,46,0,35
5.0,58.734,52.984,94.781,56,96,109.104,96,6.061,33.3,58.3,0.987,1.137,0.612,0.552,581.86,1.0,6,0,9,40,0,32
5.0,62.006,57.558,102.418,56,102,116.151,103,6.607,32.4,54.9,1.004,1.139,0.608,0.564,673.87,1.0,6,0,9,47,0,33
5.0,51.688,46.877,83.247,48,84,95.443,84,6.259,33.3,57.1,0.991,1.136,0.615,0.558,525.74,1.2,6,0,9,36,0,28
5.0,58.972,53.457,93.897,54,95,107.689,95,6.23,34.7,56.8,0.988,1.134,0.621,0.563,591.85,1.1,6,0,10,41,0,33
5.0,53.449,48.404,86.13,50,87,98.858,87,6.204,33.3,57.5,0.99,1.136,0.614,0.556,539.77,1.1,6,0,9,37,0,29
5.0,59.91,55.14,94.559,51,95,107.566,96,6.64,35.8,53.7,0.995,1.132,0.631,0.58,630.84,2.1,12,0,16,45,0,34
