pXC50,nC,Sp
4.0,17,25.364
4.307,17,25.767
4.398,5,13.631
4.311,24,37.177
4.459,20,35.051
4.318,23,39.773
4.0,22,35.551
4.357,18,24.938
4.0,19,29.864
4.484,25,41.523
4.409,22,35.37
4.0,12,20.705
4.342,21,31.989
4.0,18,27.011
4.244,25,40.926
5.072,12,18.483
4.329,25,39.676
4.461,16,22.176
4.0,30,47.705
4.0,16,22.176
4.0,22,32.335
4.216,21,34.324
4.0,30,42.966
4.402,26,35.307
4.294,19,32.552
4.0,21,33.023
4.0,16,28.58
4.0,21,33.0
4.374,19,27.324
4.371,15,22.943
4.151,16,23.068
4.229,11,19.193
4.0,17,27.472
4.0,21,36.273
4.367,17,27.165
4.457,19,29.779
5.397,27,44.387
4.148,23,39.506
4.0,24,41.574
4.0,22,34.693
4.43,24,38.477
4.179,13,19.273
4.0,16,25.614
4.135,21,34.983
4.0,20,32.853
4.0,21,34.04
4.0,15,25.017
4.248,22,34.853
4.219,25,40.029
4.329,17,29.023
4.468,17,29.676
4.146,19,29.352
4.0,22,36.886
4.207,18,27.563
4.216,22,34.892
4.48,17,24.392
4.0,17,28.051
4.292,23,36.421
4.36,22,38.08
4.026,16,21.966
4.0,21,35.307
4.445,11,19.46
4.0,20,29.955
4.327,20,36.097
4.308,23,38.557
4.295,22,38.552
4.356,22,36.085
4.265,28,44.699
4.198,16,25.739
4.124,17,24.182
4.244,25,39.676
4.204,9,14.648
4.0,14,20.938
4.412,26,41.955
4.0,21,33.0
4.0,18,28.068
4.0,16,24.347
4.421,22,35.648
4.472,31,46.739
4.0,27,41.557
4.0,26,37.637
4.0,12,20.466
4.443,22,34.693
4.069,26,43.086
4.257,20,30.262
4.102,18,27.466
4.307,22,37.449
4.249,19,32.119
4.0,16,22.483
4.26,24,39.335
4.447,21,31.75
4.145,18,27.466
4.415,16,25.676
4.592,24,38.364
4.0,25,42.91
4.455,20,30.585
4.427,13,20.279
4.438,24,38.432
4.306,20,28.728
4.102,21,34.819
4.368,16,24.04
4.386,22,37.142
4.0,20,34.103
4.0,23,39.387
4.466,17,28.392
4.0,12,20.955
4.45,23,33.199
4.48,25,40.892
4.0,14,23.199
4.0,17,31.284
4.357,23,37.574
4.4,28,45.461
4.0,19,32.239
4.415,21,31.375
4.36,22,36.097
4.036,24,38.785
4.393,17,25.938
4.0,26,53.569
4.0,15,22.313
4.38,19,27.915
4.42,27,43.955
4.0,24,36.819
4.0,16,22.421
4.0,16,28.58
4.3,19,28.614
4.484,28,45.461
4.281,15,22.551
4.0,21,32.961
4.0,17,26.137
4.47,14,21.205
4.0,20,25.477
4.0,17,22.415
4.267,22,38.552
4.0,10,18.228
4.142,20,31.171
4.445,24,38.477
4.379,15,23.688
4.0,16,22.631
4.442,15,21.841
4.0,11,15.898
4.279,19,32.552
4.0,17,24.699
4.0,19,32.341
4.344,21,30.955
4.0,18,25.881
4.058,26,42.228
4.219,14,24.835
4.0,25,40.529
4.0,27,44.557
4.0,21,34.455
4.0,18,29.75
4.0,21,36.375
4.178,29,46.296
4.0,26,39.546
4.0,23,38.739
4.08,11,17.727
4.315,23,34.54
4.433,20,32.057
4.4,24,36.659
4.0,24,39.83
4.44,18,28.654
4.0,23,38.068
4.11,20,29.222
4.0,17,26.506
4.0,15,21.21
4.0,19,28.012
4.35,18,27.995
4.0,24,37.063
4.301,15,27.619
4.0,18,28.409
4.0,16,25.972
4.401,21,35.137
4.466,14,22.154
4.0,18,28.08
4.3,15,20.415
4.0,17,23.631
4.423,28,45.915
4.203,21,33.108
4.0,22,34.762
4.466,9,16.119
4.0,21,32.415
4.432,21,31.148
4.204,17,25.886
4.421,12,17.171
4.273,28,46.54
4.466,23,34.443
4.0,15,25.273
4.0,23,32.369
4.38,28,44.256
4.0,11,25.688
4.0,15,24.012
4.0,25,40.347
4.401,14,23.563
4.0,13,24.455
4.448,29,41.324
4.455,23,36.915
4.759,16,28.773
5.003,26,42.171
4.0,19,32.796
4.0,16,31.312
4.271,22,32.682
4.0,17,27.631
4.0,24,38.313
4.429,18,26.608
4.0,21,28.148
4.267,26,38.512
4.17,16,24.83
4.0,16,26.75
4.026,23,34.898
4.0,15,26.364
4.235,23,35.029
4.0,20,34.103
4.48,11,16.722
4.0,27,41.46
4.468,29,48.12
4.0,24,39.83
4.179,24,33.523
4.0,19,27.154
4.0,19,32.898
4.0,23,40.142
4.158,21,36.512
4.0,19,30.33
4.0,15,23.83
4.0,19,33.705
4.143,18,24.483
4.0,17,25.801
4.075,31,46.404
4.39,23,37.125
4.0,29,43.438
4.357,28,41.551
4.0,14,20.841
4.412,16,27.819
4.0,18,25.245
4.223,21,31.375
4.38,19,30.574
4.264,23,38.557
4.367,19,28.466
4.437,24,33.466
4.254,25,40.193
4.433,19,34.404
4.432,22,33.671
4.027,10,18.25
4.377,22,35.245
4.371,10,16.972
4.018,10,16.239
4.364,17,24.796
4.0,15,23.057
4.476,17,26.955
4.231,16,24.387
4.0,26,40.659
4.775,26,39.602
4.401,24,41.069
4.16,28,46.517
4.0,7,13.307
4.401,10,15.693
4.0,17,29.37
4.17,23,39.21
4.492,17,28.773
4.323,23,36.085
4.468,22,36.62
4.0,19,33.432
4.0,14,20.841
4.316,14,25.154
4.488,28,46.359
4.389,22,35.824
4.063,24,42.455
4.0,23,34.568
4.0,14,21.245
4.0,18,26.705
4.325,13,20.733
4.0,20,32.915
4.0,22,32.989
4.0,13,20.926
4.0,20,31.483
4.437,16,25.011
4.418,14,22.972
4.0,22,36.841
4.281,19,35.614
4.3,17,27.017
4.168,20,34.313
4.412,19,24.625
4.461,17,25.25
4.295,10,15.756
4.167,41,66.069
4.0,13,21.381
4.0,17,27.96
4.0,14,20.517
4.0,8,15.699
4.0,23,32.012
4.406,6,11.938
4.0,17,25.705
4.0,27,44.597
4.0,13,20.489
4.11,20,33.302
4.0,16,25.046
4.0,16,24.841
4.0,15,22.131
4.0,27,41.943
4.0,25,40.83
4.0,20,30.199
4.18,27,43.591
4.185,26,43.642
4.35,11,18.216
4.0,27,44.142
4.0,24,39.557
4.0,10,15.477
4.0,16,25.284
4.0,19,32.341
4.0,19,33.194
4.0,19,27.216
4.0,23,36.086
4.114,17,27.46
4.0,17,31.875
4.0,16,26.534
4.0,15,24.835
4.0,17,28.443
4.0,12,19.205
4.0,11,19.483
4.0,10,16.273
4.222,16,24.978
4.0,13,20.063
4.0,20,29.404
4.257,18,26.591
4.0,9,18.455
4.0,5,9.529
4.0,25,37.784
4.373,23,35.546
4.275,15,23.295
4.0,17,26.381
4.45,21,34.426
4.0,20,30.017
4.0,22,38.421
5.162,25,41.671
4.0,19,29.057
4.0,23,39.421
4.0,7,12.966
4.0,11,17.79
4.0,16,23.881
4.197,10,18.25
4.208,62,116.996
4.0,22,33.137
4.0,10,18.25
4.0,10,14.591
4.0,19,28.256
4.0,9,17.006
4.0,22,36.551
4.355,30,43.829
4.0,19,31.994
4.0,12,20.46
4.0,12,19.392
4.0,12,19.847
4.0,19,33.097
4.0,10,15.869
4.0,15,24.381
4.0,16,22.176
4.157,25,37.267
4.0,18,27.659
4.0,18,31.551
4.0,16,24.46
4.0,18,26.739
4.0,22,31.563
4.0,16,31.312
4.0,11,16.989
4.863,23,38.841
4.0,19,33.432
4.0,10,15.017
4.0,12,21.949
4.0,24,36.023
4.0,16,23.301
4.0,12,18.301
4.0,11,17.386
4.0,10,15.511
4.0,13,23.131
4.0,10,16.21
4.0,10,17.034
4.0,13,22.466
4.0,13,21.154
4.0,20,35.756
4.234,19,28.097
4.0,20,31.995
4.0,18,26.739
4.0,11,17.631
4.0,24,36.33
4.0,8,13.966
4.0,21,31.438
4.0,11,20.386
4.0,22,37.523
4.0,20,31.813
4.0,21,31.228
4.0,16,26.438
4.0,11,17.273
5.323,9,17.841
4.0,24,39.83
4.0,10,15.29
4.0,17,30.04
4.0,18,27.438
4.833,25,41.307
4.0,21,30.284
4.1,20,34.046
4.0,13,20.966
4.0,20,31.171
4.0,10,17.341
4.0,19,28.097
4.0,8,15.244
4.0,9,14.722
4.0,22,39.932
4.0,12,18.75
4.0,20,31.301
4.026,12,19.489
4.275,20,30.358
4.301,65,123.286
4.3,26,38.546
4.218,58,109.95
4.0,16,22.176
4.0,22,35.46
4.0,17,23.938
4.0,11,16.352
4.0,10,16.767
4.0,11,17.051
4.0,10,17.119
4.0,23,34.261
4.377,17,25.96
4.0,13,21.25
4.0,19,28.563
4.0,24,36.023
4.0,14,24.08
4.0,17,26.137
4.423,7,15.79
4.094,12,20.006
4.0,17,28.932
4.0,12,20.006
4.0,20,33.546
4.0,12,20.977
4.0,15,26.279
4.0,14,23.807
4.0,23,34.199
4.0,16,26.108
4.283,67,126.502
4.0,16,24.313
4.0,16,25.222
4.0,21,37.517
4.0,19,29.438
4.0,22,34.267
4.385,20,30.938
4.043,23,34.506
4.335,17,31.636
4.0,21,33.858
4.0,16,24.915
4.307,20,30.131
4.315,27,44.523
4.364,27,41.949
4.0,15,26.449
4.347,22,34.171
4.0,12,18.307
4.235,15,23.591
4.0,16,21.722
4.22,15,21.063
4.0,16,21.966
4.297,18,24.273
4.0,11,17.631
4.337,27,43.665
4.496,18,26.006
4.469,15,22.438
4.405,16,26.375
4.0,14,18.96
4.448,14,24.443
4.0,19,32.341
4.502,22,35.302
4.271,16,26.023
4.0,14,17.955
4.0,22,32.534
4.0,14,18.96
4.0,26,41.273
4.0,21,30.773
4.348,27,44.069
4.273,26,42.307
4.271,19,25.693
4.076,17,31.006
4.0,27,38.688
4.291,23,34.591
4.0,23,32.648
4.0,16,25.745
4.482,23,32.648
4.341,17,27.228
5.082,23,35.796
4.0,8,15.46
4.397,16,22.841
4.341,21,33.54
4.0,19,28.659
