pXC50,nC,Sp,nBT,nAT,Sv,nP,O.,nSK,Si,Me,nAB,Se,AMW,nH,nBO,nCsp2,nCsp3,nO,nHM,H.,nDB,SCBO,RBN,MW,nBM,Mv,nN,nHet,nTB,Mp
6.252,16,27.12,44,42,25.321,0,0.0,21,47.813,0.99,12,41.578,6.748,21,23,10,6,0,0,50.0,0,29.0,4,283.42,12,0.603,5,5,0,0.646
6.051,22,38.171,64,63,34.24,0,1.6,25,71.68,0.975,6,61.436,5.502,38,26,6,16,1,0,60.3,0,29.0,12,346.62,6,0.543,2,3,0,0.606
5.74,22,39.177,66,65,35.261,0,1.5,26,74.178,0.978,6,63.538,5.564,39,27,6,16,1,0,60.0,0,30.0,12,361.64,6,0.542,3,4,0,0.603
5.319,16,26.569,43,41,25.015,0,2.4,21,46.524,0.995,12,40.803,6.937,20,23,10,6,1,0,48.8,0,29.0,5,284.4,12,0.61,4,5,0,0.648
5.606,21,37.415,63,62,33.735,0,1.6,25,70.763,0.978,6,60.654,5.607,37,26,6,15,1,0,59.7,0,29.0,11,347.61,6,0.544,3,4,0,0.603
5.754,22,39.177,66,65,35.261,0,1.5,26,74.178,0.978,6,63.538,5.564,39,27,6,16,1,0,60.0,0,30.0,12,361.64,6,0.542,3,4,0,0.603
5.077,20,35.41,59,59,31.713,0,1.7,23,67.264,0.975,6,57.552,5.434,36,23,6,14,1,0,61.0,0,26.0,13,320.58,6,0.538,2,3,0,0.6
5.253,22,38.932,65,65,34.767,0,1.5,25,74.095,0.974,6,63.319,5.364,40,25,6,16,1,0,61.5,0,28.0,15,348.64,6,0.535,2,3,0,0.599
6.509,25,44.217,74,74,39.347,0,1.4,28,84.34,0.973,6,71.97,5.28,46,28,6,19,1,0,62.2,0,31.0,18,390.73,6,0.532,2,3,0,0.598
6.469,27,47.739,80,80,42.401,0,1.3,30,91.171,0.972,6,77.737,5.235,50,30,6,21,1,0,62.5,0,33.0,20,418.79,6,0.53,2,3,0,0.597
5.009,15,24.353,39,37,22.773,0,0.0,19,41.9,0.989,12,36.592,6.875,18,21,10,5,0,0,48.6,0,27.0,4,254.37,12,0.615,4,4,0,0.658
6.301,15,24.807,40,38,23.488,0,2.6,20,43.109,0.998,12,37.92,7.115,18,22,10,5,1,0,47.4,0,28.0,4,270.37,12,0.618,4,5,0,0.653
5.609,24,42.455,71,71,37.82,0,1.4,27,80.925,0.973,6,69.087,5.306,44,27,6,18,1,0,62.0,0,30.0,17,376.7,6,0.533,2,3,0,0.598
6.222,26,45.217,76,75,40.347,0,1.3,29,85.34,0.973,6,72.97,5.37,46,30,6,20,1,0,61.3,0,33.0,16,402.74,6,0.538,2,3,0,0.603
6.268,26,46.222,78,77,41.369,0,1.3,30,87.839,0.975,6,75.072,5.425,47,31,6,20,1,0,61.0,0,34.0,16,417.76,6,0.537,3,4,0,0.6
6.237,27,47.984,81,80,42.895,0,1.3,31,91.254,0.974,6,77.956,5.397,49,32,6,21,1,0,61.3,0,35.0,17,431.79,6,0.536,3,4,0,0.6
4.301,26,45.671,76,76,41.062,0,2.6,30,86.55,0.978,6,74.297,5.51,46,30,7,19,2,0,60.5,1,34.0,17,418.74,7,0.54,2,4,0,0.601
6.481,15,26.0,40,38,23.96,0,0.0,20,42.82,0.991,12,37.669,7.538,18,22,10,5,0,1,47.4,0,28.0,4,286.44,12,0.631,4,5,0,0.684
6.301,20,34.648,58,57,31.186,0,1.8,23,64.849,0.977,6,55.669,5.589,34,24,6,14,1,0,59.6,0,27.0,11,318.56,6,0.547,2,3,0,0.608
5.366,21,36.41,61,60,32.713,0,1.7,24,68.264,0.976,6,58.552,5.543,36,25,6,15,1,0,60.0,0,28.0,11,332.59,6,0.545,2,3,0,0.607
6.77,25,44.217,74,74,39.347,0,1.4,28,84.34,0.973,6,71.97,5.28,46,28,6,19,1,0,62.2,0,31.0,18,390.73,6,0.532,2,3,0,0.598
6.854,27,47.739,80,80,42.401,0,1.3,30,91.171,0.972,6,77.737,5.235,50,30,6,21,1,0,62.5,0,33.0,20,418.79,6,0.53,2,3,0,0.597
6.523,25,43.455,73,72,38.82,0,1.4,28,81.925,0.973,6,70.087,5.399,44,29,6,19,1,0,61.1,0,32.0,16,388.71,6,0.539,2,3,0,0.604
7.032,15,24.256,39,37,23.181,0,5.4,20,41.82,1.004,11,37.145,7.334,17,22,9,6,2,0,45.9,1,28.5,2,271.35,12,0.627,3,5,0,0.656
4.864,18,31.126,52,51,28.133,0,2.0,21,58.019,0.978,6,49.901,5.696,30,22,6,12,1,0,58.8,0,25.0,8,290.5,6,0.552,2,3,0,0.61
5.759,28,42.909,68,66,40.718,0,9.1,34,73.9,1.002,17,66.101,7.039,32,36,18,10,6,0,48.5,2,46.5,12,464.6,19,0.617,0,6,0,0.65
7.222,16,26.017,42,40,24.708,0,5.0,21,45.235,1.001,11,40.029,7.134,19,23,9,7,2,0,47.5,1,29.5,3,285.38,12,0.618,3,5,0,0.65
6.081,27,44.966,68,66,41.602,0,9.1,34,73.624,0.998,17,65.88,7.283,32,36,18,9,6,1,48.5,2,46.5,12,480.68,19,0.63,0,7,0,0.681
6.292,28,44.415,67,65,42.152,0,7.7,36,72.661,1.01,18,65.64,8.161,29,38,20,8,5,2,44.6,2,49.0,13,530.48,20,0.648,1,8,0,0.683
4.824,14,22.495,36,34,21.655,0,5.9,19,38.405,1.008,11,34.262,7.568,15,21,9,5,2,0,44.1,1,27.5,1,257.32,12,0.637,3,5,0,0.662
5.276,14,22.495,36,34,21.655,0,5.9,19,38.405,1.008,11,34.262,7.568,15,21,9,5,2,0,44.1,1,27.5,1,257.32,12,0.637,3,5,0,0.662
9.305,33,49.967,80,75,46.041,0,0.0,37,84.052,0.979,30,73.428,6.543,38,42,22,11,0,0,50.7,0,57.0,10,490.75,30,0.614,4,4,0,0.666
7.569,33,52.251,86,81,47.622,0,0.0,37,91.297,0.976,20,79.079,6.133,44,42,16,17,0,0,54.3,0,52.0,10,496.81,20,0.588,4,4,0,0.645
7.036,33,49.967,80,75,46.041,0,0.0,37,84.052,0.979,30,73.428,6.543,38,42,22,11,0,0,50.7,0,57.0,12,490.75,30,0.614,4,4,0,0.666
5.714,27,42.978,69,68,40.056,0,7.4,32,76.521,0.993,12,67.541,6.48,36,33,14,13,5,0,52.9,2,41.0,13,440.63,14,0.589,0,5,0,0.632
5.924,26,45.034,69,68,40.941,0,7.4,32,76.245,0.99,12,67.32,6.716,36,33,14,12,5,1,52.9,2,41.0,13,456.71,14,0.602,0,6,0,0.662
5.921,16,27.335,40,37,25.314,0,2.7,22,41.036,1.002,11,37.087,8.905,15,25,12,4,1,2,40.5,2,32.5,2,329.48,13,0.684,3,6,0,0.739
5.116,25,35.875,56,51,33.827,0,0.0,29,56.73,0.987,30,50.36,7.422,22,34,22,3,0,0,43.1,0,49.0,4,378.51,30,0.663,4,4,0,0.703
6.367,24,34.114,53,48,32.3,0,0.0,28,53.315,0.989,30,47.476,7.593,20,33,22,2,0,0,41.7,0,48.0,3,364.48,30,0.673,4,4,0,0.711
6.556,26,37.637,59,54,35.354,0,0.0,30,60.145,0.986,30,53.243,7.269,24,35,22,4,0,0,44.4,0,50.0,5,392.54,30,0.655,4,4,0,0.697
6.225,27,39.398,62,57,36.88,0,0.0,31,63.56,0.985,30,56.127,7.133,26,36,22,5,0,0,45.6,0,51.0,6,406.57,30,0.647,4,4,0,0.691
6.606,28,41.16,65,60,38.407,0,0.0,32,66.976,0.984,30,59.01,7.01,28,37,22,6,0,0,46.7,0,52.0,7,420.6,30,0.64,4,4,0,0.686
7.065,34,51.728,83,78,47.568,0,0.0,38,87.467,0.978,30,76.312,6.472,40,43,22,12,0,0,51.3,0,58.0,13,504.78,30,0.61,4,4,0,0.663
5.503,30,46.046,74,69,43.605,0,4.3,37,77.434,0.997,30,68.76,7.198,32,42,22,8,3,0,46.4,0,57.0,12,496.66,30,0.632,4,7,0,0.667
5.866,27,46.472,67,65,43.037,0,7.7,36,72.385,1.006,18,65.418,8.409,29,38,20,7,5,3,44.6,2,49.0,13,546.56,20,0.662,1,9,0,0.715
6.947,30,44.682,71,66,41.461,0,0.0,34,73.806,0.981,30,64.778,6.798,32,39,22,8,0,0,48.5,0,54.0,9,448.66,30,0.628,4,4,0,0.677
6.903,31,46.444,74,69,42.988,0,0.0,35,77.221,0.981,30,67.661,6.706,34,40,22,9,0,0,49.3,0,55.0,10,462.69,30,0.623,4,4,0,0.673
7.201,32,48.205,77,72,44.514,0,0.0,36,80.636,0.98,30,70.545,6.621,36,41,22,10,0,0,50.0,0,56.0,11,476.72,30,0.618,4,4,0,0.67
7.092,29,42.921,68,63,39.934,0,0.0,33,70.391,0.982,30,61.894,6.899,30,38,22,7,0,0,47.6,0,53.0,8,434.63,30,0.634,4,4,0,0.681
6.073,14,20.961,33,31,19.467,0,0.0,16,34.695,0.982,15,30.447,6.816,15,18,11,3,0,0,48.4,0,25.5,2,211.31,15,0.628,2,2,0,0.676
6.131,19,31.426,49,46,29.422,0,4.3,25,51.571,1.0,11,45.989,7.728,21,28,12,7,2,1,45.7,2,35.5,4,355.5,13,0.64,3,6,0,0.683
6.834,30,41.637,64,58,39.354,0,0.0,34,64.145,0.987,36,57.243,7.596,24,40,28,2,0,0,41.4,0,58.0,4,440.58,36,0.679,4,4,0,0.718
5.0,29,43.83,70,65,41.364,0,3.1,35,72.81,0.993,30,64.549,7.179,30,40,22,7,2,0,46.2,0,55.0,8,466.63,30,0.636,4,6,0,0.674
7.534,25,38.551,62,57,36.805,0,3.5,32,64.062,1.0,16,57.0,7.501,25,37,17,8,2,0,43.9,3,48.0,4,427.55,19,0.646,5,7,0,0.676
5.64,33,50.989,79,76,48.808,0,9.2,42,84.967,1.01,22,76.738,7.791,34,45,23,10,7,1,44.7,3,59.0,13,592.13,25,0.642,1,9,0,0.671
6.143,32,53.046,79,76,49.693,0,9.2,42,84.69,1.007,22,76.516,8.003,34,45,23,9,7,2,44.7,3,59.0,13,608.21,25,0.654,1,10,0,0.698
5.393,24,37.551,60,56,35.805,0,3.6,31,63.062,1.0,16,56.0,7.42,25,35,17,7,2,0,44.6,3,46.0,6,415.54,19,0.639,5,7,0,0.671
5.575,19,34.824,49,48,31.312,0,4.2,25,53.511,0.996,12,47.785,8.259,23,26,13,6,2,3,47.9,1,33.0,8,396.42,13,0.652,1,6,0,0.726
5.818,25,39.313,63,59,37.331,0,3.4,32,66.478,0.998,16,58.883,7.281,27,36,17,8,2,0,45.8,3,47.0,6,429.57,19,0.633,5,7,0,0.666
5.011,25,39.341,61,59,37.083,0,6.8,31,66.093,1.002,16,59.105,7.491,28,33,16,9,4,1,47.5,2,43.0,8,441.99,18,0.629,1,6,0,0.667
5.479,24,41.398,61,59,37.968,0,6.8,31,65.817,0.998,16,58.883,7.764,28,33,16,8,4,2,47.5,2,43.0,8,458.07,18,0.644,1,7,0,0.702
5.57,20,32.767,49,48,30.428,0,4.2,25,53.788,1.0,12,48.007,7.924,23,26,13,7,2,2,47.9,1,33.0,8,380.34,13,0.634,1,5,0,0.683
6.429,24,37.551,60,56,35.805,0,3.6,31,63.062,1.0,16,56.0,7.42,25,35,17,7,2,0,44.6,3,46.0,5,415.54,19,0.639,5,7,0,0.671
6.553,29,42.921,68,63,39.934,0,0.0,33,70.391,0.982,30,61.894,6.899,30,38,22,7,0,0,47.6,0,53.0,6,434.63,30,0.634,4,4,0,0.681
5.965,38,55.387,89,82,51.482,0,2.4,42,91.304,0.983,24,80.647,6.79,40,49,24,14,2,0,48.8,0,61.0,7,556.8,24,0.628,2,4,0,0.675
5.371,27,40.307,64,59,38.31,0,3.4,33,65.979,0.996,30,58.781,7.433,26,38,22,5,2,0,44.1,0,53.0,6,438.57,30,0.649,4,6,0,0.683
6.0,27,41.682,68,63,38.461,0,0.0,31,70.806,0.981,20,61.778,6.55,32,36,16,11,0,0,50.8,0,46.0,6,412.63,20,0.61,4,4,0,0.662
7.67,26,40.313,65,60,38.331,0,3.3,33,67.478,0.998,16,59.883,7.36,27,38,17,9,2,0,45.0,3,49.0,4,441.58,19,0.639,5,7,0,0.672
7.243,24,36.79,58,54,35.278,0,3.7,31,60.647,1.002,25,54.116,7.658,23,35,19,5,2,0,42.6,1,48.5,5,413.52,26,0.653,5,7,0,0.681
7.628,24,36.029,57,52,34.751,0,3.8,31,58.232,1.004,25,52.232,7.913,21,36,19,5,2,0,40.4,1,49.5,3,411.5,26,0.668,5,7,0,0.693
8.916,36,55.251,89,84,50.622,0,0.0,40,94.297,0.977,30,82.079,6.343,44,45,22,14,0,0,52.4,0,60.0,13,532.84,30,0.603,4,4,0,0.658
6.0,32,50.489,83,78,46.095,0,0.0,36,87.882,0.977,20,76.196,6.189,42,41,16,16,0,0,53.8,0,51.0,11,482.78,20,0.591,4,4,0,0.647
6.249,22,33.393,53,50,30.859,0,0.0,25,56.062,0.981,21,49.025,6.63,25,28,16,6,0,0,50.0,0,38.5,7,331.5,21,0.617,3,3,0,0.668
5.0,34,50.967,81,76,47.041,0,0.0,38,85.052,0.979,30,74.428,6.615,38,43,22,12,0,0,50.0,0,58.0,13,502.76,30,0.619,4,4,0,0.671
6.0,13,18.818,29,27,17.677,0,0.0,15,30.073,0.986,15,26.622,7.269,12,17,11,2,0,0,44.4,0,24.5,1,196.27,15,0.655,2,2,0,0.697
5.591,14,20.961,33,31,19.467,0,0.0,16,34.695,0.982,15,30.447,6.816,15,18,11,3,0,0,48.4,0,25.5,1,211.31,15,0.628,2,2,0,0.676
6.882,24,36.79,59,54,35.278,0,3.7,31,60.647,1.002,16,54.116,7.658,23,36,17,7,2,0,42.6,3,47.0,3,413.52,19,0.653,5,7,0,0.681
6.953,25,38.551,62,57,36.805,0,3.5,32,64.062,1.0,16,57.0,7.501,25,37,17,8,2,0,43.9,3,48.0,3,427.55,19,0.646,5,7,0,0.676
4.609,19,31.33,51,51,28.332,0,3.9,21,57.647,0.979,6,49.909,5.696,30,21,7,12,2,0,58.8,1,25.0,8,290.49,7,0.556,0,2,0,0.614
4.59,18,33.387,51,51,29.216,0,3.9,21,57.371,0.974,6,49.687,6.011,30,21,7,11,2,1,58.8,1,25.0,8,306.57,7,0.573,0,3,0,0.655
7.096,25,39.313,63,59,37.331,0,3.4,32,66.478,0.998,16,58.883,7.281,27,36,17,8,2,0,45.8,3,47.0,6,429.57,19,0.633,5,7,0,0.666
7.997,25,37.79,60,55,36.278,0,3.6,32,61.647,1.002,25,55.116,7.737,23,37,19,6,2,0,41.8,1,50.5,3,425.53,26,0.66,5,7,0,0.687
5.115,24,38.313,61,58,36.331,0,3.4,31,65.478,0.998,16,57.883,7.199,27,34,17,7,2,0,46.6,3,45.0,8,417.56,19,0.626,5,7,0,0.661
4.706,20,31.262,50,49,28.993,0,6.1,23,55.026,0.989,11,48.469,6.418,26,24,11,9,3,0,53.1,1,30.5,7,314.46,12,0.592,0,3,0,0.638
4.857,19,33.319,50,49,29.878,0,6.1,23,54.75,0.985,11,48.247,6.746,26,24,11,8,3,1,53.1,1,30.5,7,330.54,12,0.61,0,4,0,0.68
5.0,27,38.637,60,55,36.354,0,0.0,31,61.145,0.986,30,54.243,7.355,24,36,22,5,0,0,43.6,0,51.0,6,404.55,30,0.661,4,4,0,0.702
5.0,31,45.682,72,67,42.461,0,0.0,35,74.806,0.982,30,65.778,6.876,32,40,22,9,0,0,47.8,0,55.0,10,460.67,30,0.634,4,4,0,0.682
4.449,18,29.358,45,42,28.083,0,7.1,25,46.95,1.013,11,42.549,8.463,17,28,13,5,3,1,40.5,3,36.5,2,355.45,14,0.669,3,7,0,0.699
5.057,19,28.455,46,43,26.268,0,2.3,21,48.067,0.982,12,42.207,6.521,22,24,12,7,1,0,51.2,0,30.0,1,280.42,12,0.611,1,2,0,0.662
5.347,37,53.626,86,79,49.955,0,2.5,41,87.889,0.984,24,77.763,6.871,38,48,24,13,2,0,48.1,0,60.0,6,542.77,24,0.632,2,4,0,0.679
6.349,39,57.148,92,85,53.008,0,2.4,43,94.719,0.983,24,83.53,6.716,42,50,24,15,2,0,49.4,0,62.0,8,570.83,24,0.624,2,4,0,0.672
6.163,40,58.91,95,88,54.535,0,2.3,44,98.135,0.982,24,86.414,6.646,44,51,24,16,2,0,50.0,0,63.0,9,584.86,24,0.62,2,4,0,0.669
5.921,42,62.433,101,94,57.589,0,2.1,46,104.965,0.981,24,92.181,6.52,48,53,24,18,2,0,51.1,0,65.0,11,612.92,24,0.613,2,4,0,0.664
5.386,46,69.478,113,106,63.696,0,1.9,50,118.626,0.978,24,103.715,6.312,56,57,24,22,2,0,52.8,0,69.0,15,669.04,24,0.601,2,4,0,0.655
6.408,40,59.671,97,90,55.062,0,2.2,44,100.55,0.981,24,88.297,6.521,46,51,24,16,2,0,51.1,0,63.0,7,586.88,24,0.612,2,4,0,0.663
6.55,41,61.433,100,93,56.589,0,2.2,45,103.965,0.98,24,91.181,6.461,48,52,24,17,2,0,51.6,0,64.0,8,600.91,24,0.608,2,4,0,0.661
6.823,42,63.194,103,96,58.116,0,2.1,46,107.38,0.98,24,94.065,6.406,50,53,24,18,2,0,52.1,0,65.0,9,614.94,24,0.605,2,4,0,0.658
6.555,44,66.717,109,102,61.169,0,2.0,48,114.211,0.979,24,99.832,6.304,54,55,24,20,2,0,52.9,0,67.0,11,643.0,24,0.6,2,4,0,0.654
6.92,48,73.762,121,114,67.276,0,1.8,52,127.871,0.977,24,111.366,6.133,62,59,24,24,2,0,54.4,0,71.0,15,699.12,24,0.59,2,4,0,0.647
5.318,39,58.671,94,89,54.062,0,2.2,43,99.55,0.981,24,87.297,6.459,46,48,24,15,2,0,51.7,0,60.0,6,574.87,24,0.607,2,4,0,0.659
5.695,44,67.478,109,104,61.696,0,1.9,48,116.626,0.978,24,101.715,6.202,56,53,24,20,2,0,53.8,0,65.0,11,645.02,24,0.593,2,4,0,0.649
