pXC50,nBM,nCsp2,nAB,Mv,Sp,Mp,H.,MW,Si,RBN,Sv,nAT,Se,SCBO,nBT
8.699,21,21,18,0.598,61.143,0.644,51.6,623.92,107.254,13,56.841,95,93.93,62.0,99
8.699,21,21,18,0.61,60.239,0.655,50.0,644.33,103.783,13,56.142,92,91.37,62.0,96
8.699,21,21,18,0.61,60.239,0.655,50.0,644.33,103.783,13,56.142,92,91.37,62.0,96
8.699,21,21,18,0.61,60.239,0.655,50.0,644.33,103.783,13,56.142,92,91.37,62.0,96
8.699,21,21,18,0.605,59.319,0.645,50.0,627.88,104.179,13,55.697,92,91.559,62.0,96
8.699,21,21,18,0.605,59.319,0.645,50.0,627.88,104.179,13,55.697,92,91.559,62.0,96
8.699,21,21,18,0.605,59.319,0.645,50.0,627.88,104.179,13,55.697,92,91.559,62.0,96
8.585,21,21,18,0.619,61.097,0.664,48.9,678.77,103.727,13,56.969,92,91.694,63.0,96
8.699,21,21,18,0.61,59.256,0.644,48.9,645.87,104.518,13,56.081,92,92.072,63.0,96
8.699,21,21,18,0.61,60.955,0.642,48.4,677.89,108.273,13,57.991,95,95.468,65.0,99
8.481,21,21,18,0.591,66.427,0.639,52.9,666.01,117.5,14,61.421,104,102.581,65.0,108
8.699,21,21,18,0.6,61.597,0.642,51.0,639.92,108.464,14,57.556,96,95.257,63.0,100
8.699,23,21,18,0.609,60.535,0.644,48.9,654.89,106.341,14,57.238,94,93.919,66.0,98
8.699,22,22,18,0.605,63.052,0.643,50.0,667.93,110.673,15,59.271,98,97.585,66.0,102
8.699,21,21,18,0.599,60.387,0.642,51.1,624.91,106.337,13,56.336,94,93.148,62.0,98
4.839,14,11,11,0.606,44.705,0.648,49.3,498.72,78.351,8,41.835,69,69.04,46.5,72
7.91,16,16,12,0.595,53.313,0.635,51.2,561.8,95.218,9,49.975,84,83.607,54.0,87
4.41,26,24,22,0.613,63.842,0.651,49.0,676.94,110.547,11,60.05,98,97.476,70.0,103
9.0,18,15,11,0.575,99.069,0.619,53.8,1047.59,182.728,31,91.939,160,159.282,91.5,165
9.155,33,33,23,0.615,96.2,0.646,47.7,1066.39,168.45,23,91.671,149,149.581,106.5,156
8.553,28,22,22,0.59,97.933,0.628,51.3,1045.5,177.934,23,91.973,156,155.548,100.0,163
8.215,32,32,24,0.61,95.296,0.644,48.6,1037.4,167.529,17,90.263,148,148.028,103.0,155
8.347,32,32,24,0.606,98.819,0.642,49.4,1065.46,174.36,19,93.317,154,153.795,105.0,161
8.494,32,32,24,0.602,102.342,0.64,50.0,1093.52,181.19,21,96.37,160,159.562,107.0,167
7.889,32,32,24,0.599,105.865,0.638,50.6,1121.58,188.021,23,99.424,166,165.33,109.0,173
7.907,32,32,24,0.596,109.388,0.636,51.2,1149.64,194.851,25,102.478,172,171.097,111.0,179
7.759,38,38,30,0.605,113.388,0.644,50.0,1197.68,198.851,24,106.478,176,175.097,119.0,184
8.496,32,32,24,0.6,106.319,0.637,50.3,1137.58,189.23,24,100.139,167,166.657,110.0,174
7.674,38,38,30,0.62,99.296,0.653,47.4,1085.44,171.529,16,94.263,152,152.028,111.0,160
9.0,20,20,12,0.575,108.285,0.612,53.1,1159.66,202.306,34,101.718,177,177.05,102.0,182
8.824,31,28,23,0.591,116.746,0.624,50.8,1274.75,213.014,35,110.455,187,187.479,118.5,194
8.301,31,28,23,0.592,114.984,0.625,50.5,1260.72,209.599,34,108.928,184,184.595,117.5,191
8.495,27,27,18,0.589,113.643,0.621,50.8,1252.69,208.436,35,107.841,183,183.93,114.0,189
9.0,33,26,28,0.612,89.251,0.647,47.8,1003.38,156.948,21,84.472,138,138.439,98.0,145
7.9,28,18,22,0.618,83.614,0.653,46.9,969.34,145.622,22,79.079,128,128.865,92.0,133
8.77,36,33,29,0.61,100.615,0.645,48.7,1089.49,176.732,21,95.118,156,155.788,109.5,164
8.538,36,33,29,0.606,104.138,0.643,49.4,1117.55,183.562,23,98.172,162,161.555,111.5,170
8.854,34,32,24,0.605,113.388,0.644,50.0,1197.68,198.851,26,106.478,176,175.097,119.0,183
8.854,32,32,24,0.593,112.91,0.634,51.7,1177.7,201.681,29,105.531,178,176.864,113.0,185
8.77,32,32,24,0.598,110.751,0.633,50.3,1197.64,198.479,30,104.622,175,175.079,114.0,182
9.0,32,32,24,0.596,114.728,0.63,50.5,1241.7,206.519,33,108.39,182,182.173,117.0,189
8.42,34,32,24,0.6,118.672,0.641,50.8,1239.77,209.097,29,111.058,185,183.748,122.0,192
8.456,48,42,40,0.598,143.036,0.639,50.9,1500.16,253.993,40,133.874,224,222.544,148.0,234
9.0,35,36,24,0.607,112.785,0.641,48.9,1231.66,199.436,26,106.896,176,176.188,121.0,184
8.268,34,28,28,0.595,109.888,0.632,50.6,1181.66,198.014,28,103.51,174,173.737,114.0,182
8.721,20,20,12,0.58,98.774,0.617,52.5,1057.5,182.439,27,92.854,160,159.984,95.0,165
8.824,20,20,12,0.58,103.66,0.613,52.1,1133.56,192.898,32,98.052,169,169.733,100.0,174
8.585,23,24,12,0.587,109.217,0.621,51.1,1195.64,200.685,30,103.38,176,176.61,109.0,182
8.959,24,22,12,0.595,107.694,0.626,50.0,1191.6,195.855,28,102.326,172,172.842,111.0,177
7.754,46,40,40,0.6,129.558,0.641,50.5,1359.96,229.083,34,121.284,202,200.587,136.0,212
7.495,38,38,30,0.612,106.342,0.648,48.8,1141.56,185.19,20,100.37,164,163.562,115.0,172
7.545,38,38,30,0.616,102.819,0.651,48.1,1113.5,178.36,18,97.317,158,157.795,113.0,166
7.313,32,32,24,0.597,107.876,0.635,50.6,1151.62,193.017,23,101.467,170,169.533,111.0,177
7.64,32,32,24,0.604,100.831,0.638,49.4,1095.5,179.356,19,95.36,158,157.999,107.0,165
7.485,32,32,24,0.608,100.069,0.641,48.7,1093.48,176.941,14,94.833,156,156.115,108.0,164
7.514,32,32,24,0.604,103.592,0.639,49.4,1121.54,183.772,16,97.886,162,161.882,110.0,170
7.996,44,44,36,0.623,109.285,0.654,46.7,1207.58,188.566,18,104.074,167,167.326,124.0,176
7.547,44,44,36,0.621,110.592,0.654,47.3,1205.61,190.772,18,104.886,169,168.882,124.0,178
7.562,38,38,30,0.613,104.831,0.647,48.1,1143.54,183.356,18,99.36,162,161.999,115.0,170
7.38,38,38,30,0.617,101.308,0.649,47.4,1115.48,176.526,16,96.306,156,156.232,113.0,164
7.664,38,38,30,0.617,101.308,0.649,47.4,1115.48,176.526,16,96.306,156,156.232,113.0,164
6.363,4,4,0,0.553,37.268,0.592,55.6,397.59,72.557,9,34.868,63,63.072,32.0,63
8.886,16,16,12,0.605,48.029,0.64,49.3,519.71,84.972,7,45.395,75,74.956,51.0,78
5.812,3,3,0,0.558,23.898,0.583,53.7,274.36,47.196,10,22.885,41,41.676,21.0,40
6.161,8,8,6,0.576,29.966,0.612,53.1,322.45,55.817,9,28.224,49,49.116,28.0,49
5.975,3,3,0,0.547,30.944,0.584,56.6,330.48,60.856,12,28.992,53,53.211,25.0,52
4.701,3,3,0,0.562,22.137,0.583,52.6,260.33,43.78,8,21.358,38,38.793,20.0,37
6.276,3,3,0,0.555,25.659,0.583,54.5,288.39,50.611,10,24.412,44,44.56,22.0,43
5.903,3,3,0,0.549,29.182,0.584,56.0,316.45,57.441,11,27.465,50,50.327,24.0,49
4.917,3,3,0,0.547,30.944,0.584,56.6,330.48,60.856,12,28.992,53,53.211,25.0,52
4.618,3,3,0,0.555,25.659,0.583,54.5,288.39,50.611,9,24.412,44,44.56,22.0,43
4.345,9,9,6,0.587,31.421,0.616,51.0,350.46,58.026,10,29.938,51,51.443,31.0,51
4.699,3,3,0,0.547,30.944,0.584,56.6,330.48,60.856,11,28.992,53,53.211,25.0,52
6.076,9,9,6,0.583,33.182,0.614,51.9,364.49,61.441,12,31.465,54,54.327,32.0,54
5.329,3,3,0,0.548,30.188,0.581,55.8,331.47,59.94,12,28.487,52,52.429,25.0,51
5.036,3,3,0,0.541,37.233,0.582,57.8,387.59,73.6,15,34.594,64,63.963,29.0,63
6.824,15,15,12,0.611,44.807,0.649,49.3,474.66,77.849,5,42.132,69,68.643,48.0,73
8.921,15,15,12,0.602,44.813,0.64,50.0,477.67,79.348,7,42.153,70,69.745,47.0,73
8.481,15,15,12,0.598,46.574,0.638,50.7,491.7,82.763,7,43.68,73,72.629,48.0,76
8.896,16,17,12,0.604,51.091,0.647,50.6,528.76,89.095,7,47.712,79,78.294,53.0,83
9.432,15,15,12,0.596,51.853,0.64,51.9,530.78,91.51,7,48.239,81,80.178,52.0,85
6.889,15,15,12,0.59,50.853,0.636,52.5,518.77,90.51,9,47.239,80,79.178,50.0,83
9.167,9,9,6,0.583,42.569,0.626,52.9,440.65,77.265,5,39.659,68,67.527,41.0,71
7.538,9,9,6,0.583,42.569,0.626,52.9,440.65,77.265,5,39.659,68,67.527,41.0,71
7.378,15,15,12,0.601,45.569,0.642,50.7,476.68,80.265,7,42.659,71,70.527,47.0,74
8.824,22,22,18,0.617,55.552,0.654,48.2,595.81,95.803,9,52.449,85,84.723,61.0,89
8.432,21,21,18,0.611,54.097,0.652,49.4,567.8,93.593,9,50.734,83,82.396,58.0,87
7.481,14,13,11,0.592,46.33,0.635,52.1,478.7,82.68,7,43.186,73,72.41,46.5,76
8.886,15,15,12,0.605,43.807,0.644,50.0,462.65,76.849,7,41.132,68,67.643,46.0,71
8.523,21,21,18,0.627,47.807,0.664,47.2,510.69,80.849,7,45.132,72,71.643,54.0,76
7.886,21,21,18,0.622,49.569,0.661,48.0,524.72,84.265,7,46.659,75,74.527,55.0,79
8.959,15,15,12,0.611,44.807,0.649,49.3,474.66,77.849,5,42.132,69,68.643,48.0,73
8.699,21,21,18,0.601,59.381,0.645,51.1,609.89,103.839,13,55.314,92,91.047,61.0,96
