pXC50,nHM,nCL,nAB,MW,nSK,nBO,Se,nC,nAT,nCsp3,Sp,nBM,Sv,SCBO,nHet
5.046,1,0,6,411.28,25.0,26.0,45.022,17,44.0,8,29.489,9,28.383,33.0,8
4.983,0,0,6,254.29,19.0,21.0,31.436,14,31.0,3,21.352,10,20.864,29.0,5
6.352,0,0,17,336.36,26.0,30.0,38.276,22,38.0,1,28.727,21,28.106,43.5,4
6.556,0,0,23,398.43,31.0,36.0,45.16,27,45.0,0,34.489,27,33.633,52.5,4
6.517,0,0,17,352.36,27.0,31.0,39.604,22,39.0,1,29.182,21,28.821,44.5,5
6.131,0,0,17,364.42,28.0,32.0,44.043,24,44.0,3,32.25,21,31.16,45.5,4
6.023,1,0,17,368.43,27.0,31.0,39.353,22,39.0,1,30.375,21,29.294,44.5,5
6.466,1,0,17,408.55,30.0,34.0,49.56,26,50.0,5,36.966,21,34.686,47.5,4
6.418,2,0,17,417.29,26.0,30.0,35.371,21,35.0,0,29.512,21,28.077,43.5,5
6.48,1,0,17,353.42,26.0,30.0,37.244,21,37.0,0,29.165,21,28.073,43.5,5
8.06,3,1,35,837.55,58.0,64.0,103.389,43,103.0,11,71.484,39,67.241,85.5,15
7.678,3,1,35,879.59,61.0,68.0,108.599,45,108.0,13,74.699,39,70.483,89.5,16
7.886,4,1,35,924.62,62.0,68.0,108.668,44,107.0,12,74.461,39,70.611,89.5,18
7.092,4,1,35,966.66,65.0,72.0,113.879,46,112.0,14,77.677,39,73.852,93.5,19
7.921,3,1,29,869.65,60.0,66.0,112.923,45,113.0,17,76.529,34,71.349,85.5,15
7.678,3,1,29,911.69,63.0,70.0,118.134,47,118.0,19,79.745,34,74.59,89.5,16
8.301,4,1,29,956.72,64.0,70.0,118.203,46,117.0,18,79.506,34,74.718,89.5,18
7.076,4,1,29,998.76,67.0,74.0,123.414,48,122.0,20,82.722,34,77.959,93.5,19
5.22,0,0,17,336.36,26.0,30.0,38.276,22,38.0,1,28.727,21,28.106,43.5,4
5.845,0,0,17,336.36,26.0,30.0,38.276,22,38.0,1,28.727,21,28.106,43.5,4
6.053,0,0,17,352.36,27.0,31.0,39.604,22,39.0,1,29.182,21,28.821,44.5,5
4.78,0,0,17,352.36,27.0,31.0,39.604,22,39.0,1,29.182,21,28.821,44.5,5
6.801,0,0,17,378.45,29.0,33.0,46.927,25,47.0,4,34.012,21,32.687,46.5,4
6.234,0,0,12,256.22,19.0,21.0,28.171,14,27.0,0,19.318,14,19.681,29.0,5
4.523,2,0,18,639.92,44.0,47.0,85.203,32,85.0,13,56.302,23,52.538,61.0,12
5.423,2,0,18,627.81,43.0,45.0,77.323,29,76.0,8,51.165,25,48.86,61.0,14
5.471,2,0,18,627.81,43.0,45.0,77.323,29,76.0,8,51.165,25,48.86,61.0,14
5.453,3,0,18,645.85,43.0,45.0,75.516,28,74.0,7,51.051,25,48.52,61.0,15
5.47,2,0,24,661.82,46.0,49.0,78.44,32,77.0,5,53.404,31,51.333,68.0,14
6.081,2,0,28,700.86,49.0,53.0,82.542,34,81.0,5,56.409,35,54.355,74.0,15
5.023,2,0,18,613.78,42.0,44.0,74.44,28,73.0,7,49.404,25,47.333,60.0,14
5.777,2,0,24,576.7,40.0,43.0,65.36,28,64.0,2,45.659,30,44.017,61.0,12
5.963,2,0,24,594.69,41.0,44.0,65.873,28,64.0,2,45.597,30,44.4,62.0,13
5.854,2,0,24,594.69,41.0,44.0,65.873,28,64.0,2,45.597,30,44.4,62.0,13
6.032,2,0,24,594.69,41.0,44.0,65.873,28,64.0,2,45.597,30,44.4,62.0,13
6.119,3,0,24,655.59,41.0,44.0,65.589,28,64.0,2,47.011,30,45.042,62.0,13
6.097,2,0,24,606.73,42.0,45.0,69.571,29,68.0,3,47.875,30,46.258,63.0,13
4.818,3,0,24,612.76,41.0,44.0,66.764,27,65.0,2,46.761,31,44.918,63.0,14
7.26,2,0,18,681.96,47.0,51.0,90.414,34,90.0,15,59.517,23,55.779,65.0,13
5.34,2,0,24,620.81,43.0,46.0,75.894,31,75.0,6,51.705,29,49.124,63.0,12
6.437,2,0,24,704.89,49.0,53.0,86.316,35,85.0,9,58.137,30,55.607,71.0,14
7.231,2,0,24,790.11,55.0,59.0,106.276,41,106.0,16,70.018,29,65.601,76.0,14
5.0,2,0,18,583.75,40.0,43.0,70.229,27,69.0,7,47.188,24,45.092,58.0,13
5.541,2,0,18,641.84,44.0,47.0,80.207,30,79.0,10,52.926,24,50.387,62.0,14
6.936,2,0,24,762.05,53.0,57.0,100.509,39,100.0,14,66.495,29,62.548,74.0,14
5.666,2,0,24,762.05,53.0,57.0,100.509,39,100.0,14,66.495,29,62.548,74.0,14
5.378,1,0,34,698.85,51.0,57.0,85.701,40,85.0,6,59.818,39,57.463,79.0,11
6.18,1,0,34,740.94,54.0,60.0,94.352,43,94.0,9,65.103,39,62.044,82.0,11
6.77,1,0,34,712.88,52.0,58.0,88.585,41,88.0,7,61.58,39,58.99,80.0,11
7.215,1,0,34,698.9,51.0,57.0,89.141,41,89.0,8,61.887,38,58.802,78.0,10
5.747,1,0,34,770.97,56.0,62.0,98.563,44,98.0,10,67.319,39,64.285,84.0,12
6.854,1,0,40,833.04,61.0,68.0,105.447,49,105.0,9,73.08,45,69.812,93.0,12
7.0,1,0,40,833.04,61.0,68.0,105.447,49,105.0,9,73.08,45,69.812,93.0,12
6.886,1,0,40,791.0,58.0,65.0,100.236,47,100.0,8,69.864,44,66.571,89.0,11
7.658,2,1,40,825.44,59.0,66.0,100.56,47,100.0,8,70.722,44,67.398,90.0,12
8.097,2,1,40,825.44,59.0,66.0,100.56,47,100.0,8,70.722,44,67.398,90.0,12
7.347,1,0,34,771.02,56.0,62.0,102.003,45,102.0,12,69.387,38,65.624,83.0,11
8.155,1,0,40,775.0,57.0,64.0,98.909,47,99.0,8,69.41,44,65.856,88.0,10
7.699,1,0,34,742.96,54.0,60.0,96.236,43,96.0,10,65.864,38,62.571,81.0,11
7.854,1,0,34,756.99,55.0,61.0,99.119,44,99.0,11,67.625,38,64.097,82.0,11
7.149,1,0,34,728.93,53.0,59.0,93.352,42,93.0,9,64.103,38,61.044,80.0,11
7.959,1,0,34,728.93,53.0,59.0,93.352,42,93.0,9,64.103,38,61.044,80.0,11
7.62,1,0,34,727.95,53.0,59.0,94.127,42,94.0,9,64.654,38,61.35,80.0,11
6.721,2,0,23,673.0,47.0,51.0,90.57,36,91.0,13,62.228,27,57.267,66.5,11
6.721,2,1,29,727.34,51.0,56.0,90.676,39,90.0,10,61.961,33,58.871,74.5,12
7.187,2,1,29,769.43,54.0,59.0,99.327,42,99.0,13,67.245,33,63.452,77.5,12
8.222,3,2,40,859.88,60.0,67.0,100.883,47,100.0,8,71.58,44,68.226,91.0,13
6.155,1,0,29,675.92,49.0,54.0,89.799,39,90.0,11,61.199,33,57.636,72.5,10
6.921,2,1,29,710.36,50.0,55.0,90.123,39,90.0,11,62.057,33,58.463,73.5,11
6.854,2,0,29,801.81,50.0,55.0,89.869,39,90.0,11,63.858,33,58.952,73.5,11
6.921,3,2,30,825.93,57.0,63.0,103.199,44,103.0,14,71.205,34,66.892,82.0,13
6.367,1,0,29,704.97,51.0,56.0,94.785,40,95.0,12,63.966,33,60.184,74.5,11
6.796,2,1,29,740.39,52.0,57.0,94.334,40,94.0,12,64.273,33,60.705,75.5,12
6.796,2,1,29,710.36,50.0,55.0,90.123,39,90.0,11,62.057,33,58.463,73.5,11
6.959,1,0,29,689.95,50.0,55.0,92.683,40,93.0,12,62.961,33,59.162,73.5,10
6.824,1,0,29,647.86,47.0,52.0,84.032,37,84.0,9,57.677,33,54.582,70.5,10
7.824,3,2,29,745.79,51.0,56.0,89.665,38,89.0,10,62.159,33,58.785,74.5,13
8.046,3,2,29,746.77,51.0,56.0,88.891,38,88.0,10,61.608,33,58.479,74.5,13
7.456,5,4,30,750.5,48.0,52.0,76.163,35,74.0,4,55.205,33,53.068,70.0,13
6.041,4,3,23,747.2,49.0,53.0,88.098,35,87.0,12,60.228,27,56.833,68.5,14
7.495,2,1,28,740.39,52.0,57.0,94.334,40,94.0,12,64.273,33,60.705,76.0,12
6.745,3,1,28,832.52,57.0,62.0,103.832,42,103.0,14,70.353,35,66.375,83.0,15
6.959,2,1,28,869.57,61.0,67.0,114.508,46,114.0,18,75.995,33,71.79,86.0,15
6.398,2,1,28,869.57,61.0,67.0,114.508,46,114.0,18,75.995,33,71.79,86.0,15
7.824,2,1,34,890.53,63.0,69.0,111.967,48,111.0,13,75.921,40,72.43,92.0,15
7.456,3,1,28,866.28,53.0,58.0,94.403,40,94.0,12,66.932,33,62.022,77.0,13
7.432,3,1,28,866.28,53.0,58.0,94.403,40,94.0,12,66.932,33,62.022,77.0,13
7.495,2,1,23,731.39,51.0,56.0,94.436,38,94.0,14,63.279,28,59.726,72.5,13
6.553,4,3,29,904.38,61.0,67.0,107.178,45,106.0,14,73.972,35,70.15,87.5,16
7.108,2,1,23,759.45,53.0,58.0,100.203,40,100.0,16,66.802,28,62.78,74.5,13
7.796,4,3,29,890.4,60.0,66.0,107.734,45,107.0,15,74.279,34,69.962,85.5,15
6.149,2,1,28,754.42,53.0,58.0,97.218,41,97.0,13,66.035,33,62.232,77.0,12
7.456,2,1,28,770.42,54.0,59.0,98.545,41,98.0,13,66.489,33,62.946,78.0,13
7.658,2,1,28,842.54,59.0,64.0,111.407,45,111.0,17,73.989,33,69.768,83.0,14
7.432,2,1,28,841.56,59.0,64.0,112.181,45,112.0,17,74.54,33,70.075,83.0,14
8.046,2,1,28,769.44,54.0,59.0,99.319,41,99.0,13,67.04,33,63.253,78.0,13
6.854,2,1,28,852.59,60.0,66.0,113.956,46,114.0,18,76.092,33,71.382,85.0,14
7.854,2,1,28,839.54,59.0,65.0,110.298,45,110.0,17,73.779,33,69.548,84.0,14
7.328,2,1,28,823.54,58.0,64.0,108.97,45,109.0,17,73.325,33,68.833,83.0,13
6.921,2,1,28,742.36,52.0,57.0,92.778,39,92.0,11,62.966,33,59.893,76.0,13
7.585,2,1,28,741.38,52.0,57.0,93.552,39,93.0,11,63.517,33,60.199,76.0,13
5.451,2,0,18,612.8,42.0,45.0,75.214,28,74.0,8,49.955,24,47.64,60.0,14
6.396,2,0,24,690.91,48.0,52.0,86.872,35,86.0,10,58.443,29,55.419,69.0,13
5.0,2,0,18,542.69,37.0,40.0,64.243,25,63.0,6,43.421,23,41.543,54.0,12
4.108,1,1,17,525.15,37.0,40.0,73.734,29,74.0,12,48.188,18,45.013,49.5,8
4.0,2,0,12,424.6,28.0,29.0,52.705,18,52.0,6,34.75,16,32.587,39.0,10
8.38,3,1,35,1135.98,79.0,86.0,150.505,58,150.0,22,99.45,41,93.465,109.5,21
8.886,3,1,35,1107.97,77.0,84.0,148.177,57,148.0,22,97.995,40,91.75,106.5,20
8.854,3,1,40,1090.89,76.0,83.0,140.745,55,140.0,18,93.955,45,88.664,108.0,21
8.721,3,1,35,1075.86,75.0,81.0,138.65,56,138.0,18,93.154,42,87.842,106.5,19
8.502,3,1,35,1047.85,73.0,79.0,136.323,55,136.0,18,91.7,41,86.127,103.5,18
7.515,3,1,35,1081.93,75.0,81.0,144.294,55,144.0,20,95.234,40,89.223,103.5,20
7.47,3,1,35,1107.97,77.0,84.0,148.177,57,148.0,22,97.995,40,91.75,106.5,20
7.366,3,1,30,785.51,54.0,59.0,99.069,41,99.0,11,68.234,34,63.725,78.0,13
4.0,2,0,18,500.7,34.0,36.0,62.472,24,62.0,6,42.273,22,39.641,49.0,10
9.222,3,1,35,1033.88,72.0,79.0,136.872,54,137.0,19,91.802,40,85.74,101.5,18
8.599,3,1,35,907.65,63.0,69.0,114.367,47,114.0,12,78.222,40,73.537,91.5,16
7.38,3,1,35,850.59,59.0,65.0,107.054,45,107.0,11,74.001,39,69.274,86.5,14
7.638,3,1,35,922.66,64.0,70.0,116.476,48,116.0,13,79.432,40,74.757,92.5,16
8.77,3,1,35,894.6,62.0,68.0,110.709,46,110.0,11,75.91,40,71.703,90.5,16
8.387,3,1,35,922.66,64.0,70.0,116.476,48,116.0,13,79.432,40,74.757,92.5,16
-4.0,0,0,12,290.29,21.0,23.0,36.149,15,35.0,3,23.057,12,22.976,29.0,6
4.496,0,0,12,287.34,21.0,22.0,38.48,16,38.0,3,24.915,13,24.095,29.0,5
5.143,0,0,18,335.38,25.0,27.0,42.48,20,42.0,1,28.915,19,28.095,37.0,5
8.301,3,1,35,921.68,64.0,70.0,117.25,48,117.0,13,79.984,40,75.063,92.5,16
8.886,3,1,35,908.63,63.0,69.0,113.592,47,113.0,12,77.671,40,73.23,91.5,16
7.004,3,1,35,864.62,60.0,66.0,109.938,46,110.0,12,75.762,39,70.8,87.5,14
8.699,3,1,35,922.66,64.0,70.0,116.476,48,116.0,13,79.432,40,74.757,92.5,16
8.854,3,1,35,936.69,65.0,71.0,119.359,49,119.0,14,81.194,40,76.284,93.5,16
4.301,1,0,24,615.85,44.0,47.0,84.814,36,85.0,11,56.608,27,53.033,62.0,8
6.39,2,1,29,810.55,57.0,63.0,108.745,44,109.0,15,72.876,32,68.14,80.5,13
7.991,4,1,35,1051.77,71.0,78.0,126.967,51,125.0,16,85.626,40,81.368,100.5,20
7.73,4,1,35,1065.8,72.0,79.0,129.85,52,128.0,17,87.387,40,82.894,101.5,20
8.595,4,1,35,1065.8,72.0,79.0,129.85,52,128.0,17,87.387,40,82.894,101.5,20
8.398,4,1,35,1079.83,73.0,80.0,132.734,53,131.0,18,89.148,40,84.421,102.5,20
7.521,4,1,35,1079.83,73.0,80.0,132.734,53,131.0,18,89.148,40,84.421,102.5,20
7.403,4,1,35,1093.86,74.0,81.0,135.617,54,134.0,19,90.91,40,85.948,103.5,20
5.694,2,1,29,838.61,59.0,65.0,114.512,46,115.0,17,76.399,32,71.194,82.5,13
6.815,3,1,29,912.59,62.0,68.0,112.687,44,111.0,15,74.79,34,71.192,87.5,18
5.595,3,1,29,858.62,59.0,65.0,111.148,44,111.0,15,74.978,34,70.042,84.5,15
6.376,3,1,29,872.65,60.0,66.0,114.032,45,114.0,16,76.739,34,71.569,85.5,15
6.368,3,1,29,884.66,61.0,68.0,115.032,46,115.0,17,77.739,34,72.569,87.5,15
8.357,4,1,35,995.7,67.0,73.0,118.872,48,117.0,13,80.648,40,76.599,95.5,19
7.555,4,1,35,1037.74,70.0,77.0,124.083,50,122.0,15,83.864,40,79.841,99.5,20
8.448,4,1,35,1007.71,68.0,75.0,119.872,49,118.0,14,81.648,40,77.599,97.5,19
8.413,4,1,35,1021.74,69.0,76.0,122.756,50,121.0,15,83.41,40,79.126,98.5,19
7.807,4,1,35,1035.77,70.0,77.0,125.639,51,124.0,16,85.171,40,80.653,99.5,19
8.442,4,1,35,1023.71,69.0,76.0,121.199,49,119.0,14,82.103,40,78.314,98.5,20
6.932,2,1,29,825.52,58.0,64.0,107.407,43,107.0,14,71.813,34,67.823,83.5,15
5.658,2,1,29,780.52,55.0,61.0,104.534,43,105.0,14,70.66,32,65.898,78.5,12
6.304,2,1,29,798.51,56.0,62.0,105.047,43,105.0,14,70.597,32,66.282,79.5,13
6.474,3,2,29,814.96,56.0,62.0,104.858,43,105.0,14,71.518,32,66.726,79.5,13
6.593,3,1,29,859.41,56.0,62.0,104.763,43,105.0,14,72.012,32,66.924,79.5,13
6.528,2,1,29,848.52,59.0,65.0,108.956,44,108.0,15,72.234,32,68.575,82.5,15
6.456,2,1,29,794.55,56.0,62.0,107.417,44,108.0,15,72.421,32,67.425,79.5,12
6.502,2,1,29,808.58,57.0,63.0,110.301,45,111.0,16,74.183,32,68.952,80.5,12
5.719,2,1,29,836.64,59.0,65.0,116.068,47,117.0,18,77.705,32,72.006,82.5,12
6.412,2,1,29,864.52,60.0,66.0,110.283,44,109.0,15,72.688,32,69.29,83.5,16
5.789,2,1,29,824.58,58.0,64.0,111.628,45,112.0,16,74.637,32,69.667,81.5,13
5.456,0,0,22,411.59,31.0,35.0,59.12,27,60.0,9,40.37,22,37.627,46.0,4
5.569,0,0,22,427.59,32.0,36.0,60.447,27,61.0,9,40.824,22,38.342,47.0,5
5.036,0,0,22,441.62,33.0,37.0,63.33,28,64.0,10,42.586,22,39.869,48.0,5
5.18,0,0,22,441.62,33.0,37.0,63.33,28,64.0,10,42.586,22,39.869,48.0,5
5.854,0,0,22,436.65,33.0,38.0,63.778,29,65.0,11,43.682,22,40.461,49.0,4
5.597,1,0,24,475.55,34.0,37.0,55.978,26,55.0,1,38.994,27,37.765,52.0,8
6.538,1,0,24,573.76,41.0,44.0,76.163,33,76.0,8,51.324,27,48.453,59.0,8
6.18,2,0,30,797.07,56.0,61.0,101.585,42,101.0,11,68.768,35,64.996,81.0,14
7.06,2,0,18,427.28,26.0,29.0,37.916,20,37.0,0,29.386,20,28.232,40.0,6
7.357,1,0,18,362.42,26.0,29.0,40.571,21,40.0,1,29.796,20,28.734,40.0,5
7.149,1,0,18,348.39,25.0,28.0,37.687,20,37.0,0,28.034,20,27.207,39.0,5
7.62,1,0,18,390.48,28.0,31.0,46.338,23,46.0,3,33.318,20,31.788,42.0,5
6.879,1,0,12,319.11,19.0,21.0,27.073,14,26.0,0,20.216,14,19.992,29.0,5
6.377,0,0,12,240.22,18.0,20.0,26.844,14,26.0,0,18.864,14,18.966,28.0,4
7.627,3,1,30,813.52,56.0,61.0,101.396,42,101.0,11,69.688,35,65.44,81.0,14
5.721,3,1,30,813.52,56.0,61.0,101.396,42,101.0,11,69.688,35,65.44,81.0,14
5.18,1,0,18,510.66,36.0,39.0,66.614,27,66.0,8,44.046,21,41.894,51.0,9
4.418,0,0,12,327.41,24.0,26.0,45.247,19,45.0,6,29.438,13,28.149,33.0,5
6.0,2,0,18,712.04,49.0,52.0,98.065,36,98.0,17,63.802,23,59.36,66.0,13
7.699,2,0,30,808.12,57.0,62.0,106.065,44,106.0,13,71.802,35,67.36,82.0,13
5.959,2,0,30,808.12,57.0,62.0,106.065,44,106.0,13,71.802,35,67.36,82.0,13
4.222,1,1,12,300.86,21.0,23.0,41.363,18,42.0,6,28.483,12,26.138,29.0,3
5.86,2,0,24,700.96,49.0,53.0,89.421,36,89.0,10,60.546,30,57.032,71.0,13
6.086,2,0,30,780.07,55.0,60.0,100.29,41,100.0,11,68.074,35,64.107,80.0,14
6.745,2,0,30,776.07,55.0,60.0,99.97,43,100.0,10,68.824,36,64.591,81.0,12
6.886,2,0,24,770.98,53.0,57.0,95.727,37,94.0,12,62.881,29,60.236,74.0,16
6.886,3,0,24,749.08,51.0,55.0,95.265,37,95.0,12,64.716,29,60.273,72.0,14
6.469,2,0,24,800.16,56.0,61.0,108.825,42,109.0,17,72.12,29,67.214,78.0,14
5.444,2,0,24,767.97,53.0,57.0,94.625,38,93.0,11,62.875,30,60.214,75.0,15
7.77,0,0,18,602.68,44.0,48.0,79.294,34,78.0,10,51.489,22,50.104,61.0,10
6.137,0,0,6,264.3,19.0,20.0,35.705,14,35.0,5,22.364,8,21.788,25.0,5
5.678,1,0,11,392.51,28.0,32.0,48.214,22,48.0,7,33.875,15,32.116,41.5,6
5.658,1,0,11,378.48,27.0,31.0,45.331,21,45.0,6,32.114,15,30.589,40.5,6
7.099,1,0,17,427.61,31.0,35.0,55.429,26,56.0,6,39.495,20,36.761,46.5,5
7.7,1,0,23,461.62,34.0,39.0,56.545,29,57.0,3,41.733,26,39.234,53.5,5
6.45,1,0,17,414.56,30.0,34.0,51.771,25,52.0,5,37.182,20,34.927,45.5,5
6.688,1,0,17,442.62,32.0,36.0,57.538,27,58.0,7,40.705,20,37.981,47.5,5
7.242,1,0,23,478.6,35.0,40.0,57.098,29,57.0,3,41.637,26,39.642,54.5,6
6.491,0,0,17,410.55,31.0,35.0,56.461,27,57.0,7,39.057,20,36.794,46.5,4
6.738,0,0,17,438.61,33.0,37.0,62.229,29,63.0,9,42.58,20,39.848,48.5,4
7.379,0,0,23,472.62,36.0,41.0,63.345,32,64.0,6,44.819,26,42.321,55.5,4
5.0,1,0,11,363.52,26.0,30.0,46.662,21,47.0,7,32.972,14,30.707,38.5,5
5.0,1,0,17,411.56,30.0,35.0,50.662,25,51.0,5,36.972,20,34.707,46.5,5
5.886,1,0,17,467.68,34.0,39.0,62.196,29,63.0,9,44.017,20,40.814,50.5,5
6.702,1,0,11,377.55,27.0,31.0,49.545,22,50.0,8,34.733,14,32.234,39.5,5
7.019,1,0,11,405.61,29.0,33.0,55.312,24,56.0,10,38.256,14,35.288,41.5,5
7.31,1,0,17,439.62,32.0,37.0,56.429,27,57.0,7,40.495,20,37.761,48.5,5
6.721,1,0,17,399.55,29.0,33.0,49.662,24,50.0,4,35.972,20,33.707,44.5,5
4.824,0,0,27,435.55,33.0,37.0,57.687,29,58.0,4,40.506,28,38.487,51.5,4
5.276,2,1,16,374.91,25.0,27.0,44.218,20,44.0,5,31.483,17,29.427,36.0,5
6.097,3,2,16,409.35,26.0,28.0,44.542,20,44.0,5,32.341,17,30.255,37.0,6
6.018,2,1,21,396.91,27.0,30.0,44.334,22,44.0,3,32.722,22,30.9,41.5,5
5.041,1,1,16,343.83,24.0,26.0,42.36,19,42.0,4,29.08,17,27.735,35.0,5
5.276,1,1,16,357.86,25.0,27.0,45.243,20,45.0,5,30.841,17,29.261,36.0,5
5.569,0,0,21,345.42,26.0,29.0,45.036,22,45.0,3,31.222,22,29.907,40.5,4
5.854,2,2,16,378.27,25.0,27.0,42.684,19,42.0,4,29.938,17,28.562,36.0,6
6.06,2,2,16,392.3,26.0,28.0,45.567,20,45.0,5,31.699,17,30.089,37.0,6
6.018,1,1,21,379.86,27.0,30.0,45.36,22,45.0,3,32.08,22,30.735,41.5,5
5.131,1,1,16,371.89,26.0,28.0,48.127,21,48.0,6,32.603,17,30.788,37.0,5
4.824,0,0,21,359.45,27.0,30.0,47.92,23,48.0,4,32.983,22,31.434,41.5,4
5.013,1,0,21,362.47,26.0,29.0,44.011,22,44.0,3,31.864,22,30.073,40.5,4
5.367,0,0,21,346.4,26.0,29.0,44.262,22,44.0,3,30.671,22,29.6,40.5,4
6.916,4,1,30,960.63,64.0,70.0,112.392,44,110.0,15,75.614,35,72.235,90.0,20
7.633,5,2,30,963.1,63.0,69.0,112.759,44,111.0,16,76.842,34,72.492,88.0,19
7.337,4,1,30,996.66,66.0,72.0,116.857,45,114.0,17,77.558,34,74.341,91.0,21
5.398,3,1,35,877.61,61.0,68.0,110.163,47,110.0,13,76.211,39,71.494,89.5,14
7.167,3,1,35,836.56,58.0,64.0,104.17,44,104.0,11,72.239,39,67.747,85.5,14
5.071,3,1,34,841.55,58.0,64.0,103.709,41,103.0,12,70.734,38,66.757,85.0,17
7.602,3,1,34,827.52,57.0,63.0,100.825,40,100.0,11,68.972,38,65.23,84.0,17
7.812,4,1,30,874.59,59.0,65.0,104.018,42,103.0,11,72.035,37,67.837,87.0,17
8.301,4,1,29,959.68,64.0,71.0,115.865,44,114.0,18,77.444,33,73.4,89.5,20
6.131,4,1,30,956.67,64.0,71.0,114.763,45,113.0,17,77.438,34,73.379,90.0,19
8.268,4,1,35,958.68,65.0,71.0,114.432,45,113.0,11,78.262,42,74.121,95.5,20
8.149,3,1,35,895.59,62.0,68.0,109.927,45,109.0,11,75.154,40,71.198,90.5,17
8.432,3,1,35,895.59,62.0,68.0,109.927,45,109.0,11,75.154,40,71.198,90.5,17
8.42,3,1,35,895.58,62.0,68.0,109.934,46,109.0,11,75.358,40,71.397,90.5,16
8.0,3,1,35,936.69,65.0,71.0,119.359,49,119.0,14,81.194,40,76.284,93.5,16
7.638,3,1,35,950.72,66.0,72.0,122.243,50,122.0,15,82.955,40,77.81,94.5,16
8.745,4,1,35,999.78,68.0,74.0,123.865,49,123.0,14,84.302,42,79.207,98.5,19
