pXC50,nAB,nBM,nCsp2,nC,H.,Mv,AMW,C.,RBF,N.,nN,nSK,Mp
6.92,10,11,9,21,50.0,0.606,6.817,40.4,0.036,3.8,2,26,0.644
5.6,6,6,6,11,55.6,0.582,5.973,40.7,0.071,3.7,1,12,0.642
5.18,11,12,10,18,47.7,0.63,7.443,40.9,0.064,6.8,3,23,0.681
5.68,6,6,6,12,56.3,0.571,5.947,37.5,0.091,6.3,2,14,0.628
5.34,6,6,6,13,57.6,0.569,5.737,39.4,0.088,3.0,1,14,0.632
6.35,12,13,12,19,47.7,0.625,6.987,43.2,0.064,6.8,3,23,0.666
5.0,11,12,10,19,48.9,0.612,6.924,40.4,0.08,6.4,3,24,0.65
6.63,11,13,12,22,47.1,0.625,7.245,43.1,0.093,2.0,1,27,0.656
7.06,11,13,12,21,45.8,0.642,7.74,43.8,0.098,2.1,1,26,0.685
6.68,11,12,11,21,50.0,0.606,6.817,40.4,0.091,3.8,2,26,0.644
5.14,12,14,14,25,47.5,0.621,7.23,42.4,0.129,3.4,2,31,0.652
5.68,6,7,8,13,54.8,0.588,6.042,41.9,0.094,3.2,1,14,0.648
5.515,6,6,6,12,56.7,0.575,5.843,40.0,0.097,3.3,1,13,0.637
5.92,6,6,6,10,55.6,0.571,6.121,37.0,0.111,3.7,1,12,0.622
8.097,10,10,8,10,48.0,0.616,7.05,40.0,0.077,8.0,2,13,0.651
7.01,11,12,10,19,48.9,0.622,7.266,40.4,0.08,6.4,3,24,0.675
6.3,15,16,12,22,45.1,0.635,7.499,43.1,0.073,3.9,2,28,0.661
5.54,6,6,6,10,55.6,0.571,6.121,37.0,0.111,3.7,1,12,0.622
7.82,15,16,12,13,36.7,0.709,9.647,43.3,0.063,10.0,3,19,0.76
7.28,6,6,6,11,54.8,0.57,6.3,35.5,0.097,3.2,1,14,0.613
5.44,12,12,12,18,52.3,0.596,6.487,40.9,0.156,2.3,1,21,0.643
6.68,6,6,6,11,54.8,0.57,6.3,35.5,0.129,3.2,1,14,0.613
5.45,6,6,6,10,53.6,0.576,6.474,35.7,0.107,3.6,1,13,0.616
6.85,6,6,6,9,52.0,0.584,6.689,36.0,0.12,4.0,1,12,0.619
6.83,6,6,6,10,53.6,0.576,6.474,35.7,0.107,3.6,1,13,0.616
5.6,6,6,6,10,53.6,0.576,6.474,35.7,0.107,3.6,1,13,0.616
6.64,6,6,6,12,55.9,0.564,6.156,35.3,0.118,2.9,1,15,0.611
7.515,6,6,6,11,54.8,0.57,6.3,35.5,0.097,3.2,1,14,0.613
8.215,10,10,7,10,44.4,0.622,7.75,37.0,0.071,11.1,3,15,0.638
8.066,10,10,7,9,45.8,0.62,7.385,37.5,0.08,12.5,3,13,0.647
8.377,10,10,7,11,50.0,0.598,6.843,36.7,0.097,10.0,3,15,0.635
8.051,10,10,7,11,50.0,0.598,6.843,36.7,0.065,10.0,3,15,0.635
8.1,16,17,14,19,45.5,0.637,7.282,43.2,0.064,9.1,4,24,0.672
7.229,12,13,13,22,47.2,0.621,7.235,41.5,0.143,1.9,1,28,0.649
7.638,19,19,12,17,42.5,0.647,7.784,42.5,0.093,7.5,3,23,0.668
6.886,11,11,8,17,47.7,0.612,7.168,38.6,0.085,6.8,3,23,0.642
5.52,10,10,8,11,48.0,0.627,6.89,44.0,0.0,8.0,2,13,0.673
8.377,10,10,8,11,50.0,0.604,6.795,39.3,0.069,7.1,2,14,0.644
5.45,6,6,6,11,54.8,0.57,6.3,35.5,0.129,3.2,1,14,0.613
5.16,6,6,6,10,55.6,0.571,6.121,37.0,0.111,3.7,1,12,0.622
5.54,6,6,6,11,54.8,0.57,6.3,35.5,0.129,3.2,1,14,0.613
5.61,6,6,6,12,55.9,0.564,6.156,35.3,0.118,2.9,1,15,0.611
5.6,6,6,6,11,54.8,0.57,6.3,35.5,0.129,3.2,1,14,0.613
5.86,6,6,6,12,55.9,0.564,6.156,35.3,0.118,2.9,1,15,0.611
5.09,6,6,6,11,58.6,0.56,5.631,37.9,0.138,3.4,1,12,0.624
8.48,16,17,14,17,42.1,0.657,7.694,44.7,0.024,10.5,4,22,0.685
5.61,6,6,6,10,54.2,0.591,6.135,41.7,0.0,4.2,1,11,0.649
5.6,6,6,6,12,54.3,0.569,6.438,34.3,0.143,2.9,1,16,0.606
5.09,6,6,6,11,54.8,0.57,6.3,35.5,0.129,3.2,1,14,0.613
5.07,6,6,6,12,54.3,0.569,6.438,34.3,0.143,2.9,1,16,0.606
7.2,12,14,14,23,47.1,0.631,7.166,45.1,0.074,2.0,1,27,0.666
5.0,12,14,14,25,49.2,0.614,6.925,42.4,0.113,3.4,2,30,0.653
8.569,10,10,8,12,51.6,0.595,6.59,38.7,0.094,6.5,2,15,0.639
8.47,16,16,14,19,43.9,0.648,7.619,46.3,0.045,4.9,2,23,0.677
7.775,16,17,14,17,42.1,0.657,7.694,44.7,0.024,10.5,4,22,0.685
5.75,6,6,6,11,51.6,0.603,8.845,35.5,0.129,3.2,1,15,0.657
7.34,6,6,6,15,54.1,0.589,6.172,40.5,0.0,5.4,2,17,0.645
9.29,16,16,14,22,50.0,0.611,6.74,42.3,0.073,3.8,2,26,0.655
5.77,6,6,6,12,54.3,0.582,6.897,34.3,0.143,2.9,1,16,0.64
9.0,16,16,14,21,49.0,0.618,6.867,42.9,0.077,4.1,2,25,0.659
7.26,10,10,8,19,53.3,0.596,6.232,42.2,0.0,4.4,2,21,0.653
6.73,22,22,20,27,46.7,0.634,7.143,45.0,0.109,3.3,2,32,0.671
8.57,16,16,14,22,50.0,0.611,6.74,42.3,0.109,3.8,2,26,0.655
6.52,16,16,14,21,46.8,0.633,7.116,44.7,0.039,4.3,2,25,0.671
8.04,16,16,14,19,47.6,0.631,6.962,45.2,0.067,4.8,2,22,0.674
9.02,16,16,14,21,46.9,0.639,8.477,42.9,0.077,4.1,2,26,0.687
8.55,16,18,14,21,45.1,0.631,7.48,41.2,0.093,5.9,3,28,0.656
7.75,16,16,14,20,47.8,0.625,7.01,43.5,0.082,4.3,2,24,0.664
6.24,15,16,12,21,43.8,0.652,8.011,43.8,0.058,4.2,2,27,0.69
6.48,11,13,12,22,47.1,0.634,7.56,43.1,0.093,2.0,1,27,0.679
9.17,16,16,14,20,47.8,0.625,7.01,43.5,0.082,4.3,2,24,0.664
7.95,15,16,12,14,41.2,0.665,8.423,41.2,0.056,11.8,4,20,0.704
7.61,16,16,14,18,47.4,0.638,6.905,47.4,0.049,5.3,2,20,0.687
5.6,11,13,12,23,48.2,0.623,7.403,41.1,0.119,3.6,2,29,0.668
9.42,16,16,14,20,46.7,0.631,7.21,44.4,0.063,4.4,2,24,0.667
8.4,16,16,14,19,43.9,0.651,7.473,46.3,0.044,4.9,2,23,0.683
8.12,16,16,14,21,46.9,0.645,9.436,42.9,0.077,4.1,2,26,0.713
9.34,16,16,14,22,50.0,0.611,6.74,42.3,0.073,3.8,2,26,0.655
8.82,17,17,16,23,46.9,0.65,8.314,46.9,0.038,4.1,2,26,0.709
8.64,16,16,14,23,50.9,0.606,6.628,41.8,0.103,3.6,2,27,0.651
8.32,10,10,8,19,55.3,0.582,6.01,40.4,0.04,4.3,2,21,0.641
9.35,21,21,18,22,45.5,0.654,7.101,50.0,0.042,4.5,2,24,0.701
9.27,16,16,14,20,45.7,0.643,7.758,43.5,0.082,4.3,2,25,0.682
8.92,16,16,14,21,46.9,0.639,8.477,42.9,0.077,4.1,2,26,0.687
8.5,16,16,14,23,50.9,0.606,6.628,41.8,0.086,3.6,2,27,0.651
8.56,17,17,16,23,46.9,0.65,8.314,46.9,0.038,4.1,2,26,0.709
6.35,20,21,16,25,43.6,0.649,7.591,45.5,0.05,5.5,3,31,0.677
7.32,10,10,8,14,55.9,0.581,5.922,41.2,0.086,2.9,1,15,0.643
6.87,10,10,8,14,54.3,0.585,6.21,40.0,0.111,2.9,1,16,0.638
6.28,6,6,6,12,54.3,0.569,6.438,34.3,0.143,2.9,1,16,0.606
7.7,16,17,14,18,43.9,0.646,7.473,43.9,0.023,9.8,4,23,0.678
8.0,16,17,14,16,38.2,0.694,8.688,47.1,0.027,8.8,3,21,0.733
5.68,6,6,6,10,53.8,0.585,6.241,38.5,0.074,7.7,2,12,0.638
7.08,6,6,6,13,55.6,0.569,6.121,36.1,0.108,5.6,2,16,0.62
5.97,10,10,8,11,51.9,0.6,6.454,40.7,0.107,7.4,2,13,0.651
6.9,11,12,11,23,52.5,0.591,6.467,39.0,0.081,5.1,3,28,0.637
6.74,6,6,6,13,55.6,0.569,6.121,36.1,0.108,5.6,2,16,0.62
7.33,15,16,12,13,36.7,0.693,9.111,43.3,0.063,10.0,3,19,0.721
6.7,22,23,20,23,41.7,0.667,7.676,47.9,0.058,8.3,4,28,0.699
5.74,11,12,9,17,46.5,0.622,7.265,39.5,0.065,9.3,4,23,0.652
7.5,16,17,14,16,40.0,0.67,7.953,45.7,0.026,11.4,4,21,0.694
6.19,11,12,11,20,49.0,0.612,6.948,40.8,0.077,4.1,2,25,0.648
8.699,10,10,7,10,48.1,0.608,7.084,37.0,0.071,11.1,3,14,0.64
8.229,10,10,7,10,44.4,0.639,8.359,37.0,0.071,11.1,3,15,0.672
8.456,10,10,8,10,48.0,0.616,7.05,40.0,0.077,8.0,2,13,0.651
8.208,6,6,6,13,47.1,0.63,9.241,38.2,0.056,2.9,1,18,0.671
8.237,6,6,6,17,53.2,0.579,6.541,36.2,0.143,2.1,1,22,0.616
5.27,6,6,6,9,56.5,0.573,5.88,39.1,0.087,4.3,1,10,0.634
6.835,12,13,13,18,45.2,0.646,7.782,42.9,0.022,9.5,4,23,0.69
9.52,16,16,14,20,45.7,0.653,9.746,43.5,0.082,4.3,2,25,0.722
6.57,6,6,6,12,56.3,0.571,5.947,37.5,0.091,6.3,2,14,0.628
7.16,15,16,12,14,41.2,0.651,7.951,41.2,0.056,11.8,4,20,0.669
6.53,16,16,14,19,46.5,0.633,7.172,44.2,0.065,4.7,2,23,0.669
9.3,16,16,14,21,46.9,0.626,7.234,42.9,0.077,4.1,2,26,0.658
7.071,10,10,7,10,48.1,0.608,7.084,37.0,0.071,11.1,3,14,0.64
7.52,16,16,14,23,49.1,0.621,7.254,41.8,0.069,3.6,2,28,0.667
7.04,12,13,13,21,49.0,0.618,6.867,42.9,0.077,4.1,2,25,0.659
5.32,6,7,7,11,53.6,0.587,6.331,39.3,0.143,3.6,1,13,0.635
7.41,16,17,14,15,41.2,0.66,7.833,44.1,0.056,11.8,4,20,0.685
7.35,6,6,6,11,51.6,0.603,8.845,35.5,0.129,3.2,1,15,0.657
6.27,10,10,8,10,50.0,0.612,6.677,41.7,0.08,8.3,2,12,0.659
6.45,6,6,6,10,50.0,0.6,6.894,38.5,0.074,3.8,1,13,0.634
6.62,10,10,8,13,52.9,0.587,6.421,38.2,0.114,5.9,2,16,0.634
6.81,6,6,6,12,54.3,0.569,6.438,34.3,0.143,2.9,1,16,0.606
7.27,16,17,14,18,43.9,0.646,7.473,43.9,0.023,9.8,4,23,0.678
7.4,16,17,14,15,41.2,0.66,7.833,44.1,0.056,11.8,4,20,0.685
7.22,16,17,14,18,43.9,0.646,7.473,43.9,0.023,9.8,4,23,0.678
7.12,6,6,6,12,55.9,0.564,6.156,35.3,0.118,2.9,1,15,0.611
6.83,6,6,6,11,54.8,0.57,6.3,35.5,0.129,3.2,1,14,0.613
7.4,12,14,14,25,49.1,0.618,6.904,43.9,0.083,1.8,1,29,0.658
6.12,12,14,14,23,45.1,0.638,7.519,45.1,0.093,2.0,1,28,0.665
6.43,12,14,14,23,47.1,0.631,7.166,45.1,0.093,2.0,1,27,0.666
7.15,12,14,14,24,48.1,0.624,7.028,44.4,0.088,1.9,1,28,0.662
9.16,16,18,14,21,45.1,0.631,7.48,41.2,0.093,5.9,3,28,0.656
7.13,12,13,13,23,50.9,0.606,6.628,41.8,0.086,3.6,2,27,0.651
8.49,16,16,14,20,45.7,0.633,7.401,43.5,0.082,4.3,2,25,0.662
9.1,17,17,16,22,45.7,0.659,8.551,47.8,0.04,4.3,2,25,0.717
7.52,21,21,18,24,48.0,0.637,6.81,48.0,0.037,4.0,2,26,0.688
7.0,22,22,20,26,46.4,0.639,7.117,46.4,0.083,3.6,2,30,0.68
7.5,16,16,14,26,51.6,0.603,6.526,41.9,0.076,3.2,2,30,0.651
8.4,16,16,14,22,48.1,0.627,7.403,42.3,0.073,3.8,2,27,0.671
6.66,10,10,8,15,51.4,0.607,6.467,42.9,0.0,5.7,2,17,0.66
9.72,17,17,16,23,48.0,0.631,6.89,46.0,0.056,4.0,2,26,0.677
8.09,16,16,14,19,47.6,0.631,6.962,45.2,0.067,4.8,2,22,0.674
7.52,16,16,14,22,50.0,0.611,6.74,42.3,0.073,3.8,2,26,0.655
7.07,16,16,14,21,49.0,0.618,6.867,42.9,0.096,4.1,2,25,0.659
8.48,16,16,14,21,48.0,0.62,7.049,42.0,0.094,4.0,2,26,0.655
7.31,16,16,14,21,48.0,0.62,7.049,42.0,0.094,4.0,2,26,0.655
8.89,16,16,14,21,49.0,0.614,6.892,41.2,0.074,5.9,3,26,0.653
9.05,16,16,14,19,43.9,0.648,7.619,46.3,0.045,4.9,2,23,0.677
8.91,16,16,14,20,43.2,0.647,7.827,45.5,0.043,4.5,2,25,0.669
9.7,16,16,14,21,46.9,0.639,8.477,42.9,0.077,4.1,2,26,0.687
9.6,16,16,14,20,43.5,0.641,7.792,43.5,0.082,4.3,2,26,0.661
7.5,16,16,14,24,51.7,0.601,6.527,41.4,0.115,3.4,2,28,0.648
9.06,16,16,14,21,51.1,0.614,6.478,44.7,0.04,4.3,2,23,0.668
7.52,10,12,12,22,51.9,0.599,6.528,40.7,0.07,3.7,2,26,0.645
9.46,16,16,14,22,50.0,0.611,6.74,42.3,0.091,3.8,2,26,0.655
7.5,12,14,14,25,49.2,0.614,6.925,42.4,0.129,3.4,2,30,0.653
5.0,11,13,12,23,48.2,0.623,7.403,41.1,0.136,3.6,2,29,0.668
9.8,16,16,14,21,46.9,0.635,7.57,42.9,0.077,4.1,2,26,0.677
7.84,16,16,14,19,48.8,0.629,6.742,46.3,0.045,4.9,2,21,0.68
5.52,16,16,14,20,47.8,0.625,7.01,43.5,0.082,4.3,2,24,0.664
8.22,16,16,14,18,42.1,0.682,8.717,47.4,0.049,5.3,2,22,0.732
9.65,17,17,16,24,50.0,0.622,6.587,46.2,0.054,3.8,2,26,0.676
9.56,16,16,14,21,48.0,0.629,7.371,42.0,0.094,4.0,2,26,0.679
9.61,16,16,14,22,50.0,0.611,6.74,42.3,0.073,3.8,2,26,0.655
8.1,16,16,14,21,48.0,0.62,7.049,42.0,0.094,4.0,2,26,0.655
9.71,16,16,14,22,50.0,0.611,6.74,42.3,0.073,3.8,2,26,0.655
7.5,17,18,17,23,44.9,0.648,7.316,46.9,0.057,4.1,2,27,0.684
9.69,17,17,16,23,46.9,0.637,7.071,46.9,0.038,4.1,2,26,0.68
9.86,16,16,14,21,49.0,0.618,6.867,42.9,0.077,4.1,2,25,0.659
7.84,21,21,18,22,45.5,0.654,7.101,50.0,0.042,4.5,2,24,0.701
9.22,21,21,18,24,46.2,0.64,7.163,46.2,0.071,3.8,2,28,0.679
8.8,16,16,14,20,45.7,0.647,8.725,43.5,0.082,4.3,2,25,0.693
9.16,17,17,16,22,45.7,0.655,7.585,47.8,0.04,4.3,2,25,0.706
6.8,12,14,14,26,50.0,0.609,6.816,41.9,0.123,3.2,2,31,0.65
10.12,16,16,14,22,50.0,0.611,6.74,42.3,0.073,3.8,2,26,0.655
9.23,16,16,14,20,47.8,0.625,7.01,43.5,0.061,4.3,2,24,0.664
8.36,16,16,14,20,45.7,0.643,7.758,43.5,0.082,4.3,2,25,0.682
9.02,16,16,14,21,49.0,0.614,6.892,41.2,0.074,5.9,3,26,0.653
