pXC50,Sp,nH,nAT,Si,Se,Sv,nBT,Me,nCsp3
4.134,22.557,14,33,36.977,33.593,21.681,34,1.018,4
6.178,19.216,10,28,31.658,28.713,19.096,30,1.025,1
5.754,17.762,10,26,29.448,26.385,17.381,27,1.015,0
4.134,25.79,15,36,40.245,36.414,24.029,38,1.012,5
5.508,25.006,17,37,41.239,36.825,23.665,40,0.995,5
6.032,17.159,8,26,30.033,27.476,17.8,27,1.057,0
4.134,21.415,9,29,32.778,30.407,20.999,30,1.049,1
4.134,27.779,19,42,47.202,42.767,26.524,43,1.018,7
4.134,37.779,21,53,59.281,53.713,35.84,56,1.013,4
5.771,22.313,9,33,38.372,35.894,23.535,35,1.088,3
4.134,31.188,19,45,50.435,45.865,29.658,47,1.019,9
4.134,35.546,22,52,58.116,52.753,34.072,54,1.014,5
5.754,32.574,21,48,54.037,48.611,31.026,51,1.013,7
4.134,32.642,23,49,55.195,49.2,30.664,51,1.004,8
5.539,22.523,12,32,35.863,32.269,21.908,34,1.008,0
4.134,25.79,15,36,40.245,36.414,24.029,38,1.012,5
5.744,26.921,18,41,46.156,41.582,26.116,42,1.014,3
4.134,33.063,25,51,57.448,51.418,31.104,53,1.008,12
4.134,31.233,15,41,45.537,41.484,29.017,44,1.012,3
4.134,30.273,18,45,50.867,46.305,29.534,48,1.029,6
5.694,22.648,10,33,38.138,35.32,23.18,35,1.07,3
4.134,33.784,20,49,54.7,49.869,32.545,51,1.018,4
5.772,32.165,17,46,51.239,46.8,31.611,49,1.017,1
6.455,22.773,10,32,35.996,33.444,22.712,34,1.045,2
4.134,37.761,24,56,62.74,56.963,36.313,58,1.017,6
5.914,28.5,24,45,50.611,44.585,26.466,48,0.991,12
6.102,17.722,7,24,27.419,25.251,17.53,25,1.052,0
6.011,20.915,8,28,31.712,29.564,20.517,29,1.056,1
5.6,30.597,21,48,54.488,49.222,30.094,49,1.025,4
4.134,26.5,16,39,43.903,39.363,25.676,41,1.009,2
4.134,30.597,15,42,46.534,42.665,29.557,45,1.016,1
5.676,26.369,17,40,44.867,40.807,25.81,42,1.02,4
4.134,29.71,17,43,48.03,43.473,28.896,46,1.011,4
4.134,35.301,23,52,58.033,52.534,33.577,54,1.01,7
5.68,21.438,13,33,37.781,34.025,21.359,34,1.031,2
4.134,25.79,15,36,40.245,36.414,24.029,38,1.012,5
5.368,32.523,20,46,51.202,46.291,30.303,49,1.006,6
5.604,30.012,18,43,47.737,42.927,28.687,46,0.998,2
5.73,26.983,13,38,42.571,38.698,26.644,41,1.018,0
6.2,17.722,7,24,27.419,25.251,17.53,25,1.052,0
4.134,29.858,17,44,49.496,45.094,29.5,46,1.025,3
5.837,16.801,7,24,27.815,25.44,17.086,25,1.06,0
5.777,28.745,15,41,45.986,41.582,28.171,44,1.014,1
4.134,24.296,13,34,37.958,34.716,23.373,35,1.021,1
5.591,14.551,9,22,25.322,22.276,14.161,23,1.013,1
4.134,30.762,17,41,45.548,41.713,27.988,43,1.017,6
6.148,18.216,7,24,27.317,25.156,17.728,25,1.048,0
4.134,31.637,22,47,52.697,47.098,29.642,49,1.002,10
4.134,29.472,17,43,47.996,44.211,28.712,45,1.028,5
5.801,24.898,14,38,43.488,39.454,25.095,40,1.038,4
4.715,15.54,6,19,21.087,19.378,14.33,20,1.02,0
4.787,15.046,6,19,21.189,19.473,14.132,20,1.025,0
4.134,27.745,23,44,49.694,43.803,25.961,45,0.996,9
5.486,23.028,9,33,36.997,34.92,23.933,35,1.058,0
6.455,23.296,14,35,39.827,36.211,22.766,36,1.035,3
6.354,23.307,10,31,34.87,31.858,22.271,33,1.028,1
5.664,18.648,8,25,27.953,25.578,18.041,27,1.023,0
5.722,20.722,13,30,34.072,30.12,19.401,31,1.004,2
4.134,40.091,24,57,63.985,57.371,37.673,60,1.007,5
5.727,28.745,15,41,45.986,41.582,28.171,44,1.014,1
4.134,31.273,17,44,48.997,44.811,30.142,46,1.018,3
4.134,35.353,18,48,53.53,48.393,33.378,51,1.008,3
4.134,30.534,18,44,49.017,44.687,29.449,46,1.016,4
4.134,33.881,21,49,54.78,49.316,32.137,51,1.006,4
4.134,37.307,24,55,61.531,55.636,35.599,57,1.012,6
5.555,26.949,17,43,49.8,45.331,27.508,46,1.054,9
5.63,18.568,9,26,29.499,26.942,18.121,27,1.036,1
6.093,27.12,18,39,43.496,38.938,25.217,40,0.998,4
4.134,34.023,20,49,55.364,49.931,32.335,52,1.019,7
4.134,23.415,13,33,36.921,33.916,22.508,34,1.028,4
5.896,11.182,4,17,19.993,18.382,12.031,18,1.081,0
5.555,22.369,11,30,32.913,30.251,21.272,32,1.008,0
4.134,35.159,25,51,57.289,51.171,31.908,53,1.003,11
6.452,19.375,10,30,34.658,31.687,20.041,31,1.056,1
5.777,20.858,9,28,31.079,28.687,20.261,30,1.025,0
5.986,17.159,8,26,30.033,27.476,17.8,27,1.057,0
5.834,16.864,8,24,27.475,24.927,16.703,25,1.039,0
6.08,19.08,10,28,32.1,29.138,18.945,29,1.041,1
6.695,10.335,5,15,17.249,15.92,10.208,15,1.061,1
4.134,14.608,7,20,22.396,20.505,14.166,21,1.025,0
5.805,21.182,10,30,34.229,31.542,20.846,31,1.051,1
4.134,25.148,16,37,41.823,37.44,23.863,38,1.012,4
6.069,20.568,10,30,34.368,31.436,20.514,31,1.048,1
5.586,22.455,12,32,36.376,33.127,21.804,33,1.035,3
5.972,25.608,17,39,44.531,39.869,24.599,40,1.022,4
4.134,31.438,21,47,52.488,47.247,30.149,49,1.005,5
4.134,37.307,24,55,61.531,55.636,35.599,57,1.012,6
4.134,25.051,15,37,41.744,37.993,24.271,38,1.027,3
4.134,32.278,13,42,46.946,44.633,31.302,44,1.063,7
4.134,26.989,18,41,46.226,42.014,26.164,42,1.025,6
4.134,39.0,20,55,61.223,56.218,38.207,59,1.022,4
4.134,14.903,7,22,24.954,23.055,15.262,23,1.048,0
4.134,33.336,23,50,56.452,50.494,31.552,52,1.01,7
5.819,33.631,19,50,56.459,52.036,33.358,52,1.041,4
4.134,28.722,11,37,40.624,37.975,27.69,40,1.026,0
5.592,18.966,10,27,30.076,27.393,18.58,29,1.015,0
4.134,43.523,24,62,69.053,62.985,42.26,66,1.016,5
6.077,17.722,7,24,27.419,25.251,17.53,25,1.052,0
5.674,21.83,12,34,39.704,36.56,22.567,35,1.075,5
5.193,14.193,8,20,22.744,20.251,13.326,21,1.013,2
4.134,27.142,15,38,42.325,38.338,25.842,41,1.009,4
6.179,18.915,7,24,27.13,25.0,18.003,25,1.042,0
4.134,28.972,17,41,45.81,41.654,27.416,43,1.016,8
5.724,22.892,15,33,36.744,33.018,21.326,34,1.001,2
5.569,28.989,16,45,52.255,47.542,29.804,48,1.056,6
4.134,27.011,10,33,35.966,34.026,25.043,35,1.031,0
4.134,29.676,19,44,49.073,44.363,28.622,47,1.008,6
4.134,31.824,13,41,45.737,43.306,30.587,43,1.056,7
5.626,19.824,9,30,34.369,31.913,20.735,31,1.064,1
4.134,28.665,19,42,47.155,42.105,26.895,44,1.003,6
5.734,23.318,10,32,35.787,33.116,22.998,35,1.035,1
5.744,28.813,19,43,48.607,43.022,27.509,46,1.001,5
4.134,37.517,25,56,62.657,56.745,35.819,59,1.013,10
5.823,20.006,8,26,29.293,26.909,19.088,27,1.035,0
4.134,28.171,18,43,48.737,43.902,27.632,45,1.021,5
4.134,26.137,20,42,47.78,42.793,25.358,43,1.019,7
5.518,20.722,13,30,34.072,30.12,19.401,31,1.004,2
4.134,37.881,21,53,58.78,53.316,36.137,57,1.006,4
4.134,36.0,22,53,59.325,54.08,34.787,55,1.02,5
5.704,13.722,11,22,24.993,22.174,13.085,22,1.008,2
4.134,30.733,19,44,49.226,44.538,28.943,46,1.012,9
4.134,17.727,12,27,30.491,27.276,17.106,28,1.01,2
5.71,28.745,15,41,45.986,41.582,28.171,44,1.014,1
4.134,39.279,27,59,66.072,59.629,37.346,62,1.011,11
4.134,18.512,10,26,28.867,26.065,17.865,28,1.003,0
4.134,34.756,17,46,50.288,46.305,32.754,49,1.007,2
4.134,30.909,18,44,49.238,44.323,29.39,46,1.007,2
4.134,27.597,15,39,43.534,39.665,26.557,41,1.017,2
4.134,30.733,19,44,49.226,44.538,28.943,46,1.012,9
4.134,37.818,20,53,59.12,53.829,36.52,57,1.016,4
4.134,18.921,12,27,30.202,27.025,17.579,28,1.001,3
5.676,20.722,13,30,34.072,30.12,19.401,31,1.004,2
4.134,35.301,23,52,58.033,52.534,33.577,54,1.01,7
6.149,28.983,15,41,46.034,41.549,28.345,44,1.013,1
6.419,22.392,11,32,36.356,33.651,22.067,33,1.052,2
5.6,17.216,10,26,29.658,26.713,17.096,27,1.027,1
4.134,25.222,19,39,43.863,39.036,23.907,40,1.001,6
6.303,21.534,12,32,36.412,33.327,21.239,33,1.041,2
5.419,16.102,8,23,26.162,23.905,15.756,24,1.039,0
4.134,31.909,18,45,50.238,45.323,30.39,48,1.007,3
4.134,31.637,22,47,52.697,47.098,29.642,49,1.002,10
6.301,17.722,7,24,27.419,25.251,17.53,25,1.052,0
5.685,19.818,10,27,30.601,27.56,18.702,28,1.021,1
6.064,19.335,11,30,34.203,31.476,19.745,31,1.049,2
4.134,29.87,21,44,49.863,44.058,27.41,45,1.001,6
6.215,26.903,13,40,45.538,42.411,27.405,41,1.06,3
4.134,35.301,23,52,58.033,52.534,33.577,54,1.01,7
4.134,18.182,12,28,31.701,28.604,17.821,29,1.022,2
4.134,22.04,11,31,34.645,31.927,21.649,32,1.03,0
4.134,30.961,25,49,55.318,49.014,29.202,50,1.0,9
5.336,16.369,9,26,30.16,27.585,17.02,26,1.061,0
4.404,29.176,11,38,41.833,39.302,28.405,41,1.034,0
5.995,15.455,8,23,26.242,23.829,15.569,24,1.036,0
5.723,18.659,9,25,28.08,25.287,17.691,26,1.011,0
5.505,23.171,12,32,35.783,32.345,22.095,34,1.011,1
5.729,18.625,10,27,30.891,27.811,18.23,28,1.03,1
4.134,36.824,27,56,62.863,56.302,34.631,59,1.005,13
4.134,26.21,15,37,41.395,37.771,24.889,38,1.021,6
5.539,18.523,12,28,31.863,28.269,17.908,29,1.01,2
4.134,23.955,12,35,40.344,36.876,23.992,36,1.054,3
5.295,26.921,18,41,46.156,41.582,26.116,43,1.014,4
4.134,32.665,17,45,49.707,45.96,31.184,47,1.021,3
5.81,18.614,10,26,28.996,26.469,17.767,28,1.018,2
4.134,22.137,14,32,35.827,32.236,20.82,33,1.007,2
5.649,19.932,12,29,32.119,29.284,19.305,30,1.01,0
5.711,39.591,24,61,68.495,63.531,39.899,63,1.041,6
5.757,21.636,12,32,35.91,32.931,21.536,33,1.029,0
5.606,32.574,19,47,52.574,47.76,31.325,49,1.016,3
5.824,36.295,20,54,60.781,55.767,36.304,56,1.033,1
5.696,32.574,19,47,52.574,47.76,31.325,49,1.016,3
5.555,25.102,14,38,43.116,39.462,25.294,39,1.038,0
5.828,22.284,12,32,35.83,33.007,21.723,33,1.031,2
5.837,25.284,12,35,38.83,36.007,24.723,37,1.029,1
6.319,11.102,6,17,19.083,17.96,11.44,17,1.056,0
5.43,14.415,9,22,24.787,22.618,14.273,22,1.028,0
5.885,16.608,9,23,25.498,23.367,15.745,24,1.016,1
4.134,15.466,6,20,22.34,20.829,14.993,21,1.041,0
5.861,23.057,14,35,39.163,36.149,22.976,37,1.033,3
5.435,25.006,17,37,41.239,36.825,23.665,40,0.995,5
