pXC50,nDB,Mv,H.,AMW,SCBO,nBM,Me,nCsp3,RBF,RBN,Mp,C.,Mi,MW,N.,nAB,nAT,nB,nBO,nBR,nBT,nC,nCL,nCsp
5.842,4,0.755,28.1,10.732,35.5,15,1.034,1,0.057,2,0.78,46.9,1.1,343.41,9.4,11,32,0,26,0,35,15,0,0
5.644,4,0.749,30.8,10.064,43.0,20,1.019,1,0.047,2,0.781,51.3,1.091,392.48,5.1,16,39,0,31,0,43,20,0,0
6.31,4,0.749,30.8,10.064,43.0,20,1.019,1,0.047,2,0.781,51.3,1.091,392.48,5.1,16,39,0,31,0,43,20,0,0
6.444,4,0.749,30.8,10.064,43.0,20,1.019,1,0.047,2,0.781,51.3,1.091,392.48,5.1,16,39,0,31,0,43,20,0,0
6.292,4,0.736,30.8,9.652,43.0,20,1.026,1,0.047,2,0.751,51.3,1.098,376.41,5.1,16,39,0,31,0,43,20,0,0
6.444,4,0.726,32.5,9.386,43.0,20,1.02,1,0.045,2,0.746,50.0,1.103,375.43,7.5,16,40,0,31,0,44,20,0,0
6.086,4,0.726,32.5,9.386,43.0,20,1.02,1,0.045,2,0.746,50.0,1.103,375.43,7.5,16,40,0,31,0,44,20,0,0
5.764,4,0.732,31.7,9.45,44.5,21,1.019,1,0.044,2,0.752,51.2,1.1,387.44,7.3,17,41,0,32,0,45,21,0,0
6.328,4,0.732,31.7,9.45,44.5,21,1.019,1,0.044,2,0.752,51.2,1.1,387.44,7.3,17,41,0,32,0,45,21,0,0
4.699,5,0.687,36.1,9.205,33.0,11,1.031,3,0.105,4,0.702,41.7,1.12,331.38,8.3,6,36,0,25,0,38,15,0,0
4.699,1,0.727,34.8,9.403,23.5,12,1.012,1,0.04,1,0.765,52.2,1.087,216.27,0.0,11,23,0,17,0,25,12,0,0
4.699,2,0.713,35.7,9.225,27.5,13,1.017,2,0.067,2,0.744,50.0,1.094,258.31,0.0,11,28,0,20,0,30,14,0,0
5.2,2,0.738,32.0,9.771,26.5,13,1.024,1,0.074,2,0.762,52.0,1.088,244.28,0.0,11,25,0,19,0,27,13,0,0
4.699,2,0.713,34.5,9.459,28.5,13,1.028,2,0.097,3,0.734,48.3,1.098,274.31,0.0,11,29,0,21,0,31,14,0,0
4.699,2,0.694,37.5,9.011,29.5,13,1.021,3,0.118,4,0.72,46.9,1.102,288.34,0.0,11,32,0,22,0,34,15,0,0
5.924,4,0.733,30.3,9.889,35.5,15,1.034,1,0.056,2,0.743,48.5,1.103,326.35,6.1,11,33,0,26,0,36,16,0,0
5.0,4,0.776,28.1,11.233,35.5,15,1.026,1,0.057,2,0.824,50.0,1.08,359.47,3.1,11,32,0,26,0,35,16,0,0
5.951,4,0.761,28.1,10.731,35.5,15,1.034,1,0.057,2,0.786,50.0,1.089,343.4,3.1,11,32,0,26,0,35,16,0,0
6.097,5,0.74,28.6,10.125,38.5,16,1.041,1,0.053,2,0.742,48.6,1.104,354.36,5.7,11,35,0,28,0,38,17,0,0
6.398,5,0.754,28.6,10.584,38.5,16,1.034,1,0.053,2,0.776,48.6,1.095,370.43,5.7,11,35,0,28,0,38,17,0,0
5.402,5,0.706,34.1,9.327,40.5,16,1.03,3,0.045,2,0.72,46.3,1.109,382.42,4.9,11,41,0,30,0,44,19,0,0
5.561,4,0.704,35.1,9.173,36.5,15,1.021,2,0.05,2,0.725,45.9,1.111,339.4,8.1,11,37,0,27,0,40,17,0,0
5.498,1,0.74,31.0,9.77,32.0,17,1.024,1,0.063,2,0.761,51.7,1.093,283.32,3.4,16,29,0,23,0,32,15,0,0
5.157,4,0.727,32.4,9.569,35.5,15,1.027,2,0.054,2,0.743,50.0,1.098,325.36,2.9,11,34,0,26,0,37,17,0,0
4.699,3,0.689,39.6,8.365,44.5,20,1.002,4,0.077,4,0.726,50.0,1.1,401.51,2.1,17,48,0,33,0,52,24,0,0
4.699,3,0.68,40.4,8.299,46.5,20,1.006,5,0.089,5,0.713,48.1,1.104,431.54,1.9,17,52,0,35,0,56,25,0,0
5.167,3,0.7,37.1,8.897,33.5,14,1.013,3,0.053,2,0.731,48.6,1.101,311.38,2.9,11,35,0,25,0,38,17,0,0
4.818,3,0.685,39.5,8.563,34.5,14,1.009,4,0.049,2,0.72,47.4,1.104,325.41,2.6,11,38,0,26,0,41,18,0,0
5.509,2,0.698,36.8,8.906,37.0,18,1.015,2,0.049,2,0.726,47.4,1.106,338.41,5.3,16,38,0,27,0,41,18,0,0
4.699,2,0.715,35.3,9.07,35.0,18,1.01,1,0.027,1,0.746,50.0,1.1,308.38,5.9,16,34,0,25,0,37,17,0,0
5.367,2,0.698,37.8,8.714,36.0,18,1.006,2,0.025,1,0.733,48.6,1.103,322.41,5.4,16,37,0,26,0,40,18,0,0
5.071,5,0.727,33.3,9.375,35.0,15,1.018,1,0.028,1,0.752,51.5,1.095,309.36,3.0,10,33,0,25,0,36,17,0,0
4.699,2,0.721,33.3,9.604,27.5,13,1.026,1,0.034,1,0.743,48.1,1.1,259.3,3.7,11,27,0,20,0,29,13,0,0
5.886,2,0.715,35.3,9.07,35.0,18,1.01,1,0.027,1,0.746,50.0,1.1,308.38,5.9,16,34,0,25,0,37,17,0,0
4.699,2,0.729,35.1,9.499,37.5,19,1.006,1,0.05,2,0.778,51.4,1.088,351.47,2.7,17,37,0,27,0,40,19,0,0
5.292,2,0.722,35.1,9.607,37.0,18,1.015,2,0.05,2,0.763,48.6,1.093,355.46,2.7,16,37,0,27,0,40,18,0,0
5.328,2,0.722,35.1,9.607,37.0,18,1.015,2,0.05,2,0.763,48.6,1.093,355.46,2.7,16,37,0,27,0,40,18,0,0
4.883,2,0.722,35.1,9.607,37.0,18,1.015,2,0.05,2,0.763,48.6,1.093,355.46,2.7,16,37,0,27,0,40,18,0,0
5.268,2,0.722,35.1,9.607,37.0,18,1.015,2,0.05,2,0.763,48.6,1.093,355.46,2.7,16,37,0,27,0,40,18,0,0
5.62,2,0.709,35.1,9.173,37.0,18,1.021,2,0.05,2,0.731,48.6,1.101,339.39,2.7,16,37,0,27,0,40,18,0,0
5.143,2,0.709,35.1,9.173,37.0,18,1.021,2,0.05,2,0.731,48.6,1.101,339.39,2.7,16,37,0,27,0,40,18,0,0
4.699,2,0.689,38.5,8.549,49.0,24,1.01,3,0.089,5,0.718,48.1,1.106,444.54,3.8,22,52,0,36,0,56,25,0,0
5.201,2,0.708,34.2,9.379,38.0,18,1.028,2,0.049,2,0.724,47.4,1.115,356.4,5.3,16,38,0,28,0,41,18,0,0
4.699,5,0.689,35.7,8.652,27.5,10,1.026,1,0.033,1,0.694,46.4,1.117,242.25,7.1,5,28,0,20,0,30,13,0,0
4.699,2,0.728,35.3,9.543,35.0,18,1.003,1,0.027,1,0.781,50.0,1.092,324.45,5.9,16,34,0,25,0,37,17,0,0
5.387,2,0.715,35.3,9.07,35.0,18,1.01,1,0.027,1,0.746,50.0,1.1,308.38,5.9,16,34,0,25,0,37,17,0,0
5.292,2,0.697,37.3,8.736,49.0,24,1.015,3,0.091,5,0.721,49.0,1.102,445.52,2.0,22,51,0,36,0,55,25,0,0
4.699,2,0.727,33.3,9.375,35.0,18,1.018,1,0.028,1,0.752,51.5,1.095,309.36,3.0,16,33,0,25,0,36,17,0,0
6.013,2,0.741,33.3,9.862,35.0,18,1.01,1,0.028,1,0.788,51.5,1.086,325.43,3.0,16,33,0,25,0,36,17,0,0
5.42,2,0.722,35.1,9.607,37.0,18,1.015,2,0.05,2,0.763,48.6,1.093,355.46,2.7,16,37,0,27,0,40,18,0,0
4.699,2,0.708,37.5,8.636,39.0,20,1.0,1,0.047,2,0.747,52.5,1.094,345.44,2.5,18,40,0,28,0,43,21,0,0
4.699,5,0.684,36.7,8.575,28.5,10,1.028,2,0.031,1,0.688,46.7,1.114,257.26,3.3,5,30,0,21,0,32,14,0,0
4.699,2,0.706,35.7,9.226,27.5,13,1.017,1,0.033,1,0.736,46.4,1.107,258.32,7.1,11,28,0,20,0,30,13,0,0
4.699,2,0.713,33.3,9.604,27.5,13,1.025,1,0.034,1,0.735,44.4,1.114,259.31,11.1,11,27,0,20,0,29,12,0,0
5.398,2,0.717,35.1,9.065,37.5,19,1.012,1,0.05,2,0.746,51.4,1.096,335.4,2.7,17,37,0,27,0,40,19,0,0
4.699,2,0.709,36.7,8.978,29.0,14,1.008,1,0.031,1,0.746,50.0,1.097,269.34,3.3,12,30,0,21,0,32,15,0,0
5.066,2,0.738,33.3,10.199,27.5,13,1.016,1,0.034,1,0.787,48.1,1.09,275.37,3.7,11,27,0,20,0,29,13,0,0
5.143,2,0.715,36.7,9.647,28.5,13,1.011,2,0.031,1,0.767,46.7,1.094,289.4,3.3,11,30,0,21,0,32,14,0,0
5.469,2,0.729,35.1,9.499,37.5,19,1.006,1,0.05,2,0.778,51.4,1.088,351.47,2.7,17,37,0,27,0,40,19,0,0
4.699,4,0.668,41.7,8.372,30.0,10,1.01,4,0.053,2,0.704,44.4,1.11,301.39,2.8,6,36,0,23,0,38,16,0,0
4.699,2,0.725,29.4,10.392,34.0,14,1.059,2,0.056,2,0.718,47.1,1.134,353.34,2.9,12,34,0,26,0,36,16,0,0
4.699,2,0.705,38.2,9.278,31.0,14,1.006,2,0.056,2,0.758,47.1,1.096,315.44,2.9,12,34,0,23,0,36,16,0,0
4.699,2,0.737,33.3,10.126,30.0,14,1.019,1,0.031,1,0.774,50.0,1.095,303.78,3.3,12,30,0,22,0,32,15,1,0
4.699,2,0.691,39.4,8.587,30.0,14,1.004,2,0.029,1,0.731,48.5,1.101,283.37,3.0,12,33,0,22,0,35,16,0,0
5.337,5,0.727,33.3,9.375,35.0,15,1.018,1,0.028,1,0.752,51.5,1.095,309.36,3.0,10,33,0,25,0,36,17,0,0
5.357,2,0.721,33.3,9.604,27.5,13,1.026,1,0.034,1,0.743,48.1,1.1,259.3,3.7,11,27,0,20,0,29,13,0,0
5.022,2,0.741,33.3,9.862,35.0,18,1.01,1,0.028,1,0.788,51.5,1.086,325.43,3.0,16,33,0,25,0,36,17,0,0
4.699,3,0.69,37.8,8.822,34.0,15,1.015,2,0.051,2,0.719,45.9,1.109,326.4,5.4,12,37,0,25,0,39,17,0,0
4.699,5,0.672,38.7,8.267,28.5,10,1.019,2,0.03,1,0.683,45.2,1.119,256.28,6.5,5,31,0,21,0,33,14,0,0
4.699,2,0.738,33.3,10.199,27.5,13,1.016,1,0.034,1,0.787,48.1,1.09,275.37,3.7,11,27,0,20,0,29,13,0,0
4.699,2,0.667,42.1,8.222,32.0,14,1.003,3,0.05,2,0.708,44.7,1.112,312.42,5.3,12,38,0,24,0,40,17,0,0
4.699,2,0.718,36.8,9.223,37.5,19,1.0,1,0.049,2,0.772,50.0,1.093,350.49,5.3,17,38,0,27,0,41,19,0,0
5.337,2,0.698,36.8,8.906,37.0,18,1.015,2,0.049,2,0.726,47.4,1.106,338.41,5.3,16,38,0,27,0,41,18,0,0
5.125,2,0.772,30.3,12.252,36.0,18,1.017,1,0.028,1,0.829,51.5,1.081,404.32,3.0,16,33,0,26,1,36,17,0,0
4.699,5,0.706,36.8,8.801,37.5,16,1.006,1,0.049,2,0.74,50.0,1.101,334.42,5.3,11,38,0,27,0,41,19,0,0
5.301,5,0.717,35.1,9.065,37.5,16,1.012,1,0.05,2,0.746,51.4,1.096,335.4,2.7,11,37,0,27,0,40,19,0,0
5.086,2,0.727,33.3,9.375,35.0,18,1.018,1,0.028,1,0.752,51.5,1.095,309.36,3.0,16,33,0,25,0,36,17,0,0
4.699,5,0.685,37.8,8.279,36.0,15,1.013,2,0.025,1,0.701,48.6,1.111,306.34,5.4,10,37,0,26,0,40,18,0,0
5.174,2,0.709,35.1,9.173,37.0,18,1.021,2,0.05,2,0.731,48.6,1.101,339.39,2.7,16,37,0,27,0,40,18,0,0
5.523,2,0.709,35.1,9.173,37.0,18,1.021,2,0.05,2,0.731,48.6,1.101,339.39,2.7,16,37,0,27,0,40,18,0,0
4.699,2,0.698,37.8,8.714,36.0,18,1.006,2,0.025,1,0.733,48.6,1.103,322.41,5.4,16,37,0,26,0,40,18,0,0
4.699,2,0.7,37.5,8.636,47.0,24,1.007,2,0.077,4,0.732,50.0,1.101,414.51,4.2,22,48,0,34,0,52,24,0,0
5.569,2,0.7,36.7,9.111,28.5,13,1.019,2,0.031,1,0.727,46.7,1.104,273.33,3.3,11,30,0,21,0,32,14,0,0
4.699,2,0.722,33.3,9.578,30.0,14,1.025,1,0.031,1,0.744,50.0,1.108,287.33,3.3,12,30,0,22,0,32,15,0,0
4.699,2,0.726,30.3,10.222,33.0,14,1.051,2,0.029,1,0.726,48.5,1.132,337.34,3.0,12,33,0,25,0,35,16,0,0
4.699,2,0.687,38.7,8.785,28.5,13,1.011,2,0.03,1,0.722,45.2,1.11,272.35,6.5,11,31,0,21,0,33,14,0,0
