pXC50,nAB,Sp,Me,Sv,nCsp2,nBM,nHet,Si,nAT,nH,Se,RBN,nC,C.,Mi,RBF,X.,nX,O.,nF,nBT,SCBO,AMW,N.,nCsp3,H.
6.12,6,28.824,1.054,28.442,8,11,12,48.387,42,15,44.265,4,15,35.7,1.152,0.093,7.1,3,7.1,3,43,37.0,10.011,9.5,6,35.7
6.48,6,32.347,1.042,31.495,8,11,12,55.217,48,19,50.032,6,17,35.4,1.15,0.122,6.3,3,6.3,3,49,39.0,9.345,8.3,8,39.6
5.301,6,29.012,1.017,27.292,8,11,9,47.368,42,18,42.727,5,15,35.7,1.128,0.116,0.0,0,7.1,0,43,34.0,8.726,9.5,6,42.9
6.262,6,30.773,1.014,28.819,8,11,9,50.783,45,20,45.611,5,16,35.6,1.129,0.109,0.0,0,6.7,0,46,35.0,8.456,8.9,7,44.4
5.721,6,31.227,1.02,29.533,8,11,10,51.992,46,20,46.938,6,16,34.8,1.13,0.128,0.0,0,8.7,0,47,36.0,8.62,8.7,7,43.5
5.896,6,33.114,1.017,32.126,12,12,8,58.82,52,24,52.887,6,20,38.5,1.131,0.113,0.0,0,11.5,0,53,38.0,7.47,3.8,8,46.2
6.387,6,29.869,1.025,28.119,8,11,10,47.312,42,17,43.051,5,15,35.7,1.126,0.116,2.4,1,7.1,0,43,35.0,9.546,9.5,6,40.5
5.959,6,32.347,1.042,31.495,8,11,12,55.217,48,19,50.032,5,17,35.4,1.15,0.102,6.3,3,6.3,3,49,39.0,9.345,8.3,8,39.6
7.824,6,23.5,1.046,23.277,8,9,8,39.135,34,12,35.549,1,14,41.2,1.151,0.029,8.8,3,2.9,3,35,30.0,9.628,8.8,5,35.3
5.554,6,28.932,1.046,28.76,9,10,10,49.384,43,16,44.971,5,17,39.5,1.148,0.114,7.0,3,7.0,3,44,36.0,9.289,7.0,7,37.2
6.359,6,29.483,1.04,29.067,9,10,10,50.673,44,17,45.745,5,17,38.6,1.152,0.111,6.8,3,4.5,3,45,36.0,9.056,9.1,7,38.6
6.0,11,30.523,1.043,30.362,9,14,12,52.128,45,16,46.956,5,17,37.8,1.158,0.106,6.7,3,2.2,3,47,40.5,9.41,15.6,7,35.6
6.053,12,35.216,0.985,32.412,14,13,3,58.049,52,26,51.24,3,23,44.2,1.116,0.055,1.9,1,1.9,0,55,36.0,7.076,1.9,9,50.0
5.828,12,36.12,0.978,33.111,14,13,2,61.521,55,29,53.8,3,24,43.6,1.119,0.052,0.0,0,1.8,0,58,36.0,6.319,1.8,10,52.7
6.044,12,36.12,0.978,33.111,14,13,2,61.521,55,29,53.8,3,24,43.6,1.119,0.052,0.0,0,1.8,0,58,36.0,6.319,1.8,10,52.7
6.341,12,29.012,0.995,27.388,14,13,3,48.199,43,20,42.778,0,20,46.5,1.121,0.0,2.3,1,2.3,1,46,33.0,7.196,2.3,6,46.5
6.157,12,33.909,0.994,31.6,14,13,4,55.844,50,24,49.683,3,22,44.0,1.117,0.057,2.0,1,4.0,0,53,36.0,7.398,2.0,8,48.0
7.347,12,33.608,1.005,31.81,13,15,6,56.136,50,23,50.229,7,21,42.0,1.123,0.135,2.0,1,6.0,0,52,38.0,7.738,4.0,8,46.0
7.194,12,32.688,1.008,31.365,13,15,6,56.532,50,23,50.418,7,21,42.0,1.131,0.135,2.0,1,6.0,1,52,38.0,7.409,4.0,8,46.0
6.391,12,34.966,1.002,33.224,13,15,6,60.817,54,26,54.116,8,22,40.7,1.126,0.143,0.0,0,7.4,0,56,39.0,7.083,3.7,9,48.1
7.194,12,32.688,1.008,31.365,13,15,6,56.532,50,23,50.418,7,21,42.0,1.131,0.135,2.0,1,6.0,1,52,38.0,7.409,4.0,8,46.0
6.854,12,34.466,1.011,32.637,13,15,7,56.08,50,22,50.553,7,21,42.0,1.122,0.135,4.0,2,6.0,0,52,39.0,8.427,4.0,8,44.0
5.0,18,32.586,1.025,32.064,19,19,6,54.634,48,19,49.2,6,23,47.9,1.138,0.12,8.3,4,2.1,4,50,41.0,8.363,2.1,4,39.6
5.916,18,30.887,1.018,30.154,19,19,5,50.879,45,18,45.803,6,22,48.9,1.131,0.128,6.7,3,2.2,3,47,39.0,8.209,2.2,3,40.0
6.492,18,30.949,1.006,29.771,19,19,4,50.539,45,19,45.291,6,22,48.9,1.123,0.128,4.4,2,2.2,2,47,38.0,7.809,2.2,3,42.2
5.345,18,33.29,0.989,31.246,19,19,3,54.484,49,23,48.476,7,23,46.9,1.112,0.137,0.0,0,4.1,0,51,38.0,7.05,2.0,4,46.9
6.959,18,31.262,1.025,30.612,19,21,7,49.23,44,16,45.091,7,21,47.7,1.119,0.152,4.5,2,6.8,1,46,42.0,9.065,4.5,2,36.4
5.0,18,32.165,1.014,31.312,19,21,6,52.701,47,19,47.651,7,22,46.8,1.121,0.143,2.1,1,6.4,1,49,42.0,8.052,4.3,3,40.4
8.638,17,30.597,1.016,29.557,17,21,7,46.534,42,15,42.665,7,20,47.6,1.108,0.159,0.0,0,7.1,0,44,42.5,8.987,7.1,2,35.7
7.745,18,32.228,1.003,30.928,19,21,5,52.362,47,20,47.138,7,22,46.8,1.114,0.143,0.0,0,6.4,0,49,41.0,7.669,4.3,3,42.6
5.0,18,32.898,1.043,32.906,19,21,9,53.325,47,16,49.0,7,22,46.8,1.135,0.143,8.5,4,6.4,3,49,45.0,9.55,4.3,3,34.0
6.548,18,38.148,1.015,37.101,19,21,8,64.239,57,24,57.847,8,25,43.9,1.127,0.133,1.8,1,7.0,1,60,48.0,7.886,5.3,6,42.1
5.881,18,31.978,1.047,32.462,19,21,9,53.72,47,16,49.189,7,22,46.8,1.143,0.143,8.5,4,6.4,4,49,45.0,9.2,4.3,3,34.0
8.538,17,29.017,1.025,28.417,17,20,7,45.685,41,15,42.022,7,19,46.3,1.114,0.163,2.4,1,9.8,0,43,39.5,9.044,4.9,2,36.6
6.31,18,38.875,1.013,37.653,19,21,8,66.235,59,26,59.771,10,25,42.4,1.123,0.164,0.0,0,10.2,0,61,47.0,7.636,3.4,6,44.1
7.523,18,30.341,1.029,30.168,19,21,7,49.626,44,16,45.28,7,21,47.7,1.128,0.152,4.5,2,6.8,2,46,42.0,8.691,4.5,2,36.4
6.907,18,31.756,1.023,30.81,19,21,7,49.128,44,16,44.996,7,21,47.7,1.117,0.152,4.5,2,6.8,1,46,42.0,10.075,4.5,2,36.4
7.201,18,30.404,1.017,29.785,19,21,6,49.286,44,17,44.767,7,21,47.7,1.12,0.152,2.3,1,6.8,1,46,41.0,8.282,4.5,2,38.6
6.307,18,31.262,1.025,30.612,19,21,7,49.23,44,16,45.091,7,21,47.7,1.119,0.152,4.5,2,6.8,1,46,42.0,9.065,4.5,2,36.4
7.745,18,31.262,1.025,30.612,19,21,7,49.23,44,16,45.091,7,21,47.7,1.119,0.152,4.5,2,6.8,1,46,42.0,9.065,4.5,2,36.4
7.409,18,31.756,1.023,30.81,19,21,7,49.128,44,16,44.996,7,21,47.7,1.117,0.152,4.5,2,6.8,1,46,42.0,10.075,4.5,2,36.4
5.0,18,33.801,1.031,33.605,19,21,8,56.796,50,19,51.56,7,23,46.0,1.136,0.135,6.0,3,6.0,3,52,45.0,8.569,4.0,4,38.0
6.054,18,33.284,1.039,33.573,19,22,9,54.464,48,16,49.894,7,23,47.9,1.135,0.14,6.3,3,6.3,3,50,48.0,9.155,6.3,3,33.3
5.0,18,34.256,1.037,34.32,19,21,9,58.005,51,19,52.887,8,23,45.1,1.137,0.151,5.9,3,7.8,3,53,46.0,8.715,3.9,4,37.3
6.495,18,34.256,1.037,34.32,19,21,9,58.005,51,19,52.887,8,23,45.1,1.137,0.151,5.9,3,7.8,3,53,46.0,8.715,3.9,4,37.3
5.996,18,40.211,1.003,38.419,19,21,6,67.362,60,27,60.185,8,27,45.0,1.123,0.127,1.7,1,5.0,1,63,48.0,7.443,3.3,8,45.0
5.815,18,38.875,1.013,37.653,19,21,8,66.235,59,26,59.771,10,25,42.4,1.123,0.164,0.0,0,10.2,0,61,47.0,7.636,3.4,6,44.1
7.187,18,32.165,1.014,31.312,19,21,6,52.701,47,19,47.651,7,22,46.8,1.121,0.143,2.1,1,6.4,1,49,42.0,8.052,4.3,3,40.4
6.466,18,32.165,1.014,31.312,19,21,6,52.701,47,19,47.651,7,22,46.8,1.121,0.143,2.1,1,6.4,1,49,42.0,8.052,4.3,3,40.4
5.0,18,40.273,0.995,38.036,19,21,5,67.022,60,28,59.672,8,27,45.0,1.117,0.127,0.0,0,5.0,0,63,47.0,7.143,3.3,8,46.7
5.0,12,42.557,0.99,39.616,13,15,5,74.268,66,34,65.323,8,27,40.9,1.125,0.116,0.0,0,4.5,0,69,44.0,6.585,3.0,14,51.5
6.693,18,32.165,1.014,31.312,19,21,6,52.701,47,19,47.651,7,22,46.8,1.121,0.143,2.1,1,6.4,1,49,42.0,8.052,4.3,3,40.4
7.983,17,31.114,1.008,29.589,17,20,6,48.866,44,18,44.331,7,20,45.5,1.111,0.152,0.0,0,6.8,0,46,39.5,8.329,4.5,3,40.9
7.292,18,30.341,1.029,30.168,19,21,7,49.626,44,16,45.28,7,21,47.7,1.128,0.152,4.5,2,6.8,2,46,42.0,8.691,4.5,2,36.4
7.456,12,34.103,1.003,32.007,13,15,6,56.034,50,23,50.134,7,21,42.0,1.121,0.135,2.0,1,6.0,0,52,38.0,8.627,4.0,8,46.0
6.197,18,32.898,1.043,32.906,19,21,9,53.325,47,16,49.0,7,22,46.8,1.135,0.143,8.5,4,6.4,3,49,45.0,9.55,4.3,3,34.0
5.0,18,33.392,1.041,33.104,19,21,9,53.222,47,16,48.905,7,22,46.8,1.132,0.143,8.5,4,6.4,3,49,45.0,10.496,4.3,3,34.0
6.939,12,34.512,0.996,32.509,13,15,5,59.607,53,26,52.789,7,22,41.5,1.125,0.127,0.0,0,5.7,0,55,38.0,6.915,3.8,9,49.1
7.131,12,32.75,0.998,30.982,13,15,5,56.192,50,24,49.905,7,21,42.0,1.124,0.135,0.0,0,6.0,0,52,37.0,7.049,4.0,8,48.0
7.432,12,34.966,1.002,33.224,13,15,6,60.817,54,26,54.116,8,22,40.7,1.126,0.143,0.0,0,7.4,0,56,39.0,7.083,3.7,9,48.1
7.616,18,32.165,1.014,31.312,19,21,6,52.701,47,19,47.651,7,22,46.8,1.121,0.143,2.1,1,6.4,1,49,42.0,8.052,4.3,3,40.4
6.38,24,37.926,1.01,36.838,25,27,6,60.117,54,21,54.534,8,27,50.0,1.113,0.14,1.9,1,5.6,1,57,51.0,8.157,3.7,2,38.9
5.498,18,37.051,1.025,36.51,19,21,9,63.16,56,23,57.4,10,24,42.9,1.128,0.172,1.8,1,10.7,1,58,47.0,8.116,3.6,5,41.1
9.602,0,35.546,0.985,32.573,4,3,3,64.271,57,32,56.12,3,22,38.6,1.128,0.05,0.0,0,5.3,0,60,31.0,6.045,0.0,18,56.1
6.678,12,27.04,0.994,25.641,14,14,3,43.658,39,17,38.785,1,19,48.7,1.119,0.024,2.6,1,0.0,1,41,33.0,7.497,5.1,4,43.6
7.382,12,38.301,1.052,38.626,14,17,13,63.973,56,19,58.905,3,24,42.9,1.142,0.05,7.1,4,8.9,4,60,53.0,9.599,5.4,9,33.9
5.301,6,28.284,1.044,28.573,8,9,9,49.464,43,16,44.894,1,18,41.9,1.15,0.022,7.0,3,7.0,3,46,37.0,8.823,7.0,9,37.2
5.0,23,44.262,1.036,43.577,21,24,12,72.637,64,24,66.287,9,28,43.8,1.135,0.134,7.8,5,6.3,3,67,55.5,9.288,4.7,7,37.5
5.0,23,43.5,1.039,43.05,21,24,12,70.222,62,22,64.403,9,28,45.2,1.133,0.136,8.1,5,6.5,3,66,56.5,9.555,4.8,7,35.5
5.0,23,43.5,1.039,43.05,21,24,12,70.222,62,22,64.403,9,28,45.2,1.133,0.136,8.1,5,6.5,3,66,56.5,9.555,4.8,7,35.5
7.0,11,25.557,0.989,23.972,11,13,3,42.528,38,18,37.6,3,17,44.7,1.119,0.077,0.0,0,2.6,0,39,29.5,7.01,5.3,5,47.4
6.783,11,26.563,0.993,24.993,11,13,4,45.026,40,19,39.702,3,17,42.5,1.126,0.073,0.0,0,2.5,0,41,30.5,7.035,7.5,5,47.5
7.854,6,33.569,1.03,33.153,8,9,9,59.709,52,22,53.545,3,21,40.4,1.148,0.055,5.8,3,5.8,3,55,40.0,8.105,5.8,12,42.3
6.575,6,33.262,1.039,33.341,9,10,10,58.504,51,20,52.989,2,21,41.2,1.147,0.037,5.9,3,7.8,3,54,42.0,8.538,5.9,11,39.2
5.793,6,35.023,1.035,34.868,9,10,10,61.919,54,22,55.872,2,22,40.7,1.147,0.035,5.6,3,7.4,3,57,43.0,8.324,5.6,12,40.7
7.303,6,34.262,1.038,34.341,9,10,10,59.504,52,20,53.989,2,22,42.3,1.144,0.036,5.8,3,7.7,3,56,44.0,8.605,5.8,12,38.5
7.453,12,37.262,1.036,37.341,15,16,10,62.504,55,20,56.989,2,25,45.5,1.136,0.034,5.5,3,7.3,3,59,50.0,8.791,5.5,9,36.4
5.337,6,36.029,1.035,35.889,9,10,11,64.417,56,23,57.974,2,22,39.3,1.15,0.034,5.4,3,7.1,3,59,44.0,8.294,7.1,12,41.1
7.597,12,38.267,1.037,38.363,15,16,11,65.002,57,21,59.091,2,25,43.9,1.14,0.033,5.3,3,7.0,3,61,51.0,8.746,7.0,9,36.8
6.229,6,33.716,1.045,34.056,9,10,11,59.713,52,20,54.316,3,21,40.4,1.148,0.055,5.8,3,9.6,3,55,43.0,8.682,5.8,11,38.5
8.106,6,35.478,1.04,35.583,9,10,11,63.128,55,22,57.2,4,22,40.0,1.148,0.069,5.5,3,9.1,3,58,44.0,8.463,5.5,12,40.0
7.474,12,38.205,1.046,38.746,15,16,12,65.342,57,20,59.603,2,25,43.9,1.146,0.033,7.0,4,7.0,4,61,52.0,9.061,7.0,9,35.1
5.455,6,32.602,1.051,32.716,8,11,12,56.218,49,18,51.509,2,19,38.8,1.147,0.038,6.1,3,10.2,3,52,43.0,9.336,6.1,10,36.7
7.434,6,34.364,1.046,34.243,8,11,12,59.633,52,20,54.392,3,20,38.5,1.147,0.055,5.8,3,9.6,3,55,44.0,9.067,5.8,11,38.5
7.463,12,38.364,1.043,38.243,14,17,12,63.633,56,20,58.392,3,24,42.9,1.136,0.05,5.4,3,8.9,3,60,52.0,9.277,5.4,9,35.7
5.906,12,37.608,1.047,37.738,13,17,13,62.716,55,19,57.611,3,23,41.8,1.14,0.051,5.5,3,9.1,3,59,52.0,9.464,7.3,9,34.5
7.545,12,39.369,1.043,39.265,14,17,13,66.131,58,21,60.494,3,24,41.4,1.14,0.048,5.2,3,8.6,3,62,53.0,9.217,6.9,9,36.2
8.079,12,40.125,1.039,39.77,14,17,12,67.048,59,22,61.276,3,25,42.4,1.136,0.048,5.1,3,8.5,3,63,53.0,9.044,5.1,10,37.3
6.983,12,35.154,1.047,35.443,12,15,12,58.404,51,17,53.422,2,22,43.1,1.145,0.036,7.8,4,5.9,3,55,48.0,9.645,9.8,9,33.3
6.424,12,34.296,1.041,34.616,12,15,11,58.46,51,18,53.098,2,22,43.1,1.146,0.036,5.9,3,5.9,3,55,47.0,8.97,9.8,9,35.3
8.089,12,38.267,1.037,38.363,15,16,11,65.002,57,21,59.091,3,25,43.9,1.14,0.049,5.3,3,7.0,3,61,51.0,8.746,7.0,9,36.8
5.485,6,29.432,1.061,30.476,10,11,11,50.467,44,14,46.665,1,19,43.2,1.147,0.021,6.8,3,11.4,3,47,42.0,9.576,6.8,8,31.8
5.478,6,33.955,1.048,34.529,10,11,11,58.298,51,18,53.432,3,22,43.1,1.143,0.055,5.9,3,9.8,3,55,46.0,9.048,5.9,11,35.3
7.921,6,35.478,1.04,35.583,9,10,11,63.128,55,22,57.2,3,22,40.0,1.148,0.052,5.5,3,9.1,3,58,44.0,8.463,5.5,12,40.0
5.409,6,33.409,1.054,34.244,10,11,12,58.507,51,18,53.76,2,21,41.2,1.147,0.037,5.9,3,11.8,3,54,45.0,9.126,5.9,10,35.3
6.629,6,34.267,1.039,34.363,9,10,11,61.002,53,21,55.091,2,21,39.6,1.151,0.036,5.7,3,7.5,3,56,43.0,8.499,7.5,11,39.6
