pXC50,O.,RBF,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM
6.959,4.5,0.042,8.86,50.0,36.4,1.011,1.108,0.73,0.705,389.86,6.8,20,44,0,23
4.86,5.9,0.054,9.07,50.0,35.3,1.01,1.1,0.746,0.715,308.38,5.9,15,34,0,18
6.509,4.3,0.04,8.053,47.8,39.1,1.005,1.116,0.701,0.678,370.44,8.7,20,46,0,23
5.553,4.7,0.043,8.196,53.5,37.2,1.001,1.101,0.727,0.701,352.41,4.7,21,43,0,24
4.0,6.3,0.077,8.218,52.1,37.5,1.005,1.103,0.718,0.696,394.45,4.2,22,48,0,25
5.854,8.0,0.074,8.269,48.0,38.0,1.014,1.113,0.699,0.683,413.46,6.0,20,50,0,24
5.022,6.3,0.058,8.301,47.9,37.5,1.012,1.115,0.702,0.686,398.45,8.3,20,48,0,24
5.523,6.3,0.058,8.03,47.9,39.6,1.007,1.113,0.697,0.675,385.45,6.3,20,48,0,23
4.398,7.3,0.068,8.107,48.8,39.0,1.009,1.111,0.7,0.68,332.38,4.9,16,41,0,19
5.538,4.7,0.043,8.289,48.8,37.2,1.008,1.114,0.709,0.69,356.41,9.3,20,43,0,23
6.174,10.3,0.071,8.906,48.7,33.3,1.026,1.113,0.709,0.707,347.35,7.7,16,39,0,21
5.959,8.7,0.06,8.705,47.8,34.8,1.022,1.116,0.705,0.698,400.42,8.7,20,46,0,25
5.125,5.1,0.048,8.138,48.7,38.5,1.007,1.113,0.705,0.683,317.37,7.7,16,39,0,19
5.959,6.3,0.058,8.03,47.9,39.6,1.007,1.113,0.697,0.675,385.45,6.3,20,48,0,23
6.0,5.4,0.05,10.964,51.4,29.7,1.031,1.101,0.785,0.76,405.67,5.4,16,37,0,19
6.328,4.3,0.039,7.861,48.9,40.4,1.001,1.111,0.702,0.675,369.45,6.4,20,47,0,23
5.284,5.9,0.054,9.07,50.0,35.3,1.01,1.1,0.746,0.715,308.38,5.9,15,34,0,18
6.658,4.9,0.044,8.327,51.2,36.6,1.006,1.107,0.719,0.699,341.39,7.3,20,41,0,23
8.268,3.3,0.03,7.51,46.7,43.3,0.996,1.116,0.688,0.655,450.58,6.7,20,60,0,23
4.0,5.4,0.05,9.102,51.4,35.1,1.013,1.104,0.739,0.715,336.79,5.4,16,37,0,19
6.229,4.3,0.039,7.861,48.9,40.4,1.001,1.111,0.702,0.675,369.45,6.4,20,47,0,23
5.62,4.7,0.043,7.684,48.8,41.9,0.998,1.11,0.698,0.667,330.41,4.7,16,43,0,19
5.824,8.7,0.06,8.705,47.8,34.8,1.022,1.116,0.705,0.698,400.42,8.7,20,46,0,25
5.721,10.3,0.071,8.906,48.7,33.3,1.026,1.113,0.709,0.707,347.35,7.7,16,39,0,21
6.0,5.0,0.047,7.909,50.0,40.0,1.001,1.108,0.706,0.679,316.38,5.0,16,40,0,19
4.569,8.5,0.059,8.499,48.9,36.2,1.017,1.111,0.706,0.694,399.43,6.4,20,47,0,24
5.161,5.2,0.079,7.958,50.0,39.7,1.002,1.108,0.707,0.681,461.55,5.2,26,58,0,29
5.398,5.7,0.053,8.324,48.6,37.1,1.011,1.114,0.707,0.689,291.33,8.6,15,35,0,18
5.114,5.4,0.05,8.172,51.4,37.8,1.004,1.106,0.716,0.693,302.35,5.4,16,37,0,19
4.0,4.5,0.042,8.078,50.0,38.6,1.003,1.11,0.71,0.686,355.42,6.8,20,44,0,23
5.921,3.7,0.068,7.991,51.9,38.9,0.998,1.105,0.718,0.69,431.52,5.6,26,54,0,29
5.495,5.1,0.048,8.138,48.7,38.5,1.007,1.113,0.705,0.683,317.37,7.7,16,39,0,19
6.046,5.0,0.045,8.961,52.5,35.0,1.006,1.096,0.753,0.721,358.44,5.0,20,40,0,23
5.398,5.9,0.055,8.088,47.1,39.2,1.009,1.117,0.696,0.675,412.48,7.8,20,51,0,24
6.444,3.9,0.054,8.186,52.9,37.3,1.001,1.103,0.726,0.7,417.49,5.9,26,51,0,29
6.42,4.2,0.058,8.365,47.9,39.6,1.002,1.107,0.722,0.685,401.52,6.3,20,48,0,23
6.222,6.3,0.058,8.03,47.9,39.6,1.007,1.113,0.697,0.675,385.45,6.3,20,48,0,23
6.0,4.3,0.04,8.053,47.8,39.1,1.005,1.116,0.701,0.678,370.44,8.7,20,46,0,23
