pXC50,nS,nH,nHM,nCsp2,nBM,MW,Se,Sp,Si,nDB,nAT
6.97,0,40,0,14,18,556.78,80.614,52.341,91.676,1,81.0
8.07,0,39,0,13,13,539.73,78.101,49.722,88.691,1,78.0
7.96,0,38,0,14,17,536.73,76.992,49.512,87.565,1,77.0
7.46,0,38,0,13,17,536.74,76.985,49.307,87.937,1,77.0
5.8,0,40,0,14,18,556.78,80.614,52.341,91.676,1,81.0
5.0,0,26,0,12,16,382.51,54.109,34.762,61.189,0,54.0
5.0,0,26,0,12,16,382.51,54.109,34.762,61.189,0,54.0
5.0,0,26,0,12,16,382.51,54.109,34.762,61.189,0,54.0
5.0,0,28,0,13,16,380.54,55.665,36.069,63.394,0,56.0
5.0,0,25,0,13,16,367.49,52.007,33.756,58.69,0,52.0
5.0,0,26,0,13,16,399.51,55.403,35.455,62.445,0,55.0
5.0,0,24,0,13,16,419.49,55.101,34.875,61.915,0,54.0
5.0,1,32,1,19,24,536.71,70.491,46.603,78.773,2,70.0
5.0,0,29,0,13,16,407.56,58.774,38.279,66.521,0,59.0
5.0,0,31,0,13,16,409.58,60.658,39.04,68.936,0,61.0
5.0,0,26,0,13,16,465.52,60.64,37.546,67.749,0,59.0
5.0,1,27,2,13,18,495.05,61.047,39.938,67.887,2,60.0
5.0,0,30,0,14,17,438.58,62.203,39.739,70.228,1,62.0
5.0,0,26,0,12,16,382.51,54.109,34.762,61.189,0,54.0
5.0,0,30,0,13,16,410.57,59.876,38.284,68.019,0,60.0
5.0,0,33,0,14,17,467.62,67.196,42.711,75.77,1,67.0
5.0,0,28,0,13,16,413.54,58.287,37.216,65.86,0,58.0
5.0,1,32,1,13,18,488.67,66.491,42.603,74.773,2,66.0
5.0,0,33,0,13,16,451.62,65.869,42.256,74.561,0,66.0
5.0,0,28,0,13,16,429.54,59.614,37.671,67.07,0,59.0
5.0,0,28,0,13,16,380.54,55.665,36.069,63.394,0,56.0
5.0,0,33,0,13,16,423.61,63.541,40.802,72.351,0,64.0
5.0,0,34,0,14,17,478.65,68.97,44.262,78.059,1,69.0
5.0,1,25,1,13,16,383.56,51.756,34.949,58.401,0,52.0
5.0,1,25,1,13,16,383.56,51.756,34.949,58.401,0,52.0
5.0,0,28,0,13,16,413.54,58.287,37.216,65.86,0,58.0
5.0,1,27,1,14,17,425.6,56.967,38.165,64.026,1,57.0
5.0,1,27,1,13,16,397.59,54.64,36.711,61.816,0,55.0
5.0,1,27,1,13,16,397.59,54.64,36.711,61.816,0,55.0
5.0,1,24,2,13,18,483.01,57.349,37.659,63.602,2,56.0
5.0,0,26,1,13,16,415.96,55.214,36.375,62.05,0,55.0
5.0,1,31,1,13,18,473.65,64.389,41.597,72.275,2,64.0
5.0,0,26,0,13,18,426.52,57.763,36.671,64.607,2,57.0
5.0,1,37,1,17,23,567.78,77.36,50.131,87.102,2,77.0
7.1,0,39,0,12,14,529.75,77.512,50.336,88.178,1,78.0
5.62,0,42,0,12,10,534.77,80.505,51.307,91.72,4,81.0
5.0,0,28,0,14,17,457.55,61.941,39.125,69.279,1,61.0
7.04,0,39,0,13,17,545.75,78.839,50.79,89.388,1,79.0
5.0,0,29,0,14,17,456.57,62.716,39.676,70.568,1,62.0
5.0,0,28,1,14,17,474.0,61.752,40.046,68.884,1,61.0
5.0,0,24,1,14,17,429.94,54.658,36.068,60.844,1,54.0
6.93,0,34,0,19,21,510.69,71.643,47.807,80.849,3,72.0
7.07,0,34,0,13,15,494.65,70.298,44.716,79.268,3,70.0
6.7,0,40,0,13,13,521.74,77.588,49.785,88.352,1,78.0
5.0,1,28,2,13,18,527.07,64.443,41.637,71.642,2,63.0
5.0,0,23,2,13,16,420.37,51.327,35.017,57.369,0,51.0
5.0,1,32,1,16,23,540.71,70.811,45.853,79.354,2,70.0
5.0,1,26,1,12,16,398.58,53.858,35.955,60.899,0,54.0
7.24,0,40,0,13,13,521.74,77.588,49.785,88.352,1,78.0
7.68,0,39,0,13,13,539.73,78.101,49.722,88.691,1,78.0
6.48,0,40,0,12,13,504.74,76.294,49.091,87.095,1,77.0
6.39,0,39,1,12,13,539.18,76.618,49.949,87.039,1,77.0
7.04,0,39,1,12,13,539.18,76.618,49.949,87.039,1,77.0
6.72,1,39,1,13,17,561.82,78.589,51.983,89.098,1,79.0
5.0,1,37,1,13,18,543.75,75.367,48.336,84.73,2,75.0
5.0,1,29,1,13,16,411.62,57.523,38.472,65.231,0,58.0
5.0,1,24,1,14,17,412.56,53.302,35.648,59.693,1,53.0
5.0,1,23,1,19,22,405.56,51.872,36.188,57.986,0,52.0
5.0,1,26,2,13,16,432.03,54.963,37.568,61.76,0,55.0
7.7,0,39,0,13,17,545.75,78.839,50.79,89.388,1,79.0
7.71,0,38,0,12,17,546.74,78.058,50.035,88.471,1,78.0
7.02,1,38,1,12,17,562.81,77.807,51.228,88.181,1,78.0
6.62,0,40,0,13,17,544.77,79.614,51.341,90.676,1,80.0
5.9,0,41,0,14,17,543.78,80.396,52.097,91.593,1,81.0
5.57,0,40,0,13,17,544.77,79.614,51.341,90.676,1,80.0
6.373,2,68,2,35,37,1153.49,151.043,97.137,168.958,9,149.0
5.0,2,68,2,35,37,1137.49,149.716,96.683,167.749,9,148.0
6.0,2,63,2,35,37,1110.41,143.174,92.609,159.629,9,141.0
6.42,2,72,2,35,37,1197.55,158.137,101.114,176.998,9,156.0
6.0,2,58,2,34,36,1023.32,131.65,86.171,146.882,8,130.0
6.0,2,65,2,35,37,1124.44,146.057,94.37,163.045,9,144.0
6.0,2,63,2,28,30,1034.36,136.847,87.154,153.42,8,135.0
6.481,2,66,2,27,29,1035.39,139.512,88.671,156.752,7,138.0
6.73,2,65,3,27,29,1161.28,139.581,91.33,156.473,7,138.0
6.447,2,75,3,27,29,1323.44,161.636,103.41,180.596,7,159.0
6.614,2,85,3,27,29,1485.6,183.69,115.489,204.719,7,180.0
6.309,3,77,4,29,31,1425.56,170.25,109.728,189.35,9,167.0
6.678,2,95,3,27,29,1647.76,205.745,127.569,228.842,7,201.0
6.728,2,63,3,28,30,1175.26,139.025,91.023,155.267,8,137.0
6.0,2,73,3,28,30,1337.42,161.079,103.103,179.39,8,158.0
6.121,2,83,3,28,30,1499.58,183.134,115.182,203.513,8,179.0
6.085,2,93,3,28,30,1661.74,205.188,127.262,227.636,8,200.0
6.4,3,77,4,29,31,1425.56,170.25,109.728,189.35,9,167.0
7.721,0,28,0,17,21,396.58,57.01,39.16,64.976,0,58.0
5.42,1,33,1,17,21,443.71,63.636,44.086,72.643,0,65.0
7.076,0,30,0,17,21,434.63,61.894,42.921,70.391,0,63.0
6.0,0,68,0,29,30,981.29,139.915,87.683,158.118,8,139.0
6.05,0,74,0,42,43,1147.47,158.894,102.421,178.573,9,158.0
7.602,0,74,0,42,43,1147.47,158.894,102.421,178.573,9,158.0
6.0,0,70,0,33,35,1031.35,145.799,92.444,164.533,8,145.0
6.0,0,70,0,35,36,1043.36,146.799,93.444,165.533,8,146.0
6.0,0,70,0,35,36,1043.36,146.799,93.444,165.533,8,146.0
7.034,0,76,0,46,48,1197.53,164.777,107.183,184.988,9,164.0
8.318,0,34,0,17,21,426.66,64.661,43.444,74.221,0,66.0
6.301,0,35,1,17,18,543.11,73.512,47.54,82.255,1,73.0
6.367,0,35,1,17,18,543.11,73.512,47.54,82.255,1,73.0
5.076,0,38,0,17,18,522.7,76.072,48.444,85.727,1,76.0
5.879,0,38,0,17,18,522.7,76.072,48.444,85.727,1,76.0
6.42,0,36,0,21,23,544.7,76.189,49.682,85.311,1,76.0
5.199,1,33,2,17,18,545.15,70.378,46.972,78.551,1,70.0
5.426,1,49,1,11,15,619.92,91.988,57.154,104.802,5,92.0
5.575,0,47,0,18,20,617.87,91.701,58.29,104.258,4,92.0
5.889,0,47,0,17,19,589.86,89.374,56.836,102.048,3,90.0
5.0,2,58,2,22,24,927.24,123.65,78.171,138.882,8,122.0
5.0,0,29,0,17,19,485.59,65.003,41.165,73.197,3,64.0
5.0,2,58,2,22,24,927.24,123.65,78.171,138.882,8,122.0
5.0,1,32,1,23,31,536.76,70.501,49.035,79.517,1,71.0
5.301,0,19,0,24,28,361.47,46.374,34.108,51.817,0,47.0
5.0,0,32,0,19,23,468.66,66.425,44.387,75.597,2,67.0
5.602,0,19,0,18,24,373.45,47.349,32.267,52.817,2,47.0
5.432,1,33,1,15,21,475.72,66.283,44.79,75.434,1,67.0
5.301,0,20,0,18,22,328.45,44.476,31.114,50.315,0,45.0
5.77,1,20,1,20,26,384.54,47.552,34.762,53.235,0,48.0
7.302,2,66,2,27,29,1019.39,138.185,88.217,155.543,7,137.0
6.347,0,40,0,17,21,468.75,73.312,48.728,84.467,0,75.0
6.387,2,79,2,53,55,1334.77,175.588,117.791,196.532,9,175.0
6.155,0,21,0,18,22,343.47,46.578,32.12,52.813,1,47.0
6.602,0,23,0,24,28,405.54,53.461,37.881,60.228,1,54.0
6.699,0,21,0,24,28,441.52,54.487,37.756,60.908,1,54.0
6.678,0,26,0,18,22,402.54,55.781,37.307,62.979,1,56.0
6.387,0,22,0,24,28,489.54,59.21,39.909,65.872,1,58.0
5.854,0,31,0,24,28,461.66,64.996,44.927,73.889,1,66.0
9.102,0,34,0,17,21,426.66,64.661,43.444,74.221,0,66.0
6.0,2,69,3,37,41,1177.98,152.268,100.393,170.689,8,151.0
7.163,2,69,3,37,41,1177.98,152.268,100.393,170.689,8,151.0
7.039,2,68,3,35,40,1166.96,150.486,98.637,168.772,8,149.0
6.188,0,76,1,40,42,1170.94,160.875,103.592,181.221,8,160.0
5.948,0,78,1,44,47,1221.0,166.759,108.353,187.636,8,166.0
7.046,0,78,1,44,47,1221.0,166.759,108.353,187.636,8,166.0
6.666,0,75,0,40,42,1138.47,158.995,101.427,179.071,8,158.0
6.268,2,104,2,41,43,1638.12,222.199,138.774,249.642,15,219.0
7.418,2,67,3,37,41,1163.95,149.385,98.631,167.274,8,148.0
6.481,2,69,3,37,41,1177.98,152.268,100.393,170.689,8,151.0
6.24,2,72,2,37,41,1157.57,154.828,101.296,174.16,8,154.0
8.921,2,104,2,41,43,1638.12,222.199,138.774,249.642,15,219.0
6.409,2,69,3,37,41,1177.98,152.268,100.393,170.689,8,151.0
6.502,2,69,3,37,41,1177.98,152.268,100.393,170.689,8,151.0
6.854,2,71,3,37,41,1192.01,155.152,102.154,174.104,8,154.0
7.18,2,69,3,37,41,1177.98,152.268,100.393,170.689,8,151.0
6.347,2,69,3,37,41,1177.98,152.268,100.393,170.689,8,151.0
6.27,2,68,2,34,40,1133.51,149.381,97.024,167.911,8,148.0
6.83,2,71,2,39,45,1182.58,156.046,102.541,175.243,8,155.0
6.0,2,61,3,37,41,1121.86,140.734,93.347,157.028,8,139.0
7.627,2,63,3,37,41,1135.89,143.617,95.109,160.443,8,142.0
6.234,2,73,3,39,42,1218.05,159.035,104.916,178.519,8,158.0
9.499,2,104,2,41,43,1638.12,222.199,138.774,249.642,15,219.0
8.62,2,104,2,41,43,1638.12,222.199,138.774,249.642,15,219.0
7.845,2,103,2,39,39,1615.08,219.424,136.223,246.353,15,216.0
8.699,2,103,2,39,39,1615.08,219.424,136.223,246.353,15,216.0
8.824,2,105,2,43,44,1649.14,223.981,140.529,251.559,15,221.0
9.319,2,105,2,43,44,1649.14,223.981,140.529,251.559,15,221.0
6.693,2,107,2,42,44,1679.18,228.184,142.541,256.555,15,225.0
7.606,2,107,2,42,44,1679.18,228.184,142.541,256.555,15,225.0
7.886,2,66,2,34,36,1079.44,143.185,93.217,160.543,8,142.0
8.174,2,67,2,36,37,1090.46,144.966,94.972,162.46,8,144.0
6.785,2,69,2,35,37,1120.5,149.17,96.984,167.456,8,148.0
6.524,2,69,2,35,37,1120.5,149.17,96.984,167.456,8,148.0
7.013,1,25,2,19,26,477.08,57.847,41.154,65.006,0,58.0
7.387,1,28,1,19,26,456.67,60.407,42.057,68.477,0,61.0
8.403,3,207,3,60,62,3149.06,434.507,264.098,489.819,34,427.0
7.086,0,60,0,26,28,837.14,121.079,77.024,137.247,6,121.0
6.688,0,58,0,26,28,823.11,118.196,75.262,133.832,6,118.0
7.009,0,58,0,26,28,823.11,118.196,75.262,133.832,6,118.0
6.511,0,58,0,26,28,823.11,118.196,75.262,133.832,6,118.0
6.764,0,60,0,26,28,837.14,121.079,77.024,137.247,6,121.0
6.757,0,60,0,26,28,837.14,121.079,77.024,137.247,6,121.0
6.699,0,62,0,26,28,851.17,123.963,78.785,140.663,6,124.0
6.483,2,70,2,46,48,1171.58,154.297,103.83,172.954,8,154.0
6.951,2,70,2,46,48,1171.58,154.297,103.83,172.954,8,154.0
8.569,0,34,0,17,21,426.66,64.661,43.444,74.221,0,66.0
7.585,0,28,0,17,21,396.58,57.01,39.16,64.976,0,58.0
8.69,0,30,0,17,21,430.6,61.549,40.83,69.81,0,62.0
7.854,0,26,0,17,21,398.55,55.454,37.853,62.77,0,56.0
5.921,0,26,0,17,21,398.55,55.454,37.853,62.77,0,56.0
7.435,0,24,0,17,21,384.52,52.571,36.091,59.355,0,53.0
8.385,1,26,1,17,21,414.62,55.203,39.046,62.48,0,56.0
6.539,1,26,1,17,22,430.62,56.531,39.5,63.69,1,57.0
6.73,1,26,1,17,23,446.62,57.858,39.955,64.899,2,58.0
6.0,0,35,0,18,22,497.7,71.418,47.358,81.138,1,72.0
6.658,0,27,0,17,21,397.57,56.229,38.404,64.059,0,57.0
7.567,0,29,0,18,22,439.61,61.44,41.62,69.683,1,62.0
7.357,1,29,1,17,23,475.67,62.843,42.722,70.813,2,63.0
7.18,0,29,0,18,22,455.61,62.767,42.074,70.893,1,63.0
6.745,0,30,0,18,22,454.63,63.541,42.625,72.182,1,64.0
6.0,2,73,2,42,46,1192.61,158.61,105.052,178.077,8,158.0
6.534,2,74,2,43,47,1203.64,160.384,106.603,180.366,8,160.0
6.0,2,69,2,32,35,1096.48,147.17,94.984,165.456,8,146.0
6.629,2,63,2,28,30,1034.36,136.847,87.154,153.42,8,135.0
6.0,2,65,2,35,37,1124.44,146.057,94.37,163.045,9,144.0
6.178,2,69,2,36,37,1120.49,149.177,97.188,167.084,8,148.0
7.745,2,69,2,36,37,1120.49,149.177,97.188,167.084,8,148.0
6.153,2,69,2,36,37,1120.49,149.177,97.188,167.084,8,148.0
5.589,0,37,0,18,19,499.72,73.301,48.12,83.554,3,74.0
7.149,0,27,0,18,22,425.58,58.556,39.858,66.268,1,59.0
5.921,0,34,0,21,27,494.7,70.309,47.148,80.012,1,71.0
5.509,0,21,0,20,26,367.49,48.578,34.12,54.813,0,49.0
6.0,2,105,2,52,53,1645.17,223.686,144.12,250.977,12,222.0
6.0,2,105,2,52,53,1645.17,223.686,144.12,250.977,12,222.0
6.063,2,105,2,52,53,1645.17,223.686,144.12,250.977,12,222.0
7.276,2,68,2,34,36,1093.47,146.068,94.978,163.958,8,145.0
6.0,2,104,2,39,41,1594.1,218.551,137.069,245.851,13,216.0
5.885,2,76,2,45,48,1229.68,164.268,109.365,184.781,8,164.0
6.046,2,98,2,46,47,1556.03,210.253,134.081,235.814,12,208.0
7.409,2,78,2,35,37,1207.64,164.134,105.49,184.825,9,163.0
9.2,0,68,0,39,41,1077.37,147.915,95.683,166.118,7,147.0
6.362,2,73,2,41,46,1192.62,158.603,104.848,178.449,8,158.0
6.246,2,69,2,28,30,1052.47,143.515,93.075,162.037,8,143.0
6.842,2,75,2,43,47,1234.65,163.821,108.268,183.702,9,163.0
6.678,2,68,2,30,32,1133.47,149.363,94.387,167.539,10,147.0
7.415,2,65,2,28,30,1032.39,138.403,88.461,155.626,8,137.0
7.481,0,21,0,20,26,412.51,52.192,36.063,58.651,0,52.0
7.721,0,19,0,19,26,414.48,50.636,34.756,56.445,0,50.0
7.237,0,19,0,19,26,414.48,50.636,34.756,56.445,0,50.0
8.137,0,25,0,29,33,484.61,61.64,44.336,68.9,0,62.0
9.101,0,23,0,22,31,494.58,60.723,41.529,67.857,0,60.0
8.959,0,23,0,22,31,494.58,60.723,41.529,67.857,0,60.0
8.541,0,23,0,22,31,494.58,60.723,41.529,67.857,0,60.0
9.068,0,23,0,22,31,494.58,60.723,41.529,67.857,0,60.0
9.143,0,25,0,23,31,492.61,62.28,42.836,70.063,0,62.0
8.921,0,21,0,21,31,496.55,59.167,40.222,65.651,0,58.0
8.399,0,25,0,17,21,416.54,55.967,37.79,63.11,0,56.0
8.097,0,21,0,20,26,412.51,52.192,36.063,58.651,0,52.0
6.0,0,36,0,22,24,508.72,73.199,49.114,83.055,2,74.0
6.6,0,37,0,23,25,551.75,77.629,51.574,87.763,3,78.0
6.939,2,68,3,38,41,1178.96,151.494,99.842,169.4,8,150.0
5.968,2,73,2,42,46,1192.61,158.61,105.052,178.077,8,158.0
6.793,2,73,2,42,46,1192.61,158.61,105.052,178.077,8,158.0
5.0,0,27,0,13,16,381.52,54.891,35.517,62.106,0,55.0
5.0,0,31,0,13,16,409.58,60.658,39.04,68.936,0,61.0
5.0,0,24,1,13,16,385.93,51.003,34.159,57.425,0,51.0
5.0,0,27,0,13,16,365.52,53.563,35.063,60.896,0,54.0
5.0,1,31,1,13,18,489.66,65.709,41.847,73.856,2,65.0
5.0,0,25,0,13,16,367.49,52.007,33.756,58.69,0,52.0
5.0,0,26,1,12,13,387.95,52.887,34.921,59.84,1,53.0
5.06,0,32,0,13,15,464.62,66.087,42.5,74.644,3,66.0
5.63,0,27,1,15,21,535.49,62.214,42.671,69.817,1,62.0
5.27,0,30,1,14,14,524.51,63.88,43.188,72.15,4,64.0
5.14,0,27,1,15,21,535.49,62.214,42.671,69.817,1,62.0
6.0,0,68,0,29,30,981.29,139.915,87.683,158.118,8,139.0
6.0,0,70,0,35,36,1027.36,145.472,92.99,164.324,8,145.0
5.53,0,30,1,14,14,524.51,63.88,43.188,72.15,4,64.0
6.225,2,79,2,43,44,1282.7,171.243,111.7,191.951,9,170.0
6.03,2,64,2,27,30,1033.38,137.621,87.705,154.709,8,136.0
6.0,2,66,2,28,30,1031.4,139.185,89.217,156.543,8,138.0
6.0,2,98,2,45,47,1584.05,212.573,135.331,238.396,13,210.0
6.0,2,103,3,38,40,1659.98,213.639,137.365,240.943,12,212.0
8.097,2,90,2,37,39,1411.85,191.392,120.58,214.944,11,189.0
6.0,2,111,2,46,47,1639.23,228.329,145.2,257.595,12,227.0
6.0,2,108,2,50,52,1662.22,227.664,145.683,256.262,12,226.0
7.396,2,69,2,37,41,1211.54,156.366,101.109,175.179,8,154.0
5.0,2,70,2,36,37,1119.51,149.952,97.739,168.373,8,149.0
6.0,2,68,2,28,30,1061.44,143.388,91.228,161.539,8,142.0
6.009,2,72,2,36,38,1209.56,159.137,102.114,177.998,10,157.0
6.73,2,70,2,36,37,1119.51,149.952,97.739,168.373,8,149.0
6.209,2,96,3,44,46,1670.9,208.541,134.984,233.618,12,206.0
5.643,2,73,2,42,46,1192.61,158.61,105.052,178.077,8,158.0
6.724,2,72,2,36,38,1193.56,157.81,101.66,176.788,10,156.0
9.1,0,68,0,39,41,1061.37,146.588,95.228,164.908,7,146.0
8.252,2,67,2,34,36,1078.46,143.959,93.768,161.832,8,143.0
6.188,2,71,2,38,41,1158.55,154.054,100.745,172.871,8,153.0
7.745,2,66,4,33,36,1329.26,144.872,99.637,162.562,8,144.0
6.125,2,62,2,28,30,1003.34,133.417,85.694,149.712,8,132.0
6.0,2,69,2,36,37,1120.49,149.177,97.188,167.084,8,148.0
6.706,2,79,2,42,44,1314.71,173.89,112.404,194.742,10,172.0
6.0,2,66,4,28,30,1313.22,143.526,96.546,160.98,8,142.0
7.7,2,70,2,36,40,1131.53,150.945,98.535,169.745,8,150.0
6.381,0,67,0,39,41,1018.34,142.159,92.768,160.201,7,142.0
5.87,2,79,2,46,48,1258.72,169.261,112.336,190.323,8,169.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
6.0,2,98,2,43,45,1500.01,205.599,131.172,231.396,11,204.0
6.0,2,105,2,50,52,1649.17,224.006,143.37,251.558,12,222.0
6.906,2,67,2,28,30,1046.42,141.286,90.222,159.041,8,140.0
6.103,2,84,2,41,43,1297.77,176.784,114.774,199.07,9,176.0
6.0,2,104,2,39,41,1594.1,218.551,137.069,245.851,13,216.0
6.564,2,90,2,43,45,1443.89,194.064,124.126,217.735,11,192.0
7.883,2,66,2,34,36,1079.44,143.185,93.217,160.543,8,142.0
6.487,2,78,2,41,43,1271.68,169.461,109.944,190.034,9,168.0
6.332,2,75,2,44,47,1218.65,162.494,107.813,182.492,8,162.0
6.0,2,98,2,45,47,1584.05,212.573,135.331,238.396,13,210.0
7.886,2,66,2,34,36,1079.44,143.185,93.217,160.543,8,142.0
6.752,2,71,2,38,41,1158.55,154.054,100.745,172.871,8,153.0
6.0,0,70,0,27,29,983.31,141.799,88.444,160.533,7,141.0
7.6,2,100,2,35,37,1562.02,212.432,131.251,238.811,15,209.0
6.395,2,67,2,35,37,1122.47,147.614,95.677,165.25,9,146.0
7.886,2,66,2,34,36,1079.44,143.185,93.217,160.543,8,142.0
6.0,2,96,2,43,45,1501.98,204.042,129.865,229.19,11,202.0
6.0,2,98,2,43,45,1500.01,205.599,131.172,231.396,11,204.0
5.0,2,89,2,45,50,1496.92,197.603,126.62,221.399,11,195.0
6.636,3,75,3,37,41,1231.7,161.857,106.95,182.041,8,161.0
6.0,2,109,2,46,48,1697.23,231.42,146.598,260.18,14,229.0
6.0,2,100,2,38,40,1494.02,206.802,130.183,233.392,12,205.0
6.0,2,65,2,29,31,1060.4,140.73,89.915,157.835,9,139.0
6.818,2,73,2,41,46,1192.61,158.61,105.052,178.077,8,158.0
6.0,2,60,2,22,24,941.27,126.534,79.932,142.297,8,125.0
5.481,0,44,0,20,22,572.81,85.396,55.273,96.763,0,86.0
6.222,0,51,0,26,28,677.96,100.148,65.563,113.507,0,101.0
5.553,0,50,0,26,28,678.94,99.374,65.012,112.218,0,100.0
5.194,0,50,0,26,28,678.94,99.374,65.012,112.218,0,100.0
6.046,0,48,0,23,27,668.91,96.81,62.501,109.384,0,97.0
5.208,0,42,0,17,21,562.78,82.832,52.762,93.929,0,83.0
5.523,0,43,0,18,18,549.77,82.621,52.722,93.474,0,83.0
5.481,0,50,0,26,28,678.94,99.374,65.012,112.218,0,100.0
5.0,0,31,0,19,22,458.63,64.618,43.074,73.355,0,65.0
5.245,0,35,0,18,19,485.69,70.418,46.358,80.138,3,71.0
5.442,0,41,0,18,19,539.79,80.068,52.643,91.384,3,81.0
5.0,0,43,0,19,21,621.82,88.581,55.472,100.218,5,88.0
6.979,0,56,0,26,28,809.08,115.312,73.501,130.417,6,115.0
5.0,0,51,0,19,21,677.94,100.116,62.518,113.879,5,100.0
6.125,0,24,0,20,26,392.54,53.243,37.637,60.145,0,54.0
7.77,0,40,0,23,27,532.79,78.639,53.182,89.676,0,80.0
7.553,0,42,0,17,21,482.78,76.196,50.489,87.882,0,78.0
9.056,0,38,0,17,21,454.72,70.428,46.967,81.052,0,72.0
7.222,0,24,0,23,27,420.55,55.571,39.091,62.355,0,56.0
6.699,0,21,0,23,29,435.52,54.232,38.029,60.232,2,54.0
7.481,0,27,0,23,27,433.6,59.229,41.404,67.059,0,60.0
7.367,0,33,1,17,21,461.1,64.985,44.302,74.165,0,66.0
6.367,1,33,1,17,21,443.71,63.636,44.086,72.643,0,65.0
5.28,0,49,0,12,14,583.86,90.585,56.052,103.673,4,91.0
5.051,1,31,1,15,21,449.68,62.4,42.029,71.019,1,63.0
7.102,0,22,1,24,28,439.98,53.785,38.739,60.172,1,54.0
7.0,1,25,1,19,26,460.63,58.036,40.233,65.402,0,58.0
6.0,2,57,2,27,29,932.25,123.221,79.711,138.174,7,122.0
6.301,0,22,0,24,28,473.54,57.883,39.455,64.663,1,57.0
6.398,0,27,0,18,22,401.56,56.556,37.858,64.268,1,57.0
6.77,0,21,0,24,28,457.52,55.814,38.211,62.117,1,55.0
6.0,2,57,2,27,29,932.25,123.221,79.711,138.174,7,122.0
7.444,0,25,0,24,28,435.57,57.672,40.097,64.853,1,58.0
6.62,0,23,0,24,28,488.55,59.992,40.665,66.789,1,59.0
6.159,0,43,0,29,31,641.88,90.279,60.859,102.009,3,91.0
6.265,2,61,2,22,24,956.29,128.636,80.938,144.795,8,127.0
7.658,2,66,2,34,36,1095.44,144.512,93.671,161.752,8,143.0
6.0,2,111,2,46,48,1711.26,234.304,148.359,263.595,14,232.0
6.081,2,67,2,28,30,1046.42,141.286,90.222,159.041,8,140.0
6.0,2,99,2,45,46,1527.03,208.708,133.382,234.522,11,207.0
6.28,2,67,2,28,30,1046.42,141.286,90.222,159.041,8,140.0
6.987,2,66,2,33,38,1127.5,147.17,96.808,165.287,8,146.0
6.044,2,74,2,43,47,1203.64,160.384,106.603,180.366,8,160.0
9.1,0,66,0,36,40,1051.34,144.025,92.717,162.075,7,143.0
6.187,2,68,2,35,37,1137.49,149.716,96.683,167.749,9,148.0
7.77,2,67,2,28,30,1062.42,142.614,90.677,160.25,8,141.0
6.0,2,98,3,43,45,1640.92,207.77,134.836,233.615,11,206.0
6.431,3,78,3,41,46,1263.77,167.228,111.774,188.116,8,167.0
7.74,2,65,2,28,30,1048.39,139.73,88.915,156.835,8,138.0
6.78,2,69,2,37,41,1145.53,151.13,99.018,169.875,8,150.0
6.967,2,67,3,37,41,1163.95,149.385,98.631,167.274,8,148.0
7.276,2,67,3,37,41,1163.95,149.385,98.631,167.274,8,148.0
6.301,2,106,2,50,52,1648.19,224.78,143.922,252.847,12,223.0
6.462,2,96,2,43,45,1485.98,202.715,129.41,227.98,11,201.0
7.026,2,67,2,28,30,1062.42,142.614,90.677,160.25,8,141.0
7.284,2,73,2,35,37,1180.56,157.592,101.416,176.705,9,156.0
