pXC50,nH,nS,nHM,nC,nAT,RBN,SCBO,nSK,nBM,nBO,nCsp2,nAB,nHet,nBT,Si,MW,Se,nCsp3,nN
5.0,28,1,2,23,63.0,9,48.0,35,18,38,13,16,12,66.0,71.642,527.07,64.443,10,4
5.0,23,0,2,21,51.0,6,39.0,28,16,31,13,16,7,54.0,57.369,420.37,51.327,8,3
5.0,32,1,1,26,70.0,10,54.5,38,23,42,16,21,12,74.0,79.354,540.71,70.811,10,6
5.0,26,1,1,21,54.0,7,39.0,28,16,31,12,16,7,57.0,60.899,398.58,53.858,9,4
5.0,37,1,1,28,75.0,10,52.0,38,18,42,13,16,10,79.0,84.73,543.75,75.367,15,3
5.0,29,1,1,23,58.0,8,40.0,29,16,32,13,16,6,61.0,65.231,411.62,57.523,10,3
5.0,24,1,1,21,53.0,5,41.0,29,17,32,14,16,8,56.0,59.693,412.56,53.302,7,4
5.0,23,1,1,23,52.0,8,43.0,29,22,32,19,22,6,55.0,57.986,405.56,51.872,4,3
5.0,26,1,2,22,55.0,7,40.0,29,16,32,13,16,7,58.0,61.76,432.03,54.963,9,3
8.284,68,2,2,55,149.0,13,109.0,81,37,86,35,28,26,154.0,168.958,1153.49,151.043,20,12
6.0,68,2,2,55,148.0,12,108.0,80,37,85,35,28,25,153.0,167.749,1137.49,149.716,20,12
5.0,63,2,2,53,141.0,10,106.0,78,37,83,35,28,25,146.0,159.629,1110.41,143.174,18,11
7.62,72,2,2,57,156.0,16,112.0,84,37,89,35,28,27,161.0,176.998,1197.55,158.137,22,12
7.42,58,2,2,50,130.0,9,99.0,72,36,77,34,28,22,135.0,146.882,1023.32,131.65,16,10
6.368,65,2,2,54,144.0,10,107.0,79,37,84,35,28,25,149.0,163.045,1124.44,146.057,19,11
7.097,63,2,2,48,135.0,12,95.0,72,30,76,28,22,24,139.0,153.42,1034.36,136.847,20,11
6.461,66,2,2,49,138.0,17,94.0,72,29,76,27,22,23,142.0,156.752,1035.39,139.512,22,10
6.137,65,2,3,49,138.0,17,95.0,73,29,77,27,22,24,142.0,156.473,1161.28,139.581,22,10
6.077,75,2,3,55,159.0,20,107.0,84,29,89,27,22,29,164.0,180.596,1323.44,161.636,28,10
6.0,85,2,3,61,180.0,23,119.0,95,29,101,27,22,34,186.0,204.719,1485.6,183.69,34,10
6.317,77,3,4,58,167.0,23,115.0,90,31,95,29,22,32,172.0,189.35,1425.56,170.25,29,10
6.0,95,2,3,67,201.0,26,131.0,106,29,113,27,22,39,208.0,228.842,1647.76,205.745,40,10
6.472,63,2,3,49,137.0,17,97.0,74,30,78,28,22,25,141.0,155.267,1175.26,139.025,21,10
5.986,73,2,3,55,158.0,20,109.0,85,30,90,28,22,30,163.0,179.39,1337.42,161.079,27,10
6.099,83,2,3,61,179.0,23,121.0,96,30,102,28,22,35,185.0,203.513,1499.58,183.134,33,10
6.085,93,2,3,67,200.0,26,133.0,107,30,114,28,22,40,207.0,227.636,1661.74,205.188,39,10
6.449,77,3,4,58,167.0,23,115.0,90,31,95,29,22,32,172.0,189.35,1425.56,170.25,29,10
5.0,28,0,0,26,58.0,3,45.5,30,21,35,17,21,4,63.0,64.976,396.58,57.01,9,4
6.385,68,0,0,51,139.0,17,94.0,71,30,75,29,22,20,143.0,158.118,981.29,139.915,22,10
6.0,74,0,0,63,158.0,21,116.0,84,43,90,42,34,21,164.0,178.573,1147.47,158.894,21,10
6.461,74,0,0,63,158.0,21,116.0,84,43,90,42,34,21,164.0,178.573,1147.47,158.894,21,10
6.604,70,0,0,55,145.0,17,101.5,75,35,80,33,27,20,150.0,164.533,1031.35,145.799,22,10
6.0,70,0,0,56,146.0,18,103.0,76,36,81,35,28,20,151.0,165.533,1043.36,146.799,21,10
6.0,70,0,0,56,146.0,18,103.0,76,36,81,35,28,20,151.0,165.533,1043.36,146.799,21,10
6.0,76,0,0,67,164.0,21,123.5,88,48,95,46,39,21,171.0,184.988,1197.53,164.777,21,10
5.009,34,0,0,28,66.0,8,46.5,32,21,36,17,21,4,70.0,74.221,426.66,64.661,11,4
6.18,34,1,1,28,70.0,11,48.5,36,18,39,17,17,8,73.0,78.607,510.71,70.054,11,2
6.143,37,1,2,30,78.0,13,54.5,41,19,44,18,17,11,81.0,87.963,601.23,78.465,12,4
5.0,35,0,1,29,73.0,12,50.5,38,18,41,17,17,9,76.0,82.255,543.11,73.512,12,2
5.0,35,0,1,29,73.0,12,50.5,38,18,41,17,17,9,76.0,82.255,543.11,73.512,12,2
5.0,38,0,0,30,76.0,13,50.5,38,18,41,17,17,8,79.0,85.727,522.7,76.072,13,2
5.0,38,0,0,30,76.0,13,50.5,38,18,41,17,17,8,79.0,85.727,522.7,76.072,13,2
5.398,36,0,0,32,76.0,11,56.0,40,23,44,21,22,8,80.0,85.311,544.7,76.189,11,2
6.745,36,1,1,29,75.0,12,52.5,39,19,42,18,17,10,78.0,84.603,552.76,75.258,11,4
6.367,33,1,2,28,70.0,11,49.5,37,18,40,17,17,9,73.0,78.551,545.15,70.378,11,2
6.357,36,1,1,32,76.0,11,56.0,40,23,44,21,22,8,80.0,85.022,560.77,75.938,11,2
7.155,23,1,4,21,54.0,10,42.5,31,18,33,15,17,10,56.0,60.791,542.37,54.4,6,6
6.289,30,1,4,23,62.0,11,41.0,32,13,34,12,12,9,64.0,69.954,559.45,61.832,11,5
4.824,28,1,4,26,63.0,8,48.0,35,19,38,18,18,9,66.0,70.539,593.46,62.949,8,5
5.77,24,1,4,23,56.0,10,44.0,32,19,34,17,18,9,58.0,62.708,553.39,56.182,6,5
5.377,22,1,4,18,49.0,9,35.0,27,13,28,12,12,9,50.0,55.293,491.32,49.298,6,5
6.384,25,1,4,23,58.0,7,45.5,33,18,36,15,17,10,61.0,65.207,568.41,58.283,8,6
6.322,21,1,4,20,51.0,9,41.5,30,18,32,15,17,10,53.0,57.376,528.34,51.516,5,6
5.398,28,1,3,23,60.0,12,43.5,32,18,34,15,17,9,62.0,67.78,491.54,59.938,8,6
6.284,25,1,4,26,61.0,10,51.5,36,24,39,21,23,10,64.0,68.207,604.44,61.283,5,6
6.321,28,1,4,22,59.0,10,40.0,31,13,33,12,12,9,61.0,66.539,545.42,58.949,10,5
4.149,31,1,2,26,63.0,12,44.0,32,19,34,18,18,6,65.0,70.568,511.58,62.083,8,4
5.155,27,1,2,22,57.0,11,41.5,30,18,32,15,17,8,59.0,64.319,487.52,56.636,7,6
5.77,25,1,4,22,57.0,11,43.5,32,18,34,15,17,10,59.0,64.207,556.4,57.283,7,6
7.796,29,1,2,26,63.0,11,49.0,34,23,37,19,22,8,66.0,70.734,537.58,62.52,7,6
7.301,29,1,2,22,59.0,12,41.5,30,18,32,14,17,8,61.0,66.734,489.54,58.52,8,6
6.095,26,1,4,20,55.0,10,37.0,29,13,30,12,12,9,56.0,62.124,519.38,55.065,8,5
6.733,27,1,4,24,61.0,12,46.0,34,19,36,17,18,10,63.0,68.622,582.44,61.167,7,6
5.155,29,1,2,23,60.0,12,42.5,31,18,33,15,17,8,62.0,67.734,501.55,59.52,8,6
7.018,25,1,4,22,57.0,11,43.5,32,18,34,15,17,10,59.0,64.207,556.4,57.283,7,6
4.149,30,1,4,27,66.0,9,49.0,36,19,39,18,18,9,69.0,73.954,607.49,65.832,9,5
5.699,30,1,2,24,61.0,11,42.5,31,18,33,16,17,7,63.0,68.651,500.56,60.301,8,5
6.0,26,1,4,20,55.0,11,37.0,29,13,30,12,12,9,56.0,62.124,519.38,55.065,8,5
7.081,47,0,0,34,90.0,16,57.0,43,19,46,17,16,9,93.0,102.048,589.86,89.374,17,5
8.022,58,2,2,42,122.0,10,83.0,64,24,67,22,16,22,125.0,138.882,927.24,123.65,20,10
8.377,29,0,0,25,64.0,12,48.0,35,19,37,17,16,10,66.0,73.197,485.59,65.003,8,5
8.456,58,2,2,42,122.0,10,83.0,64,24,67,22,16,22,125.0,138.882,927.24,123.65,20,10
5.0,32,1,1,31,71.0,9,60.0,39,31,44,23,30,8,76.0,79.517,536.76,70.501,8,6
5.301,19,0,0,25,47.0,4,46.0,28,28,32,24,28,3,51.0,51.817,361.47,46.374,1,3
5.0,32,0,0,28,67.0,8,51.5,35,23,39,19,21,7,71.0,75.597,468.66,66.425,9,6
5.357,51,0,0,42,100.0,19,68.0,49,28,54,26,28,7,105.0,112.297,661.96,98.821,16,3
5.0,19,0,0,21,47.0,6,44.0,28,24,31,18,22,7,50.0,52.817,373.45,47.349,3,5
5.0,33,1,1,27,67.0,7,49.0,34,21,38,15,20,7,71.0,75.434,475.72,66.283,12,5
5.301,20,0,0,21,45.0,5,39.0,25,22,28,18,22,4,48.0,50.315,328.45,44.476,3,4
5.143,20,1,1,23,48.0,5,45.0,28,26,32,20,26,5,52.0,53.235,384.54,47.552,3,4
5.74,66,2,2,49,137.0,17,93.0,71,29,75,27,22,22,141.0,155.543,1019.39,138.185,22,10
6.569,79,2,2,73,175.0,20,136.0,96,55,104,53,46,23,183.0,196.532,1334.77,175.588,20,11
5.228,21,0,0,21,47.0,6,40.5,26,22,29,18,21,5,50.0,52.813,343.47,46.578,3,5
5.149,23,0,0,26,54.0,7,49.5,31,28,35,24,27,5,58.0,60.228,405.54,53.461,2,5
5.0,21,0,0,26,54.0,7,51.5,33,28,37,24,27,7,58.0,60.908,441.52,54.487,2,5
5.0,26,0,0,24,56.0,7,44.5,30,22,33,18,21,6,59.0,62.979,402.54,55.781,6,4
5.401,22,0,0,27,58.0,8,54.5,36,28,40,24,27,9,62.0,65.872,489.54,59.21,3,5
5.0,31,0,0,30,66.0,8,53.5,35,28,39,24,27,5,70.0,73.889,461.66,64.996,6,5
7.0,54,0,0,46,113.0,9,82.0,59,28,65,26,22,13,119.0,127.42,803.06,113.108,20,6
7.168,102,2,2,74,217.0,26,149.0,115,43,120,39,28,41,222.0,247.808,1640.1,220.635,35,20
6.155,102,2,2,74,217.0,26,149.0,115,43,120,39,28,41,222.0,247.808,1640.1,220.635,35,20
8.432,104,2,2,76,219.0,26,149.0,115,43,120,41,28,39,224.0,249.642,1638.12,222.199,35,18
9.0,101,2,2,70,210.0,24,139.0,109,37,113,35,22,39,214.0,240.1,1561.04,213.206,35,19
7.097,101,2,2,70,210.0,24,139.0,109,37,113,35,22,39,214.0,240.1,1561.04,213.206,35,19
6.907,102,2,2,74,217.0,26,149.0,115,43,120,39,28,41,222.0,247.808,1640.1,220.635,35,20
6.0,69,2,3,58,151.0,18,112.5,82,41,88,37,33,24,157.0,170.689,1177.98,152.268,21,12
6.24,69,2,3,58,151.0,18,112.5,82,41,88,37,33,24,157.0,170.689,1177.98,152.268,21,12
6.0,68,2,3,56,149.0,18,111.0,81,40,87,35,32,25,155.0,168.772,1166.96,150.486,21,13
6.0,76,0,1,62,160.0,31,114.0,84,42,89,40,34,22,165.0,181.221,1170.94,160.875,22,11
5.546,78,0,1,66,166.0,31,121.5,88,47,94,44,39,22,172.0,187.636,1221.0,166.759,22,11
6.218,71,2,2,62,156.0,18,119.0,85,46,92,42,38,23,163.0,175.871,1194.58,157.054,20,11
6.0,78,0,1,66,166.0,31,121.5,88,47,94,44,39,22,172.0,187.636,1221.0,166.759,22,11
6.0,75,0,0,61,158.0,31,113.0,83,42,88,40,34,22,163.0,179.071,1138.47,158.995,21,11
5.931,104,2,2,76,219.0,26,149.0,115,43,120,41,28,39,224.0,249.642,1638.12,222.199,35,18
6.0,67,2,3,57,148.0,18,111.5,81,41,87,37,33,24,154.0,167.274,1163.95,149.385,20,12
6.0,69,2,3,58,151.0,19,112.5,82,41,88,37,33,24,157.0,170.689,1177.98,152.268,21,12
6.0,72,2,2,59,154.0,18,112.5,82,41,88,37,33,23,160.0,174.16,1157.57,154.828,22,12
8.699,104,2,2,76,219.0,26,149.0,115,43,120,41,28,39,224.0,249.642,1638.12,222.199,35,18
6.0,69,2,3,58,151.0,18,112.5,82,41,88,37,33,24,157.0,170.689,1177.98,152.268,21,12
6.0,69,2,3,58,151.0,18,112.5,82,41,88,37,33,24,157.0,170.689,1177.98,152.268,21,12
6.0,71,2,3,59,154.0,18,113.5,83,41,89,37,33,24,160.0,174.104,1192.01,155.152,22,12
6.0,69,2,3,58,151.0,18,112.5,82,41,88,37,33,24,157.0,170.689,1177.98,152.268,21,12
6.0,69,2,3,58,151.0,18,112.5,82,41,88,37,33,24,157.0,170.689,1177.98,152.268,21,12
6.0,68,2,2,55,148.0,18,110.0,80,40,86,34,32,25,154.0,167.911,1133.51,149.381,21,14
6.0,71,2,2,60,155.0,18,117.5,84,45,91,39,37,24,162.0,175.243,1182.58,156.046,21,13
6.0,61,2,3,54,139.0,14,108.5,78,41,84,37,33,24,145.0,157.028,1121.86,140.734,17,12
6.0,63,2,3,55,142.0,14,109.5,79,41,85,37,33,24,148.0,160.443,1135.89,143.617,18,12
6.0,73,2,3,61,158.0,19,116.0,85,42,91,39,34,24,164.0,178.519,1218.05,159.035,22,12
8.77,104,2,2,76,219.0,26,149.0,115,43,120,41,28,39,224.0,249.642,1638.12,222.199,35,18
8.638,104,2,2,76,219.0,26,149.0,115,43,120,41,28,39,224.0,249.642,1638.12,222.199,35,18
7.602,103,2,2,74,216.0,26,144.0,113,39,117,39,24,39,220.0,246.353,1615.08,219.424,35,17
7.796,103,2,2,74,216.0,26,144.0,113,39,117,39,24,39,220.0,246.353,1615.08,219.424,35,17
7.921,105,2,2,78,221.0,26,150.5,116,44,121,43,29,38,226.0,251.559,1649.14,223.981,35,17
7.921,105,2,2,78,221.0,26,150.5,116,44,121,43,29,38,226.0,251.559,1649.14,223.981,35,17
6.0,107,2,2,78,225.0,28,152.5,118,44,123,42,29,40,230.0,256.555,1679.18,228.184,36,19
6.0,107,2,2,78,225.0,28,152.5,118,44,123,42,29,40,230.0,256.555,1679.18,228.184,36,19
9.155,66,2,2,54,142.0,14,103.0,76,36,81,34,28,22,147.0,160.543,1079.44,143.185,20,10
7.387,67,2,2,56,144.0,14,104.5,77,37,82,36,29,21,149.0,162.46,1090.46,144.966,20,9
6.0,69,2,2,56,148.0,16,106.5,79,37,84,35,29,23,153.0,167.456,1120.5,149.17,21,11
6.229,69,2,2,56,148.0,16,106.5,79,37,84,35,29,23,153.0,167.456,1120.5,149.17,21,11
6.886,25,1,2,25,58.0,9,50.0,33,26,37,19,26,8,62.0,65.006,477.08,57.847,6,6
6.854,28,1,1,26,61.0,9,50.0,33,26,37,19,26,7,65.0,68.477,456.67,60.407,7,6
8.509,207,3,3,137,427.0,76,275.0,220,62,227,60,28,83,434.0,489.819,3149.06,434.507,77,41
6.0,60,0,0,46,121.0,11,82.0,61,28,65,26,22,15,125.0,137.247,837.14,121.079,20,8
6.0,58,0,0,45,118.0,11,81.0,60,28,64,26,22,15,122.0,133.832,823.11,118.196,19,8
6.0,58,0,0,45,118.0,11,81.0,60,28,64,26,22,15,122.0,133.832,823.11,118.196,19,8
6.0,58,0,0,45,118.0,11,81.0,60,28,64,26,22,15,122.0,133.832,823.11,118.196,19,8
6.0,60,0,0,46,121.0,11,82.0,61,28,65,26,22,15,125.0,137.247,837.14,121.079,20,8
6.428,60,0,0,46,121.0,11,82.0,61,28,65,26,22,15,125.0,137.247,837.14,121.079,20,8
6.0,62,0,0,47,124.0,11,83.0,62,28,66,26,22,15,128.0,140.663,851.17,123.963,21,8
6.67,70,2,2,64,154.0,16,119.0,84,48,91,46,40,20,161.0,172.954,1171.58,154.297,18,10
7.201,70,2,2,64,154.0,16,119.0,84,48,91,46,40,20,161.0,172.954,1171.58,154.297,18,10
5.149,34,0,0,28,66.0,8,46.5,32,21,36,17,21,4,70.0,74.221,426.66,64.661,11,4
6.0,26,0,0,25,56.0,3,45.5,30,21,35,17,21,5,61.0,62.77,398.55,55.454,8,4
6.0,73,2,2,63,158.0,18,119.0,85,46,92,42,38,22,165.0,178.077,1192.61,158.61,21,11
6.016,74,2,2,64,160.0,19,120.5,86,47,93,43,39,22,167.0,180.366,1203.64,160.384,21,12
6.0,69,2,2,54,146.0,17,103.5,77,35,82,32,27,23,151.0,165.456,1096.48,147.17,22,11
6.0,69,2,2,54,146.0,17,103.5,77,35,82,32,27,23,151.0,165.456,1096.48,147.17,22,11
8.161,63,2,2,48,135.0,12,95.0,72,30,76,28,22,24,139.0,153.42,1034.36,136.847,20,11
6.0,65,2,2,54,144.0,10,107.0,79,37,84,35,28,25,149.0,163.045,1124.44,146.057,19,11
8.456,69,2,2,57,148.0,14,106.5,79,37,84,36,29,22,153.0,167.084,1120.49,149.177,21,9
8.658,69,2,2,57,148.0,14,106.5,79,37,84,36,29,22,153.0,167.084,1120.49,149.177,21,9
8.638,69,2,2,57,148.0,14,106.5,79,37,84,36,29,22,153.0,167.084,1120.49,149.177,21,9
5.165,37,0,0,30,74.0,9,52.0,37,19,41,18,16,7,78.0,83.554,499.72,73.301,12,5
5.143,34,0,0,30,71.0,10,55.0,37,27,41,21,26,7,75.0,80.012,494.7,70.309,9,6
5.0,21,0,0,23,49.0,5,45.0,28,26,32,20,26,5,53.0,54.813,367.49,48.578,3,5
6.0,105,2,2,85,222.0,25,156.5,117,53,124,52,41,32,229.0,250.977,1645.17,223.686,33,13
5.0,105,2,2,85,222.0,25,156.5,117,53,124,52,41,32,229.0,250.977,1645.17,223.686,33,13
6.0,105,2,2,85,222.0,25,156.5,117,53,124,52,41,32,229.0,250.977,1645.17,223.686,33,13
8.398,68,2,2,55,145.0,14,104.0,77,36,82,34,28,22,150.0,163.958,1093.47,146.068,21,10
6.0,104,2,2,76,216.0,21,145.0,112,41,118,39,28,36,222.0,245.851,1594.1,218.551,37,16
6.0,76,2,2,66,164.0,20,123.0,88,48,95,45,40,22,171.0,184.781,1229.68,164.268,21,12
6.0,98,2,2,77,208.0,21,145.5,110,47,116,46,35,33,214.0,235.814,1556.03,210.253,31,14
9.222,78,2,2,60,163.0,18,113.0,85,37,90,35,28,25,168.0,184.825,1207.64,164.134,25,12
7.0,68,0,0,59,147.0,19,110.0,79,41,86,39,34,20,154.0,166.118,1077.37,147.915,20,10
6.0,73,2,2,62,158.0,19,119.0,85,46,92,41,38,23,165.0,178.449,1192.62,158.603,21,13
6.166,69,2,2,53,143.0,14,99.0,74,30,80,28,22,21,149.0,162.037,1052.47,143.515,25,11
6.0,75,2,2,65,163.0,19,123.0,88,47,95,43,38,23,170.0,183.702,1234.65,163.821,22,11
6.306,68,2,2,51,147.0,19,104.0,79,32,83,30,22,28,151.0,167.539,1133.47,149.363,21,14
5.0,65,2,2,49,137.0,17,95.0,72,30,76,28,22,23,141.0,155.626,1032.39,138.403,21,11
6.416,23,0,0,27,60.0,4,58.5,37,31,43,22,31,10,66.0,67.857,494.58,60.723,5,8
6.889,36,0,0,32,74.0,10,55.0,38,24,42,22,22,6,78.0,83.055,508.72,73.199,10,4
8.481,37,0,0,33,78.0,11,59.0,41,25,45,23,22,8,82.0,87.763,551.75,77.629,10,5
6.0,68,2,3,58,150.0,18,112.5,82,41,88,38,33,24,156.0,169.4,1178.96,151.494,20,11
6.253,73,2,2,63,158.0,18,119.0,85,46,92,42,38,22,165.0,178.077,1192.61,158.61,21,11
6.0,73,2,2,63,158.0,18,119.0,85,46,92,42,38,22,165.0,178.077,1192.61,158.61,21,11
5.0,27,0,0,22,55.0,7,39.0,28,16,31,13,16,6,58.0,62.106,381.52,54.891,9,3
5.0,31,0,0,24,61.0,8,41.0,30,16,33,13,16,6,64.0,68.936,409.58,60.658,11,3
5.0,24,0,1,21,51.0,6,38.0,27,16,30,13,16,6,54.0,57.425,385.93,51.003,8,3
5.0,27,0,0,22,54.0,6,38.0,27,16,30,13,16,5,57.0,60.896,365.52,53.563,9,3
5.0,31,1,1,23,65.0,9,47.0,34,18,37,13,16,11,68.0,73.856,489.66,65.709,10,5
5.0,25,0,0,21,52.0,6,38.0,27,16,30,13,16,6,55.0,58.69,367.49,52.007,8,3
4.82,32,0,0,26,66.0,4,47.0,34,15,38,13,12,8,70.0,74.644,464.62,66.087,13,4
5.44,27,0,1,26,62.0,2,52.0,35,21,41,15,20,9,68.0,69.817,535.49,62.214,11,6
5.09,30,0,1,26,64.0,2,48.0,34,14,39,14,10,8,69.0,72.15,524.51,63.88,12,5
5.25,27,0,1,26,62.0,2,52.0,35,21,41,15,20,9,68.0,69.817,535.49,62.214,11,6
6.385,68,0,0,51,139.0,17,94.0,71,30,75,29,22,20,143.0,158.118,981.29,139.915,22,10
6.851,70,0,0,56,145.0,18,102.0,75,36,80,35,28,19,150.0,164.324,1027.36,145.472,21,10
5.31,30,0,1,26,64.0,2,48.0,34,14,39,14,10,8,69.0,72.15,524.51,63.88,12,5
7.215,79,2,2,66,170.0,18,123.5,91,44,97,43,35,25,176.0,191.951,1282.7,171.243,23,11
6.0,64,2,2,48,136.0,17,95.0,72,30,76,27,22,24,140.0,154.709,1033.38,137.621,21,12
6.0,66,2,2,50,138.0,17,95.0,72,30,76,28,22,22,142.0,156.543,1031.4,139.185,22,10
6.0,98,2,2,77,210.0,22,149.0,112,47,119,45,34,35,217.0,238.396,1584.05,212.573,32,16
6.214,103,2,3,75,212.0,18,141.0,109,40,115,38,28,34,218.0,240.943,1659.98,213.639,37,16
9.301,90,2,2,67,189.0,20,129.0,99,39,104,37,28,32,194.0,214.944,1411.85,191.392,30,14
6.0,111,2,2,83,227.0,27,151.5,116,47,122,46,35,33,233.0,257.595,1639.23,228.329,37,15
6.379,108,2,2,84,226.0,25,157.0,118,52,125,50,40,34,233.0,256.262,1662.22,227.664,34,16
5.904,69,2,2,59,154.0,18,115.5,85,41,91,37,33,26,160.0,175.179,1211.54,156.366,22,12
8.161,70,2,2,57,149.0,14,106.5,79,37,84,36,29,22,154.0,168.373,1119.51,149.952,21,10
8.62,72,2,2,58,157.0,17,114.0,85,38,90,36,28,27,162.0,177.998,1209.56,159.137,22,12
8.06,70,2,2,57,149.0,14,106.5,79,37,84,36,29,22,154.0,168.373,1119.51,149.952,21,10
6.0,96,2,3,75,206.0,22,145.0,110,46,116,44,34,35,212.0,233.618,1670.9,208.541,31,15
6.0,73,2,2,63,158.0,18,119.0,85,46,92,42,38,22,165.0,178.077,1192.61,158.61,21,11
8.921,72,2,2,58,156.0,16,113.0,84,38,89,36,28,26,161.0,176.788,1193.56,157.81,22,12
6.3,68,0,0,59,146.0,19,109.0,78,41,85,39,34,19,153.0,164.908,1061.37,146.588,20,10
6.391,67,2,2,54,143.0,14,103.0,76,36,81,34,28,22,148.0,161.832,1078.46,143.959,20,11
6.0,71,2,2,59,153.0,18,112.5,82,41,88,38,33,23,159.0,172.871,1158.55,154.054,21,11
6.361,66,2,4,54,144.0,18,105.0,78,36,83,33,28,24,149.0,162.562,1329.26,144.872,21,12
9.076,62,2,2,48,132.0,12,93.0,70,30,74,28,22,22,136.0,149.712,1003.34,133.417,20,10
6.0,69,2,2,57,148.0,14,106.5,79,37,84,36,29,22,153.0,167.084,1120.49,149.177,21,9
